-0.0023073+9.9363e-05i,-0.0021852-0.00020469i,-0.0026204+0.00035892i,-0.0015167+0.0013358i,3.8135e-05+0.0023578i,-0.00011181+0.0019289i,-0.00020776+0.0011261i,0.00065605+0.00055583i,0.00091694+0.0004898i,0.00022623+0.00019588i,0.00036556-0.00049891i,0.00021607+0.00013484i,-0.00047964+0.00049613i,-0.00047149+0.00011964i,-0.0004855+0.00040376i,-0.00049456+0.00027933i,-7.4957e-05-0.00020475i,9.521e-05+2.2831e-05i,-1.0811e-05+2.6875e-05i,-4.6268e-06-0.00021463i,-0.00012175+0.0002175i,-0.00097937-0.00011895i,-0.0014423-0.00055406i
0.002329-0.001424i,0.0026463-0.00057239i,0.0032966-0.00029981i,0.001665-0.00055782i,0.00027204-0.00064418i,0.00029766+0.00058507i,-0.00017371+0.0010601i,-0.00021689+0.00043476i,0.0004146+0.00023085i,0.00059133+0.00017074i,-0.00061729-0.00043865i,-0.0019077-0.0012288i,-0.0021631-0.00081354i,-0.0012415-0.00065645i,-5.0284e-05-0.0006478i,-5.8206e-06-1.6055e-06i,-0.00059032+0.00021796i,-0.001013+0.00051632i,-0.0013391+0.0010766i,-0.00093787+0.00068712i,-0.00026571+0.00049477i,0.00058624+0.00067392i,0.00029244+0.00039507i
-0.00071406+0.0011767i,-0.00028022+0.0014196i,3.0456e-05+0.0011703i,0.00068325+0.00023551i,0.0014489-0.00072304i,0.0013442-0.0003537i,0.00064563+0.00080266i,0.0001467+0.0013237i,-4.7889e-06+0.00059721i,-0.00022945+0.00099295i,-0.00040574+0.0014062i,-0.00092671+1.4732e-05i,-0.0013676-0.00018084i,-0.00054326+0.0010222i,7.7461e-05+0.0016133i,4.6462e-05+0.00059277i,0.00025145-2.063e-05i,7.8448e-05-0.0004603i,-0.00024951-0.00060136i,0.0001519-0.00095671i,0.0006035-0.0012397i,0.00065544-3.6742e-05i,-1.0788e-05+0.00099142i
-0.0002832+0.0020225i,-0.00015015+0.00198i,0.00041628+0.0023548i,0.0017897+0.0021644i,0.0024182+0.0018292i,0.0017404+0.00080066i,0.00071308-5.882e-05i,0.00057457+0.00011124i,0.00089191+0.00042272i,0.0005524+0.00011786i,0.00057149+0.00022481i,0.0006408+0.0002079i,-9.6811e-05-0.00023247i,-0.0008304-0.00077931i,-0.00086411-0.0010579i,-0.00019663-0.00034986i,-0.00029427+0.00072925i,-0.00075607+0.0012335i,-0.00067899+0.00059393i,-0.00040562-9.0363e-05i,-0.00013908-0.00059746i,0.00035095-0.00019554i,0.00052257+1.5686e-05i
0.00069417+0.0014579i,0.0010154+0.0018236i,0.00084842+0.0015406i,0.001231+0.00080641i,0.002155+0.00054889i,0.0020238+0.00045145i,0.0016195+0.00014241i,0.0016434+0.00010572i,0.0013759+0.00054152i,-0.00044919+0.00078987i,-0.0015054-0.00026658i,-0.0012459-0.00086822i,-0.00092443-0.00078331i,-0.00048031-0.00070361i,-0.00031694-0.00033378i,0.00028303+0.00012784i,0.00063059+0.00096122i,0.00033526+0.0012147i,0.00027027+0.00070796i,0.00028568+0.00011068i,0.00013117-0.00037491i,0.00019712-0.00044048i,0.00046264+0.00024378i
-0.00092688+0.0003942i,-0.00031198-0.00040753i,0.00070119-0.00083509i,0.00062518-0.00030973i,-0.00054656+0.00081869i,-0.00019575+0.0012974i,0.0013153+0.001037i,0.0016435+0.00082266i,0.0011064+0.00060723i,0.00019874+0.00069347i,-0.00076739+0.0008785i,-0.0015764+0.00039267i,-0.0012071-0.00017678i,-0.00037018+0.00030189i,-0.00057927+0.0010526i,-0.00066128+0.00038552i,-0.00045742-0.00059462i,-0.0004669-0.00048199i,2.8427e-05+5.4832e-05i,0.00051987-0.0001387i,5.2028e-05-0.00022665i,-0.00028994+0.00020944i,0.00040149+0.00031123i
0.00016323-0.00065646i,8.1617e-05-0.00083441i,-0.00039228-0.00096483i,-0.00044938+0.00049323i,0.000428+0.0012324i,0.0012128+0.00052713i,0.0012218+4.3697e-05i,0.0012844-8.6335e-05i,0.00067927+0.00039538i,0.00017723+0.00050847i,-1.7817e-08-0.00030853i,-0.00028864-0.00059689i,-0.00061307+0.00026454i,-0.0007898+0.00061805i,-0.00066809+0.00055242i,-0.00058351+0.00018513i,-0.00044215-8.6214e-05i,-0.00024087-4.0532e-05i,-0.00065204-0.00056378i,-0.0002836-0.00077389i,7.3696e-05-0.00073602i,-0.00082923-0.00097509i,-0.00089985-0.00052751i
0.00034811+0.0010953i,0.00018439+0.0015162i,7.3292e-05+0.00047667i,0.0013139-0.00059547i,0.0018663-0.00079268i,0.001389-0.00071934i,0.00094841-0.00017865i,0.00055885+0.0002364i,0.00020498-0.00025269i,-0.00047585-0.0011229i,-0.00072085-0.00070896i,0.000186-0.00015904i,0.00015869+0.00032322i,-0.00046615+0.00064659i,-0.00066004+0.00093036i,-0.0010612+0.00066412i,-0.0010923+7.2994e-05i,-0.00089036+0.0002558i,-0.00023219+0.00071165i,-0.00024118+0.00018151i,-0.0010858-0.00019104i,-0.00047535-0.00028397i,-0.00019507+0.00015017i
0.0014254-0.00076123i,0.0018558-0.00039065i,0.0010808-0.0010942i,0.00017832-0.0010212i,0.00012412+5.8615e-05i,0.0003254+0.00028345i,-0.00050754-0.00059183i,-0.00095317-0.0010356i,-0.00028958+0.00028254i,0.000105+0.0010407i,-9.5342e-05+0.00035324i,-0.00029918+0.00021548i,-0.00051002+7.7359e-05i,-0.0008163+1.8659e-05i,-0.00082415-2.1026e-05i,-0.0005457-0.00013925i,-0.00010487-2.1968e-05i,-0.00012353-0.00012553i,-0.00045015-0.0004645i,-0.00064582-0.00030278i,-2.704e-05-0.00083677i,0.00024815-0.0012275i,0.00036045-0.00026648i
0.0011836+0.00022051i,0.0010513-0.00027185i,0.0011851-0.00041667i,0.001216-0.00034018i,0.001421-0.00049673i,0.0011231-1.6656e-05i,0.00090741+0.00045313i,0.001026+7.6072e-05i,0.00053077-0.00044914i,0.00012223-0.00058043i,0.00019856-0.00031532i,0.00030788-0.00029659i,9.7678e-05-0.0001733i,-0.00018081+0.00019796i,-0.00030415+0.00047388i,-0.00040519+0.00013211i,-0.00056239-0.00033328i,-0.00021993-0.00035877i,0.0004303+3.2632e-05i,0.00055127+0.00065001i,0.0007462+0.00070162i,0.0011637+0.0004463i,0.00080225+0.00043011i
0.00083272+0.0013723i,0.00098566+0.00049291i,0.00091501+0.00039539i,0.00099944+0.0002552i,0.0014072-0.00019017i,0.0014346-7.5175e-05i,0.0013606-9.7727e-05i,0.0015581+0.00017751i,0.0017537+9.8572e-05i,0.0011102-0.0002446i,0.00032562+2.7775e-05i,-9.3341e-05-0.00019025i,-0.0003089-0.00011754i,-0.00081148+0.00032045i,-0.0016554-4.9758e-05i,-0.0014168-0.00066553i,-0.00052711-0.00027103i,9.2491e-05-0.00068482i,-0.00020659-0.00090711i,-0.00045186+0.00014586i,-0.0011111+0.00097137i,-0.00093586+0.001118i,-0.00053943+0.00071465i
-0.00042498+0.00032667i,-0.00049459+0.00088453i,0.00062146+0.001544i,0.0010727+0.00093931i,0.00091502+0.00044986i,0.00074151+0.00037142i,0.000621+0.00014159i,0.0010659-0.0012788i,0.0013108-0.0013244i,0.00083793-0.00046105i,0.00065468-0.00062527i,0.00026168-0.00091419i,-0.00016979-0.0016468i,-0.0001643-0.0011165i,0.00013186-0.0001826i,0.00014192+0.0002302i,0.00011132+7.4077e-06i,0.00017128-0.00075358i,-0.00024739-0.00066645i,-0.00092003-0.0002214i,-0.00055072-0.00017071i,0.00048073+0.00059823i,0.00034086+0.0006578i
-0.0012515-0.00022269i,-0.0014454-0.00031506i,-0.0010469+0.00041097i,-0.00063672+0.0016549i,-0.00032637+0.0021871i,-0.00017243+0.0013993i,-6.6934e-05+0.00073262i,0.0004001+0.00079134i,0.00051542+0.0013581i,-3.9869e-05+0.0013896i,-0.00023788+0.00093383i,-0.00020774-0.00015095i,7.2168e-05-0.00021243i,-0.00011516+9.1411e-05i,-0.00046303-0.00029721i,-0.00030159-0.00047018i,-0.00014957-0.00034175i,0.00038099-0.00026866i,0.00032817-0.00023649i,-0.00022156+0.00037182i,-0.00076104-0.0003571i,-0.00051309-0.00095066i,0.00011681-0.00013667i
-0.0016866-0.00027196i,-0.00069071+0.00037327i,0.00016099+0.00038025i,0.0010841+0.0015256i,0.001854+0.0021456i,0.0022105+0.0018194i,0.0018815+0.0012912i,0.00079565+0.00030779i,-0.0011326-9.878e-05i,-0.0018476+0.0003734i,-0.00084902+0.00096474i,5.6612e-05+0.00099583i,-0.00030026+0.00031256i,-0.00084671-0.00078349i,-0.00078644-3.3816e-06i,-0.00032812+0.0010792i,-0.00043872+0.00030712i,-0.00087398-1.3832e-05i,0.00043552+0.00045854i,0.0015831+0.00025175i,0.00079554-0.00042862i,0.00019071-0.00043708i,0.00071056-2.2734e-05i
0.00051803-0.0011212i,2.0888e-05-0.001255i,-0.00090417-0.00023859i,-0.00063002+0.00098303i,0.00051362+0.0013521i,0.00091443+0.0011747i,0.00069733+0.00064936i,0.00058313-0.00054004i,0.00064176-0.00078816i,0.00055614+0.00065784i,0.00025001+0.001201i,0.0003725-0.00012907i,0.00014542-0.00086536i,-0.00014832-0.00044479i,-0.0001106+0.00010042i,-0.00026406+7.8538e-05i,-0.00011263-0.000219i,0.00041376+0.00011952i,8.3301e-05+0.00028924i,0.00015829+0.00051727i,0.00056363+0.00042243i,0.00011288+0.00021301i,-0.00034325-0.00013682i
-0.0016114+5.2888e-05i,-0.0007775+0.0002914i,-0.00055222-0.00062116i,-0.00037114-0.00038223i,0.00088667+0.0010919i,0.0014924+0.001473i,0.0017699+0.0013267i,0.0015174+0.00097402i,8.6717e-05+0.00018486i,-0.00095723-0.0002258i,-0.00098491-0.00022974i,-0.00087354-0.00030673i,-0.00072315+0.00030797i,0.00011501+0.00013526i,0.00042622-0.00013183i,-0.0001967-0.00038761i,-0.00059097-0.00084087i,-0.00010588-7.0334e-05i,0.00031512+0.00092151i,0.00024795+0.00057239i,0.00050475-0.00021409i,0.00074801-0.00037121i,0.001231-0.00057097i
0.00033014-0.00015476i,0.00032638-0.00045312i,0.0020055+8.1554e-05i,0.0024311+0.00064159i,0.0012954+0.00025471i,0.00044071-0.00026572i,0.00057537-0.00053578i,0.00036769+0.00024097i,-0.00063515+0.00073233i,-0.0012779+0.00034348i,-0.0012864+4.2836e-05i,-0.0007711+4.003e-05i,-0.00044755+0.00045554i,-0.00047473+0.00067897i,-0.00034448+0.00043594i,-0.00046847-0.00011188i,0.00010369+7.6289e-05i,0.00021331-0.00022803i,0.00024997-0.00054597i,0.00042631-8.9486e-05i,0.000823-3.8094e-05i,0.00077985-0.00065092i,0.00066683-0.00078196i
0.0020428+0.00072944i,0.0021754+0.00013568i,0.0028832-0.0010297i,0.0027959-0.0013576i,0.0024459-0.00033066i,0.0013903+0.0003698i,0.00061487+3.0123e-05i,4.4071e-05-0.00037303i,0.00016352-0.00039725i,0.00025741-0.00028458i,-0.0010106-0.00053861i,-0.0017149-0.00077462i,-0.0015501-0.00052375i,-0.00089925+0.00011309i,-0.00051731+0.00065911i,-0.0010024+0.0015417i,-0.0012707+0.0012726i,-0.00074402+0.00016818i,-0.0003984+0.00015796i,-0.00046022-0.00040126i,-0.00073298-0.00099479i,-0.0010269-0.00049727i,-0.00090784-0.0002326i
-0.0017988+0.001783i,-0.0021995+0.0012705i,-0.0015107+0.0015477i,-5.5889e-05+0.0018905i,0.00064112+0.0010009i,0.00093854+0.00031348i,0.0016902+0.00042374i,0.0012867+0.00024428i,0.00018384-0.00012091i,-0.00068343-0.00014264i,-0.00080289+0.0010173i,-0.00070985+0.0013734i,-0.0012169-9.1423e-05i,-0.0011791-0.00040648i,-0.00076546-0.00045902i,-0.00064371-0.00037687i,-0.00050401+0.00040461i,-0.0008462+0.00062578i,-0.0002868+0.00023098i,0.00068855+5.5819e-05i,0.00080419+0.0003227i,0.001021+0.00057218i,0.00082905+0.00037496i
