-0.003318+2.1578e-05i,-0.0022411-0.00065778i,-0.0035109+0.00065361i,-0.003782+0.0016704i,-0.0020971+0.0022668i,-0.00057232+0.0015796i,-6.238e-05+0.00069171i,0.00049021+0.0002225i,0.0010895+0.00014391i,0.0017823-0.00022179i,0.001725-0.00030104i,0.0011063-0.00049478i,0.0010474-0.00071071i,0.00045536+0.00013237i,-0.00057756-0.00010012i,-0.00036873-0.00036189i,9.7988e-05+0.00041976i,0.00023669+0.00091089i,0.00049427+0.00078229i,0.00085768+0.00064809i,0.0011212+0.00071173i,0.0011534+0.00025184i,0.00098933+0.00021514i
-0.0016874-0.0007009i,-0.0017848+0.00024155i,-0.0023956+0.00068978i,-0.0019726+0.0010092i,-0.00058296+0.0015745i,0.0011692+0.0013269i,0.0015185+0.00017934i,0.00019927-0.00011308i,-0.00092953+0.00018124i,-0.00076338+0.00022816i,-4.7969e-05+0.00063793i,0.00045695+0.0011555i,0.00095387+9.2313e-05i,0.0012253-0.00088274i,0.0012856-0.0010031i,0.0010067-0.00078123i,0.00059567+0.00016052i,0.0001038+0.0013825i,-0.00011709+0.0013849i,0.00065167+0.00037455i,0.00059697-0.00054198i,0.00025603-0.00025006i,0.00073403-0.00028575i
0.00074006-0.00079909i,0.00044268-0.001164i,-0.00013106-0.0010194i,-0.0010612-0.00086907i,-0.0015992-7.3589e-06i,-0.0012876+0.00068611i,-0.0006713+0.00011895i,-0.00054733-0.0005954i,-0.00068524-0.00044569i,-0.0012181-0.00038853i,-0.001545-0.00073795i,-0.001351-0.00094135i,-0.00090429-0.0011129i,6.7853e-06-0.00042149i,0.00045977+0.000236i,-0.00065622-0.00016623i,-0.0010314-0.00056138i,-0.00026198-8.2673e-05i,0.00042551+0.00043372i,0.00014317+0.00014049i,-0.00020824-0.00044863i,0.00031351-0.0006096i,0.00060768-0.00028338i
4.4262e-05-0.0012115i,-0.00065856-0.00095354i,-0.00095972-0.00017881i,-0.00030584+0.0007696i,0.00071523+0.0018377i,0.00072459+0.0021262i,0.0010109+0.00069077i,0.00086002-0.00012424i,0.00012448+0.00070714i,-0.00046221+0.0012867i,-0.001044+0.00094922i,-0.0009474+0.00040565i,-0.00067246+0.00077515i,-0.0010246+0.00097625i,-0.00014148+0.00027031i,0.00091991+7.7585e-06i,0.0010465-9.1107e-05i,0.00070346-0.0001104i,0.00051432-9.0443e-05i,0.00026264+0.00013117i,-0.00045057+0.0003241i,-0.00014239+0.00030984i,0.00071811+0.00031712i
-0.00063757+0.00047493i,-0.00060512+0.00046607i,-0.00016489+0.00088798i,0.00062619+0.0013553i,0.00087168+0.00045051i,0.00086192-0.00062726i,0.0011787-0.00027178i,0.0011422-0.0002123i,0.00086405+4.4317e-05i,0.00077164+0.00090087i,0.00054749+0.0013111i,0.00038756+0.00084918i,-0.00018595+0.00011861i,-0.00092848+0.00023353i,-0.00076276-0.00017178i,0.00022927-0.00041586i,0.00060877-0.0003009i,0.00083047-0.00035563i,0.0006797+9.1207e-05i,-5.3907e-05+0.00035066i,-4.2692e-05+0.00021521i,0.00076275-0.00025636i,0.0010191-0.00025259i
-0.00026188+0.0014163i,0.00052937+0.0011265i,0.0017667+0.00076852i,0.00202+0.00085058i,0.00088916+0.0012691i,4.1701e-05-3.9987e-05i,0.00028384-0.00098253i,0.00029193-0.00056177i,7.5755e-05-0.00029799i,-8.5198e-05+0.00027152i,0.00055508+0.00039996i,0.0010501+0.00020935i,0.00078689+0.00051571i,0.00060604+0.00051384i,0.00011144+0.00036716i,0.0001787+0.00011768i,-0.00020794-0.00065729i,-0.00064484-0.00091774i,-0.00023609-0.00057911i,0.00063513-0.00069524i,0.0010567-0.00037815i,0.00068627+5.4631e-05i,0.00051351+4.8835e-05i
-0.0010783-0.00013744i,-0.00086581+0.0010616i,-0.00051278+0.0012517i,-0.0008072+0.0011606i,-0.0003751+0.0017764i,0.00076056+0.0010978i,0.000303+0.00020526i,-0.00055005+5.2311e-05i,-0.00060792-0.00033918i,0.00048054-0.00027493i,0.0011073-8.8838e-05i,0.00081038-0.000256i,0.0002932-0.00023131i,7.4797e-05+0.00017959i,0.00042379-0.00026238i,0.00090419-0.00039497i,0.00040721+0.00012218i,-0.0005541+0.00035084i,-0.00012984+0.00080952i,0.00067979+0.00092797i,0.00054636+0.00083385i,0.00053783+0.00051282i,0.00011298+0.00060736i
0.00013361-0.0017488i,-0.00057674-0.0014103i,-0.00042656-0.0017974i,-0.00031754-0.0012104i,0.00035392+9.3477e-05i,0.0010303+0.00038006i,0.00068141+0.00039775i,0.00020361+0.00020289i,0.00040471+0.00020024i,-9.8236e-05+0.00049019i,-2.5062e-05+3.6561e-06i,8.8115e-05-0.00027263i,-0.00032645-0.00041459i,0.0001716-0.00014313i,0.0012129+0.00017307i,0.0016144-0.00019778i,0.001126+0.0005095i,0.00069309+0.00046461i,0.00028953-0.00080949i,-0.00032738-0.00082048i,-0.0004337-0.00058059i,-7.7348e-05-0.00033775i,0.00058657+0.0004203i
0.00049812+0.0017192i,4.5086e-05+0.00096099i,0.00066726+0.00041134i,0.0010255-0.00031666i,0.00069425-0.00083725i,0.00027233-0.0004354i,0.0013601-0.0002286i,0.0010155+0.00016041i,-3.8662e-05-4.5027e-05i,0.00063859-0.0011784i,0.00077425-0.0012242i,-0.00073347-0.00095951i,-0.00091213-0.00067893i,0.00012795-0.00049831i,0.00018681-0.00092177i,2.8354e-05-0.00086432i,0.00025583-0.0002641i,0.00014538-5.0274e-05i,-0.00071669-0.00033857i,-0.00056504-0.00018807i,0.00010076-0.00015236i,1.1143e-05-0.00074082i,0.00011574-0.00036353i
-0.00071262+0.0013361i,-0.0010047+0.00092628i,-0.001177+0.0010761i,-0.0010265+0.0013957i,5.6066e-05+0.00089661i,0.0010165+0.00011666i,0.00013464-0.00020399i,-0.00099211-0.00019146i,-0.00097634-6.4496e-05i,-0.0011027-0.00018787i,-0.00031529-0.00088786i,0.00051183-0.0004325i,0.00017022-0.000244i,0.00036493-0.00075876i,0.00021438-0.001021i,0.00035124-0.0011443i,4.4504e-05-0.00053851i,-0.00081532+3.7913e-05i,-0.00084453+0.0001602i,-0.00037941+0.00081316i,-5.3973e-05+0.0012635i,-0.00056419+0.00080457i,-0.00093643+0.00086433i
0.00069425-0.0003143i,-8.5453e-05-0.0010455i,-0.0012724-0.0011085i,-0.0015344-0.0001169i,-0.001208+0.00087117i,-0.00016435+0.00076368i,0.00068923-0.0003242i,0.00021649-0.000749i,-0.00050248-0.00016289i,-0.00041427+0.0010785i,-9.8953e-05+0.0017371i,-0.00033038+0.001037i,-0.00063308+0.00061559i,-0.0002396+0.0010721i,-0.00016902+0.0013595i,-3.8665e-06+0.00011145i,0.00020233-0.00086782i,8.5526e-06-0.00073906i,0.00030407-0.00029526i,6.5039e-05-0.0006888i,6.7345e-05-0.0009492i,0.00051399-0.00021605i,0.0006073+0.00049827i
0.00018008+0.0010786i,-0.00017597+0.0011021i,-0.00019948+0.00104i,-1.3147e-05+0.00061977i,0.00053587+0.00027676i,0.00057308+0.00065807i,0.00057113+0.00051958i,0.00086661-0.00054433i,0.00074753-0.00049068i,0.00012756+0.00090447i,-0.00029064+0.0016373i,-0.00019109+0.0015047i,0.00018914+0.00016197i,0.00038788-0.00050137i,0.00030009-0.00017492i,-0.00048-0.00046941i,-0.0011331-0.00058458i,-0.00040566-0.00019726i,-0.00037475+6.1074e-05i,-0.00024153+0.00049516i,0.00058931+0.00097356i,0.00070245+0.00092237i,0.0002636+0.0002288i
-0.00083945+0.0010664i,-0.0016955+0.0015425i,-0.0015743+0.0027546i,0.00010612+0.0024701i,0.0013667+0.0018476i,0.0016195+0.0010923i,0.00088205-0.0003093i,0.00027762-0.00024126i,0.00070864+0.00029534i,0.0014877+0.00056651i,0.0017167+0.0010638i,0.0016527+0.00068117i,0.0011157+0.00055907i,0.00065594+0.00069493i,0.0012204-0.00014896i,0.00077218-0.00032613i,-0.00040493-7.6042e-05i,-0.0010113+2.7679e-05i,-0.00057517-8.7743e-05i,0.0011999+1.8728e-05i,0.0015848-3.7998e-07i,0.00028561-0.00032753i,0.00017059+7.8333e-06i
0.0011652+0.0010361i,0.00089449+0.00085237i,0.0018128+0.00076747i,0.0024428+0.00023144i,0.0023638+6.8225e-05i,0.0012187+3.5263e-05i,-0.00016292-0.00020714i,-0.00062782+0.00021285i,-0.00043941+8.7446e-05i,0.00056597-0.00051071i,0.0012753-0.00073698i,0.0011206-0.00058318i,0.00057594-7.9354e-05i,0.0010725+0.00011946i,0.0011266+0.00023525i,-9.665e-05-4.7315e-05i,-0.00088927+0.00016445i,-0.00071685+0.00077004i,-0.00014405+0.00053629i,-0.00016141+4.485e-05i,-0.00045176-0.00027904i,7.045e-05-0.00016894i,0.00054808+0.00071294i
-0.0010508-0.002825i,-0.001191-0.0047815i,-0.0015653-0.0047376i,-0.0023249-0.0018854i,-0.001633+6.5303e-05i,1.0222e-05+0.00092398i,0.0010678+0.00086453i,0.00092489+1.4952e-05i,0.00053143-0.00080194i,0.00034205-0.00039366i,-2.2623e-05+0.00014124i,0.000126-0.00025872i,0.0006327-0.00073159i,0.00095697-0.00026674i,0.0010419+3.5015e-05i,0.0010731+0.00029692i,0.0012725+0.00063961i,0.00024132+0.0001597i,-0.00079293+1.8836e-05i,-0.00067001+0.00075378i,-0.0007617+0.00081392i,-0.00083967+0.00018424i,-0.00054433+0.00032207i
-0.00012324+0.0014629i,0.00045174+0.0011352i,0.00078139+0.00092533i,0.00025033+0.00019258i,0.00047355+0.00021537i,0.00070659+0.0004163i,0.0004281-1.787e-05i,-0.00021228+9.6362e-06i,-0.0010974+0.00013806i,-0.001281-1.321e-05i,-0.0011271-0.00073087i,-0.00062306-0.0011134i,0.00053905-0.00094945i,0.00086551+0.00030111i,0.00045509+0.00040636i,0.00052856-0.00046322i,3.3829e-05-0.00074731i,-0.00030727-0.00046444i,-3.0994e-05+9.1464e-05i,0.00032624+0.00042865i,-0.00030145+0.00050534i,-0.0015374+0.00084211i,-0.00149+0.00059873i
0.001619-0.00027968i,0.00084397+0.00036922i,0.00024622+0.00024739i,-9.7495e-05+0.00018283i,-6.7925e-06+0.0010605i,-0.00058202+0.0017886i,-0.001269+0.00078616i,-0.00089412+0.00035556i,-0.00090669+0.00089086i,-0.0015563+0.00095491i,-0.002052+0.00063367i,-0.0015306-0.00018389i,7.4958e-05-0.0006463i,0.00078033-0.00086622i,6.037e-05-0.00081267i,-4.1851e-05-0.00034466i,0.00042123+0.00023613i,0.00018971-3.965e-05i,-0.00031224-0.00038751i,0.00025874-0.00016478i,0.00064151+9.8047e-05i,0.00011592+4.7023e-05i,2.4662e-05+0.00015868i
0.0009839-0.0010997i,-0.0001701-0.00085291i,-0.0011936-0.00046012i,-0.00076849-0.00014541i,0.00068168+0.00026096i,0.00052961+0.0002965i,-0.00028835+0.00057245i,-0.00056951+0.0012282i,-0.000829+0.0013748i,-0.0012213+0.0011933i,-0.001836+0.0011504i,-0.0011976+0.00094138i,-0.00025222+0.00086496i,-0.00045771+0.0010014i,-0.0011325+0.00059483i,-0.00088855+0.00029064i,-0.00093135-0.00013088i,-0.00087447-0.0015041i,-0.00019257-0.001299i,0.00041325-0.00045527i,0.00041251+0.00015383i,-0.00021327+0.00037323i,0.00043271-4.1194e-05i
0.00089356+0.00060841i,0.000871+0.0012781i,0.0012271+0.0016968i,0.00010048+0.0007034i,-0.0001153-0.00032102i,0.00030912+0.00011007i,-0.00018083+9.4034e-05i,-0.0003438-0.00034155i,0.00053292+0.00011178i,0.00099062+0.00075036i,0.00076704+0.00066709i,0.0008109+0.00078937i,0.00050904+0.00087814i,3.3269e-06+0.00084048i,-0.0001817+0.00077038i,-0.00043685+0.00046134i,-0.0011666+0.00088434i,-0.001218+0.00090813i,-0.00098456+0.00053948i,-0.00092377+0.00067247i,-4.5669e-05+0.00073421i,0.00025084+0.00050305i,-0.00034673+0.00038298i
-1.5625e-05-0.00077449i,0.00025239-0.00065662i,-6.2763e-05-0.00021598i,-8.9923e-05-6.4015e-05i,-6.7284e-06+8.8313e-05i,-0.00015443+6.2007e-05i,-0.00049333-0.00060823i,-0.0009569-0.00074609i,-0.00010692-0.00049964i,0.0010217+0.00026153i,0.0017237+0.00065623i,0.0015255+0.00079077i,0.0011665+0.00093187i,0.00077418+0.00084489i,0.0010877+0.00029484i,0.0016065+0.00012331i,0.00065007+0.00062902i,0.00025823+0.0012099i,0.00046441+0.0011243i,-0.00035982+0.00078429i,-0.00068155+0.00039415i,4.1084e-05-0.00072212i,0.0001703-0.00096837i
-0.00090461+0.00012355i,-0.00078659+0.00057741i,-0.0010572+0.0011469i,-0.00068787+0.0012681i,-0.00014983+0.00043603i,-4.5207e-05-0.00012366i,-0.00051916-0.00017149i,-0.00092479-0.00011705i,-0.00097791+0.00072001i,0.00012793+0.0016822i,0.0011999+0.0011059i,0.0015627-0.00044798i,0.0011065-0.00059517i,0.00080036+8.4105e-05i,0.0014122-0.00022575i,0.00087677-0.00095171i,-0.00016561-0.00075971i,-0.00040564-2.1929e-05i,0.00043045+0.00058719i,0.00027604+0.0011238i,-0.00023947+0.00013168i,-0.00024532-0.00030629i,4.7295e-05+0.00013866i
-0.0010022+0.0006647i,-0.00065799+0.00026239i,0.0004335+0.00090149i,0.0011292+0.0017509i,0.0013353+0.0021555i,0.0014337+0.00077184i,0.0013723-0.0005969i,0.00075685-0.0009737i,0.00019276-0.00078192i,0.0004296-0.0002249i,0.00055261-0.00023097i,0.00028119-0.00069095i,-0.0002202-0.0012879i,-0.00017114-0.0011771i,0.0002235-0.00073486i,-1.0676e-05-0.00077345i,-0.00019877-0.00064591i,0.0004558-0.00048486i,0.00078089-0.00035943i,0.00071793+0.00027977i,0.00073617-8.4587e-05i,0.00077038-0.00049966i,0.00037028+0.00019581i
0.0021729+0.00042463i,0.0017989-0.00025267i,0.00061576-0.0012104i,-8.4768e-05-0.0010124i,-0.0001991-0.00013725i,6.1105e-05+0.00051886i,-8.9143e-05+1.4074e-06i,-0.0003177-0.0004938i,-9.8097e-05-0.0001508i,-0.00017889-0.00023285i,-0.00093505-0.00099392i,-0.0009149-0.0012145i,-0.00057127-0.00068714i,-0.0011888-0.00033835i,-0.00074131-0.000779i,0.00085338-0.00028094i,0.0010391+0.00025637i,0.00014813+0.00047074i,-0.00038907+0.001119i,0.00025277+0.00097325i,-1.7852e-05+0.00036536i,-0.00012535-0.00011714i,0.00027113-0.00038337i
-0.00033543-0.00056538i,0.00011599-0.00081374i,-0.00018268-7.6086e-06i,-0.00018758+0.00053577i,0.00044122+0.00098299i,0.0015489+0.0012341i,0.0017096+0.00038422i,0.00060864+0.00016627i,-0.00018688-4.2645e-05i,-0.00060322-0.00066444i,-0.00094962-0.00049877i,-0.0010374-0.00036861i,-0.00076087-0.00064254i,-0.00053513-0.00065931i,-4.4965e-05-0.00031824i,0.00051708+3.431e-05i,0.00043034-0.00020018i,-0.0001451-0.00038337i,-0.00059422-0.00015912i,-0.00046585+0.00057881i,0.00049146+0.00065083i,0.00091728+0.00055437i,0.00048463+0.00048635i
-0.0015304+3.1375e-06i,-0.0016209-0.00041814i,-0.0010941-0.00046331i,-0.00058706-0.00017397i,-0.00030403+0.00022347i,-5.1163e-05+0.00039038i,0.00086659-0.00020379i,0.0010973+0.00068605i,0.00020199+0.0013046i,-0.00040954+0.00068444i,-0.00077084+0.00047288i,-0.0017+0.00042327i,-0.0015498+0.00046202i,-0.00013138+3.4387e-05i,0.00011565-0.00035764i,-0.0006525+2.662e-05i,-0.0011401+0.0003699i,-0.00072533-0.00010402i,-0.00049614-8.9607e-05i,-0.00044035+0.00034521i,-0.00022176+0.00032232i,-6.4708e-05+0.00061378i,0.00028324+0.0011325i
-0.00052384-0.0014729i,-0.001381-0.00092936i,-0.0017193+0.00041391i,-0.0010845+0.0012947i,-4.7451e-05+0.0015815i,0.0010987+0.0016261i,0.00066709+0.00051211i,-5.5044e-05-1.496e-05i,-5.4425e-05+0.00085907i,-0.00015064+0.0014813i,0.00032368+0.0015424i,0.0011268+0.0013249i,0.00095076+0.00089645i,0.00062888+0.00084847i,0.00074875+0.00035499i,0.0011553-0.00042862i,0.00067306-0.0003717i,0.00014203+6.6695e-05i,-4.178e-05+0.00034153i,0.0001542+0.00033782i,0.00061207-7.0362e-05i,0.00041853-0.00020621i,0.00016878-0.00050204i
-0.0017334-0.00047859i,-0.0012262-0.00062684i,-0.0021183-0.00044001i,-0.0017846-0.00028128i,9.749e-05-0.00034861i,0.0010422+1.892e-05i,0.00072196-0.00067691i,0.00069309-0.00095442i,0.00048951+0.00036346i,-2.0058e-05+0.00056269i,0.00061827+0.0004271i,0.0014881+0.00032713i,0.00075205+0.00018506i,0.00047839+0.00076585i,0.00022631+0.00011419i,-0.00047561-0.00066928i,-0.0002031-0.00030942i,0.00031547+0.00021884i,-0.00030812+0.0006642i,-9.5094e-05+0.00035371i,0.00045885-0.00037132i,-0.00010021-0.00028084i,-0.00062936-9.6014e-05i
-0.0019876+0.00014984i,-0.0012589+0.00013212i,2.2319e-05+0.00072908i,-0.00047978+0.0019703i,-0.0005619+0.0019264i,-0.00018215+0.0010752i,-0.00029262+0.00045564i,-5.145e-05-0.00020359i,-0.00014372+0.00047659i,0.00014317+0.00078192i,0.00045895-0.00071996i,0.00032483-0.0014063i,0.00059968-0.001498i,0.0012563-0.0020052i,0.0013793-0.0015674i,0.00073929-0.0008939i,0.00019054-0.00019297i,0.00010711-0.00040825i,0.00062205-0.00090348i,0.00064083-0.00033717i,0.00019497-8.391e-05i,0.00057541-7.9704e-05i,0.00029685+0.00024463i
-0.00060907+0.00026929i,-0.0011176+0.00018558i,-0.0015148+0.00070627i,-0.0014878+0.0014323i,-0.00026927+0.0016697i,0.0013273+0.0013966i,0.0018339+0.0001325i,0.0015143-0.00047348i,0.0008404-5.591e-05i,0.00034651+0.00030873i,0.00060051+0.00032338i,0.00018861-0.00022062i,-0.00086389-0.00061412i,-0.0001929-0.0007482i,0.00089995-0.00037294i,0.00051901+0.00030683i,-5.4532e-05+0.00044345i,-0.00024194+0.00014755i,-6.852e-05+3.9302e-05i,0.00071711+0.00022628i,0.00081365+0.00040367i,0.00047963+0.00058319i,0.00051318+0.0006691i
-0.00066703+0.0008905i,-0.00044491+0.00077751i,0.00099082+0.00079064i,0.0012185+0.00090226i,0.00068288+0.00091884i,0.0011793+0.00044404i,0.00075935-0.00045746i,-0.00022309-0.0010166i,-0.00026451-0.00035065i,-0.00027384+0.00022288i,-8.9555e-05-0.00064782i,-0.000502-0.0011546i,-0.0008132-0.00062844i,-0.00095463-0.00033572i,-0.00083385-0.00025465i,-7.9777e-05-0.00019654i,0.00020255-0.00033783i,1.9854e-06-0.00034089i,-0.00043188-0.00018763i,8.2514e-05+0.00025183i,0.00058055+0.00091814i,0.00058645+0.00037011i,0.00041469+6.0835e-05i
