-0.00042503+0.00012941i,-0.00025173+0.0001082i,-0.0012228+0.00057444i,-0.002197+0.00087141i,-0.0030201+0.0021488i,-0.0029738+0.0039537i,-0.0017447+0.0042662i,-0.0010705+0.0029682i,-0.00057888+0.00092102i,0.00028466+9.7563e-05i,0.00053827-0.00050952i,0.00032471-0.00067137i,0.00022181-0.0001641i,5.747e-05-0.00033291i,9.8654e-05+2.8923e-05i,-0.00015079+0.00085512i,9.6433e-05+0.00043888i,0.00025631-0.00023926i,0.00031398+0.00051365i,0.00083577+0.00066503i,0.00090186+0.00074146i,0.00022181+0.00052005i,-0.00015061+0.00021354i
0.0015468-0.00045303i,0.00098373-0.00096959i,0.00047021-0.0019479i,-0.0012523-0.00081735i,-0.001887+0.00061389i,-0.0014491+0.0016398i,-0.0010649+0.0029985i,-0.00013437+0.0022955i,0.0007626+0.00068163i,-9.3203e-05+0.00014881i,-0.00050701-0.00018087i,-0.00047805-0.00046455i,-0.00063109-0.00040779i,6.6257e-05-0.00043342i,0.000689-5.4019e-05i,0.00070698+8.0846e-05i,0.00084741-0.00038681i,0.00061929+0.00017829i,-1.7154e-05+0.0003142i,-0.00021663-0.00012704i,8.73e-05-9.5359e-05i,-0.00014424-0.00015719i,-0.00040687-0.00020721i
0.00010694-0.00093423i,0.00037341-0.0002327i,-0.00067299+0.00022899i,-0.0010247+0.00050854i,-0.00050047+0.001437i,-0.00046802+0.0022678i,-0.00096021+0.0020613i,-0.00065363+0.0010141i,6.5657e-05+7.8533e-06i,0.00076996+0.00011815i,0.00059691+0.00011303i,0.00042848+0.00020531i,0.00087123+0.00036326i,0.00072429-9.3262e-06i,0.00012438+0.00017513i,-0.00049298-8.6419e-05i,-0.00058852-0.00045511i,-0.00021981-0.00046875i,0.00028745-0.00037871i,0.0008885+0.00018914i,0.00087767+0.00063554i,0.00019439+0.00042348i,0.00012092+0.00017212i
0.00011049+0.0011171i,-0.0010044+0.00022813i,-0.0021522+6.0294e-05i,-0.0023142-0.00035608i,-0.0021597-6.681e-05i,-0.0023009+0.0012408i,-0.0015966+0.0012226i,-0.00017439+0.0006531i,0.00017059+0.00061642i,0.00011538+9.897e-05i,-0.00015423-0.00073163i,-0.00034808-0.0002131i,-0.00056608+6.1454e-05i,-0.00026424+2.4086e-05i,5.563e-05+0.00043389i,0.00031271+0.00014619i,0.00045249-0.00022413i,0.00046502-0.00062943i,0.00017288-0.00067636i,-0.00041811-7.4174e-05i,-0.00051959+7.3963e-05i,0.00011569+0.00039391i,0.00055748+0.00080263i
0.00028224-0.00076304i,0.00034222-0.0012096i,-0.0010134-0.0013361i,-0.0025439-0.00070718i,-0.0032285+0.0002261i,-0.0030395+0.0010067i,-0.0018253+0.0013072i,-0.00051332+0.00090879i,-0.0001171+0.0011994i,-0.00024923+0.0011224i,0.00016893-0.00011001i,0.0010453-0.00088559i,0.0011265-0.00039559i,0.0004804+4.0577e-06i,-0.00030605-0.0004502i,-0.00060609-0.00036327i,0.0001761-0.00030804i,0.00075507+2.315e-05i,0.00042998+0.00021932i,-0.00021837-0.00014531i,0.00026763-0.00011083i,0.00074537-0.0003876i,-2.2089e-05+5.0829e-05i
0.0012297-0.00011285i,-0.00055835-0.00029866i,-0.0016672-0.00067671i,-0.0011027-0.00022242i,-0.00030753+0.00098301i,-0.00078381+0.0014604i,-0.00078171+0.0014083i,-2.2919e-05+0.0014642i,-8.4091e-05+0.00074512i,0.00031007+0.00016633i,0.00044128+0.00047959i,-0.00039359+0.00032097i,-0.0008032+0.00071404i,-0.0010264+0.001254i,-0.001008+0.00070465i,-0.001069+0.00035336i,-0.0011604-0.00017507i,-0.00013697-0.001133i,5.3186e-06-0.0016285i,-0.0005756-0.0011001i,-0.00020612-0.00025196i,7.4643e-05+0.0002463i,-0.00022531+0.0003858i
0.0013184+0.00013269i,0.00178-0.00032261i,0.0013803-0.0012395i,-0.00032209-0.00058932i,-0.0017091+0.00041213i,-0.0017538+0.0012031i,-0.0012392+0.002093i,-0.0011073+0.0019127i,-0.00066392+0.0011188i,0.00042378+0.00071404i,0.00048583+0.00022796i,-0.00025547-0.00065171i,-0.00053924-0.00030314i,-0.00052823+1.2449e-05i,-0.00083419-0.00020514i,-0.0011724-0.00075548i,-0.0013535-0.0012698i,-0.00085527-0.00043381i,-0.00074842+0.00032692i,-0.00058073+2.9592e-05i,0.00046895-3.0397e-05i,-6.7519e-06-0.0003074i,-0.0010001-9.0703e-05i
-0.00080411-7.9361e-05i,-0.00061064+0.00029343i,-0.0012933+0.00035089i,-0.0016082+0.00024363i,-0.0020004+0.00052144i,-0.0027211+0.00075297i,-0.0022539+0.00057704i,-0.0011768+0.00088013i,-0.001219+0.00061449i,-0.00054293-0.00023451i,0.00029369-0.00058056i,0.00019493-0.00081297i,0.00013078-9.4469e-05i,0.00011499+0.00042853i,-0.00034232+0.00031779i,-0.00072248+6.5283e-05i,-0.00038627+0.00011285i,-0.00017603+0.000218i,-0.00015222+0.00045179i,-0.00045794+0.0010692i,-0.0011174+0.00031454i,-0.00077142-0.00022826i,-0.00020179+0.00052343i
0.0008102-0.00030307i,-0.00047584+9.0006e-05i,-0.0011849-0.00066359i,-0.0012214-0.00011261i,-0.0006781+0.0014224i,-0.00070927+0.0031728i,-0.001265+0.0026708i,-0.00067055+0.0008938i,-0.0002226+0.0003765i,-0.00028228-0.00023444i,-0.00039257-0.00087072i,-0.00023329-0.00063773i,0.00048552+0.00025284i,0.0012177+0.00074394i,0.0012774+0.00065895i,0.00026359+0.0002908i,-0.00043131-0.00044666i,-0.00043825-0.00097114i,0.0001035-0.0007317i,0.0004501-0.00018876i,0.00071648+0.00012646i,0.00011145+8.2275e-05i,0.00028617-0.00062318i
0.0012812-0.00062728i,-0.00026325-0.0012763i,-0.0011652-0.0015165i,-0.0017191-0.0002606i,-0.0015183+0.0006347i,-0.00082689+0.0014917i,-0.00046961+0.002104i,0.0005396+0.0015789i,0.00056004+0.0016011i,-7.3097e-05+0.0013447i,6.8218e-05+0.00048817i,-0.00035018+0.00034567i,-0.00085649+0.00035676i,-0.00037267+0.00060642i,-8.6176e-05+0.00061774i,-2.4213e-05+0.00051675i,-0.00014811+0.00086945i,1.8455e-05+0.0002616i,0.00040956+0.00022873i,0.00011193+0.00038128i,0.00016919+0.00054595i,0.00012891+0.00099122i,-0.00014084+0.0010271i
0.00087054-0.00049585i,0.0010847+7.5284e-05i,0.00015478-0.000772i,-0.00071292-0.00054511i,-0.00097064+0.0008401i,-0.00076027+0.001299i,-0.00094238+0.0010294i,-0.0011821+0.0012267i,-0.00072994+0.0012081i,-0.00027643+0.00059796i,0.00056765+0.00042426i,0.001048+0.00058614i,0.00030735+0.00034399i,-0.00025727-0.00019101i,0.00053403-0.00021604i,0.00038482+5.1425e-05i,-0.00046302+0.00038189i,-4.0603e-05+0.00092729i,0.00074208+0.00073901i,0.00061452+7.5832e-05i,0.00030423-0.00053475i,0.00060681-1.7384e-05i,0.00020589+0.00043239i
-0.00077436+0.00040208i,-0.0014835-0.00011079i,-0.0022423+3.8188e-05i,-0.0018112+0.00024512i,-0.00079173+0.00057572i,-0.0008785+0.0016235i,-0.0010801+0.0021403i,-0.0006054+0.00070583i,1.4291e-05-0.00067372i,0.00025809-0.00055998i,0.00048871-0.00012745i,0.00059889-0.00046933i,0.00047083-0.00073696i,0.0007625-0.00031307i,0.00020728-5.8313e-05i,-0.00061142+4.4532e-05i,-0.00040501-0.00028234i,-0.00021711-0.00035167i,-0.00081494+0.00056635i,-0.0007509+0.00013041i,5.4816e-05-0.00088041i,-0.00015682-0.00079482i,-0.0009461+0.00016085i
0.00068343-0.00073628i,-0.00030862-0.0014493i,-0.0016692-0.0013153i,-0.0022713-0.00052319i,-0.001802+0.00039229i,-0.0011072+0.0012471i,-0.0011605+0.0016144i,-0.0007939+0.0012273i,-0.00015036+0.00085639i,-0.00012862+0.0014193i,0.00011368+0.0012858i,0.0006324+3.2102e-06i,0.0002137-0.00039678i,-0.00056074-9.254e-05i,-0.00056984-0.00023948i,1.1245e-05-0.00033657i,0.00052374+0.0004127i,0.00022537+0.0011081i,-0.00039517+0.00056015i,-0.00036115-0.00049219i,0.00028994-0.00068597i,0.00037318+0.00024324i,3.552e-05+0.00086163i
-0.00022456+3.9737e-06i,0.00028496+0.00025849i,-0.00029288-4.7061e-06i,-0.00075968+0.00054127i,-0.00081041+0.0021141i,-0.00085392+0.0025744i,-0.00062031+0.0017522i,-0.00076559+0.00092707i,-0.00057389+0.00045556i,-1.8064e-05+0.00020864i,0.000419+0.00031598i,0.00058454+0.0003262i,0.00028434+0.0009945i,-0.0001105+0.0012944i,0.00021821+0.00074935i,0.00072776+0.00096162i,0.00093532+0.00026959i,0.00063113-0.00022185i,5.5364e-05+0.00015412i,0.00048206+0.00014617i,0.00075789-0.00013738i,0.00076367-0.00051075i,0.00099185-0.00038264i
0.0011348-0.0011189i,0.00014461-0.0012752i,-0.0017058-0.00082976i,-0.0022094-0.00027888i,-0.0016556+0.00081206i,-0.0011662+0.0014749i,-0.0013184+0.0015379i,-0.0011064+0.00078572i,-0.00019816-6.9016e-05i,0.00017736-0.00014555i,0.00039225+0.00037837i,0.0011525+7.2621e-05i,0.0013543-0.00055196i,0.00090934+0.00061298i,0.00088199+0.0018278i,0.00043639+0.0014202i,0.00011122+0.00045035i,-0.00017368+0.00024952i,-4.288e-05+0.0003941i,0.00067226+0.00064755i,0.00055367+0.00019592i,-0.00081346-0.00045758i,-0.0011251+0.00016233i
-0.00090396-0.00042649i,-0.00077751-0.00016826i,-0.0006115+0.00087018i,-0.0015435+0.0012406i,-0.0020812+0.00056108i,-0.001652-8.7475e-05i,-0.0010396+0.00041576i,-0.00083854+0.0011791i,-0.0010163+0.0010131i,-0.00049862+0.00038144i,0.00012875+0.00037995i,0.00064067+0.00041495i,0.00092539+8.0605e-05i,0.00038528-0.00013936i,0.00011251+0.00050681i,0.00031543+0.00097005i,0.00027069+0.00055133i,0.00011978-0.00010435i,0.00025561+4.7358e-05i,0.00030625-0.00015774i,-0.00014224-0.00043383i,3.95e-05+0.00030674i,-0.00034735+0.00073811i
-0.0004692-0.00066924i,-0.00013956-0.0013336i,-0.00055959-0.0015669i,-0.0012951-0.00066517i,-0.0023575+0.0012562i,-0.0028129+0.0023814i,-0.0015356+0.0022557i,0.0005293+0.0016471i,0.0010831+0.001026i,0.0012251+0.00072083i,0.001064+0.00053532i,0.0001565+0.00020345i,0.00018705+7.178e-05i,0.00034627+0.00022135i,0.00019551-0.00041964i,0.00054697-0.00065288i,0.00071231-8.1859e-05i,0.00060943-0.00011046i,0.00038123-0.00015869i,-0.00035703-0.00025205i,-0.00063622-0.00065901i,-0.00024456-0.00075412i,-0.0001841-0.00045579i
-0.00069661+0.00037303i,-0.0010353-0.00044289i,-0.00084768-0.00093484i,-0.00071893+0.00015959i,-0.00085913+0.00094226i,-0.001299+0.00099013i,-0.0017048+0.00048428i,-0.0011055+0.00054724i,-5.8294e-05+0.00051643i,0.00014157+7.6184e-05i,0.00026065+7.1472e-05i,8.346e-05+0.0006021i,-0.00049383+0.0003893i,0.00053644+9.5577e-06i,0.0010392-0.00035744i,0.00029397-0.00023219i,-2.519e-05-9.972e-05i,3.0226e-05+0.0003205i,9.7201e-05+0.00040494i,0.0004821-0.0002342i,0.0011026-0.00050289i,0.00072048-0.00035935i,-1.8474e-06-1.2857e-05i
0.00040559+7.8271e-05i,-2.89e-05+0.00041293i,-0.00037313+0.0006914i,-0.0010109-3.368e-05i,-0.0015665+0.00012239i,-0.0019179+0.00083827i,-0.0023984+0.0010038i,-0.0017163+0.001138i,-0.00071089+0.0007902i,-0.00031007+0.0008276i,3.8574e-05+0.0011311i,0.000136+0.00073811i,2.756e-05+0.00056625i,-0.00020289+0.0015197i,-0.00079572+0.0016012i,-0.00088123+0.00038776i,0.00043129-0.00062718i,0.00058116-0.00096102i,0.00018785-0.00025942i,-0.00012193+0.00013641i,-0.00062659-0.00017613i,-0.00066126+9.446e-05i,-0.00023979+0.00042352i
0.00037658-0.00060225i,0.00057517-0.00038808i,-0.00057615-0.00055642i,-0.0013893-5.5751e-05i,-0.0013991+0.00073071i,-0.0017541+0.0013598i,-0.0019252+0.001772i,-0.0013885+0.0014094i,-0.0005464+0.00075452i,0.0007525+0.00092754i,0.0008841+0.0014753i,0.00018208+0.0004655i,-0.00035663-0.00059932i,-0.00082717-0.00022373i,-0.00074739-0.00016813i,-0.00040547-0.00096166i,-0.00012299-0.000982i,-8.1738e-05-0.00031987i,-0.00043123-0.00053286i,-0.00099106-0.0004744i,-0.0010166-0.00032524i,-0.00054116-0.00059271i,-0.00042532+0.00035239i
-0.0015622+0.0019781i,-0.00056794+0.0011565i,0.00058157+0.0016804i,0.00092333+0.0013715i,0.00046815+0.00062975i,-0.00065438+0.00087856i,-0.0016872+0.00098321i,-0.0011859+0.00069569i,5.175e-05+0.0003901i,0.00054571-2.0598e-05i,0.00031532-0.00017569i,0.00053945+0.00018393i,0.00013873-0.00016611i,-0.00010158-0.00073049i,9.8423e-05-0.00087062i,0.00035236-0.00088114i,0.00084311-0.00073927i,0.00098312-0.00037329i,0.00012832+0.00020021i,-0.00072106+0.00044187i,-0.00033+0.00047292i,-0.00034467+0.00036911i,-0.00069848-7.843e-05i
-0.00011765-0.00045492i,3.21e-06+0.00038265i,3.3861e-05+0.00049227i,-0.00046863+0.0007266i,-0.0011846+0.0012656i,-0.0019523+0.0013877i,-0.001519+0.0010207i,-0.00036725+0.00037559i,0.00047058-0.00039943i,0.00017965+0.00012595i,-0.00052081+0.00043317i,-0.00040483+7.8638e-05i,-1.7778e-05+0.00014788i,0.00033782-0.00012142i,0.0001282-0.00013177i,2.996e-05-0.00028016i,-0.00018925-0.00074405i,-0.00029119-0.00084675i,1.3744e-05-0.00029602i,-0.00015467+0.00012943i,-0.00054644+8.6542e-06i,-0.00076047-0.00043642i,-0.00060565-0.0010171i
0.00056197+0.0010958i,0.00065465-0.00011908i,0.00025188-0.00053452i,-0.00035833-0.00094904i,-0.0011868-0.0009823i,-0.0024585+0.00069727i,-0.0022469+0.0011994i,-0.0012235+0.0012635i,-0.00013031+0.0013361i,0.00075536+0.00018163i,0.00029233-0.0005411i,-8.5847e-06+9.8886e-05i,0.00049144+0.00042409i,0.00080248+0.00029341i,-0.00018006+0.00056742i,-0.00081461+0.00054054i,-2.6859e-05+0.0004048i,0.00056544+0.00030097i,0.00063832+7.4549e-05i,0.00041259-0.00046107i,-5.9763e-05-8.2622e-05i,0.00010489+0.00014074i,0.00027769-0.00073351i
-0.0001577+0.0022111i,0.00052353+0.0012286i,0.00015749+0.00087121i,0.00033611+0.00036781i,0.00042597+0.00066216i,-0.00019807+0.0012675i,-0.0010072+0.0015247i,-0.0013425+0.0019735i,-0.00047449+0.001799i,0.00087657+0.0010357i,0.00086497-0.00021577i,0.00024746-0.0010305i,0.00027589-0.00036167i,-0.00069965-0.00043379i,-0.00091004-0.00090601i,-0.00010371-0.00016174i,4.646e-05+0.0005339i,0.00013309+0.00018457i,-0.00015236+0.00025041i,-5.6894e-05+0.00059337i,0.00032957+0.0004007i,0.00016665-0.00030141i,-6.4309e-05-0.0006552i
-0.0011604+0.00035718i,-0.0015989+0.00068816i,-0.002148+0.0018626i,-0.0019075+0.0023752i,-0.0014949+0.0020213i,-0.00152+0.0015298i,-0.00086188+0.0015467i,-7.8381e-05+0.0013357i,0.00016105+0.00039209i,0.00034493+3.5845e-05i,0.00019366-9.8908e-05i,0.00016582-0.00046574i,0.00065585-0.00026542i,0.00051856-0.00016493i,0.00039775-0.00040955i,0.001017-0.00048604i,0.0015435-0.00039317i,0.0011812-0.00052507i,-3.8169e-05-0.00030102i,-0.00035602+0.00037199i,5.0603e-05+0.00063934i,0.00024978+0.00062121i,0.00036527+0.00089891i
0.00084139+0.00053374i,0.0014864-0.00037081i,0.0017141-0.00079961i,0.00083731-0.00020521i,-0.00019844+0.00073803i,-0.0010356+0.0017196i,-0.0014863+0.0017572i,-0.0011705+0.00087026i,-0.00088115+0.00078507i,-0.00087278+0.00049809i,3.4312e-05-0.00098045i,0.00036069-0.0010312i,1.0876e-05-0.00032162i,-0.00018268-0.00031152i,-0.00092708-0.00024775i,-0.0013059-6.8843e-05i,-0.00078917-0.00016446i,-0.00079174-0.00023004i,-0.00066245+0.0005673i,-8.3669e-05+0.00079657i,4.5557e-05-8.3461e-05i,-0.00031509-0.00047518i,-5.7406e-05+0.00025844i
0.0013106+0.00026358i,0.00083234-0.00017737i,-0.00010676-0.00084864i,-0.001692-0.00070718i,-0.0030166+0.00053649i,-0.0032393+0.0019979i,-0.0027583+0.0023061i,-0.0012641+0.0010925i,0.00042839+0.00012355i,0.00030313+0.00041046i,1.1808e-05+0.00029426i,-7.5824e-05+0.00051199i,-0.00024533+0.00051661i,-0.0001181+0.00071329i,-0.00073487+0.00081841i,-0.00053427+0.00048147i,-0.00026683+0.00056239i,-0.00076364+0.00041014i,-0.00027074+0.0008077i,0.00070625+0.00050093i,0.00066924+0.00011874i,0.00027531+0.00039688i,0.00025151+0.00049516i
-0.00048245+0.00098716i,-0.00086435+0.00093262i,-0.00091432+3.0318e-05i,-0.0012121-0.00040059i,-0.0010897-0.00010279i,-0.0010365+0.0010425i,-0.00048846+0.0015055i,0.00063299+0.0008732i,0.00060792-0.00027928i,0.00024362-0.00069609i,0.0004415-0.00017371i,0.00044766+0.00021109i,-0.00053775-3.9876e-05i,-0.0011805-0.0004542i,-0.00069257+0.00028792i,-0.00041692+0.00049887i,-0.00047642+0.00030779i,-0.00028296+0.00086535i,-6.9658e-05+0.00078147i,-1.3456e-05+0.00047112i,-0.00045868+0.00077399i,-0.00057837+0.0006881i,5.7605e-05+0.00065731i
-0.00017649-0.00036739i,7.3452e-05-0.00089632i,-0.00027549-0.00039647i,-0.0006612+0.0012829i,-0.00081957+0.0023762i,-0.0009463+0.0017316i,-0.0010532+0.0011611i,-0.0010385+0.00054246i,-0.00027524+2.3564e-05i,0.00064562+2.0189e-05i,0.00070347+0.0001165i,0.00029652+0.00021971i,-1.4729e-05+0.0003741i,-0.0002335+0.00038579i,-0.00041044+0.0001501i,-0.00052616-0.00035453i,-0.00043766-0.00039703i,-0.00059565+0.00039823i,-0.00052206+0.00035964i,0.00036757-0.00029614i,0.0012759-0.00016103i,0.00081885+0.00027348i,-0.00052775+0.00049002i
0.00024128-0.00036171i,-0.00092445+1.1891e-05i,-0.0014082-0.00029168i,-0.0015197+0.00012883i,-0.0015499+0.0014437i,-0.0014245+0.001892i,-0.0016462+0.0016441i,-0.001524+0.00033762i,-0.00058332-0.00032511i,0.00025526-6.0361e-05i,0.00026733-0.00017354i,0.00035291-0.00013606i,0.00051382+0.00022697i,0.0005436+0.00010764i,0.00080862+0.0002391i,0.00018989+0.00068118i,-0.00023625+6.6931e-05i,-0.00013468-0.0006588i,-1.6501e-05-0.00050083i,-9.4962e-05-0.00013035i,-0.0004983-7.6351e-06i,-0.0004539+1.2309e-05i,0.00048112+0.00014615i
-0.001245+0.00055315i,-0.0012432-0.00010955i,-0.00076772+0.00018533i,-0.00033661+0.0004007i,6.0695e-05+0.00095072i,-0.00050659+0.0015054i,-0.0013104+0.0011365i,-0.0015209+0.00054762i,-0.0010046+0.00040403i,0.00012525+0.00051101i,0.0012161+0.00043396i,0.0010057+6.2202e-05i,1.2895e-05+0.00018265i,-0.00020099+0.00043395i,0.000147+0.00037174i,0.00012314-0.00057736i,-0.00065229-0.00089352i,-0.0009244-0.00014634i,-1.9178e-05+0.00026629i,0.00046877+0.00062744i,7.1093e-06+0.00083349i,-0.00015485+0.000328i,0.00011609+0.00031089i
-5.1884e-05+0.0004208i,-0.00043993-7.4036e-05i,-0.00011177-0.00041595i,0.00015575-0.00047715i,-0.00099576+0.001065i,-0.0017451+0.0021799i,-0.0016103+0.0016935i,-0.00053751+0.0010469i,-0.00045706+0.00027185i,-0.00017845-0.0005323i,4.4013e-05-0.0010073i,-0.0001566-0.00059342i,0.00085956+0.00017326i,0.00066286+7.8321e-05i,-0.00029357-0.00056659i,-0.00023969-0.00044988i,-0.00098125+0.00017017i,-0.00076349+0.00051236i,3.4775e-05+0.00050496i,-8.3036e-05+0.00057854i,3.2385e-05-5.9561e-05i,0.00013917-8.4764e-05i,-4.3869e-05+0.00051766i
