-0.0010673+0.00054111i,-0.00068373+0.00014042i,-0.00091616-7.8487e-05i,-0.00090246-0.00094227i,-0.00091272-0.00076899i,-0.0014403+0.00023172i,-0.0012923+0.0010587i,-0.00028354+0.0012454i,0.0012576+0.0015134i,0.0014442+0.00070454i,0.00069155-0.00071081i,0.00023578-0.00096146i,1.7885e-05-0.00017271i,-0.0005478+0.00027309i,-0.00033523+0.00056432i,-0.0001261+0.00075255i,0.0004944+0.00046733i,0.0011307+0.00024243i,0.00071073+0.00062154i,8.4771e-05+0.00046375i,0.0003458+0.00023709i,0.00084496-0.00043189i,0.0005159-0.00079661i
-0.00064736+0.00043573i,-0.0013839-0.00062387i,-0.00098919-0.0010846i,0.00030738+0.00017047i,0.00068693+0.001552i,-0.00028033+0.0012068i,-0.0010428-0.00014962i,-4.2269e-05-2.8525e-05i,0.00042308+0.00026334i,-0.00045246-0.00025551i,-0.00060107+0.00012694i,-0.00044418+0.0004665i,-0.00094129+0.00043099i,-0.0007854+0.00086358i,-0.00036638+0.00087961i,-0.00034595+0.00065682i,-0.00043897+0.00079881i,-0.00024502+0.00046543i,0.00044968+0.0007584i,0.00059238+0.0013874i,-8.8063e-07+0.00039258i,0.00044034-0.00014183i,0.0010092+0.00029546i
0.00015587+0.0013631i,-0.00071371+0.0011038i,-0.00075371+0.0010488i,-0.00013491+0.00050843i,-0.00020317+0.00073045i,-0.00067807+0.001225i,-0.00029862+0.0006766i,-7.951e-05+0.00032562i,3.8705e-05+0.00023495i,6.716e-05+0.00017859i,-0.00019924+8.5744e-05i,-0.00048739-0.00025203i,-0.0003117-0.0005763i,-0.00082068-0.00088343i,-0.0011026-0.0008031i,-0.00060506-0.00065278i,-0.00039806-6.5938e-05i,-0.00011869+0.00081979i,0.00051707+0.001074i,1.2134e-05+0.00063382i,-0.00045418+0.00034716i,-0.00043366-0.00016314i,-0.00049703-0.00072436i
-0.00056497+0.0021215i,0.00024164+0.0015248i,0.0010635+0.0010229i,0.0016476+0.00086767i,0.0016468+0.00071266i,0.00066495+0.00022998i,-0.00055257+0.00055996i,-0.00065546+0.00090615i,0.00046593+0.00044868i,0.0009679-6.3849e-06i,0.00070061-0.00038485i,0.00062473-0.00023577i,0.00048247+0.00078792i,0.00027196+0.0017303i,0.00052968+0.0014363i,0.0005384+0.00071143i,0.00061755+0.00060416i,0.00083974+0.00055677i,0.00065342+0.00060087i,0.00053133+0.00068078i,0.00068681+0.00042739i,0.00082594-0.0001436i,0.00029118-0.00064552i
-0.00085005-0.00010517i,-0.00067739-7.4744e-06i,0.00016729+0.00063414i,0.00014907+0.0014609i,-0.00069826+0.001318i,-9.5769e-05+0.0004303i,0.00019998+9.069e-05i,0.00079711-0.0004051i,0.0010215-0.0007301i,0.00069204-9.2824e-05i,0.00041801+0.00038335i,0.00044277+0.00044133i,2.0353e-05+0.00070435i,-0.00084323+0.00015959i,-0.0012326-0.0003135i,-0.00073421-0.00035176i,-9.0648e-05+0.00073212i,0.00018038+0.0015647i,0.00044316+0.00071482i,0.00049027-3.3087e-05i,2.6635e-06-0.00032646i,-0.00046766-0.00043777i,-0.00087679-0.00027203i
-0.0010324+0.0018626i,-0.00031194+0.00065194i,0.0013406+0.00063878i,0.0015112+0.0014048i,0.0011187+0.0015218i,0.0010742+0.00059152i,0.00082515+0.00013371i,0.0005132+0.00025248i,0.00040848+0.00024412i,0.00046477-0.00027914i,0.00015033-0.0004805i,-0.00042558+0.00022709i,-0.00083965+0.00087952i,-0.0011318+0.0012877i,-0.0012594+0.0011391i,-0.00064999+0.00083463i,0.00020858+0.0006171i,0.00046541+8.8966e-05i,0.00020252-0.00017466i,-0.00019891+2.9295e-05i,-0.00017386+3.8642e-05i,-5.243e-05+0.00078824i,0.00030736+0.00037372i
0.00082758+0.0010498i,0.00032048+0.00094896i,0.00052341+0.00064118i,0.00044365+0.0012637i,0.00017247+0.0025194i,0.00058946+0.0019425i,0.00052212+0.00095148i,0.00032603+0.00034644i,0.0010608+0.0005222i,0.0011516+0.00048888i,0.00084938-0.00039014i,4.283e-06-0.00045797i,-0.0003642+0.00071224i,-0.00028611+0.00082182i,-0.00044681+0.00026761i,-0.00034078+0.00043253i,2.8495e-05+0.00017272i,-0.00037547+0.00050106i,-0.00084165+0.00066446i,-0.00062514+0.0001865i,-0.00055087-0.0002944i,-0.00044178-0.00076905i,-0.0002856-0.0010006i
-0.0012501-7.7091e-05i,-0.0016847-0.00017118i,-0.00085918+0.0012127i,0.00047497+0.0011416i,0.00087724+0.00060407i,0.0001673+3.3002e-05i,-3.1196e-06-0.0001263i,0.00064269-0.00024571i,0.0012602-0.00013982i,0.0011826+0.00027522i,0.00046019-0.00014086i,-7.5082e-05-0.00078538i,-0.0001279-9.9983e-05i,-0.00061072-2.9145e-06i,-0.00059667+2.0962e-05i,0.00010988+0.00088917i,0.0011506+0.0011661i,0.0011542+0.001173i,0.00079515+0.0013276i,0.0010151+0.00072818i,0.00063146-5.6145e-05i,-0.00053965-0.0002661i,-0.00051572-2.6072e-05i
0.00034973+7.2761e-05i,-0.0004738-0.001214i,-7.7283e-05-0.0016356i,0.00021938-0.00082701i,0.00062603-0.0005903i,0.0001027-0.0011635i,-0.00036769-0.00097575i,4.6341e-05-0.00028936i,0.0008689-0.00016362i,0.0011945-0.00046138i,8.4614e-05-0.00042596i,-0.000998-0.00049972i,-0.00092185-0.00044847i,-0.00077052+0.00033022i,-0.0010394+0.00055474i,-0.00074893+0.00040313i,0.0006043-7.5684e-08i,0.00092638-0.00053525i,-0.00012969+0.00026224i,0.00010743+0.00049675i,0.00053587+0.00026065i,0.00026331+0.00064169i,0.00011422+0.00060186i
0.00045956-0.00059349i,-4.72e-06-0.00038622i,-0.00061852-0.0011376i,-0.00088177-0.00037617i,-0.0010736+0.00075986i,-0.00076428+0.0010825i,-0.00040342+0.00086675i,0.00031612+0.0012885i,0.0011753+0.0011153i,0.00010763+0.00070406i,-0.00067152+0.00053151i,0.00010956+6.183e-05i,0.00054634-3.2309e-05i,0.00014961+0.00018448i,-0.00017703+0.00068826i,-1.0937e-05+0.0011798i,0.00035737+0.00092583i,0.00038645+0.00041189i,0.00030263+6.9528e-05i,0.00075691-0.00057374i,0.00098607-0.00061934i,0.00059208-0.00032284i,-7.2983e-05+0.0001574i
-0.0010748-6.0587e-05i,-0.0014702-0.00040176i,-0.0013147-1.1458e-05i,-0.0011271+0.0013905i,-0.00072242+0.0017252i,-0.00023168+0.0007517i,0.00039569+0.00037805i,0.00098879+0.0011664i,0.0007559+0.0010375i,0.00035717-0.00032543i,0.0001219-0.0006602i,-0.00039743-8.0723e-05i,-0.00059447+0.00045993i,-0.0010477+0.00068715i,-0.0011105+0.0008192i,-0.00075343+0.00095391i,-0.0010282+0.00063239i,-0.00076762-3.3878e-05i,-0.00031826+5.598e-05i,-0.0002451+0.00015093i,-0.00014948+0.00042166i,-0.00040062+0.00042718i,0.00011247-0.0003203i
-0.00035267+0.00030274i,-0.0007383+0.000593i,-0.00064501+0.0010803i,-0.00035476+0.00037539i,-4.7904e-05+0.00069013i,-8.1135e-05+0.00073801i,0.00010037+0.00068841i,-5.4797e-05+0.0011911i,0.00031591+0.00025577i,0.00063118-0.0006017i,0.00021337-0.00043585i,-0.00023601-0.00014373i,-0.00044662+5.034e-05i,-0.00016699+0.00054605i,-2.1565e-05+0.00078674i,-0.00010704+0.00081467i,0.00059518+0.00043859i,0.0011971+0.00021309i,0.00094756-0.00025635i,0.00049824-0.00049604i,0.00087968-0.00026417i,0.0011222-0.00040586i,0.00016813-0.00052519i
0.0004425+0.0014435i,-5.097e-05+0.0001286i,0.00060374-0.00023735i,0.001637+0.00054942i,0.0012404+0.00073652i,9.2129e-05+0.00027133i,-0.00061626-0.00052356i,-0.0001154-0.00070953i,0.00011544-0.0002277i,-0.0002509-0.00084478i,-0.00049034-0.0010047i,-0.0003609-0.00080569i,-0.00038091-0.0006864i,-0.00060556-8.6479e-05i,7.2415e-05+0.00024725i,0.00054105+0.00064749i,0.00019327+0.0010126i,-0.00025099+0.00076319i,6.4227e-05+0.00061288i,0.0012381+0.00053293i,0.0011173-9.7093e-05i,0.00015615-0.0007924i,0.00025876-0.0011571i
0.00080952+0.0010623i,0.00096137+0.00059894i,0.0021516+0.00089545i,0.0023759+0.0010732i,0.0013147+0.00069453i,5.0074e-05-1.0094e-05i,-0.00026797-0.00043721i,0.00019912-0.00040264i,0.00091039-0.00019394i,0.00065699-0.00020602i,-0.00023131-2.0684e-05i,-0.0011961+0.0003994i,-0.0014194+0.00082222i,-0.0013433+0.00097061i,-0.00096569+0.0006851i,-0.00029368+0.00024454i,-9.3517e-05+0.00021986i,2.0912e-05+7.8233e-05i,-0.0001056-5.3425e-05i,0.00022334+0.00012941i,0.00071431-0.00019596i,0.00084016-0.00028158i,0.00075403-8.0017e-05i
6.7616e-05-0.00037847i,-0.0010534-0.00045391i,-0.0013492-0.00075695i,-0.00041705-0.00031125i,-0.00029171+0.0013909i,-0.0010628+0.0019481i,-0.00098581+0.0010436i,-0.00013121+0.00017693i,0.00027056-0.00040867i,0.00049233-0.00057372i,0.00045219+0.00013928i,0.00029223+0.00069932i,-0.00013609+0.0011543i,-0.00069734+0.001076i,-0.00076+0.00020992i,-7.0151e-05+0.00022997i,0.0006517+0.00040425i,0.00065033+0.00023609i,0.00070704-0.00046803i,0.00065516-0.00072714i,0.00049215-0.00051131i,0.00052342-0.0006844i,0.00013529-0.00056593i
-0.0010041+0.00037728i,0.00043168+0.00041799i,0.00036438+3.6015e-05i,-0.00040198+0.000821i,-0.00042173+0.0016204i,-0.00036801+0.0012692i,-0.00044991+0.00049474i,0.00025591+0.00062712i,0.00023759-5.8941e-05i,3.0063e-05-0.0012138i,0.00023167-5.6857e-05i,-0.00017175+0.0013032i,-0.00093447+0.00054622i,-0.00074906-7.9114e-05i,-0.00048662+0.00020516i,-0.00059497+0.00076007i,-0.00087642+0.0010643i,-0.0005572+0.00052167i,-8.1092e-05-2.6566e-05i,0.00044566-9.6555e-05i,0.00064769-3.8431e-05i,2.5242e-05+5.8256e-05i,-0.00022835+0.0002352i
-0.001668-0.00052348i,-0.0023209+0.00011813i,-0.0036534+0.00096681i,-0.0028514+0.0011337i,-0.0011917+0.0015251i,-0.00025964+0.0017737i,0.00016797+0.00071893i,-0.00010613-0.00047009i,0.00034233-0.00074682i,0.00092913-6.2452e-05i,0.00010898+0.00027967i,-0.00032249+0.00058056i,0.00010577+0.0012957i,-0.00014405+0.0013843i,-0.00087521+0.00079556i,-0.00026742+0.00074577i,9.9398e-05+0.00068298i,-0.00012496+0.0004513i,-5.4536e-05-0.00011688i,9.1787e-07-2.8421e-05i,0.00011828+0.0002393i,7.77e-05-3.1733e-05i,0.00016536-0.00046179i
-3.9377e-06+0.00053987i,-0.00075175+0.0010391i,-0.00012345+0.0016536i,0.00071299+0.0022219i,0.00077334+0.0013012i,0.00055356+0.00018223i,-0.00023753+0.00026486i,-0.00050317+0.00093333i,0.00019162+0.00092698i,0.00073832+0.00047956i,0.00021842+0.00028432i,-0.0001159+0.00031943i,-0.00024154+0.00035803i,-0.00043425+0.00064883i,-0.00055016+0.00048042i,-0.00050211+0.000139i,-0.00044932+0.00043008i,-0.00019249+0.0009735i,-2.713e-05+0.00064296i,0.00010339+1.1285e-05i,0.00021914-0.00037001i,5.6111e-05-0.00085122i,-0.00021462-0.00078053i
-2.0883e-05+0.00058877i,-0.001051-0.00059909i,-0.00062584-0.00045567i,-0.00043187+0.00056633i,-0.00084596+0.001057i,-0.00087676+0.00053431i,-0.00087412+0.00026051i,-0.00021603-1.4883e-05i,0.00038658-0.00054709i,0.00014-0.00071943i,0.00010212-0.0010726i,5.7068e-05-0.00035823i,-0.00014963+0.00040645i,0.00024411+3.8463e-05i,9.7937e-05+2.1986e-05i,-0.00037593+9.9538e-05i,-0.00020088+0.0002522i,-9.9554e-05-1.2369e-05i,-0.00010358-0.00063705i,9.3584e-05-0.00057919i,0.00039828-0.00039249i,0.0001645-0.00030105i,-0.00023401-0.00049665i
-0.0012608-0.00072384i,-0.00073542-0.001002i,-0.00078415-0.00030116i,-0.00040963+0.00059434i,-0.0001868+0.0011969i,6.8461e-05+0.0010257i,0.00060912+1.1815e-05i,0.00044064+0.00011073i,0.00018725-2.3263e-05i,0.00058972-0.00075292i,0.00089899-0.00019219i,0.00048128+0.00025019i,-0.00024818-0.00033208i,-0.00045246-0.00068479i,-0.00029027-0.00048746i,-0.00028281-8.2918e-05i,0.00020423+2.5091e-05i,0.00098686+0.00029547i,0.0018377+0.000473i,0.0016216+0.00033374i,0.00015216+0.00012833i,-0.00037594+0.00052051i,-0.00054892+0.00061645i
-0.00019301+0.00030497i,-0.00084635-0.00054013i,-0.00067237+5.0365e-05i,-0.00030887+8.7516e-06i,1.0027e-05+0.00038352i,0.0002166+0.0015639i,-0.000288+0.0012046i,-0.00010501+0.00042069i,0.00035469+0.000625i,0.00015602+0.0010894i,-0.00012699+0.00040103i,-0.00022648-5.8847e-05i,0.0002256+0.00049649i,0.00047797+0.0006586i,-0.00024858+0.00048017i,-0.00026237+0.00036092i,-0.0002493+0.00033572i,-0.00065984+0.00054832i,5.5813e-05+0.00041107i,0.0010791-0.00026478i,0.0014942-0.00078532i,0.00095476-0.00078414i,-6.4968e-05-0.0010557i
0.00062031-0.00056209i,0.0010147+0.00014435i,0.0012495+0.0001371i,0.00016661+8.2162e-05i,-0.00029986+0.00025983i,-0.00035044-6.8394e-05i,-0.0004129-0.00071029i,-0.00048872+0.00020574i,-9.092e-05+0.00049674i,0.0002842+0.00044053i,-0.00028992+0.00032206i,-0.00036143-0.00023751i,-4.093e-05+0.00030717i,-0.00098738+0.0015803i,-0.0016128+0.0014979i,-0.00095823+0.0018002i,-5.7273e-05+0.0016854i,0.00032422+0.0010306i,0.00045973+0.00045309i,0.0001726-0.00063603i,-0.00028399-0.00099848i,-0.00016949-0.0010825i,-1.7863e-05-0.0013515i
-0.00037546+0.00028144i,-0.00095274+0.000841i,-0.0012502+0.0018985i,-0.0013723+0.0029552i,-0.0016202+0.0020128i,-0.0014157+0.00068079i,-0.00096401+2.395e-05i,-0.00062454+0.00023242i,0.00038078+0.00020307i,0.00039636-0.00053848i,-0.0004956-0.00083674i,-0.00070574-0.00034644i,-0.00076008-0.00013925i,-0.0009701-0.00091995i,-0.00096019-0.0013959i,-0.00070032-0.0011616i,-0.0004842-0.0011184i,-0.0001838-0.00092481i,0.00017113-0.00030264i,0.00035595-0.00067262i,0.0008796-0.00089537i,0.0010162+0.00020593i,0.0002161+9.987e-06i
0.0005331-0.00077721i,-0.00067231-0.0004734i,-0.00086322-0.00094605i,-0.00093692-0.00092915i,-0.0011296+0.00012056i,-0.00097877+0.00041049i,-0.00057741+0.00017865i,0.00025677-7.7916e-05i,0.00041818-0.00070476i,7.2632e-05-0.0013665i,-0.00026929-0.00071353i,-0.000539-6.3374e-05i,-0.00026748+0.00018841i,0.00011908+0.00087809i,0.0004819+0.00068508i,0.00037338+0.00071856i,0.00053465+0.0011389i,0.00038881+0.00062558i,0.00044083-0.00030836i,0.00040533+1.3356e-06i,0.00011952+0.0005737i,0.00057412-0.00020377i,0.00051537-0.00076572i
0.00031491-0.00019608i,0.00049249+0.0016041i,0.00013588+0.002007i,0.0001322+0.00067621i,-0.00023454-0.00027993i,-0.00025166-0.0005604i,0.00082038+0.00033946i,0.0010774+0.00047952i,0.00052783+9.6403e-05i,-0.00025005+0.00022616i,-0.00065531+0.00060702i,-0.00026332+0.00028457i,3.8043e-05-0.00034532i,5.0307e-06+0.00021738i,-6.6679e-05+0.0010393i,-0.00033881+0.00053433i,-0.00031979-7.1074e-05i,-0.00036789-0.00030728i,-0.00011191-0.00042919i,-2.1109e-05-0.00068915i,-0.00029694-0.00054187i,0.00053507-0.00049112i,0.00089113-0.00075226i
-0.0023802+0.00052884i,-0.0036052-0.00064928i,-0.0022439-0.001137i,-0.00079077+0.00036155i,9.7608e-05+0.0005383i,0.00030062+0.00029569i,-0.00020346-3.4363e-05i,-0.00018093-6.0422e-05i,0.00050546+2.4205e-05i,0.00020959-0.00014347i,-0.00053676-0.00028176i,-0.00055885-0.00011019i,-0.0011296+0.00051205i,-0.0014977+0.00078301i,-0.001272+0.0008234i,-0.00096319+0.00040385i,0.00042454+0.00041675i,0.0009222+0.00074599i,0.00024334+0.00040487i,0.00082089-0.00031227i,0.0011297-0.00038054i,0.00021987-0.000607i,0.00025981-0.00081702i
-0.00044979+1.2891e-05i,0.0010049+0.0001232i,0.0014511-0.00083657i,0.00053029-0.001292i,-0.00013923+3.0641e-05i,-0.00077511+0.00094722i,-0.0012158+0.0013585i,-0.00076212+0.00085659i,0.0004326-7.5733e-05i,0.00078674+0.00022356i,0.00049776+0.00019666i,0.00014512+0.00059249i,-0.00086545+0.00091095i,-0.0014062+0.00057342i,-0.0016092-5.522e-05i,-0.0013569-0.00048808i,-0.00058512+0.000274i,-6.9245e-05+0.00041837i,0.00086757-0.00025463i,0.0016542-0.00087906i,0.0017439-0.0011086i,0.00085805-0.00051629i,-0.00014674+0.0001814i
-0.0010887-7.8029e-05i,-0.0017757-0.00027637i,-0.0010652-1.8781e-05i,-0.00014837+0.0017361i,0.00056013+0.0022983i,0.00075391+0.0012254i,0.00036955+0.00013888i,-2.7175e-05+0.00021083i,-1.7597e-05+0.00050454i,0.00030445-0.00025351i,0.00038632+9.3315e-05i,0.00042846-0.00014096i,0.00033203-0.00076662i,-0.00040245+0.00039756i,-0.0013219+0.00088053i,-0.00099622+0.0010306i,-0.00034555+0.0013041i,8.8864e-05+0.00096236i,0.0005908+0.00036911i,0.00087863-0.00011602i,0.0012741+0.0002559i,0.001466+0.0012288i,0.00076628+0.0009472i
-0.0020666-0.00070623i,-0.00039731+4.3619e-05i,0.00072684+0.0017052i,0.0012584+0.0023085i,0.00031972+0.0016036i,-0.00036968-6.7902e-05i,-0.00014707-0.00065379i,-5.0465e-05-0.00037548i,0.00010053+0.00012199i,0.00077964-2.9913e-05i,0.0012231-0.00029346i,-0.00017651+0.00094349i,-0.00092438+0.0011566i,-1.4686e-05+0.00030804i,-0.00038033+0.00059191i,-0.00098043+0.001694i,-0.0011832+0.001256i,-0.001101-0.00016489i,7.4202e-05-0.00046125i,0.00084012-0.0006531i,0.0010338-0.00043432i,0.0010065+2.1947e-05i,0.00048864-0.00052137i
0.00073183+0.00061619i,2.4672e-06+0.0015767i,0.00018428+0.001789i,0.00083139+0.0011856i,-0.00018334-3.4125e-05i,-0.0012593-0.00066733i,-0.0013179-0.00052794i,-0.00071177+0.00021035i,0.00023879+0.00043897i,9.7937e-05-0.00028569i,-0.00013486-0.00043611i,-0.00050248-0.00046507i,-0.00065385-0.00069991i,-0.00061748-0.00029593i,-0.00082505+0.00023927i,-0.00085861+0.00017989i,-0.00050602-0.00022109i,0.00026637+0.00049145i,0.00037277+0.00059796i,0.00026605+0.00015895i,0.00011045+2.3855e-05i,-0.00027277+3.7519e-05i,-0.00032106-5.0084e-05i
2.6669e-05-0.00072878i,-0.00025007-0.00089185i,-0.00038055-0.0010857i,-3.1661e-05-0.000635i,-0.00021064+0.00017702i,0.00011832+0.00088797i,0.00052271+0.00068448i,0.00013506+0.00055588i,0.00022316+0.000189i,-0.00029974-0.00041269i,-0.00065957+0.00031389i,-0.00045759+0.00046337i,-0.00016547-0.00029661i,-4.8924e-05-0.00063896i,-0.0004308+5.0958e-05i,-0.00064597+0.0011861i,-0.00076311+0.001023i,-0.00080239-0.00012123i,-0.00056727-0.00095819i,-0.00052872-0.00077281i,0.00042871-0.00032682i,0.0011385+0.00017984i,0.00096216-0.00012391i
