-0.001756+0.00059967i,-0.00062217-0.0011639i,-0.0015819-0.0011777i,-0.001931-0.0016225i,-0.0012571-0.00087424i,-0.00010525+0.00080258i,0.0011056+0.00035702i,0.0017349-0.00014698i,0.0014479+0.00044042i,0.0011878+7.9517e-05i,0.0012729-0.00069978i,0.0012142-0.00061717i,0.0010066-0.00015194i,0.00074278+0.00033934i,0.00053224+0.00047831i,0.00012538-1.5816e-06i,0.00028636-1.1502e-05i,0.00052909+0.00055168i,0.00075394+0.00081459i,0.0011311+0.00016245i,0.00085419-0.00062587i,0.00010719-0.00015406i,0.00026011+0.00021068i
0.00086681+0.00051728i,0.0010523+0.00057028i,0.0020068-1.3887e-07i,0.0019718-0.0012336i,0.0012583-0.00071787i,0.0019129+0.0015749i,0.0023523+0.0026849i,0.0019756+0.0018942i,0.0012509+0.00048612i,0.00098084+0.00024331i,0.00097527+0.000209i,0.0008545-0.00059796i,0.00031145-0.00085004i,-0.00026446-0.0002823i,0.00049256+0.00016285i,0.0012368+0.00034986i,-0.00013537-0.00043843i,1.6978e-05-0.00046075i,0.00084233+0.00018365i,0.00090569-0.00057822i,0.00029329-0.00026841i,-0.00067298+0.00028095i,-0.00079955+0.00048661i
0.00018661+0.00023436i,0.0018345-0.00031623i,0.0031874-0.0028059i,0.0020837-0.0034453i,0.00062079-0.0021539i,0.0012316-0.0007256i,0.0021754+0.00024157i,0.0019363+8.6556e-05i,3.7075e-05-0.00047965i,-0.00050062-0.00047575i,6.856e-05+0.00065715i,5.9736e-05+0.0012383i,0.00029732+0.00039242i,0.00029534+0.00032416i,-0.00017088+0.00014255i,-3.2417e-05-0.00084793i,0.00044429-0.00076465i,-6.8325e-05-0.0011877i,3.0744e-05-0.0018686i,0.00036712-0.0015099i,0.000489-0.0009169i,-0.00036937-0.00048417i,-0.0003437-0.00080478i
0.00075605+0.00080548i,0.00097413+0.00047257i,0.0013637+0.00012109i,0.0015119-0.00073823i,0.0015187-0.00066583i,0.0012649+0.00023375i,0.0018411+0.00091889i,0.002071+0.00091806i,0.0010758+0.00056825i,0.00064305+0.0010002i,0.00052492+0.001117i,0.0007172+0.0005729i,0.00050809+0.00046139i,0.00020925+0.0003844i,-0.00012088+0.00053093i,-0.00065309+0.00058423i,-0.0008225+0.00090367i,-0.00054414+0.00097299i,0.00023474+9.9279e-05i,0.00089551-0.00023973i,0.0010348-0.00032172i,0.00073447+7.7767e-05i,-0.00011517+0.00023743i
-1.4284e-05-0.0014754i,0.0014004-0.0017688i,0.0018139-0.0017418i,0.0017348-0.0014224i,0.0010607-0.00037847i,0.00072449+0.0010756i,0.0010443+0.00159i,0.001297+0.0010821i,0.00058771+0.00018362i,4.2689e-06+0.00015525i,0.00055734+7.169e-08i,0.00085737-0.00016493i,0.0010267-0.00015909i,0.00022058-0.00070679i,-0.00029182-0.00019745i,-0.00013466+0.00089961i,-0.00035132+0.00058748i,-0.00011648+8.6962e-05i,0.00010793+0.00025542i,0.00012589+0.00026313i,-0.00022749-0.00016093i,-0.00034618+0.00015182i,-0.000153+0.00044727i
0.001116+0.00093136i,0.0027293+0.00020052i,0.0043084-0.0010599i,0.0029338-0.0024475i,0.00099236-0.0022673i,0.000437+6.0432e-05i,0.00080346+0.0013939i,0.00083062+0.00080577i,-4.6486e-05+0.0001095i,-0.0003454+0.00033551i,-8.3986e-05+0.00098174i,0.00033695+0.0005617i,0.00069862+0.00022413i,0.000278+0.00045166i,0.0003209+0.00083057i,0.00097649+0.00096699i,0.0010858+0.00042849i,0.0012861+0.00037866i,0.00030619+2.1043e-05i,-0.00058969-0.00041049i,-0.00055675-0.00040768i,-0.00034344-0.00035401i,0.00049213-0.00051568i
-0.0011029-0.0001862i,-1.7147e-05-0.0007782i,0.0017098-0.0011014i,0.0017047-0.00083165i,0.00067835-0.00023665i,0.00068188+0.0004351i,0.0013007+0.0010159i,0.0016133+0.0013401i,0.0011015+0.0011624i,0.00046047+0.00076287i,0.00044363-0.00016769i,0.0007486-0.0011358i,0.00086987-0.0010544i,0.00075738-0.00054503i,0.00040028-0.00018587i,-0.00033101+0.00015366i,-0.00042595-0.00023905i,4.7917e-05-0.00037543i,0.00047774-0.00059541i,0.00072829-0.00071877i,0.00058199-9.0786e-05i,0.00068506+0.00076222i,0.00068469+0.00088947i
0.0016434-0.00051214i,0.00266-0.0014098i,0.0025727-0.0020246i,0.0010613-0.0018026i,-1.2876e-05-0.0012458i,0.00098123-6.1989e-05i,0.0018124+0.00044192i,0.0017118-0.00036103i,0.0011493-0.00032775i,0.0013386+0.00040143i,0.0014111+0.0013496i,0.00095841+0.0013056i,0.00063809+0.00025007i,0.00027864+0.00017639i,0.00044463+0.00051013i,0.0009156+0.0003347i,0.00022717-0.0002983i,-0.001058-0.00069465i,-0.00083019-0.00084437i,-0.00012943-0.0010948i,-0.00017231-0.00040283i,-0.00036875+0.000655i,0.00026718+0.00069504i
0.00081149+0.00046343i,0.0013294+0.00076539i,0.0022737+0.00032614i,0.0019435+0.0002416i,0.00048701+0.00091253i,-0.00047243+0.000871i,0.00029922+0.00014351i,0.00038201-0.00036478i,0.00026478+0.000302i,0.00018158+0.00065762i,-8.3246e-05+0.00024311i,1.1083e-05+0.00045643i,-6.0439e-05+0.00065465i,-0.00061861+0.00053741i,-0.00020956+0.00037824i,0.00020291-7.6557e-05i,0.00018591-0.00034867i,0.00045033+0.00016597i,0.00056447+0.00061875i,0.00012261+0.00074322i,0.00046139+0.00038541i,0.00076214+0.00056886i,0.00032866+0.00063525i
0.00055599-0.0010068i,0.00030468-0.0024686i,0.00031243-0.0033148i,0.0005627-0.0032626i,0.00051749-0.002507i,0.001437-0.00027617i,0.0027882+0.0015433i,0.0025221+0.0010456i,0.0011345+0.00042343i,0.00064611+0.00061369i,0.0010274+0.00081896i,0.001489+0.0008271i,0.0012222+0.00030448i,0.00057111-0.00026961i,-2.9934e-05-0.0002757i,-1.6972e-05-0.00018599i,0.00071193-0.00042732i,0.00054677-0.0007669i,0.00054771-0.0007553i,0.001013-0.00069244i,0.00082178-0.001035i,0.00015879-0.001009i,-0.00016942-0.00051767i
0.00061335+0.0001626i,0.0022039-0.00045753i,0.0039616-0.00034803i,0.003232-0.001018i,0.0013291-0.00050092i,0.0010274+0.00024183i,0.0023056-0.00036747i,0.0020734-0.00033608i,0.0004699+9.2744e-05i,0.00070374+0.00082487i,0.0011089+0.00058275i,0.00069057-0.00039882i,0.00049919-4.6439e-05i,0.00029708+0.00028961i,-0.00033557-0.00033961i,0.00032751-0.00030014i,0.00082874+1.6068e-05i,0.00060753-2.6874e-05i,0.0010047-0.00032056i,0.00077229-0.0012339i,-0.00040215-0.0016586i,-0.00028032-0.0010831i,0.00070362-0.00032559i
0.0017479-0.00046798i,0.0018492-0.00063825i,0.0018361-0.0016472i,0.0012314-0.0017776i,-0.00011157-0.0011721i,0.0001168+0.0003654i,0.0010144+0.0011174i,0.0013374+0.0004119i,0.0010888-0.00011401i,0.00091455-9.0308e-05i,0.00064722+0.00076756i,0.00057805+0.00086206i,0.00085882+0.00016831i,0.00078061-0.0002442i,0.00024831-0.00047772i,9.5682e-05-6.8914e-05i,0.00049327+0.00035482i,0.00069163+0.00037205i,0.00025586-0.0004236i,9.4374e-06-0.00046388i,0.00070024+8.3366e-05i,0.00084385+0.00057852i,0.00011671+0.00038365i
0.0010307-0.0019998i,0.0024655-0.0015338i,0.0033784-0.0021504i,0.00312-0.0020071i,0.0011653-5.2265e-05i,0.00026006+0.0018617i,0.0013195+0.0019157i,0.0020463+0.00054509i,0.0016899-0.00039889i,0.00068693-0.00043644i,0.00038704-0.0007279i,0.0002114-0.00029481i,0.00056723-2.1116e-05i,0.00075905-0.00053464i,-0.00020441-0.00070512i,-0.00025492-0.00042136i,-5.4564e-05-0.00033295i,-0.00067755-0.00026731i,-0.00017552-7.6768e-05i,0.00044953-9.057e-05i,0.00028772-4.6044e-05i,0.00057963+0.00055892i,0.00064087+0.0011409i
0.00019196+0.00085671i,0.0015776+0.00053466i,0.0026398+0.00029954i,0.0025902-0.00022883i,0.0019166-0.00057141i,0.00097048-7.1092e-05i,0.00099072+0.00045943i,0.00047984+0.00035483i,7.532e-05-0.00028826i,0.00063723-0.00043367i,0.0011885-6.508e-05i,0.0015778+0.00053123i,0.001042+0.00080538i,9.1917e-05+0.00076281i,1.2315e-05+0.00040141i,-7.7148e-05-0.00023468i,0.00034101-0.00046997i,-8.2997e-05-0.00066869i,-0.00013821-0.00074933i,0.00026703+5.667e-05i,0.00042131+0.00057533i,0.00045858+0.0002404i,-1.9184e-05+0.00068695i
0.0011296+0.00084825i,0.0017576+0.00019075i,0.0023431+0.00034155i,0.0015834-0.00012738i,0.00071627-0.00083659i,0.00053211-0.00049522i,0.0005071+0.00024113i,0.00048142+0.0003011i,0.00089342-0.0004943i,0.00079228-0.00064486i,0.00029169-0.00060438i,0.00071918-0.00066083i,0.00085427-0.00051151i,0.00056494-2.4009e-05i,0.00078531+0.00056949i,0.00036759+0.00050253i,0.00012614+0.00020894i,0.00019007+0.0002104i,-0.00020765+0.00026089i,-6.8485e-05+0.00029494i,3.3213e-05-4.6497e-05i,-8.6773e-05-9.6204e-05i,0.00030383-0.00032727i
0.001201+0.00059241i,0.0022429-0.00043548i,0.0033733-0.0022283i,0.0024461-0.0024567i,0.0007063-0.00050562i,-0.00011375+0.001247i,0.00022108+0.0011402i,0.0011702+0.00075432i,0.0007884+0.00093237i,-0.00032436+9.7045e-05i,0.00012293-0.00031583i,0.00055825-0.00013215i,0.00051481+0.0006637i,0.00094748+0.00091151i,0.0012006+0.00072575i,0.00042544+0.00045059i,5.64e-05+0.0002582i,2.9574e-05+0.00055349i,-0.00066854-1.8298e-05i,-0.0013421-0.0004279i,-0.0016986-0.00099878i,-0.00065748-0.0013722i,0.00021041-0.00070545i
0.00069309+0.00089919i,0.0025827+0.00075417i,0.0034961+0.00070143i,0.0028427+0.0002297i,0.0013839-0.00014593i,0.00071157+0.00071631i,0.0014275+0.0010612i,0.0021359+0.00070782i,0.001318+0.0008283i,0.00025397+0.0009113i,-4.9838e-05+0.00074116i,0.00014305+0.00038448i,0.00052837+0.00040898i,0.00026591+0.00059937i,0.00017746+0.00047421i,0.00071971+0.00030437i,0.00061457+0.00032388i,0.00033704+0.00020502i,0.00046841-0.00077875i,0.00064965-0.00087024i,5.3232e-05-0.00047108i,-0.00057769-7.3614e-05i,-0.00059608+4.544e-05i
-0.0010966-0.00058452i,-0.00053722-0.0016167i,0.00091688-0.0018155i,0.0022821-0.0016651i,0.0026262-0.0014217i,0.002249-0.0010351i,0.0012506+0.00016948i,0.0006176+0.00047974i,0.00067479-4.9897e-05i,0.00038941+0.00019237i,0.00013778+0.0010133i,0.00056913+0.00072918i,0.00055754+8.8184e-05i,0.00041847-0.0002475i,0.00063994+0.00043726i,0.0007018+0.0014669i,0.00073254+0.00095157i,0.0014522-0.00013233i,0.001174-0.00076932i,0.00018611-0.00080551i,2.6363e-05-0.0001301i,0.00026434+9.0843e-05i,0.00044968-0.00020683i
0.0028504+0.00032929i,0.0044508+0.00014197i,0.0042144-0.00049256i,0.0020414-0.0013403i,0.00045002-0.0010375i,0.00073067+0.00011879i,0.0018096+0.0011151i,0.0018946+0.0010331i,0.00087752+0.00023916i,-0.00022794-0.00014664i,-0.00038217+0.0004072i,0.00046856+0.00083809i,0.00086417+0.00037785i,0.00049701-0.0006591i,0.0009339-0.0012341i,0.0010433-0.00138i,0.00076266-0.0016877i,0.00026715-0.00087712i,-0.00033587+7.9382e-05i,-0.00031391-0.00015252i,0.00050392-7.7746e-05i,0.00090286+0.00021232i,0.00033287-8.5467e-05i
-0.00021703+0.0010442i,-9.4819e-06+0.001117i,0.0011125+0.00032172i,0.00049128-0.00060251i,-0.00085724-0.00041387i,-0.00023638+0.00035222i,0.0015886+0.00083092i,0.002222+0.00068455i,0.0015039+0.00063469i,0.00038888+0.00071373i,-0.00040225+0.00041271i,-4.6835e-05+8.8003e-05i,0.00040226-0.00014773i,0.00021092+8.8165e-05i,0.00093966+0.00069088i,0.0011818+0.00028295i,0.0006935-0.00027058i,0.00040502-0.00039357i,8.1408e-05+8.4413e-06i,0.00041978+0.00017939i,0.00058511-0.00018274i,-0.00027749-0.00049613i,-0.00067633-0.00072754i
0.0013554+0.00019811i,0.0032603-0.0013808i,0.0041902-0.0024947i,0.0032256-0.0018518i,0.0012191-0.00024751i,0.0009168+0.00077436i,0.0020579+0.0011198i,0.0019912+0.00094597i,0.00065837+0.00085906i,-8.0774e-06+0.00062705i,0.00057105+0.00044558i,0.00073276+0.00080383i,0.00094998+0.00059391i,0.0011065+0.00018278i,0.00082518-3.2323e-07i,0.00048586-0.00069246i,-1.648e-05-0.0013163i,0.00013503-0.00096496i,0.00072545-0.00011026i,0.00038518+0.00027147i,-0.00033268-0.00049878i,-0.00023017-0.00049966i,0.00010005+0.00036702i
0.00080093-0.00067929i,0.0025045-0.0002046i,0.003201-0.0011291i,0.0023611-0.0020275i,0.00158-0.0010833i,0.001718+0.00020891i,0.002707+0.00055072i,0.0024122+0.00039275i,0.0009596+0.000155i,0.00048249+0.00047166i,0.00078748+0.00077741i,0.00058117+0.00050689i,0.00035711-0.0007107i,0.00050702-0.0011069i,0.00057492+6.2869e-05i,0.00077082+0.00064593i,0.00044636+0.00038321i,-0.00019726-0.00013672i,-4.8805e-05-0.0003714i,0.00058865-9.5403e-05i,0.0006852-0.00028881i,0.00030238-0.00060612i,-7.0544e-06-0.00078464i
-0.0015609+0.00053211i,-0.00016527+0.00010389i,0.0002348-0.0010722i,-0.00088706-0.0016633i,-0.0017622-0.00074671i,-0.00028108+0.00096025i,0.0016902+0.0015383i,0.0014778+0.0012794i,0.00031296+0.00011732i,0.00046399+0.00037991i,0.0008627+0.0013572i,0.00096816+0.00042675i,0.0011908-0.00079362i,0.00048179-0.00063404i,-0.00023428+0.00046063i,4.931e-05+0.00063333i,-0.00032109-0.00027617i,-0.00047057-0.00012062i,-0.000214+0.00066389i,-8.2177e-05+0.00072819i,0.0002505+0.0010585i,0.00054811+0.0011908i,0.00085518+0.00044156i
-0.00013482+5.8662e-06i,0.0022482-0.0012746i,0.002886-0.0015676i,0.0023315-0.00062342i,0.0015319+0.00048453i,0.0016949+0.0011071i,0.0021044+0.0015373i,0.0013783+0.00062616i,0.00062426-0.00037209i,0.00089971+0.00027828i,0.00091844+0.0007711i,0.00038299+0.00053423i,-8.4533e-05-0.00028826i,0.0004756-0.00024735i,0.0013425+0.00077514i,0.0012038+0.00076285i,0.0014577-5.4388e-05i,0.0019817-0.00020118i,0.0010964-0.0003146i,-2.7449e-05-0.00043231i,-0.00073943-0.00043457i,-0.0012921-0.00034958i,-0.00057096-6.8808e-05i
0.0014815+0.00088728i,0.0022622+0.0001077i,0.0031055-0.0011357i,0.0029395-0.0027903i,0.0017589-0.0021992i,0.00064924-1.7488e-06i,0.00064827+0.00094687i,0.00085+0.00066287i,0.00076205+0.000282i,0.00075767+0.00070108i,0.00062642+0.00084439i,3.3112e-05+0.00025377i,-0.00016484-9.2837e-06i,0.0002783+3.8012e-05i,0.00085009+0.00075534i,0.0017205+0.0013695i,0.0017357+0.0006176i,0.00038302+0.0002879i,-0.00036332+3.8865e-06i,5.2193e-06-0.00063394i,0.00032578-0.00069466i,0.0012703-0.00038654i,0.0013706-5.1597e-05i
0.0006901-0.00088175i,0.001021-0.0014565i,0.00063857-0.0018073i,0.00043878-0.00086838i,-0.00026782+0.00064656i,0.00040508+0.0016285i,0.0013951+0.00088332i,0.0012119-0.00020198i,0.00072131-0.00072498i,0.00071902-0.000524i,0.00061417+0.00019956i,5.5335e-05+0.00019155i,-0.00027192-0.00015881i,-0.00038106-0.0003776i,0.00010468-0.00017684i,0.00093593+0.00086435i,0.00048539+0.00077965i,0.00023517-0.00027247i,0.00065442-0.00096601i,0.00084359-0.00051816i,0.0013261-0.00026899i,0.00094609-0.00023658i,0.00016687-0.00029733i
0.00049108-0.0011016i,0.0020978-0.0014905i,0.00375-0.0025513i,0.0026552-0.0031266i,0.00067771-0.0020047i,0.00029758+0.00013388i,0.0017385+0.00097759i,0.002271+0.00037749i,0.0013689+0.00014425i,0.00090505+0.0011584i,0.00085346+0.00098073i,0.00076524+0.00023666i,0.00069903+0.00054499i,0.00077951+0.0005149i,0.00031926+0.00025721i,0.00023134+0.00067539i,-0.0002066+0.00076758i,-0.00041395-8.9476e-05i,0.00084626-0.00047486i,0.00083289-0.0003889i,-0.00021032-0.00029791i,-0.00074306+0.00018712i,-0.00017784+0.00060008i
0.00057157+0.0015205i,0.0017367+0.0017896i,0.0028461+0.0010307i,0.0024691+2.6088e-05i,0.00076669+0.00010996i,0.00077015+0.001053i,0.0020772+0.0014316i,0.0021273+0.0008169i,0.0007155+0.00024171i,-0.00023135-0.00021602i,-0.00036534-0.00017138i,-0.0001255-0.00024189i,-0.00013748-0.00038103i,-0.00042136-0.00061169i,-0.00027579-0.00086405i,-0.00020273-0.00065441i,-0.00032579-0.00051348i,-0.00091748-0.00060591i,-0.0010967-0.00098391i,-0.00011056-0.00066389i,0.00049829+0.00055103i,0.00015422+0.0012586i,-0.00063339+0.0010637i
-0.00045356+0.00055585i,0.00047652-0.00046135i,0.0023192-0.0014907i,0.0018756-0.0021782i,0.00051402-0.0017525i,0.00021772-0.00069262i,0.00091313+0.00019003i,0.0010333+0.000549i,0.00050239+0.0006027i,0.0004091+0.00053974i,-0.00041687+0.00020911i,-0.00092252-1.3909e-05i,0.00019667-0.00013575i,0.00018077+0.00026451i,-0.00026232+3.3043e-05i,0.00010645-0.00013339i,0.00013577+0.00023461i,0.00015302+2.1578e-05i,0.00072539+0.00014037i,0.00031519+0.00016547i,-0.00032708+0.00038563i,0.00013188+0.00025267i,0.00069709-4.6129e-05i
0.00054788-0.00016275i,0.0020914-0.00024689i,0.0023138-0.00043022i,0.0015366-0.0010943i,0.0002514-0.0013083i,0.00042337-0.00012026i,0.0011635+0.0006851i,0.0011618+0.00028061i,0.00051494+0.00013674i,0.00016162+0.00018004i,0.00046006+0.00019833i,0.00074161-0.0003511i,0.0004299-0.00041907i,2.5283e-05-0.00052889i,-0.00031978-0.00020496i,-0.00064761+0.00073623i,-0.00021411+0.0009085i,0.00047043+0.00085961i,0.00070322-9.8348e-06i,0.00085521-0.00068556i,0.00095553-0.00078152i,0.00053289+0.00036274i,0.00018025+0.00033387i
0.001024+0.00037943i,0.0022334+0.0001279i,0.0025076-0.0014979i,0.001354-0.001747i,0.0010884-0.00059631i,0.001269+0.00044195i,0.0016552+0.00046933i,0.0015586+0.00083948i,0.00031508+0.0006624i,7.5512e-05+0.00057561i,0.00083937+0.00055983i,0.0011368+0.00015631i,0.00077167-8.8149e-05i,0.00029107-0.00019517i,7.4789e-06-0.00018648i,0.00021914-0.00028004i,0.0004185-0.00075028i,3.6171e-05-0.00092761i,-0.00048143-0.00056259i,9.4006e-05+4.5231e-05i,0.00017153+0.00016479i,-0.00068709-0.00024176i,-0.00051949-0.00044028i
0.001246-0.00032934i,0.0023426-0.001547i,0.0031934-0.0025658i,0.0026623-0.0023362i,0.0010531-0.0011938i,0.00097096-0.00018827i,0.001883+0.00043945i,0.0015446+0.0010972i,0.0010435+0.00079709i,0.0013134+0.00069972i,0.0012547+0.0010205i,0.00099261+0.00067411i,0.00066644+0.0002301i,-0.00019041+0.00033466i,-0.00029751+0.00024364i,0.00065131-1.8947e-05i,0.00047613+0.00025547i,-0.00023987+0.00060704i,-0.00037797+0.00070102i,-0.00014432+0.00019545i,0.00034902-0.00083158i,-2.6742e-05-0.00077896i,-0.00076332+0.00031958i
0.0014804-0.00069993i,0.0025133+0.00019993i,0.002594-0.0012252i,0.0012403-0.0018527i,-0.00012696-0.00045452i,-0.00053684+0.0014279i,0.0010067+0.0016641i,0.0020986+0.00081193i,0.0014193+8.6417e-05i,-9.395e-05-7.118e-05i,-0.0012587+0.00017803i,-0.000821+0.00039811i,-2.234e-05+0.00080049i,-0.0004855+0.00094692i,-0.0008931+0.00047487i,0.00021134+0.00041082i,0.001632+0.0007041i,0.0014699+0.00091312i,0.0011535+0.00077869i,0.00057999+0.00091668i,-0.00034847+0.00068054i,-0.00065363+0.00031082i,-0.00096103-5.8205e-05i
4.7671e-05+0.00080847i,0.0016923+0.0010305i,0.0015331+0.0016029i,0.0015845+0.0015133i,0.0023637+0.0015184i,0.0015576+0.0012921i,0.00050918+0.0012882i,0.00013545+0.00056593i,-0.0012491-0.00011066i,-0.0013911+1.6903e-05i,-0.00037271+0.00072165i,0.00014669+0.00071839i,1.7248e-05+9.7336e-05i,-0.00063986+6.238e-05i,-0.00065144-0.00049578i,0.00048435+5.5079e-05i,0.00094824+0.0011648i,0.00059522+0.00055864i,0.0011376-0.00055931i,0.001223-0.00032077i,7.9875e-05+0.00051411i,7.6287e-05+0.00011017i,0.00070699-0.0011104i
