-0.0028165+4.6682e-05i,-0.0036127-0.00098215i,-0.0046922-0.0011209i,-0.0037538+0.00021169i,-0.0029176+0.00083891i,-0.0029698+0.0013284i,-0.0022298+0.0014312i,-5.8163e-05+0.0016194i,0.001183+0.0013545i,0.0017883+0.00035247i,0.0023042-0.00021193i,0.00085116-0.00030069i,-9.731e-05-0.00068237i,9.4585e-05-0.00010643i,-0.00032306-0.00011618i,-0.0010972-0.00031619i,-0.001852-9.0995e-05i,-0.0011157-0.00018291i,-4.8774e-05-0.00043929i,-5.2431e-05-9.2471e-05i,-0.0001865-0.00010962i,-0.00035904-0.00018854i,-8.7191e-05+8.8136e-05i
-8.1993e-05-0.00020314i,1.6312e-06-0.001349i,-0.0013458-0.0014888i,-0.0019054-0.0011302i,-0.001947-0.001872i,-0.0016466-0.0015551i,-0.00097619-2.5028e-06i,-5.018e-05+0.00018325i,0.00061594-0.00019361i,0.00085593-6.1666e-05i,0.00080282+0.00015664i,-7.3609e-05-0.00026112i,-0.00022237-0.00055363i,-0.00034942-3.3978e-05i,-0.00098714-7.3221e-05i,-0.0006838+0.00019304i,3.0753e-06+0.00041683i,0.000124+8.9301e-05i,-0.00016695-0.00022138i,-0.00040932-0.00028284i,-7.488e-05-0.0004213i,7.5017e-05-0.0001434i,-3.1892e-05+0.00025407i
-0.0013413+0.00085747i,-0.0024128+0.00074499i,-0.0018483-0.0001553i,-0.0014948-0.00068348i,-0.0016888-0.00049519i,-0.0017254-0.00041782i,-0.0012918-0.00023886i,-0.00085711+4.9024e-05i,-0.00040549-0.00014491i,-2.2465e-05-0.00030385i,0.00034659-0.00013212i,0.00023825-0.00022113i,-0.0003007-0.00050777i,-0.00055792-3.7329e-05i,-0.00030886-0.00014324i,0.0001126-0.00073486i,-6.008e-05-0.0005749i,0.00020745-7.9542e-05i,0.00050538+0.00034353i,0.00081356+0.00035046i,0.0004109+0.0001504i,-0.00037314+0.00068407i,-0.00051404+0.00078119i
0.00070116+0.0010763i,0.00062981+0.00091198i,0.00046527+0.0002594i,-0.0014413-0.00024124i,-0.0030314-0.001226i,-0.0032071-0.0011761i,-0.0025773-0.00044626i,-0.0015556+0.00011404i,-0.00025315+0.00036258i,0.00055062+0.0004511i,0.0001007+0.00014757i,-0.00043959-0.00035765i,-0.00010537+9.1293e-05i,-0.00024556+0.00057534i,-0.00082943+0.00059085i,-0.0012097+0.00034149i,-0.00041063+0.00043843i,0.00097527+0.00079482i,0.00092568+0.00073865i,0.00085354-5.9176e-06i,0.00086287-9.1635e-05i,0.00052825+2.2369e-05i,0.00074497-5.312e-05i
-2.0464e-05+0.00098288i,-0.00026555+0.00101i,-1.5007e-05-3.0141e-05i,-3.3644e-05-0.00044524i,-0.00078646-0.0012419i,-0.0012148-0.0014811i,-0.0007052-0.0006449i,-0.00034347+4.4135e-05i,-4.734e-05-0.00031818i,0.00091156-0.00056685i,0.00088481-0.00068127i,8.2831e-05-0.00085276i,-0.00056772-0.0003642i,6.9052e-05-0.00037456i,0.00046757-0.00040364i,0.00013706+5.1584e-05i,0.00010863+0.00036478i,-0.00029239+0.00024744i,-0.00036049+0.00062516i,7.0168e-05+0.00079107i,-0.00014024+0.00094807i,-0.00098553+0.0010026i,-0.0012539+0.0010123i
-0.00017902-3.0818e-05i,-0.00071363+0.00024675i,-0.00088304-0.00096866i,-0.00066307-0.0015404i,-0.0014009-0.0012322i,-0.0019343-0.0012162i,-0.00096387-0.0010543i,0.00030515-1.9741e-05i,0.00088482+5.893e-05i,0.00070875+4.3697e-05i,9.0281e-05-0.00024431i,-0.00051739-0.0005457i,-0.00035167+0.00012673i,-0.00034526+0.00044517i,-0.00058216+3.3906e-06i,-0.0010703+0.00019928i,-0.00098241+0.00024146i,-0.0012604+0.00076407i,-0.00071095+0.00071181i,0.00028902-5.4831e-05i,-0.00010434+0.00020091i,-0.00012065+4.3854e-05i,0.00024979-0.00039174i
0.00075742+0.00026825i,0.0016585+0.0003903i,0.0017179+0.00076415i,-5.385e-05+0.00066189i,-0.0015347-2.045e-05i,-0.0025426-0.00056274i,-0.0025806-0.00057769i,-0.0010778+0.00017406i,0.00036867+0.00050776i,0.00088093+0.00033597i,9.3917e-05-7.9022e-05i,-0.00084238-2.2861e-05i,-0.00080588+0.00036321i,-0.00012755+0.00045814i,-6.8227e-06+5.0629e-05i,-0.00053808-0.0004922i,-0.00060196-0.00026578i,-0.00056137+0.00012331i,-6.1182e-05-0.00019607i,0.00047527-0.00063222i,0.00018453-0.00025995i,-0.00012128+0.00051631i,6.6822e-06+0.00035419i
0.00019977+0.00052626i,0.0010997-0.00020972i,0.0013298-0.00095029i,-8.5307e-05-0.0012863i,-0.0017589-0.00026607i,-0.0020587+0.00018766i,-0.00077536-0.00021341i,-0.00020029-0.00029403i,-0.00040086-6.5856e-05i,-0.00019113+0.00078647i,-0.00023015+0.0008504i,-0.00071004+0.00058649i,-0.00071175+0.00068904i,-0.0001342+0.00065013i,4.466e-05+0.000279i,-0.00025931+6.4256e-05i,0.00013369+8.5029e-05i,0.00070977+0.00018147i,-0.000154+7.9941e-05i,-0.0007518-0.0009378i,-0.0011687-0.00099575i,-0.0018043-0.00048972i,-0.0008643-0.00020047i
-0.00041075-0.00064423i,-0.00069173+0.00022579i,-0.0015345+0.00051143i,-0.0017713-0.00017861i,-0.0017339-0.00015369i,-0.0015674-3.1694e-05i,-0.00062111+0.00022397i,0.00013292+0.001091i,0.00035329+0.0010001i,0.00018559+0.0005601i,0.00052562+0.00028267i,0.0012212+0.00035113i,0.0010079+0.00067939i,8.6118e-05-6.0189e-05i,-0.00017498-0.0006835i,0.0002716-0.00087254i,0.00041776-0.00065603i,-0.00028917+2.0072e-05i,-0.00032902+0.0001012i,-7.8095e-05+0.0002512i,-0.00095169+0.00091823i,-0.00070154+0.00034334i,0.00018575+6.7107e-05i
4.4134e-05+0.0010076i,9.9473e-05+0.00071127i,0.00079173+0.00033508i,0.00047706-0.00087451i,-0.00098539-0.00094094i,-0.0018239-0.00017993i,-0.0010031-0.00024404i,0.00068899-7.5364e-06i,0.0007123+6.6706e-05i,0.0010225-0.00040628i,0.0014771-0.00042809i,0.00074711-0.00067139i,7.5129e-05-0.0006064i,-0.0006005-0.00016975i,-0.00082419+0.00050238i,-0.00048123+0.0007003i,-0.00014712-3.779e-05i,-0.00022309-0.00025383i,-0.00054869-1.5814e-05i,-0.00014034-0.00024832i,-6.7812e-05+0.00015825i,-0.00035117+0.0013281i,0.0001852+0.0016876i
0.00062179-0.00089285i,0.00087094-0.00093245i,0.00037718-0.0012558i,-0.0011937-0.0012672i,-0.0019965-0.0013315i,-0.0018524-0.0019693i,-0.0012554-0.00075929i,-0.00082604+0.00053203i,-0.0011432+4.5545e-05i,-0.0012489-0.00036171i,-0.0007141-0.00036866i,3.5516e-05-0.00040131i,-5.7826e-05-0.0007351i,-0.00017233-0.0011497i,0.0002984-0.0003129i,-6.8109e-05+0.00050038i,-0.0003129+0.00039286i,0.00011612+0.00014461i,6.2769e-05-1.7332e-05i,5.4998e-05+0.00045265i,-0.00012086+0.00029862i,-0.00015858-0.00046175i,0.00065799-0.00046591i
