-0.0023237+0.0020711i,-0.00079769+0.00064334i,-0.00085291+2.6814e-05i,9.5922e-05+4.5707e-05i,0.00072816+0.0016143i,0.00073512+0.0018204i,0.00067962+0.00069589i,0.0013116+0.00012098i,0.0013102+0.0001276i,0.0003934-8.4757e-05i,3.2432e-05-0.00082883i,-0.00018205-0.0017259i,-0.0006855-0.0020021i,-0.00079879-0.0017976i,-0.00014881-0.00091086i,6.4917e-05-0.00017194i,0.00042858-7.7262e-06i,0.00037578-0.00012005i,0.00028055-0.00079306i,0.00026996-0.0010844i,0.00053698-0.00076415i,0.00058993-0.00034261i,0.00023027-4.4839e-05i
-0.0022413-0.00075255i,-0.0015388+0.0014189i,-0.00080748+0.0021555i,0.00031583+0.0019341i,0.00055134+0.0020744i,0.00086777+0.001706i,0.0013743+0.00070145i,0.00041071+0.00017351i,-0.00024363+0.00054639i,-0.00017762+0.0011085i,0.0001337+0.0011357i,0.00028499+0.00093279i,0.00041993-0.00020003i,0.00090709-0.00076715i,0.00060061-0.00024032i,0.0003901+6.6679e-05i,0.00084864-0.00023416i,0.00069492-0.00060537i,0.00030164-0.00054629i,0.00024868-0.00050504i,0.00054923-0.00070421i,0.0012876-0.00045687i,0.00084162-0.00052813i
0.00034542+0.0020776i,-0.0001655+0.0017352i,0.00072006+0.00059061i,0.0006953-0.00041297i,0.00015905-0.00058627i,0.00026332-0.00090606i,-0.00013167-0.00084455i,-7.7934e-05-0.0004103i,9.7147e-05-0.00022224i,-0.00054639-7.7841e-05i,-0.00024923-0.00037674i,0.0001685+6.9389e-05i,-8.5902e-05+0.0005011i,-0.00029244+1.9295e-05i,-0.00067359+0.00010018i,-0.00014834-8.0012e-05i,0.0007987-7.6654e-06i,0.0012066+0.00041779i,0.00071051+0.00024443i,-7.0981e-07-0.00044112i,-0.00019385-0.00092569i,-0.00035754-0.0003825i,8.8177e-05-1.502e-05i
-0.00013745-0.00039909i,0.00023386+0.00090573i,6.766e-05+0.0021389i,-0.00029456+0.001143i,-0.00057765+0.00012627i,-4.0122e-05-0.00028484i,0.00084579-0.00036884i,0.00057802-0.00049482i,-0.00079542-0.00025639i,-0.0017942+1.0201e-05i,-0.0010881-1.1552e-05i,-0.00025889+0.00041527i,-1.6653e-05+0.00029894i,1.7028e-05+0.00018097i,3.5826e-05-0.00024109i,-0.00053854-0.00052909i,-0.00058326-0.00037061i,-0.00012383-0.00030793i,-7.0453e-05-0.00015163i,0.00028478-0.00022399i,0.00015053+1.8187e-05i,0.00022313+0.00086178i,9.8803e-05+0.00063539i
0.0001002-0.0010965i,-0.00034682+0.00060789i,-0.00054692+0.0012536i,-0.00055233+0.0014725i,-0.00041796+0.00065303i,-0.0012165+0.00021378i,-0.0016444+0.00026276i,-0.00074006-0.00036735i,-0.00015941-0.00036564i,-1.4104e-05+0.00035624i,-9.6094e-05+0.00035444i,-0.00041758+0.00075912i,-0.00018368+0.00092984i,0.00014709-0.00012564i,0.00047151+4.314e-05i,0.00047359+0.00042204i,-0.00038487-6.8688e-05i,-0.0012405+0.00023197i,-0.0011048+0.00049701i,5.9249e-05+0.00012641i,0.00055805-3.6298e-05i,-0.00016049+5.6056e-05i,-0.00027778-0.00037496i
-0.00068977+0.0013524i,-0.00061941+0.0020506i,-0.00086102+0.0018837i,-6.9208e-05+0.001492i,0.00066653+0.001261i,0.00040455+0.00095093i,9.4422e-05-0.00013528i,0.00053411-0.00028232i,0.00044207+0.00032841i,-0.00042879+0.00013846i,-0.0010076-0.00041719i,-0.00075593-0.00049176i,2.5963e-05-0.00033319i,0.0004045-0.00023811i,8.039e-05+5.7383e-06i,-5.2822e-06-5.9537e-05i,-0.00025823-0.00016414i,-0.00052061-0.00015188i,-0.00019283-5.0806e-05i,6.3105e-05+0.0003307i,-5.9381e-05+0.0010888i,-3.4368e-05+0.00057791i,0.00027905-0.00061217i
0.00035659-0.00024508i,0.00076857-0.00056567i,0.00054838+0.00020552i,-0.00027997+0.00077501i,-7.6642e-05+9.6409e-05i,0.0013867-0.0010473i,0.0012463-0.0014395i,0.00064423-0.0004664i,0.00016068+0.00048115i,-0.00029358+0.00012311i,-0.000335-0.00042382i,-0.0003988-0.00036429i,-0.00023931-0.00057137i,-0.00015773-0.00037736i,-0.00040601-0.00043168i,0.00014656-0.00037845i,-0.00017305-9.5261e-05i,-0.00051772+0.00043597i,-0.00040497+0.00050448i,-0.00059251+0.00044423i,-0.0010226+0.00079413i,-0.0011486+0.00042261i,-0.00060554+0.00051423i
-0.0012332-4.5859e-05i,-0.0014176+0.0013809i,-0.00108+0.0029792i,0.00041013+0.0040317i,0.0013091+0.0033694i,0.0010865+0.0010203i,0.00050491-0.00055468i,-0.00017953-0.00082556i,-0.00013157-0.00056834i,-1.1056e-05+0.00047184i,-0.0002824+0.0014236i,-0.00022243+0.0010537i,0.00037051+0.00027364i,0.00088086+0.00045109i,5.6133e-05+0.00070091i,-0.00029764+0.00040973i,6.5102e-05-0.00033816i,-1.3031e-05-0.00044622i,-0.00026695+0.0002696i,-0.00011512+0.00033172i,0.0009796-0.00019737i,0.0011824+0.00022612i,0.00039025+0.00086031i
-0.0011522+0.0032028i,-0.00053047+0.0025717i,0.00063233+0.0025569i,0.0013356+0.0012398i,0.0019931-0.00081375i,0.0014448-0.0019969i,-0.00013159-0.0013628i,-0.00087456-0.00025824i,-0.00070363+0.00027588i,-0.0002276+0.00011004i,-0.00010021+0.00019069i,-0.00056639-2.8101e-06i,-0.0012679-0.00044454i,-0.0012186-0.00038521i,-0.00078706-5.4446e-05i,-0.00052014+0.00041612i,-0.00037586+0.00042192i,0.0001931+0.00064068i,0.00037197+0.001233i,0.00024917+0.0013414i,0.00020514+0.00040829i,0.00014281-0.00065833i,0.00063465-9.5364e-05i
0.00014345+0.0012907i,0.00068028+0.0018333i,0.0015927+0.0020844i,0.0012732+0.0016243i,0.00053544+0.00084714i,7.7793e-05+0.00029689i,-0.00029263-0.00031694i,-0.0003181-0.00089029i,-0.00032229-0.0010875i,7.2091e-05-0.00089855i,0.00056437-0.00018019i,0.00043166+0.00021822i,0.00038683+0.00036214i,-1.7472e-06+6.0022e-05i,-0.00068331-0.00011023i,-0.00065962+4.1845e-06i,-1.0997e-05-0.00048586i,0.0002515-0.00096319i,-0.00021522-0.0010576i,-9.3718e-05-0.00018366i,0.00054363+0.00072617i,0.00036048+2.9286e-06i,0.0003751-0.00042604i
0.0015427+0.002146i,0.0020877+0.0026321i,0.0019052+0.0028226i,0.0016654+0.0015746i,0.00049061-0.00032049i,0.00012007-0.0014917i,-0.00046463-0.00082735i,-0.0011228-0.00017243i,-0.00078093-0.00041986i,0.00039278-0.00091798i,0.00048239-0.00061841i,-0.00033472+0.00084118i,-0.00031477+0.00095312i,-0.00040175+0.00026849i,-0.00043+0.00064906i,-0.00064446+0.00045631i,-2.4749e-05+4.7228e-05i,0.00049388-0.00035247i,0.000627-0.000368i,0.0008677+0.0005715i,0.0010273+0.00094404i,0.000345+0.00014863i,-0.00028303-0.00032405i
