0.002117+0.00045403i,0.003096-0.0012332i,0.0013688-0.0031609i,-0.00077808-0.0029082i,-0.0018645-0.000743i,-0.0032484+0.0018794i,-0.0025025+0.0024387i,-0.00054123+0.0014765i,0.0003932+0.00021741i,0.0013465-0.00091946i,0.0018068-0.00061779i,0.00086211-0.00018558i,-0.00066793+0.00010391i,-0.00080491+0.00042689i,-9.5238e-05+5.2141e-05i,-0.00016333-0.00013343i,-0.00070314-0.0003439i,-0.00069564-0.00051465i,-0.0007239-0.00035398i,-0.001669-0.00032528i,-0.0017657-0.00057146i,-0.00043787-0.00040221i,0.00053146+0.00044843i
0.0013103-0.0003567i,-0.00030287-0.00052276i,-0.00074744-0.0010523i,-0.00018404-9.9987e-05i,-0.00038353+0.00085804i,-0.00077984+0.00086243i,-0.00057509+0.00065342i,0.00014633+0.00033919i,4.7292e-05+0.00029065i,-0.00071743+0.00074559i,-0.0007547+0.00039603i,0.00034395-0.00016348i,0.00022801-0.00044914i,-0.00037782-0.00068289i,0.00041245-0.00081385i,0.00028709-0.00052716i,-0.00020005-0.00076559i,-0.00043642-0.0005643i,-0.00086941-0.00045649i,-0.00094628-0.00064697i,-0.0010328+0.00013396i,-0.0013725+7.7356e-05i,-0.00060319-0.00032266i
0.0015358-8.2591e-05i,0.0011111-0.00038842i,-0.00032944-0.0012903i,-0.0012066-0.0018954i,-0.0014743-0.0011086i,-0.0001539+0.00023616i,0.00034825+0.0010561i,-3.342e-05+0.00069392i,-0.00022193-0.00047954i,2.1596e-05-0.00078919i,0.00076625-0.00093213i,0.00046091-0.0010987i,0.00046247-0.00014697i,0.00079822+0.0010281i,0.00035968+0.00059752i,0.00081855-0.00035179i,0.0016452+0.00031983i,0.0015659+0.0009827i,0.00070456+0.0006985i,8.3824e-05+0.00032133i,-2.1914e-05-0.00013749i,-3.9414e-07-6.6815e-05i,0.00035336+1.1439e-05i
0.0017975-0.001045i,0.0017115-0.00054762i,0.0011124-0.00030195i,0.00068336-0.00022909i,-0.00060522-7.7663e-05i,-0.0011179+0.0001567i,-0.00087309+0.00069563i,-0.00025723+0.00093308i,-9.6175e-05+0.00072148i,-0.00071373+0.0002673i,-0.00072389+0.00015982i,-0.00030576+4.7667e-05i,0.00020758+0.00028349i,0.00022275+0.00033112i,0.00051501+0.00023203i,0.00091288+0.00017518i,0.00023351+0.00049455i,-0.00022258+0.00021227i,0.00056807-1.5499e-05i,0.0013551+0.00013016i,0.0010382+0.00010063i,5.9798e-07+2.5098e-05i,-0.00051972-0.00021643i
0.00014595+0.001158i,0.00028238-0.00015848i,0.0006679-0.00044887i,0.00085573+4.5249e-05i,0.0002931+0.00079897i,-0.0007357+0.0010163i,-1.117e-05+0.00041054i,0.00046577+0.00012944i,-0.00014353-0.00011892i,-6.0533e-05-0.00010374i,0.0002685+7.6616e-05i,0.00017201-0.00014301i,0.00019052-0.00071925i,0.00068342-0.0007517i,0.0004792-0.00061041i,2.7922e-05-3.2884e-05i,-0.00013941+0.00058397i,0.00028279+7.3814e-06i,0.00046593-0.00094745i,2.4159e-05-0.00074775i,0.0006486-0.00052812i,0.00058362-0.0009536i,-0.0001867-0.00081553i
0.0015598-0.0020694i,0.0011396-0.0012152i,0.00050087-0.00045554i,-0.0010973-0.00020805i,-0.0022659+4.1574e-05i,-0.0017095+0.00020271i,-0.00089519+0.0006361i,-0.00064417+0.001011i,-0.0001462+0.00075272i,0.00018315+0.0008851i,5.9359e-05+0.0011672i,-0.00012364+0.00076303i,0.0007186+0.00015285i,0.0013209-0.00017581i,0.00076649+0.00037727i,0.00010557+0.00092588i,-9.0669e-05+0.00046184i,-6.6556e-05-6.0063e-05i,-0.00067127+6.4282e-05i,-0.0010982+0.00044558i,-1.4156e-05+0.00035659i,0.00072685+0.00027532i,0.00047365-0.00012972i
-7.4743e-05+0.001382i,0.00060455-0.00011506i,0.00045449-0.00065677i,0.00026795-8.1274e-05i,0.00010861+9.7815e-05i,-0.00073088-0.00048401i,-0.0010053-0.00080501i,-0.00072727-0.00073187i,-0.00063302-0.00075115i,-0.00045807-0.00010069i,0.00027051-5.4291e-05i,0.00079337-0.00040475i,0.00033268-0.00045796i,-0.00061629+0.00010465i,-0.0009967+0.00043226i,-0.00037223-0.00053156i,-0.00013009-0.00041483i,-0.00025954+5.5428e-05i,-0.00014958+0.00046485i,-0.00040775+0.00096256i,-0.00035415+0.00095251i,-0.00026165+0.00029022i,-0.00023099+0.00020949i
0.00058006+0.0021343i,0.0011722+0.0024343i,0.0013143+0.0017995i,0.0012608+0.00057425i,0.0010057-0.00071036i,0.00030345-0.00056643i,-0.00026604-0.0004081i,-0.00039546-0.00060421i,-0.0002515-0.00028624i,0.00018122+8.2886e-05i,0.00020337-0.00015721i,4.7488e-05-0.00027252i,-0.00079351+0.00041638i,-0.0013595+0.0006479i,-0.00064869+0.00013679i,8.4978e-05-0.0003704i,-0.00031999-0.00067258i,-0.00071702-0.00066694i,-0.0010223-0.0003708i,-0.00063622-0.00049104i,5.3395e-05-0.00073085i,-0.00047538-0.00031207i,-0.00025945-0.00015163i
-0.00074122-0.00072059i,-0.00014959-0.00027715i,-0.00044793-0.00032508i,-0.00087503-5.8461e-05i,-0.0009493+0.00054935i,-0.00071974+0.00036787i,-0.00069963+8.5349e-05i,-0.00049667-2.9439e-05i,-0.00021913-0.00022775i,0.00019839+0.00015692i,0.00039973+0.00063021i,-0.00010379+0.00030855i,-0.00039334-0.00053758i,-0.0002942-0.0014171i,0.00025934-0.0014472i,0.00042351-0.0010726i,5.5136e-05-0.00063021i,-0.00049652+0.0003353i,-0.00034989+0.00053026i,-0.00042317+0.0003556i,-0.00071105+0.00067518i,-0.00096078+0.0012603i,-0.0012211+0.00080576i
0.0011096+0.0017754i,0.0016157+0.0016722i,0.001745+0.00081186i,0.00078278+0.000313i,-0.001082+0.00023502i,-0.001796+0.00019184i,-0.00024817+0.00045859i,0.00069557+0.00070586i,0.0010625+0.00019303i,0.0013246-0.00061893i,0.00054682-0.00090691i,-0.00041328-0.00064047i,-0.0005045-3.6028e-05i,-0.00011218-0.00018065i,5.5421e-05+0.0001208i,-0.00023508+0.0007103i,-0.0003304+0.00033401i,-0.00058238-0.0006224i,-0.00063019-0.00097647i,-0.00023281-0.00050116i,0.00029841-0.00026393i,0.00060288+2.4535e-05i,0.00061769+0.00035114i
0.00010614-0.0011715i,0.00046625-0.0010824i,0.00086944+0.00017053i,0.00090237+0.00078028i,0.00091827+0.00063683i,0.00070305+0.00060113i,3.5006e-05+0.00019356i,-0.00022203-0.00086104i,1.7385e-06-0.00034666i,0.00097917+0.00019367i,0.0020786+0.00041521i,0.00077385+0.00027931i,-0.00091957-0.00022094i,-0.0011277-0.00021618i,-0.00055436-0.00031883i,-0.00036001-2.7576e-05i,2.4301e-05+5.6207e-05i,0.00020699+0.00010364i,0.00017216-0.00011889i,0.0002507-0.00066352i,0.00033043-0.00041395i,0.00025517+0.00019352i,7.0743e-05-0.00026822i
0.0016961-8.8857e-05i,0.0023464+0.00014809i,0.002274-0.00027513i,0.001315-0.00044145i,0.00028498-0.00036817i,0.00048635-0.00098729i,0.00029287-0.0011031i,-0.0001198-0.0011932i,-0.0005645-0.00052886i,-0.00071646+0.00034992i,-0.00036192+0.0001959i,-0.00029481+4.3425e-05i,-0.00012482-0.00011054i,0.00053522-0.00028748i,0.0006403-5.6595e-05i,1.4192e-05-0.00059468i,-0.00042703-0.00010148i,-0.00038049+0.00081642i,-0.00017398+0.00023259i,-0.00012947-0.00043121i,-0.0002403+4.6061e-05i,6.994e-05+0.00026479i,3.6123e-05+8.7799e-05i
0.00029684+0.00058778i,0.0010635+4.4606e-05i,0.0015579+0.00036937i,0.0012737+0.00092313i,0.00048233+0.00066127i,-0.00031099+0.00063458i,-0.00078739+0.0010505i,-0.0013098+0.0010114i,-0.00079404+0.0013023i,0.00044563+0.001451i,0.00026397+0.00059752i,-0.00024849+0.00050324i,0.00015885+0.00039584i,0.00040867+8.3885e-05i,0.0003029+0.00019803i,-3.1189e-05-8.9908e-05i,-0.00035912-0.00064151i,-0.00020628-0.00060373i,-0.00058699-0.00078414i,-0.00066896-0.00081605i,-0.00036692-0.00027989i,-0.00018376-0.00021092i,-0.00014044+3.2662e-05i
0.00080701+0.0021591i,0.0018996+0.0010087i,0.0024228+5.9517e-05i,0.0015791-0.00097574i,0.0009415-0.0011205i,-0.00010421-2.5515e-05i,-0.00034893+2.8296e-05i,0.00011465-0.00028067i,0.00069098-0.00010214i,0.0012642-0.00046812i,0.0012773-0.00073297i,0.00065509-9.6839e-05i,-0.00022005+0.0004305i,-0.00089961+0.00078869i,-0.00056757+0.00077656i,-0.00063498+0.00033355i,-0.00058879-0.00017948i,-0.00025659-4.2779e-05i,-4.4078e-06+0.00031219i,4.4657e-05+5.5631e-05i,-0.00032096-0.00027644i,-0.00044167-0.00026369i,-6.8049e-05-0.00012759i
0.0028256-0.0012493i,0.0019283-0.0015637i,0.0013368-0.0012391i,0.00021185-0.0014111i,-0.00054836-0.0019709i,-0.001025-0.0013872i,-0.0010958-3.5292e-05i,-0.0011656+0.00032837i,-0.00084047-0.00029674i,-7.3111e-05-0.00043019i,-5.0139e-05+0.00016121i,0.00021726+0.00040319i,0.00014998+0.00019896i,-6.8394e-05+0.0003064i,0.00086064+0.00075287i,0.001194+0.0014153i,0.00056089+0.0012089i,7.9361e-05+0.00035291i,-0.00031919+7.0983e-05i,-0.00096416+0.00020881i,-0.0010155+0.00032169i,-0.00073357-8.1171e-05i,-0.0010297-0.00035118i
0.00067322+0.00021156i,-0.00012519-4.7899e-05i,-0.00014508-0.00011775i,-0.00077992+0.00035182i,-0.0012164+0.00065503i,-0.00082492+0.0012406i,-0.0011401+0.0012154i,-0.0014542+0.00045247i,-0.00098379-0.00039524i,-0.00076156-0.00034441i,-0.00048033+0.00029705i,-0.00021329+0.00060754i,5.0956e-05+0.00048455i,0.00054931-0.00031801i,0.00064156-4.5709e-05i,-5.0577e-05+0.0005808i,6.8156e-05+0.00011635i,0.00051692+0.00024782i,-0.00032516+0.00075386i,-0.0008745+0.00064544i,-0.00040755+8.6724e-05i,-0.00036464-0.00061071i,-0.00023391-0.0011856i
-0.0002885+0.0015246i,-0.00034225-6.0558e-05i,0.00068835-0.0011284i,0.0013455-0.00097972i,0.00059292-0.0002297i,-4.8103e-05+0.00067146i,3.8724e-05+0.00053656i,0.00040015-0.00014333i,0.00020061-0.00012651i,5.4168e-05-0.0004153i,0.00054201-0.00014977i,0.00096224+0.00033304i,0.00045133+0.00055088i,-0.0004907+0.00035879i,-0.00047494-0.00027843i,-0.0002335-0.00026296i,-1.4723e-05+0.00048628i,0.00033744+0.00074248i,0.0005192+0.00054903i,0.00010337+0.00055967i,-0.00066725-2.2972e-05i,-0.00040453-0.00048396i,0.00055694-0.00030034i
-7.5573e-05+0.0021537i,-0.0005328+0.0016357i,-0.00063033+0.0017265i,5.8347e-05+0.0017958i,0.00062961+0.00097235i,0.00046073+0.00089794i,0.00016901+0.00082754i,0.00013522+0.00063877i,0.00066724+0.0007449i,0.001095+9.7126e-05i,0.00064105-0.0007824i,-0.00012575-0.00025016i,-0.00050201+0.00052013i,-9.8957e-05+4.4428e-05i,0.00036079-0.00087897i,0.00018023-0.00071068i,-0.00058921+0.00043484i,-0.00098693-8.5294e-05i,0.00017191-0.00051552i,0.00094187-0.00057634i,0.00048574-0.0011871i,-0.00054924-0.00079978i,-0.0009139-0.00018733i
0.0018178+0.00031641i,0.001917+0.00039455i,0.001327+1.6628e-05i,0.00021174-0.00044374i,-0.00075618-0.0011157i,-0.0015106-0.0010061i,-0.00096216-0.00023315i,-0.00052339+0.00031697i,-0.00015802-9.0022e-06i,0.00063156-0.00052555i,0.00011696-0.00057886i,2.9657e-05-0.00056654i,0.00044113+0.0001147i,-0.0004242+0.0012604i,-0.00063054+0.0011031i,0.00029615-0.00023738i,0.00037705-0.00094011i,-0.00032392-0.00083404i,-5.7985e-05-0.00061283i,-0.00011512+0.00032478i,-0.00061066+0.00025401i,-0.00026191-0.00073076i,0.00060409-0.0012648i
0.00018232-0.00040794i,0.00018891+0.0005074i,0.00057153+0.000784i,0.00095915+0.00020249i,0.00019191+0.00018434i,-0.0011316+6.4905e-05i,-0.00084272-0.00041651i,-8.036e-05-0.00087496i,7.6865e-05-0.0015611i,0.00071413-0.00067992i,0.00042172+0.00048979i,-0.00012294-1.7205e-05i,-0.00054312-0.00047439i,-0.00097868+0.0001523i,-0.00027096+0.0011744i,0.0013138+0.00079145i,0.0012592-0.00011802i,0.00068008-0.00017416i,0.00031803+0.00014319i,2.6006e-05-5.5362e-06i,2.4871e-05-0.00024092i,0.00034479-0.00031807i,0.00047429-0.00027745i
2.0799e-06+0.00020291i,-1.1721e-05+0.00052169i,-2.8032e-05+0.00098615i,-7.9857e-05+0.0010516i,-2.2061e-05+2.859e-05i,0.000632-0.000122i,-0.00025394+0.00024109i,-0.0013724-0.00040652i,-0.0013591+0.00046108i,-0.00070099+0.0012518i,0.00046303+0.00081058i,0.0011793+0.00052266i,0.00083248-3.0053e-05i,-8.9843e-05-0.00057044i,-0.00089406-0.0014463i,-0.0007273-0.0014474i,-0.00027354-0.00079553i,0.00085329-0.00041267i,0.0010953+1.7494e-05i,-0.00034907-0.00018645i,-0.0012575-0.00060667i,-0.0011087-0.00050876i,-0.0003168-9.8005e-05i
0.0009858+0.0018301i,0.00094364+0.0011125i,0.00074709-0.00071486i,0.00057833-0.00081615i,-9.0581e-05+0.00041964i,-0.0003236-0.00023707i,0.00025181-0.00047006i,0.00044928+0.00070974i,0.00021402+0.00054704i,-0.00013077-0.00012333i,0.00026895-0.00015436i,0.00031248-0.00032256i,-0.00039668-9.7386e-05i,-0.0010054+0.00049078i,-0.00070304+0.00037169i,-0.00077798-0.00025396i,-0.0014292-0.00045532i,-0.0010649+2.1662e-05i,-0.00079789+0.00044199i,-0.00077351-0.00053164i,-0.00018711-0.0011507i,0.00056724-0.00030671i,0.00079167-8.3549e-07i
0.00011689-0.0016456i,-0.00011113-0.0015792i,-0.0010107-0.0011533i,-0.0016127-0.00052724i,-0.0017339+0.0001839i,-0.0009362+0.0008396i,-0.00017479+0.0010374i,0.00032285+0.00030375i,0.00010496-0.00031591i,-0.00068298-0.00044545i,-0.0012385+5.7619e-05i,-0.00048517+8.747e-05i,0.00017062-0.00062241i,0.00046282-0.00092296i,0.00082419-0.00038011i,0.00085904+0.00033216i,0.00051+0.00047863i,6.794e-05+0.00084717i,-0.00016134+0.0012797i,0.00013869+0.0013085i,-0.00020114+0.00099183i,-0.00077952+3.3525e-05i,-0.00023485-0.00036647i
0.0028821-0.0004352i,0.0028816-0.00055188i,0.0027436-0.001354i,0.0014376-0.0015583i,-9.4987e-06-0.00080161i,-0.00037761+0.00041343i,-4.0156e-05+0.00072199i,-0.00011869-5.2236e-05i,-7.7761e-05-0.00084056i,-5.969e-05-0.00078365i,-0.00011119-0.00047638i,0.00040463-0.00018547i,0.00073486-0.00018533i,0.00067681-0.00040264i,0.00010794+0.00080235i,-0.000559+0.00066863i,-0.000558-1.9004e-05i,-0.00074207+0.00028583i,-0.0007328-0.00026923i,-0.00017627-0.00078185i,-0.0004586-0.00068802i,-0.00068823-0.00058046i,-0.00024239-0.00022801i
0.00025203+0.0016769i,0.00094827+0.0015502i,0.0014267+0.00073341i,0.00067973-0.00068176i,0.00093893-0.00078574i,0.0010849-0.00051963i,4.5492e-05-0.00065522i,-0.00084938-0.00073012i,-0.00075391-7.9739e-05i,-0.00044138-0.00049436i,-0.00010442-0.00071898i,-0.00037398-6.3139e-05i,-0.00072969-1.4705e-05i,-0.00033276-0.00049248i,5.8797e-05-0.00071202i,0.00020861-0.00081177i,-0.00057108-0.00075305i,-0.00079569+0.00022305i,-1.0029e-05+0.00054087i,0.00038163-0.00023095i,0.00036354-0.00024726i,-0.00017394-2.1411e-05i,-0.00056752-0.00037609i
0.0022118-0.0017858i,0.0023394-0.0031072i,0.0016386-0.0033112i,0.0005984-0.0020396i,-0.00054156-8.8021e-05i,-0.00088987+0.0010742i,-0.00075207+0.00052868i,-0.00045118+0.00020104i,-6.9878e-05+4.7491e-05i,-6.7829e-05-0.00029183i,-0.00026834-0.00013202i,-0.00024031-7.1004e-05i,-6.8879e-05+0.00026669i,0.00059696+0.00035637i,0.001373+8.7761e-05i,0.0010712+0.00014797i,0.00060186+8.3963e-05i,-0.00026374-0.00023573i,-0.0012153-0.00040281i,-0.0003078-0.00014536i,0.00035591-0.00041682i,8.6783e-05-0.0005939i,-0.00041584-0.00020205i
0.00047989-1.4428e-05i,2.8277e-05-0.00037269i,8.1723e-05-0.00053709i,-0.00047262-0.00023198i,-0.001152-0.0008307i,-0.00057647-0.001254i,0.0003548-0.0006282i,0.00060905+0.00015424i,-4.6324e-06+0.00070536i,-2.0555e-05+0.00074326i,-1.4855e-05+0.00011612i,-0.00029656-6.3848e-05i,-0.00035773-9.7984e-05i,3.6886e-05+5.6539e-05i,0.00026724+0.00017793i,0.00026817-0.00024911i,0.00016597-0.00077744i,0.0002053-0.00092772i,0.00070844-0.00050819i,0.0001034-0.00023856i,-0.00033124-0.0002329i,-2.6673e-05-0.00011167i,-0.00011138+0.00017313i
0.0006402+0.00063281i,0.00062731+0.00056554i,0.0012887+0.00082945i,0.0010398+0.00065884i,0.00023265-0.00056599i,-0.00042595-0.00063099i,-0.00069195-0.00063192i,-0.00030468-0.00085115i,-0.00035209-0.0002613i,-0.00012621-0.0003004i,0.00017629-0.00041171i,0.00028824-0.00048715i,0.00059579+0.00010746i,-9.9916e-05+0.00093132i,-0.00010095+0.00072227i,0.00079166+0.00015246i,0.00048777-0.00044434i,-0.00066044-0.00049465i,-0.00096511-2.465e-05i,-0.00039229+0.00010207i,0.00075398-4.9592e-05i,0.0014079+0.00013271i,0.00010303+0.00023291i
0.0012532-0.00011625i,0.00032606-0.0012941i,7.1415e-05-0.0020817i,0.00020881-0.0013124i,-0.00076317+0.00050731i,-0.0011985+0.000493i,-0.00021573+0.0005364i,-0.00015731+0.00051528i,-0.00041368-3.6807e-05i,-0.00091949+0.00027554i,-0.00026552+0.00052559i,0.00026641+0.00092002i,-0.00022381+0.0012886i,-0.00011285+0.00054785i,-0.00032702-0.00046886i,-0.00051932-0.00065724i,-8.6798e-05-0.00036725i,-0.00013151-0.00011527i,-0.00052819-0.00012443i,-0.0005496-0.0003856i,-0.00036643-0.00013808i,0.00035635+2.2015e-05i,0.0010595+0.00025989i
-8.2269e-06-0.00021103i,0.00063023+5.3613e-05i,0.0010928+0.0004298i,0.00094204-0.00055122i,0.00099718-0.00076096i,0.00067306+1.7184e-05i,-0.00024185+0.00038908i,0.00018152+0.00025585i,0.00080608+0.00023906i,0.00062507+0.0007666i,0.00080821+0.00085046i,0.00057364+1.5845e-05i,0.00041007-0.00047342i,0.00041304-0.00035185i,0.00068245+0.00034315i,0.00065738+0.00089555i,-0.00010045+0.00080127i,-0.00024236+0.0001236i,0.00031173-0.00055574i,0.00068788-0.00017226i,0.00067215+0.0002941i,0.00086655-1.7677e-05i,0.00030771+1.5802e-05i
0.00088191+0.0008288i,0.00013788+0.0012779i,0.00041638+0.00069797i,0.00072492+0.00011367i,0.00019335-0.00017723i,-0.0008801-1.3594e-05i,-0.0010417+0.0001857i,0.0002996+0.00050486i,0.00067628+0.00042937i,0.00028175+0.00012557i,0.00081587-0.0002136i,-0.0001137-8.0687e-05i,-0.0010098+0.00017117i,-0.00072408+0.0007468i,3.0999e-06+0.0014162i,0.00074613+0.0010281i,0.00013388+0.00021976i,-0.0011504-6.8839e-05i,-0.00098706-4.8509e-05i,-0.00055709-0.00057824i,-0.00017659-0.00082152i,0.000605-0.00063003i,0.00074849-0.00034441i
-8.9653e-05-8.2589e-05i,2.6542e-06+0.00098477i,0.00036873+0.0014211i,0.00052316+0.00052532i,0.00056807+0.00020091i,0.00015775+0.00096361i,-0.00016934+0.0010284i,0.00012159+3.7258e-05i,0.00043722-0.00034096i,0.00067517-2.8579e-05i,0.00035235+0.00018945i,-0.00036123+8.7205e-05i,-0.00073645-0.00028828i,-0.00035909-0.00044185i,-0.00021374+0.00036184i,-0.00021716+9.8727e-05i,2.7552e-05-0.0004646i,9.0642e-05+0.00044665i,-9.7611e-05+0.0005329i,0.00033527+0.00014423i,0.00018444+0.00017437i,-0.0005527-2.9993e-05i,-0.00020756-0.00012938i
