-0.0036907+0.0022016i,-0.0023615+0.0024658i,-0.003154+0.0035356i,-0.0017569+0.0027407i,0.00051344+0.0020945i,0.0014958+0.0019679i,0.0013475+0.0012353i,0.00024273+0.00074799i,-0.0001939+0.00038094i,0.00029377-0.00010262i,-9.8135e-06-0.0012065i,-0.00057745-0.002521i,-0.00032542-0.0023557i,-0.00024046-0.0013562i,-1.1395e-05-0.00057664i,-5.6302e-05-0.00013541i,-4.5344e-05-0.00013388i,-0.00054632-0.00030214i,-0.00055553-6.6088e-05i,0.0005816-0.00047187i,0.00061052-0.0010214i,7.1939e-05-0.00060426i,-0.00032903-0.00010013i
0.0013483+0.0013801i,0.0018985+0.0017946i,0.0016511+0.00168i,0.00125+3.9835e-05i,8.7957e-05-0.0016685i,-0.00060038-0.0017187i,-0.00024278-0.0010556i,-0.00081742-0.00040296i,-0.0012442-0.00020291i,-0.00066455-0.0010866i,-0.00052908-0.0011109i,-0.00061874-0.00046166i,-0.00059375+0.00057022i,-0.00046618+0.0011994i,2.8123e-05+0.0016473i,0.00021891+0.00088128i,0.00032035+0.00016649i,0.0001776+0.00011239i,0.00020703+6.5733e-05i,-6.3609e-05-0.00019908i,-0.00020484-0.00023059i,3.2358e-05-0.00023874i,-2.1719e-05-0.00039841i
-0.00079711-0.00052039i,-0.0014787-1.4688e-05i,-0.0017792+0.00045401i,-0.00074375-0.00029126i,7.0971e-05+0.00013934i,0.00087767+0.001561i,0.00071352+0.0011197i,3.5101e-05-0.00024491i,1.6091e-05-0.00034692i,0.00030584-0.00052615i,-0.00037508-0.00046532i,-0.00095881+0.00028308i,-0.00074357+0.0006812i,-0.00049034+0.00033252i,0.00027716+0.00016238i,0.00033365-0.00041099i,-7.0239e-05-0.00080277i,5.8175e-05-0.00040145i,0.00019519-0.00011669i,0.00040252-0.0001667i,0.000291-0.00012808i,-0.00012725-0.00016226i,-0.00053245-0.00049259i
2.9464e-05-0.00031598i,8.7184e-05+0.00031652i,0.00043699+0.0013804i,0.00040651+0.0013736i,0.00029864+0.000795i,-2.9342e-06-6.0682e-06i,-0.00026667-0.00064451i,-0.0009416-0.00029224i,-0.0013104-0.00012064i,-0.0012454-0.00028077i,-0.00072516-0.00076089i,-0.00039085-0.00036294i,-0.00074007+0.0003108i,-0.00010145+0.00041125i,0.00052083+0.00024811i,-0.0001745-1.1197e-05i,-0.00015714-9.8144e-05i,0.0010508-0.00071654i,0.0011419-0.00097922i,0.00034594-0.00076175i,-0.00030896-0.00075695i,-0.00043126-0.00065582i,-0.0005209-0.00081434i
-0.0011783-0.002218i,-0.00015815-0.0023818i,-0.0010193-0.0017459i,-0.0022241-0.00040708i,-0.0023599+0.00056573i,-0.001811+0.00068712i,-0.0015701-0.00027497i,-0.00078891-0.00027042i,-0.00040721+0.00078966i,-0.00023627+3.2455e-05i,-0.00015059-0.00077541i,-0.00085391-0.00022762i,-0.001005+3.1033e-05i,-0.00037692-2.5201e-05i,0.00013246+0.00080288i,0.0001605+0.0017245i,0.00056406+0.00097518i,0.0008287+7.2217e-05i,0.00016089+0.00075993i,-0.00031228+0.00022723i,9.8715e-05-0.0014345i,0.00081039-0.0016672i,0.00079525-0.00098093i
-0.0011182-0.0013067i,-0.0021243-0.0001282i,-0.0026279+7.4206e-05i,-0.0020217+9.4704e-05i,-0.00081556+0.0015475i,0.0011354+0.0017442i,0.0015252+0.00063651i,0.00079869-0.00018108i,-0.00031788-1.2529e-05i,-0.00080699+0.00054653i,-0.00037666+0.0011114i,0.00033738+0.00057369i,0.00075599-0.00043667i,0.00047555-0.00066406i,0.00059844-0.00059344i,0.0006172-0.00058062i,-7.0161e-05-0.00066167i,-0.001178+7.7255e-05i,-0.0013213+0.0004042i,-0.00061435+3.9665e-05i,-0.00013713-0.00020381i,-0.00049522-0.00049375i,-0.00042439-0.0005087i
0.00082896-0.00073706i,-0.00060449-0.0012486i,-0.00052331-0.0020202i,-0.0008112-0.0020744i,-0.0014872-0.00083502i,-0.0015016+0.0008917i,-0.0007653+0.00095249i,-0.00026907+0.00072381i,-0.00073497+0.00057132i,-0.00078488-0.00010581i,-0.00052241-0.00038316i,-0.00089282-7.8304e-05i,-0.00087449+0.0010762i,-0.00011406+0.0010786i,0.00033296+0.00055524i,0.00042712+0.00053312i,6.6514e-05+0.00050955i,-0.00028155-4.1312e-06i,0.00023816-0.00018364i,0.0011735+0.00037194i,0.00089252+0.00031004i,0.00012785+0.00054859i,-6.452e-05+0.0015054i
0.00021706+0.0007627i,0.00080229+0.001283i,3.7005e-05+0.00090843i,-0.00050644+0.001101i,-0.00064256+0.0014405i,0.00023915+0.00092695i,0.00025403+0.00043261i,-9.4055e-05+0.00016349i,-0.0003916-0.00015191i,-0.0011016-0.00035482i,-0.00112-2.9071e-05i,-0.00086809+8.4518e-05i,-0.0006013-0.00050179i,-0.00070675-0.00024521i,-0.0011717+0.00018366i,-0.001215+0.00028874i,-0.00067435-9.1205e-05i,0.00031764-0.00032894i,0.00031812-0.00062085i,-0.00045619-0.00087344i,-0.00049877-0.00068121i,-4.0942e-05-0.00024977i,-0.00014994-1.6006e-05i
-0.00037081+0.00030288i,-0.0023713+0.0017502i,-0.0030028+0.00094076i,-0.002155-0.00082516i,-0.0012733-0.0012029i,-0.001408-0.0011699i,-0.00075559-0.00071226i,-0.00084458-0.0001402i,-0.0012177-9.4004e-05i,-0.00087042+0.00063466i,-0.00075584+0.00053531i,-0.00046272+6.6276e-05i,-0.00030942+0.00082223i,-0.00037297+0.001114i,-0.00079083+0.00083045i,-0.00073139+0.00061019i,0.00011557+0.00031726i,0.00021713+0.00019924i,0.000201+3.8684e-05i,0.0005353-0.0004572i,0.00050914-0.00030417i,-0.0001436-0.00052314i,-0.0010642-0.00047396i
0.00023911+0.0012108i,-0.00029847+0.00096867i,-0.00059304+0.00044023i,4.5702e-05-8.8135e-05i,0.00080601-0.00054518i,0.00083299+0.00022431i,0.0009866+2.7168e-05i,0.00058939-0.00049603i,-4.8595e-05-0.00064671i,-0.00026613-0.0011943i,0.00018511-0.0014546i,0.00052888-0.00056352i,5.2952e-05+7.3186e-05i,0.00017831+0.00033296i,2.5888e-05+0.00046144i,-0.00089698+0.0008342i,-0.00093976+0.0012618i,-0.00074562+0.00082579i,-0.00011892+0.00062603i,0.00046875+0.00067354i,-0.00023591-0.0001646i,-0.00051703-0.00036561i,-0.00018675-0.00034598i
0.00083909+0.0014553i,0.0012236+0.0013864i,0.0017773+0.00045143i,0.0011726-0.00065644i,-1.3532e-07-0.0010184i,0.00023373-0.00022158i,0.00072328-0.00058967i,0.00075818-0.00080453i,-0.00052735-0.00012386i,-0.001304-0.00012349i,-0.00034837-0.00034062i,0.00037301-3.0744e-05i,-0.00018355+0.00035169i,-0.00043528-0.00019937i,-0.00043424+0.0005251i,-0.00050218+0.0012889i,7.3343e-05+0.00043064i,0.00012759-6.2539e-05i,-0.00033379+0.00013921i,-0.00082979+0.00056773i,-0.0010277+0.0006542i,-0.00012297+0.00037646i,0.0010066-8.4028e-05i
0.0011159+0.00022957i,-6.1783e-05-0.00013595i,-6.7213e-05-0.00030385i,0.00069742-0.00037929i,0.00053852-0.00086222i,-0.0006335-0.00044861i,-0.00069384+0.00012847i,-0.00044545+4.3667e-05i,-0.00040432-0.00019325i,-7.2694e-05-8.7186e-05i,-0.00032622-0.00065509i,-0.00038789-0.00076304i,-9.2734e-05+0.00024758i,-2.1499e-05+0.00071705i,-0.00024839+0.00052743i,-0.00043533+0.00079388i,-0.00024335+0.00098688i,-0.00018159+0.00041228i,1.3929e-05-0.00032489i,0.00055785-0.00019326i,0.00094806-0.00011204i,0.00077899-0.00033282i,0.00057753-0.00075652i
0.00059774+2.0803e-05i,0.00014976-0.00073612i,-0.00049824-0.0020642i,-0.0010918-0.0020237i,-0.0017394-0.0012523i,-0.0017883-0.00085344i,-0.00072977-0.00029768i,-0.0001205+0.00011737i,-8.6833e-05+0.00070126i,0.00060716+0.00063627i,0.00065799+0.00014623i,-0.00031661+0.00027416i,-0.00047873+0.00055194i,8.6614e-05+0.00044458i,0.00088251+0.00015178i,0.00029166+0.00036923i,7.6983e-05+0.00034229i,0.00014381+0.00066611i,-0.00029411+0.00082816i,-0.00056075+0.0005844i,-0.0006617+0.00045658i,-0.0008065+0.00014485i,-0.00067621-8.6029e-05i
-0.00021619+0.00098753i,-0.0011821+0.00025104i,-0.001506-0.00027259i,-0.00031834-0.00021368i,9.7911e-05-0.00058266i,-4.9176e-05-0.00094143i,-0.00032883-0.00031758i,-0.00040662-0.00011935i,-0.0012242-0.00053872i,-0.0018766-0.00056751i,-0.0012369+5.754e-05i,-0.00087277-0.00013466i,-0.00013842-0.00049862i,-4.0616e-05+1.1158e-06i,5.4291e-05+0.00025546i,0.0004486+0.00028773i,6.7382e-05+0.00027784i,-9.8558e-06+0.00030048i,-0.00028376+0.00014012i,-0.00010433+0.00032139i,-0.0002962+0.00065143i,-0.00075273+0.00028794i,-0.00061428-0.00019956i
-0.0016898-0.0006796i,-0.00095547+0.00012203i,-0.00060103-0.00029353i,-0.00054938-4.0819e-05i,-0.0011072+0.00091674i,-0.0010529+0.0014144i,-0.00090098+0.00061131i,-0.0013292-0.00057042i,-0.00097671-0.00063803i,-0.00011159-0.00042695i,0.00014262-0.00070482i,-9.779e-05-0.00083196i,-1.2026e-05-0.00065205i,-0.00020306-0.00061308i,-0.00050821-0.00022328i,-9.4186e-05+5.52e-05i,-3.7189e-05+0.00039973i,-0.00029563+0.00031388i,-0.00020293-4.0095e-05i,0.000408+0.0001499i,0.00019335+0.00030062i,-0.00057888-0.0010213i,-0.00045374-0.0020823i
0.0007095-0.00043788i,-0.00037203+0.000612i,-0.00089256+0.00030449i,-0.00090493-0.0012704i,-0.00049674-0.0013009i,-0.0001439+0.00025149i,-0.00011287+0.00034518i,9.3963e-05-0.0003906i,-0.00037245-0.00017624i,-0.00092284-1.2088e-05i,-0.00048139+0.00011149i,-8.1594e-05+0.00067655i,0.00027927+0.00020164i,0.00034842-0.00063749i,-0.00010316-0.00035875i,-3.238e-07-0.00012605i,0.00064493+0.00026716i,0.00042895+0.00086758i,0.00053448+0.0003245i,0.00091379+0.00019296i,0.00055282-4.1749e-05i,-0.00013731-0.00067755i,-0.00021573-0.00021541i
-0.0011707+0.00087699i,-0.0011909-8.4422e-05i,-0.00088765+0.00069i,-0.00086093+0.00087875i,-0.00013132-0.00064137i,-0.00021416-0.0012493i,-0.00076528-0.00082662i,-0.00080292-6.2987e-05i,-0.00064403-0.00030577i,-0.00026098-0.00060515i,-0.00016888-0.00011063i,-0.00029256-0.00011548i,-7.0345e-05-0.0006997i,-3.0273e-05-0.00090223i,-0.00063571-0.00073445i,-0.00060774-0.00048708i,-7.6684e-05-0.00046681i,0.00010141+0.00024874i,-0.00026641+0.00087726i,0.00010016+0.00046035i,0.0007045+0.00039621i,4.4813e-05+0.00060655i,-0.00049431+5.3693e-06i
-0.00096932-0.00095236i,-0.00049993-0.00032451i,-0.0010065-7.221e-05i,-0.0014803-0.00084424i,-0.00087193-0.0007275i,-0.0004848-0.00034869i,-0.00068083-0.00044244i,-0.0005884-0.00035121i,-0.00069374-0.00056083i,-0.0011441-0.00085095i,-0.00096487-0.00027927i,9.1631e-05-2.3335e-05i,0.0005251-0.00026911i,0.00018121+0.00039298i,-6.9414e-05+0.00099278i,0.00025646+0.0011392i,0.00067771+0.00088921i,0.0006985+0.0002015i,0.00067402-0.00011206i,-0.00011146+7.1141e-05i,-0.00067197-0.00063042i,-0.0001533-0.0013782i,8.9814e-05-0.001343i
-0.0014113-0.00078622i,-0.0017025-0.00092654i,-0.0014985-0.00062963i,-0.00096466+0.00012115i,-0.0010732+0.00039092i,-0.00049363-0.00024634i,0.00041261-0.00027475i,0.00080611+0.00018466i,0.00030718+5.8266e-05i,-0.00033512+0.00026655i,0.0001027+0.00018761i,0.00097299-0.00045187i,0.0005175-7.1459e-05i,-0.00034445-0.00015879i,-4.8319e-05-0.0005807i,-0.00030703-0.00085835i,-0.00082821-0.00057875i,-0.00071598-0.00013074i,-0.00075402+0.00016848i,-0.00013155-0.00063496i,0.00057856-0.00055774i,0.0004773+0.00018169i,0.00013303-0.0002287i
-0.0018048+0.0011177i,-0.0016276-0.00015575i,-0.00081833-0.000301i,0.0002532+0.00045992i,0.0011573+0.001209i,0.00059709+0.00053361i,3.0239e-05-0.00027442i,-0.00020015+0.00056077i,0.00011459+0.00073274i,3.4227e-05+0.00061319i,-0.00068411-0.00021232i,-0.00074638-0.0013119i,-0.0010029-0.00079051i,-0.0013504-0.00012297i,-0.001064-9.041e-05i,-0.00068563+0.00027721i,-0.00036795+0.00039062i,-7.3122e-05+7.6317e-05i,-0.00017283-0.00024188i,-0.00029848-0.00049054i,9.2238e-05-0.00022864i,-0.00015371-0.00024287i,-0.00042224-0.00042448i
0.00065454+0.00073152i,0.0013482+0.001663i,0.0016872+0.002186i,0.0014517+0.00076509i,0.0005783-0.0011105i,0.00031733-0.0011756i,0.00029663-0.00048234i,-0.00015801-0.00068061i,8.3813e-05-0.00078733i,0.00043005-0.00020849i,0.0006795-0.00010542i,0.00032516+0.00045599i,-0.0004977+0.00069812i,-0.0010529+0.00039067i,-0.0013445+0.00075856i,-0.00076386+0.00077817i,0.00016555+0.000715i,-0.00011134+0.00018752i,-0.00077928-0.00023755i,-0.00087975-0.00028932i,-0.00091149+0.00014592i,-0.0010364+0.00050496i,-0.00093732-0.00027054i
-0.00077713+0.00079645i,-0.00064887+0.0010313i,0.00058513-0.00018626i,0.0013829-0.0012851i,0.0012245-0.001207i,0.00022829-0.0010225i,-0.00016604-0.00089666i,-0.00068053-0.0006735i,-0.00086161-0.00032136i,-0.00013233+1.3963e-05i,0.00029313-5.0984e-05i,-0.00011099+0.00023618i,-0.00075286+0.00086048i,-0.00079568+0.00090524i,-0.00054553-0.00025033i,-0.00058919-0.00072494i,-0.00060164+0.00021088i,-8.839e-05+0.0011869i,0.00034572+0.0012033i,-0.00043531-4.6382e-05i,-0.00038896-0.00067817i,0.00088909-0.00075105i,0.001249-0.00038194i
0.0011598+5.1969e-05i,0.00067958-0.00049772i,0.00088342-0.00086721i,0.00042889-0.0013448i,-0.0015583-0.0022063i,-0.0022753-0.0015139i,-0.0013777+0.00016086i,-0.0010309+0.00076175i,-0.0013133+0.000127i,-0.0014411-0.00035897i,-0.0012371-0.00045518i,-0.00069321-4.9312e-05i,-0.00095665+0.00065278i,-0.00065636+0.00057748i,0.00074348+0.00079829i,0.0006258+0.0007622i,-3.8083e-05+0.00032372i,-0.00033454-0.00010651i,-0.000906-0.00030674i,-0.0010428-1.3598e-05i,-0.00026126+1.9458e-05i,-0.00036816-0.00016292i,-0.00025565+0.0001579i
-0.00041682-0.00022943i,-1.1067e-07+2.5352e-05i,0.00035598-0.0001036i,-0.00039152-0.00076053i,-0.0003054-0.0011173i,-0.00011202-0.00019709i,-0.00038014+0.00062496i,-0.00070269+0.00040233i,-0.0002256+0.00036543i,0.00045746+0.00023138i,0.00032855+0.0003573i,-0.00027451+0.00053584i,-0.00045968+0.00046504i,-0.00041756+0.00037181i,0.000123+0.00019544i,1.468e-05-0.00045416i,-0.00023015-0.00013378i,2.9269e-05+8.1033e-05i,0.00020154+0.00048937i,-0.00030599+0.001153i,-0.00044299+0.0010735i,0.00025405+0.0007139i,0.0003962-0.00059557i
0.00017647+0.0020949i,0.00077044+0.0015615i,0.00082742+0.00036405i,0.0012627-0.00018293i,0.0016841-0.00085142i,0.0010148-0.0010358i,0.00052783-0.00047429i,0.0003025-0.00026072i,-0.00022853-0.001082i,-0.00029682-0.0015001i,-0.00020984-0.0011284i,-0.00075063-0.00085557i,-0.0010428-0.00080117i,-0.00027296-0.00078865i,0.00016208-0.00033598i,0.00052282-0.00020316i,0.00084644+0.00028338i,0.00010876+0.00013288i,-0.00037366+5.7005e-05i,-0.00029785+0.0010015i,-0.00042859+0.00090464i,-0.00065091+0.00061122i,-0.00061451+0.00035061i
-0.00073011+0.00033567i,0.00030112+0.00063481i,0.00080001+0.00094091i,0.000316-8.58e-05i,-0.00048432-0.00017557i,0.0001436-0.0001082i,0.00099957+2.8231e-05i,0.00027016+0.0013427i,-0.0012797+0.0015083i,-0.0018907+0.0007344i,-0.0011056-6.1362e-05i,-0.00025562-0.0005091i,-4.5163e-05-7.6247e-05i,-0.00032569-0.00018398i,-0.00098386-0.00014866i,-0.0010431+0.00043337i,-0.00078702+0.0002011i,-0.0010281-0.00063432i,-0.00050897-0.00076317i,5.1877e-05+1.1759e-05i,0.00032635-0.00037473i,0.00037931-0.00036674i,-0.00010608+0.00041122i
0.0015074+0.00067488i,0.0018639+0.00058252i,0.0017399+0.00032004i,0.0014373-0.00019039i,0.00091771-0.000826i,-0.00038183-0.00079097i,-0.00088898-0.00024278i,-0.00042463+0.00027336i,-2.1742e-05+0.00057151i,0.00022193+0.00045701i,-0.00012022+0.00014871i,-0.0012538+0.00014441i,-0.0019152-5.6785e-05i,-0.0014025-0.00017387i,-0.00071883+0.0001966i,-0.00010193+0.00057523i,-8.3251e-06+0.00053379i,0.00024524+0.0011081i,0.00028954+0.0015023i,-0.00013408+0.00089371i,-0.00058969+0.0004232i,-0.00037711+0.00017684i,0.00011851+0.00011733i
-0.00029001-6.273e-05i,-0.0010259-5.1699e-05i,-0.00098075-0.00038088i,-0.00074059-0.00055923i,-0.00068449-5.2127e-05i,-0.00015172+0.00070842i,0.00024354+0.00092171i,-0.00043604+0.00060506i,-0.0011289+0.00052232i,-0.00085146+0.00045963i,9.5748e-05+9.9896e-05i,0.00028701-0.00022781i,-0.0001246-0.00099486i,-0.00029075-0.00088625i,-0.00034099+0.00019964i,-0.00046461+0.00073263i,-0.00036268+0.00079001i,0.0001324+0.00053189i,0.00038293+0.00037767i,0.00011159+0.00021569i,3.3753e-05-0.00029333i,3.4105e-05-0.00044792i,0.00067686+0.00013689i
0.00065018+0.0021769i,0.00018176+0.0014202i,0.00089105+0.00082015i,0.0015453-0.00039077i,0.0014719-0.0017709i,0.00057053-0.00098685i,-0.00010983+0.00016942i,-0.00031072-0.00017885i,-0.00045673+5.8711e-05i,-0.00050929-0.00024638i,-0.00046283-0.0012383i,-0.00013634-0.0011591i,-7.9898e-05-0.00056517i,-0.00025707+0.00014357i,7.0276e-05+0.00029719i,0.00019986+0.00019852i,-0.00034288-3.7005e-05i,-0.00019959-0.00035436i,0.00068793-0.00065578i,0.00047643-0.0007211i,3.9778e-05-0.00075095i,0.00040456-0.00016881i,0.00029281+0.0001339i
0.00060435-0.00046295i,-0.00032588-0.0011217i,-0.00064871-0.0014326i,-6.089e-06-0.0017879i,0.0003066-0.0019541i,9.2995e-05-0.0013142i,-0.00023092-0.00032054i,-0.00060887+0.00038525i,-0.00079726+0.00010305i,-0.00068402-0.00031632i,2.8936e-05+0.00012244i,4.5446e-05+0.00066295i,-0.0012302+0.00073713i,-0.0014823+6.2013e-05i,0.000183-0.00019241i,0.0012333-0.00017973i,0.00072957-0.00055432i,-1.0358e-05-0.00058138i,-9.4738e-05+0.00017146i,-0.00028502+0.00034455i,-0.00048328-0.00010761i,-0.00025442-8.6891e-06i,-0.00018018+8.049e-05i
0.00052201-0.00029688i,0.00052687+3.4686e-06i,-0.0001332-7.8483e-05i,-0.00085545-0.00085909i,-0.00067148-0.0012346i,0.00027527-0.00087199i,0.00024798-1.4514e-05i,0.0002392+0.00011588i,0.0005867-0.0003688i,0.00036073-0.00033838i,-0.00066729-0.00031228i,-0.001324-0.00053953i,-0.0008517-0.00061358i,-0.00013995+0.00023142i,0.00026799+0.00079997i,3.3852e-05+0.0012308i,-0.00048046+0.00072537i,-0.00013736-0.000308i,-0.00017679+3.6346e-05i,-0.00029713+0.00019815i,2.0227e-06-1.9125e-05i,-0.00015156+5.9334e-05i,0.00063071+0.00035671i
0.0011375+0.0028178i,0.0015517+0.002251i,0.0022074+0.00069425i,0.00090894-7.6547e-05i,-0.00089295-0.00055487i,-0.00074208-0.00031808i,-0.00015447-0.00024044i,-0.00013087-0.00028595i,0.00017773-3.636e-05i,0.00048229+0.0002298i,0.00049189-5.9103e-05i,0.00078323-0.00034251i,0.00015895+0.00039302i,-0.0003404+0.00084184i,-0.00026073+0.0002308i,-4.3721e-05-9.1393e-05i,-0.00051608+0.00038784i,-0.001732+0.0007405i,-0.0016818+0.00047137i,-0.00097767+0.00021234i,-0.00067933-0.00013584i,0.00023001-0.00077222i,0.00081418-0.0010683i
