0.00034666-0.0028623i,0.00012118-0.0034803i,0.00028297-0.0023524i,1.7191e-05-0.00091896i,-5.629e-05+0.00017709i,0.00025417+0.00072042i,0.00059468+0.0012053i,0.00086862+0.00053689i,0.00066901+0.00022202i,0.00082125+0.00065231i,0.0014728+0.0002227i,0.0012848-0.00016373i,0.0010509+1.7644e-06i,0.00078083+0.00020148i,0.00051029-0.00015361i,0.00029309-5.7289e-05i,-4.036e-06-0.00029111i,-9.4739e-05-0.0010471i,0.0002855-0.00089162i,0.00030388-0.00084577i,-4.3859e-05-0.0013679i,0.00044145-0.0010326i,0.0012335-0.00030734i
0.0022957-4.0611e-05i,0.0018512-0.0023917i,0.0018195-0.0032136i,0.00078486-0.0027328i,0.00026288-0.0023852i,0.00012996-0.0014221i,0.00014331-0.00058091i,0.00029189-3.0043e-06i,1.3661e-05-2.4603e-05i,0.00028462-0.00017424i,0.00041598-0.00041996i,0.00017762-0.00020678i,0.00054686+0.00068696i,0.00073074+0.0011234i,0.00088247+0.00079375i,0.00046804+0.00037207i,-0.00022937+0.00012772i,0.00017076+4.2621e-05i,6.0017e-05-0.00030369i,-0.00030693-0.00014958i,-0.00014012-3.2209e-05i,-6.0599e-06-3.9562e-05i,-0.00022358+0.00028816i
-0.0019145-0.00018841i,-0.0029471+0.00012682i,-0.003175+0.00046191i,-0.0019071+0.00044971i,0.00012818+0.00033324i,0.0011533-0.00024303i,0.00071582-0.00031836i,-0.00038461+0.00024163i,-0.00050539+0.0011229i,-0.00041957+0.0010898i,-0.00047731+8.09e-05i,0.00017318-0.00062112i,0.00015322-0.00066644i,-0.00050091-0.00086534i,-0.0010413-0.00023005i,-0.00066236+0.0005811i,-0.00076597+0.00093526i,-0.0014949+0.001401i,-0.001688+0.0012008i,-0.0012488+0.00053188i,-0.00082589+0.00020541i,-0.00073479-5.8234e-05i,-1.1998e-05-0.00019184i
0.00028645-0.0021081i,-0.00048646-0.0013815i,-0.00094479-5.4072e-05i,-0.00084871+0.0010384i,-0.00068576+0.00118i,-0.00096084+0.00036513i,-0.00020625+0.00042037i,0.00062437+0.00068542i,0.00022841+0.00054046i,-4.034e-05+0.00025487i,9.6837e-05+0.00014228i,0.00046769+0.0001963i,0.00086674+0.00017053i,0.00085781+0.00020664i,0.00069584+0.00051867i,0.0007526+0.00043886i,0.0010996+0.00019291i,0.00078953-0.00025804i,0.00025941-0.00074411i,0.00023054-0.00069237i,-0.00014218+0.00035421i,-0.00051662+0.0006632i,5.2997e-05+2.9042e-05i
-0.0016784+0.00085479i,-0.00043879+0.0005605i,0.00014803+0.00048993i,0.001016-4.5073e-05i,0.002498-0.00077244i,0.0020108-0.0011101i,0.0010643-0.0010878i,0.00015293-0.0011247i,2.7751e-05-0.0010714i,0.00034978-0.00058723i,-0.000307-4.4816e-05i,-0.00072054+0.00031992i,-0.00052563+0.00029949i,-7.5602e-05+0.00023355i,0.001064+6.9625e-05i,0.0014358+0.00034541i,0.0008492+0.0003431i,0.00064854+0.00033065i,0.00074628+0.00054711i,0.00034135+0.00069951i,-0.00044524+0.00047151i,5.5789e-06+0.00012212i,0.00031889-0.00032718i
0.0019185+0.001076i,0.0020995+0.00039165i,0.0027938-0.00058226i,0.0026194-0.0013067i,0.0013431-0.0014985i,4.3666e-05-0.0009975i,2.0772e-05-2.8263e-05i,-1.7395e-05+0.00098276i,-1.4597e-05+0.00087616i,-4.5029e-05+0.00040118i,6.836e-05+0.00018242i,0.00050073+0.0003042i,0.00048196+0.00045805i,9.9665e-05-0.00030097i,-5.1304e-05-0.0015857i,-0.00025651-0.00097389i,-0.00021159+8.278e-06i,0.00014979-4.595e-05i,8.6412e-05-0.0001656i,-0.00010431+0.00050224i,-0.00042973+0.00050692i,-0.0002893+8.9791e-05i,0.00032323+0.00075255i
8.4637e-06-0.0016323i,-0.0017449-0.0011054i,-0.0017559-0.0012344i,-0.00093917-0.0010364i,-0.0007057-0.00060419i,-0.00040063-0.00028629i,-0.00020829-0.00011882i,-6.2328e-05+0.00045576i,-0.00015132+0.00057758i,-0.00019716+0.00036208i,7.444e-05+0.00034303i,-0.0004746-9.6222e-05i,-0.0011415-0.00098984i,-0.0015661-0.0012427i,-0.001245-0.0013661i,-0.00016389-0.00051624i,-0.00022943+0.0010279i,-0.00095018+0.00081419i,-0.0012417+0.00014035i,-0.00076868-5.2251e-05i,0.00012821-0.00046848i,0.00021979-0.00041765i,-0.00064817-0.0001032i
7.6025e-05-0.0014639i,-0.0014573-0.0022526i,-0.0020158-0.0014867i,-0.0019707+0.00091453i,-0.0011271+0.0017754i,-0.00033792+0.0011525i,-0.00043667+0.0011913i,-0.00023708+0.0010428i,-0.00061143+0.00025186i,-0.00074267-0.00027783i,-0.00014825-0.00035376i,-0.00020598-0.00022992i,-9.5009e-05-0.00015239i,0.00015559+0.00031876i,-6.5369e-05+0.00087424i,6.1818e-05+0.00030406i,0.00051361+0.00044993i,0.0006323+0.00062684i,0.00057731-0.00024821i,7.1793e-05-0.0002808i,0.00018256-0.00029212i,0.00067114-0.00040532i,0.00045622-0.00022805i
0.0033877+0.0016931i,0.0030226+0.00070003i,0.0029422-0.00050283i,0.0029135-0.0016768i,0.0030084-0.001782i,0.001606-0.00046819i,0.00025982+0.00054888i,0.00044565+0.00074407i,0.0010688+0.00087063i,0.0010887+0.00094354i,0.0014101+0.0012635i,0.0008012+0.00046548i,0.00032556+0.00011339i,-2.7663e-05+0.00055393i,0.00016248-8.2558e-05i,0.00070987-0.00051505i,-0.00020628-0.00062539i,-0.0011278-0.00081556i,-0.00091257-0.00020718i,-0.00052105+0.00047036i,-0.00033205+2.4299e-05i,-0.00038186-0.00053005i,-3.664e-06-0.00045062i
-0.00059658+0.0014594i,-0.0010274+0.0013099i,-0.00065484+0.0008784i,0.0015558+0.00081606i,0.0033781-3.6006e-05i,0.0033457-0.00071739i,0.0011865-0.00032342i,9.0318e-05+0.00030615i,0.00053915+0.000486i,0.00051641+0.00042045i,0.00060439+0.00017733i,0.000226-0.00042022i,-0.00015873-0.00073383i,-0.00023761-7.8359e-05i,5.4225e-05+0.00038158i,0.00049386+9.4593e-05i,3.3493e-07+0.00038232i,-0.00064588+0.00040003i,-0.00062881+0.00062145i,0.0002725+0.00085334i,0.00041266+0.00075459i,-0.00037253+0.00059581i,-0.00044873+0.00057044i
