0.00074688+0.00079012i,-0.0003208+0.00012369i,-0.00016178-5.2532e-05i,-0.00041861-0.0016768i,-0.0017355-0.0016868i,-0.0030328-0.00064284i,-0.0024147+0.00023985i,-0.00010199+0.0010372i,0.0010915+0.00076358i,0.0012885+0.00036754i,0.001054-0.00064038i,0.00024652-0.0014612i,-8.2657e-05-0.0010097i,-0.00015888-0.00021284i,-8.0145e-05-0.00042311i,0.00052726-0.00061985i,0.00056696-0.00013016i,-0.00030502+0.00024258i,-0.00043881+7.3588e-05i,-0.00023223-0.00047666i,-1.9534e-05-0.00039592i,-0.00014856-0.00015115i,-0.00053953+0.00059083i
0.0028383-0.0015192i,0.0019599-0.00089699i,0.001612-0.0017415i,0.00060191-0.0023423i,-0.0012273-0.001428i,-0.0018145-7.1014e-05i,-0.0010956+0.00053698i,-0.00076271-0.00015108i,-0.00039271-0.00029133i,-0.00025859+0.00027531i,-0.00068186+5.8333e-06i,-0.0013053-0.00039002i,-0.0013992+0.00024032i,-0.00023493+0.00097731i,0.00041588+0.0011271i,-0.00010486+0.0010613i,-0.00023098+0.00029022i,-0.00019885+0.00034515i,-0.00040457+0.0005285i,-0.00013918-0.00032878i,0.00052202-6.2822e-05i,0.00062898+0.0004016i,0.0005585+0.00095102i
-0.0012342-0.00063433i,-4.723e-05+0.0001537i,0.00021017-0.00013967i,-0.0010148+0.00029583i,-0.0016025+0.00039813i,-0.00052459+0.00022918i,-0.00048265+0.0013579i,-0.00031502+0.0011245i,0.00021206+0.00039271i,-0.00043368+0.00058059i,-0.0010786+0.00083825i,-0.00081584+0.00057833i,-0.00049919+2.6016e-05i,0.00015621-2.9042e-05i,0.00078273+1.7276e-05i,0.00044985+0.00019558i,-6.382e-05+1.2159e-05i,-0.00018258+0.00026625i,0.0001358+0.00077313i,-2.0091e-05+0.00048354i,-0.00017804+0.00042606i,6.2193e-05+0.00020751i,0.00012503-0.00033301i
0.00032202-0.0016054i,-0.0010493-0.00068062i,-0.0016229-0.00059453i,-0.0018892-0.0016324i,-0.0020921-0.0018065i,-0.0018183-0.0011949i,-0.0012971-0.00076079i,-0.00020144-0.00026301i,0.0005009+0.00028815i,-0.00018902+0.00044464i,7.132e-05-0.00021184i,0.00082796-0.00040535i,0.0004747-0.00020227i,0.00048164-0.00019142i,0.0007128+6.3824e-05i,0.00047948-0.00010183i,-2.3496e-05-0.0003184i,-0.00045968-0.0012178i,-0.00033403-0.001396i,0.00011452-0.00084419i,0.00059542-0.0005738i,0.00033333-0.00021216i,-0.0001723-0.00038605i
-2.7121e-05-0.00085447i,-3.6648e-05-0.00052249i,0.00014393-8.7391e-05i,0.00014757+6.3716e-05i,-0.0012618-0.00054003i,-0.0018808-0.00038223i,-0.00048364-9.3868e-05i,0.00030253+7.2423e-05i,0.00012729-0.00032425i,-0.00019637-0.00062724i,-0.00059447-0.00045326i,-0.00081676-0.00044239i,-0.00089247-0.00018718i,-0.0009237+2.282e-05i,-0.00055187+0.00028521i,-0.00046802+0.00042597i,-0.00014815+0.00055659i,0.00021223+0.0006512i,8.9301e-05+0.00044974i,-0.00023441+0.00018595i,-0.00037528-0.00038219i,0.00037966-0.00080745i,0.00041947-0.00085206i
-0.0015948+0.00046735i,-0.0024237+0.00044154i,-0.0018718+4.9586e-05i,-0.0013282-0.00031259i,-0.0011465-0.00064321i,-0.0004573-0.00069334i,0.00028011-0.00031538i,0.00071858-0.00048709i,0.00095513-0.0009541i,0.00019635-0.001045i,-0.0011383-0.00083191i,-0.0010902-0.00031154i,-9.8979e-05-0.00019204i,8.1946e-05-0.00042906i,0.00035181-0.00064098i,0.00026862-0.00021593i,-0.00013454+0.00039302i,-5.431e-05+0.00011322i,-0.00040103-0.00016397i,-0.00075863-0.00077442i,-4.5944e-06-0.0011305i,-0.00017544-0.00065562i,-0.00041968-0.00057881i
-0.00037919+0.00062453i,-0.00080409-0.00024636i,-0.00024597-0.00086014i,0.00035655-0.00098369i,0.00017816-0.00071975i,-0.00085582-0.0010684i,-0.0012122-0.00038984i,-0.00043434+0.00029091i,-0.00031631-0.0001404i,-0.00032633-0.00057897i,-0.00093661-0.00059321i,-0.0017687-0.00018825i,-0.0010844+0.00038256i,0.00012456+0.0009055i,0.00068684+0.00054516i,0.00042195+6.8268e-05i,0.00020981-0.00013947i,2.3245e-05-0.00029776i,-0.00023188-0.00033733i,-0.00038328-0.00018619i,-0.00012653-0.00020873i,0.00049434-1.1408e-05i,0.00083611+0.00027602i
0.00073156+0.0016079i,0.0014216+0.001775i,0.0017311+0.0012133i,0.00099659-0.001226i,-0.00028429-0.0024972i,-0.0019014-0.0017627i,-0.0021311-0.00087529i,-0.00096861-0.0003751i,6.7517e-05-0.00037807i,0.00021705-0.00042709i,-0.0001804-0.00045723i,-0.0010964+0.00010655i,-0.0012231+0.00080822i,0.00032742+0.0010924i,0.00063209+0.00051927i,-0.00024678-0.00051141i,-0.00046552-0.00102i,-0.00032622-0.0013035i,-0.00014266-0.0011797i,-0.00023594-0.00061797i,-0.000985-0.00035476i,-0.00098917+0.00032068i,-0.00042129+0.00027749i
0.00023677-0.00022074i,0.00068185-0.00057313i,0.00057088-0.00091978i,-0.00042116-0.002075i,-0.0013083-0.0026441i,-0.0015267-0.0014825i,-0.0012318-1.3762e-05i,-0.00022857+0.00039243i,0.00025465+0.00030966i,-0.00012243+0.00037496i,-5.6342e-05+0.00015333i,0.00024286+0.00017274i,2.5818e-05+0.00036932i,-0.00023197+0.00037584i,-0.00017107+0.00059856i,-0.00060187+0.00021672i,-0.00095628-0.00038191i,0.00015083-0.00060477i,0.00069875-0.00065657i,5.4972e-05-0.00062163i,-0.00058957-0.00030639i,-0.00070036+0.00012047i,-0.00068407+2.4371e-06i
0.0013711-0.00098i,0.00076814-0.00030874i,-0.00031932-0.00059521i,-0.00081892-0.0012611i,-0.001543-0.0013737i,-0.00095435-0.0014506i,-0.0002356-0.00041962i,7.1149e-06-0.00020222i,0.0012034-0.0003771i,0.0013108-0.0010741i,0.00016174-0.0012297i,-0.0003506-0.00054163i,0.00038348-1.0263e-06i,-0.00020049-0.00015543i,-0.00080232-0.0011565i,-0.00070643-0.00080406i,-0.00056848-7.9306e-05i,0.00013566+7.0522e-05i,0.00068939+1.5213e-05i,0.00015116+4.2313e-05i,-0.00085444+0.00041137i,-0.00037293+0.00091594i,7.2988e-05-7.9453e-05i
0.00062359+0.00014233i,0.00070823-0.00035688i,0.00021074-0.0010677i,-0.00077395-0.00092158i,-0.0011012-0.00015743i,-0.0011809-0.000434i,-0.00052183-0.0005713i,0.00056886-0.00062463i,0.0012463-0.00061678i,0.00066916-0.00092526i,-0.00026132-0.0008264i,-0.00059471-0.00019089i,-0.0004726-0.00010097i,-0.00015583+8.0349e-05i,-0.00040269+1.5123e-05i,-0.00071513-0.00057931i,0.00010547-0.0010374i,0.00081854-0.0003528i,0.00010598+0.00054084i,-0.00065082+8.9214e-05i,-0.00048055-0.00023151i,-0.00080523-9.3932e-05i,-0.0010927+0.00012774i
-0.00046655-0.00040292i,-0.0016341+0.00071637i,-0.0013481+0.0016816i,-0.001154+0.0010273i,-0.00096705+0.00022258i,-0.00044324+0.00040065i,-0.00096234+0.00028592i,-0.0013899-7.978e-06i,-8.9908e-05-0.00062352i,0.00080042-0.0017372i,0.00020336-0.0010116i,-0.00061571+0.00043222i,-0.00067384+0.00066179i,-0.00048652+0.00037051i,-0.00050855-2.9742e-05i,0.00022578-0.00044678i,8.2138e-05-0.0004579i,-0.00019863-0.00084146i,-9.7557e-05-0.0010024i,1.7791e-05-9.2595e-05i,0.00023852+0.00044495i,8.2571e-05+0.00033724i,-0.00019393+0.0001349i
0.00056737-0.00018193i,0.0013195-3.3735e-05i,0.0019713-0.0012875i,0.0015952-0.0023287i,0.00074029-0.0023988i,0.0001494-0.0015378i,-0.00050835-0.00014531i,-0.00083975+0.00041895i,-0.00028441+0.00036682i,-6.9119e-05+0.00017729i,-0.0006383-0.0009575i,-0.0011458-0.0010176i,-0.00084759-0.00025237i,-0.0003882+6.8694e-05i,-0.00097561+1.5449e-05i,-0.00098412+0.00022064i,-0.00011533+0.00051249i,0.00020801-2.8846e-05i,-5.0909e-05-1.8813e-05i,0.0002503-3.6971e-05i,0.00021445-0.00038196i,-0.00019176-1.641e-05i,3.3168e-05+0.00038802i
-0.0011061+0.00031966i,-0.00060913+0.0011715i,-0.0010978+0.0015405i,-0.00095399+0.00073696i,9.7819e-05+0.00049957i,0.0005155-8.0581e-05i,0.0010658+1.4845e-05i,0.0018408+0.00068881i,0.0013928+0.00026455i,-8.1526e-05-0.00060095i,0.00023291-0.00073148i,0.0012669-0.00024398i,0.00090065-0.00028919i,0.00061975-3.8442e-05i,0.00031021+0.0008238i,-0.00039791+0.00057273i,-0.00017551+6.0711e-05i,0.00099101+0.00050003i,0.000854+0.00026343i,5.3458e-05-0.00014412i,0.00034975-7.3034e-05i,-0.00024909+0.00011854i,-0.0013198-0.00046608i
-0.00060587-0.00028933i,0.00042873-0.00059663i,0.00068305-0.00094447i,-0.00033369-0.00067805i,-0.00078249-0.00020685i,-0.001021+0.00044195i,-0.0004109+0.00031372i,0.00085425-0.00029686i,0.0012136-0.00033419i,0.00090642-0.00029701i,-0.00016819+2.6757e-05i,-0.00042008+0.00015609i,0.00012089-0.00016432i,-0.00039421-0.00040032i,-0.00055261-0.00035754i,-5.0507e-05+0.00038141i,-3.7883e-05+0.0009928i,-0.00034299+0.001339i,-0.0007298+0.00053665i,-0.00060437-0.00020035i,-0.00050292-0.00023081i,-0.00017057-0.00068424i,-3.3826e-05-0.00061433i
-0.00026032+0.002062i,-6.0941e-06+0.0022328i,-0.00012193+0.002048i,0.00068915-0.00069918i,0.00045266-0.0022152i,-0.00093323-0.0012302i,-0.00097682-0.00015602i,0.00010128-3.4241e-05i,0.0012632+3.1972e-05i,0.0017432-0.00026318i,0.0014696-0.00062527i,0.0012837-0.0004198i,0.00086182-0.00027562i,-0.00055681-7.6565e-05i,-0.0012499+0.00024882i,-0.00063261-0.0003084i,-0.00012501-0.0010219i,-0.00023062-0.00023095i,-0.00031434+0.00032075i,-0.00017148-0.00028478i,-0.00017601-0.00069105i,-0.00042218-0.00080104i,-0.00080309+8.2007e-05i
-0.00081652-0.00028026i,-0.00070278+0.0013028i,-0.00088895+0.0014494i,-0.00025117+0.00029294i,-0.00024634-0.00052167i,-0.00062756-0.00070643i,-0.0007772-0.00054399i,-0.00070056-0.00080994i,-0.00047275-0.00093149i,-0.00060553-0.00045773i,-0.00012692+0.00042692i,0.00020584+0.00067294i,-0.00034536+0.00057057i,-0.00068242+0.0002583i,-0.00096804-6.7868e-05i,-0.0012225+1.2275e-05i,-0.00064847-0.00052809i,-0.00034064-0.00086821i,-0.00060327-0.00073494i,-0.0005537-0.00087357i,-0.00051637-0.00058826i,-0.00027341+0.00056431i,0.00025774+0.0011953i
0.00024192+0.0023716i,0.00011674+0.0010825i,0.00031193+1.0776e-05i,0.00050144-0.0011169i,-0.00013632-0.0028856i,-0.00094757-0.0024999i,-0.0015085-0.00048511i,-0.0014344+0.00027417i,-0.00025335+9.294e-05i,0.00018801-0.00049249i,-0.00044191-0.00078349i,-0.00064698-0.00035653i,-0.00026272+0.00011874i,-0.00030485+5.4827e-05i,-8.6846e-05-0.00029498i,0.00070881-0.00011277i,0.00067895+0.00067285i,0.00023713+0.00061977i,-0.00018277+0.00071915i,-0.00042811+0.00048751i,-0.00078931+8.7428e-05i,-0.00063585+0.00018762i,-0.00022073+0.00043802i
-0.00035275+0.0003414i,7.5239e-05+0.001597i,2.5613e-05+0.0016082i,0.00052703+0.00065112i,0.00016588+0.00023982i,-0.0011095+0.00017134i,-0.0013298+0.00034551i,-0.0006896+0.00051325i,-0.00095045+0.00082381i,-0.00094334+0.0006416i,-0.00020139+0.00018911i,6.9796e-05+0.00044832i,-8.4282e-05+0.00025099i,-0.00012107-0.00070629i,7.31e-05-0.00068494i,6.8944e-05-0.00036128i,9.6476e-05-0.00040522i,0.00035683-2.8506e-05i,0.00034391+0.000223i,0.00071331+7.0704e-05i,0.0011771-0.0001657i,0.00027215-0.00035036i,-0.00027358-0.00022253i
0.0012147-9.8492e-06i,0.001548+0.00011939i,0.0018042-0.00079102i,0.00095964-0.0019487i,0.0002878-0.0020637i,-0.00041119-0.0020225i,-0.00074214-0.00097304i,-0.00071741-9.9822e-06i,-0.00017946-0.0002761i,0.00058813-0.0001921i,-0.00025051-6.2931e-05i,-0.00033829-0.00012567i,0.00021583+0.0001791i,0.0001169+0.00045538i,-0.00037458+0.00018953i,0.00010226-0.00035415i,0.0001281+0.00012192i,-7.2506e-05-4.1342e-06i,0.00046559-0.00045785i,5.6359e-05-0.00011605i,0.00012557-9.0613e-05i,0.00028206-5.0851e-05i,0.00046507+2.8783e-05i
0.0013489+0.0004264i,0.0012126-5.6908e-05i,-0.00042876-0.0013034i,-0.0022771-0.001785i,-0.0026923-0.0015637i,-0.0027359-0.0013489i,-0.0020485-0.00049506i,-0.00061585+0.00016514i,0.00083517-0.00035996i,0.00128-0.00038716i,0.0001761-0.00040138i,-0.00050584-0.00096516i,-0.00050709-0.0008127i,-0.00025801+2.4589e-05i,-0.00044002+0.00032132i,-0.00067473+0.00010869i,-0.00010629+0.00019059i,2.0523e-05+8.1994e-06i,0.00019468-3.7902e-05i,0.00043732-7.9725e-06i,0.00048279-0.00013911i,0.0010333-0.00010541i,0.00088465+0.00029622i
-0.0010939-0.00085278i,-0.0018258+0.00039562i,-0.00212+0.0015394i,-0.0018505+0.0022106i,-0.0017839+0.00096031i,-0.0011808+9.1485e-05i,-0.00049522-0.00081428i,-0.00064304-0.0012353i,-0.0010496-0.00039477i,-0.0011817-0.00018222i,-0.0010541-0.00081642i,-0.00066734-0.00064637i,-0.0006104+0.00014395i,-0.00033071+0.0008239i,-0.00011532+0.00069067i,-6.0585e-06+0.00045593i,0.00010303+0.00026178i,-2.4178e-05+0.00022797i,-0.00010675+0.00048866i,0.00050169+0.00012815i,0.00079292-0.00024553i,0.00064556-0.00023107i,0.00023819+7.3836e-05i
0.00094884-0.00064619i,0.00027262-0.00036643i,-0.0010149-0.0021428i,-0.0014035-0.0026241i,-0.00075081-0.0014256i,-0.0014084-0.0012056i,-0.0024179-0.0013382i,-0.0016332-0.00063525i,-0.00085328-0.00049134i,-0.00064479-0.00058946i,-0.00035931-0.00079561i,-0.00076732-0.00054389i,-0.00093747+0.00013947i,-0.00046988+3.4928e-05i,-0.00062915-0.00011795i,-0.00026258-0.0002077i,0.00045575-7.7816e-05i,0.00065723+0.00012019i,8.6178e-06+0.00015482i,-0.00070136-0.00058846i,-0.00010477-0.00031548i,0.0001744+0.00025947i,0.00039149+0.00034081i
0.00079674+0.002184i,0.00010598+0.0013406i,0.00037857+0.00019191i,0.0011255-0.00036962i,0.0013247-0.00026128i,8.4647e-05-0.0005818i,-0.00015912-0.00031508i,-0.00054742+0.00016441i,-0.00082681+0.00017743i,5.0997e-05+0.00076105i,-0.00033863+0.00097931i,-0.001024+0.00050007i,-0.00051592+0.00025899i,-0.00027625+0.00025251i,0.00027918+0.00030393i,0.00045625-0.00031562i,-4.1257e-06-0.0009096i,0.00017006-0.0003933i,0.00030353-0.00052109i,0.00010578+0.00014873i,-0.00015251+0.0013035i,-0.00022545+0.00077655i,-0.00059201-0.00086208i
-0.0017655-0.00096119i,-0.0018226+0.00015675i,-0.0020289+0.0013153i,-0.00024528+0.0010581i,0.0011703-0.00050555i,0.00079415-0.0011803i,0.00017434-0.00035933i,-0.00021101+0.0010182i,-0.00012823+0.0019528i,8.0392e-05+0.0013755i,0.00064974+0.0010908i,0.00081246+0.0012701i,0.0003018+0.00011832i,0.00032502-0.00034371i,0.00042724-0.0006162i,-4.2748e-05-0.00059554i,-8.8267e-05-5.2727e-05i,-0.00019543+0.0003978i,-0.00055348+0.00036153i,-0.00016943-0.00034638i,8.3516e-06-7.436e-05i,-6.7618e-05-4.5559e-05i,0.00081752-0.00067089i
0.0010849-0.0020761i,0.0014699-0.0017688i,0.00023239-0.0015812i,-0.0010504-0.0019347i,-0.002003-0.0013512i,-0.0022736-0.00041093i,-0.0011333-0.00046682i,-1.5031e-05-0.00087211i,-0.00012552-0.0010477i,-0.000136-0.00090503i,4.6213e-05-0.00053449i,-0.00047456+0.00012175i,-0.00065515+0.00020871i,-0.00012412+4.7057e-06i,-8.7461e-05+2.8729e-05i,-3.0422e-05+0.00017498i,0.00056295+0.00048459i,0.00095378+0.00028567i,0.0005257-0.00017641i,0.00016974-0.0005654i,0.00051592-0.00059268i,0.00015944-0.00038206i,-0.00052911-6.1107e-05i
-0.0017654+0.0029999i,-0.0018503+0.002939i,-0.0010762+0.0032607i,0.00042666+0.0012901i,0.00099477-0.00083503i,0.00030307-0.00090774i,0.00023168+0.00012038i,0.001323-0.0006476i,0.0015802-0.0012027i,0.00073587-0.00030891i,-0.00020201-8.4542e-05i,-0.00068243-0.00069914i,-0.00041349-0.00015255i,-0.0003993+0.00025739i,-0.00046222-0.0002209i,-2.0575e-05+0.00022229i,0.00047745+0.00083539i,0.00040029+0.00041504i,-8.8411e-06-2.0652e-05i,-0.00037035-0.00050913i,0.00025314-0.00053327i,0.00057817-2.6347e-05i,-0.00054005+0.00031543i
0.00073925-0.0002699i,0.0015189-0.0014862i,0.0011434-0.0027706i,-0.00021785-0.0023007i,-0.0012973-0.00091186i,-0.00074416-0.00042604i,-0.00042058-0.0007045i,-0.00036888-0.0012731i,-4.3511e-06-0.0015869i,-0.00044922-0.0019689i,-0.00081744-0.0012234i,-4.6385e-05-4.9734e-05i,-8.566e-05+0.00026636i,-0.00036125+0.00034297i,-0.00036944+0.00036221i,-0.00027037+0.00094545i,0.00021904+0.0012076i,0.00082142+0.00059867i,0.00037961+0.0005846i,-0.0004377+0.00051576i,3.6574e-05+0.00076458i,0.0004105+0.00088566i,0.00041102+0.00033374i
-0.00024324+0.0012555i,-0.0010654+0.001169i,-0.0014731+0.00063776i,-0.00060696+0.00010617i,-0.0007389+0.00032451i,-0.0016269+0.00032388i,-0.0022228+3.152e-05i,-0.0022638-0.0005199i,-0.0017848-0.00049594i,-0.00091882-0.00015565i,-0.00022458+0.00013005i,-0.00048397+0.00027752i,-0.00092502+0.00064969i,-2.5711e-05+0.00089493i,0.00023263+0.00015381i,-0.00023872-0.00025244i,-0.000317-0.00040742i,0.00040354-0.00027734i,0.0011973-0.00066532i,0.00069126-1.0429e-06i,0.00018231+0.00061939i,-0.00033584-0.00015811i,-0.00087196-0.00026194i
-0.00025485-0.00043362i,-0.00029567-0.00058631i,-0.00023722-0.00058769i,0.0001916-0.00063019i,0.0015472-0.00072612i,0.0011093-0.00091103i,5.6754e-05-0.00076613i,-9.6021e-05+7.7227e-05i,0.0005094+0.00065025i,0.0013238+0.0011624i,0.00058377+0.0011007i,1.5247e-05+0.0006557i,3.4377e-05+0.0010328i,-0.00096569+0.0011891i,-0.00076907+0.0004394i,0.00040227-0.0001035i,0.0005013+0.0007483i,0.00029493+0.0005114i,0.00040509-0.00015805i,0.00051864+0.00034231i,0.00039939+0.00015138i,3.4236e-05-0.00010245i,7.7432e-05-0.00039741i
0.0001516+0.0018994i,-0.0004774+0.0017871i,-4.8587e-05+0.0022699i,0.0014694+0.00044003i,0.0019668-0.0019185i,0.00072545-0.0025031i,-0.00078724-0.00093897i,0.00030903+0.0011956i,0.0018204+0.0010989i,0.0016632-0.00024827i,0.0010139-0.00020973i,0.00075681+6.1817e-05i,0.00019416-2.6752e-05i,-0.00019913-0.00047294i,-0.0004387-0.00054751i,-0.0010138+0.00037494i,-0.00084566+0.00060676i,-0.00068008+0.00035006i,-0.00059565+0.00066986i,-0.00038883+0.00063476i,-4.6341e-05+0.00028286i,-6.847e-05+0.0007212i,8.968e-05+0.0011429i
-0.0020151+0.0023898i,-0.0024402+0.0020488i,-0.00071381+0.0015559i,0.00065818+0.0008i,0.00040902-0.00022066i,-0.00039167-0.001449i,-0.0010541-0.001453i,-0.00024468-0.0012489i,0.00015268-0.00097907i,6.9166e-06-0.0011396i,0.00028669-0.0012729i,-0.00013208-0.00026273i,-0.00043032+0.00058424i,-0.00041983+0.00096736i,-1.9784e-05+0.0013939i,0.00020311+0.001101i,-3.2499e-05-0.0001171i,0.00017984-0.00061544i,0.00047288-0.00041473i,-0.00051876+0.00013885i,-0.00093435-0.00043485i,0.00050774-0.00057641i,0.00082394+8.8339e-05i
