0.00072809+0.00048253i,0.00025616-0.00027824i,0.00024621-0.0010661i,-0.00013643-0.0012435i,-0.001503-0.001671i,-0.0022115-0.00098828i,-0.00082807+0.00061143i,0.0010622+0.0011314i,0.0017314+0.00077495i,0.0017884-0.00038806i,0.00084417-0.00067127i,1.2898e-05-0.00034091i,-1.3164e-05-0.00010145i,0.00039451-0.00029298i,0.00011049-0.00032334i,0.00050066+0.0001223i,0.00039747+0.0005537i,0.00014372+0.00099422i,0.00093494+0.00078892i,0.00063423+0.00057586i,0.00020009-4.6873e-05i,0.00083352+2.1648e-05i,0.00036916+0.000581i
0.00062837-0.00083681i,0.001239-0.00036413i,0.0011502-0.0010979i,-8.561e-06-0.0010393i,-0.00065887+0.00010196i,-0.00036794+0.00085397i,1.4353e-05+0.0010372i,0.00032236+0.00081102i,0.0006204+0.00030119i,-0.00014507-0.00023122i,-0.00075515-0.00021686i,-0.00025633+3.0577e-05i,-0.0001653+5.4889e-05i,-1.2719e-05+5.1928e-05i,0.00022294+0.00010706i,-0.00032451-0.00025267i,-0.00069695+0.00027284i,-9.6284e-05+0.00065302i,-5.9552e-05+0.00050456i,0.00026199-0.00016064i,0.00073499-0.00045772i,-4.2473e-05+0.00019235i,-0.00061718+0.00024773i
-0.0021731-0.00073527i,-0.0016229-0.00164i,-0.00071383-0.00038343i,0.00013102+0.00076777i,0.0010422+0.00031434i,0.00052139-0.00044826i,-6.3357e-05-0.00055206i,-0.00010294+0.00027786i,-0.00048283+0.00061563i,-0.00063525+0.0010333i,0.0003151+0.0010929i,0.0011702+0.00014788i,0.0010055-2.7348e-05i,0.00019402+0.0003512i,-0.00079532+8.5741e-05i,-0.0010803+0.00010469i,-0.0009186+0.00073157i,-0.00018561+0.00095298i,-0.00030791+0.0010526i,-0.00063636+0.00078095i,-0.00035886+7.6703e-05i,-3.415e-05-9.2712e-05i,3.8145e-05+0.00040689i
-0.0013757+0.0013677i,-0.0002172+0.0019332i,0.00083719+0.0024904i,0.0014021+0.0016542i,0.0013575+0.0001715i,0.00080655-0.00054848i,0.00046506-0.00018362i,0.00093031+8.8544e-05i,0.0015278-0.0006491i,0.001392-0.0012586i,0.00071542-0.001259i,0.00064843-0.00070584i,0.00066755+4.4546e-05i,0.000198+0.00050543i,0.00014886+0.001051i,0.00012176+0.0011293i,0.00055407+0.00018038i,0.00060161-0.00028552i,-0.00032207+0.00054688i,-0.00051444+0.0010246i,-9.2525e-05+0.00021936i,0.00038373-7.7994e-05i,0.0002062+0.00053853i
-0.00030021-0.0013886i,0.00015079-0.0010244i,0.00043289-0.00067658i,-0.00085725-0.00014449i,-0.0013286-0.0006151i,-0.00066731-0.0011641i,0.00013687-0.0010673i,0.00054093-0.00096863i,0.00060459+5.0541e-06i,-0.00032381+0.00029384i,-0.0015991+0.0002751i,-0.00080906+0.00090883i,1.342e-05+0.0010419i,-5.0838e-05+0.00092243i,0.00030542+0.00039774i,0.00027148-0.00019509i,0.000147+0.00016632i,0.00045995+0.00027187i,0.00033103+2.9197e-05i,0.0006377-0.00021973i,0.00067514-0.00072514i,0.0003487-0.00064062i,0.00026057-3.9095e-05i
-0.00034063-0.00095835i,0.00021908-0.00050692i,-0.00040068-0.0001887i,-0.0011362-0.0005322i,-0.00032932-0.0012305i,-1.2531e-05-0.00036183i,-0.00027582+0.00048172i,-0.00059357+0.00037808i,-0.00057054+0.00030443i,-0.00023731+0.00037919i,6.3807e-05+2.6122e-06i,0.00019998-0.0003561i,4.3114e-05-0.00011016i,-0.00021175+0.00060038i,-0.00025698+0.00081902i,-8.3891e-05+1.2169e-05i,8.9452e-05-0.0003316i,0.0002207+0.00062413i,0.00058293+0.00084225i,0.00023384-0.0003653i,-0.00032817-0.0005026i,-7.0123e-05+0.00023502i,-0.00023838-0.00024664i
-0.0006565-5.4874e-05i,-0.00042736+0.00021243i,-0.0011206+0.0013911i,-0.00093929+0.0013938i,-0.00015419+0.00013593i,-0.00033581-0.0010514i,-0.00087092-0.0012628i,-0.0010875-0.001142i,-0.0002894-0.0011719i,2.3271e-05-0.00064694i,-0.00031146-0.00011196i,-0.00074071-0.00036839i,-0.0007721-3.2243e-05i,-0.00015698+0.00029728i,-0.00012551-0.00028971i,-0.00017573-0.00038238i,0.00044029-5.4292e-05i,0.00047345+0.00025239i,0.00026164+0.00020438i,-7.7285e-05-6.8305e-05i,-4.5229e-05-0.0005364i,0.00034432-6.7052e-05i,0.00036017+0.00093224i
0.0004965-0.0011446i,0.00045591-0.0018053i,0.00050462-0.0022776i,0.0007426-0.00091519i,0.00084637-0.00011954i,0.00091134-0.00010157i,0.00057129-0.00019331i,0.00012585-0.00065414i,-0.00060036-0.00074773i,-0.0013791-0.00027565i,-0.00090481-0.00017796i,-0.00017943-0.00026306i,0.00013672+0.00067747i,0.00057034+0.001432i,0.0009051+0.00068025i,0.0011502+2.7523e-06i,0.00030738-0.00040969i,-0.00029405-6.2249e-05i,0.00029454+0.0006878i,0.00055588-7.1739e-05i,-0.0001665-0.00063966i,-0.00064284-0.00010242i,-0.00096721-1.4426e-05i
0.00046491+0.0013578i,-0.00015202+0.00049267i,0.00043144-0.00043082i,0.001405-0.00059638i,0.00086295-0.0011832i,0.0002214-0.0015715i,0.00012183-0.0011038i,0.00019955-0.00027001i,-0.00031491-0.00050892i,-0.00055671-0.00074716i,-0.00029194-0.00012338i,-0.00046151+0.0003932i,-0.00097408+0.00087735i,-0.00074137+0.00098929i,-0.00031714+0.00036356i,-0.00043384-8.5664e-05i,-0.00079278-0.00020684i,-0.00012055-0.00097i,0.00077216-0.00090988i,0.00071534-0.00019998i,-0.0005752+0.0004852i,-0.0010876+0.0006238i,-0.00011156+0.0002815i
-6.9704e-05-0.0012617i,6.9348e-05-0.001514i,-0.00034354-0.0015098i,-0.00045207-0.00021973i,-0.00095626+0.0009632i,-0.0013709+0.00079931i,-0.0013693+0.00084565i,-0.00083849+0.00057443i,-0.00036095-1.4219e-05i,-0.00052128-0.00016473i,-0.00045666-0.00042958i,0.00016635-0.00096127i,0.00038595-0.0008595i,0.00037397-0.00019488i,0.00062304+0.00011948i,0.00018483-0.00012524i,-0.00036359-0.00020088i,-0.00038789+5.3626e-05i,-5.4475e-05+0.00016169i,0.00010201+0.00017161i,-0.00066888+0.00018034i,-0.0013196+0.00027296i,-0.00075088-7.0332e-05i
-0.00036094+0.0018238i,-0.0004044+0.0024333i,0.00035355+0.0016615i,0.0015164-0.00011511i,0.0010153-0.0011866i,-0.00056843+0.00015011i,-0.00082047+0.00041965i,-0.00074777-0.00056569i,-0.00067041-0.00084655i,0.00017104-0.00055631i,0.00015463-0.00050533i,-0.0001315-0.00062661i,0.00025291-0.00084798i,0.00039028-0.00050067i,0.00042519-0.000454i,0.00053819-0.00050992i,0.00037173-0.00014999i,0.00035809+0.00019203i,0.00061387+0.00044746i,0.00051766-0.00013277i,-0.00015783-0.00072445i,-0.00023001-0.00026868i,-0.00027783+0.00047126i
-0.00037488+0.00094201i,-0.0002706+0.0010375i,6.7441e-05+0.0013419i,0.00035134+0.00016757i,0.00061906-0.0012742i,0.00068512-0.0012754i,0.00040503-0.00060604i,-0.00018689+0.00010324i,-0.001494-0.00014057i,-0.0015773-0.00072872i,-0.00034835-0.00021068i,-5.2225e-06+0.00014027i,-0.0011511-0.00059517i,-0.0013017-0.00068869i,-0.00033773+0.00041229i,0.00018333+0.00093177i,-2.6385e-05+0.00061593i,-0.00012805+0.00046827i,0.00079454+0.00016762i,0.00083466+1.4346e-05i,-0.00010943-0.00039029i,0.00023804-0.000602i,0.00079634-0.00016992i
0.0012258-0.0004326i,-0.00031679-0.00065027i,-0.00072436-0.0010011i,-0.00018364-0.0013659i,-0.00014281-0.0011912i,-4.4235e-05+0.00028154i,-8.62e-05-0.00020403i,-0.00074448-0.0010737i,-0.00062766-0.00037994i,0.00032749+0.00021222i,0.00070145+0.00018026i,0.00014743-7.7629e-05i,-1.7602e-05-0.00059946i,0.00057052-0.00027869i,-3.5239e-05+0.00013172i,-0.00036535-0.00044135i,0.0001906-0.00038438i,-8.9916e-05+9.271e-05i,-0.00023222+0.00028305i,-0.00013394+0.00017305i,-7.5151e-05+0.00031648i,-0.000262+0.00014862i,-0.00035513-0.00054535i
0.0019277+0.00080445i,0.0017683+0.0014837i,0.0012108+0.00036406i,0.0010172-0.001116i,0.00060362-0.0017881i,-0.00011271-0.00047269i,-9.0253e-05+0.00087026i,0.000118+0.00076822i,0.00011842+0.00049687i,0.0001559+0.00029044i,0.00021339-0.00025967i,0.00020711-0.0006895i,2.6629e-05-0.00045785i,-0.00037303-0.00026693i,-0.001047+6.7053e-06i,-0.00075272-9.8746e-05i,-0.00018661-0.00058175i,0.0003853-0.0006285i,0.00061498-0.00077712i,0.00049619-0.00068267i,0.00056226-0.00017915i,0.0002081-0.00032989i,0.00078948-0.00097526i
-0.00026246-0.00011673i,-0.00027126+1.9239e-05i,-0.00042861-0.00040514i,-0.00065151-0.0015034i,-0.0011392-0.0022464i,-0.0019124-0.00050679i,-0.0013161+0.00014457i,-0.00020868-0.00052687i,-0.00017932-0.00052174i,-0.00011031-0.00031009i,6.9859e-05-0.00015703i,0.00033589+5.79e-05i,4.8961e-05+0.00046931i,-0.00043065+0.00059312i,-0.00027892-0.00011014i,-0.00029582-0.00042337i,-0.0010636-0.00082678i,-0.00092214-0.0011391i,-4.2789e-05-0.0006741i,0.00028351-0.0006113i,0.00059628-0.00016065i,0.00085017+0.00030341i,0.00064019+0.00059751i
0.0027764+0.00037543i,0.0021779-7.0481e-05i,0.0016638-0.0007249i,0.001512-0.0015249i,0.00050305-0.0015611i,-0.00070641+0.00014023i,-0.0003366+0.0012848i,0.00050755+0.00054025i,0.00083616-1.3912e-05i,0.00032319-0.0003389i,-7.5066e-05-0.00067228i,-6.6108e-07-0.00063219i,-8.6711e-05-0.0009055i,0.00032327-0.001124i,0.00019065-0.00079937i,3.3601e-06-0.00028344i,-0.00011199-0.00056413i,-0.00010963-0.00052269i,0.00040942-0.00022971i,0.00048802-0.00030503i,-0.00041443+0.00051787i,-0.00094705+0.001367i,3.3893e-05+0.00073385i
0.00060047+0.0018018i,0.0010691+0.0020009i,0.00062366+0.0011963i,0.00054808+0.00055985i,-0.00039924+0.00042716i,-0.0012487-0.00018702i,-0.001278-0.001012i,-0.0011187-0.00098417i,0.00024783-0.00052072i,0.0013285+6.0842e-05i,0.00030754+8.1162e-05i,-0.00066505-0.00079984i,-0.00038604-0.00024331i,-0.00099519+0.00050198i,-0.00085391+0.00068617i,-8.3118e-05+0.0010583i,9.1324e-06+0.00038524i,5.0852e-05-6.0163e-05i,-8.6007e-05+0.00028125i,-0.0008645+0.00015126i,-0.0011878-0.00050234i,-0.00060729+0.00037514i,-4.9396e-05+0.00049339i
-0.0019497-0.00021678i,-0.0026516+0.0013162i,-0.0027454+0.0013376i,-0.00087599+0.0010473i,0.00074771+0.00062528i,0.0014629+0.00027389i,0.00089195-0.00063943i,0.00027629-0.0014215i,0.0012491-0.00081943i,0.0014839+7.6017e-05i,0.00085883-0.00030378i,0.00038771-0.00068961i,1.7847e-05-0.00068102i,9.2756e-05-0.0010074i,1.7794e-05-0.001319i,-0.00074959-0.00077886i,-0.00070663-0.000423i,0.00015471-0.00028619i,0.00044259+0.00015371i,0.00025591+0.0005742i,-0.00031917+0.00054559i,-0.00048906+0.00038954i,0.00023118+0.00040631i
-0.0013538+0.00022528i,-0.00052877+0.00089856i,-8.6206e-05+0.0020808i,0.00076322+0.0022321i,0.0014464+0.0011271i,0.0013015+0.00037032i,0.00087909+0.00035992i,0.00081198-9.615e-05i,0.0010833-0.0011256i,0.00065109-0.0012675i,0.00013642-0.00063207i,0.00049635-0.00022088i,0.00061237+0.00011755i,0.00012381+0.00062052i,-0.00029902+0.0004607i,-0.00069562-6.5239e-05i,-0.0010364-8.5878e-05i,-0.00079625-0.00040742i,-0.00030888-0.00070237i,-0.0002997-0.00056725i,-0.00026416+0.00031497i,-0.00035824+0.00037284i,-0.00061455-0.00030512i
-0.0011131+0.00017127i,-0.0016129+0.0007722i,-0.00075719+0.00050036i,0.0004857+0.00042661i,0.00020176+0.0006317i,-0.00059808+0.0001014i,0.0001181+8.0086e-05i,0.00062176+0.0003667i,0.0002223+8.8499e-05i,-0.00016575-0.0001222i,-0.00054491-0.00020602i,-0.00056429+0.00032328i,-0.00016513+0.00018643i,0.00049369-0.00023618i,0.00055467+0.00058543i,0.00048052+0.0011806i,0.00053955+0.00056505i,0.00028479+0.00032762i,-0.00012097+0.0007604i,0.00044478+1.8559e-05i,0.00087393-0.0006601i,-9.754e-05-0.0006966i,-0.00076281-0.00037417i
0.0017052-0.0011084i,0.0011766-0.0014285i,0.00092106-0.0018258i,0.00047684-0.002091i,-0.00037792-0.0012479i,-0.0001665+0.00052675i,0.00047775+0.00088758i,0.00082186+0.00059851i,0.00020293+0.00023965i,-0.00069949+3.255e-05i,-0.00059677+0.00028201i,-0.0005632+0.00011717i,-0.00045345-0.00053286i,-0.0002341-0.00036036i,-0.00051395-0.00051023i,-0.00068813-0.00098495i,-0.0010149-0.00060539i,-0.00036007-5.9512e-05i,0.00045511+8.8558e-06i,0.00016913-4.2001e-05i,0.00021911+0.0002643i,0.00021574+0.00071247i,-3.7319e-05-0.00010049i
-0.0017727+0.001135i,-0.0016426+0.00088059i,-0.00046216+0.0017602i,0.001249+0.0019984i,0.0020568+0.00010525i,0.0014215-0.0014932i,-0.00063785-0.0013421i,-0.0016807-0.00074903i,-0.0014203-0.00076273i,0.00020018-0.00042722i,0.00038369-0.00010931i,-0.00061399-0.00022311i,-0.00091693-4.8953e-06i,-0.00018104+0.00019072i,0.00067236-4.2367e-05i,0.00077592-0.00038872i,0.00048289-0.00071859i,-0.00062901-0.00088411i,-0.00087165-0.0003991i,-0.00025964+0.00011088i,0.00032043+0.00058497i,0.00036462+0.00063233i,0.00029103+0.00042931i
0.00051716-4.5488e-05i,0.00036403+0.00018461i,-0.00085828+0.00048891i,-0.0011024+0.0001702i,-5.0097e-05-0.00017893i,-6.9573e-05-0.0006949i,0.00028221-0.0011955i,0.00047043-0.00076224i,0.00014035-0.00035552i,-0.00013704-2.7524e-05i,-0.00020425+0.00049042i,0.00051752-3.7279e-05i,0.00099056-0.00016468i,0.0005929+0.00061256i,-0.00010722+0.00057306i,-0.00064944+0.00090242i,-0.00041578+0.0011728i,0.0002812+4.5019e-05i,0.0005409-0.00058766i,5.0529e-05-0.00023799i,-0.00012005+0.00045721i,0.00030427+0.00049745i,5.0243e-05+0.00017683i
0.0014325-0.00049025i,0.0015899-0.00047942i,0.0012008-0.00034364i,0.00079802-0.00074357i,0.00053991-0.00084521i,0.00043775-9.7275e-05i,-0.00015114-0.0003322i,-9.6084e-05-0.0003026i,0.00018027-0.00028351i,0.00011793-0.00066255i,5.8168e-05-0.00063494i,-0.00016319-0.00082468i,-0.00062832-0.00047658i,-0.00090477+0.00010223i,-0.00033994+0.00029932i,0.00016805-0.00015918i,-0.00013334-0.00062142i,-0.00013327+0.00019351i,0.00023016+0.00092463i,0.00049176+0.00044499i,-0.00017649+0.00049357i,-0.00048435+0.00055739i,-0.00012513+0.000193i
-0.0021897+0.00031197i,-0.0012646+0.0013327i,-0.00013566+0.0016199i,0.00090699+0.0014001i,0.0016797+0.0012311i,0.0016664+0.00010078i,0.0011261+0.00034638i,0.00039595+0.00066335i,0.00025879+0.00013504i,0.00018699-8.1105e-05i,0.00032148-0.00044352i,0.00086593-0.00025361i,0.00011881+0.00013955i,-0.00030482-0.00033257i,0.00017811-0.00079861i,0.00050017-0.00082153i,0.00048234-0.00085448i,0.00076292-3.5995e-05i,0.0010092+0.00013304i,0.00033369-0.00021792i,-0.00017538-0.00064885i,0.00063696-0.00033919i,0.00096881+0.00015606i
-0.00033732+2.6361e-05i,-0.00089409+0.00042314i,2.2163e-06-8.8651e-05i,0.0009786-0.00063344i,0.0012909-0.00063422i,0.00053365-0.00042096i,0.00021658-0.00043627i,0.00054387-0.00068216i,0.00068335-0.00067371i,0.00043225-0.00039483i,0.00047689-0.00044118i,0.0004205-0.000394i,-7.0298e-05+0.0001585i,-0.00025915-0.00014796i,-0.0006583-0.00048156i,-0.001025+0.00028027i,-0.00027942+0.0010557i,-3.8898e-05+0.0015426i,-0.00033897+0.00065386i,-2.1379e-05-0.00071358i,0.00097476-0.00094677i,0.001022+3.428e-05i,-8.8734e-05-5.7602e-05i
-0.0022971+0.00074138i,-0.0010152+0.0010061i,-5.1212e-05+0.0030094i,0.00086453+0.0026877i,0.0016017+0.00044554i,0.0011178-0.0007407i,0.0002131-0.00014107i,-0.00029202+0.00047972i,0.00017403+0.00012998i,0.00075675-0.00016282i,0.00076862-0.00039357i,0.00055136-0.00022301i,0.00019068-7.9452e-05i,6.309e-06-0.00052939i,9.4429e-05-0.0010793i,-0.00013332-0.0010582i,-0.00033761-0.00049467i,8.6542e-05+0.00018899i,0.00047127+0.00035632i,0.00039029-0.00052965i,0.00062506-0.00048419i,4.1658e-05-0.00015003i,-0.00087628-0.00035968i
0.00017407-0.0011324i,0.00010775+0.00034307i,-0.00014884-0.00035834i,-0.0005703-0.0018599i,-0.00059329-0.0010375i,-0.0015937+0.0010417i,-0.001376+0.0015001i,-0.00015337+0.00057657i,0.00066727-0.00089118i,-0.00015318-0.0015656i,-0.0007304-0.0014848i,-6.3146e-05-0.00089115i,0.00040918-0.0004148i,0.0005379-0.00026703i,-0.00043427-0.00046369i,-0.00095084-0.00032518i,-0.00025164-0.00047907i,0.00074316-0.00068364i,0.00050792-0.00032094i,0.00014606+0.00017166i,-0.00010551+0.00019982i,-0.00061077+1.1318e-06i,-0.00038933-0.00025059i
-0.00093562-0.0013661i,-0.0013423-0.0018828i,-0.0012729-0.0007606i,-0.00072504+0.00016425i,-0.00019716-0.0001858i,0.00019539-0.0014721i,-0.00049599-0.0020963i,-0.00041974-0.0015555i,0.00031331-0.0006092i,-8.774e-05+0.00063523i,2.4223e-05+0.00085854i,0.00065852+0.00064913i,0.00041386+0.00058586i,0.0007947-0.00017368i,0.001409-0.00031815i,0.00074467+0.00040189i,-0.00021669+0.00068968i,0.00022156+0.00080724i,0.00067331-6.9636e-05i,-1.2979e-06-0.00084927i,-0.0004117-0.00046002i,-6.8057e-05-0.00038689i,0.00012079-0.0006708i
-0.0015843-5.6274e-05i,-0.001498+0.0012385i,-0.0012144+0.0019923i,-0.0007426+0.0010655i,-0.00055531-0.00060323i,-0.00078179-0.0013905i,-0.0012364-0.0012407i,-0.0010084-0.0012504i,-0.00051073-0.0011116i,-0.00059286-0.00050961i,-0.00073528-0.00065976i,-0.00040107-0.001543i,-7.8515e-05-0.0018043i,0.00018395-0.0013158i,0.00065374-0.00072415i,1.8183e-05-0.00013319i,-0.00026016+0.00091196i,5.4272e-05+0.00054948i,-0.00054447+1.7413e-05i,-0.00089675+0.00061321i,-0.00064612+0.00056441i,-0.000226+7.4917e-06i,0.0001097-6.532e-05i
0.00021806-0.0011677i,0.00077879-0.00091594i,0.00037988-0.0010483i,1.8025e-05-0.00061983i,0.00071928+0.00063377i,0.00089392+0.0014265i,0.00046099+0.00099692i,0.00070717+0.00087387i,0.00010079+0.00077276i,-0.00050838+0.00041816i,0.00012268-5.6448e-05i,0.00071482-0.00011679i,0.00057173+0.00031277i,0.00046777-6.4919e-05i,-0.00018572-0.0008151i,-0.00075365-0.0004054i,-0.00019898+0.00061825i,-0.00011731+0.00048976i,-0.00021804+0.00022423i,2.8957e-05+0.00030748i,0.00028877+0.00015564i,0.00064737-0.00038579i,0.00071052-0.0007663i
0.00062793+0.001736i,0.0011335+0.002623i,0.0014662+0.002091i,0.0016384+0.00028697i,0.0011304-0.0016153i,-0.00020048-0.0016406i,1.93e-05-0.0010921i,0.00064116-0.0010767i,0.00049797-0.00082042i,0.00042128-0.0003364i,-5.2425e-05+6.8981e-05i,-0.00037443+0.00021672i,-4.6221e-05+2.0593e-05i,0.00014911-6.3423e-05i,-0.00023848-0.00036102i,-2.5299e-05-0.0013958i,0.00024004-0.00082957i,-0.00019145+0.00041777i,-0.00039732+0.00089559i,0.0001084+0.00025702i,-0.00011998-0.00072766i,-0.00020018-0.0012948i,-0.00019142-0.0011796i
