-0.0031207+0.00060564i,-0.0017855+0.00018939i,-0.0019758+0.00051032i,-0.0022994+0.0010113i,-0.0026108+0.0011773i,-0.0021505+0.0022409i,-0.001639+0.0014657i,-0.0012323+0.00081139i,0.00014889+0.00098712i,0.00091908+0.00057426i,0.0006059+0.00034839i,0.00079743+0.00040828i,0.00029781+6.2337e-05i,-0.00050147-0.00072696i,-8.2617e-05-0.00045323i,0.00038229+0.00016228i,-0.00016499-2.6888e-05i,-0.00080544-3.3869e-05i,-0.0005721-1.8802e-05i,0.00020365-0.0011152i,0.00045799-0.0011374i,-1.2646e-05-0.0001884i,8.4226e-05-0.00026382i
-0.00095108-0.0012209i,-0.00087877-0.0010962i,-0.0003564-0.0012215i,-0.00020883-0.0018215i,-0.00039794-0.00094103i,-0.00057761+3.4755e-05i,-0.0009279-7.3927e-05i,-0.0016358+0.0003731i,-0.0019659+0.0016996i,-0.00044545+0.0033591i,0.00064759+0.0034847i,0.00022417+0.001851i,-0.00092354-9.7265e-05i,-0.0016797-0.00060375i,-0.001733-0.0003324i,-0.0015647-0.00031961i,-0.0015657-0.00032287i,-0.00086282-0.00039333i,-0.00018964-0.00049348i,-0.00045244+0.00013779i,-0.00026056+6.39e-05i,0.00046524-0.00035334i,0.00067146+0.00022733i
-0.00049029+0.00064706i,-0.00034124+0.0013636i,0.00013909+0.001031i,0.0015757+0.00067736i,0.002146-2.6121e-05i,0.0015548-0.00092013i,0.00051353-0.00038847i,0.00054742-0.00078539i,0.0021327-0.00058588i,0.0027499+0.001347i,0.0025472+0.0019186i,0.0019231+0.00090162i,0.00077573+7.6384e-05i,-0.00024517-0.00010021i,-0.0014796-8.1778e-07i,-0.0020796+0.00012447i,-0.0014917+0.0002986i,-0.00076276+4.2678e-05i,0.00023988+5.4556e-05i,0.00078879-0.00038221i,0.00084388-0.0011026i,0.00093653-0.00086449i,0.00065418+7.4736e-05i
0.0025727-0.00030763i,0.001864-0.0011316i,0.0011022-0.0024195i,-0.00045867-0.0026656i,-0.0015648-0.001711i,-0.001992-6.0992e-05i,-0.00090415+0.0011311i,0.00081263+0.001383i,0.0014748+0.0011754i,0.0029312+0.00012471i,0.003355-0.0013001i,0.0018227-0.0014317i,0.00075549-0.00089411i,-0.00015731+6.2614e-05i,-0.00045347+0.00014602i,0.0007023+0.00021295i,0.00068709+0.00059178i,0.00017907+0.00089448i,1.1721e-05+0.00055151i,-0.00019215-7.4422e-05i,2.7944e-06-0.00019498i,0.00017635-0.00089044i,0.00054094-0.001121i
0.00010158-0.0022143i,-0.00049814-0.001952i,-2.1875e-05-0.0010134i,0.00029943+0.00021103i,-1.9582e-05+0.00038006i,1.0477e-05+0.00042491i,0.00080946+7.1678e-06i,0.00017356-0.00051522i,-0.00086553+0.0001195i,-7.8909e-05-0.00037547i,-2.4691e-05-0.0019794i,-0.00054017-0.0017831i,-0.00054658-0.00054202i,8.9997e-05-0.00036025i,0.00092327-0.00017975i,0.00090935-6.6327e-05i,0.00064522-0.00080102i,-0.00049372-0.0013522i,-0.0011968-0.0008022i,-0.00032994-0.00019552i,0.00017208-0.00084826i,-0.00013711-0.0010188i,0.00017666-0.00054027i
0.0016311-0.0012327i,0.0010005-0.0011975i,0.0011935-0.0015037i,0.0012723-0.0013499i,0.00034827-0.0012854i,-0.00045331-0.00065872i,0.00040015-0.00030815i,0.0012369-0.00033863i,0.0013582-0.00071935i,0.00059794-0.001069i,-0.00074933-0.00081932i,-0.0014046-0.00096405i,-0.00074339-0.0005799i,-7.1392e-05-0.00049377i,-0.0002893-0.0013498i,-0.00087739-0.001726i,-0.001868-0.0016123i,-0.001935-0.00098746i,-0.00039994-0.00062053i,-0.00017181-0.00066975i,-4.4656e-05-0.0012192i,0.0012292-0.00090416i,0.0011447+0.00015017i
-0.00035236+0.00095261i,0.0012493+0.0016584i,0.0025927+0.0018031i,0.0018078+0.0004883i,0.0002108-0.0014299i,-0.00061911-0.0021826i,-0.00019757-0.001767i,9.4505e-05-0.0015684i,0.00016924-0.00058285i,-2.9105e-05+0.0012312i,-0.00088086+0.0022543i,-0.0010696+0.001946i,-0.0012237+0.0014009i,-0.0015637+0.0002225i,-0.0011585-0.0001636i,-0.0014294+0.00063521i,-0.001977+0.00053302i,-0.0015778+0.00024834i,-0.00048885-3.9442e-05i,-0.00040337-0.00068964i,-0.00087604-0.00085872i,6.9814e-05-0.00078649i,0.0006248-0.00025072i
0.0012211-0.0019282i,0.00062278-0.0018973i,0.0010476-0.00093175i,0.00037799+0.00016256i,-0.001781+0.00080075i,-0.0024392+0.0011216i,-0.0016051+0.0010603i,-0.00010904+0.00021533i,0.00011617+0.00014958i,0.00027428+0.0017004i,0.00047477+0.0025292i,7.5606e-05+0.0019035i,4.87e-05+0.0012986i,0.00011881+0.0016812i,-0.00024439+0.0019691i,-0.00071269+0.0012284i,-0.00043413+0.00040946i,8.8982e-05+0.00033301i,0.00040419+0.00089298i,-0.00012798+0.0011225i,-0.00021101+0.0011248i,0.00029483+0.0010152i,0.00032647+0.00093012i
-0.00064836-6.8424e-05i,-0.00065211+0.0017253i,-0.00082254+0.0026373i,-0.00010494+0.0013802i,0.00063465+0.00084918i,0.0007501+0.00077843i,0.00028402-0.00026665i,-0.0002709-0.00073123i,-4.7094e-05+0.00038746i,0.0015842+0.0012954i,0.0031222+0.00015803i,0.0029912-0.0015288i,0.0018986-0.0013554i,0.0015178+3.2992e-05i,0.00099483+0.00048926i,0.00021354-8.371e-05i,0.00019392-0.00021408i,0.0006439-0.00022119i,0.00052234-0.00052367i,-0.00011299+0.00010875i,-8.0705e-05+0.00043868i,0.00011393-0.00029997i,-0.00011401-0.00020141i
0.0016543-0.001055i,0.001923-0.0018244i,0.0023657-0.0012663i,0.0021396-0.0016913i,0.0014371-0.0018294i,-0.00099017+0.00035733i,-0.0022322+0.0013234i,-0.00092235+0.0015049i,0.00058292+0.0014513i,0.0023071-0.00045223i,0.0028171-0.0019584i,0.0018313-0.0020298i,0.00070137-0.0010699i,0.00040017-0.00061394i,0.00056086-0.00075201i,0.0012327-0.00085975i,0.0016911-0.0017943i,0.0010162-0.002771i,0.00027927-0.0021039i,0.00084212-0.00050227i,0.0014216-0.00042063i,0.0014214-0.00099155i,0.0010407-0.00051738i
-0.00024701-0.0021359i,-0.00059766-0.0021459i,-1.2677e-05-0.0018142i,-0.00083828-0.0010432i,-0.0019899-0.00018495i,-0.0009925+0.00075399i,0.0013219+0.00093494i,0.0020754+0.00086175i,0.00096317+0.00042429i,-0.00028636-0.00040624i,-0.0011014-0.0015606i,-0.0016678-0.0020425i,-0.0017584-0.0013058i,-0.0014964-0.00053122i,-0.00045748+0.00010965i,0.0002298+0.00016718i,-0.00080682-0.00039297i,-0.00080631-0.00089819i,8.4507e-05-0.0014338i,-0.00015852-0.00065247i,-0.000389-0.00050107i,-0.00034957-0.00062788i,-0.00029061+0.00019318i
0.0016646+0.00046956i,0.0014432-0.00045377i,0.0024691-0.00044096i,0.0015607-0.0012045i,-0.00061246-0.0015589i,-0.0015776-0.0011928i,-0.00041519-0.0012121i,0.0009187-0.0010535i,0.0010456-0.00062761i,0.00060955-0.00042877i,-0.00077801-0.00032367i,-0.0018388+0.00012057i,-0.001745+0.00048127i,-0.0011431+0.0011974i,-0.0012667+0.0011371i,-0.0014283+9.7771e-05i,-0.001937+0.00012163i,-0.0024259+0.00071362i,-0.0022846+6.8115e-05i,-0.0014949-0.00055198i,-2.915e-05-0.00048021i,0.00038002+0.00011144i,-0.00071293-3.3669e-05i
0.0010096-0.0023999i,0.0018973-0.0024421i,0.0021136-0.0018793i,0.00049914-0.0010631i,-0.0021772-0.0012883i,-0.0032096-0.00045482i,-0.0012895+0.00049115i,0.00071173+0.0005939i,0.0013705+7.4767e-05i,0.00092884+0.00022051i,0.0006248+0.00098172i,0.00099563+0.00055249i,0.00074117+0.00063241i,0.00053769+0.0011358i,-6.9996e-05+0.00073255i,-0.00051058+0.00028229i,-0.00023325+0.00059151i,0.00012822+0.0010105i,0.00025455+0.0014569i,-1.9238e-05+0.0016487i,-0.00068085+0.00069404i,-0.0011968-4.5792e-05i,-0.00054502-0.00036338i
0.00063598-0.0013533i,-0.00059986-0.0011249i,-0.00099467-0.0010521i,-0.00060213-0.00049148i,-0.00036224-0.000103i,-0.00049602-0.00013473i,0.0004486+0.00025382i,0.0013721+0.00065332i,0.0013653+0.000898i,0.0012509+0.002421i,0.001492+0.0032104i,0.0015955+0.0024314i,0.0013874+0.0015936i,0.0016175+0.00065768i,0.0016021+0.00081489i,0.00071651+0.0012292i,8.2501e-05+0.0012554i,-5.8061e-05+0.0011998i,-0.00038534+0.001573i,-0.00019055+0.0016958i,0.00034139+0.001031i,0.00016745+9.4135e-05i,0.00045335-7.0704e-06i
-0.00079181+0.00025904i,-0.00059651+0.00046764i,-0.00082954+0.0001241i,-0.00072165-3.3487e-05i,-0.00015651+4.9239e-05i,-0.00059137-0.00024753i,-8.4936e-05-0.00050204i,-0.00050337-0.00092421i,-0.0017979-0.0011017i,-3.2169e-05-7.4479e-05i,0.0025212-0.00023862i,0.0018561-0.0013733i,0.00039094-0.0014519i,-3.7517e-05-0.00077677i,-0.00024887-0.00079723i,-0.00020364-0.0012311i,-6.5952e-05-0.00090693i,0.00034117-0.00066827i,0.0005124-0.0013435i,0.00086795-0.0014998i,0.0011219-0.0010343i,0.00073209-0.00032124i,-0.00024713+0.00018452i
-0.0014308+0.00064909i,0.00019059+0.001606i,0.0021663+0.0011658i,0.0022894+0.0013123i,0.00092462+0.00032522i,-0.00020154-0.0010773i,-0.00045384-0.0018579i,-0.00048988-0.001432i,-0.00028894-0.00031867i,0.00090859-0.00047523i,0.0023131-0.0018692i,0.00094455-0.0024259i,-0.00047481-0.0014556i,-0.00046165-0.0011106i,-0.0005555-0.0010037i,-0.00062653-0.0010345i,-0.00043906-0.0012338i,-0.00030514-0.0014674i,-0.0004452-0.0018611i,0.00022819-0.0018845i,0.0011423-0.00091181i,0.00047476-0.00047747i,-0.00042271-0.0002259i
-0.00093229+0.0013741i,-0.0002075+0.0017002i,0.0011146+0.0023251i,0.0012209+0.0024147i,-0.00054206+0.0017437i,-0.00036211+0.0010677i,0.0010624+0.00073962i,0.0014401-1.9835e-05i,0.00074856+0.00053172i,0.00021539+0.00095899i,0.0002039+0.00019437i,-0.0009258-0.00065109i,-0.0022579-0.00068198i,-0.0022609+0.00029341i,-0.0018447+0.00060664i,-0.0013506-5.3163e-05i,-0.00089787-0.00089161i,-0.00089719-0.0015252i,-0.0011939-0.0018025i,-0.0015064-0.0017434i,-0.0012554-0.0013592i,-7.6966e-05-0.0012167i,0.00047884-0.00095757i
0.00081869-0.00025388i,0.00054939-0.0006174i,-0.00024007-0.0016349i,-0.00027762-0.0009471i,-0.00021066+0.00085396i,-0.00085157+0.0016562i,-0.00066715+0.00088717i,0.00021745+0.00048352i,0.00025703+0.0010514i,-0.0014358+0.0011982i,-0.0027227+0.0004932i,-0.0019864+4.2138e-05i,-0.00068195+0.00069643i,-0.00064953+0.0009325i,-0.0011125+0.00043671i,-0.00077284+0.00011584i,-0.0011473+0.00051633i,-0.0023485+0.0013215i,-0.0025984+0.0015286i,-0.002032+0.00054072i,-0.0011634+0.00026596i,-0.00029375+0.00078511i,-0.00012432+0.00033421i
-0.0014659-0.001521i,-0.00030618-0.00036197i,0.00069379+0.00025133i,0.0012807+0.00037605i,0.00099821+0.00072155i,0.00016498+0.0012755i,-0.00027871+0.00062576i,-0.00087505-0.0010401i,-0.00077436-0.001017i,0.00017393+0.0011137i,0.00033285+0.001925i,0.00067449+0.00097777i,0.00096926-0.00010265i,0.00019256-0.00049891i,-0.0010568-0.00029453i,-0.00069451-0.00016403i,0.00036307+0.0001022i,0.00021751+0.0015384i,-9.8749e-05+0.0020138i,-0.00025614+0.0011975i,-5.3352e-05+0.00084488i,0.00036953+0.0003784i,-0.0001415-0.00012814i
0.001049+0.0012398i,0.0019009+0.0016483i,0.0025786+0.00087038i,0.0013901-0.00061984i,-0.00022423-0.0018093i,7.4241e-05-0.001151i,0.00097834-4.2587e-05i,0.00090616+0.00043965i,0.0015176+0.00098466i,0.0039871+0.001361i,0.0051896+0.0015226i,0.0030466+0.0017627i,0.0006516+0.00081893i,0.000363+0.00016156i,0.00035142-3.5692e-05i,0.00032554-0.00014645i,0.00044685+0.00031722i,3.7087e-05+0.00044636i,0.00031817+0.00035396i,0.0017071+2.1641e-05i,0.0014962-0.00028281i,0.00051838-0.00048926i,0.00037453-0.00061274i
5.7343e-05+1.168e-05i,0.00077333-0.00021521i,0.0011707-0.0007728i,0.0013502-0.0010447i,0.0002604-0.0011332i,-0.00085694-0.00045361i,1.3117e-05+0.00013543i,0.00076361+0.00076922i,0.00061005+0.001617i,0.0017815+0.00050316i,0.0027203-0.0011905i,0.0020843-0.0014905i,0.0011312-0.00089766i,0.00039063-0.00070327i,6.1614e-06-5.3194e-05i,0.00013717+0.00040123i,0.00098507-3.9533e-05i,0.0016182-0.00090637i,0.0015662-0.001777i,0.0015046-0.0019439i,0.0012843-0.001612i,0.0012695-0.0014133i,0.0014986-0.00084997i
0.00085941+0.00070784i,0.001787+0.0013429i,0.00073464+0.00089254i,-0.00036762+6.5484e-05i,-0.00051954-9.3895e-06i,0.00023997-0.00039672i,0.0010651-0.0010506i,0.00026635-0.0012958i,-0.00049958-0.0011706i,0.00027404-0.0011176i,0.00064224-0.0021027i,-0.00049197-0.0022539i,-0.0014553-0.00056798i,-0.0008654+0.00071368i,0.00045972-6.0735e-05i,0.00023573-0.0013067i,-0.00066133-0.0018743i,-0.0011398-0.0027313i,-0.0012408-0.0028558i,-0.0011995-0.0026127i,-0.00034794-0.0019326i,0.00073236-0.00046216i,0.00047705-9.9757e-06i
-0.0013895+0.00040125i,-0.0014453+0.00052573i,-0.00044288+0.00013356i,0.0015832-1.3703e-05i,0.0014227-0.00045176i,0.0003941-0.0012494i,-0.00023503-0.0012681i,-0.00027359-0.0019331i,-0.00032973-0.0013078i,-0.00099922-0.00017649i,-0.0012487-0.00059245i,-0.00070983-0.00072217i,2.1822e-05-0.00052044i,0.0001269-0.00068817i,-0.00073253-0.0012021i,-0.0011813-0.0015334i,-0.0010324-0.00077843i,-0.0013005-0.00039512i,-0.0022344-0.0015187i,-0.0026251-0.0018692i,-0.0015863-0.0011148i,-0.0011615-0.0014621i,-0.0012106-0.0019547i
-0.0014364+0.0012901i,-0.00054093+0.0018018i,0.00012118+0.0022839i,0.0011058+0.0020646i,0.00056394+0.0010178i,-0.0006999+0.00019076i,-0.00071002-0.00025824i,-0.00011133-2.9284e-05i,0.00027928+0.0022083i,-0.00011129+0.0041286i,-0.00091847+0.0029595i,-0.00095039+0.0010286i,-0.0013178+0.00066736i,-0.002277+0.00025755i,-0.0016375-5.5669e-06i,-0.00058663-0.00058415i,-0.0010684-0.00031086i,-0.0016037+0.00080893i,-0.0003345+0.00098569i,7.0645e-05+0.00089315i,-0.00064418+0.00077855i,-0.00038923-0.00035885i,-4.8864e-05-0.0010292i
-0.0010195-0.0004424i,-0.00040624-0.00027078i,0.00067255-2.3292e-05i,0.00087398-0.00077366i,-0.00027272-0.0011892i,-0.0014671-0.000102i,-0.0021206+0.00083291i,-0.002791+2.7311e-05i,-0.0015357+0.00058488i,0.00080076+0.0015197i,0.0014778+0.0016538i,0.00078185+0.0011843i,0.00011244+0.00086003i,-0.00010049+0.0019142i,-0.00058137+0.0026913i,-0.0010277+0.0024824i,-0.001151+0.0021999i,-0.00049705+0.0014156i,-8.9051e-05+0.00013705i,0.00023806-0.00044803i,0.0010949+0.0009113i,0.0012455+0.0018135i,0.00020004+0.0011409i
0.00059537-0.00024743i,0.0013348+0.0001756i,0.0015243-6.3827e-05i,0.0007449-0.0013372i,9.0467e-05-0.0024642i,4.6631e-05-0.0012627i,0.00016999+0.00013072i,0.00016055+0.00016007i,0.0001535+0.00042689i,0.0018136+0.00080619i,0.0033113+0.00042016i,0.0020808+0.00019503i,0.00038744+0.00017253i,2.268e-06+0.0010072i,0.00038099+0.00175i,0.00098423+0.0017348i,0.0010587+0.00047075i,0.0013501-0.0011707i,0.0012013-0.0019892i,0.00098703-0.0017951i,0.00020188-0.00039796i,-0.000686-0.00045032i,-0.00061313-0.00059879i
-3.1432e-05-0.00027173i,-3.1781e-05-0.00040617i,0.00038711+0.00031993i,0.0011662-2.6946e-05i,0.0019175-0.0006594i,0.0011361+0.0004181i,0.00026413+0.0014871i,0.0011429+0.0021736i,0.001947+0.0025119i,0.0026266+0.0012336i,0.0029201-0.00085725i,0.0016099-0.0019553i,0.0010894-0.00091235i,0.0019651+0.00033317i,0.0021925-5.9754e-05i,0.0021233-0.00087529i,0.0014673-0.0011711i,0.00077938-0.0018471i,0.00063905-0.0019219i,7.267e-05-0.0016861i,2.8306e-05-0.0018925i,0.00072935-0.0019277i,0.00040321-0.0016226i
-0.0002752-0.0014645i,-0.00055755-0.00036922i,0.00040354-0.00079121i,-0.00063588-0.0023195i,-0.002488-0.002808i,-0.0017317-0.0010942i,0.00029188-0.00047465i,0.0012618-0.00019795i,0.0010522+0.0014224i,0.0001624+0.0011384i,-0.00079739-0.00085731i,-0.0013798-0.0011892i,-0.00060182-0.00033942i,0.0010922-0.00023286i,0.0013446-0.001452i,0.00048872-0.0016688i,-0.00046626-0.00066597i,-0.0012112-0.00031723i,-0.0016573-0.00044862i,-0.0011005-0.000416i,-2.4395e-05-0.00050674i,0.00091754-0.00056966i,0.0017703+7.0409e-05i
2.4168e-05+0.0017134i,0.0015719+0.0023414i,0.0030662+0.0027733i,0.0031609+0.0012646i,0.0021067-0.00066215i,0.00067995-0.0020801i,-0.00056346-0.0032927i,-0.00064541-0.0036567i,-0.00011964-0.0020225i,-4.9562e-05-0.00019731i,-0.00036454-0.00010587i,-0.0010915-0.00042824i,-0.0020438-0.00073869i,-0.0023701-0.00046942i,-0.0027304-0.00019799i,-0.0033243+2.0454e-05i,-0.0031836-0.00076151i,-0.002579-0.0012573i,-0.0019712-0.00026466i,-0.0007878+0.00088984i,-0.00054597+0.00052086i,-0.00040298-0.00073164i,0.00049421-0.0011464i
-0.00060968+0.00091517i,0.00039299+0.00032531i,0.0019963+7.9705e-05i,0.0021566-0.0011083i,0.00081166-0.0015754i,-0.00036078-0.0010958i,-0.0001116-0.0012021i,2.7917e-05-0.0018699i,0.00073942-0.0015825i,0.00077511+0.00012411i,0.00019321+0.0011106i,-0.00039406+0.0010224i,-0.0017277-0.00015277i,-0.0028952-0.00094481i,-0.0033371-1.7757e-05i,-0.0032123+0.00054232i,-0.0015766+9.9786e-05i,4.1729e-05-8.2065e-05i,0.00077903+0.00020116i,0.00096642-0.00042895i,9.6513e-06-0.0007846i,-0.00073971-0.00064006i,-0.00076806-0.0011617i
0.00019704-0.00068335i,-8.4786e-05-0.00020221i,0.00064442+0.00075656i,0.0022243+0.001679i,0.0014583+0.0017054i,9.014e-05+0.0016853i,-0.0010273+0.0020296i,-0.002038+0.0022728i,-0.0023513+0.0026208i,-0.00080735+0.0024189i,0.0014952+0.0020263i,0.0015024+0.0016614i,0.00059214+0.0016447i,0.00037085+0.0023895i,0.00039269+0.0030649i,0.00015091+0.0029645i,0.00027324+0.0023962i,1.644e-05+0.00088169i,-0.00029714-0.00063937i,-6.8767e-05-0.00078138i,0.00024695-0.00013905i,0.00019038+0.00048858i,6.3283e-05+0.0006247i
5.6581e-05-1.1441e-05i,0.00021025+0.00099259i,0.00088218+0.0016935i,-0.00039184+1.2666e-05i,-0.00049767-0.0014364i,-0.00036951-0.00031608i,-0.0018091+0.00028273i,-0.0026302+0.00087329i,-0.003086+0.0021453i,-0.0013501+0.0011614i,0.00087024-0.0002274i,0.00038007-0.00060194i,-0.00044631+0.0006578i,0.00039634+0.0018181i,0.0012242+0.0015738i,0.00042844+0.00085141i,-0.00073691-0.00023417i,-0.0010979-0.00095169i,-0.0011152-0.00095984i,-0.00099983-0.00080934i,-0.00011503-0.00083049i,0.00026988-0.00098408i,0.00012965-0.00050213i
0.00066117-0.00072349i,-6.4108e-06-0.00031143i,0.00081119-0.0011338i,0.0020581-0.0015993i,0.0017709-0.0016564i,0.0013562-0.0014701i,0.0023195-0.0013988i,0.0041126-0.00095375i,0.0046443+0.0012034i,0.0036548+0.0025009i,0.0025135+0.00086192i,0.0010166-0.0012983i,4.8819e-05-0.0019776i,0.00055791-0.0024259i,0.0011323-0.0024243i,-0.00023772-0.0015665i,-0.0010932-0.001494i,-0.00076222-0.0015253i,-0.00073004-0.0012306i,-0.00068171-0.0011561i,-0.00011823-0.00096352i,0.00064261-0.00048189i,0.00088696+2.5281e-05i
-0.001181-0.0009174i,0.00031262+0.0004356i,0.00095846+0.0013869i,0.00034082+0.001881i,-0.00084124+0.0013467i,-0.0013538+0.0015173i,0.0011126+0.001517i,0.0039978+0.00096526i,0.0050025+0.0011506i,0.0044929+0.00085616i,0.0020099-6.0074e-05i,-8.2421e-05-0.00045258i,5.8647e-06-0.001688i,0.00020156-0.0031553i,0.00041857-0.0033711i,0.00027523-0.003156i,0.00022149-0.0020854i,-0.00013688-0.00041276i,0.00026586+7.7889e-05i,0.00095153+0.00023909i,6.6543e-05-1.1941e-05i,-0.00027136-0.00073914i,-0.00026467-0.00077932i
-0.00012212-0.0017617i,3.6773e-05-0.00048063i,-0.00050368+0.00033349i,-0.0011688+0.00015701i,-0.0017608-0.00020145i,-0.0028158-0.00043731i,-0.0027639-0.0011191i,-0.0014969-0.0028943i,-0.0004815-0.0030803i,0.00026097-0.0014893i,0.00091363-0.00055218i,-8.3281e-05+0.00022062i,-0.0021684+0.00043311i,-0.0031952+0.0005738i,-0.0030823+0.0011851i,-0.0025906+0.0017904i,-0.0018644+0.0022319i,-0.0014052+0.0017343i,-0.0012322+0.00026806i,-0.00051088-0.0011127i,-5.5889e-05-0.00095044i,-0.00020975-0.00062114i,-1.4199e-05-0.0011562i
8.0388e-06+0.0019554i,0.0010494+0.0015759i,0.002004+0.0013184i,0.0018866-0.00051872i,0.00071519-0.0031307i,-3.9789e-06-0.0026218i,-0.00057345-0.0021025i,-0.0022816-0.0037935i,-0.0037398-0.0042978i,-0.0034533-0.0032031i,-0.0020446-0.0014232i,-0.001655+3.9773e-05i,-0.0023485+0.00051964i,-0.0030125+0.00054869i,-0.0029355+0.00098446i,-0.0026191+0.0012444i,-0.0026391+0.00032783i,-0.0025276-0.00095368i,-0.0013258-0.0012083i,-2.6003e-05-0.00095316i,0.00022232-0.00041012i,7.0465e-05+0.00053i,-3.1327e-05+0.00082985i
0.00032856-0.0025206i,-0.00069219-0.00060666i,-0.00083746+0.00085256i,0.00031672+0.0011309i,0.00043344+0.0019388i,0.00093522+0.0031523i,0.0018765+0.0034529i,0.00069793+0.0040333i,-0.00077504+0.0040763i,-0.00091078+0.0031215i,2.711e-05+0.0017457i,0.0006434+0.0004833i,0.00078668+0.0012484i,0.0014389+0.0016207i,0.0019737+0.00088044i,0.001402+0.00076301i,0.0009191-7.4448e-05i,0.00079381-0.00042526i,0.00042196-1.6562e-05i,0.00038163-0.00071527i,0.000108-0.00086096i,-0.00046228-0.00011011i,-0.00075335+0.00050557i
-0.0024106+0.00097362i,-0.00090332+0.0016067i,-0.00032956+0.0027194i,-8.3076e-05+0.001958i,0.00035868+0.0014095i,0.00038531+0.0012645i,0.00032967+0.0011281i,-0.00078799+0.0035929i,-0.002175+0.00713i,-0.00087866+0.0078262i,0.0011614+0.0039238i,0.0011419+0.00033917i,0.00093689+0.000211i,0.0020217+0.0014506i,0.0024394+0.00086677i,0.0025536-0.00048592i,0.0015437+0.00012392i,0.00020125+0.00086342i,0.00068115+0.00044134i,0.00070044+4.6647e-05i,0.00015227+0.0001697i,-0.00034212-0.00043067i,-0.00058943-0.0012334i
0.0010992+0.0016732i,0.0023679+0.0021209i,0.0033462+0.00076943i,0.0031561-0.0012797i,0.0019083-0.0031331i,0.00078912-0.0033379i,0.0006259-0.0032197i,0.0015497-0.0025806i,0.0029378+0.0001465i,0.0034329+0.0022443i,0.0023424+0.001148i,-4.8205e-05-0.0012885i,-0.0011797-0.002188i,-0.0013668-0.0020451i,-0.0011568-0.0020832i,-0.0017434-0.0021796i,-0.0028305-0.0013481i,-0.0021243-0.00068714i,-0.00051443-0.00039468i,-0.0004129-0.00042272i,-3.1697e-05-0.00087825i,0.00074013-0.00074224i,0.00063091-0.00026153i
3.102e-05+0.00070475i,5.7139e-06+0.00091158i,0.00063138-6.2912e-05i,0.00075931-0.0010024i,0.00056457-0.0009452i,0.00048105-0.0010553i,0.001755-0.0020624i,0.005093-0.0029406i,0.0074511-0.0035839i,0.0071337-0.0038246i,0.0039962-0.0034908i,0.000294-0.0022873i,-0.0012203-0.0017282i,-0.0019378-0.0024712i,-0.0031073-0.0027539i,-0.0030963-0.002008i,-0.002251-0.001202i,-0.0011039-0.00133i,-0.00019007-0.001105i,-0.00048159-0.0011938i,-0.00074646-0.0016165i,0.00038402-0.00048076i,0.0015322+0.00091895i
-0.00056381-0.0022974i,-0.00046541-0.0014831i,-0.00073852-0.00035088i,-0.0012402+0.00061012i,-0.0026752+0.0010318i,-0.003841+0.0024208i,-0.0033538+0.0018572i,-0.003321-0.00088632i,-0.0028552-0.0032231i,-0.00098565-0.0030951i,-0.00053647-0.0017554i,-0.001156+0.00011142i,-0.0008794+0.0020866i,-0.0011907+0.0024444i,-0.0018083+0.0022424i,-0.001706+0.0025951i,-0.00046308+0.001989i,0.0002465+0.0011482i,-0.00030604+0.00044572i,-0.00035353-0.00012997i,-0.00019669-0.00068791i,0.00014573-0.0014656i,-0.00038405-0.0013889i
0.013399+0.0073488i,0.016798+0.0037091i,0.022287-0.0033969i,0.015859-0.0089146i,0.0057189-0.014319i,-0.0050673-0.014343i,-0.0098534-0.0062058i,-0.0087579-0.0015047i,-0.0069543-0.0017766i,-0.0040053-0.0033101i,-0.0024591-0.0022404i,-0.0021268-0.00018313i,-0.0025336+0.0015789i,-0.0022848+0.0049975i,0.0007657+0.0063073i,0.0024621+0.0044241i,0.0011757+0.002494i,-0.00053396+0.001109i,-0.0020857+0.00077549i,-0.0019953+0.0012454i,-0.0011466+0.00076304i,-0.0011207-0.00012814i,-0.00089727-0.00049985i
0.0014149-0.0018487i,0.0013765-0.0018582i,0.0014677-0.0025623i,0.0011432-0.0032368i,0.00046215-0.003619i,0.0017498-0.0016705i,0.0036816+0.0016119i,0.0029527+0.0042795i,-0.00063588+0.0051298i,-0.0026084+0.0042603i,-0.00067709+0.0024633i,0.0010679+0.0012242i,0.00070103+5.7314e-05i,0.00073347-0.00014371i,0.0014853+0.00069793i,0.0013188-4.8386e-05i,0.00025849-0.0015355i,-0.00066417-0.0017367i,-0.00057636-0.00038653i,0.00036781+0.00018564i,0.00050953+0.00026327i,0.00031173+0.00035475i,-0.00027557+0.00080352i
0.00042776+0.0010164i,0.00077218+0.001204i,0.0022769+0.0023816i,0.0034332+0.0032457i,0.0026152+0.0023149i,0.001395+0.0015242i,0.0029463+0.003035i,0.0055023+0.006571i,0.0055141+0.0097874i,0.0042385+0.0092927i,0.0026954+0.0047318i,0.0014243+0.00016367i,0.0011747-0.0014375i,0.0015215-0.0015399i,0.0019586-0.0027985i,0.00092089-0.0038059i,-5.1313e-05-0.0030393i,0.00023041-0.001387i,0.00052469+0.00011374i,0.00041404-8.3157e-06i,0.00026798-0.00040017i,-9.4615e-05+0.00079667i,-0.00047325+0.0013249i
