0.0025111+0.00071462i,0.0030935+0.00017743i,0.0032211+0.00077608i,0.0021105+0.00065892i,-2.4442e-05+0.00077486i,-0.0022604+0.0022653i,-0.001019+0.0027038i,0.0012537+0.0019106i,0.0014385+0.00075678i,0.00033124-0.0002972i,-0.00065418-0.00058511i,-0.0010021-0.00069867i,-0.00068694-0.00065749i,-0.0006301-0.00071553i,-0.0002816-0.00069812i,0.00022086-0.00012861i,0.0010365-0.00024845i,0.0012616-0.0011597i,0.00058434-0.0012249i,0.00036884-0.00043316i,0.00043764-5.5756e-05i,2.69e-05-0.00054735i,-0.00067745-0.00014789i
-0.00064644+0.0031049i,-0.001384+0.0031468i,-1.5062e-05+0.0035933i,0.0026109+0.0040877i,0.002718+0.0032183i,0.0010719+0.0024485i,0.00010599+0.00072582i,-9.9841e-06-0.00062716i,-0.00034965-0.00032305i,-0.00040047+0.00044385i,-0.00039251+0.00023421i,-8.8152e-05+0.00022047i,0.00042863+0.00073445i,0.0003627+0.00065452i,0.00013941+0.00042864i,0.00044031-7.5272e-05i,0.00037156-0.00031609i,-2.3659e-05-5.4416e-05i,0.00030836+0.00026984i,0.00039249+0.00042369i,0.0004346+0.00051977i,0.00035377-4.3279e-06i,0.00046-0.0004881i
-0.00085998+0.00093865i,-7.5382e-05+0.0005566i,0.0010637+0.0017976i,0.002207+0.0023331i,0.0020033+0.0019832i,0.0010342+0.0014071i,0.00056382+0.0017286i,-0.00062519+0.0021693i,-0.0015839+0.0014652i,-0.00072162+0.0014085i,-0.00029287+0.00089031i,-0.00028561-0.00010393i,0.0006855+0.00038703i,0.00085203+0.00033254i,-3.6993e-05-8.5131e-05i,-0.00060863+0.00051286i,-0.00089031+0.00014564i,-0.000663-9.8749e-05i,-0.00041647-0.00020024i,-8.3582e-05-0.00021114i,0.00052436+6.5531e-05i,0.00056843+0.00054903i,0.00053057+0.00058417i
0.002293+0.0003976i,0.0020721+0.00030292i,0.0020145+6.487e-05i,0.00097569+0.00057392i,-6.9038e-05+0.00077507i,-0.00031224+0.00061275i,0.00031909+0.00028394i,0.00042147+8.1643e-05i,0.00026806-0.00039068i,0.00061694-0.0011275i,-0.00010674-0.00070932i,-0.0011111+0.00039726i,-0.0011787+0.00081108i,-0.0012261+0.00063226i,-0.00030775+0.00042601i,0.00021474+0.0001409i,-0.00016569+0.00016453i,-9.5169e-05-0.00010852i,-0.00016805-9.309e-05i,-0.00012399+0.00070492i,8.3483e-05+0.0008234i,0.0001591-0.00031763i,-0.0004763-0.0004035i
0.0012401-0.0012121i,0.0011337-0.0010043i,0.0011989+0.00060297i,0.0013637+0.0015838i,0.00084984+0.0016844i,0.00055152+0.0015375i,0.00033408+0.0010471i,-0.00068746+0.00064488i,-0.001036+0.00021454i,-0.0013743-7.8953e-05i,-0.0017858+0.00019988i,-0.0017011+0.0011998i,-0.00094998+0.0014918i,-0.00035113+0.0013182i,-1.4701e-06+0.00060704i,0.00041556-0.00038374i,0.00079403-0.00069641i,0.0011348-0.00087322i,0.00094765-0.00066355i,0.00030928-0.00079932i,0.00010997-0.0001482i,-0.00021815+0.001131i,-1.367e-05+0.00079988i
0.00016766+0.0020393i,-0.00039515+0.00030787i,-0.00031739-0.00031239i,-0.00013366+0.00044687i,0.00021676+0.00099214i,8.5735e-05+0.00017361i,-5.8566e-05-0.00033615i,-6.4287e-06-1.4462e-05i,-0.00045444+0.00016908i,-0.00064416-0.0004396i,-0.00024613-0.00074515i,1.5857e-05+0.00053196i,-0.00040216+0.0010733i,-0.00065399+0.00022454i,-0.0006259+0.000176i,-0.00057552-1.1336e-05i,-0.00014376-2.0958e-05i,-0.00010567-0.00026979i,0.00017999-0.00076953i,0.00038361+0.00016668i,0.00020085+0.00053105i,3.1346e-05+0.00022609i,0.00014531+0.00023241i
0.0015049+0.0027865i,0.0012848+0.0020142i,0.0021076+0.0015879i,0.0021266+0.0014577i,0.0021488+0.0013908i,0.0017959+0.0013381i,0.001408+0.00072699i,0.00080063+0.00059497i,-6.0656e-05+0.00028132i,-0.00052079-0.00033216i,-0.00078879-0.00028111i,-0.001393+0.00052962i,-0.0011731+0.00090216i,4.3438e-05+0.00050043i,1.8637e-06+0.00059173i,-0.00058889+0.00031597i,-0.00029181-0.00014693i,-0.00012878-0.00075092i,-0.0006995-0.00078552i,-0.0008392-0.00019384i,-0.00032772+0.00023909i,-0.00058686+0.00027888i,-0.00067375+2.5298e-05i
-0.00010064+0.00086992i,-0.00049844+0.00093304i,-0.00016464+0.00089398i,0.00057484+0.0012513i,0.0013518+0.0014375i,0.0011785+0.0012922i,4.6549e-05+0.00038595i,-3.4214e-05-3.5444e-05i,0.00027104+0.00054413i,-0.00020295+0.00035094i,-0.00056659-7.1804e-05i,-0.00022056-0.00016614i,0.0001228-0.00026747i,0.00051961-0.00071779i,0.00033774-0.00095252i,-6.7424e-05-0.00082681i,9.8036e-06-0.0010243i,0.00077345-0.00081205i,0.00084922+0.0002922i,-0.00034213+9.3789e-05i,-0.00084025-0.00052883i,-0.00059108-0.00079293i,-3.2353e-05-0.00086114i
-0.00077223+0.00047186i,-0.00036658+0.00011033i,-0.00028368+0.0021943i,0.00015947+0.0035129i,0.00078109+0.003003i,0.0014706+0.0025321i,0.0010521+0.0015618i,0.00043028+9.8644e-05i,-0.00012168-0.00047929i,-0.00072719-0.00039295i,-0.00022529+0.00013744i,0.00043443+0.00093256i,0.00080797+0.00077663i,0.00042826-0.00010595i,0.00022202-0.00014446i,0.00056594-4.6169e-05i,0.0010391+0.00035127i,0.0010191+0.00067684i,0.00074285+0.00042302i,0.00059016+0.00058093i,0.00046837+0.00027578i,0.00011269-0.00012734i,-0.00043237-0.00019686i
0.0019284-0.00014576i,0.0019791-0.00014182i,0.0019753+0.00087975i,0.0014584+0.0012979i,0.0013259+0.0019507i,0.00010738+0.001937i,-0.0012301+0.0011281i,-0.00078503+0.00032421i,-0.00087968-0.00059274i,-0.0010533-0.00068673i,-0.0011383-0.00038953i,-0.00080703+0.00010644i,-0.00015878+0.00032968i,1.3544e-05-7.7148e-05i,0.00044141-0.00072672i,0.00066615-0.00020661i,0.00019419+0.00046648i,-0.00047953+0.00071146i,-0.00049022+0.00096651i,0.00037753+0.00070143i,-0.00039311+0.00022684i,-0.0016315-2.2592e-05i,-0.0011877-0.00027621i
-0.00048981+0.00093375i,-9.9762e-05+0.0012353i,0.0013448+0.0019657i,0.0031571+0.0025387i,0.0027764+0.0028887i,0.0015592+0.0020212i,0.0010455+0.0012914i,0.00071502+0.00049377i,0.00068224-0.0010121i,-0.00011895-0.0011321i,-0.00070233-0.00061138i,-0.00013043+2.802e-05i,0.0005678+0.00022405i,0.00011661+0.00012426i,-0.0002382-1.2536e-05i,-1.1015e-05+0.00040125i,-0.00032743+0.00061847i,-0.0012091+6.9739e-05i,-0.00098316-0.00031099i,-0.00026986-4.73e-05i,-0.00019985+0.00015001i,-0.00077962+0.00013821i,-0.00064536-0.00012459i
0.00080859-0.0022536i,0.00060388-0.00050889i,0.0012951+0.00055838i,0.0020969+0.0019007i,0.00106+0.0027505i,0.00044367+0.0016451i,0.00066402+0.00038053i,0.00091104+0.0003028i,0.00064801+0.00023548i,-0.00019474+0.0001303i,-0.0015347+0.00021367i,-0.0020956-4.9617e-05i,-0.0011909+0.0011071i,-0.00023447+0.0012387i,0.00017497+0.00062702i,0.000242+0.00042205i,-0.00017876+0.00021234i,-0.00016181+0.00036227i,-4.5084e-05-0.00023029i,-5.8023e-05-0.00034256i,0.00013756+5.1256e-05i,0.0004805-5.3322e-05i,0.0004768-0.0002974i
0.00069567+0.00010808i,-0.00035292+0.00029716i,0.00044489-0.00018115i,0.0021219-0.00036976i,0.0012614+0.00037352i,-0.0001456+0.001051i,-0.0002229+0.001416i,0.00019643+0.0015976i,0.00044734+0.0013407i,-2.1742e-05+0.0010424i,0.00016072+0.0010459i,0.00041473+0.00080035i,1.821e-05+0.00078585i,0.00015087+0.0012122i,-9.3426e-05+0.00077459i,-0.00042986-7.9539e-05i,-0.00021344-0.00031261i,-8.051e-05-0.00055373i,0.00048432-0.00024461i,0.000814+0.00032363i,0.00076996+0.00030888i,0.00071139+0.00020301i,0.00057727-0.0001637i
0.00099638-0.00016091i,0.00062591+5.0561e-05i,0.001102+0.00036299i,0.0021825+0.00098158i,0.0020409+0.0014757i,0.00071006+0.0026998i,0.00041337+0.0025211i,0.00067291+0.0013735i,0.00062804+0.0010906i,0.00018861+0.00084737i,-0.00087573+0.00076782i,-0.0011476+0.00033881i,-0.00059538-0.00014934i,-0.00050003-0.00053672i,-0.00059148-7.3601e-05i,0.00031496+0.00047679i,0.00060589+0.00033449i,0.00051818+0.0002199i,0.0006833-0.00010205i,0.0010736-8.57e-05i,0.00084013+3.786e-05i,0.00017647+0.00046033i,-0.00020587+0.00096953i
0.00068179+0.000184i,-0.00064708+0.00052701i,-0.00019186+0.00071209i,0.00059699+0.001369i,0.0011464+0.0020373i,0.00066236+0.0025846i,-9.9841e-05+0.0019792i,4.8164e-05+0.00091622i,-5.6031e-05+0.00034698i,-0.00054383+2.9872e-05i,-0.00075423-2.7481e-05i,-0.00060847-0.00021061i,-0.00061309-0.00023486i,-0.00021934-0.00058942i,0.00057398-0.00046231i,0.0010343+0.00049456i,0.0010234+0.0010828i,0.00045644+0.00076309i,0.00014154+0.00050997i,-0.00040881+0.00098975i,-0.00036944+0.00074293i,-0.00012716+0.00015663i,-5.7413e-05-0.00066651i
0.00084864+0.0026499i,0.0012626+0.0023368i,0.001855+0.0025133i,0.0024986+0.0023727i,0.0026294+0.0017421i,0.0012535+0.0013264i,0.0005541+0.0013524i,0.00072971+0.00082609i,-0.00026575+0.0011837i,-0.00065812+0.0020035i,-6.7782e-05+0.0011209i,4.4729e-06+0.00030453i,-0.00034652-0.00019468i,-0.0003348-0.00032902i,0.00045277+1.5043e-06i,0.00089208-0.00019115i,0.00039468-0.00065365i,0.00020126-0.00038574i,0.00014931-0.0006333i,-0.00031001-0.0012707i,-0.00026511+5.0827e-05i,8.1032e-05+0.0010004i,0.00018949+0.00014807i
0.001366+0.0016736i,0.0016578+0.0023254i,0.0021089+0.0023696i,0.0016632+0.0021959i,0.0010443+0.0013498i,0.00024273+0.00093968i,9.2721e-05+0.00037281i,0.0012263-0.00012041i,0.0007224-8.5029e-05i,-0.00072662-0.00055647i,-0.0013644-0.0010503i,-0.00082977-0.0013815i,0.00019458-0.00071556i,0.00017341+0.0010952i,-0.00010967+0.0011286i,-0.00038414-0.00029894i,-0.00043282-0.00052262i,-2.9243e-07-0.00020163i,-0.00041436-0.00043646i,-0.00015149+0.00030657i,0.00043895+0.00043427i,0.00073654+0.00027075i,0.00055132+0.00050583i
0.0012134+0.0029678i,0.00051451+0.0022855i,0.00090158+0.0026253i,0.0023462+0.0030601i,0.0029323+0.0028875i,0.0027956+0.0020481i,0.0023471+0.00092136i,0.001659+0.00063743i,0.00126+0.00043577i,0.0009722-0.00046452i,0.00030448-0.00054026i,-9.7447e-05+0.00012928i,-0.00025911+0.00090245i,-0.0004526+0.0013412i,-0.00050145+0.00093127i,-0.00026384+0.00013209i,0.00030406+0.00013768i,0.00010388+0.00087383i,-0.00030878-0.00016169i,0.00022442-0.0010271i,0.00047807-0.00014711i,3.7881e-05+0.00089512i,-0.00048013+0.00074714i
0.00017006-0.00039872i,0.00039842+0.00055058i,0.00070587+0.0016996i,0.00086059+0.0019915i,0.00081363+0.0023032i,0.00092321+0.0020157i,0.0012423+0.0015636i,0.0011762+0.00095353i,0.00027452+2.6921e-05i,-0.00057909+0.00017948i,-0.00053807+0.00075068i,-0.00026526+4.4264e-05i,-0.00021917-0.00049484i,-5.0676e-05-0.00011996i,0.00036408-0.00027197i,0.00019133-0.00048168i,-0.00034119-4.4125e-05i,0.0001027+0.00050359i,0.00056195+0.00081612i,0.00080538+0.00022787i,0.00081776-0.00015383i,0.00084289+0.00099352i,0.00066716+0.0010518i
-0.00028052+0.00030644i,-0.001114+0.00057898i,-0.00044885+0.0020054i,0.0013349+0.003065i,0.0017834+0.0033404i,0.00082607+0.0030439i,0.0006177+0.0021703i,0.00077159+0.00093797i,-0.00032545-1.6343e-05i,-0.00057823-5.7007e-05i,-0.00020597+0.00044342i,-0.00049122+4.5181e-05i,-0.00077631+0.00013116i,-0.0010128+0.00047908i,-9.1969e-05+0.0005258i,0.00039407+0.00053404i,-0.00016733+0.000401i,-0.00050615+0.00026387i,-0.00027704+0.00038228i,0.00041804+2.1982e-05i,0.0010058-5.8826e-05i,0.00074602+8.6857e-05i,0.00037576-0.00018651i
0.00066571+0.0010855i,0.0007338+0.0011568i,0.00073782+0.0025886i,0.0010558+0.002545i,0.0018377+0.0023867i,0.0014628+0.0020189i,0.00075896+0.0016765i,0.00042347+0.0009753i,-0.00015463-0.0004797i,-4.517e-05-0.00073612i,0.00027356+0.00021275i,0.00013775+0.0008205i,0.00014978+0.00011939i,-0.00039407-0.00039584i,-0.0011582+3.8167e-05i,-0.0011897+0.00018312i,-0.0010823-0.00050474i,-0.00011196-0.0011164i,0.00033363-0.00067387i,-8.2628e-05+0.0002938i,-0.00027104+3.388e-05i,-0.00059882-0.00033278i,-0.00086862+0.00018217i
-0.0010837+0.00094374i,-0.0013168+0.001328i,-0.0006186+0.0022519i,0.0013183+0.0029281i,0.0016165+0.0018413i,0.00056288+0.00088285i,0.00012366+0.0012924i,0.00041084+0.0011653i,0.00064768+0.00062826i,-2.9988e-05-2.568e-05i,-0.00051047-0.00060326i,-2.8031e-05-0.00044337i,0.00028709-1.1479e-05i,0.00047503-5.8032e-05i,-3.2443e-06+0.00021226i,-0.00024978+0.00023277i,0.00011737-0.00081074i,0.00053173-0.00085172i,0.0002568+0.00057654i,-6.7119e-05+0.00042082i,-0.00041521-0.00063252i,-0.00049947-0.00068027i,1.316e-06-0.00026298i
0.00109-0.00043507i,0.00071204-0.00030382i,0.00027733+0.00033096i,0.00062969+0.0025075i,0.00032018+0.0035383i,-0.00030275+0.0027714i,-0.00018052+0.001554i,-0.00032295+0.0011337i,-0.00085062+0.00019112i,-0.00070722-0.0012504i,-0.00016579-0.00054861i,-8.9313e-05+0.00054285i,-0.00053856+0.00087125i,-0.00067263+0.00061343i,8.3615e-05+0.00058777i,-5.4865e-05+0.0012153i,-0.0010733+0.00097094i,-0.00074974+0.0003814i,0.00027723+0.00023291i,0.00068009+0.00014263i,0.00014859-0.00021317i,0.00013568-0.00055551i,5.0625e-05+0.00014356i
-0.00011665-0.00031129i,0.0003708+0.00044856i,0.00031704+0.0018547i,0.0012571+0.0024664i,0.0021346+0.0019058i,0.0015829+0.00089802i,0.0010031+0.001137i,0.00050052+0.00055173i,-9.9624e-05-9.496e-05i,-0.0011489+0.00031491i,-0.0018793+0.00083627i,-0.0012487+0.00066286i,-0.00017651+0.00015376i,-7.4279e-05+0.00068394i,-0.00051785+0.00055267i,-0.00099035-0.00014703i,-0.00099871-0.00040151i,-0.00041172-0.00062684i,0.00017539-9.6856e-05i,0.00041649+0.00030564i,7.2668e-05+0.00030822i,-0.00034769+0.00074142i,-0.00033253-5.0957e-05i
0.00010003+0.0032414i,0.00023309+0.0030453i,2.5734e-05+0.0032869i,0.00077654+0.0033691i,0.0015457+0.0030953i,0.0011007+0.0022822i,0.00026924+0.00161i,-0.00021872+0.00076263i,-0.00042584+3.9607e-05i,-0.00046799+0.00038383i,-0.00042679+0.00026909i,-0.00017385-0.0002095i,-0.00062583-0.00092128i,-0.00097254-0.0009109i,-0.00066855+0.00032175i,-0.00041553+0.00056655i,-0.00023655-0.00036725i,0.00014376-0.0011409i,0.00091352-0.0011235i,0.00084414-0.00052567i,-0.00027666-0.00017863i,-0.00065159-7.8919e-05i,-0.00014146+0.00012513i
-0.00041143+0.0012036i,-0.00018278+0.0013189i,0.00080826+0.0011829i,0.002435+0.00090745i,0.0028857+0.000929i,0.0014906+0.0014746i,0.00062818+0.0021196i,0.00063499+0.0016278i,0.00071232+0.00037546i,0.00039106-0.00032329i,-0.00033602-0.00039064i,-0.00039731-0.00032688i,4.5065e-05-0.00025264i,0.00040964-0.00061806i,0.00030536-0.00048522i,0.00026664+0.00027447i,-7.3749e-06+0.00032782i,-5.254e-05-0.00026906i,-0.00054745-0.00036105i,-0.00035014+2.2954e-05i,0.00023892-0.00042303i,0.00015195-0.001117i,-7.366e-05-0.00042272i
0.00060912+0.0020192i,-0.00029289+0.0016069i,-1.2153e-05+0.0015109i,0.0011388+0.0014686i,0.0016654+0.0012806i,0.0015507+0.0010735i,0.001543+0.0016459i,0.00071414+0.0004504i,0.00041771-0.00061084i,0.00066889-0.00017762i,0.00069001-0.00038674i,0.00026221-0.00037337i,-2.5093e-05-0.00054755i,0.00040365-0.00096061i,2.626e-05-0.00070586i,-0.00035958-0.00022633i,-0.0004896+0.00021919i,-0.00052899+6.9196e-05i,-8.5767e-06-0.00041186i,0.00028155-0.0002015i,0.00080368-0.00020437i,0.00080267-0.0001885i,-2.6203e-05+0.00073688i
0.001447-0.00077502i,0.00053833-0.00065269i,0.00055543-0.00051818i,0.0015974+0.0007081i,0.0021983+0.0015896i,0.0011557+0.0020707i,-4.4015e-05+0.0016627i,-0.00017388+1.8863e-05i,-0.00034021-0.00054394i,-0.0012065-1.1971e-05i,-0.0020785-0.00011538i,-0.0019214-4.1567e-05i,-0.0012989+0.00084304i,-0.0010416+0.0016274i,-8.3384e-05+0.0013611i,-0.00023429+0.00027449i,-0.0008067-0.00085276i,2.3766e-05-0.00071032i,1.6411e-05+0.00048084i,-0.00043362+0.00086175i,-0.0002734+9.5701e-05i,0.0005745-0.00035681i,0.00057273-0.00035687i
0.001127+0.00070136i,0.00034676+0.00087006i,0.00026781+0.0017685i,0.0010374+0.0022956i,0.0014071+0.0018357i,0.00055347+0.00034979i,0.00056926-0.00021551i,0.00048559+0.00031284i,-0.00026543+0.00088142i,-0.00044486+0.00034901i,7.3868e-06+2.686e-05i,-0.00013378-7.8764e-05i,-0.00033652-0.00054041i,0.00049323-0.00065863i,0.0010665-0.00035915i,0.00089983+0.00018606i,-0.00011982+0.00047487i,-0.00083813+0.0009513i,-0.00066853+0.0017266i,-0.00042555+0.0015691i,-0.00043606+0.00087062i,-0.00043743+0.00059803i,-0.00073039+0.00050494i
0.0024871+0.00055994i,0.0017201+0.0016626i,0.0011071+0.0017732i,0.00057571+0.0011154i,0.00047246+0.00041588i,0.0010578+0.00086228i,0.00044687+0.00077317i,-0.00030353+0.0003053i,-0.0003053+0.00030395i,-0.00051126-0.00026205i,-0.00044944-0.00045632i,-0.00025986+0.00033539i,0.00032289+0.00071724i,0.00059272+0.00055008i,-0.00041894+0.00053703i,-0.00087634-0.00030934i,-0.00059698-0.00030014i,3.7743e-05+3.0143e-05i,0.00038835+9.6934e-05i,0.00063439-0.00010264i,0.00048217+0.00017644i,-9.9604e-05+0.00049687i,-0.00046188-0.00013846i
-2.821e-05-0.00047882i,2.1433e-05+0.0005507i,-3.5537e-05+0.00039848i,0.00041908+0.001308i,0.00051661+0.0014941i,0.00045995+0.0011913i,0.0007721+0.00094427i,0.00071548+0.00071848i,0.00049802+0.00073976i,0.00053171+0.0001591i,4.7758e-05-0.00023038i,-0.00045331-6.2772e-05i,-0.00071278+6.6964e-05i,-0.00032346-0.00015743i,0.00018294+3.0387e-05i,0.0005361-7.2827e-05i,0.00043902+2.8343e-05i,-0.00013636+0.00068882i,0.00011143+0.0008593i,0.00064789+0.00033263i,0.00074379-8.3448e-05i,0.00050608-0.00022213i,0.00059311-0.00013034i
0.0011425+0.0011573i,0.0015726+0.0016189i,0.0015529+0.0029139i,0.0012005+0.0022198i,0.001282+0.00091651i,0.00065532+0.00071721i,-4.5417e-05+0.0012074i,7.5907e-05+0.0017012i,0.00049177-5.7787e-05i,0.00065229-0.00082741i,-0.0002241+0.00045549i,-0.00098838+0.0005265i,-0.00054873+0.00035884i,-0.00056885+0.00045176i,-0.00057769+0.00043443i,-0.00018431+0.00071225i,0.00013011+0.0009466i,0.00059795+0.0007616i,0.00060174+0.00054236i,0.0004477+0.00019809i,0.00017305+9.7845e-05i,-0.00033047+0.00011065i,-0.00071551-0.00019551i
-0.00074547+0.0010147i,0.00023518+0.0015378i,0.00034874+0.0020742i,0.00060693+0.0018903i,0.00061434+0.0013891i,2.127e-05+0.0014911i,-2.1667e-05+0.0017138i,0.00015795+0.0010701i,0.00038728-6.4446e-05i,0.00012635+9.8717e-05i,-0.00044547+0.00080058i,-0.00044136+0.00063689i,-0.00098978+0.00050913i,-0.0011264+0.00048981i,-0.00032993-6.9346e-05i,-0.00042318-0.00027684i,-0.00037079-0.00021352i,0.00020101-0.00041605i,0.00057046-0.00074895i,0.00064901-0.00062394i,0.00090062-0.00022493i,0.0012128-8.4416e-05i,3.3016e-05-0.00031843i
