-0.00041628+0.0012528i,-0.00012484+0.00094658i,-0.0013319+0.00046817i,-0.0022483+0.00039937i,-0.0016511+0.0010053i,-0.00020731+0.0014705i,0.00050384+0.0019517i,0.00010079+0.0019779i,-4.9533e-05+0.00129i,0.0003562+0.0006155i,0.00092804-2.6915e-05i,0.00045814-0.0013879i,-9.4412e-05-0.0018939i,-2.9415e-05-0.00077029i,0.00016935+0.00029677i,0.00030269+0.00048458i,0.00025063+0.00084655i,8.9864e-05+0.00065016i,0.00013414+0.00066931i,-0.00042166-0.00027753i,-0.00064676-0.001194i,0.00018917-0.0002785i,0.00047666-8.388e-05i
0.00023921+1.0237e-05i,-0.00068475-0.00077328i,-0.00060111-0.00051671i,-0.00025147-0.00021095i,-0.00056517-0.00048787i,-0.00027841+0.00014138i,0.00061698+0.0011732i,0.00049106+0.0013238i,-0.00060052+0.00023522i,-0.00061229-0.00031069i,0.00021254-0.00052778i,0.00018204-0.00010732i,-7.082e-05+0.00081388i,-0.00060176+0.00051096i,-0.00060792+0.00050535i,-0.0006843+0.0010021i,-0.00066904+0.00093006i,-0.0003042+0.00063152i,-0.00012632+0.00028143i,0.00039178+3.8773e-05i,0.00054892-0.00060665i,-7.3722e-05-0.00096228i,-0.0001551-0.0001858i
-0.00030201-0.00051736i,-0.00031137-0.0012501i,-0.0012888-0.0015095i,-0.0018963-0.00065354i,-0.0011677-0.00059489i,-0.00011901-0.0014719i,9.5046e-05-0.0005549i,-0.00069545+0.00091357i,-0.00088688+0.00079049i,-0.00011181+4.8448e-05i,0.0008261-0.00038294i,0.0005465+0.00017633i,-0.00015779+0.00037376i,0.00068656-0.00024299i,0.00049882-0.0003201i,-0.00026554-0.00040687i,-2.2679e-05-0.00010194i,0.00030819+0.00029499i,-0.00013005+0.00017241i,-0.00063126-0.00043967i,-0.0001455-0.00077899i,0.00037034-0.00041117i,0.0003333+0.0001396i
-0.00037766+0.0020422i,-2.5021e-06+0.0019218i,-1.87e-05+0.0013643i,0.00071382+0.00078325i,0.0019226+0.00027518i,0.0018739+1.5069e-05i,0.00063443-0.00025616i,0.00031394-0.0014259i,0.00026438-0.0014715i,-0.00019917-0.00073972i,-0.00031331-0.00012465i,-0.00053461-0.00013292i,-0.00043709-0.00059507i,-0.00041449-0.00092747i,-0.00015022-0.00050432i,0.00019721-0.00030142i,0.0001341-0.00053i,-6.596e-05-0.00060677i,-0.0005406-0.00027219i,-0.00049594+4.7742e-05i,0.00026979-2.105e-05i,0.00090144+0.00020852i,0.00048994+9.9748e-05i
-4.8693e-06-0.0010318i,-0.00035539-0.0023411i,-0.00088617-0.0023506i,-0.0017864-0.00095931i,-0.0016742+0.00062629i,-0.0011226+0.0010056i,-0.00076059+0.00079839i,-0.00011759+0.00087105i,-0.00078298+0.00040603i,-0.00096389-9.0709e-05i,-0.00020118-0.00031436i,0.0002588+0.00013647i,0.00042288+0.00012505i,0.000682-0.00023992i,0.00032724+0.00047746i,0.00013307+0.00054656i,0.00089045+0.00011834i,0.00074203+9.0425e-05i,7.5673e-05+0.00026126i,-9.3315e-05+0.00073394i,0.00013757+0.00016795i,-0.00011116+0.00012711i,-0.00054245+0.00042796i
0.0010668+0.0002608i,0.00076223-0.00049258i,0.00074422-0.0007294i,3.0311e-05-0.00093894i,0.00031643-0.00093483i,0.00068366-0.00039575i,0.00076861+0.00031982i,0.00090494+0.00085115i,0.00061033+0.00015586i,0.0002656-0.0003554i,-0.00036325-0.00055847i,-0.00067873-0.00040491i,-0.00037092+0.00085742i,-0.00054311+0.0012687i,-0.00085447+0.00078352i,-0.00022383+0.0004601i,-0.00012962+3.331e-05i,0.00020583-0.00019385i,0.00046555-0.00023016i,7.9576e-05+0.00030556i,-1.9261e-05+0.00035405i,-0.00018323-0.00053164i,3.5979e-05-0.00062902i
-0.00020366-0.00033773i,-0.00014464-0.00057461i,-0.00044547-0.00024952i,-0.0010911-0.00010615i,-0.0013513-0.00042536i,-0.00037873-7.8486e-05i,0.00013465+0.00029054i,-2.9063e-05+0.00035597i,-8.1216e-05+0.00027716i,-0.00035287+0.0002849i,-0.00024709+0.00023175i,-0.00035065-6.7464e-06i,-0.0008777-0.00060758i,-0.00097427-0.00050781i,-0.00045686+0.00010765i,-0.00069713+0.00046026i,-0.0011953-0.00017916i,-0.0011285+6.5603e-05i,-0.00098592+0.00082375i,-0.00033092+0.0003568i,0.00025822+0.00026795i,7.2142e-05+0.00056644i,-0.00023244-6.5662e-05i
-0.0010966-0.0002656i,-0.00086341-0.00051127i,0.00030762-0.00093576i,-1.8908e-05-0.00089805i,-0.00073956+0.00019109i,-0.00016561+0.00025068i,0.00072917-0.00040298i,0.001095-0.00081968i,0.00052266-0.00083599i,0.00014562-9.2931e-05i,0.00017083+0.00059232i,0.00050138+0.00029625i,0.00098944+0.00045809i,0.0010904+0.001372i,0.00098387+0.0014156i,9.1475e-05+0.00080369i,-0.00066083+4.8789e-05i,-0.00060151-0.00032809i,-0.00047597+0.00038447i,0.00011353+0.00031631i,0.00037519-4.9273e-05i,3.8479e-05+0.00053297i,-0.00040445+0.00033208i
-0.0010957-0.00084667i,-0.0019858-0.00038161i,-0.0030562+6.2925e-05i,-0.0030327+0.00046268i,-0.0016321+0.0009064i,-0.00018863+0.0010019i,0.00036131+0.00055517i,0.00016103-0.00020192i,0.00020033-0.00033228i,0.00021169+0.00034335i,-0.00056603+0.00088559i,-0.0005442+0.0011948i,0.00031375+0.00099792i,0.0012162+0.00012999i,0.0018847-0.00014119i,0.0010838-0.0002121i,-0.00036266-0.00072234i,-0.00032629-0.00053719i,0.00069319+0.00034554i,0.0013261+0.00014294i,0.00081331-0.0006625i,6.1518e-05-0.00077306i,-0.00021702-0.00050707i
0.0012148+0.0011859i,0.00024174-0.001346i,0.000558-0.0021477i,0.0016302-0.0022658i,0.0018371-0.0016092i,0.00089371-0.0012711i,7.6857e-05-0.00086266i,-0.00023878+0.00042325i,-0.0001639+0.00019707i,-9.9355e-05-2.6101e-05i,-7.2899e-05-0.00015205i,0.00021745-0.001026i,-1.9038e-05-0.0014171i,-0.00043378-0.00081031i,-0.0011011-0.0003079i,-0.00097411-0.00045927i,0.00012428-0.00075148i,0.00040882-0.00044101i,0.00042483+0.00020147i,0.00045769+0.00036474i,-1.4645e-05-0.00042307i,0.00031998-0.001109i,0.00046377-0.0014148i
-4.5646e-05+0.00077138i,-0.00019016+0.0009455i,-0.00034136+0.0017169i,-0.00050474+0.0011559i,-0.00052163+0.00013081i,-0.00085761-0.00011516i,-0.0011147+0.00021769i,-0.00026285+0.00060724i,0.00021968+0.00044186i,-0.0004875-8.1965e-05i,-5.2287e-05-0.00033074i,0.00049873-0.00040172i,-0.00021517+4.1511e-05i,-0.000749+0.0004248i,-0.00092689+9.9038e-05i,-0.00045778-4.3622e-05i,0.00011198+0.00049319i,0.00022669+0.00041325i,-0.00023214+0.00032333i,-0.0005611+1.345e-05i,-0.00046204-0.0001287i,-0.00036921+1.5726e-06i,-0.00022573-0.00015808i
0.0012981-0.0023412i,-0.00012012-0.003721i,-0.00013887-0.0042545i,-0.00014981-0.0028047i,-0.0005491-0.0015106i,-0.00081134-0.00050003i,9.042e-05-0.00012496i,0.0011477+0.0007307i,0.00019623+0.0010356i,-0.00014937+0.00060518i,-0.00013076+0.00086581i,6.1557e-05+0.00095601i,0.00036136+0.00064889i,-5.1732e-06+0.00028734i,0.00010417+0.00013702i,0.00076687+0.00069418i,0.00069913+0.00069648i,0.00047684+0.00060677i,0.00043894-6.0495e-05i,0.00035162-0.0012305i,0.00025709-0.00079493i,9.9144e-05+0.00026942i,-0.0003035+0.00040714i
0.00079163-0.00011184i,0.00086367-2.3093e-05i,-0.00058086+0.00020268i,-0.0011409+0.0002118i,-0.0014023+0.0002245i,-0.0010884+0.00036723i,-3.6909e-05+0.0005477i,6.9187e-05-0.00018665i,-0.00031354-0.00036542i,-0.00023117-0.00038476i,-0.00019339-0.0005815i,0.0001544-0.00061553i,0.00073498-0.00096044i,0.00056012-0.0011603i,0.00047779-0.0010087i,0.00056487-0.00088285i,7.1875e-05-0.0010255i,-0.00010365-0.00044038i,-0.00026323+0.00081477i,-0.0010576+0.00035029i,-0.00095392-0.00066194i,-0.00058843-0.00047839i,-0.00042954+6.5001e-05i
-0.00012858-0.0017087i,-0.00086188-0.0012866i,-0.001041-0.0016136i,-0.00089463-0.001573i,-0.0005122-0.0010761i,0.00035001-0.00041548i,0.00072368-0.00039923i,0.00081723-0.00073056i,0.00055385-0.00028694i,-9.2745e-05+1.2216e-05i,4.6679e-05+8.8858e-06i,-0.00033403+0.00049717i,-0.00047025+0.00041148i,0.00041374+3.5712e-05i,0.0013184-6.5631e-05i,0.0015546+0.00030214i,0.00080389+0.0006311i,-8.6312e-07+0.00087913i,-0.00012058+0.00044061i,6.1793e-05+0.00044601i,-4.8007e-05+0.0010211i,-0.00013169+0.00083939i,-6.6762e-05+0.00053555i
0.0017269+0.00010665i,0.0018295-0.0016018i,0.0013723-0.0027787i,0.00019306-0.002777i,-0.00051006-0.0013703i,-0.00067177-0.00067745i,0.0001512-0.00080334i,0.00019137-0.00041029i,-9.8052e-05-8.3395e-05i,-8.0639e-05+0.00102i,-0.00099439+0.00061863i,-0.00086983+8.0082e-05i,-0.0010567+0.00068166i,-0.0012413+0.00084304i,0.00034182+0.00014519i,0.00097355+0.00086304i,-0.00015267+0.0014801i,-0.0011211+0.00021656i,-0.0006184-0.00040376i,3.365e-05-0.00021881i,-0.00027769-0.00057694i,-0.0001142-0.00086246i,4.7903e-05-0.00044019i
0.00015898+0.0012665i,-0.00075724+0.00053902i,-0.00090759-0.0002038i,1.8716e-05-0.00039297i,0.00061592-0.00045984i,7.921e-05-0.0010722i,-0.00071218-0.0013934i,-0.0007853-0.00046434i,-0.00078555+0.00037976i,-0.00054236-0.00017258i,0.00054424-0.00030118i,0.00076035+0.00020227i,-0.00057627+0.00017614i,-0.0012624+9.4173e-05i,-0.0010913-0.00058749i,-0.00051921-0.0011906i,-0.000158-0.00020343i,-0.00027661+0.00040744i,0.00047371+0.00051921i,0.00013207-0.00042637i,-0.00074381-0.00098571i,-0.00049685-0.00042815i,2.7318e-05+1.6215e-05i
0.0011539+0.0005815i,0.0018386-0.0011113i,0.0015282-0.0018161i,0.0010973-0.0015653i,0.00054293-0.0020221i,0.00014448-0.0020598i,-0.00036071-0.0012394i,-3.3321e-05-0.00085331i,0.00030464-0.00079946i,-0.00047373-0.00045333i,-0.0012301-0.00066719i,-0.0010568-0.0010953i,-0.00040255-0.00079715i,-0.00031124-0.00048155i,-0.00014619-0.00025865i,0.00026247-0.00010281i,0.00018555+0.00018192i,0.00013703+0.00012126i,0.00050844-0.00015165i,-1.0955e-05-8.1882e-06i,-0.0005921+0.00013307i,0.0004604-0.00013036i,0.001353+3.5633e-06i
-0.0010379-0.00074905i,-0.00070097-0.0015652i,-0.00044913-0.00067594i,0.00010695+0.0001376i,0.00083845+0.00035615i,0.0001835+0.00014627i,-0.00098304-7.8051e-05i,-0.0013318-0.00013234i,-0.0013292+0.00036873i,-0.00068625+0.00064019i,-0.00015764+0.00043093i,-0.00033063+0.00049717i,-0.00017062+0.00037008i,-0.00017193+2.5897e-05i,1.25e-05-0.00090589i,0.0003037-0.00057227i,-4.4471e-05+0.00057684i,4.3595e-05+0.00037137i,0.00048697-0.00044703i,0.00011323+1.5388e-05i,-0.0005221-0.00058325i,-0.00049344-0.00098747i,-0.00018724+0.00028648i
0.0009906-0.0012125i,-0.00026789-0.0018018i,-0.0014462-0.002413i,-0.0016202-0.0028287i,-0.0013378-0.002486i,-0.00064188-0.0011477i,0.00050583-0.000583i,0.00095753-0.00017927i,0.00024758-1.1597e-05i,-0.00034887-0.00065477i,-0.00041157-0.00034211i,-0.00041515+0.00088107i,1.3243e-05+0.0010072i,0.00018814+0.00057339i,-0.00024182-0.00025707i,-0.0003383-0.00074722i,-4.1111e-05-0.00024016i,0.00080345+0.00044904i,0.001066+0.00074545i,0.0010775+0.00055704i,0.00063459-6.7921e-05i,8.9182e-05-0.00079288i,-0.00013351-0.00088882i
