-0.0042739+0.0011015i,-0.0036556+0.0015259i,-0.0027752+0.0024364i,-0.0021256+0.0017685i,-0.0020702+0.00095839i,-0.00055764+0.00048832i,0.00092559+0.00018103i,0.0013443+0.00048928i,0.00072938+0.00061552i,0.00063829+0.00024648i,0.00046912-0.00015216i,0.00016543-0.00047924i,-2.0836e-05-0.00086227i,-0.00027818-0.0010149i,0.00021176-0.00072526i,0.00016003-0.00057934i,-0.00042207-1.1436e-05i,-0.001154-0.0003028i,-0.0016802-0.00098966i,-0.0013898-0.001161i,-0.00070798-0.00052829i,0.00042291-0.00013336i,0.0015562+8.3734e-05i
0.0014172-0.00080769i,-0.00063039-0.0010283i,-0.0022516-0.00097467i,-0.0013369-0.00059368i,-0.00010776+0.00030539i,0.0012188+0.00071324i,0.0018068-0.00044296i,0.0014586-0.00041548i,0.00061341+0.00040124i,-0.0005089+0.00053769i,-0.00062196+0.00055678i,8.0991e-09+0.00079549i,0.00037916+0.00056049i,0.00031415+0.00066303i,0.00027857+0.00077657i,0.00023538+0.00024479i,-0.00041371+0.00038181i,-3.9861e-05+0.00064279i,0.00045699+0.00097298i,0.00049789+0.00097123i,0.00051596+0.00094363i,0.00017273+0.00069455i,-0.00024039-4.7505e-06i
-0.00099042+0.00018583i,-0.00016479-0.00093981i,0.00031946-0.0015037i,-0.00060131-0.0013624i,-0.0010666-0.00082295i,-0.00043523-0.000896i,0.00043685-0.00070715i,0.00053744-0.00054517i,0.00043136-0.0003954i,0.00015527-0.00051136i,-0.00048056-0.00083199i,-0.00037917-0.00063623i,-0.00048084+4.3826e-05i,-0.001335+0.0002181i,-0.0012194-0.00013629i,-8.838e-05-7.9346e-05i,-0.00014102+5.7878e-05i,2.5883e-05+1.184e-05i,0.00062752+0.00028587i,0.00018121+0.0012139i,-0.00016664+0.0007691i,-0.00035767-0.00016181i,-0.00052061+0.00019749i
0.0010681-0.0010083i,0.00052297+0.00098401i,-0.00028294+0.0019716i,-0.00078846+0.0017662i,-0.00026856+0.002288i,0.0010559+0.0024267i,0.001798+0.0014864i,0.0016302+0.00029114i,0.00096745+0.00013169i,-0.00039742+0.00075372i,-0.0013546+0.00088164i,-0.0010646-0.00016499i,-0.0010994-0.00037254i,-0.00056358+8.9678e-05i,-0.00032591+0.0005344i,0.00029586+0.0012833i,0.00077135+0.00099817i,-8.779e-05+0.00017774i,-0.00040076-0.00030001i,0.00021594-0.00058103i,0.0004782+0.00012484i,0.00035105+0.00097418i,0.00044547+0.00034963i
-0.0012345+0.00025974i,-0.0025485-0.00096072i,-0.002424-0.0013261i,-0.0013221-0.0010721i,2.7807e-05-0.00030303i,0.0015333-5.0589e-05i,0.0013056-0.0011506i,0.00065267-0.0018728i,0.000326-0.0012145i,-0.00035112-7.1125e-05i,-0.00051339+0.00051494i,-0.00022437+0.0012305i,0.00048055+0.00073989i,0.00042301-0.00075479i,-0.00067205-0.00041874i,-0.00078908+0.00010208i,-0.000591-0.00047022i,-0.00079148-0.00082512i,-0.00016751-0.00082364i,0.00037909-0.00041872i,0.00020438+0.0007859i,-0.00039107+0.001249i,-0.00084466+0.00082169i
-0.00035838+0.00051262i,0.0016+0.00059172i,0.0020036+0.00041645i,0.0012509+0.00032827i,0.0016316-0.00069435i,0.0016324-0.0010847i,0.00083608-0.00048858i,-0.00023107+0.00020412i,-0.0003141+0.0011516i,0.00029763+0.00097369i,0.00040096-7.8386e-05i,0.00019638-0.0003248i,-0.00034135-0.0010439i,-0.00057529-0.0017739i,-2.2727e-05-0.0015574i,0.00050567-0.00090033i,0.00040027-0.0003133i,0.00066428-0.0001312i,0.00090818+4.3242e-05i,0.00028893+0.00038038i,0.00010915+0.00049902i,-0.00027491+0.00069577i,-0.00027044+0.00097188i
3.0255e-05+0.00023186i,-0.0014943-0.00080781i,-0.0020132-0.0021613i,-0.0018836-0.0020046i,-0.0012577-0.00087441i,-5.8886e-06+0.00068773i,0.00058022+0.0010836i,0.00060477+9.0363e-05i,-6.4184e-05-0.00097038i,-0.00079932-0.00011917i,-0.0010864+0.00045438i,-0.00055637+0.00046227i,0.00019767+0.00065011i,-0.00045653+0.00016112i,-0.00054392+7.045e-05i,-6.8572e-05+0.00054787i,0.00047307+0.0007801i,0.00029788-0.00017923i,0.00035245-0.00032596i,0.00068562-2.736e-05i,0.00014342-6.3065e-05i,-0.00063721+0.00049614i,-0.00050106+0.00012045i
-0.0015837+4.2636e-06i,-0.00044765-0.0013227i,-0.00055734-0.0018781i,-0.00029007-0.00067899i,0.001644+0.00039246i,0.0022925-0.00042871i,0.0011426-0.0012404i,-8.5684e-05-0.00094507i,-0.00024473-0.00082234i,0.00061725-0.00044084i,0.0008569-0.000196i,0.00021804-0.00088476i,-0.00029077-0.00098117i,-0.00059709-0.00048697i,-0.0005019-0.00038947i,4.6408e-07-0.00092896i,-0.00026862-0.0012226i,-0.00022571-0.00032779i,-0.00019295+0.00036568i,-0.00031189+0.00047291i,0.00014227+0.00072713i,0.00020198+0.00052877i,0.00015281+0.0001455i
-0.0014817+0.0008326i,-0.00080501+0.0014917i,0.00025822+0.0020452i,0.00035293+0.0010915i,0.00056452-0.00017586i,0.001241-0.00041623i,0.0011196-0.00026994i,0.00019456-0.00021256i,-0.00026756-0.0002029i,-0.00027641-5.3693e-05i,-0.00029793+0.00034259i,-0.00036489+0.0010702i,-0.00052297+0.00070822i,-0.00019196-0.00018478i,-0.0003105-0.00043065i,-0.00030356-0.00020094i,-0.00047776-6.0622e-05i,1.1636e-05+0.0001186i,0.00036786+0.00029618i,-0.00018886-8.5084e-06i,-0.00043249-8.3775e-05i,0.00013405+0.00013888i,0.0004782+0.00047595i
-0.00096602-0.00048935i,-0.0014047-0.0010794i,-0.0016349-0.0018584i,-0.0014819-0.0017624i,-0.0013536-0.00010865i,-0.00073834+0.0014431i,0.00014788+0.0013664i,0.0002723+0.00066958i,-0.00049742+4.4225e-05i,-0.0010442-0.00052036i,-0.0010068-0.00034786i,-0.0007872+0.0003167i,-0.00075548+0.00035382i,-0.00058763+0.00010089i,0.0001172+0.00021134i,-9.2369e-05+0.00024899i,-0.00046924-2.2436e-05i,-0.00059401+0.00032291i,-0.00033077+0.00060261i,0.00024132+0.00010649i,-9.2423e-06-0.00026894i,-0.00023208+0.0004329i,-7.9176e-05+0.0012807i
0.0010527-0.00038687i,0.00087695-0.001489i,-8.7115e-05-0.0010147i,-0.0009193-0.00057699i,-0.00025986-0.00030306i,0.00070393+0.00027463i,0.0018861+0.00021948i,0.0015876-0.00022253i,0.0011448-0.00043145i,0.00066908-9.8242e-05i,1.6517e-05+0.00061261i,0.00010822+0.00085902i,0.00080744+0.00043998i,0.0003768+0.00062423i,-0.00050076+0.00087787i,-0.00025264+0.0011134i,-2.8459e-05+0.00066281i,-0.00072294-0.00073065i,-0.00049104-0.0010457i,0.00071758-0.00027164i,0.00053423-2.2905e-05i,-0.00035166-0.00035008i,-0.00077724-0.00023888i
-0.0014907+0.00056346i,-0.0013078+0.0012221i,-0.0013825+0.0014018i,-0.00019599+0.00071246i,0.0013067+0.0003885i,0.0015543-0.00026581i,0.00076145-0.0015324i,0.00040925-0.0012434i,-0.00012987-0.0006621i,-0.00020653-0.00073135i,-0.0002692-0.00045844i,-0.00085549-0.00034205i,-0.00048966-6.1566e-05i,-0.00017287+0.00033928i,-3.301e-05+3.3554e-05i,0.00030174-0.00082969i,-0.00014973+5.4809e-05i,-0.0004339+0.0009729i,0.00017788+0.00027392i,0.0005051-2.4329e-05i,0.0010808+0.00029824i,0.0010116+0.00019488i,0.0006266-0.00064761i
-0.0017862-0.00021978i,-0.0031177-0.0017018i,-0.002804-0.0012403i,-0.0019003-9.3585e-05i,-0.0011121-0.00024211i,-0.00041762-0.00084514i,5.5276e-05-0.00057313i,-0.00038727+0.00036893i,-0.00083929+0.00057948i,-0.00099652+0.00067941i,-0.00042229+0.00058397i,-0.00014197+0.00019209i,0.00023618-0.00018745i,0.00015661-0.00029464i,0.0002227-0.00036547i,0.00086057-0.00050582i,0.00049572-0.00029302i,-8.6026e-05-0.00035096i,-0.0007841+0.00029873i,-0.0004577+0.00085123i,0.00073618-2.3987e-05i,0.00072662-0.00090412i,0.00033007-0.00023911i
-0.0002004+0.00081863i,0.0008532-9.3834e-05i,0.0010968-0.00039236i,0.00078952+0.00066237i,0.00012779+0.0016704i,0.00026143+0.001425i,0.00061695+0.00069939i,0.00078184+0.00070345i,0.0011906+0.00093411i,0.0010911+0.00053013i,-4.7891e-05+0.0002157i,-0.00065304-0.00073459i,-0.0006027-0.0012691i,-0.00090711-0.00042387i,-0.00051053+0.00016443i,-1.5574e-05+0.00042263i,0.00014563+0.00065778i,0.0005914+0.00014731i,0.0008186-0.00015208i,-0.00028744+0.00024313i,-0.00086021+0.00047531i,-4.3653e-05+0.00025824i,0.00021188+0.00025904i
-0.00093229+0.00014414i,-0.0013534+2.1472e-05i,-0.0018266-3.6717e-05i,-0.0014659-0.00050766i,-0.00035295-0.00052026i,0.0012694+0.00016765i,0.0022834+4.9832e-05i,0.0014328-0.00068887i,0.00042613-0.00080225i,-0.00016746-0.00045626i,-0.00039383-0.00054804i,0.00041276-0.00071892i,0.00048038-0.00024006i,-0.00021674+7.7652e-05i,-5.4209e-05-0.00071392i,0.00020457-0.00075948i,4.3279e-05+0.00024278i,-0.00014222+0.00022216i,1.6492e-05-0.00035284i,0.0003941-0.00024743i,0.00068611+0.00037057i,0.00029735+0.00040963i,-0.00036045-0.00026812i
0.0013908+0.0015618i,0.00049327-0.00066447i,0.00051101-0.0022354i,0.00040343-0.002469i,0.00013411-0.0017185i,0.00025877-0.00084989i,0.00097997-0.00012267i,0.00034599+1.8032e-05i,-0.0007421-0.00016428i,-0.00057581-0.00034261i,-7.2093e-05-0.00060583i,0.00026651-0.00056888i,-0.00037705-0.0006189i,-0.00098657-0.00030679i,-0.00019587+1.1829e-05i,4.0143e-05-0.00021997i,-0.00015022-0.00020751i,-0.0001462+0.00010974i,-0.00015584-0.00015739i,-0.00015525+0.00010871i,-8.5917e-05+0.00071356i,0.00044031+0.00066584i,0.0010209+0.00021484i
0.00049483+0.00048999i,0.00062472-0.0012121i,0.00043955-0.0023244i,-0.00055527-0.0027423i,-0.0010459-0.0014493i,-0.00014346+0.00026034i,0.0014879-6.5191e-05i,0.0015775-0.0013206i,0.00074095-0.0014533i,-9.265e-06-0.00078165i,-0.00044792+0.00029221i,-0.00020181+0.0010059i,-0.00048836+0.00059018i,-0.0010432-0.00054538i,-0.0011229-0.00022137i,-0.0010426+4.9304e-06i,-0.00051155-0.00059304i,0.00034601-0.0006259i,0.00050644-0.00035662i,0.00014939-9.5351e-05i,0.00026959+0.00019212i,-0.00014177+0.00023478i,-0.00061188-0.00069198i
0.00018137-0.00022957i,-0.0004567+4.1154e-05i,-0.00020542+0.00094368i,0.00022377+0.0010432i,5.3979e-05-4.1357e-05i,0.00049642-0.00052146i,0.00056803-0.00014758i,0.00018113-0.00021521i,0.00036983-9.533e-05i,9.5927e-05-0.00028654i,-0.00088585-0.00088193i,-0.00091759-0.0014352i,-0.00059461-0.0016543i,-0.0014111-0.00080396i,-0.0016629-0.00069787i,-0.0004734-0.00051158i,-0.00027579+0.0010517i,-0.00055665+0.00098977i,-4.522e-05+0.0004633i,0.00044981+0.00083459i,0.00044557+0.00019756i,0.00015481-0.0005601i,-0.000283-0.00040421i
0.00072786-0.00044699i,-0.00046009-0.0018535i,-0.0009899-0.0025714i,-0.00096505-0.0020147i,-0.0004145-0.00082453i,-9.3666e-05-0.00049648i,0.00025143-0.00047899i,3.2199e-05+0.00032907i,-9.7358e-05+0.00077186i,-8.063e-05+0.0005053i,-0.0001926+0.00063564i,-0.00043888+0.00072025i,-0.00069818+0.00033863i,-0.0015118+0.00031284i,-0.0013633+7.1424e-05i,0.00018885-6.0236e-06i,0.00051487+0.00054283i,0.00042983+0.0009148i,0.00024057+0.00018445i,-0.00029663-0.0002091i,2.8284e-05-0.00031678i,0.00040278-0.00083741i,0.0003844-0.00013008i
4.3784e-05+0.0013382i,0.00031933+0.0013702i,0.00058438+0.00043643i,0.00023348-0.0001192i,8.404e-05+0.00058499i,0.00094538+0.00090443i,0.0011885+0.00028469i,0.00051736+0.0002978i,-0.00022814+0.0005173i,-0.00043794+0.00050198i,-0.00025278+0.00052377i,0.00019983+0.00062106i,0.00012532+0.00015718i,-0.00025646-0.00044816i,0.00039322-0.00021261i,0.00018757+5.8445e-05i,3.8125e-05-0.00019513i,0.00079621-0.00039696i,0.00074476+0.00012048i,-8.1013e-06-1.8503e-05i,-0.00013648+8.0048e-05i,0.00017325+0.00056922i,0.00030262+0.00074947i
-0.0012786-0.00013344i,-0.0018412-0.0012762i,-0.00092559-0.001764i,-0.00050952-0.0013839i,-0.00067387-0.00041105i,0.0001475+0.00031372i,0.00047905+0.00087032i,-0.00019748+0.00051468i,-0.00047717-0.00047295i,-0.00066437-0.0012298i,-0.00077089-0.00055924i,-0.00099987+0.00061905i,-0.0013429+0.00057947i,-0.00056378-0.00011048i,0.00016778+7.982e-05i,0.00015478+0.00041099i,-0.00015437+0.00010856i,-7.8236e-05-3.8648e-05i,0.0003822-0.0004246i,0.00019231-0.00034685i,0.00042188+0.00035463i,7.3018e-05+0.00031286i,-0.00018864+0.0002993i
0.001852+0.00086841i,0.0017528-0.00097151i,-0.00016258-0.0019209i,-0.001099-0.0015183i,-0.00045073-0.0006227i,0.00025733+0.00019294i,-6.8047e-05+0.00040028i,-0.00059775+0.00020833i,6.6127e-05+0.00021878i,0.00021239+0.00039283i,-0.00071377+4.5229e-05i,-0.0013845-0.00033833i,-0.0009572-0.00044355i,-0.00049564-0.00046674i,-0.0012419-0.00042944i,-0.0016675-0.000651i,-0.0011615-0.00069579i,-0.00031946+5.1675e-05i,-0.00025026+0.00040518i,-0.0002381-5.3429e-05i,0.00042034-0.00053076i,0.00055443-0.00040894i,0.00038742+0.00088096i
0.00050742-0.00016446i,0.00022176-0.0015183i,6.7613e-05-0.0025024i,-2.8057e-05-0.0022007i,0.0001061-0.0017404i,0.0010502-0.00086006i,0.00092828-0.00021789i,0.00047821-0.00027933i,0.00025555-0.00021287i,-0.00031241+0.00025808i,-0.00059264+0.00037081i,-0.00023673-8.4684e-05i,-0.00036335+0.00019215i,-0.00084839+0.00056453i,-0.00010824+0.00014543i,0.00023568-3.5734e-05i,-0.00039988-0.00048289i,-0.00040667-0.0011058i,-0.00036436-0.00048024i,-0.000191+0.00015204i,-0.00037301+0.00010285i,-0.001086-3.3114e-05i,-0.00014091-0.00039599i
0.00086598-0.00033053i,-0.001205-0.00047782i,-0.0023941-0.00069188i,-0.0013483-0.00047517i,0.00018969+0.00046379i,0.0010108+0.001216i,0.0014589+0.00084647i,0.00058068+0.00027093i,0.00015042-0.00062739i,0.00016373-0.00090111i,0.00020393+0.00048662i,0.00049598+0.0011865i,1.3669e-05+0.00047471i,-0.00047605+7.0543e-05i,2.9459e-05+0.00017915i,0.00040093+0.00010266i,9.0653e-05-9.5263e-05i,0.00031966-0.00032521i,0.00041533-0.00045526i,3.0808e-05-0.00037277i,5.5151e-05+0.00010362i,-7.4511e-05+0.00046104i,2.4441e-06+0.00065677i
-4.6647e-05-0.0029072i,-0.00024479-0.0039437i,-0.0025619-0.0045169i,-0.003602-0.0021642i,-0.0022225+0.00068455i,0.00022487+0.0013591i,0.0014441+0.00020959i,0.00088759-0.00089024i,-0.00077295-0.00039942i,-0.0013553+0.00014619i,0.00029671+0.00012918i,0.0006146-0.00033469i,0.00010192-0.00024511i,-0.00025029+0.00048967i,0.00031775+0.00018814i,0.0008477+0.00022147i,0.00035027+0.00069387i,0.00032715+0.00074385i,6.8051e-05+0.00026986i,-0.00057-0.00066026i,-0.00054402-0.00066064i,-1.5088e-05-2.3538e-05i,3.5168e-05+0.00026718i
-0.0015072-0.00071089i,-0.0015001+7.4482e-05i,-0.0008687+0.0011512i,-0.00084008+0.0016231i,-0.00084935+0.0022259i,-4.6091e-05+0.002104i,0.0011575+0.0013494i,0.0014816+0.00061715i,0.00059231+0.00055817i,0.00027127+0.00037101i,9.2409e-05+0.00051233i,-0.00016437+0.0009195i,-3.5336e-05+0.0013055i,-0.00019844+0.0011202i,0.0001381+0.0001991i,0.0010661-0.000579i,0.00095496-0.00026985i,0.00059076+0.00024517i,-0.00011565+7.3978e-06i,-0.0012729-0.00036844i,-0.00075088-0.00011011i,-0.00073702-0.00021039i,-0.00059555-0.00038392i
-0.0011721-0.00080628i,-0.0031344-0.0028851i,-0.0043518-0.00382i,-0.0029883-0.00217i,-0.00054277-0.00010165i,0.0016016+0.0007601i,0.0016471+0.00019761i,0.00068948-0.00034727i,0.00018053-9.6556e-06i,-0.00013007+0.00048229i,-0.0003826+0.00035545i,-8.4472e-05-6.1904e-05i,-0.00045165+0.00014623i,-0.0013683+4.0735e-06i,-0.00063943+0.00022329i,0.00031856+0.00067489i,-0.00017039+0.00020312i,-0.00053995+8.0418e-06i,-0.00039551+0.00080124i,-0.00064305+0.00067013i,-0.00095685+0.00024163i,-0.0003339+0.00028709i,0.00013145+0.00030811i
0.001234+0.00083353i,0.0013222+0.00058659i,0.0011599+0.0002719i,0.0010595+0.00021082i,0.00089125+0.00030666i,0.00059+0.00064748i,0.00058016+0.00080177i,-0.00043214+0.00043472i,-0.0011359-0.00027569i,-0.00044373-0.00030172i,-0.000249-0.00016443i,-0.00016138+0.00016471i,0.00030261+0.00079208i,0.00026523+0.00058023i,-0.00060218+0.00015795i,-0.00016796+0.00017338i,0.00071673-0.00028486i,0.00050895-0.00027791i,4.3206e-05+0.00050143i,-0.001101+0.00053419i,-0.00055221+0.00041869i,0.00047954+0.00028319i,0.00031568+2.6251e-05i
-7.1683e-05-0.00056647i,-0.0011035-0.00094641i,-0.0013394-0.00094973i,-0.0013025-0.0013696i,-0.00020568-0.00067184i,0.00061282+0.00051405i,0.00058492+0.00079317i,0.00040415+0.00025658i,-0.00070559+0.00026149i,-0.00089533+0.00037641i,-0.00059851+0.00012064i,-0.00037128-5.7463e-05i,0.00013899-0.00034952i,-8.7502e-05-0.00040452i,-0.00077635+6.6008e-05i,-0.00098482-1.8087e-05i,-0.00077597-0.00067896i,-0.00065966-0.00034457i,-0.0011734+0.00022745i,-0.0013395-0.00036422i,-0.00030282-0.00021548i,0.00023661+0.00049076i,-0.00053167+0.00019147i
0.0008668-0.0007576i,0.00090898-0.0011557i,0.00069089-0.0011475i,0.00016427-0.00085761i,-0.00034811-0.00043176i,-7.2494e-05+0.00021733i,0.00054579+0.00056384i,0.00054706+0.00065971i,0.00051127+0.00048691i,0.00013521-0.00041728i,-0.00058419-0.00036236i,-0.0011934+2.7544e-05i,-0.0013085-9.281e-05i,-0.001132-0.0011147i,-0.00099088-0.00089658i,-0.0006769-3.7983e-05i,-0.00053325-0.0001019i,-0.00055551+2.5354e-05i,-0.00012012-0.00011865i,-0.0001995-0.0001304i,-0.00016832-0.00025269i,0.00031777-0.00038385i,0.00016344-0.00032288i
