0.0019432-0.00016545i,0.002631-0.0018042i,0.00023609-0.002814i,-0.0017982-0.0025433i,-0.0022236-0.0016996i,-0.0022755-0.00016644i,-0.00060932+0.0017052i,0.0014074+0.0022422i,0.0027003+0.0010476i,0.00195-7.9439e-05i,0.00024031+7.2591e-05i,-0.00033998-0.00034427i,-0.00071867-0.00056377i,-0.00105-2.5185e-05i,-0.00083809+0.0001421i,-0.00083592-0.00024112i,-0.0009225-0.00024336i,-0.00056376+0.00030869i,-0.00032817+0.00012044i,-0.00023895+0.0003348i,-0.00017459+0.0011071i,-0.00050288+0.00077793i,-0.00065191+9.8893e-05i
0.0004129+0.0014448i,0.00091164+0.00093156i,0.00085088+0.0019788i,0.0012547+0.0025745i,0.0017934+0.0015052i,0.0011915+0.00022781i,0.00091164-0.0003621i,0.0008006-0.00047391i,0.00015892-0.00019856i,-6.6062e-05+2.2894e-05i,0.00033053-0.00051756i,0.00060788-0.00072786i,0.00023625-0.00018054i,-0.00093454-0.00032189i,-0.0017522-0.00070187i,-0.0013795+0.00013904i,-0.00096191+0.00026071i,-0.00025335+6.5617e-05i,0.00043007+0.00029558i,0.00035012+0.00076965i,0.00040504+0.00099762i,6.1731e-05+0.000916i,-0.00042684+0.0001232i
-0.0012027+0.0016136i,-0.0014257+0.0016918i,-0.00079231+0.0021621i,0.00029271+0.0013145i,0.001325-0.00026274i,0.001445-0.00036932i,0.00088422+0.0002714i,0.00082695+0.0010173i,0.00059636+0.0015439i,0.0009056+0.00094745i,0.0016177+0.00074635i,0.00075434+0.00053492i,-0.00042148-0.00023863i,-0.00096855-7.6716e-05i,-0.0011245+0.00041562i,-0.00046874+0.00026848i,0.00061109-0.00037036i,0.0006032-0.00087266i,9.0612e-06+1.3764e-05i,0.00012395+0.00057228i,0.00019442+0.00043895i,0.00011111+0.00030593i,-0.00019984+0.00021757i
0.0010743+0.0002908i,0.00048322-0.0016811i,3.4055e-05-0.0028308i,0.00065439-0.0023069i,0.0015949-0.0016968i,0.0016035-0.0017702i,0.0013133-0.0016612i,0.00078149-0.00095529i,0.00056159-0.00027888i,0.0002507-0.00010001i,0.00027665-0.00056892i,0.00025462-0.00048296i,0.0002988+0.00037734i,0.00051386+0.00027811i,0.00016358-6.022e-05i,-6.317e-05+0.00020144i,0.00059975+0.00034524i,0.00023272+0.00093072i,-0.00051916+0.0012597i,-0.000219-0.00013006i,0.00038875-0.00097357i,0.00048182-0.00029323i,0.00044911+0.00032602i
-0.00083084+0.0005812i,-0.00056562+0.00021286i,-0.0001018+0.00027797i,-0.00044959+0.0010728i,-0.00027939+0.00069488i,-2.5269e-05-0.00022599i,-0.00030653+8.5608e-05i,-0.00057702+0.00044996i,-0.00096589+0.00011826i,-0.0011987+0.00014505i,-0.00099039+0.00019363i,-0.00036605-3.5182e-05i,-0.00048461+3.2559e-05i,-0.0012045+0.00023813i,-0.0013863-0.00034374i,-0.00066989-0.00035365i,-0.0012016-1.096e-05i,-0.0014103-0.000438i,-0.00093589-0.00053721i,-0.00098249+0.00060447i,-0.00089999+0.0010921i,-0.00045983-0.00032256i,0.0005874-0.00060988i
-0.0017455-0.0014165i,-0.0015939-0.0014505i,-0.0012737-0.0020026i,-0.00094461-0.00096909i,-0.00074763+0.00015664i,-0.00025969+0.00046426i,0.00038071+0.0007149i,0.00068837+0.00067658i,0.0002422+0.00028834i,-9.2059e-06+0.00015869i,-0.00039008+0.00042812i,-0.00046477-0.00021266i,-4.7646e-05-0.00063813i,0.0001387-0.00067083i,-0.0002231-0.00016461i,-0.00043004+0.00075814i,-0.00024578+0.00061873i,-0.00060744+0.0004098i,-0.0012899+0.00029785i,-0.00096475-0.00028106i,-8.4724e-05-0.00057489i,-0.0001254-0.00059774i,-0.00017586-0.00037507i
-0.0014136+0.0015015i,-0.0017473+0.0012368i,-0.00086436+0.00147i,0.00046157+0.00083436i,0.0011155-0.00041448i,0.0013563-0.00081852i,0.0016748-0.00070291i,0.00085348-0.00016426i,-0.00037745+0.00043459i,-0.00053421+0.00067227i,-1.9862e-05+0.00051053i,0.00018459+0.00016299i,-0.00030052-0.00054774i,-0.00045018-0.00019739i,0.00011139-4.7461e-05i,0.00042423-0.00011539i,0.0001564-0.00025437i,-0.00050521-0.00034962i,2.6358e-05+0.00010554i,3.3022e-05+0.00045337i,-0.00058146+0.00063005i,-0.00032266+0.00066691i,0.00016342+0.00027676i
0.00065634+0.0017865i,0.00057012+0.00051603i,0.0013379+0.00029348i,0.0031608-0.00025412i,0.0038212-0.0011108i,0.0024475-0.0016868i,0.00042628-0.0020086i,-0.00046585-0.00087331i,0.00011507+0.00047318i,0.00038959+0.0005134i,0.00013707+7.2587e-05i,-0.00033315-7.0786e-05i,-0.0011552-0.00026015i,-0.00045356-0.00063485i,-0.00018935-0.00037121i,-0.00099023-0.00012241i,-0.0013194-0.00022452i,-0.0013661-0.00058793i,-3.0543e-05-0.00080039i,0.0007925-0.00084717i,0.00070821-0.00055312i,0.00063663-0.00042715i,0.00066645-0.00039599i
0.00069957+0.0021674i,0.0011907+0.00048965i,0.0016071-0.0011928i,0.002518-0.0014375i,0.0023149-0.0009914i,0.00040984-0.0014557i,-0.00088712-0.00097337i,-0.0013187-0.00015175i,-0.0012668+0.0007101i,-0.0014634+0.0010532i,-0.0012061-8.216e-05i,-0.00050188-5.518e-05i,-0.00036347+0.001127i,0.00020728+0.0010287i,0.00062769+0.00048382i,-2.3067e-05+0.00072501i,-0.00033483+0.00046852i,-0.00017412+0.00033515i,0.00013071+0.00063019i,0.0001831+0.00016579i,0.00046442-0.0002221i,0.00044583+0.0006377i,-5.1659e-05+0.001097i
-0.0019824+0.0003049i,-0.00091685+0.0010368i,-1.8494e-05+0.0015295i,0.0016214+0.0010963i,0.0025195+0.0012815i,0.0023625+0.0012636i,0.0023046+0.00071472i,0.0011583+0.0003877i,0.00059113+0.00019202i,0.00073756+8.7368e-05i,0.0010109-0.000116i,0.0011844+0.00046304i,0.00067231+0.0010032i,0.0002125+0.00019922i,-0.00027616-0.00010593i,-0.00033586+0.00050007i,-7.2116e-05+0.001166i,-0.0001505+0.001221i,-0.00036257+0.00072792i,0.00058111+0.00025439i,0.00062664+0.00045659i,0.00015577+0.00060548i,-0.00011608+0.0001761i
-1.3913e-05+0.00083813i,0.00015072+0.00088161i,0.0014021+0.00098924i,0.001936+0.00069661i,0.0015931-0.00025708i,0.0015235-0.0011342i,0.0013679-0.0015913i,0.00089021-0.00079142i,0.00025223+0.00059118i,0.00059706+0.00068418i,0.00076159+0.00056462i,9.3949e-05+0.00076687i,-2.7777e-05+0.0004146i,-0.00032537+0.00048623i,-5.9987e-06+0.00040801i,0.00012533+0.00036435i,-0.00050523+0.00072972i,-0.00037963+0.00058045i,6.4069e-05+7.1579e-05i,0.00027896-0.00016004i,0.00038062-0.00018042i,0.00062096-8.1093e-05i,0.00062682-0.00022769i
-0.0018459-0.0010682i,-0.0017524-0.0012052i,-0.0028571-0.00081827i,-0.0025246+6.9964e-05i,-0.0011812+0.00040603i,-0.00067108-0.00012176i,-0.00010791+0.00010404i,-1.2643e-05+0.00068469i,0.00012774+0.001205i,0.00054092+0.00098201i,0.0010023+0.00050977i,0.0014277+0.00042011i,0.00052201+4.0721e-05i,-0.00011557-0.00038071i,0.00060298-0.00025379i,0.00044934+0.00012672i,-8.695e-05+0.00033379i,-0.00015784-0.00030316i,-0.00010939-0.00094454i,-0.00031511-0.00040905i,8.7334e-05+6.9176e-05i,0.00080421-1.088e-05i,0.00050003+0.00012524i
-0.00022903-0.00082647i,0.00013391+7.328e-05i,-8.0978e-05+0.0013889i,-0.00018403+0.0015432i,0.0003051+0.00094299i,0.0011855+0.00036215i,0.00088496-0.00018035i,4.167e-05-0.00027258i,0.00022739+0.00023864i,0.0011224+0.00048494i,0.0014112+0.00015515i,0.001226-0.0002712i,0.0001872-0.00023868i,-0.00043667-5.8427e-05i,-0.00022583+0.0008669i,5.8573e-06+0.00090249i,-7.5393e-05-0.00034979i,-0.00085026-0.00096586i,-0.00095693-0.00015841i,-0.00014809+0.0011326i,4.136e-05+0.0018777i,-0.00010356+0.00082309i,0.00026973-0.00046692i
-0.0017827+0.00020124i,-0.0024716+0.00074603i,-0.0016869+0.0013917i,-0.00077083+0.0012887i,0.00032541-0.0004036i,0.00091913-0.00046769i,0.0013015+0.00041506i,0.0017197+1.4697e-05i,0.0010283-0.00047116i,0.00067394-0.00029272i,0.00068509+0.00052231i,-3.9091e-05+0.00060657i,-0.00077188+0.00038265i,-0.00098695+0.00028288i,-0.00037006-0.00032246i,0.00029112-0.00076651i,0.0002-0.00069685i,-0.00033676+0.00024837i,-0.00020696+0.00028507i,0.00031293-0.00018381i,-0.00020906+0.00014522i,-0.0011362+0.00027313i,-0.0012139+8.6712e-05i
0.0023278+0.0016439i,0.00087664-0.00032052i,0.0010157-0.0016888i,0.0017595-0.0022991i,0.0021808-0.002913i,0.0012582-0.0026307i,0.00076209-0.001644i,0.00081693+0.00019068i,0.0010099+0.0012792i,0.00078279+0.00055458i,0.00024826-0.00047914i,2.1567e-05-0.00016833i,0.00020904+0.0011993i,-7.7649e-05+0.0012722i,-0.00022393+0.00031341i,8.5433e-05-0.0003078i,0.00016564-0.00033882i,0.00023468+0.00012206i,-2.6025e-05+0.00028719i,-0.00047829+0.00043744i,-0.00047613+0.0004125i,0.00043917+0.00018811i,0.00067155+0.00034729i
0.0017372-0.0011531i,-6.5213e-05-0.0013637i,-0.0014878-0.00039626i,-0.00076269-0.00016616i,0.00010459-0.0014539i,0.0010592-0.0012575i,0.0017791-0.00022405i,0.00093225-0.00018613i,7.9143e-05-0.00058297i,0.00048908-0.00038062i,-0.00017083+0.00047842i,-0.00055246+0.00042466i,7.7581e-05+6.4367e-05i,0.0004103+0.00023438i,0.00038105+0.00031598i,-1.2803e-05+0.00091139i,-0.00030196+0.001499i,-0.0003496+0.0010568i,-0.0001917+0.0003633i,-6.7115e-05-0.00023755i,-0.00037766+0.0002104i,-0.00034329+3.174e-05i,0.00020074-0.00057865i
0.00067388+0.0022237i,0.00095074+0.0011126i,0.001383+0.00030677i,0.0026736-4.5612e-05i,0.0027464-0.00084401i,0.0017516-0.0010427i,0.00084973-0.00034476i,0.00018502+0.00024344i,-6.0029e-05+9.3834e-05i,-0.00011251+0.00038515i,0.00016376+0.00065733i,0.00027461-5.6788e-05i,0.00047296-0.00013247i,0.00013088+0.00071617i,-0.00057831+0.00071229i,-0.00047856+7.7662e-05i,-0.0001446+0.00011312i,0.00028827+6.4832e-06i,0.00055592-3.4737e-05i,0.0001642-0.00052612i,-0.00047666-0.001306i,-0.00084058-0.00063368i,-0.00037801+0.00027693i
-0.001158-6.4178e-05i,-0.0011873-0.0010605i,-0.00069762-0.00079011i,0.00090203+0.00021697i,0.0011496+0.00045162i,0.00043019-0.00014452i,0.00028201-0.00092179i,0.00035399-0.0004502i,0.0001035-0.00010746i,0.00042242-2.2951e-05i,0.0010693+0.00021596i,0.0013573-0.00013698i,0.00045205-0.00045412i,5.7852e-05-0.0007151i,0.00033689-0.0011314i,2.6068e-05-0.00072246i,1.7456e-05-0.00026268i,0.00070461-0.00065319i,0.0014367-0.00080951i,0.00065097-0.00077722i,-0.00029365-0.00074772i,-0.00053014-0.00041641i,-0.00074575-0.00012603i
0.0001064-7.1237e-05i,-0.00062011-0.00039019i,-0.0011431-0.0010649i,-0.0009791-0.00072659i,-0.00010699-0.00061393i,0.00069397-0.00061614i,0.00089226-0.00015285i,0.00060501+0.00012729i,-0.00017371-0.00016774i,-0.00055276-0.00071013i,7.1148e-06-0.00042882i,0.00048675+0.00013041i,-4.43e-05+0.00078617i,-3.6336e-05+0.00085971i,-0.00027844+0.00073085i,-0.0014026+0.00012931i,-0.001915-2.9501e-05i,-0.0011757+0.00040222i,0.00020556+0.00025411i,0.00019928+3.6478e-05i,-0.00010759+0.00024075i,-0.00012182+5.3957e-06i,-0.00026425-0.0003456i
-0.00077254+0.0012219i,0.00058243+0.0003004i,0.0018402+0.0010609i,0.0029562+0.0020042i,0.0041132+0.0011863i,0.0036053-0.00080385i,0.0018748-0.00084866i,0.0002918+0.00017423i,-0.00019305+0.00073304i,0.00012665+0.0011277i,0.00038425+0.0010657i,0.00038372-0.00010822i,7.3768e-05-0.001014i,-0.00039606-0.00027549i,-0.00044559+0.00020934i,-0.00033291+0.00016916i,-0.00032595+0.00019955i,3.4418e-05+0.00067503i,0.00033709+0.00048325i,0.00017204+0.00030441i,0.00023188+0.00033561i,-0.00042175+0.0006421i,-0.0011944+0.00085096i
0.00043506+0.0009051i,-0.00015931+0.0011339i,0.00043032-3.3594e-05i,0.00090279-0.0011852i,0.0014465-0.0010463i,0.0016187-0.0010566i,0.00077902-0.00090194i,-4.2582e-07-0.00012982i,-0.00010872+0.00052352i,0.00013287+0.0010244i,0.00035442+0.0012853i,-0.00029922+0.00071149i,-0.00056363+4.8293e-05i,-0.00027065-0.00021142i,-0.00018552-2.9649e-05i,-3.0113e-05+4.1775e-05i,0.00030926-0.00037743i,0.00035284-0.00071003i,0.00078405-0.00039483i,0.00026135+0.00079222i,-0.00060657+0.00054008i,-0.00022341-0.00043164i,-2.5147e-05-0.00053443i
-0.0001252-0.00092776i,-0.00046975-0.00095579i,-0.00023772-0.000878i,0.00063156-0.00089234i,0.0012158-0.00044298i,0.0007858-4.5939e-05i,0.00033403+0.00024487i,0.00048285+0.00069766i,0.00079554+9.0224e-05i,0.00098766-0.00065862i,0.0014276-0.00034369i,0.0003884+4.9019e-05i,-0.00057367-0.00049462i,-0.00055192-0.00076524i,-0.00042587-0.00066841i,-0.0007629-0.00044973i,-0.0012888-0.00016257i,-0.0015424-0.00018409i,-0.00091419-0.00017372i,-0.00013339+0.00042485i,3.4156e-05+0.0014027i,0.00033729+0.0012496i,0.0006541+0.00016108i
-0.00078743-0.00033223i,-0.0006816+6.0032e-05i,-6.3379e-05+0.00030336i,0.00084178+0.00012506i,0.001636+0.0006802i,0.0018699+0.00018393i,0.001882-0.0010052i,0.00082848-0.0010181i,0.00041384-0.00021815i,0.00051111+0.00046567i,-0.00050794+0.00043603i,-0.0012781+0.00012866i,-0.00037034+5.2064e-05i,0.00057387+0.00025378i,2.9601e-05+0.00019712i,-0.00045665-4.9182e-05i,-0.00088609+2.7823e-05i,-0.00086434-8.3996e-05i,-0.0005571+4.6569e-05i,-0.00057252+2.8627e-06i,-0.00070036-0.00010128i,-0.00052621+0.00034893i,3.722e-05+0.00018722i
-0.00061128+0.00055241i,1.9753e-05-0.00022338i,-0.00075748-0.00083787i,-0.00056197-0.00098902i,0.00080391-0.0011651i,0.00061552-0.00096803i,-0.00023449-0.00075422i,-0.0006484-0.00064887i,-0.0008993-0.00035569i,-0.00015188-0.0002346i,-0.00011953-0.00060562i,-5.9534e-05+0.00017582i,0.00045655+0.0011495i,0.0003499+0.00035121i,-0.00011848+6.5967e-05i,-0.00021158+0.0003252i,-0.00045957-0.00047614i,0.00019702-0.00068823i,0.00075581+8.6835e-05i,0.00087631+1.8292e-05i,0.001405-9.3714e-05i,0.00077323+0.00025447i,-0.00056917+0.0001734i
-0.00011208+0.00016552i,-0.00034097+0.0011402i,-0.00067555+0.0014937i,-0.00028029+0.00093004i,0.00025492+0.00024435i,0.0010499-0.00048964i,0.00069249-0.0012081i,-0.00056049-0.00060493i,-0.00077427+0.00048597i,-0.00071413+0.00057042i,-0.00026935-0.00012251i,8.484e-05-0.00056048i,0.00071582-0.00096663i,0.0005208-0.0010095i,-0.00075145-0.00058392i,-0.00078964-6.1519e-05i,-0.00028111+2.0481e-05i,-0.00016544-0.00019871i,7.5398e-05-0.00043763i,0.00044038-0.00014298i,0.00081705+0.00019215i,0.00067577+0.00017219i,0.00022327-0.00032361i
-0.00024781+0.0016346i,3.0416e-05+0.0012466i,0.00035329+0.0020625i,0.0010197+0.0022551i,0.0014823+0.0011755i,0.0021337+0.00029302i,0.0017012-3.5503e-05i,0.00063216+0.00079927i,0.00046649+0.0011876i,0.0007218+0.00080662i,0.00076273+0.00039832i,-0.00010356-6.9476e-05i,-0.0004861-0.00022138i,-0.00042024+0.00050533i,-0.00056985+0.00080312i,-0.00024909+0.00012975i,-0.00037453-0.00074949i,-0.00091903-0.00020755i,-0.00065+0.00029872i,1.8994e-05+0.00032963i,0.00010055+0.00051825i,-0.00025537+0.00042606i,-1.7892e-05-0.00024423i
7.4061e-05+0.001577i,0.00043232+0.00067155i,0.0020612+0.0008241i,0.0041708+0.00072113i,0.004422-0.00070389i,0.0029704-0.0021584i,0.0015775-0.0014279i,0.0011207-5.2678e-05i,0.00053059+0.00060941i,0.00028804+0.00071542i,0.00056922-2.679e-05i,5.7857e-06-0.0011992i,-0.0005537-0.0015552i,-0.00051097-0.00044303i,-0.00023586+9.3715e-05i,-8.1227e-05-0.00044463i,-0.00027525-8.5286e-05i,-0.00039389-2.0109e-05i,-0.00015656+7.2257e-05i,-0.0003221+0.00028436i,4.1268e-05-0.00015129i,0.00051392-3.8818e-05i,0.00016244+0.00040285i
0.0015877-0.00021244i,0.00085984-0.00081665i,0.000945-0.0014813i,0.00092621-0.001563i,0.00021851-0.0012662i,-0.00016969-0.00041904i,-0.00043669+0.00012597i,-0.00068709+0.00020047i,-0.00017768+7.7434e-05i,0.00032916-0.00011129i,-0.00031377-0.00037289i,-0.00079746-0.00015402i,-0.00068+0.00059308i,-0.00037656+0.0011088i,-0.00013197+0.00096919i,-0.00047867+0.00085455i,-0.0008649+0.00012185i,-0.00035837-0.00083137i,-0.00013211-0.00027889i,-0.00037773+2.1348e-05i,-0.00014765-0.00016455i,0.00075818+0.00025932i,0.00028057+7.3118e-05i
-0.00024291-0.0015718i,-0.00083705-0.0011016i,-0.00156+0.00011295i,-0.0010482+0.00091395i,-0.00068241+0.00082111i,3.4723e-05+0.00019805i,0.00094688+9.8709e-05i,0.00049859+0.0010201i,-0.00041526+0.0012377i,-0.00076216+0.0009516i,0.00020551+0.0011532i,0.00055524+0.0015323i,0.00057185+0.00030852i,0.0012049-0.001129i,0.0013305-0.00052956i,0.00031741+0.00024762i,-0.00094949-0.00026916i,-0.0011734-0.00044484i,-0.00037827-0.00032019i,-8.1622e-05-0.00099191i,2.7244e-05-0.00064711i,-4.0363e-05+0.00012112i,8.027e-05+9.5647e-05i
0.0013493-0.00017635i,0.00041571+0.00059225i,-0.0006078+0.0012101i,-2.1994e-06+0.00028291i,0.0012555-0.00047278i,0.0022436+0.00040153i,0.0012349+2.6789e-05i,0.00024665+4.1697e-05i,0.00044276+0.00049345i,0.00068838-2.0329e-05i,0.00029239-5.2525e-05i,-0.0001876-9.695e-05i,-0.00020969-0.00010887i,6.1378e-05-0.00035599i,0.00031304-0.00060721i,0.00011549-0.00033109i,0.00043002-0.00040153i,0.00022279-0.00066376i,-0.00017245+0.00028815i,7.9445e-06+0.00037468i,3.5391e-05-0.00034544i,-0.00022691-0.0004741i,-0.00063373+0.00033303i
0.0014986+0.00092529i,0.00099692+0.001062i,0.00096093-0.00040522i,0.00095739-0.0017697i,0.001039-0.0025324i,0.0015878-0.0020579i,0.00088783-0.0010832i,8.2578e-05-0.00044387i,0.00045803-0.00043979i,0.00050394-0.00066835i,4.9696e-05-0.00056943i,5.7543e-05-0.00050887i,0.00020736+0.00034481i,-0.00055136+0.0010245i,-0.0010502+0.00046422i,-0.00055403-0.00017312i,-3.7467e-05-0.00061609i,0.00013992-0.00041446i,-8.5513e-05+0.00032893i,-0.00061373+0.00033503i,-0.00032234-0.00037879i,0.00055068-0.00074995i,0.00015254+0.00013907i
-0.0015273-0.0021617i,-0.0022575-0.0014505i,-0.0021699+2.0125e-05i,-0.0018018+0.00085199i,-0.00074864+0.00091186i,0.00042606+0.00089205i,0.00077153+0.00018971i,0.00061172-1.0088e-05i,0.0010677+0.00042594i,0.0014211+0.00066997i,0.0011053+0.00084782i,0.00013081+0.00046583i,-0.00049748-0.00073056i,-0.00068407-0.00050739i,-0.00073018-9.1086e-05i,-0.00025873-0.0001236i,0.00028771-0.00010648i,0.00023951+3.1152e-05i,0.0002003+0.00038567i,7.9354e-05+0.00102i,-0.00097229+0.00092574i,-0.0006769+0.00015677i,0.00034592-0.00049804i
