-0.0030644-0.00090741i,-0.0019065+2.2481e-05i,-0.0023476+0.0024402i,-0.0018798+0.0028551i,-0.00017219+0.0025388i,0.00043522+0.0017198i,-0.00024223+0.0011953i,-0.00066222+0.0011947i,-2.9347e-05+0.00072439i,0.0012324-0.00013219i,0.0017806-0.00027851i,0.0015832-0.0010055i,0.00096336-0.0017929i,-0.00052154-0.0018055i,-0.0015546-0.0016582i,-0.00079483-0.0008602i,-0.00054913-0.00054922i,-0.00059181-0.00076423i,0.00014865-0.00069563i,0.00051918-0.00020514i,0.00025292-0.00056521i,0.00066778-0.00053743i,0.0013732+0.00015469i
0.00012098+0.00079064i,-0.00045781+0.0015977i,3.7206e-06+0.0017871i,0.00077676+0.0012231i,0.00048307+0.00082486i,-0.00020438+5.7752e-05i,-0.00058707+3.584e-05i,-0.00059283+0.00085231i,-8.8054e-05+0.001111i,0.00086516+0.0005362i,0.0011941+5.6224e-05i,0.00053465-5.2554e-05i,-0.00016254-0.00027554i,-0.00055466+0.00019926i,-0.00044965+0.00032319i,-2.818e-05-0.00056241i,-0.00066043-0.0014092i,-0.0011519-0.00067217i,0.0002587+5.5998e-05i,0.0012669+0.00063968i,3.8717e-05+0.00064887i,-0.00094736+0.00024264i,-0.00073023+0.00030856i
-0.0011343-0.00084251i,-0.0002621-8.7081e-05i,-0.0003708+0.00094624i,-0.0012481+0.0015251i,-0.0010363+0.0011933i,0.00049213+0.00029934i,0.000976-6.7528e-05i,0.0002089-0.00039443i,-9.3793e-05-0.00088264i,0.0004526-0.00048482i,0.00059971+0.00063351i,0.00034926+0.00028057i,0.00017513-0.00083067i,8.4971e-05-0.0013547i,2.9991e-05-0.001122i,-0.00059945-0.001104i,-0.00069607-0.00071328i,-0.00030083-0.00014232i,-0.00051929+0.0003387i,-0.0005972+0.00069956i,-0.00023384+0.00054379i,0.00040278+0.00027257i,0.00059176-0.00014351i
0.00038533+0.0011803i,-0.00086042+0.00097054i,-0.00090528+0.00038465i,-8.0036e-05+0.0013247i,0.0005986+0.0017381i,0.00099832+0.00079497i,0.00086388+0.00028535i,0.00019826+0.00049639i,-9.5795e-05+0.00047804i,0.00010377+0.00063417i,0.00045665+0.0014374i,0.00078907+0.0010648i,0.00063095-0.00030321i,0.00042916-0.00044246i,-0.00011062+9.4373e-06i,-0.00044055-0.0002814i,-0.00013605-0.00049131i,0.00087401+3.3259e-05i,0.00096996+2.9855e-05i,0.00013556-0.00033007i,-0.00020236+0.00022552i,0.00022819+0.00057883i,0.00057694+0.00031277i
-0.0025407-0.00081271i,-0.001811+0.0011117i,-0.0021961+0.0021183i,-0.0026094+0.0031254i,-0.0017431+0.0030943i,0.00019499+0.0022858i,0.00047893+0.0010648i,-0.00022893-0.00038105i,-0.00052309-0.00056093i,-0.00032525-2.7001e-05i,0.00043537+0.00053371i,0.00079523+0.00052416i,0.00044948+0.00012885i,-0.00012729-0.00016484i,-0.00040143-0.00075279i,-0.00025295-0.00077406i,-0.00037545+0.00025388i,-0.000134+0.00062656i,0.0010207-0.00016965i,0.0015451+0.00010578i,0.0014012+0.00041508i,0.0010935+0.00037953i,0.00048487+0.0011259i
0.0012231+0.00039652i,0.00099103-0.00028052i,0.00031045+0.00013162i,0.00054464+0.0007205i,0.00053608+0.0011262i,-0.00022058+0.00068423i,3.0786e-05-0.00014045i,0.00085191-0.00065779i,0.001387-0.00069235i,0.00096327-0.00075208i,0.0009279-0.00037452i,0.0014264-3.7827e-05i,0.0010699-0.00028263i,0.00018977-0.00038929i,-0.0010289-0.00047683i,-0.0018004-0.0013186i,-0.00073775-0.001346i,3.6046e-06-0.00062186i,-0.00029898-0.00023971i,-4.3808e-05+0.00035089i,0.00061025+0.00053571i,0.0004318+0.00030082i,-3.0057e-05+0.00046117i
-0.0015894-0.0016674i,-0.0023671-0.0002286i,-0.0027628+3.7464e-05i,-0.0024442+0.0010017i,-0.0018502+0.0014127i,-9.9523e-05+0.0013623i,0.0013698+0.00073439i,0.0010602+0.00040638i,0.00049075+0.00027053i,0.00072832-8.8322e-05i,0.0011678+0.0001831i,0.00085381+0.00035467i,0.00096632-0.00028181i,0.0013674-0.0011715i,0.00056258-0.001368i,-0.00041595-0.00092912i,-0.00073802-5.8994e-05i,-0.00014154+0.0007807i,0.0011738+0.00049794i,0.0011771+2.0916e-05i,0.00076586-0.00017615i,0.00084155+0.00048908i,0.00060203+0.00087611i
-0.00040256-0.00094399i,-0.00079223-0.00023957i,-0.0012025+0.00086823i,-0.00042339+0.00121i,-0.00036988+0.00075604i,-0.00013061+0.0010927i,0.0006625+0.00077184i,0.00060476+0.00084886i,0.0004429+0.00086189i,7.0737e-05+9.8117e-05i,-0.00026482-0.0005928i,0.0001692-0.0012021i,-3.1306e-06-0.00066855i,-0.0008243-0.00031403i,-0.00070274-0.00087481i,-0.00077209-0.00094129i,-0.00090275-0.0015403i,-0.00029619-0.0017865i,0.00058583+7.9594e-06i,0.00085688+0.00073909i,0.00076294+0.00090706i,0.00065663+0.0010741i,0.00053373+0.00050575i
-0.001502+0.00054425i,-0.00093175+0.001442i,-0.00045646+0.00097656i,0.00035159+0.0012456i,0.00082959+0.001613i,0.00097003+0.00073767i,0.0009619+0.00044878i,0.0013016+0.00055213i,0.00098142-0.00025619i,0.00051399-0.00036492i,-0.00010189-0.00044287i,-0.0007577-0.0010613i,-0.00079203-0.0013518i,-0.0007361-0.0010768i,-0.00077772-0.00104i,-0.00051677-0.00098072i,-0.00019966-0.00058042i,-0.00031129-0.00036233i,-0.00084964-4.8213e-05i,-0.00068747-0.00011079i,-0.00057841+0.00019274i,-0.00030091+0.00087014i,0.00045492+0.00043537i
-0.00016458+0.00067412i,-0.00038268+0.00030658i,-9.7903e-05-0.00017431i,0.00012505-0.00061039i,0.0010678-0.00069895i,0.0008332+0.00029637i,0.00020639+0.0011531i,0.00040563+0.00084396i,0.00012257+0.00062698i,1.9435e-05+0.00075747i,-0.00055457+0.00079003i,-0.0010738+0.00048697i,-0.00036409-0.00014654i,0.0002666-0.00035318i,-0.00031611-0.00041075i,-0.00062102-0.0002959i,-0.00020978-0.00025441i,5.718e-05+0.00013285i,-1.5792e-06+0.0007717i,8.1832e-05+0.00036116i,0.00029721+0.00034321i,0.00038919-0.00016306i,0.00028288-0.00082202i
-0.00065638+3.0573e-05i,-0.0010017+0.00049736i,-0.00054868-5.8581e-05i,-6.9624e-05+0.00047902i,0.00031394+0.0013248i,0.00032585+0.0012142i,9.2965e-05+0.0013509i,-0.00025564+0.00095306i,-0.00017594+0.00038208i,0.00019278+0.00057695i,0.00054339+0.00064129i,0.0012256+0.00049321i,0.0011072-0.00035512i,0.00075072-0.00061111i,0.00077013-3.3468e-05i,0.00080363-0.00038903i,0.00046206-0.00079503i,0.00039027-0.00076737i,0.0013716-0.00052236i,0.0018457-2.5757e-05i,0.0018341-8.9232e-05i,0.0010382-5.3997e-05i,-7.2831e-06+9.5438e-05i
0.0011575+4.6323e-06i,0.00089277-0.00014109i,0.00020001-0.00060308i,-0.00038547-0.00042235i,-5.9428e-05-0.00056545i,0.0006362-0.00078358i,0.00042806-0.00037411i,0.00038689-8.3415e-05i,0.00031921+0.0002269i,0.00014095+0.00025416i,0.00051857+0.00031086i,0.0013019+0.00072792i,0.0012931+0.0006745i,0.00090354-0.00043843i,0.00060554-0.00056128i,0.00060886+0.00015844i,0.0011406+0.00064158i,0.00052407+0.00040093i,-0.0001627-1.2651e-05i,0.00043582-4.4817e-05i,0.0011087+0.00045073i,0.00097245+6.4727e-05i,0.00022705-0.00034577i
3.1348e-05+0.00046827i,-0.00070558+0.00068568i,-0.00025203+0.0011672i,0.00073184+0.00098549i,0.0011083+0.00052585i,0.00072705-0.00027656i,0.00073426-0.00039723i,0.00036348+0.00020095i,0.00036113-9.491e-07i,0.0010113-0.0010182i,0.0012309-0.0011613i,0.0016144-0.00054799i,0.0016013-0.00064887i,0.001074-0.00034401i,-0.00020346+0.00032148i,-0.00077796-2.9422e-06i,-3.2827e-05-0.00033285i,-0.00036038-0.00037327i,-0.00092992-0.00040792i,-0.00064857-0.00060004i,-0.00051459-0.0004497i,-0.00040069+0.00060683i,0.00055976+0.00095935i
-0.00028097-0.0010388i,-0.0012506-0.00018454i,-0.0018328+0.00016731i,-0.0013541+3.1275e-05i,-0.00018026+0.00068327i,0.0007397+0.0012358i,0.0007467+0.00081158i,0.0012024+0.00064297i,0.00018515+0.00052448i,-0.00096666+0.00029614i,-0.0004435+4.9299e-06i,0.00026276-0.0010726i,0.00094992-0.0014636i,0.00040596-0.0013356i,-0.0004987-0.00094058i,-0.0006859-0.00036012i,-0.00012048+0.00040334i,-0.0001872+0.0010616i,-0.0004123+0.00087865i,-0.00010257+0.00059917i,1.4185e-05+0.00067817i,-0.00062803+0.00097241i,-0.00076026+0.00059357i
-0.00038574-0.0007549i,-0.00063242+0.0015234i,-0.0017534+0.0031343i,-0.0015984+0.0026416i,-0.00095255+0.0020298i,-0.00041487+0.0014334i,-0.00026582+0.0013269i,0.00018855+0.001555i,0.00091936+0.00075662i,0.00046127+0.00043761i,-0.0002472+0.00038782i,-0.00019118-9.9594e-05i,0.00035144-0.00045009i,0.00028758-0.00041907i,-9.3431e-05-0.00071872i,-0.00052339-0.00096472i,-0.00092137-0.00071802i,-0.00052301-3.4341e-05i,8.2283e-05+0.00084366i,0.00031984+0.00057542i,0.00010837+0.00016263i,0.00029252+0.00084628i,0.0003473+0.00072935i
0.0016585+0.00037303i,0.0011719-0.00022846i,0.0013843-0.00082698i,0.0015862-0.00033535i,0.00074921-0.00034791i,-0.00062724-0.00079101i,-0.0014839-0.0001633i,-0.00083876+0.00041654i,0.00042076+3.2521e-05i,0.00068771-0.00029447i,0.00056479-0.00014532i,0.0001319-0.00016237i,-0.00045901-0.00022261i,-0.00061911-0.00068093i,-0.000419-0.00075243i,-0.00043559-0.0004223i,-0.00053937+1.5376e-05i,-0.00019191+0.00016206i,0.00042477+0.00042052i,0.00035773+0.0010054i,0.00095408+0.00084758i,0.0009805+0.00012734i,0.00065428-0.00023011i
0.00025789+0.00066744i,-0.00066521+0.0014916i,-0.0010448+0.0019513i,-0.0006819+0.0018967i,6.8026e-06+0.0014599i,0.00025621+0.0014908i,0.00062027+0.0018915i,0.00063294+0.0010143i,0.00019449+4.8787e-05i,-0.00029319-0.00017406i,-0.00010513-0.00049501i,0.00057419-0.00064489i,0.0005241-0.00062109i,9.2158e-05-0.00039938i,-0.00054097-0.00019377i,-0.00094626-0.00010573i,-0.00065483-0.00020348i,-0.0001305-0.00055808i,0.00021328-0.00022237i,0.0009218+0.00056324i,0.0012109+0.00060042i,0.00031395-1.9532e-05i,-0.00034701-0.00020319i
-0.0009315+0.00034569i,-0.00050143-0.00060293i,0.00034936-0.0010597i,0.00026455-0.00023227i,-5.6619e-05+0.00013328i,0.00026098+0.00056535i,0.00062302+0.00031516i,0.00070251-0.0005677i,0.00060913-0.00021573i,0.0005605+0.00050641i,0.0013204+0.00045662i,0.0017664+0.00095295i,0.00078901+0.00051007i,-0.00012445-0.00018684i,6.3235e-05-0.0002948i,-0.00027175-0.00073021i,-0.00056247-0.0010851i,-0.00059699-0.00072515i,-0.00022706-0.00025412i,0.00067249-2.0776e-05i,0.00087133+0.00086792i,0.00053314+0.0015082i,0.00028533+0.0011333i
0.00042688-0.00084439i,0.00068169+0.00086506i,0.00076902+0.0021526i,8.4036e-05+0.0021109i,-0.0002071+0.0015282i,0.00030839+0.00079646i,0.0012337+0.00052144i,0.001019+0.00030033i,0.00079735-0.00040198i,0.0013809-0.000853i,0.0012993-0.00070664i,0.0014271-0.00047891i,0.0017747-0.00029891i,0.00082223-0.00039461i,0.00018548-0.00012293i,0.0004944+0.00060318i,7.5589e-05+0.00027208i,-0.00043377-0.00012083i,-0.00068462+0.00060792i,-0.0011235+0.00082536i,-0.00072789+0.00098416i,-0.00012878+0.00088481i,-0.00016642+0.00052124i
-0.0014662+0.0006242i,-0.0022892-0.00025163i,-0.0022487+0.00045662i,-0.0010889+0.0018845i,0.00034197+0.0017105i,0.00044418+0.00028176i,-0.0004523-0.00053418i,-0.00033593-0.00069217i,-4.1893e-05+0.00055135i,-6.5717e-05+0.0011487i,0.00017362+0.00033189i,0.00023828-0.00037037i,0.00017511-0.0010169i,0.00028164-0.00084854i,8.0348e-05-0.00086458i,-0.00021454-0.00068786i,-0.00082815-3.2015e-06i,-0.0011372-5.5035e-05i,-0.00043666-0.00013715i,-0.00060879+0.00061015i,-0.00068563+0.0013015i,-0.0002725+0.0007739i,-0.00029121+0.00039807i
2.1289e-05+0.00043839i,0.00017629+0.0018179i,-0.00090002+0.0036398i,-0.0002885+0.0029284i,0.00094573+0.00015398i,0.0012812-0.00037162i,0.0010799+3.1672e-05i,0.00067312-0.00093947i,0.00057278-0.0013443i,0.0004496-0.00028189i,0.00039038+0.00025853i,0.00048176-0.00071144i,0.00014978-0.00088283i,-0.00014313-0.00054089i,-0.00048123-0.00077746i,-0.0010741-0.00082179i,-0.00068333-0.0003469i,2.5027e-05-0.00024857i,0.00017696-0.00055407i,0.00040961-5.7209e-05i,0.00058346+0.0011317i,0.00010419+0.0011953i,-0.00064642+0.00053542i
-0.0003672-0.00083163i,-0.0019482-0.00047422i,-0.0030084+0.00025695i,-0.0024837+0.0010208i,-0.00061141+0.0021277i,0.001003+0.0019819i,0.0010806+0.0011102i,0.00044997+0.00030983i,0.00014644-0.00040882i,0.0009724-0.00024241i,0.00056351+0.0010028i,-0.00028382+0.0011829i,-0.0005506+1.2486e-05i,-0.00059508-0.00080577i,-0.00058959-0.0012516i,-0.00087953-0.0018564i,-0.00061478-0.00096058i,-0.00070187+0.00058678i,-0.00031942+0.00091277i,0.00056662+0.00067346i,0.00098878+0.00053711i,0.0014614-4.1587e-05i,0.0015013-8.9114e-05i
-0.0014938+0.00097973i,-8.8603e-06+0.0020485i,0.0011557+0.0037008i,0.0015879+0.0038996i,0.0021273+0.0020098i,0.0016591-5.2794e-05i,0.00014464-0.0014831i,-0.00061002-0.0013239i,-0.00036772+1.8761e-05i,4.2803e-05+0.00076157i,0.00043668+0.0009048i,0.00072433+0.00084818i,6.4463e-05-9.2099e-05i,-0.00058427-0.00046974i,-0.00049077+0.00031181i,-0.00070983+0.00035369i,-0.00028755-0.00027673i,0.00036772-0.00032944i,-3.5961e-05+7.8225e-05i,-3.0307e-05-5.7804e-05i,3.2925e-05-0.00044024i,-0.00013119-0.0002299i,-0.00044372-0.00018637i
-0.00051747+0.00042215i,-0.0019896+0.00052889i,-0.0023934+0.0014152i,-0.0013371+0.00083458i,-0.00065755-0.00060825i,-0.00037655-0.00013889i,-0.00056797+0.00066644i,-0.00090797+0.00075149i,-0.00024631+0.00012161i,0.0003939-0.00033312i,0.00060898+0.00028437i,0.00052955+0.00028853i,0.00042033-0.00023392i,0.00030813-0.00062785i,0.00033407-0.0012472i,-6.1336e-05-0.0013688i,-0.00048539-0.0011791i,-0.00042728-0.0005108i,5.009e-05-6.5075e-06i,0.00034377-0.0001598i,-0.00032043-0.00013171i,-0.0002603-2.0738e-05i,5.8171e-05-0.0005862i
-0.00034821+0.0012769i,-0.00045119+0.0011954i,8.1759e-06+0.0018836i,0.0005121+0.002074i,0.0017702+0.0014409i,0.0024+0.00069128i,0.0013714+0.0003118i,0.00091483+0.00052879i,0.0010724+0.00067872i,0.0009592+0.00011488i,0.0010212-0.00051117i,0.0013581-0.00083415i,0.0010934-0.00086436i,0.00066334-0.0010425i,0.0002281-0.0017541i,-0.00016699-0.0014093i,4.8654e-06-7.4148e-05i,0.00018551+0.00019246i,0.00038663+0.00023838i,4.178e-05+0.00040911i,-0.00065735+0.00033862i,-0.00032915+7.7032e-05i,-0.00038819+3.3987e-07i
0.00021128+0.00051051i,-0.00057044+0.0001423i,-0.0016751+0.00090762i,-0.0017544+0.0010608i,-0.00050809+0.00029489i,-0.00011072+0.00042158i,-0.0008475+0.00071714i,-0.00074367+0.00046028i,0.0001337+0.00066469i,0.00017508+0.00046104i,0.00018809+0.0002292i,0.00043699-0.00019636i,4.0793e-05-0.00082953i,4.2228e-05-0.001286i,0.00028749-0.0011258i,0.00031114-0.00089194i,0.00062088-0.00046223i,4.5481e-05+0.00011322i,-0.00019197+0.00055822i,0.00066102+0.00055675i,0.00097693+0.00034208i,0.00077977+0.00093978i,0.00054216+0.0014405i
-0.00037745+0.0011865i,0.0012314+0.00061558i,0.0021068+0.00090535i,0.0021767+0.0014879i,0.0014805+0.00081741i,0.00034014-0.00075355i,2.2748e-05-0.0005277i,2.422e-05+0.00052115i,0.00075899+0.00036177i,0.00077151+0.00107i,-0.0004313+0.0011577i,-0.0012775-0.00026489i,-0.00057044-0.00095562i,0.00023497-0.001131i,0.00015796-0.00044522i,-0.00013635-3.8739e-05i,-0.00047583-0.00038858i,-0.0007434-0.00028559i,1.8256e-05+0.00048989i,0.00066672+0.0014466i,0.00057776+0.0010894i,0.00058823+0.00042266i,0.00021305+2.1174e-05i
-0.0002828-0.00067925i,0.00041658+2.2187e-05i,-0.00064278+0.00019465i,-0.0008008+8.0475e-05i,0.00047999+0.000834i,0.0011835+0.00096613i,0.00064847+0.00036548i,0.00013484-0.00031093i,0.0005852-0.00078609i,0.00057104+0.00060548i,0.00032725+0.0015363i,0.00076854+0.0011492i,0.00097465+0.00037023i,0.0004718+0.00011058i,-0.00028239+0.00031894i,-0.00019693+0.00026339i,-0.00016239-0.00060076i,-0.00035257-0.00078507i,0.0004304-5.8747e-05i,0.0014857+6.5412e-05i,0.0014752+0.0003804i,0.00059459+0.00048736i,0.00034186-1.1016e-05i
0.00044877-0.00076324i,-5.0582e-05-0.00096555i,-4.8026e-05-0.0010948i,-0.0011481+0.00055339i,-0.0016452+0.001299i,-0.00063443+0.00048997i,-8.7188e-06+0.00065479i,0.00032282+0.00026447i,0.00051862-0.00031832i,0.00058742+8.0987e-05i,0.00020389+0.00054783i,0.00089812+0.0006786i,0.0015462+0.00011344i,0.00085786-0.00052392i,0.00035677-0.00058498i,0.0002458+0.00043107i,-0.0002684+0.0004335i,-0.000458+3.282e-05i,0.00044471-2.8274e-05i,0.0015305-0.0002523i,0.0012583-0.00023643i,0.00014264-7.3684e-05i,0.00030251-5.359e-05i
-0.0010673-0.0020384i,-0.0016792-0.0016098i,-0.0037024-0.00096433i,-0.0033927+0.00073877i,-0.0020235+0.0019108i,-0.00058247+0.001415i,0.00069315+0.0011789i,0.0012339+0.00011464i,0.00097541-0.0006447i,0.00028861-0.00014428i,0.00046192-0.0004788i,0.00028159-0.0012127i,0.00017595-0.0014422i,0.00094666-0.0013752i,0.00035493-0.0011672i,-0.00049079-0.00038043i,-0.00041699-0.00029157i,-0.00049923-0.00068684i,-0.00017797-0.00048717i,-0.000591-0.00022486i,-0.0010788+6.2162e-05i,5.5292e-05-0.00018177i,0.00044144-4.7961e-05i
0.00089433+0.00096947i,0.00065262+0.0011218i,0.0011409+0.0014098i,0.0014237+0.0014674i,0.0014287+0.00059448i,0.00077273+0.00048272i,-0.00045315+0.00053944i,-0.00017323+0.00012044i,0.00078604-5.8432e-05i,0.0010096+0.0001145i,0.00084825+0.00031808i,0.00069234+7.172e-05i,0.00012525-0.00052218i,-0.0010529-0.00051618i,-0.0012301-0.00040981i,-0.00056209-0.00015149i,-2.405e-05-0.00025393i,0.00069605-0.0011654i,0.00058898-0.00085758i,-0.00025075-0.0003382i,-0.00040134-0.00017394i,0.00021987+0.00025457i,0.00077691+0.0005089i
0.00079574+0.001107i,-0.00025314+0.00036951i,-8.5654e-05+0.00049182i,-0.00010651+0.00057158i,-0.00039879-9.9745e-05i,4.7475e-05-6.1103e-05i,7.5377e-06+0.00062735i,-0.00017769+0.00075643i,-0.00048529+0.00088584i,-0.00045476+0.00092279i,0.0001023+0.00052053i,0.00048357-0.00030847i,0.00031894-0.00057683i,-4.1322e-05-0.00027341i,-0.0004248+0.00016741i,-0.00085982+0.00056808i,-0.00045264-0.00027098i,0.00051986-0.00011424i,0.00085218-3.5728e-05i,0.00080006+3.5078e-05i,0.000702+0.00072609i,0.0005544+0.00084177i,0.00075362+0.00047646i
0.0010533+6.1691e-05i,0.0014882+0.00045118i,0.0020473+0.00084783i,0.0012858+0.00086412i,0.00073302+0.00054243i,0.00059519+0.00073279i,-9.748e-05+0.00058564i,-2.1825e-05+0.00032768i,0.00030809-0.00021364i,0.00097759+1.4105e-05i,0.00090545+0.00086098i,-6.2249e-05+0.00053046i,-0.00031262-0.00048647i,0.00010719-0.0012991i,-0.00011041-0.001807i,-0.00017643-0.0012048i,0.00013086-0.00058448i,0.0002472-0.00034998i,0.0003495+0.00015646i,9.0029e-05+0.00021609i,0.00019534-0.00015881i,0.00085026+0.00014461i,0.00029367+0.00066396i
0.001391-0.00056587i,1.0156e-05-0.00062072i,-0.001077-0.00046175i,-0.00066874-0.00058909i,7.2089e-05-0.00039029i,-5.2518e-05+0.00019923i,5.3777e-05+0.00015154i,0.00094633-0.00057147i,0.0012273-0.00077132i,0.00076215-0.00046374i,0.00046703+3.7088e-05i,0.00067484+0.00031938i,0.00060122-5.578e-05i,0.00018854-0.00073169i,-0.00015263-0.0011155i,-8.3091e-05-0.00055283i,3.646e-05+0.0002691i,0.00055029+0.0001763i,0.00098406+0.00063636i,0.0014683+0.00033871i,0.0013993-0.00041974i,0.0012861-0.0004085i,0.0015406-0.00071683i
-0.00072625+0.0013537i,2.8367e-05+0.0016257i,0.00042347+0.0014021i,0.00079081+0.0012173i,0.00065327+0.00038019i,0.00077249-0.00035951i,0.00063925+0.0002007i,-0.00016105+0.00055176i,3.7765e-05+0.00019708i,3.2626e-05+0.0011059i,0.00024626+0.0013909i,0.001069+0.00055571i,0.0013256-0.00070594i,0.00014867-0.00093227i,-0.00059953-9.4644e-05i,-0.00053264-4.4097e-05i,-0.00047639-8.4421e-05i,-0.00021894+0.00072138i,0.0001613+0.00080274i,0.0005561+0.00048999i,0.00052258+0.00071266i,0.00018816+0.00042648i,7.6203e-05-3.692e-05i
0.00042508+0.0012516i,-0.00047677+0.0012865i,-0.00043046+0.0016645i,7.1033e-05+0.0010507i,0.00094179+5.9617e-05i,0.00052717+3.7469e-05i,0.00036476+0.0005695i,0.00055998+0.0011063i,0.0011171+0.0010743i,0.0022095+0.00030539i,0.001849-2.7806e-05i,0.00047395+3.199e-05i,0.00064422-0.001136i,0.0008631-0.0019002i,0.00015827-0.0014442i,-0.0005648-0.00051668i,-0.0007849-0.00011401i,-0.00035084-0.00069343i,0.00031991-0.0009009i,0.00072559-0.00057382i,-0.00026912-0.00025953i,-0.00086413+0.00028137i,-0.00047982+0.0010212i
-0.00035121-7.4722e-05i,-0.00020224-0.00043488i,0.00014766-0.00072206i,0.00042719+0.0001317i,0.00046078+0.00034907i,0.00039382+0.00070748i,9.8373e-05+0.0014126i,-0.0003328+0.0012325i,7.6192e-05+0.00088101i,0.00015541+0.00051632i,-0.00014418+0.00035151i,0.00019091-0.00028762i,0.00094594-0.0017227i,0.0012089-0.0016724i,0.0010072-0.00040832i,0.00084624+0.00031588i,0.00066022+0.00032404i,0.00012452+0.00021645i,-0.00031995+0.00060378i,0.00025352+0.0011497i,0.0011614+0.00087669i,0.0010195+0.00055102i,0.0003332+0.00073455i
-0.0023575-0.00051686i,-0.0030119+0.00070909i,-0.0033238+0.0025529i,-0.0018311+0.0031738i,0.0001443+0.0029011i,0.0008082+0.0016983i,0.00095423+0.00010979i,0.0008454-0.00089318i,5.7994e-05-0.00015358i,-0.00058421+0.0008966i,0.00012109+0.00083975i,0.00047411+0.00018762i,-0.00024586-0.00062306i,-0.0013688-0.0013733i,-0.0019678-0.0021532i,-0.0012362-0.0019514i,-0.00048649-0.001535i,-0.00034781-0.0010221i,-0.00048062-0.00058828i,0.00010231-0.00019236i,0.00097057+0.00053739i,0.00073286+0.0010473i,0.00047342+0.0012823i
-0.0012612+0.00095643i,0.00048834+0.00082372i,0.00069559+0.0017806i,-0.00031304+0.0022349i,0.00032392+0.0015596i,0.00055185+0.00075519i,-0.00016841-0.00043173i,0.00018968-0.00065082i,0.0010931+0.00033828i,0.0011061+0.00039456i,0.00051854-0.00038467i,0.00033775-0.00059049i,0.00018062-0.00063434i,6.7999e-06-0.00043074i,-0.00079495-0.0003192i,-0.0010916-0.001127i,-0.00014691-0.00086982i,0.00055095-0.00039543i,0.00037295-0.00068745i,0.00065143-0.00047023i,0.00069434-0.00032237i,-0.0001369-0.00031456i,-4.2467e-06-7.6576e-05i
0.0011163-0.00013476i,-0.00044932-0.00010291i,-0.0010024+0.00060605i,-0.00014115+0.00023204i,-3.7638e-05+3.0531e-05i,-0.00060525+0.00089823i,-0.0002822+0.0011006i,0.00022135+0.00067728i,0.00034518-0.00010673i,0.00082967-0.00059028i,0.0015958-0.0010004i,0.0021297-0.00052244i,0.0017533+7.2466e-05i,0.0013244-1.6057e-05i,0.00054688-0.00034085i,0.00018426-0.00049611i,0.00073409-0.00061699i,0.0015528-0.00019827i,0.0019469-0.00032098i,0.0015575-8.136e-05i,0.0014342-0.00016956i,0.00099794-0.00060258i,0.0005163-0.00081547i
0.00085271-0.00012049i,0.0014531+4.383e-05i,0.0021289-6.5318e-05i,0.0017419+3.9802e-05i,0.0010424+0.00049065i,0.00077895+0.00054248i,0.00081875+0.00093302i,0.000583+0.00099704i,0.0007006+0.00094323i,0.0011874+0.00066408i,0.0011562+0.00036036i,0.00033399+0.00048675i,0.00030144+4.6216e-05i,0.00014211-0.00056552i,-0.00014953-0.00045562i,-0.00033061-0.00011722i,-0.00033991+6.7573e-05i,-0.00052111+0.00015704i,-0.00036878+0.00013915i,0.00020624+0.00084613i,-0.00015796+0.00014821i,5.5354e-05-0.00025921i,0.00016773+0.00016447i
-0.00019602+0.0010882i,-0.00083359+0.0022086i,-0.0012186+0.0026667i,-0.00023807+0.002591i,0.0011183+0.0019783i,0.0011553+0.0011066i,0.0007052+6.8522e-05i,0.00065772-0.00011941i,0.00049843-6.6951e-05i,0.00027681-0.00018671i,-6.4863e-05-0.00012959i,-0.00026491-0.0011889i,-7.6766e-05-0.0020767i,-0.00014262-0.0015315i,0.00015311-0.00086395i,-0.00025026-0.00068952i,-0.00079456-0.0006041i,-0.00073914-0.00034574i,-2.0276e-05-0.00010481i,0.00057371-4.5571e-05i,0.00057805+0.00060175i,0.00038932+0.00080581i,-0.00016463+0.00016634i
0.00021201-0.00088284i,0.00024055-0.0015846i,0.00092547-0.00084492i,0.00061792-1.725e-05i,0.00062916-0.00015836i,0.0013027-0.00052322i,0.0011138-0.00017541i,0.00038023+0.00032487i,-0.00039775+0.00040787i,-0.0012434-0.0002039i,-0.00062312+0.00018669i,-0.00043755+0.00095666i,-0.00074099-0.00025342i,-0.00066571-0.001629i,-0.00077806-0.001947i,-0.00052469-0.0010587i,-0.00071928-0.00076032i,-0.00057628-0.00088667i,0.00024399-0.00033558i,0.00066827+0.00034847i,0.00039751+0.00085652i,-0.00049904+0.00089518i,-0.00057889+0.0011441i
0.0013806-0.00043871i,0.00053777-0.00038632i,-0.0011181+0.00065975i,-0.0013763+0.0012753i,-0.0011504-9.5907e-05i,-0.0012369-0.00092705i,-0.00060705-0.00014751i,0.00056443+0.0010156i,0.0011396+0.0016839i,0.00074016+0.0013801i,0.00048741+0.00094696i,0.0008069+0.00018468i,0.0013228-0.00023117i,0.00094494-0.00021729i,-0.00021346-0.00011151i,-0.00012164+0.00053828i,0.0011387+0.00048252i,0.0010805+0.00074667i,0.00040732+0.001104i,0.00051667+0.0015986i,0.00039995+0.0011844i,0.00025735+0.00035167i,3.4229e-05+0.00022592i
