-0.0031781-0.00091124i,-0.0028216-0.00047303i,-0.0027395-4.492e-05i,-0.0015074+0.0013136i,-0.00054726+0.0025665i,-0.00018033+0.0026329i,-0.00031855+0.0020913i,-0.00030248+0.00090469i,9.6115e-05-0.00052587i,0.00014477-0.00084831i,-0.00029381-0.00030435i,0.00016666-8.3854e-05i,9.5209e-05-2.0225e-05i,-0.00090238-0.00044412i,-0.0014409-0.0012887i,-0.00069611-0.0014079i,8.5761e-06-0.00087924i,0.00015301-0.0011906i,8.6567e-06-0.0012697i,-0.00018999-9.4252e-05i,-0.00031462+0.00080773i,-0.0010893+0.00051711i,-0.0012276+2.0332e-05i
0.00032023+0.0013815i,0.00031392+0.0023126i,4.7202e-05+0.0020212i,7.9806e-05+0.00097236i,0.00030636+0.00044187i,2.0509e-05+0.00018625i,0.00046358-0.00053636i,0.00055219-0.0013774i,-0.00025525-0.00093918i,-0.00056452+0.00019742i,-0.00073182+0.00056507i,-0.00097903+0.00075355i,-0.00070555+0.0002824i,-4.4379e-05+0.00013897i,0.00026918+0.00012115i,0.00037271-0.00012522i,8.1572e-05+0.00021426i,-6.4535e-05+0.00045232i,-0.0005179+7.2236e-05i,-0.00018067-0.00058764i,2.4733e-05-0.00065312i,8.093e-05-3.7595e-05i,0.00010957+0.00040767i
-0.0014913-0.00053274i,-0.0002715+0.00067139i,-0.00036017+0.0026192i,-0.00037699+0.0032268i,0.00089687+0.0032353i,0.0016184+0.0024437i,0.00095324+0.00057476i,0.0002633-0.00057645i,-0.00022095-5.0578e-05i,-0.0006676+0.00022966i,-0.00088914-3.3877e-05i,-0.00088528+5.3829e-05i,-0.00047705+3.0075e-05i,0.00026766-0.00018176i,0.00014724+0.00022484i,-0.00034375+0.00052199i,-0.00023937+0.00030448i,-6.6109e-05-0.00049238i,2.1541e-05-0.0010668i,-5.621e-05-0.001165i,-0.001186-0.0015236i,-0.0010707-0.0009564i,-0.00014092+4.1197e-05i
-0.0010499+0.0014136i,-0.00036368+0.0028587i,0.00047106+0.0026328i,0.0018448+0.0013242i,0.0023489+0.00054523i,0.0017477-0.00054772i,0.00077612-0.00084592i,-0.00015821+9.9858e-05i,-0.0003016+0.00053514i,-5.3553e-05+0.00087817i,-0.00033201+0.00042325i,-0.0008316+3.4511e-05i,-0.00053682+0.00018079i,-0.00029462+0.0004472i,-0.00042459+0.00033353i,5.9591e-05+0.00044722i,0.00046673+0.00041985i,0.00030415-0.00075904i,0.00023758-0.0015641i,-0.00036649-0.00046189i,-0.00062035+7.6127e-05i,-0.00050255+4.9134e-05i,-0.00051904+0.00027769i
0.0018446-0.00065283i,0.0011433-0.00031685i,-0.00039378+0.00012448i,-0.0013635+0.00093559i,-0.00050615+0.0016581i,0.0011518+0.0013154i,0.0016341+0.0002515i,0.00077615-0.00021731i,-6.386e-05+1.1045e-05i,-0.00024284-0.0005218i,-0.00072596-0.00095898i,-0.00099024-8.9503e-05i,-0.00031053-0.00015959i,0.00033473-0.0010299i,0.00014803-0.00048238i,-0.00021573+0.00017605i,-2.8135e-05-0.00016255i,0.00014905+0.00019629i,0.00022832+0.00026191i,-6.8671e-05+0.00015473i,-0.00074028+0.000484i,0.00010661+0.0011626i,0.00044494+0.0015809i
-0.0020632+0.00049804i,-0.0021266+0.0020154i,-0.0018536+0.0015227i,-0.0002287+0.00038777i,0.00069112+0.00037652i,0.00071392+0.00021113i,0.00049501-0.0001034i,2.7382e-05-0.00048879i,-0.00043521-0.0010513i,-0.00054641-0.0011031i,-0.00053965-0.00066556i,-0.00091604+5.1699e-05i,-0.00050285-3.785e-05i,0.00078037-0.001055i,0.00083342-0.0011003i,0.00011633-0.00064595i,-0.00025285+6.8944e-05i,-2.703e-06+0.00038037i,0.00059128-9.2181e-06i,0.00073876-0.00030041i,0.00047163-5.2429e-05i,0.00094587+0.00027969i,0.0012719+0.00037232i
-6.931e-05+0.00027583i,-9.0451e-05-0.00055156i,2.7888e-05-0.00074039i,0.0006454+8.2877e-05i,0.00040652+0.00046034i,0.00091346-0.00091645i,0.0011956-0.0012209i,0.00018546-0.00028526i,-0.00071649-0.00034599i,-0.0010677-0.00063307i,-0.00066582-0.00014042i,-0.0004962+4.134e-05i,-0.00047134+1.1959e-05i,-0.00022135+0.000135i,0.00011015+0.00063746i,1.1284e-05+0.0010374i,-0.00023128+0.00045556i,-0.00043191-0.00042956i,0.00038913-0.00052266i,0.00038524-0.00039137i,-0.00019811-0.00028127i,-3.588e-05+0.00010955i,-1.8792e-06+0.001284i
-0.0015496+0.0017426i,-0.0013844+0.0024846i,-0.0005216+0.0023498i,0.00054651+0.0011916i,0.0010127+0.00099003i,0.0010918+0.001038i,0.00088514+0.0010232i,0.00044288+0.00083057i,-0.00013112-0.00020288i,6.9641e-05-0.00013992i,0.00020063+0.00012671i,-0.00037322-0.00035001i,-0.00036828-0.00069663i,0.00074592-0.00081249i,0.00087545-0.00021266i,0.00030317-0.00017335i,0.00032539-0.00036465i,0.00011524-8.5753e-05i,0.00043712+6.8312e-05i,0.00078359-7.1391e-05i,0.00030712-0.00023209i,-0.00048448-0.00021088i,-8.6629e-05-0.00047293i
0.0010523-8.9995e-05i,0.001282-0.0016313i,0.0011892-0.0017927i,0.00046138-0.0007375i,0.0007947-0.00036073i,0.0018017+0.00053319i,0.0017049+0.0005673i,0.00035489-0.0010428i,-0.00051274-0.00172i,-0.00038528-0.0011892i,-0.00051516-0.00054877i,-0.00089425+0.00011709i,-0.0006136+0.00055114i,0.00023408+0.00055871i,0.00072283+0.00068125i,0.00030073+0.00018717i,-0.00014342-0.00054311i,-9.7795e-05-0.00015898i,-0.00054649-0.00043492i,-0.00038574-0.00066658i,0.00029453+0.00027124i,0.00094208+0.00093974i,0.00048085+0.00080614i
-0.00078476+0.001993i,-0.0013595+0.0030035i,8.1706e-06+0.00215i,0.00066802+0.00097558i,0.00054887+0.00045689i,0.0015003-0.0004588i,0.0018956-0.00079453i,0.0010711+1.83e-05i,0.00066788+4.6403e-05i,0.00046867-0.00040321i,-0.00027749-0.00025272i,-0.00038304-0.00032127i,-0.00017376-0.00048417i,0.00054282-0.00042486i,0.00025988+7.7007e-05i,-0.00065909+0.00035271i,-0.00028138+0.00078148i,0.00038116+0.00066799i,0.00013703+0.00038807i,-0.00054587+0.000714i,-0.0004307+0.00051646i,-0.00037159+0.00024169i,-0.00016026-0.00043404i
-2.1383e-05-0.0002153i,-0.00015778-0.00037152i,-0.0010632-0.0010422i,-0.00070868-0.00066554i,0.00033144+6.7087e-05i,0.00070317+0.00012048i,0.00075645+0.00019126i,0.0006208+0.00010813i,0.0005956+8.8805e-05i,0.0010474-0.00011745i,0.00052634-0.00050027i,-0.00041399-7.7166e-05i,-3.5217e-05+6.9897e-05i,-0.00018132-0.00018428i,-0.00037815-0.0002432i,-0.00022221-0.00043934i,-0.00020585-0.00014158i,9.6994e-06-0.00013155i,0.00013598-0.00018697i,-0.00050378+0.00065295i,-0.00049458+0.00064629i,-0.00020863+2.1636e-05i,-0.00050206-0.00062115i
-0.0018313+0.00091397i,-0.002035+0.0030478i,-0.0018226+0.0030322i,-0.00079257+0.0015217i,0.00059786+0.0015711i,0.0010653+0.001965i,0.00081579+0.00098124i,0.00051012-3.7361e-05i,0.0004816+8.0386e-05i,0.00028903+0.00020262i,-0.00013208-0.00033312i,0.00058674-0.00034483i,0.00093996-9.6604e-05i,0.00069695-9.9749e-06i,0.00032306-0.00038486i,-0.00013263-0.00043116i,0.00027642+0.00027443i,0.00063604+0.00066538i,0.00069931+0.00012651i,0.0005237+0.00033989i,-0.00054799+0.00091214i,-0.00073053+0.00053557i,-0.00021256-0.0002476i
0.00083325-0.00018297i,0.00057082+0.00059218i,0.00027749+0.00096775i,0.0005143+0.0011938i,0.00062496+0.0012728i,0.0011729+0.0011672i,0.00048869-0.00019159i,-0.0007845-0.0007373i,-0.00069698+0.00016365i,-0.0003185+0.00043158i,-0.00010204+6.3829e-05i,-3.7076e-05+0.00023854i,0.00015362+0.00070514i,0.00042122+0.00061795i,-0.00061665+7.6844e-05i,-0.00089406-3.2831e-06i,0.0002498+0.00050354i,0.00047352+0.0011039i,-0.00025733+0.0005903i,0.00010201+0.00013198i,0.00051912+0.00030386i,0.00092145+0.00050001i,0.0012458+0.00025346i
