0.0003227-0.0012841i,0.00053975-0.0010518i,-0.00011063-0.00047495i,-0.0014448+0.00043989i,-0.0027179+0.0010053i,-0.0023904+0.0011776i,-0.00052352+0.0015691i,0.00058588+0.0016822i,0.00070794+0.00048901i,0.00068606-0.00037008i,0.00059236-0.00013889i,0.00054013-0.00051i,0.00053002-0.0012428i,0.00068602-0.0010708i,0.00076077-0.00025402i,0.00059945+0.0001703i,0.00054357+0.00038816i,0.00063575-1.0359e-05i,0.00026074-0.00066581i,-0.00061696+5.5144e-05i,-0.00031764+0.00074505i,0.00069837+0.0006805i,0.0006997+0.00061128i
-0.0010825+0.00080638i,-0.00077457+0.00047792i,-0.00041642-8.9516e-05i,-0.00028993-0.00010375i,-0.00064564-0.00011467i,-0.00094709-0.0005444i,-0.0011161-0.00010074i,-0.00093204+0.00044393i,-0.00048782+0.00073145i,0.00039014+0.00058184i,0.0010166-0.00050544i,0.00085712-0.0006751i,-6.076e-05+0.00023728i,-0.00037366+0.00058997i,0.00022554-0.00010652i,0.00065083+3.1429e-05i,0.00033434+0.00033267i,-1.811e-05-0.00033973i,-0.00032448-0.00079023i,-0.00038717-0.00071219i,-0.00018996-0.00076363i,-0.00018584-0.0012317i,-0.00018016-0.00036788i
0.0023231+0.00084697i,0.0017217-9.031e-05i,0.0016676-0.00093785i,0.0013451-0.00083952i,-0.00056961-0.00046542i,-0.00070244-0.00012154i,0.00028974+7.6083e-05i,0.00053919-0.00026333i,0.0004655-0.00058133i,0.00030151-0.00025178i,0.00023599+0.00031015i,-3.7326e-05+0.00031398i,-0.00031516+9.2068e-05i,-0.00021505-0.00037886i,-0.00037175-0.00055082i,-1.2629e-05+7.4385e-05i,0.00063144+0.00071366i,0.00040129+0.0012493i,-0.00012948+0.00096952i,4.9456e-05-7.4355e-05i,-4.1209e-05-0.00030032i,-0.00027885-0.00019715i,-0.00016408-0.00023293i
8.1089e-05+0.0018566i,-0.00057985+0.0017123i,-0.00098589+0.00085013i,3.4978e-05-0.00052284i,0.00058503-0.0012358i,-0.00062062-0.000926i,-0.0014293-0.00013872i,-0.0015653+0.00052861i,-0.00046103+0.00022816i,0.0010668-0.00018081i,0.00028167-0.00087155i,-0.00052595-0.0010307i,-0.0011356-0.00027322i,-0.00089895+0.00093323i,-0.0005602+0.0016177i,-0.00047741+0.00053171i,-0.000557-2.9107e-05i,-0.00081233+3.6824e-06i,-9.4895e-05-3.0158e-05i,0.00021555-0.00011818i,-0.00049689-5.7254e-05i,-0.00023773+0.00060641i,-0.00019746+0.00044793i
-0.00027665-0.00091882i,-0.00054326-0.00028229i,-0.00068591+0.00047947i,-0.00029881+0.0011507i,0.00012531+0.00049861i,0.00070302+0.00015415i,0.00068619+0.00026192i,0.00028189+5.2613e-05i,-4.9054e-05-0.00037127i,-0.00019305-0.00053035i,-0.0002204-0.00046652i,-7.9635e-05+0.00010726i,-0.00080922+0.0012164i,-0.0015272+0.00097618i,-0.00077637+0.00048482i,0.00050587+0.00018716i,0.00082523-0.00014344i,5.2867e-05+0.00024838i,-0.0007302+0.00090364i,-0.00020506+0.00058104i,-7.6794e-05+0.0002641i,-0.00052145+0.00031877i,-0.00055529+0.00026439i
-2.8086e-05-0.00071488i,1.2093e-06-0.00056509i,0.00011222-0.00062598i,3.4241e-05-0.00077073i,-0.00048572-0.00024286i,-0.0012758+0.00042586i,-0.00069627+0.00044006i,0.00030941-0.00015344i,-0.00013463-6.104e-05i,-0.00086973+0.0016142i,-8.3882e-05+0.0018812i,0.00065109+1.5494e-05i,0.00011185-0.00099329i,-0.00019773-0.00076916i,-0.00010453-0.00065448i,-0.00021578+0.00013981i,9.146e-07+0.0012417i,0.00010339+0.00038043i,-0.00012788-0.00053566i,0.00012614+0.00013752i,-4.5983e-05+0.0003914i,-2.7117e-05-0.00027259i,0.00049915-0.00059259i
-0.0013122-0.00047366i,-8.2328e-05-0.00042312i,0.00033132+0.0010105i,-9.2108e-05+0.001052i,-8.3638e-06+0.00024642i,0.00016337-0.00045031i,0.00037019-0.00076942i,0.00032093-0.00072546i,0.0002644-0.00024709i,0.00045403+0.00018446i,0.0005779+0.0003886i,-0.00010948-0.00010146i,-0.001173-0.00045084i,-0.00065575-0.00053477i,9.2416e-05-0.0012294i,0.000348-0.001503i,0.00047467-0.0010516i,-0.00044692-0.00078759i,-0.00071756+0.00027446i,-0.00069395+0.00038802i,-0.00020751-0.00077954i,0.00040452-0.0010048i,0.00031863-0.00059446i
-0.0011963+0.0001674i,0.00085349+0.00099247i,0.001707+0.00052695i,0.00051516+0.001264i,-0.00090582+0.0012868i,-0.00054617+0.00010392i,-4.8281e-05-0.00017576i,3.6247e-05+8.7257e-06i,2.0638e-05+0.00029464i,-2.1969e-05+0.00034676i,-0.00042154+2.9607e-05i,-0.00068056-7.4553e-05i,-0.00057406-0.00024146i,4.8259e-05+0.00010202i,1.4647e-05-3.053e-06i,-0.0004058-6.4781e-05i,-7.1143e-05+0.00035634i,0.0001623+0.00065346i,0.00020423+0.00031543i,6.6633e-05-0.00077471i,-4.6271e-05-0.00067446i,-0.00019723+0.00043784i,0.00020324+0.0011209i
-0.0011792+1.4875e-05i,-0.0006819-0.00099625i,-0.0013905-0.00092728i,-0.0017843-0.0002045i,-0.00078243+0.00041134i,-0.00032328-6.9748e-05i,-0.00074037-0.00021151i,-0.00090633+0.000388i,-0.00014607+0.00021319i,0.00024098+0.0002978i,-0.00057593-0.00016123i,-0.0011241-0.00095827i,-0.0014221-0.00064663i,-0.0015298-0.00057338i,-0.00065242-0.0011988i,0.00023429-0.0012814i,0.0003131-0.00081313i,-0.00042958-8.3864e-06i,-0.00043622-0.0004344i,0.00035413-0.00089291i,0.00030659-0.00036598i,0.00034081-0.00039798i,0.00037052-0.0004473i
-0.001171-0.00094519i,-0.00017924-0.00060253i,0.00032594-0.00023862i,0.00036964+0.0010109i,0.00042008+0.0017556i,0.00025548+0.00095042i,-0.00033503-0.00044576i,-0.0004499-0.0010388i,-0.00028234-0.00027825i,-2.3308e-05+0.00033967i,0.00050507+3.6624e-05i,0.0001974-0.00010498i,-0.0004233-0.00025988i,0.00010464-8.135e-05i,0.00039906-0.00042329i,0.00044718-0.00071138i,-0.00014379-0.00014691i,-0.0004375-0.000129i,-0.00014751-0.00020559i,-6.4482e-05-1.5809e-05i,-0.00025739-0.0006498i,-0.00047697-0.00093625i,-0.00037145-0.00030571i
-0.00074235-0.00031014i,-0.0012791-0.00028421i,-0.0013615-0.00051147i,-0.00081103-0.00057774i,-0.00019343-0.00052195i,-0.00089708+0.00022493i,-0.0013525-0.00026301i,-0.00147-0.00088253i,-0.00068705-0.0010164i,0.00020176-0.00072269i,0.00027005-0.00025109i,0.00018868+5.273e-05i,-0.00060116+7.4191e-05i,-0.00035713+0.00022538i,0.00040992+0.00027927i,5.9195e-05+0.00035977i,0.00026502+0.00014838i,0.00033996-0.00061838i,0.00022267-0.00081551i,8.5901e-05-0.00063244i,7.058e-06-0.00012046i,2.1221e-05+0.00021307i,-0.00018037-9.4283e-05i
-0.0004644+0.00014791i,-0.0002285+6.8285e-07i,-0.0001253+0.00038488i,0.00014322+0.0003527i,0.00010895+0.00029149i,0.0001621+0.00040836i,0.00028972+0.00063858i,8.4728e-05+0.00074468i,1.2482e-05+0.00045494i,5.5021e-05+7.9162e-05i,-0.00015002-0.00026444i,-0.00068538-0.00048007i,-0.0011078-0.00095931i,-0.0011027-0.0008097i,-0.0010112-0.0001525i,-6.7952e-05+0.00039132i,0.00070203+0.00074059i,0.00045873+0.00052125i,0.00024124+0.00047585i,-7.3361e-05+0.00055293i,-2.7243e-05+0.00049108i,-6.2909e-05-4.8696e-06i,7.9675e-05-0.00026112i
0.00039161-0.0010341i,0.0010868-0.00097226i,0.00035798-0.001038i,0.00016187-0.00077308i,5.0934e-05-0.00063025i,-0.00074093-0.00011179i,-0.001513+0.00026767i,-0.0013338-0.00011039i,-0.00047462-0.00013183i,-0.0003973+0.00018495i,-5.6982e-05+0.00081819i,0.00073376+0.0008673i,0.0009795+0.00041347i,0.00051259+0.00015596i,-0.00028631+0.00033584i,-3.3425e-05-0.00019397i,0.00042044-0.00055019i,0.00027253-0.00013315i,-6.1671e-05-0.00025612i,6.222e-05-0.00080056i,-0.00033455-0.00093469i,-0.00093223-0.00022846i,-0.00078294+9.7777e-05i
-0.00010786-0.0013148i,7.533e-05-0.00069172i,-5.4248e-05-0.00042158i,-0.0004948-0.00017571i,-0.00021761+0.00039424i,0.00056541+0.00081731i,0.00061829+0.00059757i,0.00012289+0.00066838i,-4.1953e-05+0.00066249i,0.00043586+0.0005899i,0.00092622+0.00042065i,0.001138+1.212e-06i,0.00071973+0.00031916i,-0.00028874-0.0007059i,-0.00056411-0.0010558i,0.00036705-0.00066353i,0.00099009-0.00072832i,0.00050478+3.1848e-06i,0.00020032+0.00018341i,0.00015765+0.00060195i,-0.00014226+0.00053803i,0.00046792-0.00077499i,0.0012523-0.0014552i
0.0010047+0.00043235i,0.00075972-0.00019918i,0.00032437-0.00027154i,-0.00071187+0.00022636i,-0.0015654+0.00037935i,-0.0013125+0.00018878i,-0.00076922-6.76e-06i,0.00033056-0.0005467i,0.0010084-0.00038904i,0.00052659+0.00034928i,0.00064228+0.00030331i,0.00087824+0.0002591i,0.00073256-6.407e-05i,0.00073444+0.00020461i,0.00052769+0.00040587i,0.00029034-0.00028935i,-0.00019789-0.00023851i,-0.00041851+0.00044437i,-0.00063363+0.00072757i,-0.00030611+9.4714e-05i,0.00043706-0.00026153i,0.0011398+0.00028962i,0.0010461+0.00076135i
0.00019999-0.00096938i,-0.00028854-0.00095329i,-0.00032307-0.00048455i,-0.00077835-0.00025716i,-0.001231-0.00056231i,-0.0012039-5.5531e-05i,-0.00090304+0.00031125i,-0.00083123-7.2586e-05i,-0.00070963-0.00044961i,0.00012258-0.00052678i,0.00044234+0.00066621i,-0.00050871+0.0016758i,-0.00060459+0.0015568i,0.00031079+0.00078974i,0.00043489+0.00044769i,-0.00028163+0.001001i,-0.00059174+0.00068701i,-0.00021333+0.00032787i,0.00050044+0.00016277i,0.00035577-0.00022409i,-2.642e-06+0.00031738i,0.00031784+0.0011429i,0.00092337+0.00072303i
0.00176+0.001839i,0.0017466+0.00094601i,0.0023365-0.00045242i,0.0022034-0.0011908i,0.00090711-0.0016883i,-3.3392e-05-0.00079496i,0.0007334+0.00039616i,0.0016416+0.00062909i,0.00089559-0.00036288i,-4.4926e-06-0.00062985i,-0.00041973-0.00062646i,-0.00010255-0.00062332i,0.00049677+0.00053908i,0.00028647+0.0010799i,-0.0002165+0.00064678i,-0.00025064+0.00036389i,-3.0956e-05+0.00026559i,-5.9657e-05+0.00026678i,-0.00053551+0.00039582i,-0.0003918+0.00049593i,-4.1044e-05+0.00049079i,-0.00068088+0.0002942i,-0.000769+3.4141e-05i
0.00097463-0.00071403i,9.9161e-05-1.0582e-05i,-0.00076653-0.00017953i,-0.0016604-0.0014013i,-0.0020133-0.0012286i,-0.0013511+0.00027158i,-0.00049045+0.00083649i,0.00040549+0.00063057i,0.00056553-0.00039164i,0.00013628-0.0016072i,8.6112e-05-0.0010887i,0.00010617+1.6571e-05i,0.00033067+0.00092866i,5.8268e-05+0.00064272i,-0.00062493-0.00033943i,-0.00046237+0.00048284i,0.00024996+0.0014017i,-0.00042899+0.00050521i,-0.00094528-0.0011099i,-0.00013885-0.0012599i,0.00077321-0.0011041i,0.00021613-0.00041747i,-0.0004229-2.9336e-07i
-0.00036547+0.00078166i,-0.0013486+0.00045538i,-0.00010724+0.00043046i,0.00093841+0.0010524i,-0.00019251+0.00087936i,-0.0010141+0.00019389i,-0.00050175-0.00036316i,1.4498e-05-0.00064512i,-0.00015663-0.00018118i,-0.00030329+0.00048434i,6.414e-05+0.00072714i,0.00021285+0.00049702i,0.00028419-0.00024196i,8.9285e-05-0.00092678i,-0.00077788-0.00076699i,-0.00080997-3.8766e-05i,-6.9349e-05+0.00018739i,0.00031417+0.0009504i,-0.00025853+0.0012503i,-0.00048992+0.00049391i,-0.00074488+0.00036427i,-0.0009222+0.00027173i,-0.00066527+0.00011816i
-0.00044917+0.00098725i,0.00023916+0.0010169i,0.0010509+0.00067155i,0.0010432-0.00023668i,0.00080887-0.00047551i,0.00033519+6.6064e-05i,0.00030119+0.00032046i,-0.00011203+0.00030208i,-0.00042482+0.00051718i,-0.00021047+0.00018682i,0.00017005-1.1863e-05i,0.00043554-4.1156e-05i,0.00035681+0.0005743i,-0.00048899+0.0012754i,-0.0013632+0.00062062i,-0.0012702+1.9417e-05i,-0.00022738+0.00013378i,0.0010769+0.00068564i,0.0010183+0.0011856i,-0.00014574+0.0010746i,7.1333e-05+0.00058207i,0.0003846+0.00027438i,-0.0010135+6.1129e-05i
-0.0025917-0.00081756i,-0.0017565+0.00045021i,-0.00042597+0.0012981i,0.0003005+0.0019868i,0.00037071+0.0019799i,0.0002126+0.0013381i,-0.00049485+0.00062742i,-0.00075583-0.00018043i,-0.00092115-0.00035277i,-0.00086255+0.0001977i,-0.00048874+0.00079401i,6.672e-06+0.00032464i,-7.8945e-05-0.00080649i,7.7995e-06-0.00087509i,-0.00011072-0.0003021i,-0.00095224-0.00062111i,-0.0013254-0.0011905i,-0.00117-0.00083912i,-0.00048876-7.194e-06i,-0.00013469+0.00046073i,-0.00089565+0.00021633i,-0.00057799-0.0002232i,-0.00029473-0.000307i
9.7236e-06+0.0014636i,-0.00027863+0.00077047i,9.6857e-05+0.00087035i,-0.00082522+0.00068227i,-0.0020127+3.1345e-05i,-0.0014763+0.00057344i,-2.0578e-05+0.00082622i,0.0010202+0.000584i,0.00057463-5.105e-05i,-0.0001275-0.00038743i,-0.00018475-1.7805e-05i,-0.00032615-0.00029383i,-8.1177e-05-0.00048162i,0.0004621-0.00056909i,0.0002132-0.0010102i,-5.3185e-05-0.00087715i,2.1069e-05-0.00014145i,0.00019879-0.00037634i,0.00051847-8.3434e-05i,0.00022173+0.0011575i,6.0816e-05+0.00083335i,0.00019981+0.00011704i,0.00060906+0.00058586i
-0.0017018+0.00080545i,-0.0024474+0.0020306i,-0.0018316+0.0029287i,-0.0011815+0.0026642i,-0.0012155+0.0017208i,-0.0013249+0.00028388i,-0.00037025-0.00017258i,0.00040599-0.00051496i,0.00022813-0.00096733i,-0.00059914+0.00026241i,-0.00059987+0.00060127i,1.4556e-05+2.2308e-05i,-0.00011486-0.00065229i,-0.00049769-0.00075357i,-0.0010414-0.00054803i,-0.0013378-0.0011501i,-0.0014007-0.00038243i,-0.0019137+0.0011027i,-0.0012273+0.00049148i,0.00029855-0.00021332i,0.00037409+0.00019434i,-0.00036755+0.0001692i,-0.00049131+8.5568e-05i
0.00033509-0.00087508i,0.00052216-0.0017593i,0.00034191-0.0014428i,0.00054077-0.00092779i,0.00022713-0.00010821i,-0.00043115+0.00034964i,-0.00069052+0.00059368i,-0.00037325+0.00037376i,-0.00027953+0.00035158i,-0.00042611+0.00047214i,-0.0011913-2.8751e-05i,-0.0011317-0.00023482i,0.00011209+8.9565e-05i,0.00031086-0.00015646i,-0.00011473+0.00013821i,-4.6099e-05+0.00051414i,0.00079296+3.8193e-05i,0.00063405-0.00096192i,0.00043773-0.00048286i,0.00034369+0.00020543i,-0.00051747+0.00061541i,-0.00039066+0.00091153i,0.00045809+0.0009251i
0.00013142+0.00047997i,-0.0005366+0.001092i,0.00031245+0.0011638i,0.00039584+0.00083199i,-9.6357e-05+0.00044702i,0.00011504+0.0008192i,-0.00013397+0.00079694i,-0.00031477+0.0006559i,-0.0003144+6.99e-05i,-0.00032756-0.00038817i,0.00017111-0.00067242i,0.0010306-0.00047381i,0.00058386-0.00025568i,-0.00051086-0.00061826i,-0.0009564-0.00068274i,-0.00023503-0.00035663i,1.75e-05-0.00012098i,-0.00076211-0.00031295i,-0.00067467-0.0005291i,-0.00053012-0.00036818i,-0.00024177+0.00016286i,0.00016527+0.00039364i,-0.00025318+0.00060789i
7.2505e-06-0.00044354i,-0.00061276-0.00051571i,-0.0001071-0.00056813i,0.00011221-0.00088405i,-0.00064554-0.00028243i,-0.00079648+0.00042592i,0.00018544+0.00064487i,0.00046235-4.9742e-05i,0.0001604-0.00015513i,-7.5101e-05+0.0003907i,-0.00020255+0.00076771i,0.0002266+0.0003672i,0.00098407-0.00044556i,0.0004071-0.00021643i,0.00066912-0.00042956i,0.00093244-0.00036021i,0.00034604+0.00036398i,0.00024335+0.0002125i,4.2724e-06+0.0003524i,-0.00012115+0.00055102i,1.9477e-05+9.2865e-05i,0.00070633-9.9346e-05i,0.00036075+0.00026765i
-0.00044678+0.0014942i,0.0010597+0.0012574i,0.00098422+0.00034155i,0.0002525+0.00013723i,-0.00025122+0.00068073i,-0.00035797+0.00012794i,-0.0002823-0.00021983i,-0.0003581+0.00022725i,0.00014191+0.00072347i,0.00039745+0.00064163i,-0.0001518+0.00025182i,5.7659e-05-0.00016147i,0.00017581-0.0002667i,-0.00031262-0.00013178i,-0.00026679-0.00018605i,-0.00049725+5.9422e-05i,-0.00056726-0.00011635i,0.00021369-0.00019065i,3.936e-05-0.00037776i,-0.00016456-0.00035701i,0.00047591+0.00033381i,0.00074441+0.00021757i,0.00020275-6.631e-05i
0.00036995+2.3646e-05i,-7.4638e-05-0.00052857i,0.0012648+0.00033943i,0.0017968+0.0013086i,0.0012869+0.00055419i,0.00076285-0.00057546i,-0.00028375-0.00028499i,-0.0007665+0.00021112i,0.00014301-7.8333e-05i,0.00053215+0.00039809i,0.00041103+0.00044021i,0.00019852+5.5504e-05i,-0.00092609-9.5541e-05i,-0.0012499-0.00032505i,-0.00069888-0.00043622i,-0.0011781-0.00038608i,-0.0012763-9.7967e-05i,-0.00080684+0.00046632i,-0.00077897+0.00084003i,-0.00099949+0.00082347i,-0.00014698+0.00069967i,0.00074609+0.00039839i,0.00053089+4.8741e-06i
-0.0013638+0.00097902i,-0.00079855+0.0012462i,-0.00019167+0.0016607i,-0.0013599+0.0020437i,-0.0016164+0.0014811i,-0.0011875+0.00035367i,-0.00069621+0.00030791i,5.7836e-05+0.00068537i,-0.00031648+0.00061786i,-0.00063904+0.00024638i,-0.00017011+7.1515e-05i,0.00078632+0.00019972i,0.0010156+0.00029388i,0.00031024+0.00034802i,1.448e-05-0.0001655i,4.6611e-05-0.00010343i,8.7331e-06+0.00050717i,-0.00026652+8.4463e-05i,-0.00027462-0.00092228i,-0.00019372-0.00021303i,-0.00080932+0.00028184i,-0.001068-0.00048819i,-0.00013532-0.00037233i
-0.0018285-0.00054685i,-0.0015008-0.00098648i,-0.00049593+0.00065024i,0.00035027+0.0014046i,0.00045256+0.0010286i,0.0010125+0.00077635i,0.00075821+0.00011325i,0.00011479-0.0001156i,-0.00012646-0.00051998i,0.00024598-2.7832e-05i,0.00022345+0.00040907i,0.00014676-0.00018123i,-0.00021089-0.0010037i,-0.0010764-0.0015568i,-0.001099-0.001005i,-0.00027941-0.00048928i,0.00049152+1.8777e-05i,0.00037045+0.00024827i,0.0001753+0.00024126i,0.0004933+0.00037818i,0.00066499-0.00029411i,-2.9953e-05-0.00020934i,-0.000557+0.00048392i
-0.00089481-0.0013246i,-0.0014784-0.001432i,-0.001444-0.0012603i,-0.0021352-0.0006728i,-0.0021771-0.00041655i,-0.0015828-0.00037307i,-0.00063516+0.0001578i,0.00035327+0.00065721i,0.00061031+0.00038486i,0.00047475-5.8427e-05i,-0.00020053+0.00070178i,-0.0011604+0.0012791i,-0.0007185+0.0011414i,0.00048157-0.00038418i,0.00071787-0.0013349i,0.0002573-0.00041029i,0.00031742+0.00083411i,0.0010743+0.0005935i,0.00042768+0.00061958i,-0.000514+0.0011287i,-0.00023071+0.00054681i,-0.00016291+0.00072985i,-0.00053755+0.0012803i
-0.00028277+0.00018112i,0.00062397-2.3443e-05i,0.00059457+0.00031825i,0.000565+0.0007331i,0.00038186+0.00042894i,-0.00040537-0.00017066i,-0.00063011-0.00019265i,-0.00047794+0.00013232i,-0.00057976-0.00052134i,-0.00095228-0.00039989i,-0.00092241+0.00035394i,6.9958e-05-0.00059191i,0.00080075-0.00078134i,-0.00017274-0.00012339i,-0.00091605+2.4436e-05i,-0.00064471-0.0001122i,-0.00023942-0.0004518i,2.7843e-05-7.4207e-05i,-5.0496e-05+0.00056282i,0.00034581+0.0003339i,0.000536+0.0002847i,-4.3961e-05+0.00040217i,-0.00033717+7.4025e-05i
