-0.0049482-0.0015119i,-0.004659-0.00046781i,-0.0041745-0.00018813i,-0.0034023+0.001132i,-0.0023726+0.0017543i,-0.00056226+0.00057325i,-0.00080271+0.00053772i,-0.0014162+0.0017786i,-0.00080567+0.0013591i,-0.00020771+0.00052482i,0.00037938+0.00083101i,0.00073432+0.00082366i,0.0010322+0.00039504i,0.001323-5.5876e-05i,0.00061044-0.00045772i,0.00051099-0.00034189i,0.0013498+3.6103e-05i,0.00099284-0.00026667i,6.6612e-06-0.00030218i,0.00013918+0.00067647i,0.00072787+0.00089683i,0.00012146+0.00022802i,-0.00046439-0.0003836i
-0.00070402+0.0010225i,-0.00053512+0.00015809i,-0.00025669-0.001191i,7.8025e-06-0.0017449i,0.00073259-0.0016786i,0.0018623-0.0010003i,0.0017801-0.00057619i,0.0010358-0.00069064i,0.00087011-0.00080834i,0.00060761-0.0011153i,0.00019318-0.000576i,-0.00029473-1.1278e-05i,-0.00036934+0.00025417i,-0.00015519+0.00022403i,-0.00023366-0.00011289i,-6.9585e-05-0.00041187i,2.0968e-05-0.00016278i,-0.00030224+0.00016231i,-0.00016142+0.0001739i,9.8118e-06+0.00014074i,-0.00037029-0.00017174i,-0.0013476-0.0002621i,-0.0013181-0.00044797i
0.0003999-0.00020853i,0.00090657-0.00014115i,0.0018166+3.0068e-05i,0.002081-0.00032898i,0.0022288-0.0017025i,0.0023139-0.0022216i,0.00099671-0.0006295i,0.00034242+0.00052329i,0.00024759-0.00010533i,0.00083604-0.00020334i,0.0013862+0.00010407i,0.00091185+0.00062826i,0.00030732+0.00071454i,7.7019e-05-6.0128e-05i,0.00013329-0.0001628i,0.00023947-0.00030496i,0.00034104-0.0012834i,-2.1051e-06-0.0019143i,-0.00055965-0.0011058i,0.00012446-0.00019401i,0.00046121-0.00027298i,-0.00011328-0.0003406i,-0.00088158-6.7047e-05i
0.00039502+0.0032732i,-0.00023509+0.001676i,0.00087489+0.00034571i,0.0021684-0.00036791i,0.0028629-0.00029424i,0.0025774-8.538e-05i,0.0015481-0.00069844i,0.00079102-0.00054677i,9.4897e-05+0.00029576i,-0.00033015-5.0929e-05i,1.2735e-05-0.00052827i,-0.00014327-0.00093707i,1.8456e-05-0.00036618i,0.00018976+0.00039422i,-0.0003344+0.00018858i,5.0177e-05-6.3053e-05i,0.0011002-0.00021243i,0.0010724-0.00055749i,0.00047441-0.00097952i,0.00023896-0.00039053i,-0.0001085-0.00012235i,-0.0001199-0.0003262i,0.00061588-0.00057354i
-0.00070102-0.0026967i,-0.00087833-0.0028014i,-0.0011961-0.0025674i,-0.001208-0.0028374i,0.00014822-0.0019401i,0.001131-0.00018095i,0.00086395+0.0004498i,0.00047222+2.548e-05i,0.00056835-0.00017506i,0.00058387-0.00041036i,-0.00056318+0.00010691i,-0.0013143+0.00061289i,-0.00095334+0.00015303i,-0.00052208-0.00035822i,-4.9541e-05-0.00044967i,0.00020754-0.00019752i,0.00047001+0.00014963i,-0.00022629-1.5348e-05i,-0.00083542-0.00099055i,-0.00013966-0.0008058i,0.00048091+0.00022288i,-7.9017e-05+0.00048237i,-0.00050882-0.00023833i
0.0006095+0.001432i,0.00088894+0.0005223i,-4.4053e-05+0.00017859i,0.00035814+0.0010548i,0.0012707+0.0010556i,0.0017798+2.2704e-05i,0.0014092-0.00062656i,0.00012257-0.00044913i,-0.00067522+0.00030038i,-0.0010056-4.9768e-05i,-0.00072187-0.0001173i,-0.00020576+1.9589e-05i,4.1431e-05+0.00024136i,-7.2212e-05+0.00065664i,-0.00057979+0.00053519i,-0.00029942-0.00032402i,-0.00039073-0.00047148i,-0.00066994-0.0003145i,-0.00069152-0.00042543i,-0.00014106-0.00049576i,-7.4984e-05-0.00026649i,-0.00014506-0.00048136i,-0.00019708-0.00055987i
-0.0020738-0.00070337i,-0.0022356-0.00013122i,-0.002156-0.00039497i,-0.0011339-0.00039478i,0.00072434+0.00091389i,0.0018708+0.0013399i,0.00087346+0.00038874i,-0.00049806-0.00056202i,-0.00053012-0.00073865i,9.2029e-05-0.00066173i,0.00010719-0.00084688i,-0.0004119-0.00013366i,-0.00014997+0.0011265i,0.00026029+0.0010193i,0.00012428+0.00056844i,0.00037429+0.0002485i,0.00030416+5.8844e-05i,-3.1612e-05+0.00035208i,0.0001124+0.00077621i,0.00030243+6.1321e-05i,0.00010787-0.0004702i,-0.00029833-0.00022141i,-0.00055558-0.00038248i
0.0010381-0.00031934i,0.0011958+0.00021374i,0.0012027+0.0013182i,0.0014609+0.000892i,0.002105+0.0001086i,0.0021567+0.00040311i,0.0017499+0.00066975i,0.0013762+0.00018013i,0.0016764-0.00033319i,0.001739-0.00020509i,0.00025145-0.00075433i,-0.00019556-0.00027722i,-0.00031724+0.00052684i,-0.00027472-8.6876e-05i,0.0005367-0.00041359i,0.00026512-0.00036912i,-5.5876e-05-0.00068356i,-6.0333e-05-0.00082413i,-0.00083224+5.9741e-06i,-0.00079775+0.00044089i,0.00019049+0.00033979i,0.00031437-7.2805e-05i,0.00027024-6.8545e-05i
-0.0020141+0.0023598i,-0.0012204+0.0015493i,-0.00094444+0.00049092i,0.00029446+0.00017511i,0.0021741-0.00021276i,0.0022231-0.0010643i,0.0010678-0.0011907i,0.00030643-0.00059416i,0.00077807+0.00022304i,0.0011202+0.0003042i,0.00075031-0.00075343i,0.00094807-0.0011111i,0.0011348-0.00031558i,0.00055946+0.00062047i,0.00036299+0.0004315i,0.00026909-0.00017737i,-8.0721e-06-0.0005695i,1.7759e-05-0.00035836i,8.6482e-05+0.00033718i,0.00017054+0.00034436i,-8.8441e-05+0.00038163i,-0.00075672+0.00022923i,-0.00090627-0.000244i
-0.00039461-0.00043478i,-0.00038969-4.4776e-05i,0.00035154-2.238e-06i,0.001077+0.00069335i,0.00070501+0.00079539i,0.00097108+0.00042873i,0.001663-0.00010365i,0.0018564-0.00055279i,0.0021482+0.00023185i,0.0020661+0.00034111i,0.0009314-1.4146e-05i,-0.00028936-4.1363e-05i,-0.00042384-0.0004293i,0.00019876-0.0008067i,-8.837e-05-0.00070485i,-0.00085265-0.00045582i,-0.00051461-0.00073089i,-0.00036414-0.0010261i,-0.0011488-0.00082909i,-0.00092965-7.0003e-05i,-0.00023241+0.00033432i,-0.00019574-0.00031941i,0.0005093-0.00037768i
0.00023916+0.0018457i,0.00030482+0.0014655i,0.00018713+0.0011336i,0.0019522-0.00032847i,0.0029386-0.001323i,0.0021884-0.0012343i,0.001357-0.0014021i,0.00063407-0.0011464i,4.5641e-05+0.0003732i,0.00043611+0.00071191i,0.00091384-7.4e-05i,0.00051212+0.00032706i,0.00028979+0.00080588i,-6.1912e-05+9.312e-05i,8.3278e-05-0.00016346i,0.00070038+0.00019583i,0.00066045+0.00014283i,0.00013363+0.00029555i,-0.00019925+0.00025808i,0.00035089-7.8091e-05i,0.00072138+2.4492e-05i,0.00020732+0.0001966i,-0.00025955+0.00050203i
-0.0015713+0.0012581i,-0.001472+0.0015081i,-0.0017274+0.0014773i,-0.00043148+0.00096807i,0.0012374+0.00051053i,0.0019671-0.000387i,0.0018741-0.001372i,0.0010203-0.0010376i,0.00095592-0.00062248i,0.0015082+0.00045009i,0.00096175+0.00034271i,0.00014188-0.00024971i,-1.8267e-07-0.00024189i,0.00031463+7.9494e-05i,0.00085042+0.00030073i,0.0012025+0.00058181i,0.00064025+0.00047666i,-0.00029582-0.00022994i,-5.7181e-05-0.00039401i,0.00025109-8.4256e-06i,0.00025034+0.00025423i,0.00015222+2.0426e-05i,-0.00016612-9.632e-05i
