-0.0026688-0.0014871i,-0.0026499-0.00040079i,-0.0030008+0.0013321i,-0.0031378+0.0020562i,-0.0033346+0.0015091i,-0.0028215+0.001113i,-0.0016905+0.0010747i,-0.00018945+0.0014378i,5.5264e-05+0.0012142i,0.00012369+0.0010625i,0.00043312+0.00077103i,0.00052293+0.00065587i,0.00029459+0.00082528i,-0.00016969+0.0006869i,-9.0303e-05+0.00062179i,-6.1274e-05+0.0015i,0.00066254+0.0018783i,0.00093727+0.00086041i,8.9638e-05+0.00030186i,-0.00042723+7.4679e-05i,0.00017309+0.0006111i,0.00033077+0.0003425i,0.00051414-0.00029694i
-0.0015389+0.0002945i,-0.00010953+0.0012221i,0.0012457+0.0015287i,0.002417+0.0009569i,0.0020631+0.00013985i,0.00076254-0.00057461i,0.0003521-0.00078671i,0.0003602-0.0012217i,0.0001735-0.0014952i,-2.3832e-05-0.0013861i,0.00045911-0.0012482i,0.00040192-0.00045204i,-8.5141e-05-0.00026936i,-0.00059232-0.00061798i,-0.00038918-0.00059044i,0.00031326-0.00052716i,0.00034707-0.00055457i,5.8923e-05-0.00016599i,-0.00035666-0.00018934i,-0.00072626-0.00013441i,-0.00057915+0.00037724i,-0.00013099+0.00017162i,-0.00036378+0.00020017i
-0.00079424+0.00099437i,0.0003529+0.0012878i,0.00051041+0.0012289i,0.0011979+0.00014695i,0.0010244-0.00098358i,0.00032128-0.0016365i,0.00068579-0.001897i,0.0010516-0.0016404i,0.0010302-0.0011677i,0.00025422-0.00054158i,-0.00041564-0.00063439i,-0.00045159-0.00066027i,-0.001013+6.8814e-05i,-0.0010538+0.00037886i,-0.00091003-6.5788e-05i,-0.00061859-0.00071913i,2.261e-05-0.00020732i,9.6697e-05+0.00065236i,0.00038015+0.00058474i,0.00074462+0.00038564i,0.00076947+0.00055956i,-5.7902e-05+0.00039401i,-0.00072901+0.00028681i
0.0012579+0.0013578i,0.0020037+0.00099271i,0.0032319+0.00034065i,0.0030512-0.00017648i,0.0018275-0.0010532i,0.00097745-0.001167i,-0.00018869-0.00035627i,-0.00044704-0.00035568i,0.00025525-0.00031181i,0.00013389-6.8417e-05i,2.3748e-07-0.00095325i,0.00017202-0.0012534i,-0.00049218-0.0010439i,-0.0010095-0.00032036i,-0.001144+0.00046002i,-0.0010484-0.00013135i,-0.00010954-0.00019035i,0.00096176+3.1491e-05i,0.00058647-0.0003009i,-0.00016488-0.00084075i,-0.00048077-0.0013672i,-0.00077552-0.0005292i,-0.00023969+7.9412e-05i
-0.00084025-0.001636i,-0.00043919-0.0016685i,-0.0006605-0.0020336i,-0.00072675-0.0011948i,-0.00069697-0.00026576i,9.9683e-05-0.00073051i,0.00091692-0.0011702i,0.00037843-0.00045739i,-9.4081e-05-0.0001728i,0.00072731-0.00029652i,0.0012754-6.6238e-05i,0.00070702+0.0003659i,-0.00068899+0.0010639i,-0.0016931+0.00050567i,-0.0018324+7.1923e-05i,-0.0017494+0.00033965i,-0.0010535+0.00028592i,-0.00053265+0.00057541i,-0.00073838+0.0011388i,-0.0009207+0.001105i,-0.0011781+8.8439e-05i,-0.0013759-0.00037182i,-0.00095678+0.00036721i
-0.00043682-0.0020641i,-0.0003181-0.00229i,0.00022058-0.002858i,0.00016172-0.0027465i,-0.00063512-0.0022508i,-0.00035097-0.0014693i,-0.00070189-0.0014937i,-0.0015199-0.0011979i,-0.0014011-0.00097289i,-0.0013077-0.0015312i,-0.00085014-0.0016785i,-0.00039724-0.00053042i,-0.00082083+0.00046169i,-0.00072634+0.00028277i,-0.00032827+0.00067504i,-0.00059847+0.0011407i,-0.00014839+0.00055998i,0.00046573+0.00036383i,0.00033469+6.7431e-05i,-6.025e-05-0.00039749i,-0.00026205+5.4459e-05i,-0.00036067+0.00012409i,-0.00041273-0.0003287i
-0.00018716+0.0018i,0.0011849+0.001075i,0.002309+0.0011509i,0.001909+0.0011581i,0.00073646+6.339e-05i,0.00025871-0.00098412i,-0.00078011-0.00093256i,-0.00089504-0.00070434i,0.00021135-0.00038559i,0.00062941-0.00053379i,0.00029831-0.00067267i,-0.00051224-0.00010215i,-0.00083432-0.0004934i,-0.00062731-0.00061558i,8.4598e-05-0.00024761i,0.00038985-0.00014945i,9.2738e-05+0.00050117i,0.00066934+0.0011221i,0.00070012+0.00084443i,0.00036426+0.00069776i,-0.0002674+0.00044573i,3.7216e-05+0.00051107i,0.00052107+0.00067313i
0.0008762-0.0016789i,0.00095631-0.0031422i,0.0012807-0.0016787i,0.00048083-0.00049699i,0.00033133-0.00017641i,-0.00030441+4.1257e-05i,-0.00051249-0.00066578i,0.00025165-0.0011354i,0.00051082-0.00073388i,0.00011613-0.00027461i,7.1907e-05-0.00043641i,-0.00032078+0.00028913i,-0.00068718+0.00087759i,-3.577e-05+0.00038966i,-8.7501e-06+0.00050319i,-5.4163e-05+0.00094423i,0.00060782+0.00079647i,0.0010901+0.00011591i,0.00026576-8.6795e-05i,-0.00023028+0.00021104i,0.00039651+0.00023539i,0.00083637+0.00010495i,0.00067002-0.00019193i
-0.00086057+0.00057258i,0.00084679+0.00012796i,0.0022598+0.00014791i,0.0023812-0.00072316i,0.0011646-0.001118i,0.00011593-0.00043931i,-0.00020821-5.9279e-05i,-0.00032274-0.00029031i,-0.00053711+0.00013185i,-0.00038115+0.00038529i,-2.5429e-05+0.00022154i,1.2444e-05-0.00025451i,-0.00053458-0.00080993i,-0.00070308-0.00057847i,-0.00047631-5.5637e-07i,-0.00064571+6.9912e-05i,-0.00074365-0.0001623i,-0.00053113-0.00014384i,0.00016752-0.00021114i,-4.4393e-06-9.2108e-06i,-2.4355e-05+0.00011793i,0.00069146-0.00031037i,0.00066997-0.00028834i
0.00073628+0.00050869i,0.00020848-0.00062231i,0.00015454-0.0014563i,0.0015607-0.002401i,0.0018465-0.0023723i,0.00073604-0.0020684i,3.371e-05-0.0011931i,-0.00013975-0.00066024i,0.00036982-0.0010987i,0.00074375-0.00093207i,0.00071967-0.00059183i,0.00018861-0.00088443i,5.5312e-06-0.00077963i,0.00040678-0.00040668i,2.1563e-05-0.00063022i,-0.00069046-0.00047201i,-0.000432-0.00037825i,0.00023029-0.0011154i,0.00011432-0.0010604i,-0.00013858-0.00074262i,0.00036878-0.00041085i,0.00086657+0.00025852i,0.00028632+0.0002271i
0.00082561-0.0018689i,0.00045938-0.0018377i,0.00080862-0.0015546i,8.8449e-05-0.0015031i,-0.00051414-0.0012015i,-0.00016687-0.0010579i,-0.00035554-0.0013788i,-0.00036572-0.0011992i,-0.0002786-0.00075104i,-0.00079287-0.0012184i,-0.00089316-0.0011488i,-0.00070772+8.9299e-05i,-0.0011841+0.00074191i,-0.0012313+0.00032474i,-0.0011923+0.00021234i,-0.0010462+3.4236e-05i,-0.00020691+0.00011087i,0.00013517+0.00073943i,-0.00022765+0.00031864i,-0.00071447-0.00041252i,-0.00055456-0.00034475i,-0.00062973+5.0728e-05i,-0.00027505+0.00024562i
0.0019765-0.0014542i,0.0034754-0.0029243i,0.0044508-0.003211i,0.0041941-0.0035198i,0.0028289-0.002937i,0.00056524-0.0024135i,-0.0002471-0.0014362i,0.00056252-0.0009347i,-0.00018851-0.0013385i,-0.001077-0.0010728i,-0.00087366-0.0008023i,-0.00063166-0.0011592i,-0.00030037-0.00074912i,-0.00060614-0.00074098i,-0.00099923-0.00083108i,-0.0007485-7.3972e-05i,-5.3135e-05+0.00064554i,0.00051362+0.00098182i,0.00034036+0.00089342i,-0.00016408+0.00065752i,-0.00046517+0.00030177i,-0.00012424+0.00016416i,0.00023171+0.00035652i
-0.0007794+0.0010343i,0.0013959+0.0002454i,0.0023549+0.0007486i,0.0014361+0.00088543i,0.0011447-1.3787e-05i,0.0013137-0.0010068i,0.00096007-0.00064131i,0.00037902-0.00014928i,0.0011798-0.00027896i,0.0019286+0.00025575i,0.00094204+1.5246e-05i,-0.00033865-0.00040673i,-0.00067095-0.00077262i,-0.00016473-0.001269i,-0.00030946-0.00066273i,-0.00044012-1.8571e-05i,-0.00048355+0.00013793i,-0.00059053-0.00080691i,0.00042848-0.0011528i,0.00057293-0.001023i,0.00022281-0.00067099i,2.6231e-05+0.00025341i,-0.00042925+0.0010855i
-0.00087026-0.00065777i,-0.0014141-0.0005295i,-0.0012252-4.7099e-05i,4.8407e-05+0.00066366i,0.00070263+0.00013318i,0.00068347-0.00093957i,0.00056004-0.0020236i,0.00050237-0.0020126i,0.0002091-0.00050725i,0.00025784+6.6314e-05i,-7.329e-05-0.00015823i,-0.00044961+9.8437e-05i,-0.00068853-0.00017215i,-0.00091021-0.00070789i,-0.00080059-3.2181e-05i,-0.00066209+1.859e-05i,-0.00035849-0.00035914i,0.00040654-0.00027526i,0.0013165-0.00014399i,0.0010048-0.00012352i,0.00057659+0.00019408i,0.00010082+0.00034203i,-0.00047736-3.6785e-05i
0.0012988+0.0012814i,0.0017254+0.0012662i,0.0022248+0.0014228i,0.0014927+0.00054499i,0.00086122-0.00048694i,0.0011532-0.00052871i,0.00044125-3.3046e-05i,-0.00047197-5.757e-05i,-0.00021065-0.00093226i,0.00018871-0.0014881i,-0.00013853-0.0016751i,-0.00055278-0.00094333i,-0.00044424-2.994e-05i,-0.00053154+0.00047142i,-0.00077826+0.00047354i,-0.0003141-0.00017448i,0.00061272+0.00041876i,0.00074603+0.0012015i,0.00025556+0.00071547i,0.00045934+0.00050868i,0.00066018-0.00023792i,0.0007722-0.00059672i,0.0012534-0.00018016i
0.00029491-0.0022108i,0.00023414-0.0019373i,-0.0010085-0.0032512i,-0.0014473-0.0023987i,-0.0018047-0.00082546i,-0.00079754-0.00033083i,0.00064464-0.00056676i,0.00059538-0.0007325i,-0.00057008-0.00057076i,-0.0015298-0.00029414i,-0.0013125+2.8282e-06i,-0.00079065-9.3009e-05i,-0.00074893-0.00023359i,-0.00072423-4.2296e-05i,-0.0009287-2.8688e-05i,-0.0010168-0.00081413i,-0.00045723-0.00086621i,-0.00039845-0.00054569i,-0.00066954-0.00038968i,-0.00084871-0.0002008i,-0.00084153+0.0004416i,-0.00073208+0.00057705i,-1.5061e-05+0.00070926i
0.000299-0.0013106i,-0.00018777-0.0010267i,9.5079e-05-0.0010533i,0.00063776-0.00027746i,0.00074762-0.00056509i,0.00036611-0.0011173i,-0.00036263-0.0010986i,-0.00058391-0.00053811i,-0.00014542-0.00044596i,-0.00010954-0.00049806i,-4.4537e-05-2.195e-05i,-0.00051427+0.00021779i,-0.00083619+0.00028293i,-0.00049679-0.00030856i,-5.729e-05-0.00030894i,3.1014e-05+0.0001573i,0.00018866+0.00038966i,6.7266e-05+0.0003614i,-7.9332e-05+0.00046555i,-0.00012051+0.00083879i,-0.00078223+0.00065178i,-0.00012635+8.489e-05i,0.00096495-0.00025931i
0.00035235+0.00051897i,0.0023565-0.0013978i,0.001973-0.0015519i,0.00088267-0.00032144i,0.001355-4.5463e-05i,0.0012785-0.00082757i,0.00058528-0.001143i,0.00074958-0.001012i,0.00030729-0.00097462i,-0.00065019-0.0010465i,-0.00075642-0.0011831i,-0.00079428-0.00067623i,-0.00041698-6.0218e-05i,1.0553e-05-0.0006347i,-0.00035471-0.0011203i,-0.000131-0.0010977i,0.00035181-0.00024653i,0.00027412+0.00040366i,0.00025214+0.00055442i,0.00051433+0.00012537i,0.00061204-0.00024521i,0.00027546-0.00013435i,-8.3834e-05+0.00021088i
3.3952e-05+0.00030512i,0.00072172+0.0004048i,0.0018747+0.0010012i,0.0026389+2.8057e-05i,0.0018916-0.00069187i,0.0006785-0.0015554i,-9.8617e-05-0.0019109i,-0.00017328-0.00084932i,-0.00029073-0.00056098i,-0.00040301-0.00096887i,-0.00033213-0.0016268i,-0.0010504-0.0018218i,-0.0011846-0.00092706i,-0.00085199-0.00029611i,-0.00079198-0.00024397i,-0.00077846-0.00014954i,-0.00062877-3.189e-05i,-0.00014761-0.00021832i,0.00035265-0.00018723i,0.00047967+7.5969e-05i,2.6051e-05+0.00043437i,-0.00011979+7.6055e-05i,-7.651e-05+9.9887e-05i
0.00034921+0.00048906i,0.0021283-0.00013401i,0.0028734-9.9353e-07i,0.0018909-0.001089i,0.00086142-0.0026566i,0.00050289-0.0021819i,5.5723e-06-0.0011638i,-0.00067475-0.00025518i,-0.0009066-1.0105e-05i,-0.00055209-0.00027279i,-0.0010456-0.00066839i,-0.0010598-0.0014353i,-0.00038327-0.0011215i,-0.00063167-0.00017608i,-0.0009971+9.9067e-06i,-0.00077731-1.0113e-05i,-0.000379+0.0002023i,0.000209-0.00041969i,0.00097627+0.00012246i,0.0014343+0.00011857i,0.00081735+0.00018175i,-0.0003824+0.0008869i,-0.00042047+0.00046246i
0.0016549+0.0014223i,0.0016076+0.0015992i,0.0028863+0.00016462i,0.0031177-0.0015141i,0.0024032-0.0017224i,0.0012637-0.00079544i,-0.00043201-0.00060477i,-0.00057134-0.00080049i,-0.00065657-0.0003099i,-0.00021333+0.00019909i,0.00011639-0.00026008i,-0.00020329-0.00087922i,-0.00027086-0.00097247i,-0.00040819-0.0007213i,-0.00063715-0.00053103i,-0.00052516-0.00046798i,-0.00047291-0.0009977i,-0.00047459-0.00058643i,-0.00046256+5.5136e-05i,-0.00046369+7.3035e-05i,2.0396e-05+0.00060502i,0.00073554+0.00097721i,0.00056015+0.00015992i
-0.00016044-0.0012533i,0.0007684-0.002392i,0.0013195-0.0028457i,0.0007822-0.0027281i,0.00046315-0.002555i,0.00043198-0.0017245i,0.00054516-0.0013387i,0.00055063-0.0013872i,-0.00010678-0.0011108i,-0.0012304-0.0011457i,-0.0019753-0.0017723i,-0.001809-0.0014822i,-0.0015833-0.00015645i,-0.0015911+0.00061957i,-0.00038369+0.00056054i,0.00098321-1.473e-05i,0.0016299+0.00020474i,0.00090806+0.00081618i,0.00043379+0.00059236i,0.00055073+0.00037827i,-5.0961e-05+0.00054344i,-2.9843e-05+0.0006982i,0.00077246+0.00048672i
3.3244e-05-0.0013593i,0.00026309-0.001763i,0.00014209-0.0025085i,-0.00047325-0.0022425i,-0.00073047-0.0012778i,-0.00024226-0.00095136i,0.00012649-0.00086031i,-0.00026999-0.00091483i,-0.0004611-0.00086356i,7.9725e-05-0.00054401i,-0.00028843-0.00085163i,-0.0011672-0.0014455i,-0.00077936-0.001033i,-0.00063328-5.8379e-05i,-0.00077558+0.00020918i,-0.0010196-3.9364e-05i,-0.00050584-0.00044486i,0.00082001-0.00061357i,0.0012511-0.00091696i,0.00031289-0.001241i,-0.00062158-0.00031314i,-0.00052173+9.2777e-05i,1.1291e-06-0.00028215i
0.0015639-0.00035585i,0.0019832-0.0010066i,0.0028272-0.0021532i,0.0027064-0.002301i,0.0018001-0.0019273i,0.00078135-0.00092283i,0.00026985-0.0003113i,1.9695e-05-0.00054536i,-0.00042112-0.0014017i,-0.00061324-0.002066i,-0.00050836-0.0011401i,-0.00038804-0.00041011i,2.0176e-05-0.0002743i,0.00047095-8.8313e-05i,0.0001697-0.00027395i,0.00032577-0.0001139i,0.00090445-0.00039843i,0.00059949-0.00048455i,-0.00026205-5.2351e-05i,-7.5888e-05+0.00047761i,0.00013007+0.0004804i,-0.00016551-0.00017556i,-2.4708e-05-0.0004318i
5.3107e-05-0.00076289i,9.6419e-05-0.0011174i,0.00067618-0.0017264i,-0.00040036-0.0024313i,-0.0011488-0.002356i,-0.00046976-0.0014606i,-0.00065109-0.00053513i,-0.00023787-0.00068519i,0.00016978-0.00090892i,0.00012163-0.0012609i,0.00038196-0.0015327i,0.0002784-0.0012848i,0.00047359-0.00095322i,0.00077908-0.0002002i,0.0004375-5.5103e-05i,9.5861e-05+0.00010748i,-5.8847e-05+0.00054655i,0.0001162+0.0005676i,0.00023099+0.0008537i,3.4624e-05+0.00041476i,7.6227e-06-7.4789e-05i,9.6297e-05+0.00058486i,0.0002632+0.000385i
0.00062261-0.0016755i,0.0010682-0.0016453i,0.0015726-0.00018227i,0.0022564+0.00018958i,0.0011307-4.8791e-06i,0.00057229-0.00086524i,0.0010572-0.001404i,0.00078103-0.001206i,-7.774e-06-0.0012126i,0.00013673-0.00065206i,-9.5508e-05-0.00010458i,-0.0010531-0.00017632i,-0.0011122-6.0178e-05i,-0.00047883+3.989e-05i,0.00018862+0.00053527i,0.00020984+0.00079894i,-0.00028533+0.00063887i,-0.00051806+0.00065119i,-0.00060802+0.00044192i,-0.00050157+0.00019473i,0.00011397+0.00042385i,6.6534e-05+0.00099628i,-0.00076739+0.00080832i
0.0011294-0.00069826i,0.0012164-0.0012521i,0.00091769-0.0024646i,0.00084261-0.003246i,-0.00018003-0.00235i,-0.00088428-0.0019522i,-0.00034147-0.0016124i,7.8857e-05-0.00095964i,-0.00036771-0.00081882i,-0.00038826-0.0010035i,-0.00034567-0.00080044i,-0.00041785-0.00094134i,-0.00076347-0.00027938i,-0.0012312+0.00024386i,-0.0011354-0.00016517i,-0.0013231-5.6259e-05i,-0.0012925-0.00025345i,-0.00099561-3.5545e-06i,-0.00075934-2.1985e-05i,-0.00022954-0.00044665i,-0.00035207-0.00011183i,-0.00045-0.00022169i,-7.0188e-06-0.00025449i
0.00067037-0.0012995i,0.00034628-0.00042005i,0.0012268+0.0001233i,0.0029448-0.00017027i,0.00348-0.00092779i,0.0018648-0.0014156i,-0.00030269-0.0014969i,-0.00046565-0.0010071i,-0.00045948-0.00058054i,-0.0008364-0.0010807i,-0.00031611-0.00098826i,-0.00044241-0.00015978i,-0.0004226-0.00023517i,-3.2787e-07-0.00039287i,-0.0011554+0.00025547i,-0.0021836+0.0012841i,-0.0013911+0.0011727i,-0.00052972+0.00015533i,-0.00044058-0.0006551i,-4.2111e-05-0.00074814i,0.00064352+6.3178e-05i,-0.00018503+0.001223i,-0.00074777+0.0010153i
-0.00056777-0.0013795i,0.0009362-0.0017173i,0.00089826-0.0014718i,8.2894e-05-0.0011592i,0.00024512-0.00086078i,0.00081595-0.00038908i,0.00049207+4.2154e-05i,0.00036558-0.00016627i,9.7179e-05-0.00078956i,0.00018012-0.00075941i,-4.2389e-05-0.00013376i,-0.00076174-0.00029467i,-0.00035109+3.8917e-05i,3.3898e-05+0.0004839i,0.00027104+0.00026382i,0.00088081+7.0781e-05i,0.00097747+0.00017715i,0.00069419+0.00050198i,0.00055196+0.00027605i,0.0011808-9.498e-05i,0.00095744-0.00047162i,-0.00017345-0.00079897i,-0.00041598-0.00080545i
-0.00092778+0.0020793i,-0.00054875+0.0022524i,0.0006196+0.00171i,0.0015068+0.00079018i,0.0023037+0.00013815i,0.0016011-0.00077371i,0.00065407-0.00068107i,0.00049755-0.00023704i,0.00016259-0.00020289i,-0.00034446-6.5082e-05i,-0.00064756-0.00075237i,-0.0011169-0.0013496i,-0.0013884-0.000662i,-1.9409e-05+0.00025186i,0.00046233+0.0003999i,-0.00010276+0.00044797i,-0.00028249+0.00051355i,-0.00010443+0.00034973i,0.00024191+0.00037422i,0.0001032+0.00012526i,-0.00060129+0.000919i,-0.00042684+0.00058466i,0.00028087-0.00089567i
0.0020709-0.001054i,0.0029727-0.0024197i,0.0032408-0.0032094i,0.0018304-0.0024353i,0.00059167-0.0015272i,9.3628e-05-0.00085408i,-0.00022458-0.00039891i,-9.8225e-06-0.00041351i,-0.00047115-0.00056175i,-0.00064224-0.00039168i,5.3301e-05-0.00091254i,0.00030497-0.001347i,1.9026e-05-0.00073005i,-0.00032367-0.0003501i,-0.0009796+1.6866e-05i,-0.0017207-0.00014421i,-0.0010664-0.00088871i,0.00012544-0.000973i,-0.0001606-0.00072044i,-0.00056481-0.00013334i,-0.00029957+0.00026348i,-0.00084225+0.00060181i,-0.00089396+0.00048835i
-0.00064994-0.00050508i,0.00021729-0.00029353i,0.00063044-0.0010266i,0.0010642-0.00068782i,0.0023751+0.00021259i,0.0022003+0.00050571i,0.00086052-7.8064e-05i,-0.00046287-0.00028139i,-0.00083018-0.00047215i,-0.00059866-0.00043352i,-0.00077804-0.0001673i,7.4442e-05-0.00053559i,-0.00048852-0.00039699i,-0.00166+0.00026385i,-0.00045324+0.00071218i,0.00050034-0.00010045i,0.0002504-0.0006709i,0.00018744+0.00027484i,0.00010439+0.00038202i,-5.2499e-05-0.00069321i,-0.00037389-0.00027307i,-0.0008099+0.00087055i,-0.00046944+0.00058825i
