-0.00088343-0.00051911i,0.00024282-0.0010806i,-3.2404e-05-0.0016799i,-0.0012562-0.0011491i,-0.0023213-8.2605e-05i,-0.0019251-0.0001772i,-0.00035237+0.00055215i,0.00065635+0.0015906i,0.0012328+0.0007864i,0.0010745+5.0982e-05i,0.00070291+5.565e-05i,0.0010731+1.7167e-05i,0.00048772-6.7752e-05i,-0.00022449-0.00032018i,0.0002537-0.00029738i,0.00056689+5.1514e-05i,0.00014002-0.00011631i,6.3562e-05-0.00015682i,-0.00015099+0.0002591i,-0.00024264+0.00039372i,-0.00017614+0.00017139i,0.00024531+0.00024992i,0.00021358+0.00068846i
0.0011149+0.0011503i,0.00064968+9.1033e-06i,0.00052924-0.00046033i,-4.9074e-05-0.00047419i,0.00038926-0.0011317i,0.00056697-0.001113i,0.00052518-0.00061699i,0.00027298-0.0004651i,8.6118e-05-0.00073046i,0.00028106-0.00091284i,-7.487e-05-0.00079704i,-0.00069488-0.00056245i,0.00014651-0.00035618i,0.00057326-0.00016988i,-0.00056819-0.00044359i,-0.00069052-0.00056474i,1.0226e-05-0.00041828i,0.00042377+0.00011138i,0.00051427+0.00038976i,0.00048754+0.00030514i,0.0005774+3.4795e-05i,0.00025845-0.00075419i,0.00017409-0.00069564i
-0.0015161+0.0014625i,-0.00084119+0.0014122i,0.00046099+0.00050797i,0.0014776+4.9997e-06i,0.0018055-3.3871e-05i,0.0014847-0.00085866i,0.00077255-0.0015477i,6.9626e-05-0.0012415i,2.7684e-05-0.00046719i,0.00038347+4.7485e-05i,0.00037115-3.2015e-05i,3.0693e-06+0.00026792i,0.00028805-0.00018113i,0.00048202-0.00038977i,2.5243e-05-2.5178e-05i,-0.00043791-0.00029344i,-0.00058405+6.9463e-05i,-0.00026453+0.00022568i,0.00022684-0.00023698i,0.00033022-0.00028841i,0.00020109-8.8188e-05i,-5.7889e-05-0.00043549i,-0.0003929-0.0011012i
-0.00048692-0.002743i,-0.001313-0.001806i,-0.0025824-0.00066414i,-0.0020067-0.00015348i,-0.0001115-0.00026632i,0.00050124-0.00030349i,8.9214e-05-4.8582e-05i,-4.4094e-06-0.00030677i,0.00027618-0.0003655i,0.0003068-0.00015359i,4.0002e-05+0.00028348i,8.5741e-05+0.00031351i,0.00045521+1.3945e-05i,0.00065355+0.00014567i,0.00069389-5.2725e-05i,0.00092916-0.00056101i,0.00081463-0.0004814i,0.00057592-0.00071462i,-9.0531e-05-0.00080229i,-0.00043368+7.9036e-05i,1.3276e-06+0.00011815i,9.5368e-07+0.00014208i,-0.0003826+0.00017151i
0.0012787+0.00076254i,0.00069935+0.00078291i,0.0012645-0.00018049i,0.0013234-0.0012279i,0.00033177-0.0021901i,0.00010166-0.0017629i,0.00011221-0.00060254i,0.00027712-0.00016513i,0.00058751-0.00044405i,0.0001559-0.00013838i,-0.00046357-0.00014992i,1.5192e-06-0.00073095i,0.00040474-0.00041161i,0.00030158+6.8616e-06i,0.00073402-0.00010332i,0.00067984-0.00033657i,-0.00042979-3.1671e-05i,-0.0011955-0.00020265i,-0.0013988-0.00056769i,-0.00093574-0.00014219i,-0.00031979-6.0036e-06i,-0.0004656-0.00016394i,-0.0003018+0.00038059i
-0.0014556-0.00015037i,-0.001778-0.00018102i,-0.0013745+0.00097225i,-0.0005354+0.00083617i,0.0010544+0.00042744i,0.0017028+1.6891e-05i,0.00038602-0.00044367i,4.3462e-06-0.00063199i,0.00038507-0.00068992i,0.0010425-0.00026045i,0.00095252-0.00010277i,0.0001278-0.00036275i,-0.00030776-0.0002642i,4.4976e-05-0.00013897i,0.00011912+0.00023491i,-0.0011048+0.00035304i,-0.00080238+0.00057389i,0.00015806+0.00084171i,5.8616e-05+0.00091572i,-0.00021881+0.0008551i,-0.00033371+0.00043557i,-0.00018543+0.00032287i,-0.00018423+0.00016535i
0.00034691-0.00091195i,0.0015609-0.00028284i,0.0017128-0.00022854i,0.00038746-0.0004586i,-0.00020526-0.0012979i,-0.00029356-0.0016938i,-0.00064324-0.00066208i,-0.00036484-0.00019528i,-0.00052881-0.0003294i,-0.00031897-0.00054121i,3.3063e-06-0.00060814i,0.0002208-3.6144e-05i,0.00048381+1.4938e-05i,0.00029193-3.2085e-05i,0.00039757-0.00017329i,0.00034461-0.00054953i,0.00027378-0.0004135i,0.00026188-9.4108e-05i,0.0006046-0.00014998i,0.00022443-0.00036351i,-0.00090403-0.00035753i,-0.00045546-0.00048245i,0.00080205-0.00040712i
-0.00054296-0.0010661i,-0.0013433-0.00030126i,-0.0012103-0.00088317i,-0.00061242-0.00096981i,-9.3018e-05-0.00081378i,3.1139e-05-0.00037423i,-0.00041504+4.6846e-05i,-0.00022489+0.00047759i,2.3031e-05+0.00038131i,0.00022493-1.9455e-05i,0.00034049+0.00014645i,0.00045354-0.00022641i,0.0010297-0.00089645i,0.0010043-0.00086727i,0.00047252-0.00012528i,-6.9862e-05+0.00042133i,-7.8485e-05+0.00025437i,0.00042173+0.00012612i,0.00033412-1.5236e-05i,8.8787e-05-0.00028238i,0.00024859+0.00015328i,0.00028324+0.00059083i,-0.00020074+0.00036755i
-0.00042183-0.0017571i,-0.00028352-0.00085326i,-0.00083716-7.8987e-05i,-0.0013168+0.00071273i,-0.00093234+0.00034618i,0.00035427+0.0003329i,0.00062857+0.00044195i,-5.156e-05+0.00017255i,-0.00038582+0.00086013i,-0.00015799+0.00089243i,-0.00011539+0.00029918i,0.00061065+0.00021502i,0.0013916+0.00078118i,0.00082769+0.0006014i,0.00040709-0.00018246i,0.00034136+0.0003096i,-7.6307e-05+0.00099523i,-0.00027696+0.00079078i,-0.00062957+0.00029886i,-0.0005992+0.00024557i,-0.00032761+0.00025951i,4.9243e-05-6.1012e-06i,-3.0361e-05-1.7988e-05i
-0.0003632+0.00079933i,-0.0011252+0.00074261i,-0.00014061-0.00057312i,0.00085656-0.0022164i,0.00088668-0.0021811i,0.00027465-0.0013217i,0.00020004-0.001531i,5.7878e-05-0.00081183i,-6.5606e-05+1.8994e-05i,7.8763e-05+0.00021376i,-3.0114e-05+0.00054144i,0.00041164-4.3898e-05i,0.00026531-0.00056634i,0.00033596+4.5206e-05i,-0.00014764+0.00031122i,-0.00065807-0.00023726i,-0.00030079+0.00047354i,8.4867e-05+0.00083402i,0.00041964+0.00020873i,0.00065763+0.00036025i,0.00046878+0.00064918i,-0.0001447+0.00040116i,-0.00035586+0.00051752i
-0.00075604+0.0010932i,-0.00041901+0.0019657i,0.00041111+0.0024688i,0.0012893+0.0015041i,0.0014257-0.00024024i,0.00034678-0.0012978i,-0.00085737-0.0016552i,-0.00049296-0.0013518i,0.00113+1.709e-05i,0.0015542+0.00057245i,0.00065658-0.0007048i,0.00067741-0.001381i,0.0012836-0.0008578i,0.00063075-0.00030336i,0.00035815+0.00020873i,4.3396e-05+0.0003366i,-0.00057422+0.00028596i,-7.4844e-05-5.253e-05i,-0.00026472-5.0402e-05i,-0.00083234-7.0824e-06i,0.0001657-0.00019619i,0.00026388-0.000581i,-0.0012151-0.00089784i
-0.00075821-0.002545i,-0.0013266-0.0018899i,-0.0017223-0.0011033i,-0.001008-0.00046248i,-0.00034191+0.00032644i,-0.00021912+0.00037353i,0.00050254+0.00069471i,0.00034676+0.00055093i,0.00048821-0.00017081i,0.00093356-0.00057052i,0.00021629-0.00077595i,0.00013195-0.00074375i,0.00077655-0.00020332i,0.00098384+7.287e-07i,0.0011138-0.00076977i,0.00097201-0.00089534i,0.00055235-0.00055206i,3.9574e-05+2.8862e-05i,-0.00049354+0.0011054i,-0.00031726+0.0011575i,-9.0881e-05+0.00041546i,-0.00052991+0.00024706i,-0.00074826-0.00038371i
-0.0018453+0.00086274i,-0.0020179+0.0013148i,-0.0011184+0.00064589i,-0.00015771+0.00060632i,0.0004127+0.00069247i,7.761e-05-4.9703e-05i,-0.00035487-0.00044934i,-6.0155e-05+0.00043616i,0.00057274+0.0012129i,0.00079319+0.00025729i,0.00010927-0.00085883i,-0.00025118-0.00084507i,2.9511e-05-0.00080528i,0.00040506-0.00093754i,0.00048076-0.0010271i,0.00036213-0.00096001i,0.00033734+9.734e-06i,-2.0649e-05+0.0010203i,-0.00019755+0.00016074i,-0.0002334-0.00052429i,-0.00020874+8.6034e-07i,0.00032551+2.2058e-05i,0.00030259-0.0011i
0.00036751-0.00065672i,0.0005103-0.00050745i,0.00099203+0.00043582i,0.001049+0.0003577i,0.00085862-0.00084187i,0.00042771-0.0010691i,-0.00010685+2.9207e-05i,-0.0010526+0.00043961i,-0.00079132+0.00018296i,0.00015175+0.00038505i,-5.4034e-06+8.1828e-05i,0.00018658-0.00053981i,0.00073695-0.00021451i,0.00092765-0.00038681i,0.00052032-0.00056706i,4.609e-05-3.604e-05i,0.000231+0.0003318i,0.00028513+0.00037234i,0.00023809+0.00010078i,0.00065919-0.00037441i,0.00077103-0.00037807i,0.00018308+0.00010622i,-3.1754e-05-1.1056e-05i
0.00061897-0.0014008i,-0.00063299-0.00060724i,-0.0011707-0.0010462i,-0.00063542-0.00044585i,-0.00025901+0.00086005i,0.00015685+0.0013461i,0.0002903-0.00029613i,-0.00034603-0.0011598i,-0.0011405-0.00020092i,-0.000591+0.0002125i,-8.8178e-05+0.00025032i,-0.00017207+0.00018676i,-0.00043477-0.00032553i,-6.5415e-05-0.0008252i,0.00038521-0.00091014i,-1.461e-06-0.00053549i,-0.0003887-0.00053018i,0.00029227+3.8221e-05i,0.00052968+0.00095295i,0.0001488+0.0010182i,-0.00040743+0.00041388i,-0.0010495-0.00013863i,-0.00029631-0.00010728i
0.0002082-0.00054383i,-0.00022847-0.0011851i,-0.0013171-0.0020651i,-0.0013013-0.0017723i,0.00015192-0.00074084i,0.0011485-0.00034069i,0.00071742-0.00066346i,8.2718e-05-0.00024666i,-0.00041016+0.00041669i,-0.00029581+0.00042717i,0.00045401+0.0002598i,0.0013101+0.00032278i,0.00090215+0.00080549i,6.649e-06+0.00052604i,-0.00028389-7.7422e-05i,0.00018219-0.00037455i,0.00051337-0.00025427i,0.00062455+0.00020926i,0.00058185+0.00028847i,0.00067918+0.00064226i,0.00011281+0.00092528i,-0.00067614+0.00055498i,-0.00091317-8.6476e-05i
0.0013116+0.0013055i,0.0020914+0.0009829i,0.0015855+0.0006272i,0.0012184-0.00011566i,0.0013905-2.9751e-05i,0.00091312+9.357e-05i,0.00044292-0.00045102i,0.00039708-0.00079323i,0.00048586-0.00045867i,0.001162+0.00052262i,0.00098746+0.00093372i,0.00039708+0.00052181i,0.00017757-0.00010725i,5.0177e-05+3.5103e-05i,0.00052764+0.00052378i,0.00044929+0.00042669i,0.00010447+0.00054556i,-2.4187e-05+0.00051495i,0.00014559+0.00039387i,-2.3434e-05+0.00069625i,-0.00030618+0.00092448i,-0.0001098+0.0011661i,0.00013708+0.00076724i
-0.0022196-0.001186i,-0.0013177-0.00025547i,-0.0010024+0.00051939i,-0.00068897+0.0003712i,0.00019119+4.009e-05i,0.00087553-0.00041961i,0.00057732-0.0013103i,0.00046662-0.0016499i,0.00092387-0.0004007i,0.0009374+0.00058994i,0.00048427+0.00057984i,0.00047033+0.00017473i,0.00066985-0.0002235i,0.0003311-0.00027832i,1.5465e-05-0.0003602i,-3.4197e-05+0.00032786i,0.00030607+0.00043946i,0.00094471+0.00045361i,0.0010393+0.00053134i,0.00053673+0.00046903i,-2.2203e-05+0.0010468i,-0.00034668+0.0011339i,-0.00037788+0.00044518i
-0.00085594+0.00015877i,-0.00082519+0.00061257i,0.00017322+0.0013202i,0.0018239+0.00094441i,0.0021816-0.00011469i,0.0020939-0.00085973i,0.0015004-0.00037632i,0.00042173+0.00019801i,0.00018014-4.3079e-05i,9.2806e-05-0.00015386i,-0.00030854+8.1427e-06i,-0.00060466-0.00043008i,-0.00014142-0.001061i,0.0001566-0.0018603i,0.00017571-0.0010613i,-8.9186e-05-6.3094e-06i,-0.00026558+0.00029734i,0.00042637+0.00063021i,0.0005418-0.00033082i,9.0412e-05-0.00080755i,4.6069e-05-0.00038021i,0.00061797-0.00082635i,-0.00026326-0.00044201i
-0.00094571-0.00010459i,-0.00058379-0.0010408i,-0.00041842-0.0008216i,0.00049738-0.0011003i,0.001227-0.00086997i,0.00091676-0.0012625i,-0.00025677-0.0014733i,-0.00097457-0.00016632i,-0.00081923+0.00091259i,-0.0010076+0.00090025i,-0.00026253+0.00035255i,0.00056438+0.00014201i,0.00019672-7.0151e-05i,9.7218e-05-0.00028332i,0.00062659+5.8474e-05i,0.00059235+9.5697e-05i,0.00031941+0.00017687i,0.00041716+3.8169e-05i,0.00050932-0.00082612i,0.00025856-0.0006386i,-0.00023466+3.414e-05i,-2.2396e-05+9.816e-05i,0.00071343-0.00011086i
-0.00071611-0.00082197i,-0.0013442+0.00013452i,-0.0018394+0.0011165i,-0.00066617+0.0015582i,-3.0606e-05+0.0010616i,-6.6153e-05-0.00050976i,0.00030694-0.0011028i,0.0003533-0.00079242i,0.0011261+7.3746e-05i,0.0014327+0.00038943i,0.00066016-7.164e-05i,0.00070979-0.00057i,0.00092749-0.00072135i,0.00050025-0.00087818i,0.00084121-9.8912e-05i,0.001101+0.00025228i,0.00047931-0.00042652i,0.00017192-0.00022264i,0.00047398+0.00082832i,0.00084246+0.0012384i,0.00049083+0.00056932i,-0.00029554+0.00011917i,-0.00061517+0.00019138i
-0.0025463+0.00068296i,-0.0018364+0.0017074i,-0.0005755+0.0014727i,0.00057737-1.6211e-05i,0.0020128-0.00075537i,0.0023122-0.00073614i,0.0012502-0.00099616i,0.000294-0.00058423i,0.0002844+0.00015995i,0.00027235+0.00072582i,0.00027349+0.00083054i,0.0010696+0.00012002i,0.001114-0.00061884i,0.00076048-0.00096255i,0.00021167-0.00059097i,-0.00054775+1.2519e-05i,-0.00073183-9.9598e-05i,-0.00023409-0.00040221i,-0.00013279-9.8788e-05i,0.00026766+0.00019258i,6.732e-05+0.00033474i,-0.00044553+0.00033677i,-0.00016399+0.00063649i
0.001519+0.000296i,0.00041423-0.00013845i,0.00024736-0.0016144i,0.00074412-0.0021793i,0.00086086-0.0020987i,0.00038448-0.0011565i,-0.00016645-0.00081771i,-0.00049535-0.0002889i,-0.00027561+0.00030086i,-0.00025707+0.00015595i,-0.00010462+0.00072991i,0.00040976+0.0014624i,0.00097355+0.0016405i,0.001161+0.0012797i,0.00021466+0.00081706i,-0.00051447+8.7873e-06i,-0.0002632-0.00075029i,-2.4661e-05-0.00043088i,-0.00014357+0.00069919i,-0.00042803+0.0013995i,-0.00063995+0.00056195i,-0.00073021+0.00014335i,-0.00033028+8.5214e-05i
-0.00061202+0.0011664i,-0.00035008+0.0010815i,0.00039947+0.0019563i,0.0020274+0.00087065i,0.0028347-0.00097513i,0.0017552-0.0014097i,0.00046118-0.0011564i,0.00038084-0.00030192i,0.00061245+0.00062267i,0.00048651+0.00074668i,0.00017309+0.00032942i,0.00013847-3.0632e-05i,0.00059793-0.00025138i,0.00017015+1.7642e-05i,-7.3789e-05+7.2472e-05i,0.00045059-2.6797e-05i,-2.7179e-05+0.00023422i,-0.00032376-0.00022354i,0.00093552-0.00081496i,0.001079-0.00061563i,0.00038042-0.0002976i,-0.00018684-6.7822e-05i,-0.00064054-0.00043389i
0.0021618+0.00045383i,0.0027071+0.00058381i,0.0011611+0.00064749i,-0.00036975-0.00022044i,0.00010551-0.0015372i,0.00013819-0.0018771i,-0.00041602-0.0014515i,-0.00026239-0.00059724i,2.3234e-05+3.5288e-05i,-2.0753e-05+5.9378e-05i,0.00082402-0.00021827i,0.0016677-0.00026233i,0.00068077+6.375e-06i,0.00027585+3.0651e-05i,0.00051669-0.00021795i,0.00047875-0.0005919i,0.00020308-0.00062093i,0.00064087-0.00025909i,0.0014257+0.00023011i,0.0015583+0.00030928i,0.0016881+0.00033764i,0.0015165+0.00043429i,0.00050784+0.00030461i
0.00067394+3.8425e-05i,-0.0010492+6.299e-05i,-0.0017406-0.00012791i,-0.00075587-0.00069465i,0.00035661-0.0012166i,0.0010273-0.00093465i,0.00069707+8.3008e-06i,-0.0001784+0.00030882i,-0.00032704+0.00017625i,0.00029855+0.00017473i,0.00084586-0.00029698i,0.00059265-0.0010997i,0.00064396-0.00056258i,0.00091969+0.00056084i,0.00044323+0.00039737i,6.7528e-05+0.00024602i,-0.0002918+0.00068354i,-0.00014716+0.00083473i,0.00048345+0.00093385i,0.0011076+0.00071425i,0.00056639+5.0638e-05i,-0.00012742+0.00020158i,-3.7182e-05+3.6843e-05i
-0.0007709+0.00046047i,-0.0015876+0.00069736i,-0.0013759+0.0010938i,0.00046444+0.0010288i,0.0011082-0.00044686i,0.0013397-0.001938i,0.00087877-0.0016498i,-0.00019058-0.00026174i,-0.00038532+0.00073205i,0.00019704+0.00040127i,0.0012255-0.00019608i,0.0013216+0.00056472i,0.00092189+0.00091183i,0.00068501-8.0253e-05i,0.00048087-0.00068156i,-0.00037914-5.0971e-05i,-0.00096758+0.0005637i,-0.00066071-3.2408e-05i,-0.00036966-1.0147e-05i,-0.00038588+0.00029873i,-0.00056717+0.00019171i,-4.1026e-05+0.00051562i,0.00062868+0.00013004i
0.00021805-0.0014972i,-0.00019136-0.0014843i,-0.00030814-0.0011696i,-0.00092027-0.00093277i,-0.0007619-0.0012218i,0.00036025-0.0012957i,0.0008997-0.0006798i,0.00090018+0.00022859i,0.00059631+4.905e-05i,0.0010045-0.00087481i,0.0013226-0.00078881i,0.00081587-9.7134e-05i,-0.00012285+0.00026555i,-0.00041401-0.00012051i,0.00042415-0.00041901i,0.0013274+9.173e-05i,0.0010551+0.00035945i,0.00012807+4.9277e-05i,-4.556e-05+1.8609e-05i,2.6622e-05+9.4669e-05i,3.6441e-05-0.00028376i,0.00034816-0.00039326i,0.00058051-0.00030244i
2.5698e-05+0.00072982i,-0.00023621+0.0016422i,-0.00059488+0.0020041i,-8.3825e-05+0.00087563i,0.00078763-0.00068841i,0.0011793-0.0010609i,0.001026-0.0013106i,0.00043316-0.00060659i,4.7142e-05-6.3962e-05i,0.00054196-0.00083248i,0.00036119-0.00045812i,-0.00019424+0.0002689i,0.0003653+0.00088728i,0.00085358+0.0010831i,0.00018842+0.0010679i,-0.00022625+0.00060216i,0.00024904+0.00034484i,0.0004437+0.00080369i,0.0005744+5.1512e-05i,0.00088129-0.0014212i,0.00097012-0.0012754i,0.00072144-0.00084776i,-0.00016454-0.00082451i
-0.00068802-0.0023352i,-0.0001295-0.0024905i,-0.00099504-0.0027708i,-0.00083978-0.0019343i,-0.00013218-0.0006878i,0.00014122+0.00019519i,4.8444e-05+0.0003577i,0.00019373-0.0002236i,0.0013475-7.8391e-05i,0.0013101-0.00017803i,0.000951-0.0010034i,0.00077153-0.00065292i,0.00079695+0.00010369i,0.00090123-0.00037508i,0.00059945-0.00066089i,0.00024882-5.5796e-05i,-0.00010519-3.0413e-05i,0.00022386+0.00019338i,0.00047765+0.0012902i,0.00015822+0.0013736i,-7.903e-05+0.00032737i,-0.00025666+0.00029952i,-0.00042895+0.0008596i
-0.0012512+0.0015042i,-0.00082636+0.0013312i,-7.1931e-05+0.0017343i,0.00025387+0.0008842i,0.001036-0.0015198i,0.0011385-0.0028847i,0.00034827-0.0026617i,0.00047756-0.0015774i,0.00060696-0.00029023i,0.00032253+1.847e-05i,0.00048689-0.00060828i,0.00048877-0.00046316i,0.00059068-0.00040688i,0.00017498-0.0010677i,-0.00022359-0.00062996i,0.00068906+0.00032579i,0.0011721+0.00016407i,0.00084941+2.8002e-05i,0.00012973+0.0002268i,-1.4065e-06-0.00013945i,0.00017241-0.00018936i,-0.00015988-0.00029556i,-0.0002731-0.00039648i
0.00080442+0.00016316i,0.0013246-0.00019881i,0.0014979-0.00048121i,0.0014044-0.00059914i,0.0013973-0.00032462i,0.00048345-0.00055972i,-0.0010455-0.001064i,-0.00099884-0.00069228i,0.00022471+6.5111e-05i,0.00038077-8.6505e-05i,0.00011604-0.00027264i,0.00050648+0.00021853i,9.6057e-05+0.00025554i,-0.00037223+6.156e-05i,0.00044094-0.00019287i,0.00096828-0.00013118i,0.0005278+1.3674e-05i,0.00053456+0.00038947i,0.0004779+0.00038801i,0.00037059+1.284e-05i,-0.0003354+0.00054364i,-0.0010466-9.2853e-05i,-0.0010235-0.00046519i
