-0.0018774-0.00065522i,-0.00054731-0.0010347i,-0.00077641-0.00042382i,0.00010548-0.00059768i,0.00053947-6.1234e-05i,0.00050317+3.0065e-05i,0.00094404+0.00054433i,0.0014409+0.00060019i,0.001302+9.5636e-05i,0.0011814+0.00079959i,0.0010166+0.00022587i,0.00068297-0.00094723i,0.0010209+0.00020761i,0.00088974+0.00088738i,0.00057922+0.00072223i,0.00034294+0.00036324i,0.00046142-0.00073322i,0.00055309-0.00067362i,0.00024168-0.00038133i,-0.00013843-0.0010199i,4.4041e-05-0.00040922i,0.00053239+0.00035286i,0.00094203+0.00015809i
0.001445-6.5193e-05i,0.0014166-0.00095624i,0.0010617-0.0010061i,0.00038282-0.0010933i,0.0002571-0.0020428i,0.0004197-0.0012817i,0.00054969-0.00062013i,0.0008542-0.00063533i,0.00067677-0.00043469i,0.00055168-0.00038842i,-0.00018083+0.00036393i,-0.00073051+0.00062678i,-0.00046363+0.00026703i,-0.00044869+0.00023021i,8.453e-05+0.00032175i,0.0005737+0.00056737i,-0.00017494+0.0006498i,-0.00036022+0.00074665i,0.00011987+0.00072645i,-1.2009e-05+0.00027918i,-2.5473e-06-0.00052478i,-0.00015611-0.0012105i,-0.0005904-0.00081024i
-0.00022761+0.0015774i,0.00081373+0.0011287i,0.0014403-0.00016718i,0.0016092-0.0015865i,0.0019334-0.0018007i,0.0021559-0.001151i,0.0020235-0.0011324i,0.00097101-0.00072841i,7.4115e-05-0.00025082i,-7.9644e-07-7.2792e-05i,-6.3901e-05+4.1777e-05i,-0.00018556-0.00018338i,-0.00067292-0.00098595i,-0.0010575-0.00087947i,-0.00018812-0.00053749i,0.00014525-0.0008299i,-0.00087107-0.00043228i,-0.0013705-7.868e-05i,-0.00062973+0.00024512i,-0.00054039+0.00076663i,0.00018442+0.00016103i,0.000158-4.6619e-05i,-0.00077141+0.00028266i
0.00056493+9.3006e-05i,0.00043382-0.0009073i,0.0013801-0.0016163i,0.0020209-0.0018538i,0.0018769-0.0018914i,0.0014495-0.001419i,0.0013596-0.0012192i,0.00063612-0.00083351i,-0.00018182+0.00069267i,7.6791e-05+0.00083588i,-4.9918e-05-1.2028e-05i,-0.00045177+9.4486e-05i,-0.00054254+0.00018831i,-0.00013104-0.00036127i,-0.00039582-0.00050771i,-0.00076724-4.6247e-05i,0.000114-0.00065076i,0.00075757-0.00089169i,0.00070818-0.00022777i,8.3785e-06-0.00030872i,-0.00061424-0.00045013i,-0.0013101-5.4127e-05i,-0.0007039-0.00035288i
7.707e-05+0.0020046i,0.00033925+0.0017594i,0.00039469+0.0010499i,-0.00012616-0.00043504i,-0.0007835-0.00090697i,-0.00044822-0.00088354i,0.00086336-0.0012364i,0.0012521-0.00066186i,0.00096698-0.00031901i,0.00051777+0.00027285i,0.00013549+0.00092289i,0.00042252+0.00036406i,0.00093675+0.0001313i,0.00016832+0.00067473i,-0.00063095+0.00033104i,-0.00017415-0.0003364i,-2.4857e-05+2.5842e-05i,-0.00011495+0.00022667i,0.0005097-0.00019329i,0.0010809-9.4607e-05i,0.0010118+9.6621e-05i,0.00060192+0.0002142i,-0.00026649-0.00015672i
-0.00019655-0.0025571i,-0.00095176-0.0032731i,-0.00073751-0.0029707i,-0.00051751-0.0017896i,9.1612e-05-0.0012885i,0.00014692-0.0014499i,0.00061767-0.0016467i,0.0010368-0.00088615i,0.00010259-0.00017112i,-0.00056522-0.00025023i,-0.00042503-0.00074762i,-0.00040248-0.00078425i,-0.00062087-0.00027768i,-0.00049972+0.00014063i,-0.00026366-1.1034e-05i,0.00048712-0.00057611i,0.00067965-0.00070342i,1.2538e-05-0.00045349i,0.00010482-9.6595e-05i,0.00050584-0.00015559i,0.00015939-0.00021243i,0.00011952+6.6606e-05i,0.00056188+5.1935e-05i
0.0012718+0.00014424i,0.002498+0.0009327i,0.0024123+0.00051075i,0.00078239-0.00028639i,-0.00050079-0.00055679i,-0.00043785-0.00041142i,-5.3956e-05-0.00085993i,-0.00012015-0.00088744i,7.5977e-05-0.00028594i,0.00053915+6.7578e-05i,0.00064771+0.00043122i,0.00036926+0.00053919i,0.00053003+0.00014927i,0.00042797-9.8835e-05i,-0.00039628-0.00036836i,-0.00086244-0.00071382i,-0.00080792-0.0014866i,-0.00067332-0.0012309i,-0.00021782-0.0002454i,-0.00039682+0.00038132i,-0.00076788+0.0004411i,-0.00081749-0.00010971i,-0.00086342+4.1999e-05i
-0.00055184-5.4242e-05i,-0.00053174+6.6508e-05i,0.0010473-0.001206i,0.00099091-0.0023303i,-0.00042716-0.0022305i,-0.00021918-0.0014215i,0.00050976-0.0005813i,0.00070063+0.00030091i,0.00074126-0.00014684i,0.00064277-0.00080662i,2.3307e-05-0.00077675i,-0.00064137-0.00058453i,-0.00071608+5.0817e-05i,-0.0010797+0.00019847i,-0.00068684-2.4484e-05i,-0.00053133-0.00031622i,-0.0009387-0.00037444i,-0.00051999-7.8716e-05i,3.1432e-05-0.00010824i,0.00032826-0.00042094i,0.0003138-0.00018673i,0.0010007+0.00032727i,0.0013316+0.00030644i
0.00062511-0.0015379i,0.0004586-0.0011166i,0.00074627-0.00085148i,0.00075449-0.00018825i,0.00071814+0.00069668i,0.00085732+0.00033342i,0.0005433-0.0011315i,0.00026789-0.0015547i,0.00015146-0.00091582i,-0.00021864-0.00053783i,-0.00041679-1.4096e-05i,0.00026062+0.00099938i,0.00073255+0.0014737i,0.00072039+0.0011825i,0.00022049+0.00026815i,0.00032339+0.00012874i,0.0007614+0.00090999i,0.00057389+0.00061155i,-4.3279e-05-0.00033052i,-0.00019738-0.00014135i,0.0003508+0.00020978i,0.00069323+0.0011079i,0.00012347+0.00076005i
-0.00091772+0.0031617i,0.00022157+0.0026225i,0.00013739+0.0008427i,-6.6456e-05-0.0011286i,0.00067029-0.0019245i,0.00070362-0.0020676i,-0.00024964-0.0014007i,-0.00035708-0.00063847i,0.00026697-0.00057571i,0.00047041-0.00020842i,0.00063164+0.00028529i,0.00062411-0.00030706i,-3.8327e-05-0.00047133i,-0.00077624+8.5834e-06i,-0.0010669+0.00030902i,-0.00038218+0.00049819i,-0.00044635+0.0007348i,-0.0013149-6.4036e-05i,-0.00072108-0.00047136i,-0.00012206-0.00032337i,-0.00040942-0.000313i,7.132e-05+0.00015625i,0.00045741+0.0003963i
0.000641-0.0021258i,-0.0003046-0.0020784i,0.00014563-0.0015366i,0.00074172-0.00095735i,0.0012555-0.00015967i,0.0014441-0.0001587i,0.0012446+0.00029934i,0.00097697+0.00061574i,0.00026867-6.833e-05i,-0.00039356-0.00030374i,-0.00076743+0.00040146i,-0.0012327+2.4113e-05i,-0.00091433-0.00032996i,0.00040099+0.00051253i,0.00067177+0.00023044i,0.00020382-0.00015483i,0.00015675+6.5575e-05i,-0.00024511+0.00019619i,-0.00033659-7.2459e-05i,-2.1051e-05-0.00043915i,-0.00025579-0.00010153i,-0.00099744+0.00029118i,-0.0010925+9.6103e-05i
0.0017018+0.0018419i,0.0024428+0.00012453i,0.0030132-0.0024461i,0.0023275-0.0029506i,0.0011843-0.0019169i,0.00082415-0.0012618i,0.0002025-0.0012631i,-0.00068566-0.00072587i,-0.00031151-0.00080367i,0.00056021-0.001397i,0.00040481-0.0014847i,-0.00021295-0.00087233i,1.5991e-05+0.00027551i,4.4132e-05+0.00010498i,-0.00011114-0.00029257i,-0.00023971+0.000306i,-0.00010659+0.00088462i,-0.00027712+0.00074478i,-0.00056584+0.00012806i,-0.00052823-0.00023526i,-0.00038996-0.00021474i,-0.00054133-0.00065535i,-0.00020758-0.00040606i
-0.0016159-0.00071999i,-0.0018442-0.00098373i,-0.00094503-0.00020886i,-0.00021092+1.8904e-05i,0.00028475-0.00083793i,0.00075223-0.00081043i,0.00058892-0.00053521i,0.00040003-0.0013053i,0.00012117-0.0017244i,9.8115e-05-0.00095596i,-0.00016067+0.00038208i,-0.00072959+0.00077796i,-0.00019428+0.00060851i,-0.00042737+0.00035995i,-0.00073118-0.00011432i,-0.00018583-5.2848e-05i,-0.00033344+0.00019756i,-0.00042113+0.00071739i,-0.00012079+0.00078639i,-0.00045169+0.00052967i,-0.00037731+0.00036359i,-6.596e-05+4.9776e-05i,0.00032947+0.00017365i
0.00075102-0.00075408i,0.0015193+5.0089e-05i,0.0015807+0.00033643i,0.00095778-0.00047453i,0.00056106-0.00072026i,0.00091961-0.00048053i,0.0013037-0.00079648i,0.00078315-0.00051454i,0.00025453-0.000353i,-0.00010136-0.00029447i,-0.00057827+3.2936e-05i,-0.00017311-0.00038501i,0.00054568-0.00026931i,0.00033877-3.3349e-05i,0.00016225+0.00057438i,-8.2896e-05+0.00089092i,-4.0442e-05-0.00016508i,0.00051035-0.00038204i,1.8504e-05+0.00039205i,-0.0010592+0.00057745i,-0.00060355+0.0010566i,0.00029025+0.00083972i,0.00049839-0.00012307i
-0.00057596-0.00025202i,-0.00022231-0.00054476i,8.4592e-05-0.0008184i,0.00038318-0.0011442i,0.00056496-0.0021035i,-1.8802e-05-0.0025315i,0.00033188-0.0015621i,0.0012025-0.00024833i,0.00097515-1.6225e-06i,0.00041987-0.00051115i,0.00096783-0.0013226i,0.00029679-0.001349i,-7.781e-05-0.0011054i,0.00018644-0.0007422i,-0.0006551-0.00027881i,-0.0011011-0.00027564i,-0.00051846+0.00035487i,0.00032861+0.00080073i,0.00028565+0.00090273i,0.00016399+0.0006836i,0.00058986-0.00025672i,0.00077773+0.0001581i,-0.00023128+0.00027632i
0.00091038-0.0011247i,0.00068545-0.0012912i,0.0012782-0.0012715i,0.00066377-0.002107i,1.892e-06-0.0024869i,-0.00010067-0.0012979i,1.4411e-05-0.00098676i,0.00065033-0.00054455i,0.00043387+0.00049866i,-8.7756e-05+0.0003329i,-0.00010046+0.00018369i,-0.00027786+0.0003937i,-0.0005873+0.00038444i,-0.00040986-0.00013923i,0.00036595-0.00037077i,0.00075748-5.3178e-05i,0.00077607+3.3441e-05i,0.00056874-0.00028269i,-4.0076e-05-0.00023171i,5.1164e-05-4.9142e-05i,-5.768e-05-2.8179e-05i,-0.00012187-0.0001362i,-0.00014947+0.00028511i
0.0010572+4.6772e-05i,0.0010366+0.00024922i,0.00016368-0.0001512i,0.00054771-0.0014364i,0.0013565-0.0020074i,0.0011001-0.0019305i,0.00050356-0.0010527i,0.00058606-0.00059994i,0.00063064-0.00038102i,0.00073943-1.7716e-07i,0.00092956-0.00049045i,0.0006072-0.0012471i,-5.889e-05-0.00049233i,-0.00082837+0.00024514i,-0.0011761-7.5963e-05i,-0.0014467-1.0826e-05i,-0.00074677-0.00011534i,0.00034989-0.00039828i,0.00010259+0.00074035i,-0.00057159+0.0013018i,0.00014571+0.00030639i,0.00036674+0.00077814i,0.00036824+0.00086153i
0.00056588+8.9857e-05i,-0.00023034-0.0003455i,0.00066558-0.0018809i,0.0010281-0.0021694i,0.00053332-0.0015002i,1.7831e-05-0.0011899i,0.00055626-0.00086188i,0.00040078-8.938e-06i,-0.00024944+0.00064768i,-0.00060457+8.1919e-05i,-0.00070688-0.0010726i,-9.9635e-05-0.00075392i,0.00017584+0.00014516i,-0.00011202+0.00034885i,-0.0008797+0.00082518i,-0.00074979+0.00090644i,0.00039022+0.00048637i,0.00091715+0.00059591i,0.00086813-4.9131e-05i,0.00077223-0.00090602i,0.00059842-0.00079613i,0.00058242-0.00048352i,0.00037368+0.00033032i
-2.4446e-06+9.3381e-05i,0.0011034-0.00033741i,0.0014756-0.00032121i,0.0018952-3.1607e-05i,0.0013779-0.00013481i,0.00081596-0.00075066i,0.00085915-0.0010481i,0.00094076-0.00057335i,0.0011835-0.0003852i,0.0012753-0.00022561i,0.0011707-0.00017681i,0.00082081-0.00064741i,5.2518e-05-9.0534e-05i,-0.000576-0.00013352i,-0.0003709-0.00074224i,-9.2031e-05-0.00067233i,0.00063703-0.00031914i,0.00082862+0.00023556i,-0.00026313+0.00038902i,-0.00042101+0.00010775i,-0.00011701+0.00035658i,0.00035058+0.00051265i,0.00035345+0.00019105i
0.00081021-0.00090406i,0.0010982-0.0013078i,0.0016462-0.0014257i,0.0013965-0.0016283i,0.0014272-0.0014151i,0.0013759-0.0011312i,0.00087456-0.00096168i,4.5397e-05-0.00032904i,-0.00016858-0.00020749i,-0.00039213-0.00037034i,-0.00073916-0.00037514i,-0.00077867-0.00049266i,-0.00042093-3.4516e-05i,-2.3109e-05+0.00091811i,0.00017735+0.0011475i,-0.0001046+0.00047499i,-0.00039747+0.00015584i,0.00025484+0.00034571i,0.0010299+0.00027683i,0.0005031+0.00017122i,0.00010551+0.00010741i,0.00028293-0.00022673i,7.7336e-05-0.00036517i
-0.00030915-0.00077301i,0.00011372-0.0006874i,0.00010025-0.0006961i,0.0005951-0.00036717i,0.0013262-0.00054906i,0.0012798-0.00033886i,0.0014432+8.2945e-05i,0.0016714-0.00025006i,0.0013555+1.432e-05i,0.0011044+0.00059944i,0.00091796+0.00022486i,-9.1598e-05-0.00037783i,7.8758e-05-0.00063515i,0.00047476-0.00013528i,0.00036126+0.00013562i,0.00081523-7.2853e-05i,0.00086059-0.00082992i,0.00075184-0.00093748i,0.00035825-0.00042869i,-0.00025401-0.0002805i,-0.00042333+4.2283e-07i,0.00036569+0.00038207i,0.0009656+0.00088157i
0.00097101+0.00018039i,0.0015859-0.0007332i,0.0016512-0.00074296i,0.0011326-0.00029919i,0.00052654-0.00074972i,0.00073805-0.00093476i,0.00066317-0.00053425i,0.00031355-0.00056555i,0.0002026-0.0010655i,-0.00010819-0.00096422i,-0.00017369-0.00064587i,-0.0009927-0.00037242i,-0.00098806-0.0002063i,0.00014405-0.00031588i,0.00011561-0.00012743i,0.00021543+0.00042571i,0.00041952+0.00048618i,0.00016208-5.4645e-05i,8.7444e-05-0.00068985i,0.00068958-0.00036104i,0.00031233+0.00033121i,-0.00029776+0.00085867i,-1.1163e-05+0.0011771i
-0.00075179+0.00081835i,-0.00017013+0.00088066i,-0.00042235+0.00067846i,-0.00069092+0.00051707i,-1.6698e-05+0.00056997i,0.0010547-0.00066508i,0.0010516-0.0021276i,0.00094655-0.0018604i,0.00071677-0.00027896i,2.1103e-05+0.00065045i,-0.00087386+0.00012492i,-0.00022647+0.00035741i,0.00060709+0.00017584i,0.00030728-0.00076543i,0.00018059-0.00088717i,5.6765e-05-0.00050122i,0.0001439+0.00013632i,0.00030681+6.8062e-05i,0.00020461+0.00010727i,0.00063371-3.1641e-05i,0.0003518-0.00048754i,-0.0004248-0.00031014i,-6.1745e-05+0.00013295i
0.0012118-0.00044932i,0.0014347-0.0011866i,0.0018075-0.001415i,0.001856-0.0019837i,0.0015187-0.0025671i,0.0011801-0.0024096i,0.00099894-0.0011978i,0.00087796-0.00054726i,0.00084739-0.0011344i,0.00046207-0.0014459i,0.00027429-0.00062305i,0.00020946-0.0001193i,-0.00013461+0.00040945i,-0.00044861+0.00011319i,0.00014353-0.00058027i,0.00055361+1.2659e-05i,-0.00045354+0.00028517i,-0.00072079+0.00012873i,-0.00027095+0.00047064i,-0.00014142+0.00060541i,0.00063469+0.00033222i,0.0015023+2.8045e-05i,0.00080824+1.3805e-05i
0.0012847+0.0016534i,0.0020637+0.0013626i,0.002475+0.00046804i,0.0017582-0.00074184i,0.00081496-0.0011067i,-0.00014462+0.00029896i,-0.00012665+0.001499i,-7.4826e-05+0.00076595i,0.00020403+4.6019e-05i,-6.3644e-05-0.00029447i,-0.00034335-4.7508e-05i,-0.00021758+0.00041271i,0.00029182+1.0174e-05i,0.00056523-0.00077795i,0.00049959-0.00064114i,-6.8458e-05+0.00017131i,-0.00029147+0.00014491i,-3.2404e-05+0.00026108i,-0.00014214+0.00055291i,0.00027983+0.00026749i,0.00052064-0.00025685i,-7.0379e-06-0.00051626i,-0.00096568-0.00071541i
-0.00080996-0.00073351i,-0.00054937-0.00023209i,-9.0991e-05-0.00035351i,0.00020964-0.00097246i,0.00057633-0.00095029i,0.0015386-0.0011513i,0.0015743-0.0014629i,0.00099198-0.0010162i,0.00045197-0.00074268i,-0.00037489-0.0015619i,0.00016892-0.001628i,0.00093563-0.00050522i,0.001329+2.7474e-05i,0.0014149-0.00028225i,0.0011209-0.00031109i,0.00045104+5.5103e-06i,-0.00017698-0.0003223i,0.00028491-0.00042876i,0.0010855+0.00050451i,0.00058474+0.0010869i,0.00035377+0.00064979i,0.00089747+6.6578e-05i,0.0010426-0.00013241i
9.8719e-05-0.0025964i,-4.3621e-05-0.0026651i,-0.00031919-0.0021585i,-0.00053248-0.001154i,0.00018941-0.00081206i,0.0016814-0.00068055i,0.0017025-0.00038669i,0.00053861+2.4966e-05i,-2.1841e-05-0.00020585i,0.0001147-0.00017644i,0.00071063+0.00015171i,0.00050742-0.00034958i,-0.00023689-0.00036674i,0.00011461+5.9587e-05i,0.00093994-0.00023344i,0.00099662-0.00016373i,0.0014109+0.00019678i,0.0013676+0.00047982i,2.3166e-05-0.00067874i,-0.00080868-0.0015476i,-0.00012614-0.00051034i,0.00048652+0.00011188i,8.2436e-05-0.00027928i
0.0010825-0.00056514i,0.0013516-0.0002295i,0.00057493-0.0010157i,0.0001286-0.0017305i,0.00017297-0.0010712i,0.00043666-0.00037144i,0.00095672-0.00034698i,0.00097365-0.00028893i,0.00025607-0.00049416i,-0.00061578-0.00078527i,-0.00049632-0.00053513i,-0.00021881-0.00011305i,-0.00010102-0.00030941i,-0.0001587-0.0006326i,6.6623e-05-0.00041021i,0.00054462-5.0307e-06i,0.00033389+0.00047188i,0.00018067+0.00040084i,-0.00033147-0.00028293i,-0.00094016+0.00016091i,-0.00081076+0.00026673i,-0.00039716-0.00061774i,-0.00067039-0.00075548i
0.00032177-0.0018913i,0.00025194-0.00075518i,-0.00047391-0.0009864i,-0.00039085-0.001748i,0.0011982-0.0010534i,0.0016638-0.00091748i,0.00097143-0.0014751i,0.00093557-0.00059157i,0.00073419+0.00021458i,3.8393e-05+0.00018821i,-0.001146+0.00016813i,-0.0009216-1.2798e-05i,2.2875e-05-0.00013088i,0.00042785+5.9513e-05i,0.00029454+0.00021841i,-0.00015419-0.00011793i,-0.000138-0.00067101i,-0.00010728-0.00070141i,0.00024256-0.0011754i,0.00023915-0.00062502i,0.00014001+0.00057297i,-8.9254e-05+0.00058128i,-0.00037303+0.00048417i
0.0010585+0.00024147i,0.0016815-6.7601e-05i,0.0024369-0.00028296i,0.0025357-0.00069428i,0.0012041-0.0011993i,0.00017477-0.00093754i,0.00016941-0.00098571i,0.00059549-0.00087332i,0.00050713-0.00043968i,0.00018254-0.00080107i,-2.1783e-05-0.0013053i,5.3409e-05-0.00077956i,0.00041621+2.4837e-05i,0.00010111+0.00035801i,-0.00042915+0.00050094i,-0.00066293+0.00041625i,-0.00084871+0.00012385i,-0.00067439+0.00021475i,-3.6215e-05+0.00018917i,3.368e-05-0.00052286i,0.00040923-0.00014748i,0.00059269-0.00014663i,0.00083126-0.00085403i
-0.0010435-0.00046623i,0.00023785-0.00024785i,0.00049537-0.0010062i,-0.00019971-0.001914i,-0.0004606-0.0015169i,0.00042294-0.00055757i,0.00185-0.00021566i,0.0015522-0.00013832i,0.00027154+0.00020975i,-7.659e-05+0.00042483i,0.00024495+0.00043162i,0.00040952+0.001219i,0.00023828+0.00096864i,-0.00022656+0.00031043i,-0.00045598+0.00021884i,0.00011797+0.00022156i,5.2225e-05-0.00032716i,-0.00063372-0.00093656i,-0.00066969-0.001048i,-0.00022237-0.00072955i,0.00010299-0.00035525i,0.00027916-0.00046404i,0.00049948-0.00015488i
-0.0008417+0.0010977i,-0.000903+0.00057722i,6.0722e-07+0.00011482i,0.0013272+0.00014519i,0.0017633-0.001065i,0.0013003-0.0022769i,0.00081426-0.0021787i,-0.00013431-0.0015097i,-0.0013975-0.00053433i,-0.00094217-1.7118e-05i,0.00023452-0.00052174i,0.00018921-0.0007112i,-5.1119e-05-0.00037974i,3.5746e-05-0.00065234i,-6.2336e-05-0.0005174i,-0.00064265+1.4111e-05i,-0.00065534+6.9791e-05i,-5.428e-05-0.0003642i,-9.9872e-05-0.0005585i,-0.00096051-0.00025365i,-0.0012922-0.00032435i,-0.00078643-0.00066673i,0.00026408-2.7214e-05i
0.00013694-0.00096358i,0.0010223-0.0011179i,0.0011923-0.00084877i,0.00033915-0.0012195i,2.9286e-05-0.0016844i,0.00069844-0.0015918i,0.001173-0.0012971i,0.00054767-0.00097559i,-0.00033903-0.00078474i,-0.00029311-0.00037113i,0.00051709-0.00056453i,0.00076171-0.00040989i,0.00048075+0.0001086i,0.00064894-0.0001786i,0.00060113+0.00022675i,0.00059813+0.00023399i,0.00091572-0.0002162i,0.00079095+0.00042141i,0.00027757+0.00067841i,-0.00030791-0.00017964i,-0.00041357-7.4607e-05i,-0.00056021+8.5548e-05i,-0.00052281-0.00085981i
