-0.001106-0.0010055i,2.4042e-05-0.00052126i,-0.00069181+0.00025777i,-0.00086908+0.0016394i,-8.6928e-05+0.0031418i,0.0008938+0.002523i,0.0019878+0.0019386i,0.002339+0.001983i,0.0016456+0.0010576i,0.000814+0.00043185i,0.0010681-0.0007546i,0.0014467-0.0021404i,0.001114-0.0015705i,0.0010838-0.00029726i,0.0010536-0.0002216i,0.00074164-0.00030486i,0.0001576-0.00015913i,-8.5569e-05-0.00073036i,0.00018207-0.0011924i,-0.00015361-0.00083354i,-0.00036844-0.00045154i,-0.00021201-0.00031621i,0.00012223-0.00027818i
-9.8533e-05+0.00061153i,0.00041613+0.00060697i,-3.8712e-05+0.00097868i,-0.00083834+0.00087533i,-0.00017965+0.00051516i,0.001516+0.00075285i,0.0018434+0.00082016i,0.00090249+0.00099157i,0.00033673+0.001168i,0.00053784+0.00052774i,0.00019311-0.00024428i,-0.0001286-0.00036774i,0.00034415+0.0003346i,0.00048474+0.00034759i,0.00046527-0.00072923i,0.00058159-0.00085428i,0.00071241-0.000436i,0.00046426-0.00011673i,-0.00037382-0.00021119i,4.9914e-05+0.00020834i,0.00037412+0.00055895i,7.5128e-05+9.0343e-05i,0.00042844+0.00018569i
-6.4389e-05-0.00042473i,-0.00036245-0.0015401i,-0.00017183-0.0013187i,-8.108e-05+0.00059624i,0.00032211+0.0016159i,0.00064362+0.0014837i,0.00049014+0.0012425i,-0.00023165+0.00085513i,-0.00028069-6.7102e-05i,0.00069164-0.00028104i,0.00031513+0.00024969i,-4.5393e-05-0.0001599i,0.00041229-0.0011452i,0.00055094-0.0011924i,0.00051381-0.00030146i,1.7143e-05+0.00010218i,-0.00021488+0.00019811i,0.00030112+0.00011337i,9.0762e-05-0.00049883i,-0.00029286-0.00072273i,0.00023625-0.00051377i,8.7572e-05-0.00097722i,-0.00095476-0.0012175i
0.00082204-0.0017072i,-5.3695e-05-0.0022812i,-0.00022233-0.0025973i,-1.0404e-05-0.00059632i,0.00030835+0.0017996i,0.0010943+0.0025755i,0.0018595+0.0023681i,0.0021382+0.0011723i,0.0018056-0.00018092i,0.00071109-0.0010956i,-0.00064074-0.00074969i,-0.0005602+0.00052833i,0.00023023+0.0012623i,0.00070012+0.00091289i,0.00026607+0.00072981i,-0.0003042+0.00039052i,-0.00026364-0.00025691i,-0.00037019-0.00040385i,-0.00030157-0.00052659i,0.00022963-0.00085363i,0.00039614-0.0010834i,0.00036333-0.00094073i,0.00068034-0.00017375i
0.00041729+0.0015793i,0.00045334+0.00046933i,0.00073617+0.00046778i,0.0011447+0.00070063i,0.001336+0.00073695i,0.0012632+0.00035948i,0.00072527+0.00036662i,0.00079061-0.00027943i,0.0012357-0.0011812i,0.00056039-0.00092762i,0.00077535-0.00081097i,0.0012886-0.00059306i,0.00029424+2.1345e-05i,-0.00022346+0.00058934i,2.5362e-05+0.00042678i,-0.00039167-0.00014694i,-0.00071563-0.00069229i,-0.00067316-0.0013229i,-0.00070155-0.0010641i,-0.00067911-0.00058775i,-0.0002509+6.2391e-05i,-9.4003e-05+0.00081338i,-0.00063305+0.00071079i
0.00012598+0.00084928i,-0.00035828+0.00063726i,-0.00076442+0.001079i,-0.00034903+0.001972i,-3.6721e-05+0.0023757i,0.00040823+0.0014356i,0.0010586+0.00073289i,0.0015262+0.00068897i,0.0015615+0.00080135i,0.00092124+0.00052298i,0.00079543-0.00021258i,0.00046133+0.00030227i,-0.00065161+0.00035138i,-0.00095443-7.6848e-05i,-0.00094479+5.067e-06i,-0.00055419+0.00056635i,-0.00021177+0.0010253i,-8.624e-05+0.00039002i,-7.0071e-05-0.00024508i,-0.00023162-6.2636e-05i,-0.00032656-0.00027983i,-0.00044822-0.00086895i,-0.00027885-0.00062914i
-0.00057859-0.00085971i,-0.00018934-0.00067887i,0.00011385+3.7883e-05i,0.00018274+0.00096334i,0.00089137+0.00164i,0.00089473+0.0011147i,-0.00037227+0.00058739i,-0.00051532+0.00065443i,-0.00034213+0.00046976i,-0.00028758+0.00025702i,-0.00045622-2.6004e-05i,-0.00083345-0.00067111i,-0.00067437-0.00018131i,-0.00057814-4.0643e-05i,-0.0005906-0.00071607i,-7.2184e-05-0.00082663i,0.00019528+5.4808e-05i,7.9157e-05-0.00024171i,8.3379e-05-0.00073058i,0.00027793+2.0089e-05i,0.0005509+6.8111e-05i,0.00070289-0.00012342i,0.00032133-0.00074396i
0.00050795+8.1078e-05i,-0.00012084-0.0012247i,5.1919e-05-0.00066654i,0.00021476+0.00026417i,0.00056929+0.0015198i,0.00088532+0.0024455i,0.00085911+0.0024162i,0.0011654+0.0017972i,0.0010479+0.00071127i,0.0010376-0.00039597i,0.0011018-0.00038788i,0.00011439+0.00019275i,-4.9695e-05+0.00071401i,-0.00035179+0.00067219i,-0.0013049-0.00046828i,-0.0013894-0.00052523i,-0.00099207-3.6093e-05i,-0.00035715+0.00026856i,0.00021785+0.00018969i,-5.5565e-05-0.0002539i,-0.00018806-0.00033941i,9.6038e-05-0.00033447i,0.00022923-0.00052308i
0.00056792-0.00021212i,-0.00047435+0.00087969i,-0.0013404+0.0010871i,-0.00095966+0.001002i,0.00034476+0.0017067i,0.0011586+0.0020985i,0.0013148+0.0009355i,0.00085625+0.00022653i,0.00031849+0.00063348i,0.00072787+0.00060418i,4.6943e-05-1.6764e-05i,-0.00073568-0.00019628i,-0.00010052+0.00032082i,-0.0001895+0.00055554i,-0.00049704+0.00035612i,-0.0002448-5.3441e-05i,-6.8576e-06-0.00014344i,9.0644e-05-3.077e-05i,-0.00016425+8.1469e-05i,-7.741e-05-4.1576e-05i,0.00040001-0.00043581i,0.00050721-0.00054396i,0.00015955+4.1394e-05i
0.0003658-0.0006456i,0.0002056-0.00053257i,-0.00011941-0.0012128i,-0.00064716-0.00075084i,-0.00049362+0.0013471i,0.0012085+0.0022895i,0.0018577+0.0015501i,0.00079056+0.00029383i,0.00074426+0.00015517i,0.00071241+0.00015271i,0.00037357-0.00029393i,0.00025431-0.00023916i,-0.00041039+0.000479i,-0.0014976+0.00039322i,-0.0013219-0.00049203i,-0.00026659-0.0007539i,0.00011381-0.00065795i,0.0003835-0.00073856i,8.1944e-05-0.00037213i,0.00010543+0.00012712i,-3.3433e-06+0.00014819i,-0.00049924+0.00074667i,-0.00056002+0.00072336i
0.0012247+0.00038755i,0.00078101-0.0005106i,-0.00026665-0.00037121i,-0.00083564+0.0015628i,-0.00047409+0.0031856i,-9.935e-06+0.0022106i,0.00067891+0.00084172i,0.00043356+0.00081892i,6.1468e-05+0.00044183i,0.00021146+0.00022644i,-0.0003403-0.00042436i,-0.00090597-0.0011269i,-0.00067141-0.0005402i,-0.00092062+0.00011855i,-0.00073612+0.00028197i,-0.00016486-0.00015239i,0.00028551-0.00069039i,0.00035308-0.00028394i,0.00027025-0.00039075i,0.00025682-0.00075402i,0.00018043-0.0010634i,-0.00055856-0.00037458i,-0.00052281+3.5976e-05i
-0.00051235+0.00068211i,0.00028039+0.00012254i,0.00049268+0.00036275i,-5.8669e-05+0.00070233i,0.00059401+0.001459i,0.0013289+0.0022147i,0.0011163+0.0019093i,0.00068035+0.00073291i,0.00031814+0.00032918i,0.00035987+0.00069658i,0.00061097+0.0003837i,5.7825e-05-0.00032711i,-0.00042127-0.00033089i,-0.00016459+0.00031749i,-0.00055983+0.00016649i,-0.00070505-0.000291i,-0.00038743-8.0163e-05i,-0.00089038+0.00027251i,-0.000693+9.2283e-05i,-0.00037301-0.00034289i,0.0001182-0.00020894i,-0.0003266+0.00024525i,-0.00055719+0.00067895i
-0.00013474-0.0013198i,0.00039495-0.0018457i,-0.00030383-0.0014872i,-0.0013211-0.00060099i,-0.00093939+0.00092789i,0.00029867+0.0023916i,0.00085517+0.0014659i,0.0010609-0.000186i,0.00082632-0.00040302i,0.00050827+8.84e-06i,0.00021363+0.00018108i,0.00014099-0.00012086i,0.00045764-0.00050578i,0.00076589-0.00064678i,0.00015962-0.00039338i,-3.7659e-05+4.9382e-05i,0.00018214+0.00014332i,-0.00028428-0.00035517i,-0.00010586-0.00026727i,0.001111-6.4354e-05i,0.00083142-0.00035181i,0.00026771-0.00019926i,0.00016124+0.00025954i
-0.0010941-0.0006993i,-0.0012706-0.0004889i,-0.0010895-0.00091121i,-0.0012725-0.00013736i,0.00032147+0.0021255i,0.0017544+0.0025335i,0.0015421+0.0016993i,0.0017398+0.0017002i,0.0012196+0.0011536i,0.0002974+0.00016387i,0.00056432-0.00075087i,0.00062011-0.00066735i,0.00094384-0.00058748i,0.001329-0.00076509i,0.00098022-0.00095303i,0.00031761-0.0011749i,-0.00061277-0.00090331i,-0.00043579-0.00049699i,0.00052041-0.0002408i,0.00083436+0.00031963i,0.00070193+0.00025726i,0.00035091+0.00024716i,-3.8503e-06+0.000315i
-0.00020515-4.4357e-05i,0.0003055-0.0008541i,-0.00049762-0.00021304i,-7.0055e-05+0.0010547i,0.00046209+0.001821i,0.0002112+0.0017081i,0.0011314+0.0012993i,0.00079113+0.0016615i,-0.00013635+0.0010971i,0.00094579+5.4292e-05i,0.0016696-0.00044257i,0.0011184-0.00065922i,0.00028374-0.00023121i,-0.00043753-7.0048e-05i,0.00028613+9.3735e-05i,0.00063114+0.0009747i,-2.7685e-06+0.0012378i,0.00039492+0.00051491i,0.00035461+0.0004871i,0.00029913+0.0005808i,0.00058575+0.00022588i,0.00034052-0.00010165i,0.00027248+0.00030447i
0.00042492-0.00041147i,0.0013751-0.00048099i,0.0010137-0.00087887i,-0.00031936+0.0002411i,5.3028e-05+0.0014945i,0.00079089+0.0023437i,0.00023092+0.0017035i,-0.00036899+0.00042064i,-0.00061598-0.00041264i,-2.9429e-05-0.00016887i,-4.6138e-05-6.8085e-05i,0.00022936-0.00045614i,0.00041618-0.00035128i,2.0404e-05-0.00057678i,3.7003e-05-0.00080353i,-0.00050979-0.00042671i,-0.00066095-2.6159e-05i,-7.215e-07+0.00065636i,0.00024704+0.00046696i,5.7053e-05-7.1594e-06i,1.1329e-05-0.00030205i,6.4366e-05+0.00012931i,0.00016185+0.00046951i
0.00063944+0.00063279i,0.00039871+0.0012581i,0.00010241+0.001004i,0.0001729+0.0015478i,0.00073803+0.0026956i,0.0011482+0.0029712i,0.00098113+0.0018999i,0.00093933+0.00016801i,0.00077766-0.00052586i,0.00042832-0.00081028i,0.00032746-0.0009494i,0.0004493-0.00061112i,1.199e-05-0.00082284i,-0.00039044-0.00038227i,-0.0007853+0.00032878i,-0.00094289+0.00025751i,-0.00052573+0.00051701i,-0.00022038+2.5461e-05i,-0.00033587-0.0012501i,-0.00046866-0.0011698i,-0.00032073-0.00010298i,-0.00049777-0.0001903i,-0.00043112-0.00043424i
0.00094302+0.00069729i,9.8021e-05+0.00077099i,-0.00025679+0.00033238i,-0.00017557-0.000216i,8.9836e-05+0.00080026i,2.0991e-06+0.0019682i,0.00039893+0.0013237i,0.0010196+0.00033355i,0.00062483+0.000204i,0.00058897+0.00028419i,0.00044066+1.806e-05i,-0.00036403-0.0005231i,5.6459e-05-3.2447e-05i,0.00025426+0.00024243i,-0.00044227-0.00030376i,-0.00071906+8.2625e-05i,-0.0011238+0.00094658i,-0.00051189+0.00052765i,0.00042254-2.1732e-05i,0.00041849+0.00031605i,0.00020538+0.00054898i,-0.00041041+0.00068674i,-0.0003422+0.0008019i
0.00074415-0.00088957i,0.00098574-0.00097305i,-0.00027624-0.00014364i,-0.00063498+0.0011499i,-0.00057782+0.0020734i,-2.6272e-05+0.0023098i,0.00077651+0.0018813i,0.00093138+0.0017877i,0.0011247+0.0020438i,0.00071425+0.0012156i,2.8661e-05-2.0449e-05i,-4.088e-05-0.0003586i,0.00030351+5.2719e-05i,0.00065161-0.00010487i,0.00061603+6.209e-05i,0.00025885+0.00017444i,-9.1776e-05-0.00040418i,4.4012e-05-0.00025529i,-0.00026519+0.00019403i,-0.00055852-9.0396e-05i,-3.9265e-05-0.00045739i,-0.00016177-0.00060441i,-0.00057647-0.00053591i
0.0010464+0.0014148i,0.00096442+0.0015754i,-0.00054231+0.0011928i,-0.00083446+0.00084346i,0.00065848+0.00080914i,0.0020989+0.0012674i,0.0018228+0.0010849i,0.0010156+0.00066015i,0.00013224+0.00034517i,-0.00012149-0.00011979i,0.00051515-0.00039347i,-0.00019751+0.00011824i,-0.0013042+0.00068719i,-0.00074069+0.00028107i,7.4862e-06+0.0001265i,-0.00026241+1.9075e-05i,-0.00012044-0.00027434i,0.00011304+0.00078193i,-0.00082509+0.00064985i,-0.00075053-0.00076033i,5.7136e-05-0.00072396i,0.00063832-0.00047159i,0.0010658+0.00057593i
-0.00031567-0.0018103i,0.00027014-0.0013864i,0.00023368-0.00032031i,-0.00045392+0.00044878i,-0.00098892+0.0018409i,-0.0004697+0.0027323i,0.0011184+0.0024806i,0.0013559+0.00095109i,0.00049646+0.00031617i,-0.00046397-0.00012963i,-0.00077296-0.00012169i,-0.00049653+0.00045154i,-0.00012338+0.001239i,0.00068585+0.0019531i,0.00046361+0.0014638i,-0.00027834+0.00097258i,-0.00029031+0.00080833i,-0.00040607+0.0005502i,-0.0010749+0.00052233i,-0.00028869+4.2556e-05i,0.00069025-0.00062279i,-5.1231e-06+1.8165e-05i,-0.00082637+0.0010092i
-0.00078734-0.00081475i,-0.0011709-0.0011041i,-0.0011525-0.0004272i,-0.0006543+0.00081606i,0.00085868+0.0017371i,0.00083744+0.0018084i,0.00032237+0.00053374i,0.00092074-0.00060247i,0.0011618-0.00048957i,0.00039108+0.00012921i,-0.00017934+0.00011957i,3.7529e-05-0.00053574i,0.00051973-0.0010793i,0.00051803-0.00080709i,-0.00030805-0.00012375i,-0.0006392-0.00014494i,0.00051462-0.00026768i,0.00086847-0.00039363i,-0.00027803+0.0001514i,-0.00092083+3.8871e-05i,-0.00022044-0.00037652i,0.00028788-0.00022573i,0.00020307+0.00013103i
0.0011506+5.1133e-05i,0.00099539-0.00032385i,0.0005844-0.0012896i,-0.00048154-0.00065965i,-1.7077e-05+0.0005725i,0.0011137+0.00069073i,0.00073822+0.00046071i,0.00025777+0.00024674i,0.00038868-0.0005388i,0.0010597-0.00089616i,0.00012522-0.00048592i,-0.00040123-0.00050475i,-0.00010581-0.00076736i,-0.00031688-0.00067458i,-0.00025986-0.00022981i,-0.00020249-0.00027347i,-0.00044686-0.00049115i,-0.0008737-0.00017125i,-0.00029109-0.00039139i,0.00044971-0.0011065i,0.00049025-0.0013599i,0.00052164-0.0012048i,0.00046367-0.00097986i
0.0018669+0.00075985i,0.0011461-0.00020283i,0.00081597-0.0010542i,0.00031395-0.00089144i,0.00058937+0.00037932i,0.00011058+0.0014256i,-0.00058095+0.0017405i,0.0001083+0.0011885i,0.001166+0.00010339i,0.0009679-0.00064108i,0.00030438-0.001132i,2.474e-05-0.00091054i,9.1312e-05-0.00061633i,2.1159e-06-0.00064127i,-0.00031963-0.00055152i,-0.00076044-0.00099359i,-0.00034234-0.00060861i,-0.00010469-1.5549e-05i,-0.00055986-0.00031933i,-0.00060873+0.00029582i,2.8646e-05+0.00030045i,0.0007953+6.2464e-06i,0.00058064+8.4418e-05i
-8.1867e-05-0.00030202i,-0.00034725-5.8027e-05i,-0.0019508+0.00074638i,-0.0022454+0.0021118i,-0.00061334+0.0024355i,0.00041932+0.0020039i,0.00012615+0.0011076i,-0.00033133+0.00019742i,-0.00043298+9.5757e-05i,-0.00051695-0.00036765i,-0.00015579-0.00026671i,0.0008489+0.00044771i,0.001231-3.9556e-05i,0.0012356-0.00045081i,0.00056831-0.00041167i,-9.2672e-05-0.00095425i,5.6978e-05-0.0003161i,0.0003455+0.00033364i,0.00047051+0.00019009i,0.00030903+9.0557e-05i,-0.00032074+1.2268e-05i,-0.00066467+0.0003468i,-0.00069412+4.0621e-06i
0.00029552-0.0012649i,0.00026666-0.00074668i,0.00021853-0.00080934i,-7.4691e-05-0.00027259i,0.0001764+0.0011625i,0.00044964+0.0019665i,0.00068822+0.0019047i,0.0008564+0.0014818i,0.00051655+0.0015609i,0.0003134+0.0015082i,1.1175e-05+0.00049709i,-8.2372e-05-0.0004195i,6.733e-05-0.00057824i,0.00011638+1.6817e-05i,0.00033601+0.00011584i,0.0011131-0.00040618i,0.0010043+3.1437e-05i,0.00018063+0.00035701i,0.000432-3.5013e-05i,0.00013329+0.00051619i,-0.00089037+0.0008699i,-0.0010995+0.00022275i,-0.00060486+0.00018315i
0.00052419-0.00065883i,0.0013916-0.0011953i,0.00089819-0.0010712i,0.0005895+0.00017039i,0.00087921+0.0012098i,0.00095208+0.0012511i,0.00098988+0.00059583i,0.00089726+0.00024797i,0.0002979+0.00046587i,-0.00060654+0.00022672i,-0.00057258-0.0006595i,-0.00031866-0.0008936i,-0.00075119-0.00022055i,-0.0010184+0.0001668i,-0.00040421+0.00036332i,9.2584e-05+0.00072445i,0.0001732+0.00038917i,-0.00041042-0.0001537i,-0.00013904-0.00047327i,0.0010993-0.00015711i,0.00097682+0.00050586i,1.9188e-05+0.00060735i,-4.2825e-05+0.00091675i
-0.0002795+0.0021685i,0.00017596+0.00030538i,0.00088193-0.00051613i,0.00054531+0.00040781i,0.00046428+0.0010592i,0.0012082+0.0008631i,0.0012563+0.00042286i,0.00035413+0.00057284i,0.00028105+0.0011645i,0.001211+0.00060292i,0.0018141+0.00016026i,0.0017483-0.00033678i,0.00070691-0.00079328i,4.1279e-05-0.00069043i,0.00014527-0.00042489i,-0.0004293-0.00049952i,-0.00054031+5.922e-05i,0.00054893+0.0016115i,0.00033607+0.0020746i,-0.00068266+0.0014706i,-0.00053251+0.00057987i,-0.0001844+0.00041639i,-0.00051727+0.0008531i
0.00066877-0.00091171i,0.00042983-0.00041613i,-0.00017141+0.00077751i,-0.00038276+0.0019831i,0.00057615+0.0023737i,0.00072834+0.0026119i,0.0004863+0.0023354i,0.00018964+0.0010186i,-0.00021446-0.00014835i,-0.00068677-0.00050808i,0.00037769-8.8356e-05i,0.0011438+0.00045831i,0.00015039-4.8756e-05i,0.0001426+9.547e-05i,0.00033116+7.102e-05i,-0.00075619-0.00056966i,-0.0011302-0.00035515i,-0.0002149-0.00019093i,6.2585e-05-0.00022684i,-4.6412e-05-0.00033772i,2.5023e-05-0.00089161i,0.00010913-0.00047214i,0.00061957-0.00060587i
0.00089847-0.0017574i,-0.00017571-0.0020023i,-0.00069559-0.001821i,-0.00094513-0.00074968i,-0.00070341+0.00092094i,0.00060149+0.0017415i,0.0014765+0.0013209i,0.0011048+0.00022458i,0.0010279-9.7997e-05i,0.00066829-4.1851e-06i,0.00058058+9.8421e-05i,0.0012053-1.16e-06i,0.001429+0.00022569i,0.00071106+0.00075473i,-0.00028645+0.00040248i,-0.00069069-0.00066184i,-0.00026287-0.00094722i,0.00019961-0.00068262i,0.00022848-0.00066539i,0.00047741-0.00059528i,0.00054443-0.00068102i,0.00022947-0.0011941i,-0.00026129-0.0012948i
-0.001591-0.0007654i,-0.0024432-0.0011141i,-0.0020976-0.00031504i,-0.00077492+0.0001044i,-0.00059413+0.0005884i,-0.00018997+0.00067873i,-0.00013146-0.00016092i,0.00010033-0.00012725i,0.00082415-4.2802e-05i,0.00045808+0.00010435i,-0.00029627+0.00044609i,-9.0802e-05+0.00019268i,0.00066926+0.00017236i,0.00059568-0.00035154i,0.00078967-0.00048854i,0.0013392+0.00028114i,0.00078388+0.00070545i,-7.0258e-06+0.00049877i,-0.00022817+0.00019029i,0.00021803-0.0002192i,0.00045821-0.0007078i,3.1164e-06-0.00079476i,-0.00044163-7.9048e-05i
0.0014328+0.00048481i,0.0013508+0.00053637i,0.00050285+0.00020212i,-0.00036225-2.7433e-05i,-0.00020647+0.00079858i,6.8903e-05+0.0020757i,8.824e-05+0.0020341i,0.00056968+0.00062036i,0.00070208-0.00019684i,0.00034445-0.00046706i,0.00041611-7.9224e-05i,0.00020621+0.00056159i,0.00013036-1.122e-05i,0.00014347-0.00037234i,-0.00016351-0.00010166i,1.5822e-05-0.00023267i,0.00081579-0.00055183i,0.00069345-0.00067244i,-5.5177e-05+1.1473e-05i,-0.00060076+0.00058928i,-0.00080969+0.00042228i,-0.00071671+0.00047509i,-0.0005808-0.00011228i
-0.0016903-2.5168e-06i,-0.0007031+4.425e-05i,-0.001329-0.00027306i,-0.001783+0.0001449i,0.00016344+0.0016322i,0.0013431+0.0020697i,0.00091959+0.00141i,0.00053743+0.0012314i,0.00044778+0.00079842i,9.1647e-05+4.3157e-05i,-4.892e-05-2.8593e-05i,0.00013868-0.00024152i,0.00024271-0.0011291i,0.00054455-0.0018476i,0.00043054-0.0017489i,0.00046739-0.00067043i,0.00014728+0.00054784i,-0.00099779+0.00081942i,-0.0011636+0.00030584i,-0.0011066-0.0004044i,-0.0010624-0.00048683i,-0.00053262-0.0003226i,0.00051988-0.00015779i
