0.0024131-9.0355e-05i,0.0017754-0.00094902i,0.0011008-0.0025453i,-1.8056e-05-0.0031287i,-0.0014745-0.0024759i,-0.0025221-0.00070934i,-0.0012725+0.00071275i,0.00021216+0.0011023i,0.0015688+0.00045475i,0.0013236-0.00089583i,0.00028014-0.0015786i,-0.00013416-0.00033805i,-0.00035561+0.00030331i,0.00040687-0.0003685i,0.001303-0.00040136i,0.0015711+0.00035505i,0.00069079+0.00071137i,9.1301e-05+0.00043312i,0.00044412-0.00032012i,-3.5145e-05-0.0010025i,-0.0003517-0.00068734i,-0.00048964+5.3576e-05i,7.8082e-05+0.00034561i
-0.0012956+0.00044799i,-0.00083374+0.00046651i,-0.00024159+0.00071947i,0.00015261-0.00013851i,0.00089425-0.0010873i,0.00065166-0.0012434i,-1.1696e-05-0.0014938i,-0.0004622-0.0012786i,-0.00039133-0.00069804i,0.00026778-0.00056361i,0.00023227-0.000444i,0.00061209-0.00077493i,0.0003923-0.00084079i,-0.00024301-0.00040023i,-5.2761e-05-0.00049593i,0.00014237-0.00061614i,0.0002413-0.00013951i,0.00038419-0.00021475i,0.00042237-0.00025462i,-0.00016299-0.00077903i,-0.00039401-0.00074257i,-0.00035826-0.00026922i,-0.00032046-0.00037141i
0.00015798+0.00056294i,0.00015418+0.0011109i,0.00072092+0.00040903i,0.00085878-0.00036093i,0.00097567-0.00074007i,0.00043308-0.0015506i,-0.00065615-0.002182i,-0.0015602-0.0025328i,-0.0015074-0.002029i,-0.00078444-0.0010539i,-0.00094765-0.00034555i,-0.001397+0.00040203i,-0.0010713+0.00027322i,-0.00045145+0.0001179i,-0.00029838+6.0337e-05i,-0.00016932+5.3365e-05i,-0.00067658-7.6765e-05i,-0.00074659-0.00046676i,0.0003785-0.0006294i,0.0010583-0.00027257i,0.00095506-0.00013643i,0.00056462-0.00033225i,2.0343e-05-0.00065001i
-0.00019445+0.0026219i,-0.00048246+0.0029325i,0.00090437+0.0022141i,0.0024971+0.001041i,0.0031768+5.6009e-05i,0.0023421-0.0010561i,0.00086992-0.00060996i,9.1874e-06+0.0011747i,-0.00055705+0.00070365i,-0.00045697-0.00059191i,-0.00034274-0.00063401i,-0.0002469-0.00059339i,-0.00018424-0.00054451i,-0.00073471-1.1556e-06i,-0.00073357+0.00076366i,-3.3778e-05+0.00133i,-0.00029003+0.0014141i,-0.00080766+0.001061i,-0.00060553+0.00067488i,-0.00067549+0.00058845i,-0.0004198+0.00019683i,-9.5782e-05-0.00031812i,0.00039083-0.00036872i
-0.00059445+0.00050963i,-0.00013134+0.00069393i,0.00044662+0.0011101i,0.00076395+0.00080038i,0.00039245+0.00037197i,-4.1017e-05-8.5587e-05i,0.00021778-0.0002546i,5.7118e-05+7.5758e-05i,-0.00057227+0.0010491i,-0.00097994+0.0013837i,-0.00088265+0.00062269i,-0.00052877-0.00030123i,-8.8365e-05-0.00046452i,-5.4459e-05-9.9795e-05i,-0.00068133+9.9609e-05i,-0.00026548-0.00037806i,-0.00020853-0.00025722i,-0.0012815+0.00021706i,-0.001367+3.0095e-05i,-0.00082454+0.00023343i,-0.00026526+0.00045251i,-9.337e-05+0.00011234i,-0.00046795-0.00050107i
0.00047799+6.2404e-05i,0.00031938+0.0015098i,0.0015571+0.002319i,0.0015855+0.0014066i,0.00085288-0.00057904i,0.0013424-0.0014217i,0.0017439-0.0010302i,0.0015542-6.1236e-05i,9.0877e-05-0.00023007i,-0.0013123-0.00047577i,-0.0011666+6.8156e-05i,-0.00076287+0.00038407i,-0.00036788+0.00023504i,0.0001725+0.00052086i,0.00013597+0.00044824i,-0.00020635-0.00013823i,0.00020662-8.8489e-05i,0.0006719-0.00042492i,0.00049055-0.00084305i,-0.00031007-0.00041754i,1.6598e-05+0.00040163i,0.00042243+0.00024125i,0.00033352-0.00027348i
0.00033993-0.0014142i,-0.00066141-0.00077764i,-0.00024533-0.00043948i,0.00064892-0.0011655i,0.0013572-0.0011649i,0.000785-0.00081412i,0.00018973-0.00025956i,-0.00017626+9.3955e-05i,-0.001117-0.00019022i,-0.0010628-0.00046877i,-0.00049209-0.000621i,-0.00088439-0.00014378i,-0.0015367-0.00058036i,-0.00063644-0.00086437i,0.00069212+0.00024607i,0.00050379+0.00054162i,9.2158e-06+0.00067702i,0.00047873+0.00061672i,0.00079569-3.3564e-05i,0.00041763-0.00011604i,-0.00040908-0.00025661i,-0.00094718-0.00033639i,-0.00015359-0.00019251i
-0.0014063+0.0044997i,-0.00041107+0.0043089i,0.0014003+0.0038963i,0.0019621+0.001812i,0.0020551-0.00075205i,0.0018947-0.0014747i,0.00026799-0.00072073i,-0.0006744-0.00038327i,5.8396e-07-0.00037637i,-7.3791e-05-0.00031428i,-0.00056313-0.00034964i,-0.00046963-0.00027736i,-0.00070964-0.00083697i,-0.00074777-0.0006887i,-0.00016217-0.00034929i,0.00015813-0.00051324i,0.00016258-0.00035499i,0.00037275-0.00012245i,0.00028486+0.00025866i,7.6619e-05+0.00024213i,-0.00028123-7.5593e-05i,3.1028e-05+0.00012678i,-0.00040639+0.0012831i
0.00028874+0.00019377i,0.0014811+0.00093827i,0.0021359+0.00093801i,0.001548+0.00036159i,0.00052195-0.00056267i,0.0003259-0.00057367i,-7.9763e-05-7.1344e-05i,-0.00012916+0.00041149i,0.00044571-8.8353e-05i,-7.6913e-05-0.00010276i,-0.00057769+0.00068466i,-0.00056411+0.00038396i,-0.0007977+0.00018537i,-0.00073531+0.00046255i,0.00020557+0.00040988i,0.00066794-3.4239e-05i,0.00046399-0.00055202i,0.00064087-0.00022039i,0.00046771-4.8219e-05i,3.0463e-06+0.00049533i,2.4322e-05+0.0011682i,-0.00019933+0.00081533i,-0.00086206+0.00037245i
-0.0010822-0.0011185i,-0.0010898-0.00014035i,-0.0006044+7.1983e-05i,0.00017444-0.00037831i,0.0010408-0.0013744i,0.0017265-0.0016372i,0.0016104-0.00085599i,0.001479+0.00012759i,0.00042431+7.123e-05i,-0.0013887-0.00014418i,-0.0013752+3.0173e-05i,-0.00060992-0.00026925i,0.000173-0.00084935i,8.0302e-05-0.0012424i,-0.00089558-0.0011159i,-0.00083365-0.00083354i,-0.00070216+4.7774e-05i,-0.00019806+0.00071812i,0.00084525+0.00014499i,0.0005641-0.00080078i,-3.9601e-05-0.0011166i,0.00021115-0.00018508i,0.00023744+0.00061256i
-6.14e-06-0.00079777i,-0.00019967+0.00064359i,8.1678e-05+0.00063101i,0.00046144+0.0004952i,0.00090459-0.00025179i,0.0021164-0.0010888i,0.0018899-0.00090924i,0.00080062-0.00061599i,-0.00050452-0.00018872i,-0.0016703-5.3724e-05i,-0.0015418-0.0005946i,-0.00051787-0.0012625i,-0.00012877-0.0015179i,-8.5448e-05-0.001135i,-0.0006874-0.00023189i,-0.0002404-0.00021955i,0.00123-0.00086323i,0.0012325-0.00079105i,0.00047845-0.00084904i,9.481e-05-0.00076787i,-0.00023423-2.7577e-05i,-0.00032811-8.6611e-05i,-0.00020121-0.00074914i
-0.0026509-0.00096329i,-0.0028271+0.0009127i,-0.0025307+0.002256i,-0.0014164+0.0020028i,-0.00075063+0.000334i,0.00072751-0.00078201i,0.0016783-0.00075838i,0.0010839-0.00083241i,0.00027624-0.00033112i,0.00043972+0.0002054i,0.00043885-6.2699e-05i,0.00016487-0.00018742i,-0.00055-0.00039958i,-0.00099581-0.00066074i,-0.00064632-0.00039754i,0.00040722-0.00019926i,0.00085752-0.00013522i,0.00038307-0.000288i,0.00078041-0.00031778i,0.0011584-3.0831e-05i,2.7747e-06+0.00028744i,-0.00045782+0.00032271i,0.00021013-3.8021e-05i
0.0013708+0.00075024i,0.00059768+0.00024672i,0.0008841-1.5599e-05i,0.0022422+0.00025171i,0.0024598+0.00012194i,0.0014029-0.00032355i,0.00033725-0.0010345i,-0.0002342-0.00097372i,-0.00034128-0.00091442i,-6.7575e-05-0.00090831i,0.0003045-0.00070428i,0.00062406-0.00064946i,0.00030299-0.00037898i,-0.00011231+0.00023187i,-0.00067224-0.00027078i,-0.00059576-0.00052475i,0.00036214-0.00054717i,0.00058629-0.00016187i,4.7283e-06+0.00050096i,-6.7061e-05+0.00018631i,-0.00011575-0.00036257i,-0.00099803-0.00050768i,-0.0014326-7.9838e-05i
-4.9281e-05+0.00019217i,0.00021891+0.0013989i,0.00058638+0.0012877i,0.00080249+0.00043779i,0.00086077-0.00089647i,0.0011801-0.0013941i,0.00052595-0.0012242i,-0.00035039-0.00037899i,-0.00026578-0.00014068i,-6.2457e-05-0.00083646i,0.00021718-0.0010292i,0.00046946-0.00073828i,6.429e-05-0.00089947i,-0.00045572-0.00064933i,-3.5541e-05-0.00054103i,0.00041385-0.00024679i,-0.00018407+0.00036782i,-0.00076058+7.2415e-05i,-0.00048814-0.00014161i,4.4748e-05-0.00025443i,2.6176e-05-0.00023776i,-0.00015717-0.00044831i,0.00039114-0.0007479i
-6.6463e-05+0.00025924i,0.00026667+0.00077356i,0.00022931+0.00089021i,-3.2178e-05+0.00064815i,0.00070009-0.00080506i,0.0011973-0.001928i,0.00099553-0.0019405i,0.00084928-0.0016909i,0.00027038-0.00096025i,-7.3643e-05-0.00014403i,0.00040167-0.00015113i,-5.5149e-05-0.00015851i,-0.0003618+0.00019222i,-7.8945e-05-0.00051326i,0.00023997-0.00087549i,0.00055775-0.00019496i,0.00054174+6.3836e-05i,-0.00057644+0.00019514i,-0.00088445+0.00049974i,0.0001392+0.00028608i,0.00064982+0.00014076i,1.7658e-05-0.00059457i,-0.0002957-0.0006649i
-0.00039522+0.00048218i,0.0003847+0.0023798i,0.001188+0.0034007i,0.00091438+0.0019161i,0.00044302+0.00062908i,0.00048917+0.00031307i,0.00040209-0.0004873i,-0.00026706-0.00059088i,-0.00062586-0.00058806i,-0.00030018-0.00063482i,-3.9319e-05+9.3162e-05i,-0.00021481+0.00015342i,-0.00033033-0.0002361i,0.00020589-0.00063941i,-0.00022913-0.00061489i,-0.00076957-0.00020456i,-0.00051022+1.9732e-05i,-0.00036406+5.3355e-05i,-0.00036201-0.00035944i,-0.0003922-0.00067061i,-0.00068525-0.00037866i,-0.0009058+0.00011128i,-0.00053852+0.00089208i
-0.0018911+0.0014281i,-0.0020572+0.0018957i,-0.00079133+0.00173i,0.00070059+0.0010598i,0.0015524-7.1903e-05i,0.0016942-0.00036533i,0.0007136-0.0002819i,-0.00020553-0.00043004i,5.8569e-05-0.00041826i,-0.00011038-0.0001899i,-0.00041667-0.00046163i,0.00069648-0.00066526i,0.00045761-0.00042607i,-0.00061814+0.00041459i,-0.00093142+0.0007425i,-0.00088101+0.00055701i,-0.0005135+0.00053555i,8.4969e-06+0.00028903i,0.00025817+0.00040935i,0.0002819+0.00060516i,-8.0163e-05-0.00044076i,-4.3069e-05-0.001337i,-4.357e-05-0.0010125i
0.00027786-0.0003332i,0.00024154+0.00051686i,0.0006531+0.0011165i,0.0010085+0.00059814i,0.0012723-0.00046735i,0.0013785-0.00070029i,0.00089058-0.00096796i,0.00011058-0.00092954i,-5.2848e-05-0.00013325i,-0.00031165+8.9588e-05i,-0.00083459+9.08e-05i,-0.00070481+0.00012492i,-0.000136-0.00022806i,0.00019108-0.00027467i,5.371e-05-7.6499e-05i,-0.00047735-0.00065787i,-0.00025372-0.0010809i,0.00020524-0.00080813i,0.0003416-0.0001938i,5.1459e-05+0.00024143i,-0.00082187+0.00067884i,-0.0013859+0.00066151i,-0.0010518+0.00017717i
-0.0027336+0.00027919i,-0.0023687+0.0017911i,-0.0012026+0.001775i,0.00054972+0.00035282i,0.0019978-0.00077842i,0.0021988-0.0015626i,0.0014308-0.0016489i,0.00048347-0.00081249i,0.00057299-0.00044686i,0.00050784-0.00063534i,0.00027396-0.00072655i,-0.00020642+0.00026899i,-0.00061777+0.0009283i,-0.00064863-2.0818e-05i,-0.00035021-7.726e-05i,-0.00027359+0.00022478i,-0.00077241-0.00039184i,-0.00056536-2.2362e-05i,-0.00076434+0.0001751i,-0.00091277-0.00014905i,-0.00051728+0.00013335i,-0.0003317+0.0010635i,-0.00092301+0.0012884i
0.00041214+0.00063015i,0.0015408+0.00084869i,0.0018275+0.0011591i,0.0013802+0.00018839i,0.0010908-0.0014604i,0.00099751-0.0018721i,0.00030043-0.001i,-0.00037338-4.9183e-05i,-0.00066278-4.6728e-05i,-0.0011718-0.0003746i,-0.00073973-0.00064256i,-0.00010186-0.00030927i,-0.00047249-3.1697e-05i,-0.00052127-6.099e-05i,-0.00025955-0.00021085i,-0.00032783-1.5508e-05i,-0.00040223+0.00063956i,-0.00026708+0.00044952i,-0.00014807+0.00056509i,0.0006252+0.00087681i,0.0014801+0.00023059i,0.001298-0.00010057i,5.8055e-05+0.00026261i
-0.00012713+0.0019902i,-0.00076165+0.0025416i,-0.00011587+0.00231i,0.00043833+0.0010968i,0.00079192+0.00027218i,0.00090713-0.00020012i,0.00036714-0.00086423i,-0.00054379-0.00071214i,-7.3531e-05-0.00084992i,0.00047647-0.0010645i,0.0002647-0.00022431i,-3.6548e-06+0.00034576i,0.00033844-0.00021976i,0.00069045-0.0010969i,0.00051572-0.00091425i,-1.5077e-05-0.00038491i,-0.00039403-0.00013491i,0.00035085-0.00025574i,0.00074595-0.00034138i,0.00067475-0.00052785i,0.00075947-0.00025392i,-0.00029593+0.00010624i,-0.0008521+0.00047247i
-1.8658e-05-0.001077i,0.00019833-0.00071116i,-0.00019855+0.00042938i,-0.00021266+0.00073371i,0.00055929-0.00083362i,0.00049594-0.0018328i,0.00023827-0.0016413i,0.00050384-0.0011248i,0.00048307-0.00061963i,-0.0001911-0.00045216i,-0.001008-0.00048117i,-0.00086262-0.00057475i,-0.00039562-0.0010841i,7.05e-05-0.0014765i,0.00078632-0.00075999i,0.00088383+0.0001468i,0.00025828+0.000174i,9.2699e-05+0.00015133i,0.00058509+9.9188e-05i,0.0006697+0.00041033i,-3.5542e-05+0.00073072i,-0.0006675+0.00032073i,-0.00095679-0.00032342i
0.00065654+0.0019803i,0.0006716+0.0018787i,0.0019455+0.00080036i,0.002076-0.00047497i,0.0014728-0.0014122i,0.0010649-0.0011885i,0.00071507-0.00036399i,0.00041713-0.00043541i,0.00057794-0.0012199i,0.00030751-0.00099869i,-0.00037933-0.00031429i,-0.00078134-1.2089e-05i,-0.00046432+0.0001213i,0.00049232+0.00022337i,0.00037878+0.00023742i,-0.00042212+0.00054615i,-0.00026103+0.00071132i,0.0003037+0.00038571i,0.00080674+0.00010522i,0.00069496-5.0477e-05i,-0.00047124-0.00076644i,-0.00038915-0.0015876i,0.00040742-0.001506i
-0.00078935+0.001739i,-0.0010223+0.0019294i,1.3642e-05+0.0015913i,0.00047148+0.00047262i,6.8283e-05-0.00068199i,0.00071684-0.00099947i,0.00039452-0.0012743i,-0.00057335-0.0011915i,0.0001319-0.0004143i,0.00045246-0.00015378i,-0.00041775-0.00065968i,-0.00066664-0.00088896i,-0.00095687-0.00019635i,-0.00085699+0.00019011i,-0.00027555+0.00029678i,5.876e-05+0.00037726i,0.00022613+0.00035404i,0.0006063-0.000155i,0.00047788-0.00060799i,0.0001544-0.00093131i,0.00020434-0.0013205i,7.4961e-05-0.00099911i,-0.00010056-0.00070568i
-0.00048157-0.00025714i,0.00045378+0.00056263i,0.0005098+0.0010891i,-0.00045766+0.00092043i,-7.571e-05+0.00018582i,0.00073701-0.0001611i,0.00043456-0.00077347i,0.00011861-0.0011016i,0.00042754-0.00061532i,0.00026881-0.00071218i,-0.00024541-0.00041698i,-0.0006735-0.00058466i,-0.00088236-0.0016932i,-0.00064078-0.0018832i,-0.00086191-0.0013537i,0.00019569-0.0006364i,0.00042684-0.00046339i,-0.00020219-0.00016808i,-0.00017112-0.00040028i,0.0004332-0.0003263i,0.00065761+0.00077073i,-0.00019687+0.0010427i,-0.00049446+0.00033569i
0.00059508+0.00081318i,-0.00072391+0.0016144i,-0.00026344+0.001103i,0.00011478-9.7884e-05i,0.00048222-0.0010973i,0.00093675-0.0016202i,0.00024998-0.0011168i,0.0001349-0.00028328i,0.000115+0.00042942i,-0.00033945+4.3859e-06i,-0.00033817-0.00077496i,-0.00032234-0.00056513i,5.8102e-05-4.5612e-05i,0.00033736-0.00058915i,0.00056771-0.00082909i,0.00026562-0.00032416i,-0.00012271-9.2775e-05i,7.7963e-05+0.00044594i,0.0010296+0.00047816i,0.001366+0.00019652i,0.00075174-0.00026187i,0.00093207-0.00042248i,0.0010429-0.00011341i
0.00038236+0.0013059i,0.0010853+0.00097729i,0.0022175+0.0017931i,0.0022446+0.0012888i,0.0017745-0.00056955i,0.0014691-0.0011571i,0.0010946-0.00089102i,0.00048457-0.00040116i,0.00084826+8.8712e-05i,0.00090898-0.00021186i,0.00045937-0.00029092i,-4.8215e-05+0.00036439i,-0.00045348+4.7554e-05i,-0.00036729-6.9194e-05i,-0.00048426+2.5832e-05i,-0.00047992-0.00022514i,-0.00058495+0.00027099i,-0.00035841+0.00065494i,0.00010183+0.0005411i,-9.9075e-05+7.1178e-05i,-0.00052244-0.00021151i,-0.00036575-0.00022397i,-0.00080907-0.00031057i
-0.0013642-8.5291e-05i,-0.001278+0.0018502i,-0.0015817+0.0017707i,2.7342e-05+0.00095155i,0.0010784+0.00074113i,0.00083234+0.0002456i,0.00013477+4.6194e-05i,-0.00024469-0.00078458i,0.00039269-0.0016714i,0.00058952-0.001288i,0.00017186-0.00033058i,-0.00023214+0.0003389i,-0.00026145+3.4739e-05i,0.00025005-0.00078779i,0.00011238-0.00086763i,-0.00026659-0.00020108i,0.00061993-3.3644e-05i,0.00010533+0.00029255i,-0.0010688+0.00049712i,-0.00079372+0.00025779i,-0.00047572-0.00055696i,-0.00042962-0.00039245i,-0.00063959+0.00066132i
0.00012997+0.00013771i,-4.5423e-05+0.00045896i,0.00030145+0.00023817i,0.00097668-0.0010334i,0.00099604-0.0019186i,0.00066533-0.0018864i,0.00010443-0.0011755i,-6.0044e-05-0.00083414i,0.00026297-0.0007941i,-1.629e-05-0.0011627i,-0.00066295-0.0010203i,-0.00049494-0.00060474i,-5.102e-05-0.0004215i,0.00011009-5.0559e-05i,0.00027224-0.00035559i,0.00030621-0.0011422i,0.00017425-0.0011241i,-0.00026368-0.00030949i,-0.00037178+0.00020665i,-0.00017576-0.00033966i,-0.00059008-5.884e-05i,-0.00047348+0.000448i,0.00065893-0.00035546i
-0.0018697+7.1766e-05i,-0.0021828+0.0021329i,-0.0016204+0.002487i,-0.00041617+0.0012404i,0.00037597+0.00056349i,0.00068867-0.00024328i,0.0006124-0.00097966i,0.00087264-0.0010802i,0.00039531-0.00016976i,-0.00097237+0.00062717i,-0.00099306+0.00019681i,0.00061912-0.00050955i,0.0011093-0.00026875i,0.00098046-0.0005923i,0.0011595-0.0010786i,0.0016838-0.00034809i,0.001624+0.0002727i,0.00050559+0.00049056i,-0.0006595+0.00074168i,-0.00085309+0.0004478i,-0.00056863-0.00038248i,-0.00036408-0.00040192i,-0.00016273+1.8526e-05i
0.0017795+0.00037136i,0.0011401+0.0012283i,0.0012812+0.0013763i,0.0013056-3.3446e-05i,0.0009734-0.0010869i,0.00060568-0.0016294i,0.00028972-0.0016023i,0.00018238-0.0010277i,-0.0001093-0.00069058i,-0.00082475-0.00047106i,-0.00047447+2.2398e-05i,0.00025457-0.00038843i,9.705e-05-0.00042839i,0.00048086+0.00072119i,0.00079811+0.0011346i,-0.00035927+0.00038628i,-0.00057241-0.00012109i,-0.00023841-0.00036755i,0.00045864-0.00064783i,0.00062417-0.00075129i,0.00024061-0.00045558i,-0.00013355-8.3949e-06i,0.00029909+8.5514e-06i
0.0017379+6.3621e-05i,0.00032464+0.00016475i,-0.00038423+0.00021184i,-0.00043314-1.4921e-05i,-0.00066477-0.00045866i,-9.6828e-05-0.00099268i,0.00054282-0.0017631i,0.00055734-0.0018174i,0.0011176-0.0013022i,0.00086012-0.0012567i,-0.00049325-0.0013644i,-0.00096911-0.0011577i,-0.00024327-0.00072246i,0.0004487-0.00067523i,0.0003786-0.00070779i,0.000422-0.00052203i,0.0012345+8.5602e-06i,0.0017648+0.00019421i,0.0018936-0.00015135i,0.00099698+0.00044527i,-0.0002203+0.00064321i,-0.00034999+0.00029882i,-3.3392e-05-0.00012017i
-0.00054351-0.00060993i,-0.00062809+0.00061837i,-0.00046948+0.0010625i,-0.00033587+0.0003323i,-4.481e-05-0.00035882i,0.0008378-0.00076457i,0.0014097-0.00078086i,0.00075771-0.00034058i,0.00068847-0.00023648i,0.00032491-0.00068489i,-0.00038951-0.00039542i,-0.00060136+0.00024792i,-0.00020346-0.00038176i,0.00034634-0.00085493i,0.00095282-0.00026188i,0.00093455+0.00039205i,0.0006394-0.00019409i,0.00045973-0.00058355i,0.00040713+0.00016877i,0.0001119+0.0011309i,-2.4096e-05+0.00061456i,-0.00012074-2.6206e-05i,-0.00044436-0.0002295i
