0.0012477+0.00060848i,0.0018051-0.00047007i,0.0034861-0.0030065i,0.0029424-0.005692i,-7.9609e-05-0.0052785i,-0.0024845-0.002038i,-0.0020496+0.00043011i,-0.00015658+0.0019215i,0.0012305+0.0015336i,0.0016858-0.00046836i,0.0010027-0.0013453i,0.00047083-0.0012632i,0.00015424-0.00021131i,0.00029402+0.0013358i,0.00088743+0.0013116i,0.00095672+0.0006839i,0.00062084-0.00019619i,0.00025856-0.00062987i,5.787e-05-0.00094231i,1.2379e-05-0.0011552i,-0.00014922-0.00085189i,-0.0002214-0.00055188i,-0.00019622-0.00023219i
-0.0017515-0.0015266i,-0.0006024-0.0018857i,0.0008269-0.0031188i,0.0013633-0.0034458i,0.00066312-0.0023595i,-0.00051318-0.0014133i,-5.8478e-05-0.000975i,0.00059806-0.00049913i,0.00026828-0.00046405i,-0.00028161-0.0011083i,-0.0010229-0.0013335i,-0.00051372-0.00084515i,-7.4256e-05-0.00039847i,-0.00016755-0.00034733i,6.3419e-05-0.00058032i,0.00039725-0.00042928i,0.00089167+0.00023165i,0.00078696+0.00023687i,0.00020699-0.00069093i,0.00043789-0.0011446i,0.0013193-0.00046019i,0.00087017-2.5891e-05i,0.00033672-0.00059407i
0.00085965+0.00041863i,0.0015705-0.00022109i,0.0024369-0.00071187i,0.0035324-0.0016591i,0.0025216-0.0016164i,0.00091058-0.00056901i,3.9107e-06+0.00049738i,-0.00062726+0.00025562i,9.9606e-05-0.00066888i,0.0012938-0.00062274i,0.00044647-2.9193e-05i,-0.00095478-0.00014678i,-0.00086993+0.00020751i,-0.00019823+0.0010342i,0.00047569+0.00033299i,0.00089404+0.00024573i,0.0011102+0.00038907i,0.00053898-0.00058504i,0.00043357-5.5925e-05i,0.00044472+0.00027421i,0.00011998+0.00047098i,-0.00015346+0.00042361i,4.6882e-05+0.00032664i
-0.0012606+0.001411i,-0.00084667+0.00015106i,0.00099997-0.0010072i,0.0021936-0.0024061i,0.0020466-0.0030815i,-0.00020116-0.001823i,-0.00059404+0.00042516i,0.00088559+0.00042861i,0.0012911+0.00024076i,0.0016801+0.00034306i,0.0012929+0.00042717i,-9.3585e-05+0.00047719i,-0.0011281+0.0011451i,-0.0010433+0.0014157i,0.00024164+0.00088806i,0.00086973+0.00035167i,0.00045426+0.0003402i,-0.00010318-3.8051e-05i,-0.00050853-0.00042785i,-0.00072481-0.00036186i,-0.00030879-0.00083854i,4.0408e-05-0.0014296i,-3.5438e-05-0.0011239i
-0.00013568+0.00099619i,0.00043705-0.00052109i,0.0028448-0.0011951i,0.0037001-0.0023156i,0.0024416-0.0030119i,0.00038024-0.0021311i,-0.00063577-0.0012351i,0.00053158-0.00095293i,0.0013084-0.00011819i,0.0011896-8.9302e-05i,0.00064246-2.2116e-05i,-0.00046139+0.00036696i,-0.00082891+0.0003544i,-0.00064803+0.00025673i,5.4477e-05+0.0003962i,0.00067699+0.00050569i,0.0009353+0.00051512i,0.00084606-0.00040002i,0.00061873-0.001235i,0.00012751-0.00014604i,-0.00034521+0.00039068i,9.9916e-05+0.00033692i,5.0274e-05+0.00014346i
-2.3278e-05-0.0012825i,0.0012862-0.001277i,0.0026457-0.0029883i,0.0023788-0.0049107i,0.0012734-0.0042702i,0.00014514-0.0016533i,-0.00032562+0.00057038i,0.00025834+0.0012453i,0.00019957+0.0005087i,-0.00027982-0.00027933i,-1.8061e-05-0.00010451i,0.00011891+0.00014844i,-2.112e-05+0.00047954i,-0.00014919+0.00050718i,0.00043309+4.2017e-05i,0.00068423-0.00053943i,0.00053392-0.00045699i,0.00057207-0.00030337i,0.00011921-0.0010582i,-0.00059084-0.0010725i,-0.00056646-0.00058105i,0.00025088+0.00018034i,0.00071007+6.3312e-05i
0.0005828-0.0019576i,0.00082286-0.0015475i,0.0017295-0.0016385i,0.0019249-0.0022714i,0.00065838-0.0025506i,-0.00072271-0.0018638i,0.00010045-0.00070079i,0.0015717+0.00074352i,0.00149+0.00073851i,0.00028361-0.00030987i,-0.00056279-0.00048322i,-0.0006256-0.00034326i,-0.00075564+0.00066982i,-0.00042167+0.0010669i,0.00034299+0.00063142i,0.0011134+0.00060123i,0.00066871+7.1314e-05i,-0.00016982-0.00044009i,4.373e-05-0.00077493i,-0.00034757-0.00071909i,-0.00074622-0.00029181i,8.302e-05+0.00036648i,0.00043562+0.00058398i
-0.0012708-0.00016148i,-0.00046562-0.00093502i,0.00074409-0.002273i,0.0025011-0.0039928i,0.0025573-0.0037877i,0.0014808-0.0024068i,0.00044731-0.0012404i,0.00037814+0.00014249i,0.00078981+0.00086858i,0.0010401+0.0003135i,0.00089068-0.0003535i,0.00027661-4.2581e-05i,0.00017322+0.00018023i,0.00015542+0.00026934i,0.00014452+0.00022147i,0.00068612-4.82e-05i,0.0011569-5.5874e-05i,0.0010675+0.0002018i,0.00087806-8.1236e-05i,0.00065601-0.00057428i,0.00036584-0.0001086i,0.0001236+8.2244e-05i,-0.00058592-0.0010604i
-0.00088175+0.00011845i,-7.6144e-05-0.0018233i,-0.0002231-0.0033625i,0.00026977-0.0039728i,0.00018188-0.0033497i,-0.00034128-0.002276i,0.00037718-0.00082192i,0.00049518+0.00057222i,0.00065938+0.00078243i,0.00038224+0.00037832i,-0.00019148-0.00012232i,-0.00011265-0.00022674i,-0.00025852+0.00025977i,-0.00043272+0.00042855i,0.0004962+0.00048551i,0.00085482-0.00025712i,0.00028413-0.00059212i,1.5551e-05-0.00016647i,0.00018856-0.00026706i,5.6156e-05-0.0010476i,0.00016221-0.0010429i,0.00060202-4.6018e-05i,0.00073827+0.00056502i
-0.00027057+0.00027781i,-0.00024101-0.00091868i,0.0015995-0.0020412i,0.0035974-0.0027742i,0.003351-0.0030462i,0.0019041-0.0025647i,0.00032403-0.0012603i,8.8147e-05-0.00034843i,0.00079933-1.8379e-05i,0.00034444+0.00019203i,-9.0991e-05+1.3822e-07i,0.00022113-0.00062149i,0.00023802-0.00064647i,-0.00032776-8.4844e-05i,-0.00050825+0.00045426i,-0.00021543+0.00051486i,0.00019509+0.000422i,0.00060441+0.00013266i,0.00019753+0.00086558i,-0.00010174+0.00090577i,0.00031237+0.00024435i,0.0006804+0.00021057i,0.00039408+0.00045024i
-0.00067089+0.00059632i,-0.0010107-0.00026444i,-0.00085794-0.001722i,0.00033173-0.0028351i,0.0013384-0.0029615i,0.00068418-0.0014065i,0.0002022-0.00029118i,0.00067763-0.00059064i,0.00035303-0.0011295i,-0.00038522-0.00097998i,-0.00055406-0.00078077i,-0.00069532-0.0010622i,-0.00037941-0.0006115i,-8.3932e-05+0.00076416i,-0.00029825+0.00071886i,-0.00020253-0.00071586i,0.00028654-0.00068887i,0.00028507-0.00035155i,-0.00046424+0.00016358i,-0.0005277-4.4199e-05i,-0.00014657-0.00065601i,-0.00028963-0.0005549i,8.6149e-05-0.00077642i
-0.00060252+0.00043932i,0.0010515-0.0012025i,0.0031127-0.0016988i,0.0031723-0.0024325i,0.0020121-0.003149i,0.000578-0.0025915i,-0.00022857-0.0014209i,0.00020647-0.00069552i,0.0010995-9.1221e-06i,0.0014538+0.0003668i,0.00059075+0.00048094i,-4.4147e-05+0.00081786i,7.3219e-05+0.0005972i,0.00019127+0.00052021i,0.00039156+0.00039526i,0.00059669-0.00010184i,0.00090761-0.000238i,0.0013132-0.00063638i,0.00065325-0.00063383i,-0.00055889-0.00026103i,-0.00092747-0.00031131i,-0.00033218-0.00018538i,0.00068378-0.00034353i
-9.128e-05-0.0010004i,0.00025019-0.0012888i,0.0010673-0.0023988i,0.0016319-0.0051495i,0.0010044-0.0057817i,-7.871e-06-0.0029477i,-0.00010084+0.00021301i,0.00015169+0.00097933i,0.00051697+0.00052852i,0.00040371-0.00013079i,-0.00024969-0.00069432i,-0.00011722-0.00021865i,-3.5979e-05+0.00070584i,-0.00021548+0.0007532i,0.00073552+0.00038164i,0.0008367+0.00030016i,0.00032303+3.1805e-05i,0.00073794-0.00083891i,0.00070993-0.0010007i,-3.4002e-05-0.00096294i,-0.00076216-0.0012812i,-0.00028511-0.00045228i,0.00056398+0.00010949i
0.00059855-0.00041374i,0.00043369-0.00046128i,0.0022827-0.00078786i,0.0035865-0.002632i,0.0022304-0.0030164i,-7.6283e-05-0.0014976i,3.83e-05-9.4193e-05i,0.00098024-0.00030691i,0.00091096-0.00075489i,0.00025724-5.0949e-05i,0.00015478+4.6122e-05i,0.00036335+0.00051994i,9.8195e-05+0.0012187i,0.00010422+0.0010665i,6.8351e-05+0.00098049i,-6.1103e-05+0.00055315i,0.00064159-0.00020404i,0.00094347-0.00028881i,0.00028441-0.0002053i,3.3141e-05+4.5402e-06i,-9.3545e-05-6.2525e-05i,8.1562e-05-0.00095857i,0.00069998-0.00067463i
-9.0249e-05+0.00038709i,0.00080645-0.00075286i,0.0025101-0.0030303i,0.002962-0.004586i,0.0013782-0.0050326i,6.6713e-05-0.0033728i,-0.00045654-0.00040651i,-8.3664e-05+0.0005145i,0.0010399-2.6462e-05i,0.0010135-0.00035154i,-0.00010462-0.00087374i,-0.0011285-7.4814e-05i,-0.0012351+0.00048204i,7.9185e-05+0.00049853i,0.00085565+0.0010639i,0.00060961+0.0007181i,0.00088675-0.00067039i,0.001035-0.0011106i,0.0011727-0.0004256i,0.0012469-0.00058457i,0.00090683-0.00032874i,0.00053477+0.0002933i,-4.2342e-05-0.00028906i
0.0003537-0.00071025i,0.0010762-0.00088585i,0.0025555-0.00090998i,0.0028456-0.0010205i,0.0014701-0.0016609i,0.00030337-0.001778i,3.6308e-05-0.0012065i,0.00060307-0.00080939i,0.0010629-0.00061513i,0.00095999-0.00067742i,0.00093943-0.00078514i,0.00063006-0.00011768i,-8.7897e-05+0.000714i,3.7124e-05+0.00073643i,0.00072392+5.1158e-05i,0.0010038-0.00018348i,0.0011436-0.00021827i,0.00073679-0.00058472i,1.1987e-05-0.0010404i,-0.00023524-0.00085202i,-0.00011766-0.00044489i,0.00021076-0.00027879i,0.00047099+2.7251e-06i
6.3499e-05-0.0012547i,0.0013117-0.0015637i,0.0026302-0.0028573i,0.0027735-0.003812i,0.001404-0.003464i,0.00019124-0.0014669i,6.0356e-05-6.875e-05i,0.00081736-0.00017078i,0.0014348+0.00028198i,0.0009972+0.00029023i,-1.1618e-05-0.00017652i,-0.00068978+0.00010843i,-0.00105+0.00058175i,-0.00054573+0.00087066i,0.00026811+0.0011574i,0.00022192+0.0007721i,0.000171+0.00031397i,0.00096919-0.00057099i,0.0012021-0.00119i,0.00027373-0.00056173i,-0.00013077+0.00034824i,-0.00034328+8.3687e-05i,3.1067e-06-0.00072819i
-0.00051912-0.00011065i,-0.00023152-0.0013107i,0.0011584-0.002941i,0.0023978-0.00388i,0.0016668-0.0031931i,0.00047727-0.0014306i,0.00027571-0.00065363i,0.00058341-0.00048085i,0.0009283+7.625e-05i,0.0012189+0.00043669i,0.00051965+0.00030729i,-0.00028437-7.1999e-05i,-0.00046497+0.00025798i,-0.00026043+0.00081718i,-0.00011523+0.00080528i,-9.4777e-05+0.0011098i,0.0001927+0.0012965i,0.0001815+0.00036021i,0.00034749-0.00060369i,0.00074957-0.00075419i,0.00092894-0.00015347i,0.00056321+0.00012455i,0.00045695-8.477e-06i
-0.00013292+9.1188e-05i,0.0015325-0.00080501i,0.0033768-0.0018427i,0.0042565-0.0026944i,0.0029148-0.0024028i,0.00067213-0.0016299i,0.00018875-0.00093922i,0.00048127-7.8042e-05i,0.00045262+1.5845e-05i,0.00076291+7.5067e-05i,0.00033126+0.00038267i,-0.0001432+0.00032147i,-0.00023659+0.0004129i,-0.0003239+0.0001441i,3.682e-05+0.00039061i,0.00083909+0.0005148i,0.00090474-7.9065e-05i,0.0002978-0.00083845i,-0.00039135-0.00071455i,-0.00061579-0.00066204i,-4.1126e-05-0.00092611i,0.00032861-0.001031i,0.00078635-0.00067067i
0.00075278+0.0011859i,0.00026127-0.00037103i,0.0019353-0.0020168i,0.0021611-0.0034221i,0.00084318-0.0040841i,-0.00034652-0.0031256i,-0.00026502-0.0011629i,0.00073084+0.00018779i,0.0013043+0.00082511i,0.00043542+0.00084063i,-0.0006372+5.7183e-05i,-0.00096978-6.9948e-05i,-0.0011193+0.00018114i,-0.00070639+0.00034709i,-0.00034858+0.00018779i,-0.00029204-0.00019317i,-0.00028207-0.00032895i,-7.0233e-05-0.00086759i,1.5674e-06-0.0012345i,-9.5588e-05-0.00011964i,-9.04e-05-0.00020016i,-0.00022435-0.0010764i,-0.00039622-0.00071986i
0.00033189+3.7173e-05i,0.00072066-0.00018224i,0.0026362-0.0013671i,0.0038848-0.002773i,0.0028404-0.0035542i,0.00069474-0.00284i,-0.00012946-0.00094651i,0.0007238-0.00011777i,0.0018275-0.00012468i,0.0017412-0.00047764i,0.00057922-0.00045703i,-0.0003201-9.9135e-05i,-0.00065179-0.00025965i,-0.00031331+0.00020898i,0.00032303+0.00048897i,0.00083089-8.3798e-05i,0.00066641-8.5982e-05i,0.0004691-0.00020399i,0.0011501-6.5035e-05i,0.00069377+9.5285e-05i,-5.6939e-06-0.00028161i,0.00045263-0.00055261i,0.00081546-0.00050054i
-0.00045259-0.0002524i,-0.00044505-0.0010596i,0.001016-0.0017719i,0.0023937-0.0037219i,0.0022719-0.0042405i,0.00038696-0.0031438i,-0.00067366-0.0012951i,-8.4066e-06-9.5525e-07i,0.0011675+0.00060706i,0.0013176+0.00025986i,0.00018527-0.00080187i,-0.0004829-0.0010571i,-0.00059077-0.00043477i,-0.0003748+0.00059863i,-0.0001651+0.00047669i,-0.00041377+9.6353e-05i,-9.977e-05-0.0011064i,-0.00032897-0.0021771i,-0.00059209-0.0012991i,-6.9933e-05-0.00064487i,0.00060494-0.00078137i,0.00083328-0.00063544i,0.00015583-0.00066884i
0.00021988-0.00016077i,0.00011578-0.0004753i,0.0010087-0.00083688i,0.002238-0.0022263i,0.00187-0.0024045i,0.0005356-0.0017569i,-0.00054086-0.00070169i,-0.00071162+7.9089e-05i,-6.8254e-05+0.00010692i,0.00056634+0.00024878i,0.0003537+0.00073993i,2.3783e-05+0.00093661i,0.00032128+0.00053874i,0.00053752+0.00021885i,0.00088698+0.0004803i,0.0011951+0.0006419i,0.00070797+9.9085e-05i,0.00037888-0.00091838i,0.00037634-0.0011648i,-0.00016521-0.00053487i,-0.00044163+8.158e-05i,-0.00016462-0.00030799i,-9.4243e-05-0.00096417i
-0.00053788-0.00085358i,0.00026875-0.0020913i,0.00075348-0.0030042i,0.0011782-0.0028767i,0.00061773-0.0027954i,-0.00022337-0.0020781i,0.00014116-0.00035193i,0.00073594+0.0003208i,0.0013148+0.00022599i,0.0013318-2.8765e-05i,0.00074062+0.00043531i,-0.00013827+0.00052639i,-0.000841-0.00027845i,-0.00070714-0.00010048i,-0.00026314+0.00091188i,0.00030023+0.00064824i,0.00035574-2.2037e-06i,0.00027112+0.00019903i,-0.00026744-2.1285e-05i,-0.00032808-0.00082529i,0.00090027-0.00072471i,0.0011052-0.00098745i,0.00097539-0.00076504i
0.00088215-0.00033173i,0.0016521-0.0009719i,0.0016559-0.0023099i,0.00092665-0.0028981i,0.00036023-0.0023607i,-0.00027333-0.0011025i,0.00010236+0.00012882i,0.0014481-0.00015422i,0.0015659-0.00085438i,6.7823e-05-0.0011893i,-0.00044582-0.00087336i,-0.00022225-3.1332e-05i,-0.00030683-0.00017792i,0.00017582-0.00023643i,0.00055687-0.00047535i,0.00049836-0.0008902i,0.00026984-0.00067556i,-6.6395e-05+0.00066629i,-0.00058956+0.0011282i,-0.00060048-0.00012377i,-0.00078456-0.00033037i,-0.00088995+0.00012435i,-0.00056912-0.00033383i
-0.00037919-0.0017637i,0.00081318-0.0022995i,0.0028017-0.0035506i,0.0035692-0.0044137i,0.0021605-0.0039698i,0.0012687-0.002468i,0.0011518-0.00016897i,0.00088765+0.00049473i,0.00056374-0.00048218i,0.00039566-0.0010143i,0.00027827-0.00080048i,-0.0002724-1.5054e-07i,-0.00080191+0.00060068i,-0.00025213+0.00031845i,0.00059634-0.00039974i,3.4079e-05-0.00024412i,-0.00030051+0.00039712i,0.00047444+0.00016807i,0.00015304-0.00038366i,-0.00054051-0.00038658i,-0.0001605-0.00070077i,0.00013475-0.00071603i,5.8554e-05-0.00029986i
-0.00040783-0.0014391i,0.00080952-0.0020691i,0.00065129-0.0026756i,0.00062031-0.0029991i,0.00048767-0.0025379i,0.00045559-0.00088707i,0.00053776+3.0447e-05i,0.0012188+4.1465e-05i,0.0010069-0.00079242i,7.2201e-05-0.0017177i,0.00023222-0.0013395i,0.00059779-9.9695e-05i,-0.00016933+0.00013064i,-0.0002052-7.9265e-05i,0.00042504+8.8477e-05i,0.0011559-7.0142e-05i,0.0016309-0.00048024i,0.00081123-0.00034528i,-0.00052041-0.00072935i,-0.0007615-0.0006446i,-0.00011381+2.7002e-05i,0.00019618-0.00024478i,-0.00016035-0.00045987i
0.00065098+0.00025843i,0.00052836-0.0012615i,0.0023936-0.0025503i,0.005003-0.0033394i,0.0041681-0.0035768i,0.0013602-0.00248i,0.00054913-0.0007288i,0.0010363+7.8322e-05i,0.0017576-0.000278i,0.0012085-0.0010006i,-0.000125-0.00058667i,-0.00055068+4.0227e-05i,-0.00021617-9.8037e-05i,0.00014479-0.00021943i,-0.0001109-0.00023552i,-0.0006357+0.00032983i,-4.2099e-05+0.0002072i,0.0005748-0.00052519i,0.00094874-0.001027i,0.00029672-0.0012062i,-0.0001757-0.0008066i,0.00020653+0.00030916i,-1.3282e-05+0.0012499i
-0.00033326+0.00032572i,0.00022318-0.00034336i,0.0019572-0.001562i,0.0030904-0.0026187i,0.0018358-0.0033042i,0.00053655-0.002628i,0.00057146-0.00089369i,0.00082634+0.00038257i,0.00088396+0.00019784i,0.00066844-0.0013354i,8.5389e-05-0.0014871i,-0.00039469+8.4929e-05i,-0.0002999+0.00014211i,0.00040437-0.00030342i,0.0010225+0.00022205i,0.0011929+0.00075382i,0.0004023+1.1013e-05i,0.00032691-0.00074575i,0.0003603-0.0012225i,-0.00062198-0.0013271i,-0.00027045-0.0010861i,0.00048243-0.00058365i,0.00028252-0.00020753i
5.7416e-05+0.00067937i,0.0011303+6.2453e-06i,0.0025243-0.0018747i,0.0030551-0.0033755i,0.001576-0.004225i,-0.00035387-0.0030323i,-0.0005799-0.00078533i,0.00042851-7.4823e-05i,0.001017+0.00053581i,0.0010596+0.00074357i,0.00087034+1.5535e-05i,5.397e-05+5.2983e-05i,-0.00055976+0.00010625i,-0.00038324+0.00075356i,-5.5702e-05+0.00062775i,0.00058375+8.926e-05i,0.00046513+0.00012942i,-0.00034672-7.1291e-05i,-0.00031712+0.00039136i,0.00026891+0.001001i,0.00023347+0.00054213i,0.00015285-0.00010086i,-0.00035316-0.00069607i
0.0021531-0.0016628i,0.0029091-0.0012015i,0.0031006-0.0021348i,0.002917-0.0034514i,0.0014273-0.0028446i,3.7395e-05-0.00017611i,0.0002602+0.0010094i,0.00069801+0.0011334i,0.00013615+0.0014355i,-0.00090868+0.00088049i,-0.00069617+0.00023817i,-0.00040435+0.00011398i,-0.00055445+3.1586e-07i,-0.00022431+0.00018381i,2.2795e-05+0.00022159i,0.00040707-0.00010712i,0.00040057-0.0003393i,0.00065707-0.00067189i,0.0006002-0.00075576i,-0.00021999+0.00024717i,-0.00053811+0.00012838i,-0.00016559-0.00062122i,-0.00013639-0.00057347i
-0.00050837+0.00017034i,-0.00017586-0.00087304i,0.0014186-0.0014362i,0.0027685-0.0021179i,0.0021765-0.0022291i,0.0010001-0.0012677i,-0.00012642+0.00017186i,0.00037674+0.00065568i,0.0011501+0.00013829i,0.00085708-0.00031012i,0.0001731-6.2819e-05i,-0.0006794+8.492e-05i,-0.00087446+4.3904e-06i,-0.00045956+0.00017884i,-0.00010193+0.00036118i,-0.00054071+0.0004699i,-0.00030203-2.1038e-06i,0.00034513-0.00081428i,0.00093235-0.00089487i,0.00094991-0.00071084i,-0.00031232-0.00069546i,-0.00073832-0.00051624i,-0.00089755-0.00032902i
0.0011392-0.00012536i,0.0020562-0.0014432i,0.0036002-0.0020121i,0.0041884-0.0030254i,0.0030893-0.0038982i,0.001257-0.0023686i,-0.00026788-0.00071091i,-0.00024279-0.0010385i,0.00070512-0.0010997i,0.00060048-0.00069877i,-8.9639e-05-0.00056558i,3.1096e-05-0.0012078i,0.00014063-0.0004664i,-0.00044599+0.00078933i,-0.00022703+0.00039118i,-0.00019789+0.00035505i,4.5376e-05-0.00016802i,0.0002697-0.0013574i,3.4222e-05-0.0013525i,0.00028399-0.0007601i,0.00042179-0.00023268i,0.00073755-0.00023738i,0.00050343-6.8304e-06i
