-0.0012784-0.0001096i,-0.0010397-0.00061997i,-0.002339-1.0654e-05i,-0.0026867+0.00032764i,-0.0019768+0.0011206i,-0.0016601+0.0010975i,-0.00093442+0.00039398i,0.00015264+0.00041653i,0.0011227+0.00048225i,0.0011053+0.00059997i,0.00079331+0.00032521i,0.00095102-0.00052377i,0.00087635-0.0010605i,0.00051986-0.00082085i,1.9334e-05-0.00063723i,0.0004398-0.0001174i,0.0011019-0.00036152i,0.00082453-0.0010011i,0.0002695-0.0005228i,-1.8111e-05+0.00035769i,7.7485e-05+0.00088236i,0.00023357+3.7313e-05i,-8.3349e-05-0.00063915i
-0.00058574-0.0011592i,-0.0010718-0.0017175i,-0.0013701-0.002132i,-0.0012654-0.0018785i,-0.0010887-0.0012941i,-0.0008694-0.0010298i,-0.00055769-0.00092561i,-0.00010967-0.00060546i,-0.00028964-0.00063085i,-0.00059717-0.0004871i,-0.00043702-0.00016462i,0.00023368-0.00022425i,0.00056472+6.3681e-05i,0.0010277+0.00053205i,0.00047536+0.00047632i,-0.00052442-0.000429i,-0.00034536-0.00034791i,-0.00057377+0.00074377i,-0.00053979+0.00060498i,2.2339e-05-0.00017513i,9.3229e-06-0.00035246i,0.00018992+0.00010593i,0.00060781-0.00017058i
-0.0018156+0.00039488i,-0.00082698+0.00043499i,-0.00067428+0.0010735i,-0.00045902+0.0011499i,-0.00082808+0.00099605i,-0.0011739+0.00034233i,-0.000345-0.00074322i,-0.0003798-0.00030318i,-0.00075887+0.00064058i,0.00013288+0.00067585i,0.0012504+0.00029639i,0.0010487-0.00042996i,0.00053723-0.00099231i,0.00023978-0.00064869i,-3.7294e-06+6.3247e-06i,-1.4935e-05+0.00014869i,0.00048207-5.6455e-05i,0.00074666-0.00026713i,0.00035198-0.00039059i,0.00047198+0.00013052i,0.00066207+0.00047839i,7.2634e-05+0.00041105i,-0.00011401+0.00056876i
0.00067404-0.0021997i,-1.7198e-06-0.0014066i,-0.0023028-0.0012085i,-0.0030269-0.0011455i,-0.0020121-0.00075213i,-0.00085928-0.00041648i,-0.00029095-0.00042713i,-5.5825e-05-0.00035691i,-0.00029285+9.0437e-05i,0.00013979-3.0745e-05i,0.00087075+0.0003076i,0.00061724+0.0010783i,-2.1605e-07+0.00097949i,3.6593e-05+0.00040164i,0.00016991-0.0001564i,-0.00019844+0.00063549i,-0.00053391+0.00037828i,-0.00020238-0.00066264i,-1.5703e-05-0.00034376i,-0.00031144-0.00023491i,5.2077e-05-0.00041454i,0.00023235-0.00036367i,-0.00050555+0.00024326i
-0.0011429+0.00078424i,-1.2807e-05+0.0012817i,0.00050081+0.0018192i,0.00057443+0.0014322i,0.00028514+0.00067227i,0.00017032-0.0004508i,0.00054575-0.00045217i,0.00030597+0.00054962i,0.00052407+0.00015987i,0.00086062-5.879e-05i,4.6828e-05+0.00048255i,-0.00010271+0.00075553i,3.6149e-05+0.00074691i,0.00035393+0.00060337i,0.00050457+0.0001849i,0.00042981+0.00025622i,-0.00017729+0.00053905i,-0.0011069+0.00010744i,-0.0007694-0.00042526i,0.00020522+1.2248e-05i,-1.4562e-05+0.00068063i,-0.00098602+0.00022243i,-0.00087407+0.00013073i
-0.00026833-0.00048079i,-0.0015506-0.00031574i,-0.0014473-0.00027095i,-0.00121+2.5941e-05i,-0.0012467+0.00027237i,-0.0011019+0.0005724i,-0.0012296+0.0010503i,-0.0011276+0.00093573i,-7.1372e-05+0.00097067i,0.00011999+0.00064453i,-0.00019231+0.00056037i,-0.00026341+0.00067716i,-0.00030595-8.2254e-05i,0.0001362-0.0005627i,-0.00019504-0.00027576i,-0.00034493+0.00034219i,0.00080489+0.00068844i,0.0011082+0.00073408i,0.00085174+0.00031611i,0.00059923+0.00077469i,0.00058068+0.00049337i,-0.00057486-0.00019892i,-0.0012846-7.1307e-05i
0.000197-0.00097078i,0.0007839-0.00058096i,0.0010571-0.00086532i,0.00013825-0.00081079i,-0.00085576-0.00075483i,-0.00089792-0.00062001i,-0.00064564-0.00043741i,-0.00059906+0.00021062i,5.8485e-06+0.00029961i,0.00050759+0.00058917i,0.00037327+0.00058874i,-0.00021228+0.00042292i,-0.00068757+0.00085608i,-0.00073631+0.00030624i,-0.00023517-0.00014369i,-0.00027201-0.00028551i,-0.00094872-0.0007738i,-0.00040787-0.0006936i,0.00051032+0.00024184i,0.00072104+0.00071803i,0.0011284+0.00011625i,0.00061601-0.00041443i,-0.0004701-0.00011267i
-0.0012675-0.00047192i,-0.0009565-7.5076e-05i,-0.0012103+0.00051178i,-0.0012259+0.0011012i,-0.0013463+0.001149i,-0.0014098+0.00065342i,-0.0015058+0.00016583i,-0.0010994+0.00038953i,-0.00016809+0.00077314i,0.00035113+0.00053301i,0.0001375+0.00036346i,-1.4296e-05+0.00025089i,0.00075538+0.00010699i,0.0010952-0.00049015i,0.00047542-0.001047i,0.00060524-0.00088731i,0.00059083-0.00073535i,-4.385e-05-0.00046513i,-0.00044419+2.2475e-05i,-0.00033332-8.9874e-05i,-0.00043194+0.00014895i,-0.00059398+0.00050373i,-0.00013381+0.00024973i
0.0018858-0.00094695i,0.0011692-0.00018486i,0.00030911-0.0013706i,4.349e-05-0.002103i,-0.00018991-0.0020052i,-9.1086e-05-0.0015204i,-0.00086174-0.00049113i,-0.0013418-0.00044337i,-0.00057507-0.00039483i,-0.00053557+0.00015156i,-0.00054302+0.00017639i,-0.00042639-0.00066244i,-0.00045629-0.00081281i,-9.1222e-05+0.00028355i,-0.00016339+0.00022478i,-0.00036231-0.00017289i,0.00043749-0.00016431i,0.0011979-0.00018975i,0.00071536+0.00021328i,1.0192e-05-0.00014544i,-0.00056448-0.00079806i,-0.00050594-0.00047901i,-0.00034432+0.00032606i
0.0012362+0.00029238i,0.00068398+0.00050235i,0.00064676+0.00088173i,0.00045926-0.00043275i,9.9654e-05-0.001458i,5.7195e-05-0.00075718i,0.00017289+0.00016333i,0.00030337+0.00041558i,0.00049017+0.00065397i,0.0007057+3.3625e-05i,0.00048919-0.00052482i,-0.00023989-0.00034061i,-0.00026405+0.00045698i,0.00012834+0.00027238i,0.00029825-0.00033382i,0.00059723-1.248e-05i,0.00074851-0.00047114i,0.00021069-0.00057894i,-0.00029972+0.00046463i,-0.00024478+0.00081213i,-0.00010974+9.9427e-05i,-0.00062517+3.2516e-05i,-0.0011087+0.00035517i
0.0018167-0.00090825i,0.0016342-0.0016656i,0.00092983-0.0025671i,-0.00021179-0.0019104i,-0.0011328-0.00083299i,-0.0014261-0.00030643i,-0.0011194+0.00046997i,-0.00083039+0.00092237i,-0.00082624+0.00034958i,-0.00015277-0.00041985i,9.5544e-05-1.3145e-05i,-0.00071579+0.0010777i,-0.00075265+0.0010695i,-0.0005325+0.00055555i,-0.00099522+0.00064834i,-0.0010456+0.00060003i,3.323e-05+0.00024806i,0.00039878+0.00023276i,0.00014006+0.00033759i,-0.00052179+0.00057549i,-0.0011963+0.00017739i,-0.0010528-0.00056095i,-0.00096988-0.00068364i
0.0012777-0.00069651i,0.0017471-0.0011591i,0.00094844-0.00017088i,-0.00089691-2.4244e-05i,-0.00094624-0.00030196i,-0.00021513+0.00041205i,-0.00045297+0.00041306i,1.9641e-05-0.00010401i,0.00051561-0.00035345i,0.00076774-0.00043996i,0.00040354-0.00010056i,-0.00056185+0.00034087i,0.00017608+0.00045321i,0.00077503+0.00017974i,0.00069431-0.00034227i,0.00022471-0.0002806i,-0.00034659+8.3806e-05i,-0.00040878+0.00035593i,0.00019104+0.00021779i,0.0005976-0.00057885i,0.00045594-0.00051577i,0.00014151-0.00048857i,0.00024943-0.00077551i
-0.0011297-0.001861i,-0.0011937-0.0018013i,-0.0020964-0.0014612i,-0.0024094-0.00031739i,-0.0017155+0.00033421i,-0.0010029-2.1199e-05i,-0.00020053-0.0003352i,0.00046038-0.00037054i,0.00019605-0.00020865i,6.8321e-05+0.00036342i,0.00025145+0.00033007i,4.5288e-05+9.8053e-05i,6.6353e-05+0.00017175i,0.0001626+0.00038467i,-3.378e-05+0.00057575i,0.00038798+0.00066659i,0.00087412+0.00066994i,0.0012427+0.00026609i,0.0011958-9.6966e-05i,0.00060244-0.00038103i,0.00027389-0.00023241i,7.1292e-06+0.00049276i,0.00045686+0.00069267i
0.00049281+0.0021187i,0.0010412+0.0018105i,0.0013634+0.001798i,0.0013488+0.00032268i,0.00022315-0.00064557i,-0.0010414-0.00063577i,-0.00074244-0.0005394i,-0.0003838-0.00025576i,0.00052527+0.00028418i,0.00086511+0.00023397i,0.00054536-7.5638e-05i,9.4673e-05-0.00011521i,-0.00052559-0.00057916i,-0.0012286-0.00069748i,-0.0015511-0.00067867i,-0.00097236-0.00066857i,-0.00058568-4.6058e-05i,-0.00038064+0.00021516i,0.00028868-0.0002328i,0.00054755-0.00084119i,0.0004394-0.00045795i,-8.7172e-05+0.00046045i,-0.00049487-0.00036079i
-0.00030563+0.00062094i,-0.00071181+0.0014909i,-0.00090183+0.0021632i,3.6565e-05+0.0015388i,0.00038532+0.0011498i,0.00061148+0.00084017i,0.00058785+0.00029359i,0.0004097+1.8811e-05i,0.00067016+0.00072965i,0.0016059+0.0010344i,0.0021571+0.0009045i,0.0012874+0.00079924i,0.0003005+0.00034005i,-0.0004003-0.0006188i,-0.00038595-0.00083586i,-8.2363e-05+7.4337e-05i,-0.00083978+0.00031595i,-0.0010085-0.00042568i,-0.00054605-0.00084464i,-0.00012254-0.00044047i,-1.7775e-05+6.9964e-06i,0.00031924-0.00050569i,0.00099382-0.0005507i
0.0022484-0.00075329i,0.001687-0.0011964i,0.0013213-0.0015421i,0.00038354-0.00091979i,-0.00049685-0.00057615i,-0.00062868-0.00070103i,-0.00057861-0.0003629i,-0.00038169-0.00027883i,0.00037449-0.00077691i,0.00023907-0.00086991i,-0.00041061-0.00054013i,-0.0004607-0.00015303i,-0.00017332+0.00022214i,-0.00015121+0.00036988i,-0.00065466-2.2942e-05i,-0.00069348-0.0001474i,-1.0579e-05+0.00030027i,-0.00014124+0.00070102i,-0.00096995+0.00089156i,-0.00061513+0.00019622i,0.00014427-0.00038202i,-0.00017776-2.6347e-05i,-0.00042911-0.0002436i
3.73e-05-0.00059027i,0.0009939+0.00084922i,6.1819e-05+0.00088667i,-0.00081301+0.00075891i,-0.00078481-0.00038801i,-0.0010415-0.00086207i,-0.00055267+0.00013391i,-0.00015531+0.00095946i,-0.00013889+0.001446i,-0.00050637+0.001428i,-0.00036293+0.00078091i,7.765e-05-0.00047813i,-9.9844e-05-0.00096016i,-8.9428e-05-0.00039075i,0.00023471+0.00032403i,-1.2828e-05+0.00062731i,-0.00057281+5.4123e-05i,-0.0011041-0.00058049i,-0.00071713-0.0007926i,0.00060936-0.00010227i,0.00070569+0.0001825i,-0.0001987+2.6244e-06i,-0.0012536+6.6805e-05i
-0.00038152-0.00021278i,-0.00044634+0.00079235i,-0.0012881+0.00052099i,-0.0013537-0.00025761i,-0.00031463-0.0010377i,0.00033098-0.00088558i,0.00053873-0.00024809i,1.0114e-05+0.00012821i,0.00017296+0.00017184i,0.00094977-0.00013299i,0.00086089+3.0287e-05i,-0.00021791+0.00024786i,-0.00050083+0.00013748i,0.00017547-5.0708e-05i,0.00038182-0.0006673i,0.00034136-0.0013578i,0.00012679-0.001416i,-9.3855e-05-0.00034885i,-0.0004059+0.00094928i,-0.00038583+0.0010114i,8.5384e-05+0.00030466i,-0.00029602-0.00014852i,-0.0005537-0.00027621i
-0.00017071+0.0018384i,-4.4089e-05+0.0016424i,-0.00023552+0.0012831i,-0.00035492+0.0011167i,-0.00052504+0.0010678i,-0.00039258+0.00019729i,-0.00036434-0.00062356i,-0.0010599-0.00090116i,-0.00085666-0.00085525i,9.4602e-05-0.00045149i,0.00019457-0.00023073i,-0.00084786-0.00012019i,-0.00099438+0.00013478i,-0.00044909-0.00021014i,0.0002623-0.00024933i,-8.977e-06-0.00018214i,-0.00071952-0.00020531i,-0.0006724+0.00010261i,0.00029718+0.00028316i,0.00088379-0.00020165i,0.00051619-0.00067264i,0.00055178-0.00014855i,0.00078016+0.00028648i
0.00043339-0.0010845i,0.00058295-0.0012962i,-0.00063974-0.0013237i,-0.0011613-0.0012195i,-0.00087209-0.0010596i,-0.00056257+1.0196e-05i,0.00024718+0.0011574i,0.00077828+0.00090759i,0.00041045+0.00019101i,-0.00018344-7.1238e-05i,-0.00052828-0.0002698i,-0.0009062-0.00061319i,-0.0010079+8.1424e-06i,-0.00037549+0.00050895i,-0.0001485+5.8614e-05i,-0.00091723+0.0004842i,-0.0011483+0.00072727i,-0.00040214+0.00030187i,0.00038733+0.00011669i,0.0007756-4.9512e-05i,0.00045564-0.00074798i,-0.0002159-0.00069697i,-1.0527e-05-2.1777e-05i
-0.00085717-0.00010695i,-0.00042891+0.00014644i,0.00058349-0.00027283i,0.00038968-0.00098115i,7.8355e-05-0.00043887i,-3.6369e-05-0.00018959i,-0.0010166-0.00024356i,-0.00080876-4.2054e-05i,0.00021427-7.4788e-05i,0.00064415+4.7964e-05i,0.00076815+0.00048815i,2.1337e-05+0.00094094i,-0.00050344+0.0010625i,-0.00051675+0.00084558i,-0.00033937+0.00016975i,-0.00036285-0.00046138i,1.6673e-05-0.00050427i,0.00035996+0.00024815i,4.5026e-05-4.6777e-07i,2.4362e-05-0.00068402i,0.00027208-0.00049483i,0.00062836+0.00019904i,0.00043126+0.00066956i
0.0020265-0.00036671i,0.00077261+0.00074808i,-0.00079581+0.0012167i,-0.00088637-0.00025957i,-0.00052378-0.0010147i,-0.00028793-0.00045739i,-0.00053707+5.8097e-05i,-0.0007251-0.00017493i,0.00041047+0.0001369i,0.00053559+0.00054868i,-8.8022e-05+0.00054682i,-8.8485e-05+0.00020639i,0.00010745-0.00058563i,-0.00024683-0.00065774i,-0.0010888-0.00022154i,-0.0010653+5.036e-05i,-0.00049304-3.3468e-05i,0.00061729-0.00052403i,0.00062918-0.00067119i,-2.2523e-05-0.00043107i,-0.00059622-0.0001771i,-0.00076867-0.00037914i,0.0001734-0.00081572i
0.0012794+0.00041024i,0.0013017+0.001108i,0.0014509+0.00014674i,0.00055159-0.0014114i,-0.00090218-0.0013997i,-0.0013087-0.00057566i,-0.00049862-0.00031805i,-0.00025272-0.00025813i,-0.00053737+0.00042151i,4.5019e-05+0.00015236i,5.1273e-05-5.0178e-05i,-1.6422e-05+0.00021875i,0.0001541+0.00041207i,8.83e-05+0.00084265i,0.00039312+0.00032326i,0.00028173-2.6891e-05i,-0.00042078-0.00028191i,-0.0007396+0.00012738i,-6.1563e-05+0.00069701i,0.00019813+0.000324i,-0.00031776-0.00010393i,-0.00048701+0.00021138i,-0.00057743+0.00020184i
-0.00023215+0.00023867i,0.00022345+0.00023262i,0.00083019+0.00030661i,0.00056529-0.00051472i,-0.00024405-0.00097062i,-0.00048409-0.00035955i,-4.5854e-05+0.00032247i,0.00028005+0.0007773i,0.00030966+0.0011283i,0.00072466+0.0010827i,0.00043359+0.00055902i,-0.00040074-1.9705e-06i,-0.00061292+0.00024267i,-0.00022545+0.0002662i,-0.00043001-0.00060633i,-0.00027755-0.00024226i,-0.00021185+1.7947e-05i,-0.00018845-0.00034386i,-0.00014223+0.00019172i,-0.00019248+0.00040269i,0.00025195+0.00026033i,0.00088925+0.00070037i,0.0010798+0.00095406i
-0.00060964+0.0012601i,-0.00029948+0.0010931i,0.00042951+0.0015809i,0.0013271+0.00137i,0.0011171+0.00068114i,0.00074043-0.00032771i,0.00024229-0.00117i,-0.00069947-0.00099112i,-0.0006742+0.00042656i,0.00013201+0.00044181i,0.00080973-0.00049968i,0.00020758-0.00077971i,0.00028899-7.6462e-05i,0.00012882+0.00051535i,-0.00046874+0.00025424i,-0.00054616-0.00030159i,-0.00038985-3.9711e-05i,-0.0003059+0.00057187i,9.7633e-05+1.3121e-05i,0.00016342-0.00051901i,-0.00022504-0.0006488i,-0.00018672-0.00099621i,-3.5545e-05-0.000599i
-0.0011287+0.00040004i,-0.0018362+0.0013345i,-0.0019537+0.0014274i,-0.00055912+0.0014828i,-0.00010344+0.0010951i,-0.00013279+8.006e-05i,-0.00032541-0.0002286i,-0.00033859-9.8516e-05i,0.00019763-0.00046808i,5.8636e-05-0.00071685i,-0.00069871+3.795e-05i,-0.00047392+0.00071414i,-0.00065299+0.00016288i,-0.00079919-0.00065722i,-0.00058049-0.00033262i,-0.00044252-0.00018607i,0.00014974-0.00012903i,-5.1452e-05+0.00041631i,-0.00051706-0.00014161i,-0.00045201-0.00018353i,9.7515e-06+0.00015496i,0.00029173-9.6356e-05i,0.00029787+0.00026711i
0.00042866+0.0021357i,0.0013962+0.0016591i,0.0021191+0.0015693i,0.0021604+0.00043265i,0.0016179-0.00098936i,0.00054457-0.00087199i,-0.00067307+0.00049984i,-0.00019363+0.00032612i,0.0011418-0.00019441i,0.0010701-0.00044779i,0.00063351-0.00092363i,0.00029801-0.00055317i,0.00022615-0.00082101i,-0.00030216-0.0013291i,-0.00051289-0.0013488i,4.191e-06-0.0011282i,0.00014912-0.00045893i,-0.00065355+0.00054763i,-0.00089277+0.00074195i,-0.0003176+0.00017862i,-7.1182e-06-0.00035422i,0.00037932-0.0003739i,0.0010071+3.6643e-05i
-0.0010287+0.0018585i,-0.0015232+0.0018755i,-0.0010798+0.0022156i,-0.00069007+0.0015202i,-0.00088296+0.00013196i,-0.00030183-0.00040692i,-0.00014144-0.0005208i,8.9971e-05-0.00066301i,0.00042518+4.2892e-05i,0.00073199+0.00037531i,0.00072417+4.2511e-05i,6.1299e-05+0.00023638i,-2.1893e-05+6.9585e-05i,0.00042-0.0001393i,0.00071042-0.00029191i,0.00047196-0.00010609i,-0.00039498+0.00026989i,-0.0010049+3.5851e-05i,-0.0010835-6.2171e-05i,-0.00098843-0.00028326i,6.3276e-05-0.00070119i,0.0010746-0.0011187i,0.00098943-0.0010499i
-0.0011127-0.0010308i,-0.0010849-0.00060533i,-0.0014522+0.00016711i,-0.00092562+0.00018352i,-6.4426e-05-0.00028967i,5.166e-05-0.00054104i,-5.5729e-05-0.00035766i,0.00039331+0.00024419i,0.00048464+0.00081578i,-0.0003004+0.00016993i,-0.00028529-0.00053428i,-3.1695e-05+0.00028537i,-2.2417e-06+0.00067812i,0.00020508+2.8467e-05i,0.0001067-0.00018287i,-0.00011785-0.00031778i,2.3728e-05-0.00063529i,0.00030512-0.00066055i,0.00035642-0.0005716i,-5.9237e-05+5.957e-05i,8.8007e-05+0.00047144i,0.00012724-1.3646e-05i,-0.00019906-0.00045119i
-6.3271e-05+0.00084077i,0.00090407+0.0017392i,0.00081118+0.001771i,6.3109e-06+0.0010386i,-0.0004868+0.00067468i,-0.00025639+6.1653e-05i,-0.00018492+0.00024501i,-0.00058315+0.00042601i,-0.00049425+0.00020098i,-0.00027124-6.9502e-05i,-0.0001097-0.00057069i,-0.00018081+0.00021492i,-0.00024898+0.00086943i,0.00019956+0.00048922i,0.00018799+0.00030684i,-0.00015191+2.6516e-06i,-0.00032541+0.00011658i,-6.642e-05+0.00013981i,0.00044478-5.7718e-05i,0.00035331+8.6028e-05i,-0.00032546+1.486e-05i,-0.00024025-0.00018445i,-9.4421e-05-0.00013466i
0.00099261-0.00049015i,0.00066914-0.00038664i,0.00068551-0.0011459i,-0.000556-0.0014918i,-0.001469-0.00099344i,-0.0008755-0.0003919i,-0.00051802+0.00011097i,-0.0003016+0.00033787i,0.00048535+0.00022077i,0.00060306+0.00036347i,-0.00012505+0.00071123i,-0.00013096+0.00031782i,0.00025181+0.00038169i,0.00022307+0.00028231i,-0.00053532-0.00044729i,-0.00021393-0.00019157i,0.00022218+0.00042659i,-0.0004273+0.00043527i,-0.00050051+0.00018955i,-0.00055582+0.00011625i,-0.00063002-0.00015289i,0.00037611-0.00054512i,0.00097345-0.00030883i
0.0026126+0.0012649i,0.0024393+0.0014299i,0.0020495+0.0014538i,0.001818+0.0016987i,0.00069735+0.001004i,-0.00019521-0.00010716i,-0.00014696-0.00047598i,0.00015557-0.00028887i,0.00032889+0.0001522i,0.00041565+0.00056691i,-0.0001338+0.00044008i,-0.0006585+0.00044985i,-0.00067446+0.00045917i,-0.00012455+0.00035311i,0.00024169+0.00035859i,-0.00041908+0.00026652i,-0.00067977-0.00027135i,-0.00051617-0.00092804i,-0.00051955-0.000886i,-0.00012718-0.0008368i,0.0002532-0.00060508i,0.00016842+9.0688e-05i,-0.00030571+5.971e-05i
