-0.00017557+0.0001487i,-0.00032494-0.0010562i,-0.0015723-0.0021074i,-0.002876-0.0023702i,-0.0034692-0.00046572i,-0.0024476+0.00085932i,-0.00052855+0.00044239i,0.00019295+0.0010342i,0.0012187+0.0011841i,0.0019411+0.00010579i,0.00081621-0.0006252i,-2.0372e-05-0.00090299i,-0.00053062-0.00053268i,-0.00059712-0.00021753i,-0.00023741+0.00049625i,-0.00031728+0.0013819i,-0.00034593+0.00012578i,-0.00030565-0.00038601i,-0.00039812+6.396e-05i,-1.367e-05-0.0005213i,0.00030402-0.00046868i,-3.5465e-05+0.00019398i,-0.00027384+0.00071269i
-7.2162e-05+0.0017333i,-0.00046519+0.0022903i,-0.00056116+0.0012995i,-0.0013621-0.0002028i,-0.0011229-0.00035581i,-7.3459e-05-0.00011692i,2.8817e-05+1.7737e-05i,-2.7648e-05+0.00069621i,0.00089755+0.00059425i,0.0011363-2.4105e-05i,0.00095523-0.00010796i,0.0011863-0.00019488i,0.00057688+1.8438e-05i,0.00040067+0.0008398i,0.00021883+0.0015704i,-0.00026468+0.0014835i,-0.00024988+0.00089916i,-0.00047532+0.00023285i,0.00039348+0.00039291i,0.0009099+0.0004332i,0.00090733+2.6114e-05i,0.00096581+0.00047708i,0.00063657+0.0010476i
0.0007711-0.0013246i,0.0013559-0.00059361i,0.00052996+0.00020489i,-0.00019311+0.00082989i,-0.00073816+0.0013136i,-0.00034871+0.0013322i,0.00069248+0.00037069i,0.0010275-0.00063987i,0.00031743-0.0011937i,-0.00020893-0.00055478i,-0.000144-0.00027636i,1.0952e-05-0.00026147i,-7.75e-06-0.00010698i,0.00023689-7.4612e-05i,0.00035149-0.00063118i,-0.00015264-0.00075837i,-0.00016964-0.000168i,0.00010232-3.522e-05i,-0.00033095-1.585e-06i,-0.00014027+0.00026143i,0.00047672+0.00033848i,-0.00013977+0.00056187i,-0.00055595+0.00073648i
-7.0347e-05+0.0016481i,-4.1372e-05+0.00088505i,9.3703e-05-0.00090661i,-0.00016644-0.0013817i,-0.00090147-0.00039249i,-5.2247e-05+0.00049536i,0.0010426+2.1756e-05i,0.00096734-0.00083861i,0.00051765-0.00017139i,-0.00026771+0.00048366i,-0.00090294+0.00050706i,-0.00058344+1.3535e-05i,-0.00038494-1.2525e-05i,-0.00032729+7.806e-05i,-0.00055578-0.00067735i,-0.00012798-0.0010665i,0.00045248-0.00080277i,0.00042404-0.00089259i,0.00026198-0.00079007i,0.00012561-0.00088762i,0.00025587-0.0006927i,0.00035551-0.00046144i,-1.9466e-05-0.00099774i
-0.00032631-1.5967e-05i,-0.00089515-0.00026226i,-0.0010384-0.0004889i,-0.0016479-0.0010663i,-0.001561-0.0012597i,-0.00046187-0.00090315i,-0.00014234-0.0010491i,0.00030212-0.00075659i,0.0009884-0.00039881i,0.00069964-0.00034117i,-6.5589e-06+0.00068134i,-0.00027305+0.0010811i,7.5735e-05+0.00036257i,0.00011479+0.00028335i,-0.00050402+0.001343i,-0.00046815+0.0014164i,-1.2579e-05+0.00050153i,-6.8084e-05+0.00019659i,4.9325e-05-0.00016699i,-0.00011855+6.047e-05i,-0.00040013+0.00052883i,0.00016233+6.7005e-05i,5.9866e-05+0.00026572i
0.00093364+0.0021086i,0.0013273+0.0011408i,0.00065611+0.00084226i,0.00031785+0.00086421i,0.00036902+0.00070228i,0.00046049-0.00022426i,0.00038438-0.00031556i,0.00052088-0.00030657i,0.0011284-0.00036405i,0.00067337+0.00031276i,-0.00030632+0.00029985i,2.141e-05-0.00017261i,6.7181e-05+0.00040683i,-0.00071445+0.00016905i,-0.00029863-0.00083579i,-3.2404e-05-0.00013403i,-0.00019577+1.3111e-05i,0.00034352-0.00032439i,0.000542-0.00028233i,-0.00043705-9.5622e-05i,-0.00042576+2.3826e-05i,0.00028714-0.00015603i,1.3765e-05-0.00022725i
0.0002904-0.0020193i,0.00080378-0.0024127i,9.0731e-05-0.0031422i,-0.002117-0.0034716i,-0.0026695-0.0025278i,-0.0019571-0.00058993i,-0.00054346-0.00016662i,0.00048132-0.00059776i,0.00011876-0.00052681i,-0.00027385-0.00029007i,-0.00055741-0.00074421i,-0.00086335-0.0011552i,-0.00061915-0.00074395i,0.00024391-7.5591e-05i,-1.6803e-05+0.00047057i,-0.00059323+0.00074913i,-0.00051663+0.00076503i,-0.0011769+0.00056749i,-0.0016554-7.8016e-05i,-0.001107+6.1051e-07i,-0.00067639-0.00057006i,-0.00023834-0.0013394i,0.00012478-0.00078388i
0.0010723-0.0018733i,-0.00034016-0.00092452i,-0.0012674+0.00011734i,-0.001998+0.0011153i,-0.0018474+0.0014492i,-0.0002988+0.0010389i,0.00060296-0.00072194i,0.00070856-0.0016998i,0.00053718-0.00070835i,0.00086649-0.00016483i,0.00024598+0.00037022i,-0.00097159+0.00079257i,-0.00080269-3.3923e-05i,-0.00035694-0.00026615i,-0.00050608+6.5435e-05i,-0.00024361-0.0005673i,0.00046569-0.00066313i,0.00055814-0.00020377i,0.00021228-0.00021072i,0.00019961-1.9205e-05i,0.00050353+0.00036421i,0.00040941+0.00082079i,-0.00024902+0.00045976i
0.0014299+0.0011094i,0.0018523+3.7174e-05i,0.001399-0.00060819i,0.00074572-0.00066478i,0.00033127-0.00080933i,0.00028158-0.00058744i,0.00015635-0.00097695i,-0.00031443-0.0010625i,-0.0001668+0.00019046i,0.00056487+0.00017403i,0.00089085-0.00036898i,0.00065629+0.00032052i,0.00025365+0.0008431i,-0.00022334+0.00046727i,0.00011956+0.00054709i,0.00050421+0.00057147i,0.0001702-0.00056643i,8.2235e-05-0.00053937i,0.00045099+0.00047536i,0.00048121+0.00091919i,0.00010621+0.00041814i,-8.4348e-05+0.0001336i,0.00019195+0.00037174i
0.0016373-0.00041482i,0.0016326-0.0014845i,0.00050346-0.001543i,-0.0011622-0.0017667i,-0.0024851-0.0020958i,-0.0020115-0.0015819i,-0.00036049-0.0011855i,0.0006774-0.0014465i,0.00035418-0.00095153i,-0.0001214-0.0004426i,-0.00085551-0.0002178i,-0.00063272+0.00010216i,5.4625e-05+0.00018806i,-9.4571e-05-0.00038596i,-0.00025221-0.00048194i,-0.00016789-8.4366e-05i,-0.00022075+0.00012339i,3.781e-05+3.4786e-05i,0.0007247+0.00021735i,0.00043821+0.00040924i,0.00016122-0.00015927i,0.0009594-0.00076318i,0.0011849-0.0002089i
-0.0024366-0.00068139i,-0.0010298-0.00086639i,-0.00039554-0.00052759i,-0.00098803+8.2538e-05i,-0.00073852+0.00067476i,0.00035561+0.0010324i,0.00037327+0.00060792i,-9.9947e-05-0.00023454i,-0.0002393-0.00020108i,-0.00016915+0.00028285i,-0.00019628+0.00048754i,-0.00065427-0.00010665i,-0.0007661-0.00074043i,-0.00091277-0.0010096i,-0.00074668-0.00081117i,-0.00021398-0.0001571i,2.8976e-05+0.00031518i,0.00024951+0.00053122i,0.00015898+0.00044362i,0.00012809+0.00012598i,0.00014873-7.8068e-05i,-9.7048e-06-2.7369e-05i,0.0001864+2.8931e-05i
-0.0020828-0.00077284i,-0.002402+0.00063971i,-0.0031728+0.0012522i,-0.0028744+0.00069512i,-0.0018931-0.00020219i,-0.00077706+0.00025771i,0.00029186-6.196e-05i,0.00016622-0.001066i,-0.00081408-0.00087484i,-0.00054202-0.00021031i,0.00019849+0.00060761i,0.00050466+0.0008834i,0.0004595+0.00039868i,-7.0286e-05+0.00050266i,-0.00035785+0.00041077i,-4.531e-05+0.00015748i,9.0808e-05+0.00076061i,-0.00015118+0.00030053i,0.00015928-0.00015309i,0.00023373+0.0005041i,-6.2841e-05+0.00040926i,-0.00042792+0.00033506i,-0.0010616+0.00059765i
0.00074968-0.0024869i,0.00023841-0.0014925i,-0.00061485-0.00082797i,-0.002378-0.00059168i,-0.0029584-0.00057342i,-0.0016417-0.00036667i,0.00035016-0.00064609i,0.00080167-0.0011309i,-4.4737e-07-0.0012004i,-0.00067448-0.00063475i,-0.00093305+1.498e-05i,-0.00032318-0.0004059i,-9.8156e-05-0.00095865i,-8.1621e-05-0.00099587i,-0.000222-3.097e-05i,-0.00066182+0.0007133i,-0.00049168+0.0003423i,7.6294e-05+0.00017151i,-7.4852e-05+0.00038621i,1.0143e-05+0.00022721i,-0.0003747-0.00022756i,-0.0011561-7.8658e-05i,-0.0015767-0.00051762i
0.00025075-4.6204e-05i,0.00037467+0.00039911i,0.00057296+0.00028822i,-0.00013353-0.00012249i,-0.00095106-0.0011276i,-0.00097116-0.0008221i,-0.00038005-0.00042416i,0.00031182-0.0010059i,0.00043981-0.00082467i,-0.00014315-6.1177e-05i,-0.00087507+0.0002335i,-0.00040939+0.00064336i,-0.00043009+0.00026533i,-0.00067283-0.00011821i,-0.00032967+0.00028113i,-0.00068376+0.00012647i,-0.00058128+0.00034346i,-9.9152e-05+0.00021599i,-0.00043867-9.1292e-05i,0.00015374+0.00043142i,0.00099282+0.00051718i,0.00088511-0.00021988i,0.00089177-0.00075378i
-0.0019437-0.0031782i,-0.0015656-0.0021029i,-0.002255-0.0018898i,-0.0034341-0.00072107i,-0.003468+0.0011082i,-0.00094646+0.0015539i,0.00078346+0.00087484i,0.00068593+0.00027623i,6.6347e-05-0.00049299i,-0.00091451-0.00093235i,-1.3594e-05+3.9213e-05i,0.00060913+0.0008351i,0.00036584+0.00089924i,-0.00021694+0.0010079i,-0.00076757+0.0005861i,-0.00068677+0.00024053i,0.00012505+0.00021505i,0.00054706+0.00048378i,-5.1853e-05+0.00022821i,-0.00027568-0.00053752i,-0.00030173-0.00045704i,-0.00017798+7.5094e-05i,0.00029138+5.346e-05i
-0.00024106+0.0015953i,-0.0001339+0.0024508i,-0.00037408+0.0025893i,-0.00064127+0.0018219i,-0.00098388+0.00091674i,-0.00028936-0.00026833i,0.00054302-0.00098744i,0.00036226-0.00064858i,0.00019699-0.000748i,-0.00021487-0.00050547i,-0.001028-0.00023393i,-0.0008343+2.2306e-05i,-8.7522e-05+0.00064392i,-3.094e-05+0.00064684i,-8.1504e-06+0.00041426i,-9.3385e-05+0.00034348i,-0.00038863+0.00036437i,-0.00086628+0.0006049i,-0.00071797-0.00011532i,0.00012617-0.00042869i,0.00028495+8.8137e-06i,0.0012764-0.00025692i,0.0016894-0.00035663i
0.0026489-0.0017214i,0.002961-0.0025745i,0.0012543-0.0028772i,-0.0012058-0.0025239i,-0.0014955-0.0021371i,-8.7849e-05-0.0016297i,0.00027947-0.00076131i,-0.00021316-0.00049079i,-0.00014938-0.00036505i,0.00035764+0.00033366i,-3.8571e-05+0.00048907i,-0.000724+0.0001908i,-0.0012015-3.2772e-05i,-0.00057989-0.00031376i,0.0011176-0.00035635i,0.00091649-0.00035089i,0.00040274+0.0005603i,0.00051684+0.00081914i,-0.00033135+0.00020351i,-0.0010128-0.00027192i,-0.00082997-0.00021033i,-0.00020214-0.00038978i,0.00022564-0.0003735i
0.00029439+0.0011562i,-0.00028832+0.0012204i,-0.00091488+0.00079316i,-0.0013742-3.5167e-05i,-0.0011026-3.0616e-05i,-0.00066203+0.0003064i,-0.00021573-0.00022066i,0.00058751-0.00056955i,0.00114-0.00014436i,0.0010867-0.00031506i,0.0010733-0.00069856i,0.00093923-0.00018731i,0.00021121+0.00038899i,-0.00023702-0.00021975i,-0.00046673-0.00039031i,-0.00082449-6.2503e-05i,0.00010185-0.00037698i,0.0010086-0.0006268i,0.00061525-9.1461e-05i,0.00031472-0.00024868i,0.00015642-0.00035133i,0.00051071+0.00029245i,0.00075919+0.00018696i
0.0021994+0.00045768i,0.0015196-0.00051056i,0.0014559-0.00066003i,0.001472-0.001281i,0.00079937-0.0024322i,0.00064942-0.0020822i,0.0011929-0.00053893i,0.00052471-0.00039485i,-0.00038262-0.00037825i,0.00011053-0.0007672i,0.00053106-0.00073447i,-0.00016974+0.00022987i,-0.00033727+0.00035114i,-2.5563e-05-7.212e-05i,-4.4146e-05+1.676e-05i,4.524e-05-0.00025887i,0.00064354-9.6307e-05i,0.0005403+0.00060558i,0.00016046+0.00081769i,0.00032488+0.00031316i,0.00054218+0.00010417i,0.0005092+0.00047099i,0.00040239-0.00014043i
0.0029007-0.001437i,0.0011595-0.0018813i,-0.0011887-0.0025554i,-0.0027617-0.002628i,-0.0024194-0.0019865i,-0.0021163-0.00062657i,-0.0010413-9.9923e-05i,5.9512e-05-0.00051422i,-0.00017535-0.00037918i,-0.0010659-9.7543e-05i,-0.0010083+0.00019017i,-0.00019044+0.00068934i,5.7334e-05+0.00051279i,-8.5898e-05-0.00038534i,0.00010473-0.00054076i,0.00013524+0.00039635i,1.1356e-05+0.00038825i,-0.0005098-0.00037561i,-0.0003108-0.00064681i,0.00026465-0.0003559i,0.00069857-0.00058618i,0.0010117-0.0006589i,0.00072592-0.00046036i
-0.0016619+0.0017678i,0.00042598+0.0011384i,0.0017662-0.00085829i,0.0012623-0.0017165i,0.00084466-0.0010281i,0.0002709-0.00041749i,9.5132e-05-0.00026247i,0.00019865-0.00073639i,0.00034932-0.00083012i,0.00050613-0.00076296i,6.187e-05-0.00040671i,7.2775e-05+0.00019345i,0.00032877+0.000248i,0.00095212+0.00051287i,0.00048888+0.00015602i,0.00027983-0.00073333i,0.00035559-0.0011129i,0.00070791-0.0011865i,0.0011006-7.0601e-05i,0.00070902+0.00017703i,5.7467e-05-0.00020411i,0.00024469-0.0003767i,0.0007149-0.00036943i
0.0021762-0.0016793i,0.00098426-0.0016389i,0.00028757-0.001707i,0.00056267-0.00060615i,0.0003821-0.00011356i,-0.00013423-0.00032585i,0.00018076+0.00054393i,0.00027842-0.00039919i,-0.00040059-0.0013087i,-0.00075286-0.00036859i,-0.00022613+0.00013612i,0.001003+0.00052063i,0.0012361+0.00035797i,8.4722e-05-6.3484e-05i,-0.00062401-0.00018831i,-0.00052966-0.00060661i,-0.00053494-0.00048331i,-0.00038153+0.00060067i,-0.00032545+0.00070847i,-0.00038719+0.00049347i,-0.00031768+0.00071217i,-0.00055492+0.00095597i,-0.00072249+3.2419e-05i
-0.00013493-0.00087108i,0.00022533-0.00059197i,0.00037674-0.0001302i,-0.00063868-0.00077008i,-0.0013029-0.00021486i,-0.00097024+0.00061141i,0.00055747+0.0001281i,0.0017491+0.00022869i,0.00089676+0.00077025i,-0.00016642+0.00059597i,-0.00035692+0.00072701i,-0.00062771+0.00087629i,-0.00090187+0.0012927i,-0.00064186+0.00055041i,-0.0009234-0.00057009i,-0.0012598-0.00046472i,-0.00049368-0.00050901i,0.000135-0.00075531i,0.00034411-0.00068898i,0.00094258-0.00015125i,0.001042+6.1065e-05i,0.00066871-0.00037441i,0.00059695-9.8325e-05i
-0.0045509-0.0011599i,-0.0025104-0.00070687i,-0.0013653+0.00039344i,-0.0010243+0.0014585i,-0.00055542+0.0013266i,5.2882e-05+0.00074454i,0.00025411+0.00038433i,-9.2262e-05-0.0008406i,0.00025662-0.0015847i,0.00073294-0.00012901i,0.00052819+0.00061741i,0.00039703+3.8284e-05i,0.00044132+8.2522e-05i,5.4038e-05+0.00011316i,-0.00069436+0.00012135i,-0.00082735+0.00010872i,-0.00028404+0.00059556i,0.00038079+0.00074788i,-8.3424e-05+0.00013485i,-0.00017765-0.00034625i,0.00033654+0.00013041i,0.00016298+0.001026i,-1.5723e-05+0.00084348i
0.0033784-0.0003776i,0.00198-0.00125i,0.00017455-0.002087i,-0.00070767-0.0024436i,-0.00091218-0.0021233i,-0.0012284-0.0012885i,-4.9317e-05-0.00068309i,0.0013745-0.00041447i,0.0011637-0.00086193i,6.1648e-05-0.0010968i,-0.0004242-0.00054493i,1.0837e-06-0.00021841i,0.00013459-0.00016926i,0.00022642+0.00012554i,0.00014061+0.00054595i,0.00020244+0.00046779i,0.00066717+0.00012463i,0.00077695-9.3658e-05i,5.587e-05-0.00045471i,-0.00078311-0.00031452i,-8.9265e-05+0.00048413i,0.00060587+0.00079652i,0.000152+6.1082e-05i
0.0006328-0.00035819i,0.00032224+0.00021811i,-0.0009207+0.00031392i,-0.0020332+0.00010267i,-0.0015899-9.3743e-05i,0.0003948+0.00027311i,0.0011202+0.00035592i,9.858e-05-0.00042107i,-0.00048964-0.00073387i,0.00011134+0.00024154i,7.008e-05+0.0011309i,-0.00016641+0.0011798i,6.5335e-05+0.00090059i,-0.00048712+5.2062e-05i,-0.00096051-0.00028794i,-0.00092999+0.00043232i,-0.00044041+0.00018375i,-0.00013312-0.00041285i,4.2277e-05+0.00023045i,0.00017807+0.00084696i,0.00085076+0.00058267i,0.00083335+0.00042821i,-9.9316e-05+0.00036097i
0.00075933-0.0022868i,0.0018241-0.001986i,0.00057072-0.0012181i,-0.0015165-0.00035554i,-0.0012455-0.00058669i,0.00011126-0.00022776i,0.00069847+0.00019928i,0.0010848-0.00024033i,0.00082102-0.00016624i,0.00085717+0.00010431i,0.00088088-0.00013665i,0.0004188+1.7444e-05i,0.00046519+0.00060357i,0.00018377+0.00092583i,0.00010983+0.0005979i,-0.00027416-0.00010048i,-0.00049467-0.00021734i,-5.4522e-05+0.00020816i,0.00040829+0.00069875i,0.00026383+0.00055437i,0.00018794+0.00060328i,0.00069547+0.00039837i,0.00063659+3.818e-05i
0.0012573+0.00039784i,0.0006547+0.00038449i,-0.00082222+0.00082281i,-0.0022458+0.00038271i,-0.0025138+8.7816e-06i,-0.0011085+0.00025933i,6.1417e-05+0.00016887i,0.00040009-0.0001271i,0.00059553-0.00026488i,0.00064234-0.00022438i,0.0005442-0.00024846i,0.00014905+6.1772e-05i,-6.2248e-05+0.00050898i,3.5706e-05+0.00054849i,-0.00012297-0.00017396i,-0.0003151-0.00035667i,-0.00014305-0.00020942i,3.5325e-05-0.0001527i,0.00034125-9.4973e-05i,0.00053296+0.00037745i,0.00041473+0.00027937i,0.00093252-0.00041538i,0.0013465-0.00052276i
0.00024538+1.6217e-05i,0.00039074-0.00039658i,-3.698e-05-0.00013493i,-0.00028641+0.00078518i,0.00020898+0.0007405i,0.00098674+0.00070046i,0.00074964+0.00057965i,0.00023251-0.0003015i,0.00038915+0.00029831i,0.00044613+0.0013078i,0.00052704+0.00097704i,0.0003259+0.00011123i,0.00022431-0.00059568i,-0.00016916-0.00084191i,-0.00020677-0.00015436i,-0.00013728+0.00037624i,-0.00015385+0.0002662i,0.00012752+0.00057437i,-0.00017714+0.00025354i,-0.00075284-0.00057227i,-0.00027767-0.00079141i,0.00053142-0.00070811i,-8.6398e-05-0.00052069i
-0.0010447-0.00055313i,-0.00075028+0.00071077i,-0.00031765+0.0006905i,-0.0010996+0.00014825i,-0.0017623-2.1705e-05i,-0.00095996+0.00030321i,0.00020115+0.00027566i,0.00071818+7.3417e-05i,0.00056868-3.7667e-05i,0.00034561+9.5797e-05i,-0.00051643+6.2962e-05i,-0.0008367+7.5695e-05i,-0.00035794+0.00087768i,-0.00077895+0.0013955i,-0.00051587+0.00069185i,0.00020937+0.00016943i,-7.8901e-05+0.0001866i,-0.00021251+0.00029263i,-0.0002832+0.00043793i,-0.00068792-0.00028837i,-0.00038772-0.00035598i,-0.000219+0.00030771i,-0.00029409+0.00022699i
-0.00095679-0.00033199i,-0.0012681+0.00030188i,-0.0010715-2.4722e-08i,-0.001661-0.00055632i,-0.0017315-0.00014381i,1.3903e-05-0.0001908i,9.8605e-06-0.0003781i,-0.00044993-0.00041768i,0.00019173-0.00033476i,0.0010948-0.00027761i,0.0011045-7.8864e-06i,0.00071399+0.00027154i,0.00084636+0.00030793i,0.00031204+0.00026i,-0.00057754+0.00027321i,-0.0009358+0.00020941i,-0.00073933+0.00037995i,-0.00036188-0.00024704i,1.0567e-05-0.00062759i,0.00030497+0.00024735i,-0.00016723+0.00063715i,-0.00030407+0.00031789i,-0.00058227+0.00013922i
0.0020951+0.0035473i,0.0030054+0.0025334i,0.0019603+0.002225i,0.00029853+0.0008263i,0.00026077-0.0013269i,0.00056182-0.002127i,0.00032566-0.0013234i,0.0001999-0.00061893i,8.3664e-05+0.00023201i,-9.0037e-05+9.7878e-05i,0.00026836-0.00071204i,0.00068548-0.00084919i,0.00044401-0.0010435i,-0.00050986-0.0010578i,-0.00084484-0.00030022i,-0.00021863-0.00029074i,-0.00020062-0.00073769i,-3.8904e-06-0.00031244i,0.00033793+0.0004854i,0.00021164+0.00087003i,0.00013339+0.00017985i,0.00068078-0.00013964i,0.000818+0.0002508i
