-0.0050834-0.00078338i,-0.0038163-0.000284i,-0.0029369-0.00042742i,-0.0013411-0.00094202i,-0.00066024+0.001147i,-0.000667+0.0025195i,5.0068e-05+0.00181i,0.00097131+0.00154i,0.0014104+0.00062987i,0.0016555+0.00024336i,0.0015088+0.00044177i,0.0009461-0.00034874i,0.00044806-0.00085993i,0.00044295-0.0011853i,6.2285e-05-0.00072874i,-0.0011453-0.00033759i,-0.0014981-0.00053625i,-0.0010225-0.00023574i,-0.00066542+0.00028653i,7.3854e-05-0.00011631i,0.00063067-0.00064219i,0.00010482+0.00011791i,-0.00042768+0.00073569i
-0.0015177-0.0033175i,-0.001802-0.0031153i,-0.0014833-0.0026388i,-0.00042428-0.0016944i,0.0006896-0.00026693i,0.0013598-0.00015531i,0.001284-0.00051446i,0.00048869-0.00037376i,-0.00054843-0.00030838i,-0.00098297+0.00012329i,-0.00010541+0.00054912i,0.00055659+0.00016307i,0.00045495+0.0002039i,0.00057801-2.564e-05i,0.00063493-0.00021448i,-0.00044427-0.00030568i,-0.00020867-0.0003513i,-0.00012201+6.9445e-05i,-0.00062433-0.00029407i,-0.00076537-0.00058113i,-0.0006033-0.00038826i,-0.0006155+8.4062e-06i,-0.00054035+0.00087063i
0.0018114+0.00012191i,0.001415-0.00028859i,0.0011155+0.00011956i,0.00090397-1.6532e-05i,0.00014259-0.00036904i,-0.00037735+3.3086e-05i,4.8336e-05+0.00055614i,0.00050634+0.00015982i,0.00099625-0.00080926i,0.0013048-0.00044558i,0.0007689-0.000256i,-0.00041783+0.00018352i,-0.001367+0.0004261i,-0.0012537-0.00019995i,-0.00084214-0.00047141i,-0.00066448+6.013e-05i,-0.00063019+0.00077134i,-3.3107e-06+0.00017477i,8.779e-08-0.00040055i,-0.0002131-6.4815e-05i,0.00035274+0.00016466i,-0.00013771+0.00033046i,-0.00057055+0.00030856i
-0.00060924+0.00060527i,0.00069109-0.00095841i,0.0017285-0.0019611i,0.0017143-0.0023861i,0.0023401-0.0011415i,0.0018942+0.0005462i,0.00079897+0.00052949i,0.00064337+0.00061278i,-9.83e-05+0.00052957i,-0.00046563+0.0003868i,0.0007006+0.00071415i,0.00067332+0.00051273i,-0.0002379+0.00039057i,0.0003449+0.00078519i,0.00045182+0.00017237i,7.5248e-05-0.00033801i,8.1441e-05-0.00022933i,0.00017124-2.5685e-05i,0.00015529+0.00030357i,-1.9104e-05+0.00014944i,-0.00013352-0.00032242i,-0.00053638-0.00029113i,-0.00044728-0.00050059i
9.4774e-05+0.00053302i,-0.00070997-0.00054935i,-0.00031732-0.0015163i,-0.00020855-0.0025097i,0.00028435-0.0022135i,0.0011761-0.00080379i,0.0011058+0.0002069i,0.00044139+0.00013338i,3.1623e-05-0.00026436i,-9.4479e-05-0.00031791i,-0.00060579-0.00014847i,-0.00070336+0.00020744i,-0.00013551+0.00033015i,0.00031597+0.00026546i,9.083e-06+0.00035887i,-0.00030686+0.00077619i,-6.6097e-05+0.0012698i,-0.0001102+0.0008977i,-0.00037939+0.00058309i,-0.00033796+0.00025496i,0.00097141+8.7617e-06i,0.0013652-0.00016913i,0.00082076+0.00017272i
-0.0012687+0.0010715i,-0.0015698+0.0018745i,-0.0017681+0.001334i,-0.00075518+0.00086221i,0.00090233+0.00045226i,0.001613+0.00054889i,0.0016671+0.00067195i,0.0011168+0.0005436i,0.00032029+0.00019913i,-0.00019464+0.0007831i,-0.00047447+0.0010899i,-0.00031953+0.00021911i,3.2442e-05-0.00043908i,0.00044612-6.4187e-05i,0.0008242-0.00012822i,0.00069076-0.00081576i,0.00087783-0.00027734i,0.0012555-0.00015575i,0.00063837-0.0010052i,-0.00012054-0.00039646i,-2.2083e-05-1.7307e-06i,0.00036985-0.0003561i,-5.2795e-05-8.1366e-05i
-0.00049352+0.00067383i,-0.00030855+6.8878e-05i,-0.00026745-0.00056681i,-0.00046506+6.1206e-05i,0.00030601+0.0011843i,0.00063546+0.00091792i,0.00072297+0.00076325i,0.00092928+0.00080449i,0.00037884+0.00060745i,0.00011647-0.00015927i,-6.8976e-05-0.00067496i,-4.5758e-06-0.00032147i,8.6843e-05+0.00082836i,-0.00029087+0.00098412i,-0.00021761-0.00036375i,0.00019666-0.00089295i,0.00017022-0.00024396i,0.00019666-0.0002058i,-5.8532e-05-0.00027958i,-1.3435e-05+1.0515e-05i,0.00073325+5.1749e-05i,0.00078805-0.00014863i,4.1566e-05-0.00043019i
-0.00093354+0.0014422i,0.001168+0.00073201i,0.0016072-0.00010897i,0.002267-0.00055996i,0.0026696+1.3399e-05i,0.0022471-0.00036324i,0.0013383-0.00024376i,0.00037007+0.00029707i,-3.8394e-05+0.0004851i,0.00053649+0.00054711i,0.00091842+0.00078029i,0.00075204+0.00068824i,0.00075568-1.6608e-05i,0.0010419-0.00042738i,0.00097728-0.00054505i,0.00051495-0.00085947i,-0.00063262-0.00092181i,-0.00096466-0.0010913i,-0.00072938-0.00067115i,-5.2792e-05+0.00031139i,0.00074594+0.00038375i,0.00029993+0.00013278i,-0.00040882+9.1176e-05i
-0.00073251+0.0023127i,-0.00021085-0.00015679i,4.3953e-05-0.0011374i,-0.00013634-0.00010456i,-3.8554e-05-0.00014983i,0.00095924-0.00015512i,0.0010097-0.00022488i,-0.00019134-0.00054839i,-0.00059267-0.00046056i,-0.00045504-0.00025722i,-0.00036937-0.00065368i,4.5921e-05-0.00090172i,0.00017222+4.4058e-05i,-0.00015065+0.00037595i,-0.00032633+8.8702e-06i,-0.00025773-0.00013424i,0.00013979+0.00029443i,0.00024799+0.00065542i,0.00032338-0.00044011i,0.00047216-0.0011252i,0.00021236-0.00053461i,-0.00017364+0.00013081i,-0.00068531+0.00046945i
0.0011979+0.0017806i,0.00055143-0.00061905i,0.00036481-0.0018848i,0.00071154-0.0021614i,0.0016404-0.0017432i,0.0014963-0.00083348i,0.00081003+0.00030726i,0.00023695+0.00094404i,0.00047085+0.00059874i,0.00022001+0.00010277i,-1.1964e-05-0.00019793i,-0.0001566+3.7985e-05i,-0.00067521+0.00052726i,-0.00047295+0.00037519i,-0.0003952+0.00014335i,-0.00061552-0.00030351i,-0.00037488-0.00065176i,-0.00032284-0.00077946i,-0.00014726-0.0012445i,-0.00023383-0.00079136i,-0.00059142-0.00027101i,-0.00064182-0.0001259i,-0.0004993-9.3782e-05i
9.1187e-05-0.0024712i,-4.8516e-05-0.0018045i,-0.0006978-0.0018981i,-0.00064182-0.0016562i,-0.00041101-0.00081288i,-0.00017373+0.0010983i,0.00049014+0.0012201i,0.00022899+0.00030683i,-0.00053716+0.00012855i,-0.00092839+0.00039708i,-0.00051601+0.00056638i,0.00038343+0.00038345i,0.00021412+0.00084665i,-0.00054259+0.00080632i,-0.00085452+0.00055797i,-0.00081645+0.00057436i,-0.0010014-0.00041504i,-0.0010617-0.0011484i,-0.00018705-0.0013506i,0.00034264-0.00039674i,-0.00060861+0.00071654i,-0.0010767+0.00037007i,-0.00075239-4.6106e-05i
-0.0027616+0.0003248i,-8.1545e-05+0.0012091i,0.001226+0.0012794i,0.0011535+0.00044384i,0.00099466+0.00087795i,0.0017587+0.00087838i,0.0016852+0.00011976i,0.00089759-0.0004307i,0.0002241+9.3895e-05i,-0.00047111+0.00062577i,0.0001567+0.0003294i,0.00035895+0.00044109i,-6.6617e-05+0.00047295i,5.106e-05+7.4364e-05i,0.00018029-0.00019228i,0.0004535-5.5022e-05i,0.00032494-0.00015831i,5.7254e-05-5.576e-05i,-0.00011766+0.0011779i,-0.00063237+0.0018069i,-0.0003428+0.0012781i,0.00013249+0.00080821i,-0.00023745+0.00044159i
0.0012979-0.0027198i,0.00029482-0.002438i,-0.00061647-0.0016067i,-0.00050435-0.00022756i,-0.00011113+0.00019666i,0.00029017+0.00035777i,0.00068269+0.00088254i,0.00069792+0.0011252i,4.3352e-05+0.0006932i,-0.0009039-0.00039973i,-0.00058105-0.00062612i,0.00011855-0.00020055i,0.00026912-0.00039543i,0.00038998-0.00031539i,-4.6295e-05-0.00015445i,-0.00021854-0.00020301i,0.00045731-0.000364i,0.00067831-0.00031101i,0.0001017+0.00026131i,-0.00044402+8.7047e-05i,0.00032347-0.00037061i,0.00076566-0.00040088i,-0.00010921-0.00053384i
-0.0025639-0.00076638i,-0.0016245-0.00016479i,-0.0014473+1.7603e-05i,-0.00066496+6.547e-05i,0.00043284+0.0006155i,0.0006554+0.00047942i,0.00046607+0.00033998i,0.00042551+0.00053814i,-9.3941e-06-0.00034892i,-0.00026933-0.00044125i,0.00040374-0.00022255i,0.00082354+0.00019531i,0.0007264+0.0010207i,0.00030426+0.00064785i,1.7222e-05-0.00048501i,-0.00050266-0.00071661i,-0.00057333-0.000212i,-0.00049735-7.5187e-06i,-0.00084953-0.00028122i,-0.0010169+0.00014435i,-0.00087875+0.00068261i,-0.0010663+0.0010059i,-0.0010473+0.0011145i
0.0018117-0.0018001i,0.001292-0.0018728i,0.0011299-0.0019355i,0.00021176-0.002301i,-0.00023106-0.0012775i,-0.00021257+0.0010255i,0.00035993+0.0016036i,0.00081845+0.00085249i,0.00050223-3.0834e-05i,-0.0006675-9.7018e-05i,-0.00083235+0.00064923i,-8.6579e-05+0.00080103i,-6.6777e-05+4.6299e-07i,0.00034207-0.00020282i,0.00083958-4.9775e-05i,-8.8428e-05-0.00044086i,-0.00081489-0.00081774i,-0.00089619-0.00076518i,-0.00077696-0.00064472i,-0.0006805-0.00073496i,-0.0006105-0.00020436i,-0.00010809-6.0618e-05i,-5.4275e-05-0.00033164i
0.00070386-0.00029382i,0.00046933-0.00097108i,0.000143-0.0019454i,0.00056387-0.0023659i,0.00061189-0.0017736i,0.00057653-0.0002802i,0.00060531+0.00045288i,0.00027714+0.00024038i,0.00051789-1.411e-05i,0.00054071+0.00071224i,0.00022954+0.00072171i,-4.5877e-05-0.0002279i,-0.00026378-0.00021675i,-9.2755e-05-0.00024825i,0.00039294-0.00031539i,6.1135e-05+0.00076904i,-9.3592e-05+0.001358i,0.00010322+0.00060279i,-0.00014268-0.00024187i,-0.00040068-9.2108e-05i,0.00035036+0.00049608i,0.00026368-0.00014609i,-0.00043565-0.00034752i
-0.0015962-0.00024236i,-0.00098424+0.0006364i,-8.0061e-05+0.0011585i,3.9182e-05+0.0012231i,0.00029598+0.0011205i,0.00095725+0.00055476i,0.00097108+0.00015082i,0.00045705+0.00025495i,-0.00032538+0.00020689i,-0.00092737+6.8987e-05i,-0.00029585+0.00035023i,0.0007658+0.00061581i,0.00091739+0.00025772i,7.604e-05-5.9781e-05i,-0.00035286-0.00018138i,-0.00046557-0.00035211i,-0.00059646-0.00050613i,-0.00032307-0.00032235i,-6.9879e-05-0.00018765i,-0.00012597-0.00037816i,-2.5935e-05-0.00051518i,0.00053433-0.00016315i,0.00031038+1.063e-05i
-0.00050476-0.0033858i,-0.00094499-0.0036688i,-0.00067785-0.0025181i,-0.0005935-0.0012905i,-0.00072766-0.00048537i,-0.0010426-2.3317e-05i,-0.00087986-0.00031089i,-0.00059462-0.00027235i,-0.00086265-0.00034836i,-0.00071185-0.0003026i,0.00043417-0.00038932i,0.00098663+0.00016459i,0.00094786+0.00086254i,0.00032063+6.6326e-05i,-0.00038611-0.00051481i,-0.00053184+0.0001687i,-0.0008451+0.00017634i,-0.00066978-0.00044761i,-0.0003332-0.00035315i,-0.00023696-0.00046312i,7.862e-05-0.00010245i,0.00010061+0.00045073i,-0.00046008+0.00037466i
-0.00214-0.0030672i,-0.0024954-0.0011761i,-0.0030393-0.00048876i,-0.0026289+9.7302e-05i,-0.0020548+0.00075272i,-0.00085459+0.0014529i,0.00082963+0.0013749i,0.0011217+0.00054205i,-0.00010994-0.00021377i,-0.0007887-0.00057105i,-0.00034167+0.00021345i,8.2417e-05+0.00052987i,0.00058008+0.00025645i,0.00033796+0.0004254i,-0.00056641+0.00011481i,-0.00010197-0.0004889i,-6.9292e-05-0.00026578i,-0.00020714+0.00044673i,-6.0529e-05+0.00090103i,-0.000393+0.00049409i,-0.00060227+0.0002377i,-0.00056693+0.00021762i,-0.0011028-0.00031467i
-7.3967e-05-0.0025487i,0.00034657-0.0029697i,-3.9085e-05-0.0026696i,-0.00018803-0.0014886i,-9.4456e-05+0.00029965i,-8.8486e-05+0.00053844i,0.00012599+0.00035022i,-0.00014393+0.00093398i,-0.00017324+0.0010864i,-3.2595e-05+0.0012539i,0.00029215+0.0012158i,0.0002336+0.0008886i,-0.00067915+0.00082222i,-0.0010587+0.00072863i,-0.0010235+0.00042408i,-0.00054227-0.00017513i,-0.00015954-0.00049706i,0.00010832-0.00032771i,-8.8616e-06-0.00020017i,-7.5388e-05-0.00085189i,0.0003028-0.00034862i,-0.00040942+7.9956e-05i,-0.00079658-0.00047975i
9.3324e-05+9.8263e-05i,-3.294e-05-0.00041125i,0.0013209-0.0012727i,0.001937-0.0011214i,0.0014701-0.00024243i,0.0009304-0.00014797i,-0.00039465+0.00026855i,-0.00095118+0.00015569i,-0.00086443-0.00021047i,-0.00010195-0.00017318i,0.00060977+0.0003266i,0.00069038+0.00068559i,0.00056913+7.4617e-05i,0.0003886-0.00016731i,-0.00010328-0.00054492i,-0.00072989-0.0011274i,-0.00093754-0.00055772i,-0.00033068-0.00045726i,0.00016804-0.00048092i,0.00014089+6.5244e-08i,-0.0001694+0.00030855i,4.0179e-05-0.00025662i,0.0005134-0.0010924i
0.00063191-0.00075567i,-0.00061882-0.0013396i,-0.00017451-0.0015679i,0.001019-0.0015062i,0.0011802-0.0011439i,0.00076544-0.00028991i,0.00086655+0.0005934i,0.00036954+0.00096983i,-0.0003125+0.00050901i,0.00026581+0.00032428i,0.00034962+0.00048266i,-0.00059913+0.00066079i,-0.00096232+0.00046664i,-0.00051508+0.0004134i,-0.0001123+0.00035579i,-9.7874e-05+0.00058075i,-0.00016859+0.00032445i,-0.00022624-0.00012798i,-0.00033721+0.0004719i,9.1841e-05+0.00046199i,-0.00018914+5.8371e-05i,-0.00022094-0.00054875i,0.00031721-0.00083889i
0.0026123-0.0013507i,0.0015971-0.0028752i,0.00069623-0.00359i,-0.00039402-0.0028572i,-0.00085551-0.0019847i,-0.00084154-0.00059121i,-0.00026582+0.00039172i,0.00066313+0.0002586i,0.0010371-8.9167e-05i,7.5785e-05-0.00011244i,-0.0011026+0.00031093i,-0.00093467+0.00070486i,-0.000279+0.0010391i,-0.00016247+0.00065696i,-0.00014262-0.00068851i,0.00049942-0.00044157i,0.00078926+0.00039089i,-0.00047178-0.0003186i,-0.0015376-0.00065384i,-0.0010451-0.0001598i,-0.00037338+0.00041091i,-0.00077019+0.000617i,-0.00067368+0.00039093i
0.00055908-0.0033902i,-0.0010256-0.0025638i,-0.00083589-0.0016856i,-0.00014468-0.0017744i,0.00040065-0.0019372i,0.00084753-0.00083662i,0.00066302+0.00032006i,0.00018641+0.00062273i,0.0006906-0.00013504i,0.00057509-0.00048581i,-0.0002863+0.00011844i,-0.00022452+0.00071601i,-5.1855e-06+0.00056394i,0.0003435+0.00027109i,-3.3892e-05+0.00085106i,-0.001143+0.00090453i,-0.0011165+0.00047198i,-0.00029917+0.00043166i,0.00030738+0.00066311i,0.00063131+0.00041059i,0.00063176-9.3958e-05i,0.0004981-0.00042523i,0.00023633-0.00055778i
-0.0011412-0.0011447i,-1.0574e-05-0.00042775i,-1.911e-05+1.8937e-05i,-9.3641e-05+0.00023409i,0.00077562+0.0013575i,0.00094087+0.0016771i,0.00053912+0.0012915i,0.00013895+0.00097592i,-0.00051609+0.00025178i,-0.00028568+0.00086632i,0.00055511+0.0011108i,0.00078601+0.00027302i,0.00052565+0.00014204i,0.00066052+0.00010782i,0.0003562-0.00091897i,9.0223e-05-0.0010113i,0.00024606+0.00015535i,3.5565e-05+0.00047074i,1.4681e-06+0.00056211i,-8.3508e-06+0.0003241i,-0.00010864-0.0004614i,-5.7785e-05-0.00079519i,0.00024377-0.00090392i
0.0013745-0.0014325i,0.00042482-0.0016719i,0.00022724-0.0021889i,0.00012711-0.0017208i,-0.00043032-0.00088288i,-0.00099935-8.9743e-05i,-0.00014279+0.00019066i,0.00057907+0.00024662i,0.00010842-0.00029902i,-0.00062292-0.00088641i,-0.00074322-0.00022382i,-0.00066737+0.00085374i,-0.00046791+0.00058833i,0.00034454+0.00060632i,0.00019357+0.0002377i,-0.00046048-0.00082671i,-2.7891e-05-0.00083689i,-0.00016425+0.00010464i,-0.0006364+0.00064369i,-0.00086742+6.2203e-05i,-0.001094-0.00083211i,-0.00034059+5.1612e-06i,0.00045758+0.00080688i
