-0.0012239+0.0005808i,-0.00071091-3.4475e-06i,-0.00013809-0.00013503i,8.6432e-05+0.00079092i,-0.00058405+0.0016466i,-0.00031479+0.00071016i,0.00010012+0.00022292i,-8.9667e-05+0.0011413i,-4.1395e-05+0.00073501i,0.00093908-0.00026729i,0.0014977-0.00026974i,0.0010375-0.0007669i,-0.00016989-0.00093522i,-0.00097874-0.00043976i,-0.00064692+6.485e-05i,-8.489e-05+8.0981e-05i,7.3137e-06-5.2751e-05i,-0.00019019-9.2576e-05i,-0.00016743+0.00037805i,-0.00063001+0.00026911i,-0.0012176-0.00028117i,-0.00071729-0.00022816i,-0.00022287-0.00034422i
0.0007299+0.0017872i,0.0011319+0.0020331i,0.0022836+0.0015735i,0.0019866+0.0012107i,0.00062466-0.00011213i,-0.00075845-0.00070366i,-0.00083803-0.00083682i,-0.00024606-0.0011433i,0.00017225-0.0010926i,0.00043231-0.00016519i,-0.00015004+0.00050844i,-9.1075e-05+0.00095003i,0.00043277+0.0009925i,0.00060777-0.00013795i,0.00014918-0.00045294i,0.00044321-0.00042045i,0.00064731-0.00053849i,0.00033574+4.7715e-05i,0.00020472+0.0010946i,7.7408e-05+0.0011827i,0.00020106+0.00064964i,-0.00010078+0.00078463i,-0.0003235+0.00069717i
-0.0011721+0.0008265i,-0.0008923+0.00047907i,-0.0011716+0.00041544i,-2.8239e-05-0.00032167i,0.0019075-0.00084427i,0.0017434-0.0013516i,0.00027837-0.0015043i,-0.00049859-0.00086425i,-0.00041377-0.0001782i,0.00027598+9.5121e-05i,0.00058279-0.00015179i,0.00036441-0.00036319i,0.00021571-0.00037045i,-0.00042181-1.3811e-05i,-0.00045373-0.00020754i,0.00040331-0.00067993i,0.00080056-0.00038998i,0.00062457-0.00020879i,0.00050752+0.00025504i,-4.7931e-05+0.00073812i,1.0265e-05+0.00032445i,0.00041003-0.00026925i,-8.0765e-05-0.00015571i
0.0011003+0.00041327i,0.00137+0.00088462i,0.0012416+0.0020277i,0.00094204+0.0025371i,0.0010646+0.0019139i,0.0012092+0.00085007i,0.0010254-0.00021159i,2.8414e-05-0.0010947i,-0.0013077-0.0010852i,-0.0012269-0.00080135i,-0.00084043-0.00085125i,-0.00038922-0.001059i,-0.0002657-0.0009716i,-0.00019743-3.5954e-05i,-8.7891e-05+2.867e-05i,0.00016943-0.00072214i,0.0004895-0.00055251i,0.00078944-0.0001692i,0.00076284-0.00041561i,0.0008811-0.00079549i,0.00065204-0.00063784i,0.00044384+0.00031508i,0.00032397+0.00062456i
0.0012159+0.0022227i,0.00040276+0.0010745i,0.00027553+0.00016076i,0.0013261-0.00075655i,0.0019469-0.0011304i,0.0014286-0.00090431i,0.001223-0.00036668i,0.00095815+0.00051196i,-0.00011888+0.0010369i,-7.2323e-05+0.00057801i,9.6748e-05+2.451e-05i,-0.0004121-0.00019736i,-0.00055781-0.00031611i,-0.00052514-0.00042652i,-0.00029367-0.00053179i,3.3218e-05-0.00046819i,-0.00013419-0.00011875i,-0.00027076+0.00011834i,9.8248e-05+0.00065488i,0.00042775+0.0010724i,0.00070498+0.00088009i,0.00020921+0.00037688i,0.00020934+0.00011013i
-0.0030676-0.0003564i,-0.0029572+0.0018982i,-0.002877+0.0034687i,-0.0016322+0.0039428i,0.00069297+0.0027534i,0.0027259+0.00075729i,0.0029888-0.00068437i,0.0013039-0.001209i,-5.1759e-05-0.00030842i,-0.00077282+0.0012244i,-0.00051846+0.0013996i,0.0005277-2.9672e-05i,0.001564-0.00036333i,0.001263-0.00018046i,0.00057899-0.00088617i,0.00067999-0.001439i,0.00039346-0.0011119i,-2.8147e-05-0.00039281i,5.4384e-06-0.00049132i,-0.00017073-0.00055395i,-0.00038551-0.00029768i,0.00014746-0.00019735i,0.00041204+0.00033065i
0.00048504+0.0030503i,0.00031491+0.0023405i,0.0014892+0.00227i,0.0027184+0.0016614i,0.0024614+0.00067221i,0.00056853-0.000261i,-0.00046919-0.00059802i,-0.00071507-9.7176e-05i,-4.9933e-05-0.00025625i,0.00081487-0.00098475i,0.00066414+2.553e-05i,0.0001163+0.0011265i,-0.0001471+0.00075129i,-0.00029173-0.0002522i,-0.00037861-0.00016141i,2.3193e-05+0.00018061i,0.0009341+0.0005045i,0.00040298+0.0011198i,-0.00065579+0.00087771i,-0.00082781+0.0004725i,-0.00076634+0.00010633i,-0.00051395-0.00039507i,-0.00023868-0.0002011i
-0.0019767-0.00050903i,-0.0028166+0.0014043i,-0.0029628+0.0019693i,-0.0017903+0.0013913i,9.2566e-06+0.00080257i,0.0014138+0.00033212i,0.0017578+0.00083013i,0.0011601+0.00083331i,8.7385e-05-0.00053549i,-0.00017665-0.0013281i,0.00079762-0.001042i,0.0016649-0.00080248i,0.0019886-0.00079383i,0.00089005-0.00096785i,-0.00023477-0.00097664i,-0.00011799-0.00064487i,-2.7122e-05-0.00038659i,-0.00043591-0.00037648i,-0.0005687-0.00025943i,-0.0005085+0.00020987i,-0.00038687+0.00055533i,-0.00052328+0.00083677i,-0.00016113+0.00055297i
0.0019279+0.00032707i,0.0010362-0.00029473i,0.0013274-0.00052037i,0.0016058-0.00033114i,0.0013819-0.00044597i,0.00059593-0.00081551i,0.00046067-0.001051i,0.00077011-0.0010876i,0.00013286-0.00058808i,-0.00078857+0.00042901i,-0.0010649+0.00046806i,-0.00055322-0.00016212i,-8.0569e-05+0.00013274i,-0.00034158+0.00077201i,-0.0010699+0.00015449i,-0.000381-0.00047226i,0.00087449-1.7363e-05i,0.00038014+0.00031558i,-0.00023791+0.00081988i,0.00063514+0.0010906i,0.0014038+0.00048354i,0.00096339-0.00016659i,0.00026993-0.00069446i
0.00062091+0.00020164i,0.00039979+0.0010537i,0.00080366+0.0010279i,0.0011397+0.0010246i,0.00019718+0.00061723i,-0.00042206+0.0008845i,-0.00038328+0.00079877i,-0.00019839-0.00037481i,0.00025096-0.00049772i,9.0816e-05+0.00016812i,0.00025336+0.0005656i,0.00061513+2.2209e-06i,0.00063017-0.00065019i,0.0005783-3.6653e-06i,0.00030683+0.00044206i,-0.00048515+0.00040098i,-0.0003922+0.00072533i,0.00025938+0.00084901i,0.00015675+0.0012834i,-0.00064679+0.0012432i,-0.00070785+0.00021159i,-0.00019209-0.00073764i,9.2607e-05-0.0011064i
-0.00014049+0.0018154i,-0.00022666+0.0024166i,0.0014844+0.0025644i,0.0023803+0.0019548i,0.00169+0.00096849i,0.00065682+0.00014965i,0.00020669-0.00047595i,0.00037947-7.9089e-05i,0.00048559+0.00033692i,9.422e-05+6.4271e-05i,-0.00020206-2.856e-05i,0.00028467-0.00015014i,-0.00045603+0.00039981i,-0.0017208+0.0006754i,-0.0012425+0.00060637i,-0.001185+0.00036939i,-0.0014074-0.0001192i,-0.00062764-9.5894e-05i,0.00053906+0.00079384i,0.0014524+0.00072508i,0.00095665+0.00013763i,0.00017953+0.00039126i,-0.00048077+0.00044689i
0.00056316-0.0019502i,0.00028064-0.0019716i,-0.00019115-0.0015452i,-0.00094481-0.00073168i,-0.00061366-0.00081364i,7.7082e-05-0.00010693i,0.00040392+0.00033381i,0.00018204+5.931e-05i,-0.00012932-4.2654e-05i,0.00012641+4.1321e-05i,-0.00034313-0.00013288i,-0.00088386+3.6813e-05i,-0.00077306+0.00021811i,-0.00019221+0.00039144i,0.00076434+0.00092336i,0.00066078+0.00084042i,0.00022081+0.00056976i,0.0002813-7.275e-05i,0.00038021-0.00065301i,0.00029789+7.703e-05i,4.5478e-05-5.8346e-05i,-0.00023121-0.00049406i,-0.00063184-0.00040129i
-0.0030828+0.0031353i,-0.0020072+0.0039486i,-0.00051727+0.0049761i,0.0019865+0.0034286i,0.0031129+0.00064119i,0.0018306-0.00046757i,0.00042547-0.00050631i,-0.0003449-0.00051783i,-6.9672e-05-0.00027565i,0.00066003-0.00021291i,0.00074381-0.00028186i,0.00014213-0.00039942i,-0.00013337-0.001625i,-0.00038382-0.0023953i,-0.00015995-0.0013322i,0.00013682-0.00033703i,-0.00030296-0.00031233i,-0.00051094-0.00032175i,-0.00052357-0.00049688i,-0.0006002-0.00052396i,-0.00034623-4.5728e-05i,-9.2814e-05+0.00019543i,-0.00022408+0.00030264i
0.00062762-0.00081048i,0.0012472-0.00074794i,0.00073128-0.00050308i,0.00084611-6.1307e-05i,0.0014415+6.7141e-05i,0.0014244-0.00042127i,0.00077839-0.00079419i,-0.0001241-0.00056065i,-0.00098671-0.00065149i,-0.00096032-0.00058285i,-2.6155e-05+8.8941e-05i,-0.00039526+0.00017049i,-0.00013382-0.00034711i,0.00096923-0.00059671i,0.00073487+0.00014797i,-0.00052236+0.00045314i,-0.00028093-0.0005063i,0.00097064-0.00087802i,0.00099995-0.00082143i,0.00022137-0.00091225i,-0.00011765-0.00029902i,-0.00020787-8.1227e-05i,-0.00021084-0.00086635i
-0.0018806-0.00052697i,-0.0014025+0.0013337i,0.00025926+0.002779i,0.0015592+0.0028471i,0.0018491+0.0015315i,0.0005533+0.0001117i,-0.00055669-0.00039366i,-0.00029223-0.0002372i,0.00016571-2.1473e-05i,0.00048198+0.00033629i,0.0002772+8.2607e-05i,0.00020232-0.00037506i,0.00039449-0.00014864i,3.8846e-05-0.00026838i,-0.00052099-0.00079834i,-7.5537e-05-0.00064624i,-0.00022964-0.00013205i,-0.0011078+0.0004171i,-0.00066712+0.0001567i,-0.00016982-0.00027322i,9.7743e-05-2.3147e-05i,-0.00023016+8.34e-05i,-0.00049963+5.1366e-05i
0.00062138+0.0022122i,0.00043907+0.0031318i,0.00045297+0.0038664i,0.00056395+0.002939i,0.00076635+0.00050173i,0.0001066-0.0016439i,-0.00041927-0.0020111i,-0.00055044-0.001383i,-0.00053596-0.00065429i,-0.00024615-0.00037222i,-0.00055123-0.00062764i,-0.0013239-0.00065562i,-0.001886-0.00038387i,-0.0015685-0.00034247i,-0.0012064-0.00071853i,-0.00072769-0.00082788i,-0.00011208-0.00053584i,-0.00012352-0.00030446i,-6.2007e-05+6.5661e-05i,0.00033416+0.00050006i,0.00039499+0.00050226i,-0.00011398+0.00097238i,-0.00021399+0.001354i
-0.0003-0.001021i,0.00043287-0.0011749i,0.0011997-0.0017416i,0.0011582-0.00081312i,0.00053217+0.00091339i,-7.1464e-05+0.0016354i,0.00018311+0.00025744i,0.00069273-0.00051301i,-9.8285e-05-0.00014089i,-0.00016584-6.2208e-05i,-0.0001066-5.5992e-06i,-0.00081167+0.00025247i,-0.00067508+0.0010097i,0.00044759+0.0016133i,0.0010041+0.001527i,0.00060402+0.0014816i,0.0001968+0.00080053i,6.7734e-05-0.00039141i,0.00018924-0.0004632i,-0.00016716-0.00016363i,-0.00030225+8.7866e-05i,-0.00015202+0.00046339i,4.8434e-05-0.00014403i
0.0014148-0.00038048i,0.0012066-0.0010094i,0.00054895-0.0013468i,-0.000215-0.0014881i,-8.6481e-05-0.0014365i,0.00057459-0.00096883i,0.0013007+7.1128e-05i,0.00093546+0.00075991i,-0.0001205+0.00018086i,-0.00060534-0.00059199i,-0.00010438-0.00078667i,0.00026346-0.00040982i,-0.00017043-4.395e-05i,-0.00042313-6.1594e-05i,9.024e-05-0.00022709i,0.00030646-0.00044181i,0.00044055-0.00063236i,0.00022615-0.00062412i,8.1142e-05-0.00027165i,0.00054879-4.5013e-05i,0.0002618-0.00022847i,0.00082249-0.00064076i,0.0006934-0.00064815i
-0.00025243-0.0012601i,-0.00035923-1.949e-05i,-0.00055193+0.00057842i,0.00028037-0.000343i,0.0011809-0.00053862i,0.00092552-4.6817e-05i,0.00067246+0.00024575i,0.00084611+0.00054308i,0.00014889+0.00052347i,6.8518e-05+7.9428e-05i,0.00022428-0.00022138i,0.00010878+0.00021936i,-0.00024867+0.00011277i,-6.7679e-07-7.8434e-05i,0.00077668+0.00060765i,0.00018534+0.0010049i,0.00052965+5.3135e-05i,0.0016524-0.00030916i,0.0013396-0.00063272i,0.00048385-0.00087529i,-0.00052687-0.0006503i,-0.00019437-0.00039221i,0.0005227+1.6705e-05i
-0.0014143+0.00027891i,-0.0014495+0.0014999i,-0.0014847+0.002921i,-0.00075494+0.0041193i,0.00047827+0.0038876i,0.0012867+0.0025928i,0.0010633+0.00065595i,0.0012036-0.0012291i,0.00089577-0.0018925i,0.00043441-0.00094879i,0.00069568-0.00034418i,0.00093829-0.00017934i,0.00085809+6.9727e-06i,0.00087593-0.00039688i,0.00075553-0.00035207i,0.00020713-0.00030309i,0.00017729+4.7417e-05i,0.00025159-0.00012768i,-0.00026267-0.00074627i,-0.00057181-0.00063982i,-0.0007744-6.6059e-05i,-0.00097473+0.00056722i,-0.00064137+0.00086653i
0.0011108+0.0010117i,0.0010107+0.0011975i,0.001513+0.00075668i,0.0026087-0.00046521i,0.0034408-0.001144i,0.0028296-0.00086977i,0.0017723-0.00014611i,0.00074671+0.00010352i,-0.0001711+0.00013364i,-0.00071739-0.00065482i,-0.00063901-0.0012416i,-0.00038715-0.00050396i,0.00032133+0.00046893i,0.00044684+0.00048443i,-0.00011594-0.00027545i,0.00010758-0.00061999i,0.00035057-0.00014454i,8.5525e-06-7.5543e-05i,-0.0003233+0.00015255i,-0.00052006-0.00020746i,-0.00075439-0.00059272i,-0.00076984-0.0008215i,-0.00041026-0.0012436i
-0.00045207-0.00017744i,-0.00098214+0.00044502i,-0.0015948+9.8079e-05i,-0.0023383-0.00052589i,-0.0017335-0.001132i,-0.00083351-0.00081446i,-0.00037959-0.00060884i,0.0001741-0.0010254i,0.00068848-0.00084575i,0.00064212-9.8682e-05i,-0.00021531+0.00053121i,-0.0010788+0.00097188i,-0.00069702+0.00018125i,0.00010252-0.00087398i,0.00040919-0.0003458i,-0.0001654+0.00068848i,-0.00099691+0.00042282i,-0.00087085+0.0001106i,0.00021622+9.144e-05i,0.00041324-0.00053302i,5.7302e-05-0.00029254i,0.00042675+0.00058026i,0.00064845+0.00078991i
0.00089233-0.000389i,-6.2915e-06-0.00025921i,0.00019763+0.00095553i,0.00025228+0.0022825i,-0.00020234+0.0024182i,-0.00061765+0.001486i,0.00012027-0.00010312i,0.00045795-0.00084724i,0.00045957-0.00073629i,0.00034098-0.0004251i,8.9359e-05-0.00025093i,-0.00050185-0.00031411i,-0.00010335-0.00040928i,0.00035821-0.0002438i,7.0673e-05+0.00011731i,0.00028705+0.00044834i,-0.00019352+0.00027221i,-0.00095303-4.678e-05i,-0.0013148+0.00054412i,-0.0010211+0.00081278i,-0.00020753+0.00023835i,7.4926e-05-0.00030692i,-0.0002637-0.00091902i
0.0009067-0.00071726i,3.1573e-05-0.00071488i,0.0001586+0.00055443i,0.0013403+0.0010323i,0.0025234+0.00056193i,0.0024024+0.00052523i,0.0016254-0.00024896i,0.0012406-0.00075986i,0.00063297-0.00099017i,-0.00034669-0.00040551i,-0.00096397+0.0008596i,-0.00094448+0.00096042i,-0.00052896+0.000835i,-0.00026169+0.00063773i,0.00062878-0.00019429i,0.0012765-0.0006836i,0.00096583-0.00011859i,-0.00015197+0.00060719i,-0.00085284+0.00017619i,-0.0004093-0.00016116i,0.00019779+0.00043647i,4.0457e-05+0.0010972i,0.00036057+0.001192i
-0.0016889+0.0011689i,-0.0020964+0.001998i,-0.0014795+0.0012493i,-0.00044918+7.4186e-05i,0.00022776-0.00090877i,0.00093355-0.0003991i,0.0014754-4.6751e-05i,0.00099318-0.0011049i,-0.00069746-0.0016314i,-0.00098188-0.00054809i,0.00010293+8.6649e-05i,0.00063072-0.00044743i,-3.0828e-05-0.00016135i,0.00020169-0.0007007i,0.00091609-0.0015061i,0.00059431-0.00054455i,-0.00012314-0.0001581i,-0.00016709-0.00044419i,0.00033171-0.00033001i,0.00027779-4.9968e-05i,-0.00028981-5.8039e-05i,-0.00082142-0.00016099i,-0.00038+0.0002855i
0.0014954+0.0015509i,0.0012692+0.00096472i,0.0017151+0.0011156i,0.00096083+0.0010363i,-0.00078318+0.00065162i,-0.0010128+0.00065931i,2.9701e-05+0.00072773i,-0.00035747+0.00040358i,-0.00098764+0.00035957i,-0.00096232+0.00029707i,-0.00095604-7.2343e-05i,-0.0011323-0.00031559i,-0.0010999-0.00063339i,-0.00090785-0.00024374i,-0.00070584+0.00011545i,-0.00063104+0.00029029i,-3.7512e-05+0.00085099i,0.00049189+0.00089209i,0.00040831+0.00043499i,0.00064063+0.0003415i,0.00044894-9.369e-05i,-0.00026843-0.00044765i,-0.00020726-8.5652e-05i
-0.0014012+0.00076509i,-0.0014087+0.00037799i,-0.00027475+0.00044669i,0.0004028+0.0005772i,0.0010642+0.00051002i,0.0019631+0.00014942i,0.0015106-0.00048041i,0.00042618-0.00053806i,0.0001381-0.00028705i,0.000793-2.4093e-05i,0.00075634-0.00033634i,-0.00025867-0.0008076i,-0.0011832-0.00061521i,-0.0018752-0.00057407i,-0.0020076-2.7072e-05i,-0.0010244+0.00064953i,-0.00035759+0.00042462i,-0.0004793+0.00080857i,9.2661e-05+0.0015601i,0.00031332+0.001265i,4.0004e-07+0.00063714i,-0.00011252-0.00036926i,-0.0003267-0.00049134i
-0.0013516+0.00032015i,-0.00085254+0.0005292i,-5.8649e-05+0.001497i,0.0020506+0.0020361i,0.0030032+0.00077064i,0.0019848+0.00010177i,0.0014499-0.000562i,0.0014001-0.0012053i,0.00054562-0.00088905i,0.00094056+0.00015553i,0.0012664+0.0011445i,9.0342e-05+0.0011219i,-9.0346e-05+0.00074887i,0.00094038+0.00052796i,0.0013468+0.00027214i,0.00096444-0.00027377i,0.0001466-3.3052e-05i,4.6669e-05-0.00010439i,-0.00011375-0.00054696i,-0.00056647+0.00014889i,-0.00031194+5.5598e-05i,-7.9287e-05-0.00044391i,-0.00061116-0.00040245i
0.00030805-0.0014182i,-0.00031377-0.0019493i,-0.00034415-0.00092057i,-0.0013995-0.00047814i,-0.0027087-0.00051776i,-0.0029642-0.00055102i,-0.0012986+0.00030007i,4.5924e-05-7.501e-05i,-0.00018087-0.0011018i,-0.0010478-0.001472i,-0.00054785-0.00084323i,0.0002114-0.00098581i,0.00020382-0.0018499i,0.00014308-0.00096372i,-0.00080185-0.00038314i,-0.0016003-0.00037616i,-0.0015177+9.2004e-05i,-0.00088869+0.00064052i,-0.00031734+0.0010051i,0.00039941+0.00075168i,0.00032039-3.2063e-05i,2.1627e-05-0.00082942i,0.00037116-0.0009873i
-0.00032385+0.00067592i,-0.0012124+0.00077784i,-0.00071228+0.001076i,0.0011387+0.0019414i,0.0022906+0.0020776i,0.00183+0.0011904i,0.00081394+0.00038736i,4.9311e-05+0.00022099i,-0.00085546-0.00023841i,-0.0014466-0.0003021i,-0.00061468+0.00014601i,9.6674e-05+0.00015003i,-0.00052393-0.00043737i,-0.0011382-0.00054876i,-0.00090432-0.00013106i,-9.5704e-05-0.00015062i,0.00027887-0.00019291i,-0.0004439+0.00024248i,-0.00057249+0.00050779i,0.00060223+0.00054103i,0.00081803+0.00017165i,0.0002133-0.00064397i,-0.00036257-0.00019258i
0.0014658-0.00092954i,0.001779-0.001829i,0.0023387-0.0021376i,0.0020656-0.0017941i,0.001662-0.0018495i,0.0011977-0.00094127i,0.00086756-2.0168e-05i,0.0011022-0.0001759i,0.00056502-0.00028605i,3.5035e-05+0.00022774i,-0.00018016+0.0009302i,-0.00043389+0.0011378i,-0.00062919+0.00082699i,-0.00073528+0.0007122i,-0.00039241+0.00074253i,-0.00041325+0.00026182i,-0.0003817-0.00019904i,0.00039996-0.0010465i,0.00045938-0.00086614i,0.00035886-0.0003309i,0.00064038-0.00028893i,-0.00032007+6.5972e-06i,-0.0013864-0.00030405i
0.0010372-0.0011971i,-0.00025217-0.00024876i,-0.0012715+0.0004029i,-0.0022869+0.00059692i,-0.0031883+0.0004957i,-0.0018858+0.0010849i,-9.773e-05+0.0014295i,0.00011819+0.00059351i,0.00016398-0.00066342i,0.00062559-0.0011134i,0.00078422-0.00079304i,0.00073006-0.0001611i,0.00030693+0.00079635i,-0.00039189+0.0017187i,-0.00045054+0.0017946i,-0.00027867+0.0011407i,-0.00043197+4.5374e-06i,-0.00027008-0.00070647i,0.00014777+3.0599e-05i,0.0011457-8.5184e-05i,0.00095941-0.00016115i,4.1399e-06+6.9999e-05i,-0.00058304+0.00034447i
-0.0012558-0.00098006i,-0.00064549-0.00029489i,-0.00055011+0.00014223i,-0.0006515+0.0018291i,-0.00072026+0.0031897i,-0.00021152+0.0023088i,-0.00013495+0.00099571i,-0.00017975+0.0004729i,-0.0004665-0.00013329i,-0.00098189-0.00045011i,-0.00069404-0.00067283i,-1.0519e-05-0.00086169i,0.00066344-0.00053813i,0.00045507+0.0001983i,-0.00036583+0.00015118i,-0.00021619-0.00029699i,-0.00040944+4.6073e-05i,-5.3901e-05+0.00072384i,0.00088666+0.0010554i,0.00017657+0.00030803i,-0.00039395-0.0010453i,-3.6016e-05-0.00064016i,0.00022481+3.6685e-05i
-0.00061467+0.0015075i,-3.0519e-05+0.0013921i,0.0011816+0.0014583i,0.0022313+0.0004206i,0.0033016-0.00078173i,0.00293-0.00086926i,0.0019637-0.00052348i,0.0010516-0.0001069i,0.00016258+0.00043327i,-0.00091541+0.0012557i,-0.0014798+0.0012658i,-0.00082749+0.0010685i,-9.8837e-05+0.0012522i,-0.00011826+6.3804e-05i,0.00010031-0.00068574i,-1.0915e-05-0.00098126i,-0.00018379-0.00098356i,-0.00069534-0.00024226i,-0.0016103+0.00053986i,-0.0015953+0.00081961i,-0.0013676-0.00011949i,-0.0011218-0.00077144i,-8.6357e-05-0.00035248i
-0.00098429+0.0011129i,0.0005124+0.00063246i,0.00033729+0.00082875i,0.00024029-0.00020062i,3.6008e-05-0.0013616i,-0.00057114-0.0015047i,-0.00023461-0.0010069i,0.00092151-0.0016198i,0.0017073-0.0014849i,0.0012679+0.00078098i,0.00096451+0.001575i,0.00077655+0.0006387i,0.0001898-0.00046053i,-0.00079368-0.0010941i,-0.00069263-0.00098962i,-4.7385e-05-0.00068309i,0.0009543-0.00012554i,7.0041e-05+0.00014864i,-0.0011328-0.00010853i,-0.00051703-0.00040536i,-0.00021612+0.00011804i,-0.00068469+0.00030273i,-0.00035305-0.00013911i
-0.0013026+0.00071729i,-0.00098488+0.00091429i,-0.00040133+0.0017159i,-0.00056106+0.0028273i,-0.0010632+0.0028438i,-0.00090705+0.0020718i,-0.00016979+0.00081885i,-0.00042492-4.9667e-05i,-0.00040809-0.0004204i,0.00078823-0.0014608i,0.0011807-0.0019618i,0.0006062-0.001436i,9.0268e-05-0.00090518i,0.00023226-0.00067265i,-0.00074421+0.00046257i,-0.001755+0.0011334i,-0.001062+0.00090728i,-0.00048159+0.0002593i,-0.00047179-0.00069733i,-0.00033546-0.00068815i,-5.6049e-05-0.00045331i,-0.00020804+0.00030496i,7.1824e-05+0.0010107i
0.00067284-0.0015015i,0.00028874-0.00074879i,0.00021808+0.00019165i,0.00065851+0.0015188i,0.0014733+0.0025282i,0.0019494+0.0015781i,0.0020043+0.00052451i,0.0017492+0.00063071i,0.00089674-0.00014226i,-0.00010106-0.001146i,-0.0012002-0.0014777i,-0.001277-0.0012314i,-0.0002243-0.00017604i,0.00044963+0.0005044i,0.00048958+0.00099008i,-2.9065e-05+0.0015488i,-6.4858e-05+0.00073465i,-0.00020811-0.00010961i,-7.3376e-06-0.00041614i,-8.4959e-05+0.00017453i,-0.0010593+0.00065538i,-0.001068+0.00038414i,-0.00042807+0.00052659i
0.00092199+0.0013649i,0.0009139+0.0014371i,0.0021458+0.00081603i,0.0011608-0.0011823i,6.8089e-05-0.0028113i,0.00042718-0.0018782i,-5.9249e-05+3.395e-05i,-0.00041555-0.00041959i,-0.00030783-0.00068622i,-0.0017006+0.0003315i,-0.0023353+0.00080023i,-0.00093492+0.00028306i,-0.001014-0.00018562i,-0.0013991-0.00033224i,-7.883e-05-0.00047887i,0.0011751+0.00027145i,0.00088888+0.0003256i,-0.00036148-0.0002416i,-0.00086727+0.00012471i,-0.00075699+0.0013801i,-0.0011588+0.0016376i,-0.00073756+0.00080189i,7.7587e-05+8.914e-06i
-0.0022472+0.00048445i,-0.0023438+0.0015576i,-0.0014465+0.0021569i,-0.00022581+0.0021468i,-2.706e-05+0.0021185i,0.00019205+0.0020861i,0.00013803+0.0012739i,0.00033426-3.6369e-05i,0.00022055+0.00034399i,0.00071862+0.0011801i,0.0010987+0.0013282i,0.00063745+0.0011371i,0.0007045+0.0011387i,0.0010025+8.8467e-05i,0.00027191-0.0006231i,-6.0511e-05-0.00034509i,-3.1539e-05+0.00036085i,-0.00039373+0.00065376i,-0.00042231-6.1072e-05i,-0.00073691-0.00062995i,-0.00021376+5.9435e-05i,0.00074581+0.0011866i,0.00053253+0.00088693i
-0.00035515+0.0028999i,0.0011212+0.0026013i,0.0020714+0.0018191i,0.0024675+0.00093107i,0.0034338-0.00066218i,0.0037101-0.0023527i,0.0030246-0.0020018i,0.0017759-0.0005378i,0.00038304-0.00055131i,0.00021905-0.0012643i,0.0010782-0.0017408i,0.0017185-0.0014485i,0.00035922-0.00088494i,-0.00085928-0.00098974i,-0.0012293-0.0013124i,-0.0013545-0.00059315i,-0.00053065+0.00089308i,-0.00019718+0.0013334i,-0.00061715+0.00052334i,-0.00058144+0.00025493i,-0.0004575+0.00037856i,-0.00032028+0.00031701i,-0.00024454-0.00027126i
-0.0017241-0.001292i,-0.0027403-0.00038968i,-0.0021214+0.00091963i,0.00085001+0.0019046i,0.0019312+0.0012834i,0.00063459+0.00047289i,0.00029059-0.00047106i,0.0010238-0.0010764i,-9.1311e-05-0.0008329i,-0.0016026-0.00074685i,-0.0010931-0.0016245i,-0.00048412-0.0015536i,-0.00041436-0.00048413i,-0.0001657+0.00025692i,-0.00018913+0.00063088i,-0.00038968+0.00027916i,-0.00049685+0.00024016i,-0.0007731+0.00040162i,-0.00022238+0.00023431i,0.00025089+0.00048696i,0.00019889+0.00048747i,0.00022891+0.00024545i,-0.0001628+2.7033e-05i
-0.0024086-0.0012372i,-0.0021053-0.00040183i,-0.002218+0.0022877i,-0.0015096+0.0035396i,0.00047254+0.0019417i,0.0014307+0.00095079i,0.00094549+0.00054462i,0.00052104-0.00010309i,-0.00021495+5.3141e-05i,-0.00064461+0.0010785i,-0.000411+0.001533i,7.0048e-05+0.0010984i,0.0005476+0.00027941i,0.0008415-0.00072317i,0.0017897-0.0011436i,0.0015755-0.00090613i,0.0014282-0.00029216i,0.0015088-5.1586e-05i,0.00067325+0.00050319i,-0.0002471+0.00065873i,-3.7752e-05+0.00038136i,0.00038526+0.00030665i,0.00046504-0.00012184i
0.00022273-0.0014428i,-0.0018366-0.0015628i,-0.0020007-0.0016031i,-0.0014965-0.00087832i,-0.00056683+0.00034306i,0.0012357+0.00044602i,0.0025529-0.00026215i,0.002473-5.3928e-05i,0.001508+0.00074303i,0.0013336+0.0010181i,0.00075361+0.0016329i,0.00026719+0.0015626i,0.00056294+0.00095632i,0.00085532+0.00093241i,0.0011573+0.00099648i,0.00092835+0.00095017i,0.00025288+0.0010197i,-0.0002216+0.00076178i,3.5498e-05+0.00014764i,0.0005126+7.496e-05i,0.00068498-3.7192e-05i,0.00098988-0.00017357i,0.00058568+0.00026024i
1.7774e-05-0.00033017i,1.7924e-05-0.001169i,0.00035476-0.00043334i,0.00048982+0.0014866i,-0.00025194+0.0023406i,-0.00039711+0.00092899i,-0.00035411-0.00030669i,0.00027823-0.0016057i,0.00064413-0.0031813i,0.00062859-0.003068i,0.0011718-0.0020403i,0.0011246-0.0018047i,0.00053095-0.00144i,-8.6303e-05+0.00010976i,-0.00092722+0.00045071i,-0.0010513-3.8662e-05i,-0.00057426-0.00037338i,-0.00030272-0.00040415i,-0.00074059-0.00016584i,-0.0011159-7.872e-05i,-0.0005282+0.00033049i,-0.0006001+0.00077583i,-0.00053774+0.00089543i
