0.00028317+0.0004603i,0.0011026-0.00061877i,0.001247-0.0019735i,0.00012993-0.0018586i,-0.0013124-0.00057321i,-0.0023171+0.001419i,-0.0013582+0.0018692i,0.00060806+0.00072748i,0.0014385+0.00024581i,0.0017503+0.000245i,0.0015203-6.9493e-05i,0.0004876+0.00011032i,-3.7539e-05+0.0004823i,0.00024848+0.00040214i,0.00016885-8.0623e-05i,0.00020662-0.00032291i,0.00010324+0.00010162i,0.00015245-0.0001818i,0.00021437-0.00061169i,-0.00051089-0.00075831i,-0.00016079-0.00071968i,0.00046923-0.00011776i,0.00027479+5.4879e-05i
0.00090734-0.00042424i,0.00085543-0.0017031i,-0.00032766-0.0019622i,-0.00051165-0.0011222i,-0.00050762-0.00081433i,-0.00014597-0.00079642i,8.0073e-05-0.00084745i,0.00011066-0.0010207i,0.00017163-0.0011302i,-0.00038769-8.0549e-05i,-0.00096224+0.00073212i,-0.001115+0.00064915i,-0.00095477+0.00014293i,-0.00039232-0.00039362i,4.5713e-05-5.0934e-05i,-0.00019646+0.00045926i,0.00050212-0.00025267i,0.0012118-0.00058078i,0.00028128-9.2482e-05i,0.00016854+0.00033215i,-0.00016946-0.00010608i,-0.0005392-0.0003416i,1.6043e-05+0.00044924i
0.00056649-0.00061252i,-0.00038393+0.00027363i,-0.00093309+0.00010516i,-0.0011921-0.0002299i,-0.0017628-0.0009361i,-0.0021465-0.0014293i,-0.0020233-0.0013054i,-0.0010847-0.00049547i,-0.0003414+0.00026286i,3.905e-05+0.00070352i,0.000629+0.00058739i,0.0001513+0.00027217i,-0.00068797+0.00036284i,-0.00088483+0.00062752i,-0.00030119+0.0003464i,0.0004807-0.00019204i,0.0010368-0.0002668i,0.00088755+0.00074539i,-0.00011233+0.00085434i,-0.00047477-0.00029526i,-7.2902e-05-0.00055508i,-0.00019874-0.00058156i,-0.00016791-0.00042289i
-0.00044433-0.0026835i,-0.0010121-0.0022204i,-0.0026389-0.00098136i,-0.0033163+7.531e-05i,-0.0026806+0.00081827i,-0.0024466+0.0013459i,-0.0015183+0.00049734i,-0.00020586-8.6469e-05i,0.00014329-0.00032751i,0.00063571-9.1371e-05i,0.0003362+0.00029108i,-0.000164-0.00012324i,-0.00037429-0.00046703i,-7.8185e-05-0.00078817i,0.00069073-0.00099617i,0.00083125-0.00059614i,0.00065374-0.0004083i,0.00047487-0.00017219i,0.0003056-0.00025569i,4.9725e-05-0.00033658i,-6.2619e-06-0.00031343i,0.00021747-6.9849e-05i,0.00057874+0.00043427i
-0.001592+0.0001503i,-0.0021953-4.228e-05i,-0.001786-0.0001089i,-0.0016471+0.00010114i,-0.0020317-0.00037648i,-0.0022493-0.00052662i,-0.001719-0.00034717i,-0.00078093-0.00049104i,-0.00058807+6.9361e-05i,-0.00080733+0.00052879i,-0.00083794+6.1059e-05i,-0.00064929-0.00073563i,0.00045624-0.0003613i,0.0013962+4.2047e-05i,0.0010862-8.293e-05i,0.00021292+0.00027527i,-0.00059298+0.00070296i,-0.0012181+0.00014205i,-0.0010908-0.00055411i,-0.00043583-0.0010426i,-9.4761e-05-0.0010668i,-0.00010706-9.0436e-05i,0.00024849+0.00019402i
0.0015732+0.00031632i,0.0025439-0.00021291i,0.0021892-0.00099821i,0.00058269-0.00084948i,-0.0010851-0.00060704i,-0.0014792-0.00091142i,-0.0016831-0.00025955i,-0.0010617-0.0005888i,5.3116e-06-0.0013095i,0.00010188-0.00063366i,0.00021973-0.00023328i,0.00022685+0.00029739i,8.6118e-05+0.00041175i,-0.00051713+0.0002343i,-0.00046072-0.00025i,0.00050937-0.0005822i,0.00078838-0.0001384i,0.00030083+0.00018012i,0.0001117+0.00021903i,0.00026116-0.00010669i,0.00044928-0.0001122i,0.00045329+0.00012504i,0.0002081+0.00049386i
-7.5493e-05+0.0010378i,-0.00090824+0.00069929i,-0.00062396-0.00048058i,-0.00093534-0.00052699i,-0.0011794-0.00062315i,-0.0011505-0.00053863i,-0.00097691+0.00021459i,-0.0009009+0.00060077i,-0.00040285+0.00035309i,0.00010864+0.00094623i,0.00016452+0.0012805i,0.00037841+0.00039952i,0.0002572-0.00039275i,0.00059044+0.00035217i,0.0003975+0.00078043i,-0.00018015+0.00064932i,-3.5244e-06+0.0008384i,0.00011494+0.0008792i,0.00033446+0.00073835i,0.00028897+0.00033853i,0.00023599-0.00018003i,0.00042817+0.0001803i,-0.00052397+0.00028435i
0.00074099-0.0015532i,-0.00020952-0.0012122i,-0.00084107+1.8305e-05i,-0.0016223-8.2336e-05i,-0.0018413-0.00036204i,-0.0015429-2.1689e-06i,-0.00099176+0.00013275i,-0.00053588-0.00026858i,-0.00016249-0.0003265i,0.00022563-0.00027404i,0.0002305+3.5343e-05i,0.0001427-2.2156e-05i,0.00031052-0.00071815i,-0.0003759-0.00053471i,-0.0015051-0.00045108i,-0.00094481-0.00089158i,0.00041736-0.0010408i,0.0012633-0.00070664i,0.00080477-0.00021488i,-9.9412e-05-0.00078234i,-1.2898e-05-0.0014121i,0.0004701-0.0006647i,0.00066745-8.8229e-05i
-0.00052016+0.00018822i,6.772e-06-0.00058814i,0.00094439-0.0016473i,0.00034532-0.00096418i,-0.0011369-0.00042558i,-0.0019726+0.00057104i,-0.0018009+0.0010917i,-0.001094+0.00046971i,0.00018365-0.00030576i,0.00079014+0.00030108i,0.00018955+0.00079539i,-2.6531e-05-0.00032872i,0.00046221-0.00038375i,0.00022992+0.0004532i,-0.00014678+0.00025425i,0.00024415+0.0001281i,0.00056827+0.00045096i,0.00017836+0.00019354i,0.00030234+0.00040689i,-0.00014365+0.00094365i,-0.00051056+0.00026944i,-3.7519e-05-0.00013589i,0.00035903-7.8667e-05i
-6.3295e-05-0.0013907i,0.0011065-0.0012455i,0.00060519-0.00032773i,-0.00050791+0.00023641i,-0.0014055-0.00017542i,-0.0019427-0.00088006i,-0.0019981-0.00096363i,-0.0021043-0.0007536i,-0.00093743-0.00091278i,6.5176e-05-0.00078015i,-0.00038399-0.00044904i,-0.00043538-0.00048398i,-0.00032966-0.00022113i,-0.00080129+0.00013363i,-0.0010077-0.0003835i,-0.00051818+0.00014874i,0.00045018+0.00097789i,0.00054673+0.00049422i,-0.0003107+0.00068894i,-0.0004169+0.0010804i,-3.2071e-05+0.00033627i,-0.00057518-0.00027891i,-0.00089787-0.00035086i
0.00045667-0.0011906i,-0.00041805-0.0005641i,-0.001126-0.001253i,-0.0014883-0.0011038i,-0.0020052+6.5951e-05i,-0.0015902-0.00038113i,-0.0014229-0.0005571i,-0.0011594+8.1681e-05i,-1.9691e-05+0.00045831i,0.0005849+0.00035296i,0.00058544+9.6772e-05i,0.00053786+0.0007921i,-0.0001519+0.00086601i,-0.00076988-0.00024148i,-0.00032577-0.00082118i,0.00019936-0.00082814i,0.00055072-0.00042271i,0.00067359+0.00017668i,0.00030794-0.00010781i,-0.00052494-0.00028801i,-0.00058904-0.00014101i,0.00013527-0.00024536i,0.00032054-0.00014827i
