0.00028317+0.0004603i,0.0011026-0.00061877i,0.001247-0.0019735i,0.00012993-0.0018586i,-0.0013124-0.00057321i,-0.0023171+0.001419i,-0.0013582+0.0018692i,0.00060806+0.00072748i,0.0014385+0.00024581i,0.0017503+0.000245i,0.0015203-6.9493e-05i,0.0004876+0.00011032i,-3.7539e-05+0.0004823i,0.00024848+0.00040214i,0.00016885-8.0623e-05i,0.00020662-0.00032291i,0.00010324+0.00010162i,0.00015245-0.0001818i,0.00021437-0.00061169i,-0.00051089-0.00075831i,-0.00016079-0.00071968i,0.00046923-0.00011776i,0.00027479+5.4879e-05i
0.0013965-0.00022402i,0.0015785-0.00040138i,0.00065722-0.0011774i,-0.00072219-0.0010494i,-0.0019805-0.0012158i,-0.0023414-0.0021614i,-0.0013273-0.0015392i,-0.00044684-0.00046279i,-0.00031711-0.00095232i,-0.00031502-0.0011166i,8.3348e-05-0.00021553i,0.00088305+0.0001638i,0.0010513+0.00010345i,0.00072304+0.00086781i,-0.00023257+0.0013465i,-7.7697e-05+0.00099311i,0.00038933+0.00062994i,0.00011539+0.00031407i,3.479e-05-0.00040425i,0.00040015+0.00012577i,5.9467e-05+0.00074136i,-0.00053115+0.00024084i,-0.00033596+9.4737e-05i
-0.00018989+0.0012574i,0.0010733+0.00058229i,0.0019387-0.00070946i,0.0010674-0.0019912i,0.00031038-0.0022448i,9.7995e-05-0.0019024i,-0.00050033-0.00031242i,-0.0012508+0.00037543i,-0.00094198+0.00026811i,-0.00048339+0.00059714i,-0.00036738-6.6901e-05i,0.00013393-0.00099931i,0.00047977-0.00070459i,0.00020118+9.0926e-05i,0.00015118+0.00074535i,0.00064071+0.00047292i,0.0001863+0.00038208i,-0.00054099+0.00075524i,-0.00021798+5.4051e-05i,0.00068702-0.00085233i,0.00052769-0.00056509i,-0.00020721-0.00053275i,-0.0011407-0.0010115i
-0.00098034+0.0012272i,0.0011853+0.00076397i,0.0023064+0.00050053i,0.0013535+0.00018845i,6.5422e-05-0.00074939i,-0.00085866-0.0017767i,0.0001197-0.001565i,0.0012733-0.0004624i,0.00063748+0.00039407i,-6.1227e-05+0.00049078i,-0.00025519+0.00082622i,-9.579e-05+0.00058926i,-8.5279e-05-0.00020881i,0.00044051-0.00047478i,0.00017342-0.0006946i,0.00031723-0.00061773i,0.00044108-0.00057205i,0.00013872-0.00095225i,-0.00018902-0.00038536i,-0.00039158-0.00010266i,1.9348e-05-0.00042071i,0.00083189-0.00088522i,0.00071679-0.00066672i
-0.00074918-0.00011451i,-0.0013271+0.00060011i,-0.0017575+0.00076967i,-0.0023125+0.00019159i,-0.0018549-0.0010439i,-0.0010205-0.0013336i,-0.00076342-0.001216i,-0.00021143-0.00087388i,-0.00044134+8.7997e-05i,-0.0012107+0.00069775i,-0.00081679+0.00034966i,-0.00042902+0.00014991i,-0.00044488+0.0006613i,-0.00081911+0.0006112i,-0.0008246+0.00012898i,-1.0758e-05+0.00029555i,0.00025565+0.00017942i,0.00041405+0.00032636i,0.00048638+0.00069177i,0.00032561+0.00022677i,0.00060577+0.00079626i,0.00069175+0.00091178i,0.00015592-0.0001632i
0.00074491-0.00048648i,0.0022344+6.0776e-05i,0.0035409-0.00014153i,0.0021497-0.00035507i,0.0003778-0.00084474i,-0.00052874-0.0014602i,-0.00014536-0.0013217i,0.0010083-0.0010122i,0.0015519-0.00056075i,0.00051078-0.00010366i,-5.2114e-05-0.00018091i,0.0001021-0.00051018i,4.2092e-05-0.00053197i,0.00015513-0.00039362i,0.00017351-0.00037154i,0.00023247-0.00085182i,0.00086583-0.00090012i,0.001213-0.00065207i,0.00076127-0.00024671i,0.00066427-2.2018e-05i,0.00047752-0.00032657i,-9.0746e-05-0.00056532i,-0.00016971-0.00012905i
0.0013052+0.0015669i,0.00082408+0.0019244i,-2.7426e-05+0.0007145i,0.00018032-0.0012802i,0.00043112-0.0020938i,-0.00016237-0.0017048i,8.966e-05-0.0014848i,0.00035618-0.00087391i,3.5196e-05+0.00018478i,0.00074501+0.00055548i,0.0014762+0.0002183i,0.0007521+0.0003348i,0.00017255+0.00078855i,8.9033e-05+0.00063172i,-0.00045753-8.3174e-06i,-0.00073638-0.00060255i,-0.00054613-0.00084617i,0.00030108-0.00023929i,0.00059873-5.4156e-05i,-0.00031715-0.00059392i,-0.00072337-0.00051012i,-0.00013827+0.00039851i,0.00032359+0.0008168i
-0.0018546-0.0011502i,-0.0012329-0.0015475i,-0.00028561+4.8946e-05i,-0.00029119+0.00037814i,-0.00059892-0.00098767i,-0.0012526-0.0026168i,-0.0012587-0.0027056i,-9.3811e-05-0.0012904i,0.00028652-0.00011176i,-0.00015222+0.00047563i,-0.00043511+0.00047167i,-0.00072621+0.00034375i,-0.00048044-4.4457e-05i,-0.00046193-0.00012226i,-0.00051654+0.0004228i,-0.00030942+8.5282e-05i,-0.00069236-0.00073657i,-0.00034555-0.00027514i,-0.00035503+0.00027232i,-0.00061999-0.00020818i,1.3455e-05-0.00024873i,0.00025979-0.00010262i,6.9317e-05+0.00015927i
0.0001216-0.00044594i,-1.3991e-05+0.00053415i,0.00019563+0.0010232i,-0.00048878+0.00044618i,-0.00077128-0.00034413i,-0.0011714-0.00015157i,-0.0012247-0.00026442i,-0.00069618-0.00013475i,-7.1168e-05+0.00061117i,-0.00069604+0.00025424i,-0.0014131-0.00040285i,-0.00050875-0.00023888i,0.00018574-0.00043583i,-3.8766e-05-0.00015502i,0.00037314+4.9224e-05i,-5.3336e-05-0.0001194i,-0.00075752-6.5919e-05i,-0.00053444+4.5877e-05i,-0.0002702+0.00013549i,-0.00047877+9.4583e-05i,-0.00039549-0.00015122i,0.00020461+0.0001778i,0.00028475+0.0007965i
-9.8762e-05-0.00032089i,-0.00025486-0.00055497i,0.00089765-0.00060153i,0.00067272-0.00084031i,-0.00025728-0.0012075i,-0.0010721-0.0011965i,-0.0017352-0.0010727i,-0.0012623-0.00032579i,-0.00063535+0.00062462i,-0.0004325+0.00062437i,9.1762e-06+0.00022934i,-4.0824e-05+0.00015703i,-0.00096822-6.3684e-05i,-0.00068035-0.00017788i,-0.00040594+9.8077e-05i,-0.00076467-0.00041119i,-0.00036094-0.00095574i,0.00018779-0.00064166i,0.00014719+0.00035277i,-0.00023546+0.00051401i,0.00023097-3.8692e-05i,6.238e-05-0.00029525i,-0.00019975-3.6672e-06i
-0.0017671+0.002172i,0.00012845+0.0032919i,0.0019742+0.0034285i,0.0013757+0.0014011i,0.00010491-0.00049087i,-0.00025926-0.0011294i,9.1868e-05-0.0013181i,-0.00021908-0.00033508i,-0.001053+0.00084798i,-0.00094578+0.0010212i,-0.00032727+0.000929i,-0.00054622+0.00081663i,-0.00054274+0.00022089i,-0.00044291-0.00011308i,-0.00092921+0.00010073i,-0.00073361-0.00018194i,-0.00049971-0.00097918i,0.00016961-0.00047659i,0.00089445+0.00012417i,0.00088312+6.4279e-05i,0.00027322+0.0001037i,-0.00024981+6.139e-05i,-0.00026801+0.00018249i
0.00076261-0.0010159i,0.0010712-0.00087205i,0.0012713-0.0015587i,0.00011002-0.0015347i,-0.0015095-0.0019016i,-0.0019239-0.0015227i,-0.00061327+0.00015508i,0.00026121+0.00030643i,-0.00041973-0.0007968i,-0.00071235-0.00071187i,-0.00045718-0.00024989i,-9.3781e-05-9.0166e-05i,-1.7864e-05+0.00048724i,5.6705e-05+0.00064633i,0.00039832+0.00065399i,0.00034868+0.00066102i,0.00021863+0.00033903i,0.00037263+9.3963e-05i,0.00015704-0.00036972i,-3.0624e-05-0.00089585i,-0.00023549-0.0011858i,-3.8926e-05-0.00082216i,4.9243e-05-0.00016619i
0.00062918+0.0001889i,0.0012494-0.0002515i,0.0015882+4.7359e-05i,0.0010408-0.00046272i,-0.0006144-0.00090286i,-0.0020952-0.00094202i,-0.0023035-0.00089341i,-0.0018286-0.00017161i,-0.001041+0.00077539i,-0.00035787+0.00068545i,0.0010646+0.00061708i,0.001714+0.00040631i,0.00034119+0.00042404i,-0.0010203-0.00012182i,-0.00059976-0.00066473i,-0.00023402+5.0769e-05i,-5.0986e-05+0.00066552i,5.3544e-05+0.00074074i,-0.00032486+0.00043961i,-0.00013561-0.00013841i,-0.00070282-0.00018755i,-0.0014557-0.00042482i,-0.0011007+0.00047891i
0.0019732+0.00057591i,0.0010197+0.0011301i,0.0012919+0.00043496i,0.00089154-0.00097419i,-0.00022312-0.0012317i,-0.00071792-0.0013428i,-0.00094546-0.0010466i,-0.00075829+0.00010568i,-0.00034755-1.4695e-06i,0.0001213-0.00061306i,-0.00012253-0.0010272i,-0.00047011-0.0011156i,0.00039853-0.00069645i,0.00082079-0.00013733i,0.00039901+8.2339e-05i,-0.00030888-0.00030312i,-0.00074713-0.00040761i,-0.00054259-0.00018541i,-0.001054+0.00051757i,-0.00091373+0.00057372i,-0.00053401-5.5021e-05i,-0.00055519-0.00014971i,0.00015724-0.00010939i
-0.00018962-0.00075284i,0.00040558-0.0016743i,0.00065988-0.0017404i,0.00012617-0.0013348i,-0.00053603-0.0015062i,-0.0014891-0.0013907i,-0.0019123-0.00053134i,-0.0011732-0.00053522i,-0.00048739-0.00049067i,-5.8001e-05+0.00048388i,0.00056348+0.00037471i,0.0006506-0.00034453i,0.0010595-0.00027455i,0.0010406+0.00025605i,0.00053333-1.5226e-05i,0.00023033+5.8158e-05i,0.00028485+0.00058582i,0.00070955+0.00017993i,0.0011111+1.4615e-05i,0.00034844+0.00055389i,-1.7257e-05+0.00075987i,0.00058513+0.00057892i,0.0012654+0.00068611i
0.001313-0.0015268i,0.00076164-0.00099451i,-0.00052722+1.3976e-05i,-0.0016694-0.0003019i,-0.0013811-0.00079604i,-0.00097735-0.00047786i,-0.00053651-2.2346e-05i,-0.00016465-0.00023349i,-0.00070568-0.00021218i,-0.00041596+0.00044262i,0.0004116+0.00060246i,-4.4741e-05+0.0003555i,-0.00033625+0.00032431i,0.00043467+5.7222e-06i,0.00059165-0.00010215i,0.00037985+0.00068845i,0.00047126+0.0008798i,0.00091105+0.00017788i,0.00075008-0.00017808i,-3.325e-05-0.00056045i,-0.00022857-0.00029925i,-5.2808e-05-0.00050161i,-6.3382e-05-0.00087951i
-0.0018045-0.001434i,-0.0015388-0.0010737i,-0.0011929-0.0014324i,-0.0010743-0.0011519i,-0.0014511-0.00068378i,-0.0012781-0.0013713i,-0.0020125-0.0015776i,-0.00172-0.0015338i,-0.00077012-0.00061825i,-0.0012247+0.00010087i,-0.0013295+0.00030476i,-0.00064578+0.00064435i,-0.00030682+0.00010414i,-0.00033394-0.00078966i,-0.0007706-0.00056676i,-0.00077731+0.00046842i,0.00019161+0.00073028i,0.0005945-0.00013405i,0.00048012-0.00049758i,0.00047162+0.00011245i,0.00043706-2.3109e-06i,0.00021293-0.00053032i,-0.00011236-0.00012081i
0.0016836+0.0015233i,0.0027212+0.00028193i,0.002141-0.00027656i,0.0012471-0.0011279i,0.00084349-0.0018346i,5.0249e-06-0.0011584i,-0.00073993+0.00016448i,-0.00048534+0.00063711i,0.00014573+0.00026607i,0.00090052+0.00034736i,0.00123+0.00085978i,0.0010568+0.00086024i,0.00060512+0.00080699i,-0.00011152+0.00065751i,-0.00097214+0.00031188i,-0.0010309-3.4135e-05i,-0.00065127-0.00033285i,-0.00068612-0.00015695i,-0.00077447+6.8038e-05i,-0.00071927+3.7034e-05i,-0.00089159-0.00064802i,-0.00037592-0.00085109i,0.00044891+6.6095e-05i
-0.0027345-0.00078204i,-0.0032528-0.00027326i,-0.0031128-0.0013233i,-0.002145-0.0014055i,-0.0017015-0.00017142i,-0.00078412+0.0004181i,-7.8062e-05+0.00096765i,0.00045531+0.001313i,0.00074078+0.00072388i,-0.00011005+3.7702e-05i,-0.00024933+0.0001924i,-0.00025948+0.000269i,-0.00045508+5.2359e-05i,-0.00062656-0.00062654i,-0.00026471-0.0013818i,0.00038454-0.00052068i,4.8092e-05+7.7474e-05i,-0.00032506-0.00048445i,1.3349e-05-0.00064811i,9.7387e-05-0.00085252i,0.00048963-0.00098176i,9.2473e-05-0.00014625i,-0.00036274+0.00089647i
0.0011005-0.0013286i,0.0022247-0.00053996i,0.0026484-0.00058619i,0.00080348-0.001562i,-0.0011141-0.0020969i,-0.0020907-0.0018834i,-0.0017177-0.00071557i,-0.00034067+0.00039655i,0.0005152+0.0004465i,0.00015686+0.00044531i,-0.00014425+0.00095182i,-1.6828e-05+0.0011184i,0.00025172+0.00046615i,0.00085451-0.00030869i,0.0007862-0.00063936i,-0.00018656-0.00044711i,-0.00024121-0.00070254i,0.00037182-0.00093897i,3.0958e-05-0.00071347i,-0.00075477-7.3256e-05i,-0.00063815+0.00050048i,-0.00014528+0.00031212i,0.00010779-8.2344e-05i
0.00094184+0.0024752i,0.0013191+0.00096446i,0.0025044-0.0018943i,0.0021165-0.0028672i,0.0005986-0.0028048i,-0.0001723-0.0023774i,-0.00019946-0.0010756i,0.00012492-0.00045322i,0.00027771-0.00040851i,-0.00010954-1.7258e-05i,2.8318e-05+0.00019786i,0.00054268+0.00059183i,0.00012476+0.0005355i,0.00028948-0.00022285i,0.00072832-0.00033187i,0.00041547+0.00015907i,0.00065947+5.5433e-05i,0.00089016-0.00049591i,0.00018933-0.00017735i,-0.00035281+0.00037359i,7.5186e-07+0.00084914i,0.00024301+0.00051992i,2.9557e-05+0.0002569i
-0.00056162+0.0016124i,0.0014473+0.0019138i,0.0024157+0.0015566i,0.00065092+0.00043097i,-0.00032368-0.00060764i,-8.5749e-05-0.00051962i,-0.00012738-0.0002038i,0.00088004+7.3914e-05i,0.0015674+0.00025023i,0.00082482+0.00018492i,-0.0001403+0.00033193i,-0.00069404+0.00062919i,-0.00028779+0.00079892i,-0.00047925+0.00038505i,-0.00068902-0.00037923i,-0.00036285-0.00048511i,-0.00088291-0.00045147i,-0.0002342-1.2111e-05i,0.0009674+0.00030137i,0.00074026-4.3059e-05i,-5.3697e-05-5.6669e-05i,-0.00055625+0.00021068i,-0.00037917+0.00041516i
-0.00029771+0.00032167i,-0.00047758+0.00015173i,-0.00038518-0.00062309i,-0.00024422-0.00081325i,-0.00089955-0.00087795i,-0.0012572-0.0011079i,-0.00050003-0.00094544i,0.00018631-0.00020579i,0.0001533-0.00029127i,-0.00018397-0.00067739i,-0.00085573+0.00035986i,-0.00079143+0.001135i,-0.000798+0.00083959i,-0.00075749+0.00027198i,-0.0004185-0.00012117i,-0.00088121-0.00029183i,-0.00079526-0.00034246i,-0.00065648-0.00045462i,-0.0013436-0.00019633i,-0.0015214+0.00037679i,-0.0012141+0.00039573i,-0.00050122-0.00023767i,-0.00034806+0.00018876i
0.00084133-0.0024311i,0.00064667-0.0024398i,-3.9236e-05-0.0018532i,-0.0017499-0.0014879i,-0.0028261-0.0017773i,-0.0022661-0.0015131i,-0.0015147-0.0012116i,-0.00065505-0.0010266i,-0.0010409-0.00018492i,-0.0014741+0.00076079i,-0.0009411+0.00050292i,-0.0004732+1.8907e-05i,0.00010789-0.00030163i,0.00097388-0.00046213i,0.00080219-0.00041979i,0.00017296+0.00010324i,-0.00028011+0.00061913i,-0.001038-0.00025338i,-0.0011599-0.0015174i,-0.00091325-0.0010655i,-0.00031167-0.00046957i,6.9386e-05-0.00037255i,-0.00019482-7.0956e-05i
0.0019466-0.00094971i,0.0015847-0.0011102i,0.0012712-0.0024089i,0.00097668-0.0022493i,0.00051183-0.0015321i,-0.00034559-0.00075393i,-0.00034761-0.00042719i,0.00017825-0.00067864i,-0.00068123+0.00014528i,-0.00055333+0.00090678i,0.00068707+0.00075321i,0.00055137+0.00066515i,-0.00057575+0.00073537i,-0.00012045+0.00054131i,0.00098561+0.00014988i,0.0011983-0.00012468i,0.00080779+0.00013151i,0.00011789+0.00049503i,-0.00045149+0.00036183i,-0.00031479-0.00042174i,0.00014048-0.00075935i,5.5758e-05+1.3517e-05i,0.00013021+0.00046332i
0.00059163-0.00066616i,0.0019342+0.00050318i,0.0022783+0.00087662i,0.0011236-0.0006337i,-0.00021041-0.0012064i,-0.001145-0.0013272i,-0.00095882-0.0011276i,-0.00042717+0.00052366i,-3.2186e-05+0.00084566i,0.00060284+0.00035348i,0.0013213+0.0011081i,0.00098237+0.0011036i,-0.00010988-0.00015717i,-0.00017352-0.00011883i,0.00031296-5.6559e-05i,-0.00029383+0.00059764i,-0.0013179+0.0014998i,-0.0011789+0.00080535i,-0.00021217+9.7724e-05i,3.8158e-05+0.00071978i,-0.00015721+0.0013248i,-0.00021+0.00047306i,-0.0004893-0.00022275i
0.00048324-0.00201i,0.00022372-0.0029969i,-0.00025293-0.002644i,-0.0018517-0.0019142i,-0.002388-0.0014538i,-0.0015921-0.0011886i,-0.00048821-0.00099862i,-0.00040667-0.00055973i,-0.00028052-0.00030648i,0.00050212-0.00026907i,0.00038241-6.5606e-05i,0.00019926+6.6765e-05i,0.00093464+0.00082441i,0.0012281+0.0011063i,0.000603+0.00068211i,-0.00048734-0.00018642i,-0.0011905-0.00094337i,6.9922e-05-0.0013647i,0.00083806-0.0014665i,2.4799e-05-0.00076675i,-9.876e-05+8.649e-05i,-8.9886e-05+0.00032827i,0.00040339+5.5796e-05i
-0.0011114-0.00029426i,-0.0015025+0.00010923i,-0.0013197+0.00023192i,-0.00065865+0.00054217i,-0.00034214+0.00061774i,-0.00094546+0.00014009i,-0.0013152+1.8915e-05i,-0.0011656-0.000104i,-0.0014615-0.00092605i,-0.0014955-0.00058847i,-0.00063024+0.00024889i,0.00047404+0.00085466i,0.00053762+0.00047573i,2.2474e-05+2.8844e-05i,-0.00022774+0.00017238i,-0.00026419+5.7554e-05i,3.9704e-05+0.00024959i,0.00025623-8.2376e-05i,-0.00010246-0.00070101i,-0.0003331-0.00080056i,-0.00035025-0.00045169i,-0.00064416-6.5854e-05i,-0.00028138-0.00021378i
0.00025506-0.0012702i,-9.6347e-07-0.0019249i,0.00025461-0.0023581i,-0.00032632-0.0020592i,-0.00099399-0.0013397i,-0.00056518-0.00086726i,-0.0005236-0.00039085i,0.00023781+0.00010496i,0.00076883-0.00012052i,0.00027441-6.9059e-05i,-0.00022267+0.00046806i,-0.00028619+0.00027639i,-0.00010587+5.6647e-06i,0.00037875-0.00013838i,0.0009437-0.00039046i,0.0010025-0.00077611i,0.0009403-0.00060993i,0.00066962+0.0004272i,0.00017643+0.00066911i,-0.00015696+0.00010224i,-0.00011263-0.00057611i,-1.2038e-05-0.00066529i,0.00011262-0.00011219i
-0.001547+0.00035597i,-0.0019323+0.00032952i,-0.0026598+0.0010293i,-0.0023744+0.0013809i,-0.00081261+0.00033605i,-0.00035727-0.00091133i,-0.00012066-0.0016254i,0.0004236-0.0013882i,-0.00017202-6.7079e-05i,-0.00070399+0.00049246i,-0.00022411+0.00047861i,0.00050958+0.00032988i,0.00081642-0.00035487i,0.00035708-0.00091547i,-6.7091e-05-0.00029658i,0.00015751-6.9482e-05i,0.00055281-0.00023992i,0.00010205-0.00033935i,-8.1949e-05-4.7572e-05i,-0.00010556+0.00050081i,-0.00052327+0.0011631i,-0.00030316+0.00083969i,-9.9839e-05+0.0001256i
-0.00029937-0.00075219i,0.0012938-0.0011213i,0.0023043-0.00028652i,0.0018449-0.00016554i,-0.00015487-0.00087071i,-0.0011756-0.0010021i,-0.0014046-0.00062832i,-0.0018781-0.00038445i,-0.00092294+0.00018242i,0.00069533+0.00070029i,0.0013316+0.00030478i,0.0011241+0.00019205i,-0.00024893+0.0001451i,-0.00075487-0.0010739i,-0.00047883-0.0010304i,-0.00071588+0.00066117i,-0.0002802+0.00050383i,-3.3888e-05-0.00058793i,-0.00014571+0.00011206i,0.00038344+0.00016897i,0.00095313-0.00039685i,0.00049572+0.00030461i,-0.00043437+0.00043432i
-0.0024181+0.00092284i,-0.0019589+0.00061891i,-0.0010763+0.00028351i,-0.00061622+1.3926e-05i,-0.00072613-0.00075577i,-0.00075346-0.0014397i,-0.00073828-0.0013138i,-0.00048787-0.00045791i,0.00058872+0.00093477i,0.0010909+0.00107i,0.00096488-6.4386e-05i,0.0007771-0.00028133i,0.00091501+0.00030285i,0.00072856+0.00044767i,1.8276e-05-5.441e-05i,2.7189e-05-0.00045715i,-3.2191e-05-0.00054105i,-0.00029009-0.00042396i,-0.00021697-0.00063377i,0.00045146-0.0004095i,0.0010021+0.00044413i,0.00062687+0.00047311i,5.8946e-06+0.00041008i
-0.00045568+0.00085955i,0.00043095+0.00058916i,0.00095326+0.00090703i,-5.2659e-05+0.00086066i,-0.0014559-0.00030643i,-0.0012805-0.0013644i,-0.0001424-0.00070031i,-0.00021089-0.00037636i,-0.00093274-0.000416i,-0.00091558+0.00023692i,5.1607e-05+3.6427e-05i,0.00074239-0.00045582i,0.00052726-9.0107e-05i,0.00032165+0.00020877i,9.9718e-05+0.00042454i,-0.00048401+0.0008687i,-0.0010255+0.00069539i,-0.00085484-0.00050321i,-6.2854e-05-0.00044701i,0.00045269+4.0656e-05i,0.00040838-0.00020586i,0.00023908+0.00014302i,-0.0002504+0.00041153i
0.0016031-0.00049796i,0.0013266-0.001801i,0.001912-0.0032237i,0.00056774-0.003268i,-0.0011138-0.0025092i,-0.0013944-0.0019618i,-0.00077824-0.00072234i,9.6942e-05+0.0001838i,-1.25e-05+0.00026931i,-0.0007358-0.00025863i,-0.0011224-0.0015703i,-0.0011262-0.001738i,-0.00031142-0.0010277i,0.00087963-0.00023827i,0.00063694-0.00011748i,0.00032359+4.6599e-05i,0.00040104+0.00014532i,0.00027327+0.00019507i,0.00023173+0.00050908i,-4.2837e-05+0.00029104i,-0.00026617+0.00027319i,-0.0008288+0.00023977i,-0.001128+0.00010532i
0.0012607-0.0010884i,0.0012865-0.0016259i,0.00015422-0.0019645i,-0.0012075-0.0010122i,-0.0020098-7.7123e-05i,-0.0016149-0.00072955i,-0.0010172-0.0010508i,-0.0007926-0.00075778i,-0.0006994-0.00022312i,-0.0011139+0.00046791i,-0.0012269+0.00091159i,-0.00023735+0.00091435i,6.7857e-05+0.00016192i,0.00037163-0.00057351i,0.0010293-4.3969e-05i,0.00092149+0.00045507i,-9.3172e-05+0.00040999i,-8.3849e-05+0.00065785i,0.00069082+0.0004258i,0.00029281-5.5996e-05i,0.00027067-0.00037409i,0.00059412-0.00041051i,0.000605-0.00027256i
-0.0015108-0.001578i,-0.0016083-0.0018117i,-0.0018896-0.0013069i,-0.0017365-0.0006379i,-0.0026182-0.00031809i,-0.0029503-0.00103i,-0.0018339-0.0013954i,-0.0009495-0.00081476i,-0.00039894-0.0002148i,-0.00026571-0.00012771i,-8.337e-05-0.00020566i,1.292e-05-0.00024518i,4.0424e-05+6.682e-05i,-0.00016206+0.00061292i,-0.00038536-0.0002728i,-0.00079014-0.00057738i,-0.00057589-4.2075e-05i,-0.00022268-0.00031769i,-0.00026165+3.2924e-05i,0.00055163+0.00027009i,0.000737-0.00025715i,-0.00036949-0.00050932i,0.00016473-0.00059023i
0.00018071-0.0031057i,-0.00035303-0.0026144i,-0.00067563-0.0022901i,-0.00048161-0.0016743i,-0.0005378-0.00074112i,-0.0008176-8.1003e-06i,-0.00076147+0.00076278i,-0.00043383+0.00042503i,-2.795e-05-0.00011223i,-0.00036639+0.00039206i,-0.00087283+0.001105i,-0.00071149+0.0009629i,-0.00019305-5.603e-05i,-0.00038174-0.00036601i,-0.0011932-0.00043171i,-0.00069051-5.6957e-05i,0.00020316+0.00056575i,-0.00019045+0.00032697i,-0.0003399-2.9524e-05i,-0.00012355-0.00078462i,-0.00025269-0.0014323i,-0.00013772-0.00079052i,0.0005597+8.8471e-05i
-0.00017833-0.0004455i,-0.0007807-0.0012475i,-0.00043214-0.00159i,-0.00048198-0.0012965i,-0.0013703-0.0018569i,-0.0018671-0.002168i,-0.0014366-0.0017193i,-0.00052124-0.0013201i,0.00023566-0.00096341i,9.5378e-05-0.00046531i,-0.0001331-0.00052097i,-9.3126e-05-0.00034661i,-0.00026315-0.00012785i,-0.00014147-0.00058202i,0.00013974+1.7348e-05i,0.00082309+0.0003829i,0.0015662+0.00019418i,0.0015883+0.00059947i,0.00070156+0.00048023i,-0.00017478+0.00019427i,-0.00043737+0.00011095i,6.661e-05-0.00045945i,3.7145e-05-0.00040089i
0.0010746-0.0014963i,0.0014761-0.00023898i,0.00063728+0.00051811i,-2.7396e-05-0.00047063i,-0.00096611-0.001686i,-0.00068358-0.001458i,0.00013861-0.001362i,-5.5479e-06-0.0015688i,0.00020723-0.00077824i,0.0002591+9.3206e-05i,0.001012+0.00033452i,0.0016732+5.5387e-05i,0.00076017-0.00090861i,0.00068144-0.0014816i,0.00099586-0.0011153i,0.00035984-0.00026549i,-0.00020744+0.00028952i,-0.00025895+3.6577e-05i,-0.00042319+0.00060712i,-0.00075298+0.00065298i,-0.00067894-5.9556e-05i,-0.00095461-0.00020887i,-0.00022896-7.7198e-06i
0.003128+0.00070277i,0.0028039-0.00075621i,0.0016881-0.002929i,0.00014374-0.0031886i,-0.0010351-0.0026555i,-0.0016366-0.0020856i,-0.0012343-0.00064135i,-0.00062605+0.00065793i,0.00021834+0.00032503i,0.00043288-3.1238e-05i,-0.00066502-0.00012562i,-0.00065876-0.00010708i,-0.00018579+0.00029675i,-0.0003027+5.3982e-05i,-0.00021822-9.4344e-05i,0.00013726-0.00024028i,0.00083133+4.6143e-05i,0.00064336+0.00039108i,0.00038359+0.00049904i,-5.1987e-05+0.00022022i,1.4458e-05-4.189e-05i,0.00030614+0.0005525i,0.00025388+0.00060157i
0.000871+0.0010729i,0.00079224+0.0011456i,0.0009922+0.0010837i,0.0010327-0.00050922i,0.00050543-0.0016104i,-0.00084239-0.0014991i,-0.001007-0.00072339i,-0.00052822+0.00014786i,-0.00079139+0.00048236i,-0.00066154+0.00032226i,-0.00040725+0.00011513i,-0.00025608+0.00064469i,0.00014812+0.0008826i,0.00030855+0.00049305i,0.00020523+0.00020372i,5.5017e-05-2.4802e-05i,-0.00021302+3.9024e-05i,-0.0003628+0.00021025i,-0.00032368+0.00022826i,-0.00025993-0.00018797i,0.00029058+4.4941e-06i,0.00033435+7.8763e-05i,0.00032588-0.00025827i
0.00016421-0.00077766i,0.00015191-0.00013648i,-0.00016668-0.00013489i,-0.00039955-0.00094817i,-0.00082899-0.001286i,-0.00079957-0.00016821i,0.00025492-0.00045731i,0.00073084-0.00071135i,-5.4675e-05-0.00037189i,-0.00064472+0.00028936i,-0.00073555+0.00080745i,-0.00050171+8.4875e-05i,-0.00020392-0.00018785i,-0.00045811-0.00013652i,0.00011405-0.0010722i,0.0011347-0.0011743i,0.00024236-0.00092861i,-0.00059238-0.00095752i,-0.00066114-0.00063637i,-0.00055305-0.00025152i,-0.00052178+0.00010255i,-8.7343e-06+0.00052771i,2.3267e-05+0.00048822i
0.0015304+0.00088478i,0.0018809-0.00010987i,0.0013704-0.00063718i,0.0017867-0.0011433i,0.0011848-0.0024634i,-0.00063268-0.0028331i,-0.0012003-0.0018784i,-0.00087508-0.00096003i,-5.4163e-05-0.00059021i,0.00055163-0.00021065i,-2.0869e-05-5.2705e-05i,-0.00048417-0.00037013i,-0.00088821+0.00015296i,-0.0016761+0.0013283i,-0.0010635+0.0015432i,-0.00016229+0.0010923i,-0.00012535+0.00084544i,-0.00037714+0.000313i,-0.00057081-0.0007031i,-0.00091971-0.00086349i,-0.00088388-0.00043927i,4.4124e-06-0.00041153i,0.00016707+2.737e-05i
