0.0022015+0.00032959i,0.0015885-0.00070073i,0.00093984-0.0024926i,-0.00044257-0.0030637i,-0.0015377-0.0021802i,-0.0018611+0.0003096i,-0.00065476+0.0021682i,8.6289e-05+0.0024607i,0.00044802+0.001364i,0.00073487-0.00056276i,0.00048041-0.0011559i,0.0001471-0.00010008i,0.00019333+0.00024636i,0.00050327+0.00011069i,0.00029167-0.00041086i,0.00024326-0.0011084i,-4.9865e-05-0.00042381i,-0.00049642+0.00016026i,-0.00032092-3.6408e-05i,-0.00034814-0.00030863i,-0.00054985-7.271e-05i,-0.00043383+0.0009159i,0.00030097+0.00084167i
-0.00012585+0.00073113i,-0.00075318-0.00018326i,-0.0011028-0.0006682i,-0.00025553-0.00013666i,0.00022708-0.00031109i,3.6944e-05-0.00054093i,-0.00031793-0.00038689i,4.8502e-05-0.00052796i,0.00011419-0.00019918i,0.00015561-0.00021897i,0.000668-0.0001858i,0.00085289-0.00017184i,0.00080514-0.00020618i,0.00050561+9.1821e-05i,0.00072114+0.00032591i,0.0012975+0.00012309i,0.0005334-0.00031399i,-1.5007e-05-0.00041116i,0.00058444-0.00025394i,0.00073115+0.00049879i,0.0008127+0.00092449i,5.0603e-05+0.00054693i,-0.00069903-0.00010382i
0.001991-0.0005244i,0.00065737-0.00068557i,-0.00074543-0.001637i,-0.00049592-0.0011596i,-0.00077058-0.001086i,-0.0012649-0.00105i,-0.0011074-0.00022012i,-0.00081951-0.00011524i,-0.00012331-0.0005922i,0.00059203-0.00112i,0.00052292-0.0017137i,6.7919e-05-0.0017475i,-0.00050899-0.00043847i,-0.00080466+0.00076545i,-0.0008636+0.00097524i,-0.00015361+0.00074085i,0.0010188+0.00059709i,0.0012533+0.00067733i,0.00084026+0.00052738i,0.00062846+0.00048204i,0.00078149+0.00089404i,0.0004016+0.00088349i,5.1501e-05+0.00027271i
0.0025226-0.0014522i,0.0024326-0.00095852i,0.001906-0.00067876i,0.00072076-0.0012414i,0.00018868-0.001286i,0.00057347+9.1941e-05i,0.00051071+0.00070491i,0.00016393+0.00039982i,-8.6179e-06-9.9256e-05i,-0.00025361-0.00042861i,-0.00013142-0.0004487i,-0.00017732-0.00087448i,-0.00024531-0.00081738i,-0.00012569-0.00025625i,-0.00036021+0.00031452i,-0.00032751+0.00012344i,5.5734e-05-0.00011893i,0.0003299+0.00056492i,-0.0002736+0.0008348i,-0.00082+0.00073486i,-0.00015122+0.00047549i,0.00028831-0.00028182i,0.00043525-0.00040315i
-0.0011943+0.00041631i,-0.0016374-8.7362e-05i,-0.0007975+0.0005325i,0.00075777-9.476e-05i,0.0013721-0.00021636i,0.00055837+0.00015416i,-0.00017416+0.00013518i,7.6268e-05-0.00033099i,-9.6662e-05+8.7981e-05i,-0.00069363+0.00054988i,-0.00043467+0.0003506i,-0.00032473+0.00018306i,-0.00022783-0.00017562i,-0.00036677-0.00068077i,-0.00061786-0.00033333i,-0.00025725-0.00022025i,-0.0001829-0.00066128i,0.00032431-0.00075183i,0.00064796-0.00079809i,0.00034643-0.00069903i,0.00033136-0.00043366i,0.0004666-0.00022324i,0.00038438+0.00018469i
-0.00031091+0.0010787i,0.00028988+0.00085957i,0.00047401-0.00023863i,-0.00021202-0.00032129i,-0.00042389-0.00011553i,-0.00045502+0.00029612i,-0.00014498+0.0013283i,8.2141e-05+0.0013223i,-0.00032106+0.0009688i,-0.00058767+0.00055096i,-0.0005528+0.00046007i,-0.00046979+0.00029198i,9.6582e-06-0.0010574i,0.00067199-0.0010076i,0.00022503+0.0005235i,2.9562e-05+0.00041566i,0.00064376-0.00038961i,0.00034704-0.00049649i,0.00014743-4.6284e-05i,-3.9784e-06+0.00036593i,-0.00054883-0.00040562i,-8.5641e-05-0.00055333i,0.00035208+0.00069363i
-0.00082795-0.0012419i,-0.0012279-0.00035955i,-0.0014079+0.00048561i,-0.00044591+0.0012105i,4.1728e-05+0.0016569i,0.00094292+0.0013395i,0.0013064+0.0006846i,0.0012307+0.00037121i,0.00047724+0.00026284i,-0.00078714+0.00031867i,-0.0011745+0.00066584i,-0.00021716+0.00072653i,0.0008704+0.00034297i,0.00096851-4.1211e-05i,0.00085394-6.9747e-06i,0.00081037-5.8352e-06i,8.9139e-05+3.4878e-05i,-2.4794e-05-0.00014128i,0.00066797-0.00057576i,0.00034102-0.00029972i,0.00012832+0.00021148i,0.00024056+0.00030361i,0.00023615+0.00067175i
0.00071212+0.0016474i,-0.00010266+0.001018i,0.0011267-0.0002963i,0.0015371-0.0011962i,0.00097028-0.0012364i,0.00017844-0.00085347i,-0.00060357+0.00039802i,-0.00087682+0.0011285i,2.8569e-05+0.00057853i,0.00050674-0.00032295i,0.00039963-0.00073826i,0.00035415-0.00039905i,0.00043946+0.00059264i,0.00030917+0.00098513i,0.00018809+0.0004144i,0.00035313+0.00017735i,0.00044201+0.00013188i,0.00092343+0.0001652i,0.00084279-0.00020342i,0.00021007-0.0002328i,0.00010447+9.7704e-05i,0.00036557+0.00044085i,-0.00010778+0.00049591i
0.00053253+0.00025414i,0.00067828+0.00025223i,-0.00082743+0.0009324i,-0.00088366+0.0014065i,-7.8821e-05+0.00060946i,8.2975e-05-0.00017349i,-4.9007e-06+5.1915e-05i,0.00020736+0.00050296i,0.000345+5.0862e-05i,0.00021528-0.0002691i,-0.00012639-8.3297e-05i,-0.00016781-0.00053955i,0.00032475-0.00068055i,0.00066765+0.00055602i,0.00062448+0.001118i,0.00067322+0.00067536i,0.00096998+0.00051571i,0.0007744-0.00029249i,0.00078783-0.0011905i,0.0012939-0.00027427i,0.00091171+0.00098853i,9.6807e-05+0.00047266i,-0.00036089-0.00040272i
-0.0010792-0.00030756i,-0.0013345+0.0009988i,-0.00061842+0.0012061i,0.00044248+0.0011719i,0.00073877+0.00081893i,0.00072264+0.0004036i,0.00062473+0.00019324i,0.00045636+0.00016401i,0.00048935+2.1817e-05i,-2.2093e-05-0.00079527i,0.00026917-0.00078298i,0.00095479+0.00028518i,0.0008863+0.00087552i,0.00062687-2.6003e-05i,0.00045649-0.00082397i,0.00027085-0.00082173i,-9.9232e-05-0.00030054i,-0.00039096-0.00038223i,-0.00028062-0.00049454i,-0.00010622-0.00030504i,-0.00022198+0.00010698i,-0.00031964+1.3161e-05i,-0.00067736-0.00036407i
-0.0013285-0.00045882i,-0.00063101+0.00078379i,0.00062968+0.0014525i,0.00058769+0.00017824i,0.00015638-0.00052977i,-0.00014413-7.7324e-05i,-0.0001126+0.0011427i,0.00054233+0.0013242i,0.0010526+0.00034356i,0.00036928-8.7066e-05i,0.00019768+0.00019738i,0.00019079+0.00053443i,0.00037202+0.00034397i,0.00097299+0.00033349i,0.0010048+0.00058025i,0.00043101+0.0005983i,-0.00025703+0.00070498i,-0.00079192-0.00010137i,-0.00052884-0.00063325i,-0.00038761-8.5313e-05i,-0.0001806-0.00024723i,0.00053506-0.00020672i,0.00042835+0.00016974i
-0.0014622+0.00013749i,-0.0012836+0.00081504i,-0.0011277+0.000864i,-0.00016881+0.00097516i,0.00058123+0.00097269i,0.00061665+0.0008071i,0.00055601+0.00061083i,0.00068061+0.00036509i,0.001099-0.00034385i,0.00054903-0.0005355i,-0.0002536-0.00043971i,-0.00066323-0.00077088i,-0.00048528-0.0010024i,9.752e-05-0.0008342i,-0.0006929-0.0005306i,-0.00076425-0.00013232i,-0.00020656+3.6174e-05i,-9.2094e-05+0.00019251i,0.00020669+0.00054838i,0.0006545+0.00055693i,0.00074327+0.00014433i,0.0004525-0.00038654i,0.00016754-0.00050195i
-0.00059587-0.00043952i,2.6904e-05+0.00049962i,0.00076789+0.0011311i,0.00095403-5.5946e-05i,0.00084407-0.0013679i,0.00067416-0.0016486i,0.00083621-0.00087436i,0.00079577-0.00044819i,0.00052984-0.0003146i,-8.5902e-05-0.00017092i,-0.00083475-0.00032328i,-0.00040622-0.00063857i,0.00012264+0.00029138i,-0.00044726+0.00019404i,-0.00090572-0.00052013i,-0.00049388-0.00056357i,0.00045354-0.00044193i,0.00144-0.00035842i,0.0012507-0.0002063i,0.00018176+0.00022261i,-0.00081908+0.00066123i,-0.00075189+0.00055742i,-0.00037521+6.8586e-05i
-0.00022486-0.00026086i,6.9849e-06-0.00022846i,-0.00016164-0.00022387i,-0.00018629-2.0117e-06i,0.0006163+0.00029477i,0.00044729+0.00050845i,-9.2242e-05+0.00080998i,4.3141e-07+0.0014391i,4.9337e-05+0.0011213i,-0.00072418+0.00011781i,-0.0011556-0.00057515i,-0.00049812-0.0012259i,-0.00022915-0.00095131i,-9.0637e-05-0.00013434i,0.0002056+0.00028863i,0.00060169+0.00016126i,0.00074637-0.00022687i,0.00034921-0.00059562i,-0.0005359-0.00095955i,-0.0006932-0.0013792i,-0.00029444-0.0009915i,-0.00034094-9.9184e-05i,1.8449e-05-0.00019324i
0.00096116+0.00053756i,0.0015536+0.00096336i,0.0015694-0.00018635i,0.0019852-0.0006048i,0.0016648-0.00039141i,0.00078082-9.2046e-07i,0.00085473+0.00030867i,0.00093599-6.8196e-05i,0.00049176-0.00078499i,4.6078e-05-0.0010688i,-0.00043502-0.0006974i,-0.00031086-0.00078245i,0.00081693-0.00067205i,0.0008875+4.0143e-05i,0.00034902+0.0001722i,0.00057106+0.00018403i,0.00056622+0.00030442i,0.0005316+0.0002679i,0.00040744+5.0153e-05i,0.00053801-0.00010306i,0.0010562-0.00015945i,0.001282-7.6087e-05i,0.0010742+0.00036505i
0.0012993-0.0013172i,0.00032317-0.00244i,8.3e-05-0.0022763i,-0.00050638-0.0010539i,-0.0017576-0.00041598i,-0.0015656-1.8969e-05i,-0.00047148+8.7269e-05i,-1.9152e-05+0.00024077i,0.00050837+0.00016554i,9.7816e-05+8.6273e-05i,-0.00021597-0.00028173i,0.0003993-9.6609e-05i,0.00036654+2.1823e-05i,-0.00040519-0.0002369i,-0.00080108-8.0583e-05i,-0.00063638-0.00021259i,-0.00025779-0.00036873i,0.00050712-0.0012106i,0.00027247-0.001348i,-0.00065384-0.0001572i,-0.00081042+0.00011793i,-0.0004617+0.00016981i,-0.00038394+0.00038882i
-0.00088075-0.0009894i,-0.0018802-0.00047483i,-0.001356-5.7825e-05i,0.00013391+0.0010544i,0.00083981+0.0017267i,0.0007326+0.0020335i,0.00012417+0.0018098i,-3.5914e-05+0.00096483i,-0.00014257-0.00023388i,0.00028418-0.00015698i,0.0012474+7.3917e-05i,0.00089078-0.00095888i,-0.00026637-0.0009078i,-0.00057276+2.8012e-05i,-0.00033837-0.00064229i,0.00049001-0.00049913i,0.00098151+0.00041003i,0.0006672-0.00014423i,0.00045759-0.00077369i,-0.00024986-0.0007192i,-0.001243-0.00020794i,-0.0013327-0.00069087i,-0.0005173-0.00099368i
-0.00033023-0.00076652i,-0.00075584-0.00029366i,-0.0015518+0.00019888i,-0.00094827-0.00013781i,-5.1422e-05-0.00017113i,-0.00078476+0.0002348i,-0.00050508+0.00010612i,-7.7212e-06-0.00041094i,0.0009174-0.00069349i,0.0016561-0.000308i,0.0015155-0.00074384i,0.0011611-0.001289i,0.00046003-0.00019629i,-0.00035925+0.00047341i,0.00034978+0.00027881i,0.00074276+0.00038366i,-3.0023e-05+0.0003011i,0.0002045+0.00012298i,0.00082922-0.00043223i,-0.00012661-0.00061694i,-0.00028075-7.5132e-05i,0.00032669+0.00043814i,0.00024784+0.00033317i
-0.00028668+7.9845e-05i,0.00014813-7.5916e-05i,0.00017883+0.0010683i,0.00073693+0.0015689i,0.0016375+0.00074308i,0.0011155+0.00046526i,0.00051033+0.0002147i,0.00084751-9.9667e-05i,0.00045918+3.0487e-05i,0.00014218-1.602e-05i,0.00042491+7.6989e-05i,-0.00013498+0.00030818i,-9.1733e-05+0.00029976i,0.0008863+0.00029505i,0.00073455-5.1043e-05i,0.00038258-0.00045708i,7.2269e-05-0.00054242i,0.00012722-3.451e-05i,8.4381e-05+0.00040151i,0.00014507+0.00023131i,0.00016016-0.00042796i,-0.00017904-0.00073413i,-8.689e-05-0.00076218i
-0.00041739+0.00054084i,-0.00052809+0.0002493i,0.00025829+0.00048927i,0.0013383-0.00041326i,0.0015549-0.0011063i,0.0011382-0.00064294i,0.0014892+0.00018543i,0.0020826+0.00050575i,0.0012743+0.00044283i,0.00054158+0.00048081i,0.00042113+0.0010127i,0.00024403+0.00084677i,0.00033235+4.1756e-05i,-0.00011309+0.00013561i,-0.00045041+0.00081411i,-0.00032467+0.00033831i,0.00022545-0.00010595i,0.00018309+0.0001821i,-0.00010108+1.6097e-05i,0.00025307-0.0003905i,-0.00011747+3.1867e-05i,-0.0010447+6.7329e-05i,-0.00085451+4.9593e-05i
-0.00035777-5.0786e-05i,-0.00022096-0.0016973i,-0.00040815-0.001482i,-0.00068201-0.00064166i,-0.00021658-0.0004824i,0.00013337-0.0007504i,4.9617e-05-0.0008141i,-0.0002898-0.00032553i,-8.6255e-05+3.6704e-06i,0.00045802-0.00022519i,0.00020548-0.00019694i,-0.000493-0.00032708i,-0.00062195-0.00015234i,-0.00053914+0.00029832i,-0.00033165-0.0002631i,-0.00021751-0.00091357i,0.00030403-0.0010096i,0.00049095-0.00043169i,-0.00033284+0.00023024i,-8.5609e-05+0.00040727i,0.00069503+0.00018153i,0.0010509+0.0002691i,0.0010776+0.00045084i
-0.00057936-0.00052234i,0.00010694-0.00032155i,-0.00017054+0.00052485i,-0.00028746-0.00037672i,-0.00016274-0.00072607i,0.00040232-0.00024677i,0.0007612-0.00010777i,0.00085144-3.0029e-06i,0.00019468+0.00046948i,-0.00059788+0.00018856i,-0.00032857-0.00038905i,0.00013079+8.1055e-05i,0.00012567+0.0004815i,0.00018272-0.00074689i,0.00097808-0.0014554i,0.00099012-0.00093929i,0.00033082-0.00023088i,-2.773e-05+0.00043907i,0.00020149+0.00046944i,0.00064076+0.00024308i,0.00071746-0.00047005i,0.00032002-0.001241i,0.00010798-0.00062169i
-0.00032139-0.001059i,-0.0007451-0.0013951i,-0.00043454-0.00095845i,-0.0004236-0.0004096i,-0.00028208-5.422e-05i,-1.2537e-05+0.00056852i,-0.00018761+0.0011535i,0.00033458+0.001189i,0.00067682+0.00023334i,0.0004948-0.00039798i,0.00067465-0.00054598i,0.00083612-0.00053358i,0.00028659-9.9983e-05i,-0.00042228+5.184e-05i,-0.00051606-0.00015107i,-0.00034495-4.9844e-05i,-7.8469e-05+0.00055291i,0.00026034+0.00032802i,0.00017864-0.000522i,-0.00015658-8.2978e-05i,-0.00025187-0.00010254i,-0.00022769-0.00044941i,-0.00037727-3.3707e-05i
-0.00025253+0.0013365i,0.00046633+0.0015255i,0.0011014+0.0016476i,0.0013141+0.00055235i,0.0016875-0.00059303i,0.00062745-0.00065868i,0.00012968-0.0001713i,0.00065584+0.0007816i,0.0010825+0.00079211i,0.0012742+0.00016234i,0.00046219+0.00028299i,-0.00037239+0.0006041i,-0.00057038+0.00017754i,-0.00066183+0.00010319i,-0.00052304+0.0004079i,0.00043472+0.00032844i,0.00048765+0.00038853i,-0.00031364+0.00024497i,-0.00029941+0.00044369i,-0.00083927+0.0010636i,-0.0015088+0.00094419i,-0.00087359+0.00024832i,1.0118e-05+0.00019019i
0.0022644+0.00058202i,0.0010638-2.8597e-05i,0.0019346+0.00028018i,0.0022655-0.00060627i,0.0013405-0.0015316i,0.00052895-0.00095541i,-5.6426e-05-6.45e-05i,0.0003899-0.00031536i,0.00055189-0.00093739i,0.00025553-0.00091154i,4.3514e-05+0.00017545i,-0.00016562+0.00098163i,-0.00012852+0.00024595i,2.7307e-05-0.00024586i,0.00026244-7.4242e-05i,0.00039288+0.0001316i,0.00078753+0.0001445i,0.00030951+0.00021979i,-0.00059835+9.1068e-05i,-0.00040947+0.00053419i,0.00029933+0.00061218i,0.00057399+0.00042293i,0.00043262+0.000272i
-0.00081849+0.00014556i,-0.0018857+6.6238e-05i,-0.0019946+0.00020973i,-0.00046812+0.00031218i,0.00057485+0.00039389i,0.0009848+0.00010762i,0.00030528-0.000525i,-0.00025693-0.00078045i,-0.00021948-0.00046868i,-0.00026723-0.00010404i,-3.31e-07+4.0892e-05i,0.00066765-0.00013707i,0.0010116-0.00024851i,0.00032388-0.0001837i,-0.00040659-0.0002225i,-9.3539e-05+0.00046405i,0.00031683+0.00074355i,0.00031013+0.0005909i,0.00014744+0.00044756i,-0.00017114+0.00021853i,-0.00016893+0.00045802i,-4.0003e-05+0.00055219i,0.00034113+0.00011573i
-0.00094004-0.001715i,-0.0014031-0.0022507i,-0.0011038-0.0022172i,-0.00061863-0.00085341i,0.00012218+4.9141e-05i,0.0011118+0.00053526i,0.0011559+0.0011344i,0.0010187+0.0007853i,0.00062509+0.00095363i,0.00022332+0.0019762i,0.00025455+0.0017606i,0.00025861+0.00070046i,-0.00018937+0.00064953i,-0.00028876+0.0010865i,-1.1938e-05+0.00082369i,-0.00016779+0.00072802i,-0.0004443+0.0010962i,-0.00041425+0.0012851i,0.00010126-3.917e-05i,0.000298-0.0010768i,-1.9312e-05-0.0011153i,-0.00021057-0.00034176i,-0.00034533-0.00015663i
2.5042e-05+0.00097455i,0.0006243+0.0021444i,0.0011995+0.0012219i,0.001155+0.00037348i,0.00063532-0.00052702i,0.00035194-0.0010457i,-4.9956e-05+0.00033899i,0.00027174+0.001387i,0.00072672+0.00085781i,0.0001624-0.00050235i,0.00015509-0.00089457i,0.00033943-0.0010341i,0.0006806-0.0009877i,0.0006994-7.1452e-05i,7.8419e-05+0.00087288i,0.00010962+0.00051908i,0.00030607-0.00030416i,-5.1122e-05-4.7856e-06i,0.00018218+0.0009439i,0.0011115+0.0013661i,0.00090029+0.00044161i,0.00049858-0.00039732i,0.00022071-0.00033241i
-0.0010869-0.00064485i,-0.0012561-0.0010009i,-0.00083853-0.00031495i,-0.00037649+5.7483e-05i,0.00041051+5.1325e-05i,0.00042902+0.00065739i,-6.8728e-06+0.00021751i,-0.0004238-9.9567e-05i,-0.00094145+0.00043333i,-0.0013388+0.00050156i,-0.00050953+0.00025819i,0.00067944-0.00015919i,0.00053238-0.00029379i,-0.00030036+4.7647e-05i,-0.00041684-0.00023284i,0.00013222-4.9651e-05i,1.5762e-05+0.00080645i,-0.00057342+0.0008877i,4.0176e-05+0.00075795i,0.0011725+0.00015761i,0.00098216-0.00060304i,1.6772e-05-0.00060199i,0.00010732-0.00010809i
0.0016288+0.0019567i,0.0012702+0.0025893i,0.0019828+0.0015945i,0.0028963+0.0011799i,0.0026794+0.00033456i,0.0013236-0.00086883i,-0.00018509-0.00058037i,-5.2286e-05+0.00012251i,0.00016731+0.00063005i,-0.00024918+0.0013344i,-0.00020397+0.00073003i,0.00023591-0.00015651i,0.00080067-0.00013719i,0.00042607+0.00028672i,-9.9359e-05+0.00093499i,0.00060831+0.00079899i,0.00048612-0.00019895i,0.00068674-0.00079186i,0.00054276-0.00047672i,-0.00015156-0.00047365i,-0.00036173-0.00056155i,0.00064417-0.00014298i,0.001202+0.000191i
0.00040283-0.00080812i,0.00044212-0.0011286i,0.00029934-0.0015362i,-0.00059364-0.0016596i,-0.0005562-0.0013464i,-4.7403e-05-0.000546i,0.00052291-0.00011769i,0.00066811-0.00031211i,0.00049806-0.0007965i,0.00062046-0.00080094i,0.00063076-5.4743e-05i,0.00050241+0.00028732i,0.00035373-0.00020646i,-0.0002251-2.5638e-05i,-0.00043018+0.00047219i,-0.00017948+0.00021625i,-0.00011502-0.0001757i,-3.5648e-05-0.0001708i,0.00023266-0.0004166i,-0.00038473-0.0004121i,-0.00043221-8.6623e-05i,-5.5861e-05+0.00014663i,0.00023551-0.00011246i
0.00049933-0.0021046i,0.00044794-0.0013044i,0.00036011-0.0016135i,0.00010352-0.0016021i,-0.00045689-0.00012844i,-0.00022091+0.00096861i,0.00042662+0.0011044i,0.00040043+0.00043876i,-0.00022664-0.00058333i,-0.00070401-0.00044356i,-0.00061499-9.7435e-05i,2.2952e-05-0.00021314i,-0.00036136+0.00017509i,-0.00063968+0.00045836i,-6.6315e-05+0.00047968i,0.00029175+8.0951e-05i,3.9178e-06-0.0009277i,-0.00069469-0.0013803i,-0.00085097-0.00088534i,-0.00098741-2.7577e-05i,-0.00064147+0.00028875i,-6.9496e-05-0.00011041i,0.00016461-0.00015746i
-0.00018171-0.00022458i,-0.00086463-0.00062747i,-0.0001684+0.00013006i,0.00094108+0.00031556i,0.0010629-0.00057382i,0.00046198-0.00089295i,-7.5745e-05-0.00014169i,2.8746e-05+0.00012996i,0.00041054-0.00056512i,0.00047858-0.0007803i,0.0002304-0.00024598i,0.00031593-0.00088604i,0.00051625-0.00083091i,0.00047906-9.1478e-05i,0.00019746+0.00046798i,2.5538e-05+0.00097685i,-0.00019501+0.00074872i,-0.00045277+0.00098845i,-2.5928e-05+0.0010508i,0.00060548+0.00033281i,0.00066767+0.00048981i,-0.00049664+0.00099421i,-0.0010715-0.000207i
