1.6606e-06+0.0013371i,0.00091744-0.00012175i,0.00074143-0.001524i,0.0010055-0.0025559i,9.373e-05-0.0019917i,-0.0013359-0.00016809i,-0.0011556+0.00061459i,7.1353e-05+0.00085286i,0.00060025+0.00025463i,0.00036391-0.00050864i,0.00061618-0.00042481i,0.001134-0.00055755i,0.00096118+0.00029443i,0.00031954+0.001168i,0.00029823+0.0013224i,0.00024421+0.0015757i,-0.00025518+0.0009024i,3.3829e-05+0.00057535i,0.00040346+0.0006691i,2.0917e-05+0.00042544i,-3.0643e-07+0.00059408i,0.0010736+0.00049141i,0.0012222-0.00028298i
0.0011363+0.00076553i,0.00064579+1.1378e-05i,0.00089077-0.0009625i,0.001082-0.00090461i,0.0014276-0.00088797i,0.0016196-0.0010029i,0.0013553-0.00090301i,0.0013085-0.0012855i,0.00024008-0.0015724i,-6.039e-05-0.0011481i,0.00035724-6.1302e-05i,0.00087589+0.00063849i,0.0010984+0.00092257i,0.00042703+0.00078827i,0.00051563+0.00047177i,0.0013285+9.1328e-05i,0.0010319+0.00028552i,0.00025436+4.5988e-05i,-0.00036923-6.7179e-05i,-0.0010314-0.00059851i,-0.00071673-0.00068439i,-0.000146+0.00012783i,0.00011181+0.00020394i
-0.00053798-0.00099406i,-0.00081848-0.00083665i,-0.00098949-1.0164e-05i,3.3811e-05-5.8201e-05i,0.00036934-0.00048233i,0.00063036-0.00017074i,0.0012687-0.00037007i,0.00027645-0.0010368i,-0.00055151-0.00080893i,-0.0010486-0.00064904i,-0.00058751-0.00055532i,0.00050772+9.6724e-05i,0.00032804+0.00063781i,0.00070631+0.00062449i,0.00095617+0.00043075i,5.4162e-05+0.00046838i,-0.00013228+0.00011853i,-0.00020254-7.2264e-05i,-0.00024128-0.00060923i,-6.0349e-05-0.00013896i,-0.00038475+0.00082664i,-0.00095336+0.00072959i,-0.00055815+0.00020291i
0.00022253+0.0013017i,0.00048517+0.0007818i,0.00055651-0.00039057i,0.00094883-0.001016i,0.0010475-0.0017994i,0.00046103-0.0020652i,0.00023827-0.001252i,-8.9413e-05-0.00049691i,-0.001087-0.00062567i,-0.0012672-0.00041836i,-0.00088325+0.00020779i,-0.00020056+0.00028139i,0.00013802+0.0004966i,0.00048136+0.00077272i,0.0010498+0.00018016i,0.0010323-0.0005876i,0.00078035-0.00072694i,-0.00010795-7.3726e-05i,-0.00040921+0.00069343i,-0.00021706+0.00074154i,0.00023213+0.00072252i,0.00066284+0.00060155i,0.00048604-0.00021385i
0.00046395-0.0011822i,-0.00072625-0.0011912i,-0.00090054-0.000848i,0.00026102-0.0011987i,0.00040392-0.001418i,-0.00017764-0.0011303i,-0.00072426-0.00048801i,-0.00062666-0.00037915i,-0.00060286-0.00092264i,-0.0008337-0.00097534i,-0.00012774-0.0006877i,0.00078911-0.00046266i,0.0007063+0.0002837i,0.00059916+0.00088102i,0.0010141+0.0010374i,0.00061181+0.00088629i,0.00020347+0.00051292i,0.00041225+0.00016132i,-8.85e-05+8.7789e-05i,-0.0011426-0.00010963i,-0.00080188-0.00029827i,0.00020486-0.00022366i,0.00066115+0.00036937i
0.0010847+0.0006798i,0.00092095+7.9948e-05i,0.0004062-0.0016745i,0.0008179-0.0012947i,0.0015031+0.00020042i,0.0017286+0.00072143i,0.00066824+8.3688e-05i,-0.00028349-0.00087504i,-0.00037377-0.00088045i,-0.00047787-0.00093512i,-0.00026669-0.00070733i,0.00058218-0.00048665i,0.0011174-0.00042985i,0.00086618-3.616e-05i,0.00018517+0.00014925i,-1.373e-05+0.00040443i,-9.385e-05+0.00026151i,-0.00046398-0.00020607i,-0.00062892-0.00018596i,-0.0010309+0.00030196i,-0.00086351+0.00098611i,0.00015489+0.00074049i,0.00071768+0.00068154i
-0.0001044-0.00056911i,-0.00044784-0.00015881i,-1.0318e-06-0.00076495i,8.1836e-05-0.0013552i,-0.0010034-0.0019572i,-0.00071459-0.0013223i,7.655e-06-0.00031352i,-0.00036955-0.00071358i,-0.00064465-0.00078968i,-0.00080925-0.00015664i,-0.00031352+9.6101e-05i,7.6257e-05+0.00042128i,-0.00032756+0.00050032i,-0.00028277-0.00016891i,-0.00017113+7.3821e-05i,-0.00018444+0.00012102i,9.3368e-05-0.00061575i,0.00038729-0.00056445i,-0.00034191+0.00010604i,-0.0011287+0.00020574i,-0.00048174-0.000344i,5.8635e-05-0.00045046i,-0.00013164-7.5346e-05i
0.00094103-0.0012948i,0.00020208-0.0017198i,-0.00093556-0.0026314i,-0.00047231-0.0020273i,0.00036343-0.0012017i,0.00048598-0.0008969i,0.00057738-0.00072761i,6.7961e-05-0.0014337i,-0.00058253-0.001214i,-0.00041207+8.1818e-05i,0.00050519+0.00031055i,0.0013072-0.00029148i,0.0018279-0.00022016i,0.0013926+0.00035396i,0.00022943+0.00030064i,-2.5241e-05-0.0008231i,0.00035969-0.0007222i,0.00033738+0.00014358i,1.4695e-05-0.0005244i,5.3386e-05-0.00080389i,0.00035118-0.00069446i,-0.00057753+9.6187e-05i,-0.00093493+0.00066143i
0.00041381-0.00082506i,6.4216e-05-9.2001e-05i,-2.3758e-05+8.7145e-05i,5.2111e-05-0.0013452i,0.00048035-0.0018696i,0.001334-0.00092235i,0.0015346-0.00078575i,0.00086669-0.00096337i,-9.8757e-05-0.00036808i,-0.00038682-0.00019628i,1.3176e-05+1.7572e-06i,0.00064193+0.00048569i,-0.00012452+0.00011374i,-0.00079591+0.0001975i,0.00023393+0.00040886i,0.00083105+0.00019692i,0.0008351+7.1624e-05i,0.00022512-0.00014574i,0.00047516+6.183e-05i,0.00052655+0.00065657i,-0.0010187+0.00033978i,-0.0016077-0.0004857i,-0.001214-0.00073783i
-7.2825e-05+5.7006e-05i,0.00015778+0.00030628i,-3.459e-05+0.0012627i,0.00012329+0.002228i,0.00078521+0.0017254i,0.0015597+0.00010105i,0.0012191-0.00091357i,0.00018702-0.00093002i,-0.00022023+3.0116e-06i,-0.00070508-1.6804e-05i,-0.00095017-0.0010196i,-0.00046648-0.0011271i,-0.00043171-0.00017924i,-0.00079203+0.00099612i,-0.00041147+0.001006i,-0.00020988+0.00052172i,-0.00018425+6.8612e-06i,-0.00026389-9.1346e-06i,-0.00032287+0.00083936i,-0.00021446+0.0014831i,-4.8838e-06+0.0011204i,-0.00012558+0.00084555i,-0.00062687+0.00059133i
0.00047461+0.00064433i,9.353e-05+0.00049177i,0.00064502-0.00052535i,0.0014106-0.00020231i,0.0010964+0.00046145i,0.00078224+7.7942e-05i,0.00044575-0.0002642i,-0.00055181-0.00097183i,-0.0013097-0.0013402i,-0.0012596-0.00012163i,-0.00035598+0.00036875i,0.00073957+3.5578e-05i,0.00063175+0.00032232i,-0.00049933+0.00062847i,-0.00072907+5.8999e-05i,0.0003241+8.9886e-05i,0.00075762+0.00083704i,0.00031925+0.00061006i,-8.1532e-05+0.00084528i,-0.00028158+0.0011496i,-0.0002826+0.00043416i,-0.00034486-0.00015475i,-0.00043227-0.0002019i
-0.00038067-6.4811e-05i,0.00077456-0.00066223i,0.00093312-0.00040607i,-0.00025044-0.00072478i,-0.00017314-0.00097129i,2.008e-05-0.00075658i,-0.00093821-0.00035326i,-0.0016795-0.0001448i,-0.0015508-0.00032033i,-0.0012451-0.00080029i,-0.00054515-0.0010984i,0.00032062-0.00062647i,-0.00026791+0.00025806i,-0.00078968+0.00089037i,-5.8678e-05+0.0011597i,0.00026263+0.0010625i,9.8098e-05+0.00021628i,2.5436e-05-0.00026968i,0.00017657-0.00022851i,6.6764e-05-0.0003068i,-0.00069105-0.00033913i,-0.0010606-0.00057139i,-0.00083121-0.00019883i
0.00060894+0.00020223i,5.5531e-05+0.00032279i,-6.0497e-05-0.00052326i,0.00035563-0.00070281i,0.00062685-0.00061307i,0.00095221-0.00052629i,0.00034774-0.00037709i,-0.00035228-0.00087344i,-0.00019441-0.0010013i,-0.00042347-0.00079729i,-0.00041967-0.00088471i,0.00029733-0.00049345i,0.00083653+4.631e-05i,0.0009063-0.00023999i,0.00062954+2.0733e-05i,-0.00014173+0.00082833i,4.7414e-07+0.00094225i,0.00026041+0.00026667i,-0.00044871+0.00019117i,-0.00046266+0.00078704i,-0.00019552+0.00076627i,0.00011082+0.0011129i,0.00029383+0.00067236i
0.0016928-0.00031604i,0.0014562-0.00046922i,0.0012269-0.0015787i,0.0013561-0.0026191i,0.0012861-0.0031556i,0.00050998-0.0028553i,0.00055754-0.0018962i,0.00036524-0.00058931i,-0.00018002-0.00024324i,-0.00021726-0.00099769i,-7.542e-05-0.0012224i,-1.935e-05-0.00028992i,2.9856e-06+0.00036022i,0.00038082-4.5699e-05i,0.00070861+0.00026255i,0.001142+0.00081021i,0.0011355+0.00056515i,0.00071736+0.00029602i,5.1803e-05+0.00046904i,2.118e-05-0.00036408i,0.00063004-0.00083785i,0.00049805+0.00062259i,0.00051834+0.00093155i
0.00069577+0.00064775i,0.0011754+0.00095496i,0.0011398-0.00061433i,0.00072924-0.0024046i,0.00058552-0.0024384i,-0.00049096-0.00086495i,-0.0013871-0.00043038i,-0.0014453-0.00086928i,-0.001622-0.0010154i,-0.0013265-0.0010095i,-0.00077207-0.00027786i,-0.00016997+0.00066i,0.00010998+0.0011688i,0.00023102+0.0011828i,0.00013783+0.00084516i,-0.00023755+0.00081176i,-6.5809e-05+0.00055907i,-5.5445e-05-2.8562e-05i,-0.00056128-0.00035983i,-0.00079887+0.00030426i,-0.00057008+0.0001062i,-0.0001687-0.00041268i,-0.000603-0.00059301i
-0.00072814-0.00024744i,-0.00036457-0.00019822i,0.00056226-0.00079664i,0.0012911-0.00057252i,0.0022363-0.00031229i,0.0022102-0.00014728i,0.0013861+0.00027775i,0.00024549+0.00012664i,-0.00083896-0.00040047i,-0.00078916-0.00064602i,-0.0001837-0.00025973i,0.0001802+0.00043515i,0.00039837+0.00056069i,-4.3159e-05+0.00021916i,-0.00055289+0.0010122i,-0.0001282+0.0020193i,0.00016086+0.0014905i,-0.00016261+0.00063176i,-0.00016513+0.00020811i,-2.8437e-05+0.00018651i,-0.00068285+0.00039871i,-0.00097692+7.0363e-05i,7.4527e-05+0.00048632i
0.00014731+0.00026951i,-0.00053119+6.4004e-05i,-0.00076171-0.00029269i,-0.00069163-0.00077035i,-0.00045397-0.00084966i,0.00062924-0.0003818i,0.0014503-0.00041661i,0.0011778-0.00058445i,0.00041914-0.00046575i,-0.0010921+0.00016048i,-0.0015565+0.00024861i,-0.00027337-0.00014757i,0.00086271-0.00054032i,0.00076048-0.00090812i,0.00041379+5.8279e-05i,0.0005001+0.00070585i,0.00054783+7.3795e-05i,0.00035958-0.0002811i,-0.00031839-6.0538e-05i,-0.00068627+0.00077167i,-0.00069569+0.00091658i,-0.00035018+7.6181e-05i,0.00053162+0.00013136i
-0.0010548+0.00029791i,-0.00043331+5.5044e-05i,0.00026728+0.00038814i,0.00089688+0.00035652i,0.0012593+0.00054946i,0.0014558+0.00013694i,0.00093596-0.00074235i,0.00078544-0.00073764i,0.00020762-0.00083724i,-0.00063791-0.0011172i,-0.00057586-0.0010103i,-0.00031671-0.00049339i,0.00042379-8.097e-05i,0.0010312+0.00025858i,0.00079162+0.00059721i,6.4773e-05+0.00032702i,-0.0004003+0.00031312i,-0.00038938+0.00028061i,-0.00030368-9.0836e-05i,-0.00013322+0.00048853i,0.00013368+0.0011681i,0.00025732+0.00059366i,0.0005741-0.00019819i
0.00051961+0.00057204i,0.0016001+0.0003589i,0.0021765+0.00055617i,0.0025055+0.0001911i,0.0021584-0.00072506i,0.00067422-0.0015787i,0.00012311-0.0015564i,-0.00048055-0.001126i,-0.00059093-0.00037929i,-3.9415e-05-0.000158i,0.00025134+0.00034798i,-5.4972e-05+0.001084i,-0.0007017+0.00066971i,-0.0014579-2.8882e-05i,-0.0013564+0.00025165i,-0.00011357+0.00026736i,0.00091508-0.00024441i,0.0010137-0.0006238i,0.0009191-0.0006917i,0.00076424-0.00034828i,-0.00034753-1.5112e-05i,-0.0009855+0.00011239i,-0.00092603+0.00034896i
-0.0011562+0.00062254i,-0.0010005+0.00059077i,-0.00040892+0.00021445i,0.00053426+3.7215e-05i,0.00082862-3.1038e-05i,0.00097042+3.2841e-06i,0.00088978-0.00061692i,0.0007014-0.001049i,0.00016544-0.00087683i,-0.00056251-0.0009663i,0.00012196-0.00015945i,0.00094035+0.00087927i,0.00087784+0.00042124i,0.00021942+0.00041975i,-0.0011258+0.00087145i,-0.0014035+0.00071832i,-0.00066622+5.3562e-05i,0.00016094-0.00065361i,0.00033859-7.2203e-05i,-6.5036e-05+0.00050879i,-0.00027875+0.00066474i,1.1256e-05+0.00028435i,-5.7898e-05+8.1477e-05i
0.0007633+0.00076057i,0.00082529+0.00038778i,0.00073897-9.0514e-05i,0.001495-0.0010071i,0.0024278-0.0011023i,0.0025452-0.0010059i,0.0014046-0.0016904i,0.00020248-0.0016761i,-0.00058907-0.00022569i,-0.0013388+0.00054859i,-0.0006145-5.129e-06i,0.00013211+0.0001857i,0.000135+0.00080558i,0.00035007+0.00086538i,0.00024221+0.0012841i,-0.00020807+0.001218i,0.00030024+0.00073993i,0.00049372+0.00036103i,0.00025209+6.1778e-05i,0.00017918-4.9042e-05i,-0.00019676-0.00014759i,-0.0010806-0.00043492i,-0.00092152-0.00092387i
-8.1462e-05+0.00086279i,-0.00058837+0.00033249i,-0.00017398-0.00021411i,0.00084691-0.00078766i,0.00069117-0.00138i,-0.00034897-0.0016796i,3.7207e-05-0.0011588i,5.8366e-05-0.00047984i,-0.00043864-0.00054937i,-0.00052761-0.0008288i,-0.00032722-0.00063139i,-0.00035205+9.2458e-05i,-0.00088784+0.00023339i,-0.00021867+0.00062135i,0.00034642+0.0011117i,0.00014577+0.00061971i,0.0011581+0.00024971i,0.0015401+0.00038243i,0.00059608+0.00041319i,-3.6898e-05+0.00019647i,-0.00022941-8.1728e-05i,4.0441e-05-1.5973e-05i,-0.00029027+0.00013644i
0.00012073-0.0010675i,0.00037793-0.0015233i,0.0011146-0.00042701i,0.0016035+5.7049e-06i,0.00098963-0.0011327i,-0.00015012-0.0022635i,6.6426e-05-0.002214i,0.00018035-0.0017784i,-0.00048639-0.0019655i,-0.00087194-0.0013616i,-0.00081499-7.2024e-05i,-0.00059745+6.3692e-05i,-0.00055391-0.00029276i,-0.0006786-0.0002633i,-0.00027655+0.00017869i,0.00010433-3.1695e-05i,-0.00033381+2.0913e-05i,-0.00065059+0.00041103i,-0.00014746+0.00016021i,0.0001757-4.5028e-05i,0.00056371+0.00020875i,0.00077907+0.00057165i,0.00023274-0.00039157i
0.00082029-7.4938e-05i,0.00081613-0.00049869i,0.001451-0.00077709i,0.0017576-0.0012613i,0.0021013-0.0016653i,0.0022753-0.00050503i,0.0014034-0.00018901i,-0.00016007-0.001392i,-0.0011095-0.0012759i,-0.0011534-0.00011783i,-0.00043249-0.00020281i,0.0001162-0.00079398i,0.0003805-0.00047577i,0.0003316+0.00064076i,-5.8512e-06+0.0010747i,-0.00034497+0.00072958i,-0.00037916+0.00012467i,-0.00040028+0.00033658i,-0.0002772+0.00056319i,-0.00011673+0.0006612i,-1.7044e-07+0.00082954i,0.00023609+0.00012247i,-5.9015e-05-3.6716e-05i
-0.00023094-0.00013026i,-0.00036768-0.0014286i,-0.0010766-0.0010334i,-0.00053021-0.00028714i,0.00033533-0.00032886i,0.0010669-0.00058725i,0.0017319-0.00019569i,0.00040564-0.00024467i,-0.00096487-0.00062966i,-0.00096628+0.00014883i,-0.00035762+0.00090948i,0.00015312+0.00021641i,-0.00024892-0.00051334i,-0.00049049+0.0002567i,-9.5869e-05+0.00077097i,-0.00034063+0.00039617i,-0.00094022+0.00064325i,-0.0010569+0.00093245i,-0.00029135-7.4891e-05i,0.00041384-0.00083157i,0.00013057-0.0011276i,-0.00015895-0.0011394i,-0.00011607-0.00075537i
-0.00023127+0.00022656i,-0.00068895-5.8141e-05i,-0.00065295+9.3157e-05i,-0.00025804+0.00064273i,-3.0561e-05+0.00012999i,-0.00030362-0.00094944i,-8.9213e-05-0.0011427i,-7.6377e-05-0.0013174i,-0.00066684-0.0011895i,-0.0011083-0.00076692i,-0.00058073-0.00047858i,-0.00044753+6.3345e-08i,-0.00020743+1.1285e-05i,0.00049855+0.00055879i,0.00063915+0.00118i,0.00026844+0.00061042i,5.3423e-05-3.7684e-05i,-0.00039492+0.00026456i,-0.00091239+0.00060562i,-0.00046659-0.00039386i,-0.00039238-0.00061363i,-0.000858+0.00016145i,-0.00057979+2.35e-05i
0.00056044-0.00064814i,0.00015709-0.0011527i,-0.00018899-0.0014781i,0.00023079-0.0015759i,0.0012545-0.0011257i,0.001133-0.00055791i,0.00012178-0.0010347i,-0.0012052-0.0012015i,-0.0020358-0.00042337i,-0.00087904+0.00049331i,9.3468e-05+0.0011332i,0.00021935+0.00088666i,-0.00036617+0.0004229i,-0.0005984+0.00063318i,-0.00033601+0.0013968i,-0.00059614+0.0015471i,-0.00075027+0.0010295i,-6.348e-05+0.00049293i,0.00011563+0.00097569i,-0.00047316+0.00065476i,-0.0012184-0.0006458i,-0.00097372-0.00020412i,-0.00026332+0.00050505i
-0.00042545-0.0011703i,-6.9934e-05-0.00087813i,0.00014247-0.00082791i,0.00084445-0.0015611i,0.0011861-0.0014195i,0.0012052-0.00087156i,0.0013805-0.00060629i,0.00032454-0.00101i,-0.00054601-0.0013239i,-0.00028101-0.0010903i,8.7844e-05-0.00022154i,0.00013562+0.00047208i,0.00014505+0.0010748i,0.00013643+0.0016401i,-1.2501e-05+0.00091749i,0.00028425+5.5507e-05i,0.001036-0.00051782i,0.00052748-0.00090023i,-0.00042396-0.00030042i,-0.00035083+0.00025657i,0.00010767+0.0001784i,-0.0001802-0.00016266i,-3.427e-05-0.00036727i
-0.00016541-0.00027259i,-0.00016355+0.00093714i,-0.0014342+0.0003527i,-0.00056787-0.00085457i,0.00028502-0.00063549i,0.00085745-1.3058e-05i,0.0012544-0.00073019i,0.00035699-0.00070586i,-0.00043048-2.5972e-05i,-0.00032494-0.00036067i,-0.00060497-0.00060501i,-0.00041635-0.00047425i,0.000222-0.00080645i,-0.0001254-0.00022217i,-0.00033515+0.00059534i,-0.00023557+0.00061906i,-4.6756e-06+0.00073725i,1.6506e-05+0.00050815i,-4.404e-05-0.00021191i,-5.7102e-05-0.00016712i,-9.0668e-05+0.00069462i,-0.00051034+0.00091823i,-0.00049961+0.00039375i
-0.00021294+0.0010881i,5.741e-06+0.00011671i,0.00047165-0.00086173i,0.00057862-0.00012238i,0.0014671+2.931e-05i,0.0021063-0.00057521i,0.0011339-0.00063219i,-3.8788e-05-0.00036795i,-0.00050717-0.00052549i,-0.00099896-0.00046827i,-0.0011348-0.00033811i,-0.00069272-7.7141e-06i,0.00020033+0.0010396i,0.00061303+0.0016212i,0.00017034+0.00092196i,0.00033595+0.000116i,0.0007307+8.7222e-05i,0.00045527+0.00044617i,0.00052401+0.00050333i,0.00067619+0.00022433i,3.6904e-05-0.00028821i,-0.00046866-0.00068352i,-0.00062181-0.00048835i
-0.00115-0.00078002i,-0.0010018-0.00094715i,1.5159e-05-0.00038102i,0.00076924-0.00051329i,0.0010055-0.0010072i,0.00093084-5.9447e-05i,0.00071505+2.3387e-05i,-0.0001343-0.0008508i,-0.001368-0.0019459i,-0.0010365-0.0015583i,-0.00024281-0.0004636i,-1.8271e-05-0.00025384i,0.00045927-0.00032442i,0.00076628-9.3817e-05i,0.00042942+0.00021387i,0.0004836-0.00058215i,0.00030454-0.00088606i,-0.00040457-0.0004063i,-0.00040013-0.00060326i,-1.7812e-05-0.00055347i,3.4573e-05-0.00063059i,0.00015057+3.8995e-05i,0.00023757+0.00088857i
0.00024694-0.00024226i,0.00024657-0.000116i,-0.00061155-4.1837e-05i,-0.00053738-0.00024043i,0.0002426-0.00019271i,0.00031163-0.00026523i,0.00026985-0.00091196i,-0.00015692-0.0012897i,-0.00057114-0.0012034i,-0.00086226-0.00072248i,-0.00064884+0.00027201i,0.00025118+0.001278i,0.00041699+0.0014516i,0.00029967+0.00099834i,0.00080459+0.00083813i,0.00063863+0.00056949i,0.00066938+9.1354e-05i,0.00057063+2.0647e-05i,-0.00032872-6.061e-05i,-0.0006201+0.00014656i,-0.00080126+0.00070348i,-0.000843+0.00045198i,-0.00044189-5.3578e-05i
