-0.0010836-0.00040206i,-0.001451-0.001207i,-0.0016427-0.0015112i,-0.0021446-0.0010477i,-0.0027289+5.0663e-06i,-0.0024347+0.0013044i,-0.0016239+0.0017838i,-0.00043774+0.001835i,0.00062665+0.0012894i,0.00037648-7.63e-05i,-0.00010574-0.00085135i,0.00035262-0.0009032i,0.00035027-0.00089452i,-1.0319e-05-0.0010347i,-0.00033238-0.00073892i,-0.00057138+8.5341e-05i,-0.00040057+3.4999e-05i,-0.00026022-0.00011077i,0.00042703+0.00047564i,0.001015+0.0004201i,0.00044525+0.00050474i,-0.00024688+0.00026697i,-0.00025765+0.00012392i
-0.00066806-0.0011681i,-0.00053787-0.0011154i,-0.0017281+3.9871e-05i,-0.0014258+0.00035224i,-0.0010302+0.00029701i,-0.00098861+0.00099508i,-0.00074706+0.0011201i,-0.00055369+0.00034862i,-0.00078642+5.5159e-05i,-0.00049845+9.1665e-06i,0.00068028+0.0003991i,0.000934+0.00041521i,0.0013441-0.00049488i,0.0018678-0.00095227i,0.0013163-0.00081855i,-7.1622e-05-0.0002142i,-0.0013185-0.00010075i,-0.0010611-7.2418e-05i,-0.00089651+0.00050288i,-0.0010044+0.00077711i,-0.00014339+0.00039735i,0.00073851+1.4186e-05i,0.00070469+7.0015e-05i
0.002909-0.0008598i,0.0026494-0.00049334i,0.0012865-0.0019759i,0.00019239-0.0024108i,-0.0010805-0.0012564i,-0.001789-2.5368e-05i,-0.0013621+0.00042543i,-0.00061016+0.00090275i,6.8285e-05+0.00089758i,-0.00042444+0.00022442i,-0.00093353-0.00015626i,-0.00060607+0.00034058i,-6.9087e-06+0.0010663i,0.00067255+0.001363i,0.00055772+0.0012966i,1.0469e-05+0.0012155i,-0.00042597+0.0012496i,-0.00070498+0.0014153i,-0.00030844+0.00083428i,-0.00059184+9.5342e-05i,-0.00070382-0.00032305i,-0.00040312-0.0010065i,-0.00027081-0.0008181i
-0.00053901+0.0026616i,-0.00014131+0.0022678i,0.0014143+0.0024108i,0.0022779+0.00054015i,0.0022658-0.00080866i,0.0013404-0.00061713i,0.0010789-0.00093053i,0.0014624-0.0010063i,0.0017701-0.00081134i,0.0018172-0.0005107i,0.0010645-0.00041643i,0.0010433-0.0006513i,0.00073652-0.0012961i,-0.00077352-0.0015122i,-0.0013336-0.001i,-0.00087779-0.00040241i,-0.00066701+0.00099744i,-0.00047554+0.001276i,-8.7594e-05-9.8979e-05i,-0.00011387-0.00037954i,-0.00023315+0.00073989i,-0.00042795+0.00017796i,-0.0011382-0.00086741i
0.00059406-0.0019877i,0.00011223-0.0014426i,-0.0018705-0.00098063i,-0.0026795-0.0012584i,-0.0029737-9.928e-05i,-0.0023646+0.00039624i,-0.0014752+7.1507e-05i,-0.00093184-0.00054331i,-0.00069132-0.00097549i,-0.00058196-0.0002247i,-0.00026508-0.0002613i,0.00075088-0.00021534i,0.0016344+0.00029514i,0.0016138-4.9332e-05i,0.0013275+0.00017978i,0.00072952+0.00078077i,0.00063124+0.00031855i,0.0010219-6.2499e-05i,0.00086001+0.00010494i,0.00055062+0.0005368i,-5.8525e-05+0.00069417i,-0.00047256+0.00047456i,-2.5659e-05-3.4566e-05i
0.0025816-0.0017009i,0.0011565-0.00176i,0.00013393-0.0031908i,-0.0013903-0.0032281i,-0.0023067-0.0021463i,-0.0011228-0.0012211i,0.00088504-0.0010737i,0.0018519-0.0002759i,0.00082187+0.00055486i,-0.00013472+0.00014808i,-0.00068339-0.00058973i,-8.4336e-05-0.00018282i,0.00097136+0.00016959i,0.0013018+0.00062692i,0.00089877+0.0015849i,0.00043866+0.0013011i,0.00074079+0.00020476i,0.0010464-0.00045942i,0.00068605-1.4299e-05i,0.00039308+1.0564e-05i,-0.00029384-0.00081033i,-0.00073163-0.0013211i,-0.0004035-0.00049385i
0.0010888+4.527e-05i,0.0013932+9.4995e-05i,0.0014545-0.0012292i,0.00051649-0.0018053i,-0.0016076-0.0016202i,-0.0027704-0.0013057i,-0.0019668-0.00057584i,-0.00028153-0.00014816i,0.00047941+0.00011311i,-0.00039244+2.2381e-05i,-0.00035735-0.0001796i,0.00019754-0.00063677i,0.00050368-0.0011728i,0.00092226-0.00050265i,0.00070612+0.00040493i,0.00040214+0.00057882i,0.00017801+0.000308i,-0.00035845-0.00051403i,-0.00092528-0.00062597i,-0.00096089-0.00047953i,-0.00057395-0.00057585i,-0.00019159-0.0006546i,-0.00036455-0.00039254i
-0.00070275-0.00078858i,-0.00071602+0.00027503i,-0.0013373+0.00081907i,-0.0008245+0.00084935i,-0.00048185+0.0010723i,0.00015804+0.0012816i,0.00037019+0.00064462i,8.658e-05-0.00027218i,0.00080709-0.00033178i,0.00087198-0.00013905i,0.00085783-0.00019109i,0.0016597-0.0001923i,0.0016152-0.00084103i,0.00097762-0.0015422i,0.00083667-0.0014282i,0.001486-0.00058351i,0.0012633-1.7234e-05i,0.00015426+0.00072962i,-0.0010159+0.0011224i,-0.0014211+0.00099528i,-0.00055946+0.00039423i,0.00014382+0.000463i,-0.00015838+0.0015513i
0.0011416+0.00088948i,8.6777e-05-0.00046297i,0.00017451-0.0013149i,0.00053747-0.0020439i,0.00020349-0.0025193i,-0.00012024-0.0019796i,-0.00051475-0.00096295i,-0.0005284-0.00043149i,1.4895e-05-0.00067448i,0.00065872-0.00056674i,0.00080964+0.00025796i,0.0005355+0.001056i,0.00019814+0.00069255i,-8.8046e-05+0.00036316i,0.00030056+0.00014566i,-0.00011815-0.00063792i,-0.00071909-0.00076597i,4.5001e-05-6.1902e-05i,0.00011298+0.00050477i,-0.00043225-6.9316e-05i,0.00036296-0.0001548i,0.00055173+9.8632e-05i,-0.0001799-0.00021603i
-0.0014123+0.00040307i,-0.0004539+0.00095818i,0.00033141+0.0026767i,0.0009213+0.0031134i,-6.9019e-05+0.0012492i,-0.00026056+0.00016924i,0.00013511-8.0149e-05i,0.00018208-8.7968e-05i,-0.00015812+0.00062341i,-9.0177e-05+0.00043768i,6.4438e-05+0.00010488i,0.00045705-0.00015606i,0.00046853-0.0011833i,-6.6713e-05-0.0011646i,-0.00029638-0.00042969i,6.7085e-05-0.00062285i,0.00014613-0.00099267i,-0.00053564-0.00030707i,-0.00033993+0.00038473i,0.0002047+0.00019717i,0.00070121-0.00026233i,0.0011812-0.00086205i,0.00030421-0.00065987i
-0.0010747-0.00086519i,-0.0013352+0.00059038i,-0.0017709+0.00055755i,-0.0011416+0.00017625i,-0.00028384-0.00010141i,0.00040124+6.3063e-05i,0.00068015+4.4725e-05i,0.00066054-0.00027578i,0.00081608+0.00040534i,0.00040864+0.00040739i,0.00022199-0.00044909i,0.0012633-0.00049947i,0.0020158-0.00039318i,0.0017896-0.00073399i,0.00059824-0.00043915i,-0.00021409-0.00040431i,-1.8301e-05-0.00028073i,2.1739e-05-0.00031396i,-0.00034506-0.00042226i,7.8408e-05+0.00018533i,0.00042488+0.00014304i,-0.00025855+0.00011594i,-0.00066529+9.3035e-05i
0.00043517-0.00023605i,0.00063916-0.00071587i,0.00059022-0.001893i,0.00066154-0.0021404i,0.00030453-0.0010986i,-0.00030797+0.00072129i,-0.00026724+0.00084957i,0.00065367+6.3148e-05i,0.001179+3.6724e-05i,0.0013135+0.00016534i,0.00097482-0.00019257i,0.00036635-0.00066846i,0.00020794-0.00055981i,0.00073104+0.00022756i,0.0012319+0.00065479i,0.00060161+0.00048592i,-0.00030784-1.6802e-05i,-0.0010851-0.00016534i,-0.0016983+0.00034808i,-0.0017803+0.00062521i,-0.0016595+0.00026009i,-0.0011892-1.6829e-05i,-0.00025822-0.00043419i
0.00049013+0.00088929i,0.0014777+0.001073i,0.0013627+0.0011355i,0.0016884+0.00033459i,0.0017082-4.6532e-05i,0.001008-0.00034374i,0.00045009-0.00044901i,5.6802e-05+0.00022687i,0.00089629+0.00015564i,0.00068738-0.00060082i,-0.00020309-0.00092966i,0.00010193-0.00034927i,0.00014716-0.00056408i,-5.3466e-05-0.0011801i,-0.00012576-0.00068337i,-0.00035446-0.00018033i,-0.00083087+0.0003031i,-0.0010705+0.00081809i,-0.00033891+0.00026782i,0.00015526+0.00062278i,-0.00062527+0.00025862i,-0.0013514-0.0014552i,-0.00081069-0.0014994i
-0.0006379-0.00051047i,-0.00172-0.00054771i,-0.0024966-0.0001717i,-0.0021741+0.00057734i,-0.0026639+0.00022371i,-0.0021398-0.00065541i,-0.0010069-0.00018227i,-0.00018142+0.00031053i,0.00047047-0.0001962i,0.00072859-0.00034606i,0.0010334-0.00025215i,0.0012558+9.8893e-05i,0.0013508-0.00015063i,0.0013188-0.00024152i,0.00084661+0.00017419i,0.00071625+0.00013949i,0.00066708-1.4057e-05i,-6.3403e-05+0.00017758i,8.2466e-05+0.00062849i,0.00048302+0.00041195i,0.00069197-0.00087418i,0.00058852-0.0014207i,0.00011872-0.0010744i
0.0013896+0.0014699i,0.0013268+0.0005311i,0.00051693+0.00088837i,-7.4665e-05+0.00054163i,-0.00037577-0.00012019i,-0.00052588+0.00025009i,-0.0012751+0.00015501i,-0.0010751-0.00055131i,-1.67e-05-0.0010304i,0.00061375-0.00063525i,0.00083718+5.0768e-05i,0.00026224+1.2373e-05i,0.00038968-0.00021218i,0.001199+2.565e-05i,0.00071156+4.4773e-05i,-0.00054351+6.4625e-05i,-0.00077806-9.264e-05i,-0.00017229-0.00032447i,-0.00055277+0.00036081i,-0.00082196+0.0014177i,-0.00013361+0.0014269i,-4.5421e-05+0.00073613i,5.9134e-05+0.00023455i
0.0001942+0.0010534i,0.00073289+0.00055626i,0.00042378+0.0016518i,0.00029342+0.00084051i,0.00070563-0.00062455i,0.00013899-0.00050794i,-0.00085867-0.00060995i,-0.00061002-5.8469e-05i,1.3186e-05+0.00067698i,8.3517e-05+0.0003178i,0.00029939-1.6659e-05i,6.6871e-05-0.00012433i,4.6647e-07-0.00017798i,-0.00039996-2.136e-05i,-0.00049173+0.00038796i,-7.851e-05+0.00053674i,0.00010548+4.4078e-05i,0.00047908-0.00046587i,0.00080562-0.00096024i,0.00049917-0.0010662i,-0.0003073-0.00042136i,-0.00035387-0.00014822i,0.00026843-0.00013928i
8.1883e-05-0.0017279i,-0.0012592-0.0019969i,-0.001925-0.00089069i,-0.0021009+0.00016175i,-0.0013111+0.00041973i,-0.00043318+0.00076684i,1.4151e-05+0.00089181i,0.0003063+0.0003816i,0.00048221+0.000556i,0.00061095+0.0011312i,0.0011077+0.00019545i,0.001468-0.0002474i,0.0010845+0.00033299i,0.00059851+0.00030934i,0.00091725-0.00016519i,0.0011907-0.00051086i,0.00054073+7.7045e-05i,-0.00048675+0.00062857i,-0.00051945+0.00070609i,5.2329e-05+0.00029757i,0.00059375-0.00023766i,0.00044307+0.00037802i,-0.00018882+0.0010404i
0.00039957+0.0011209i,0.00077398+0.0011931i,0.0014907+0.0017314i,0.0027324+0.00085046i,0.0014409-0.00049294i,0.00048693-0.0013661i,0.00031292-0.0010059i,-0.00019836-0.00018801i,-0.00027346+6.5852e-05i,0.0002804+0.00050837i,0.00066295-2.3322e-05i,0.00052454-0.00059875i,0.00073005-0.00056063i,0.0014965-0.00043681i,0.0012334+0.00010309i,0.00091557+0.00023853i,0.00094219+0.00032497i,0.00014792+0.00065158i,-0.001118+0.00086401i,-0.0012303+0.00032455i,-0.00044203-0.00082851i,0.00018662-0.0010652i,0.00063622-0.00047919i
-0.0022351+0.0015463i,-0.0024803+0.0011018i,-0.0022509+0.0017355i,-0.0013797+0.0018638i,3.6848e-05+0.0010189i,0.00049903+0.00034i,-0.00021454+8.7886e-05i,-0.00027206+4.6836e-05i,0.00025566+0.00022227i,0.00093816+5.6153e-05i,0.0014449-0.00024993i,0.0012141-0.00012383i,0.00060512-0.00031178i,0.0004498-0.00092485i,0.00049195-0.0010324i,-0.00015116-0.00040825i,-0.00034145-0.00028947i,-0.00055009+0.00029365i,-0.0011169+0.0013442i,-5.5504e-05+0.0011414i,0.0011366-0.00017553i,0.00074349-0.00040145i,-0.00015362-0.00013083i
0.0004485-0.00035779i,0.00096397-0.00030518i,0.0011216-0.0012045i,0.00083595-0.0019172i,0.00034889-0.0012353i,0.00052494-0.00017363i,0.00026725+0.00037948i,1.0366e-06-0.00023457i,0.00052919-0.0007213i,0.00081553-0.00086531i,0.00061479-0.00011504i,0.00095839+0.00021394i,0.0016957-0.00076072i,0.0017004-0.001013i,0.0011798-0.00044331i,0.00054833+4.2698e-05i,0.00047602+0.00056491i,0.00058815+0.00096893i,0.00063912+0.00056173i,0.0006759-0.00023881i,0.00071625-0.0015955i,0.00091886-0.0015209i,1.3307e-05+0.00028379i
-0.0014256+0.00086587i,-0.0015833+0.002353i,-0.00085253+0.0031892i,-0.00077798+0.0024228i,-0.0014898+0.00039851i,-0.0010507-0.00099823i,-0.00054725-0.0014987i,-0.00078681-0.00059136i,-0.00055926+1.1259e-05i,-6.2038e-05-0.00039175i,0.00025671-9.0502e-05i,0.00058578-0.00010559i,0.0011768+0.00018022i,0.00141+0.00050472i,0.0014694+0.00072944i,0.00086212+0.00088697i,3.1131e-05+0.00060861i,-0.00021141+0.00073379i,-0.00025652+0.00049446i,-0.00037016+8.4322e-05i,-4.5886e-05+7.6423e-05i,0.00010341-8.6049e-05i,0.00031909+0.00031078i
-0.0023092+0.0021958i,-0.0017149+0.0012304i,-0.0012553+0.0011701i,-0.00060262+0.00076962i,0.00075843+0.00010855i,0.0010236-0.0003631i,0.00099209+7.0292e-05i,0.00015282-0.00025934i,-0.00060402-0.00098088i,-8.1787e-05-0.00030062i,0.00057093-0.00015029i,9.5317e-05-0.00043386i,-2.6541e-05-0.00058653i,-0.00029258-0.00084084i,-0.00050135-0.00094035i,0.0002033-0.00090204i,-0.00010786-0.00063524i,-0.00092554-0.00010968i,-0.001117+0.00058808i,-0.00098697+0.00022043i,-0.0002724-8.7459e-05i,0.00064108+0.0002561i,0.0011001-0.00045179i
0.0021054+0.00089456i,0.0023672-0.0005792i,0.0024051-0.0011559i,0.0010009-0.0015148i,-0.00091813-0.001207i,-0.00082536-0.0010739i,3.1997e-05-0.0011263i,0.00037843-0.00052739i,0.00059783+0.00016074i,0.00011622+0.00077335i,-0.00021646+0.00060309i,0.00051486-0.00042793i,0.000732-0.0010162i,0.0008418-0.00040305i,0.00080608-0.00040812i,0.00054938-0.00031911i,0.00062465+7.3723e-05i,0.00059166-0.0012829i,0.00027905-0.0020884i,0.00034876-0.00073561i,0.00074832+0.00050322i,0.0010192+0.00084907i,0.00079086+0.00087433i
-0.00076368+0.00013373i,-0.00024434-0.00027077i,-7.1811e-05+0.00063405i,-2.2033e-05+0.0009871i,9.0786e-06+4.0587e-05i,-0.00052226-0.00051771i,-0.00059014-0.00086345i,-0.00077225-0.0007675i,-0.00032957-5.6242e-05i,0.0007161+0.00018681i,0.00063816+0.00016398i,-0.00018539+0.00030701i,0.00047058+0.00014759i,0.0018047+2.8859e-05i,0.0019951+2.8025e-05i,0.00088889+0.00021087i,0.00072415+0.00064488i,0.00045268+0.00081032i,-0.00027362+0.00029801i,-0.00047334-2.1052e-06i,-8.1596e-05-0.00013212i,-0.0001764-0.00040152i,-0.0001931-0.00091182i
-0.00092668+0.0017451i,-0.00020908+0.0011447i,0.00032251+0.00095032i,0.00010862+1.7407e-05i,-0.00030501-0.00029109i,-0.00021034-0.00030277i,2.8838e-06-0.0012791i,0.00036648-0.0012685i,0.00072083-0.00042789i,0.0014928-0.00058255i,0.0024793-0.00068814i,0.0028986+0.00024645i,0.0019552-3.9503e-05i,0.00070026-0.0012263i,-0.0001993-0.00052147i,-0.00011697+0.00039697i,0.00088138+0.00021342i,0.00044405+0.00011386i,-0.00026587+0.00010826i,-0.00080377+5.1504e-05i,-0.0010076-0.00010709i,-0.00037117-0.00045043i,0.00076746-0.00081174i
-0.0033877-0.0010251i,-0.0018793-0.00010922i,-0.0011566+0.0015692i,-0.00044212+0.0020887i,0.00083638+0.0015769i,0.0010972+0.0010788i,0.0004095+0.00039868i,0.00033709-0.00040534i,-0.0004185-0.001291i,-0.00061623-0.0015491i,0.00062315-0.00047603i,0.0013072+5.2976e-05i,0.0015575+0.00032999i,0.0013941+0.00025571i,0.00097499+0.0004787i,0.0010094+0.00054332i,0.00067052-2.8568e-05i,-4.2299e-05+0.00011268i,-0.00031594+0.00072309i,-0.0002216+0.000602i,-0.00048666-0.00014392i,-0.0003159-0.00024991i,0.00038866+0.00027148i
-0.00067499-7.1459e-05i,-0.00033279+9.8805e-06i,-0.0014953+0.00020578i,-0.0015069+0.00018278i,-0.00076568-0.00045541i,-0.00034777-0.00097156i,0.00042497-0.00077173i,0.00070977-0.00011769i,0.00064604+0.00060805i,0.00044505+0.00014311i,0.00038913-0.00021876i,0.001513-8.125e-05i,0.0019844-0.00053247i,0.0019467-0.00058186i,0.0014231+0.00033332i,0.00063424+0.00093373i,0.00020867+0.0011789i,1.4145e-05+0.001472i,-0.00010971+0.0018224i,0.0003557+0.0010033i,0.00098106+0.00029678i,0.00028398+0.00021097i,-0.00050934+8.4007e-05i
-0.00080771+0.00248i,0.00010511+0.002727i,0.00069955+0.0020739i,0.0017019+0.0010836i,0.0025075+0.00057544i,0.001479+7.1799e-05i,-1.7326e-05-0.00014079i,5.8585e-06-0.00021806i,0.00046423-0.0001906i,8.9008e-07+0.00047971i,-0.0008006+0.00071884i,-0.00070156-0.0002673i,-0.00018769-0.0010991i,-0.00079534-0.00035867i,-0.00067496-0.00066228i,0.00055589-0.0017869i,0.00082537-0.001134i,-0.00065335-2.7028e-05i,-0.00093105+0.00029748i,0.00026999+0.00028809i,0.00076449+0.00022036i,0.00056659-0.00039325i,0.00049291-0.00018068i
-0.0023001+0.001526i,-0.0026976+0.0020848i,-0.0015449+0.0032529i,-0.0004382+0.0023567i,-0.00031822+0.00072201i,-0.00030334+0.00010931i,-0.00065745-0.00036657i,-0.00010645-7.1473e-05i,0.0011866+0.00029238i,0.0016486+0.00096586i,0.0017508+0.0016122i,0.0018119+0.00099401i,0.00088448+0.0004354i,-0.00011128-0.00014191i,-8.3049e-05-0.00076824i,0.00048626-0.00085346i,0.00031208-0.00041371i,0.00021657-0.00026803i,0.00039803-3.6832e-05i,0.00015925+0.00093432i,0.00010899+0.0012539i,0.00061465+0.00068415i,0.00042502-0.00026693i
0.0011657-0.00041085i,0.0010395-0.0018994i,-1.691e-05-0.0030961i,-0.00011439-0.0016247i,-7.8065e-05-0.00060981i,-0.00059133-0.00027311i,-0.0008476-2.1883e-06i,-0.00039629-0.00040538i,0.0010917-0.00047473i,0.0021944-0.0010829i,0.0019223-0.0014888i,0.0017168-0.00077972i,0.0010429+0.00024153i,0.0004084+0.00091813i,1.2886e-08+0.00067366i,-0.00048954+7.5774e-05i,-0.00021653-0.0002491i,-0.00022704-1.8161e-05i,-0.00028089+0.00050708i,0.00023547+0.00054778i,0.00036422-0.00030591i,0.00045752-0.00088966i,0.00083803-0.00055497i
-0.0017348+0.0031992i,0.00073308+0.0030826i,0.0033878+0.0034093i,0.0034535+0.0022098i,0.0020245+0.00020705i,0.00034475-0.00082431i,-9.6895e-05-0.0011256i,0.00067185-0.00056398i,0.00061016-0.00017193i,0.00056948-0.0002164i,0.00080414-0.00053136i,0.00089879-0.0011511i,0.0010282-0.00090724i,0.00060457-0.000479i,6.7868e-05-9.7953e-05i,-0.00025839+0.00057288i,-0.0011474+0.0004968i,-0.0017264+0.00018489i,-0.0016693+1.4192e-05i,-0.00064199-0.00025918i,0.00038931-0.00034397i,0.00034926-0.00033217i,0.00021893-0.00012508i
0.0031403-0.0012581i,0.0022155-0.0014324i,0.0012505-0.0022044i,0.00013128-0.0020524i,-0.00047133-0.0011585i,-0.00064447-0.0006012i,0.0001056-0.00048385i,0.00010639+0.00015468i,-0.00029677-0.00020753i,-0.00082129-0.0014577i,-0.00089399-0.001335i,2.6787e-05-0.00094996i,0.00055861-0.00046271i,0.00072849+5.1017e-05i,0.0012471+0.0006989i,0.0011708+0.0011002i,0.00063747+0.00093603i,2.7776e-05+0.001333i,-0.00055549+0.0012361i,-0.000832+0.00066701i,-0.00043117+0.0010201i,0.00029561+0.0011091i,0.00059323+0.00089958i
0.0013357-0.0012565i,0.00090634-0.0018208i,0.00012236-0.0035191i,-0.0011894-0.0041354i,-0.0018538-0.0030856i,-0.0012439-0.0016122i,-0.00064034-0.00055378i,-0.000716-0.00037995i,-0.00033753-0.00035898i,-0.00040851+0.00017779i,-0.00094761+0.00028961i,-0.00089783+0.00018437i,-1.4538e-06+0.00028491i,0.00099514+0.0003825i,0.0013462+0.00043974i,0.0011967+5.6327e-05i,0.001022-8.0025e-05i,0.00070796+0.00082919i,-0.00014825+0.001752i,-0.0003516+0.0013433i,-0.00035957+0.00060643i,-0.00090775+0.00027419i,-0.00033561+0.00026097i
-0.0021079-0.00029859i,-0.0011593-0.00034519i,-0.00035223+0.00047739i,-0.00045283+0.00081057i,-0.00030598+0.00056541i,-0.00036784+0.00019335i,-0.00026053+0.00013924i,4.0941e-05+0.00030283i,-0.00058614+0.0011492i,-0.0014707+0.001993i,-0.00081319+0.0015199i,0.00030462+0.00058774i,0.0010295-0.00033718i,0.0013231-0.00071396i,0.0001718-0.00071575i,-0.00068486-0.0011787i,-3.4738e-05-0.0013461i,0.00042805-0.00065417i,0.0002938-0.00031303i,-2.5377e-05-0.00047309i,0.00066453-0.00060982i,0.0010635-0.00070857i,-0.00019976-0.00080776i
-0.0011263-0.0023981i,-0.00094091-0.002266i,-0.0031636-0.0020545i,-0.0040348-0.00061496i,-0.0018664+0.00048297i,0.00020906+0.00070448i,0.00056743+0.00044083i,0.00011125-0.00038559i,0.00037013-0.0010355i,0.00083977-0.00029257i,0.0011149+0.00050954i,0.0012647+0.00056268i,0.0009166-0.0001022i,0.00084893-0.00067693i,0.00123-0.00030876i,0.001142+0.00020121i,1.1903e-05+0.00010788i,-0.00025216+0.00017212i,5.8062e-05+0.00024799i,0.00039449-0.00043538i,0.0008077-0.00026206i,0.0011006-4.9977e-05i,0.0015437-8.2529e-05i
-0.00039984+0.0014238i,-0.0003431+0.00069522i,0.00035156+5.9935e-05i,0.0012953-0.000692i,0.00038377+1.5229e-05i,-0.0011896+2.79e-05i,-0.00138-0.00059634i,-0.0012216-0.0010003i,-0.00071432-0.0010391i,0.0008371-0.00032408i,0.0012303-0.00049666i,0.0011513-0.00062717i,0.0013802+0.00014394i,0.00040163+0.00038687i,-0.00072749+0.00054517i,-0.00075137+0.00076015i,-0.00067072+0.00054144i,-0.00080249+0.00077248i,-0.0010373+0.00025214i,-0.0011808-0.000688i,0.00017701-0.00031819i,0.00062473-0.00029559i,-0.00017276-0.00050491i
-0.0019337-0.0013859i,-0.0012275-0.00024862i,-0.0014169+0.0011139i,-0.00124+0.001443i,-0.00015634+0.00096111i,0.00071686+0.00076622i,2.2858e-06+0.0003066i,0.00011077-9.2182e-05i,2.1826e-05-0.00013912i,-0.00082793-2.607e-05i,-0.00045729-0.00029734i,-5.3069e-06-0.00095101i,0.00046935-0.0014889i,0.00077344-0.00081438i,0.00057985-0.00014921i,0.00062136-0.00077307i,0.00064927-0.00098414i,0.00029031-0.00057421i,-0.00067627-0.00014732i,-0.00086732+0.00048002i,3.2839e-05+0.00051718i,0.00016136+2.4409e-05i,-4.7347e-05-0.00012318i
0.0019526+0.0017378i,0.00073815+0.00086113i,0.00026136+0.00057341i,0.00024106-0.0004718i,-0.00016683-0.0014409i,-0.00046222-0.0011577i,-0.00061449-0.00013774i,-1.3057e-05+0.00013473i,0.00075199-0.00017489i,0.00091685-0.00060453i,0.0010073-0.00056435i,0.00037229+6.076e-05i,0.00012305+0.00042369i,0.00065854+0.00027i,0.0011165-3.3425e-05i,0.00054836+0.00015732i,7.6965e-05+0.00012872i,7.5688e-05+0.00043961i,-0.00036118+0.00039561i,-0.00042102-0.0004391i,-0.00050532-0.00052218i,-0.00034421+1.8764e-05i,-0.00024331+0.00016963i
0.0021211-0.0010265i,0.0019962-0.0012132i,0.0020918-0.0019561i,0.0015666-0.0013232i,0.00025672-0.00098704i,-0.00033437+0.00019507i,-2.8815e-05+0.0013548i,0.000146+0.0010743i,0.00027342+0.00021187i,-2.1464e-05-0.00085112i,-0.00014756-0.00068922i,0.0005662-1.5742e-05i,0.0012368-0.000343i,0.00075885-5.1318e-05i,0.00042423+0.00041797i,0.00024016+0.00027289i,-0.00019152+0.00021516i,0.00016764+0.00020551i,0.00069447-0.00026915i,0.00019063-0.00016093i,-0.00040188-6.6054e-05i,4.9868e-05-0.00010428i,0.00049255+0.00099471i
0.0011694-0.0026397i,0.0011842-0.002261i,0.00085829-0.002708i,-5.808e-05-0.0028617i,-0.0011471-0.0026182i,-0.0013104-0.0013034i,-0.00026142-0.00095131i,0.00043843-0.0010201i,-1.4226e-05-0.0013572i,-0.00048343-0.0018534i,-0.00018135-0.00090124i,0.00028099-9.8811e-05i,0.0008874+0.00060478i,0.00048823+0.0011899i,-0.00033772+0.00045039i,0.00020214-0.00014443i,-0.00027861-7.215e-05i,-0.001527-0.00072905i,-0.0012654-0.0012529i,-0.00095869-0.00077023i,-0.00082246+3.2466e-05i,-0.00040955+0.00011115i,-0.0004979-0.00059062i
0.00084867+0.00055218i,0.00023079-0.00033442i,0.0015975-0.00084834i,0.0027898-0.00071638i,0.002041-0.0017581i,0.0001236-0.0018009i,-0.00076941-0.00060499i,-0.00096782-0.00025054i,-0.00062033-0.00076858i,0.00057934-0.00096097i,0.0015056-0.00056946i,0.0018819-0.00072696i,0.0017874-0.0014455i,0.0014719-0.0010796i,0.0013971+0.00093545i,0.0013865+0.0020678i,0.00054113+0.0014507i,-0.00087891+0.0011533i,-0.0010423+0.00079361i,-0.00089774-0.00040525i,-0.00047683-0.00094415i,0.00029632-0.00069804i,3.5484e-05-0.00064608i
0.0022444-0.00076573i,0.002129-0.00067572i,0.0013895-0.00090251i,-0.0010069-0.0013609i,-0.0029259-0.0011106i,-0.0026031+0.00013104i,-0.0010899+0.00098358i,0.00048591+0.00060678i,0.00031969+0.00032258i,-0.00042358+2.8596e-05i,8.6708e-05-0.00041898i,0.00055438-0.00043695i,0.00081423-2.7968e-05i,0.0012698+0.00095603i,0.00058255+0.0011446i,0.00014658+0.00022586i,-4.5138e-05+0.00032483i,-0.00041144+0.001026i,-0.00056314+0.00081222i,-0.00033918+0.00062179i,-0.00010615+0.00058536i,-8.1918e-05+1.8438e-05i,0.00034084+0.00048512i
-0.00029052-0.0010299i,-0.00061775-0.00090463i,-0.00086405-0.0012478i,-0.0011574-0.0011217i,-0.0011957-0.00080388i,-0.00078435-0.00022405i,6.9707e-05+0.00087704i,0.00089668+0.0011694i,0.0011309+0.00095953i,0.0012332+0.00055856i,0.0011901+0.00032695i,0.0010839+0.00034075i,0.0011476+0.00034279i,0.0012492+0.00015278i,0.00067174-0.00050125i,9.464e-05-0.00063382i,-0.00032094-0.00043016i,-0.00012613-0.00026616i,9.7093e-05+0.00013251i,7.7061e-05+0.00042776i,-0.00014863+5.5262e-05i,-0.00045427-0.00060109i,-0.00031951-0.00069819i
-0.0032339-9.2176e-05i,-0.003052+0.00014875i,-0.0036712+0.00079518i,-0.0027855+0.0010969i,-0.0012036+0.0012859i,0.00039462+0.00081477i,0.0014203-0.0001222i,0.0014088-0.00026912i,0.0005967+0.0003128i,-0.00013884+0.00048851i,0.00018983+0.00088279i,0.00054933+0.00082243i,0.00086964+6.7423e-05i,0.00090916-0.00054972i,0.00041937-0.0013304i,0.00046771-0.0010184i,0.00036763-0.00065784i,0.00060325-0.00052046i,0.00085774-0.00043448i,0.00061138-0.00062676i,-0.00021194-0.00043697i,-0.00077718+4.5239e-05i,-0.0003782+0.00010365i
