0.00033398+0.00021691i,0.0010652+0.00045578i,0.00089494+0.0009559i,0.00011398-0.00014329i,-0.00098375-0.00017382i,-0.00086553+0.0011317i,-0.00014546+0.0012126i,0.001042+0.0015598i,0.0016893+0.0013927i,0.0015599+0.00062785i,0.0017391+0.00038485i,0.0011038+0.00011352i,-0.0001042-5.4705e-05i,-0.00068322-0.00030311i,-0.0006528-0.00057051i,-0.00052706-0.0002091i,-0.00078001+0.00039788i,-0.00065082+0.00072472i,1.395e-05+0.00080472i,6.5743e-05+0.00054941i,-0.00054019+0.00018139i,-0.00079314-0.00041488i,-0.00071886-0.00038637i
-0.00035207-0.0011635i,0.00017294-0.00060185i,0.00014942-0.00090592i,-0.00076638-0.0016098i,-0.0011936-0.0012473i,-0.0006797-0.0010215i,1.3288e-05-0.0010678i,3.4534e-05-0.00053167i,5.3276e-05+8.602e-05i,0.00040265+0.00028778i,0.00031224+0.00084992i,2.1091e-06+0.0012758i,-0.00016986+0.0012423i,4.5234e-05+0.00082933i,0.0005812+0.00051142i,0.00046782+0.00044879i,0.00019682-8.0562e-06i,0.00033517+0.00017038i,0.0002469+0.00047254i,-8.7223e-05+0.00027263i,-0.00028378+0.00011879i,0.00022829+0.00037367i,-4.4502e-05+0.00039681i
-0.00042958-0.0022121i,0.00068826-0.0012649i,0.00014683-0.0018454i,-0.00058145-0.0022113i,-0.0015451-0.0017291i,-0.0018108-0.0014826i,-0.00083435-0.0011706i,-0.00038686-0.00012525i,-0.0005922+0.0010585i,-0.00082149+0.0013712i,-0.00035637+0.00088022i,-7.0693e-05+0.00031228i,0.00021915-1.8772e-05i,0.00088772-0.00014499i,1.1074e-05+0.00034493i,-2.3415e-05+0.00073353i,0.00040605+0.0007065i,-3.7738e-05+0.00024226i,0.00023438-0.00050535i,0.0014739-0.00071593i,0.0015132-0.00028008i,0.00046969-0.00026784i,0.00035635-0.00013098i
-0.00036453-0.00035685i,0.00072643-0.00064723i,9.5935e-07-0.0011308i,-0.00042759-0.0016005i,-0.00095262-0.0011656i,-0.0010705-0.00037273i,-0.00069411+0.00025507i,-0.00099934+0.0004978i,-0.00099478+0.0010122i,-0.00030989+0.0010682i,0.00034617+0.00044658i,0.0013386-0.00029751i,0.0011211-0.00028876i,0.00034173+1.5444e-05i,0.00030162+7.9036e-05i,0.0011456+4.0621e-05i,0.0014514+0.00058848i,0.00088451+0.00098817i,0.00076617+0.00043604i,0.00036297-5.0609e-05i,0.00012753-0.00036363i,-0.00023133-0.0007179i,6.2473e-05-0.00052032i
0.0017161-0.0014024i,0.00087965-0.0012881i,-0.0003617-0.0013089i,-0.0012305-0.0027621i,-0.0012669-0.0026279i,-0.0008631-0.0011599i,-0.00043287-9.6331e-05i,-0.00018749+0.00070201i,0.0002248+0.00047707i,5.6427e-05+0.00019923i,-0.00065023+4.0888e-05i,-0.00013422+0.00023977i,0.00075306+0.00017451i,0.0013781-0.00024698i,0.0012768-0.0004751i,0.0010563-0.00050293i,0.00091658-0.0003405i,3.721e-05-0.00028082i,-0.00024499-0.00021344i,5.1241e-05+0.00023895i,-0.00014254+0.00040791i,-0.00038605+0.00019585i,-0.0003232+0.00018651i
0.0010018+0.00031936i,0.0015004+0.00072293i,0.0016858+0.00055254i,0.0013119-0.001228i,3.9054e-05-0.0027372i,-0.00097692-0.0020091i,-0.0011023-0.00051778i,-0.00073446+0.00029743i,-0.00028964+0.00014967i,-0.00011536-0.0004247i,0.00037428-8.8706e-05i,0.00062979+0.00068962i,0.00060257+0.00093889i,0.00052831+0.00063889i,-1.4333e-05-0.00034068i,-0.00040499-0.00073609i,-0.00030183-0.0007363i,5.0155e-05-0.00038204i,-8.8326e-05+0.00028414i,-0.00027753+0.00049976i,-0.00019585+0.00054492i,1.8214e-05-8.6151e-05i,-0.00046357-8.0803e-05i
3.6048e-05+0.0018678i,-0.00018574+0.0004843i,0.0011852-0.00095477i,0.001051-0.002172i,-0.00078132-0.0028292i,-0.0013588-0.0023214i,-0.0010385-0.00099791i,-0.00093196+2.0701e-07i,-0.00016836+0.00016229i,0.00063631-0.00034696i,0.00040836-0.00032199i,-0.00031431-5.9955e-05i,-0.00056336-0.00041169i,-0.00039385-5.1736e-06i,6.8726e-05+0.0011526i,0.00049621+0.001532i,0.00064246+0.0014396i,0.00036609+0.0007699i,-4.9004e-05+3.8342e-05i,0.00048368+0.00015307i,0.00014461+0.00064153i,-0.00044636+0.00071687i,-0.00011249+0.00018358i
-0.00048991+0.00032445i,0.00033377-0.00031806i,0.00010374-1.2884e-05i,0.0001865-0.00023876i,0.0001651-0.0010767i,-0.00044885-0.0012711i,-0.00063745-0.00018889i,-7.2019e-06+0.00077812i,-2.552e-05+0.00063072i,-7.432e-05+0.0010662i,-0.00024763+0.0018925i,-0.00017238+0.0012724i,0.00012521-2.5156e-05i,0.00054584+5.4059e-05i,0.0001833+0.0007657i,-0.0003691+0.00046161i,5.5739e-05-7.7598e-05i,0.0010675+1.6583e-05i,0.0014346-0.00018255i,0.0010578-0.00090671i,0.00071466-0.00095385i,6.9227e-05-0.00042477i,-0.00018406-8.8024e-05i
0.00075652-6.4201e-05i,0.0012868+0.0011109i,0.00058958+0.00059241i,-0.00022112-0.0006536i,-0.00076924-0.00068307i,-0.001273+0.00032103i,-0.0014237+0.0016765i,-0.0013293+0.0020689i,-0.0012141+0.0023508i,-0.0010827+0.0023576i,-0.00056574+0.0012709i,-0.00027754+0.00019284i,0.00036016-4.5643e-05i,0.00074658+0.00037751i,0.0007022+0.0005123i,0.00040345+0.00066178i,0.00020624+0.000939i,0.00077164+0.00081166i,0.00058652+0.00052585i,0.00035997+5.3695e-05i,0.00091931+0.00017938i,0.00081844+0.00037433i,0.00080043-2.5446e-05i
-8.3937e-05+0.0022403i,0.0014096+0.0010309i,0.0023811-4.7466e-05i,0.001795-0.0012209i,0.00049616-0.0024622i,-0.00072547-0.0029794i,-1.8115e-05-0.0014818i,0.00034891-8.7537e-05i,0.00046934-3.041e-05i,0.00054573+0.00028874i,0.00043585+0.00092585i,-0.0002305+0.0015842i,-0.00041574+0.0015581i,-0.0004439+0.00060563i,-0.0011423-0.00019218i,-0.00085248+0.00013578i,-0.00014396+0.00067058i,0.00024702+0.00097504i,0.00014577+0.0010456i,0.00032009+0.00054188i,-0.00023134-7.6664e-05i,-0.00084665-0.00049021i,3.3822e-06-2.9858e-05i
-0.00013292+0.00012934i,-0.00016112+0.00028626i,0.00036945-6.0815e-05i,0.00080495-0.00083792i,3.9483e-05-0.0011341i,-0.00096445-0.00055087i,-0.00091941+0.00012881i,-0.00056131+0.00068772i,-0.00060257+0.00033776i,0.00030019+0.00031597i,4.4862e-05+0.00036595i,-0.00036045+1.3972e-05i,0.00043164-0.00027733i,0.00080647-7.2497e-05i,0.00074323+0.00068141i,0.0002201+0.0011095i,-0.00056091+0.00082858i,-0.00092177-0.00019518i,-0.00078757-0.00059126i,8.6021e-05-0.00058654i,0.00090965+0.00033333i,0.00049199+0.0010263i,-0.00028259+0.0006297i
0.0010072+0.000354i,0.0015572-0.00042604i,0.001897-0.001758i,0.0017856-0.0024118i,0.00048084-0.0025939i,-0.00081048-0.0022447i,-0.0010572-0.0010242i,-0.001633+0.00048548i,-0.0014809+0.0007236i,-0.00013791+0.00020452i,0.00077522-0.00018058i,0.00021724-0.00018476i,-0.00026032-3.3899e-05i,0.00025347-7.7693e-05i,0.00052275+0.00013028i,0.00027153+0.00017142i,9.4283e-05+0.00045336i,0.00019711+0.00015332i,0.00074635-0.00010157i,0.00049591+0.00057562i,0.00045792+0.00036693i,0.0010323+0.00019207i,0.00076715+0.00069362i
-0.001051+0.00071313i,-0.00063356+0.00045616i,0.0002873+0.00061845i,0.00067182+8.8974e-05i,0.00032326-0.0015151i,0.00019921-0.0015203i,-1.3125e-06-0.0002294i,-0.00031377+0.00082627i,-0.00056222+0.0015142i,-0.00089557+0.00097355i,-0.0003364+0.00049846i,0.00050237+3.6955e-05i,0.00084938-0.00061249i,0.00061847+0.00011906i,0.0003031+0.0010416i,9.7079e-06+0.00092999i,0.00047458+0.0001187i,0.00099756-0.00021615i,0.00075191-0.00016631i,0.00064131-0.0009732i,0.00079659-0.00080998i,0.0001796+0.00046955i,0.00018862+0.00060701i
-0.00075616-0.0014803i,0.00031141-0.0014773i,0.00092754-0.0022716i,-4.8995e-05-0.0028295i,-0.00095325-0.0027485i,-0.0012565-0.0021674i,-0.0011936-0.00094113i,-0.0011068+0.00083242i,-0.0004092+0.0015743i,0.00011033+0.00086908i,0.00024267+0.00035431i,0.00017752+0.00054269i,0.00013557-1.2109e-05i,0.00047051-0.00048803i,-0.00020373-0.0003064i,-0.00043932+0.00062961i,7.2263e-05+0.0010923i,0.00013272+0.00035815i,-0.00014556-0.00023914i,-3.7081e-05+1.7941e-05i,-5.0202e-05+0.00034945i,-0.00034693-0.00035711i,-0.00031808-0.00062052i
0.000669-0.0007772i,0.0010603-0.0014409i,0.00029748-0.0016473i,-0.00066047-0.0020719i,-0.00076497-0.0012925i,-0.00010334-0.00032296i,0.00022719-0.0003287i,0.00041036-0.00081877i,0.00011278-0.00065922i,-8.2745e-05-2.4654e-05i,0.00015833+0.00022781i,0.0005515-2.8447e-05i,0.00068808+7.3621e-05i,0.00050162+0.00024096i,0.00033553-0.00011037i,0.00039352+0.00064395i,0.00023432+0.0011398i,-4.4907e-06+0.00065219i,0.0002875+0.00049582i,0.00093683+0.00048426i,0.00022431+0.00083051i,-0.00054652+0.00032887i,2.135e-06-0.00037328i
0.0013996+6.3782e-05i,0.0012523-0.00015436i,0.00086938-0.0011064i,0.00031817-0.0016331i,-0.00091505-0.0016897i,-0.0013661-0.0011012i,-0.0011597-0.00024701i,-0.0011624+0.00037373i,-0.0012271+0.0011879i,-0.00058984+0.00083384i,0.00020672+0.00030479i,0.00029616+0.00037124i,0.00014413+0.00064698i,-0.00016727+0.00033353i,8.2772e-05-8.8635e-05i,0.00086599+0.0006008i,0.00057999+0.00088453i,0.0008596+0.00086383i,0.00085726+0.00077382i,0.00051326+4.5081e-05i,0.00084856+0.00011329i,0.00079983+1.6559e-05i,0.00088261-0.00049772i
0.00093966+0.00059742i,0.0016493-0.00040993i,0.0021466-0.0011069i,0.0016792-0.0017471i,0.00076846-0.0024426i,0.00054658-0.0024989i,1.9121e-05-0.001246i,-0.00023503-0.00021556i,-0.00055683-7.4912e-05i,-2.3174e-05+0.00046392i,0.00058281+0.00039553i,6.3503e-05+4.7248e-05i,-0.00070247-0.00019806i,-0.00040173-0.00057295i,-0.00024192+6.1365e-05i,0.00019041+0.00036108i,0.00050446-3.5209e-05i,0.00040572-0.00022737i,0.00048741-5.1316e-05i,0.00078014+6.8012e-05i,0.00087024-0.00035308i,-0.00021435-0.00028071i,-0.00015798+0.00042824i
-0.00042711+0.00016913i,-0.0018167+0.00031506i,-0.0026584+0.00069714i,-0.0023301+0.00044774i,-0.0011404-0.0008429i,-0.0010929-0.00053917i,-0.001021-0.00022154i,-0.00055158-0.00035554i,-0.00071646-5.2368e-05i,-0.00095807-0.00015822i,-0.00067151-0.00028867i,-0.00014595-1.4335e-05i,0.00035401+6.5297e-05i,0.00068066+0.00044979i,0.00080914+0.00024564i,0.00052334-0.00028516i,-0.00018287-0.00048838i,0.00047709-0.00072162i,0.001408-0.00072707i,0.00043499+0.00034998i,-0.00077291+0.0012897i,-0.00098467+0.0007911i,-0.00089768+1.5416e-05i
-0.00027592+0.00045037i,0.001274+0.0010309i,0.0016483+0.00085393i,0.0016084-0.00039502i,0.00087654-0.0009917i,0.00024277-0.0014407i,-0.00088449-0.0021406i,-0.0016759-0.0019881i,-0.0019124-0.00067212i,-0.0012086+8.5679e-05i,-0.0001017+0.00023195i,0.00032596-0.00012846i,0.00049915-0.00016908i,0.00058827+0.00057667i,0.0001241+0.00066052i,-0.00052908-0.00043583i,-0.00045649-0.00095572i,0.00026099-0.00028475i,0.00028707+0.00017248i,-0.000446+0.00011164i,6.1503e-05-1.1441e-05i,0.00088744-0.00063673i,8.63e-05-0.00061072i
-0.00088499+0.0010753i,-0.0012057+0.0013884i,-0.00096126+0.0009073i,-0.0012639-0.00011375i,-0.0012691-0.00067109i,-0.0013119-0.00020687i,-0.0012697+0.0007099i,-0.0013305+0.0010698i,-0.0011016+0.0010702i,-0.001153+0.00096582i,-0.00091008+0.00095865i,-0.00050506+0.00091636i,4.3342e-05+2.8218e-06i,6.5186e-05-0.00057633i,-0.00011772-0.00030646i,0.00031106-0.0001663i,0.00088343-0.00029001i,0.00091659-0.0003169i,0.00012606-0.00025066i,-0.00030598-0.00043733i,-0.00040199-4.0332e-05i,2.4549e-05+0.00052655i,0.00059931-4.6238e-05i
-0.0010968+0.00063897i,-0.0001884-0.00039004i,0.00042498-0.00063508i,0.00078191-0.0014605i,0.00081603-0.0021588i,0.00032278-0.0015618i,0.00044154-0.00032506i,0.000242+0.00045058i,-0.00015315+0.0003514i,0.00026732+0.00053566i,0.00013681+0.0008639i,-0.00011578+0.00042141i,0.00013878-0.00035291i,0.00050264-0.00045349i,0.00031106+0.000272i,-0.00031938-0.00030578i,7.8966e-05-0.00091446i,0.00075494-0.00015271i,0.00057663+0.00024389i,0.00050756-3.3404e-05i,0.00043509-4.8147e-05i,2.2774e-05+0.00055688i,-0.00016586+0.00088138i
0.00051935+0.00042647i,2.3693e-05-0.0010081i,-0.00015744-0.0019132i,8.6269e-06-0.0015877i,-0.00078712-0.0012969i,-0.0015713-0.00055977i,-0.0012388+0.00071024i,-8.9109e-05+0.00078748i,5.507e-05+5.7146e-05i,-0.00065412+0.0001367i,-0.0013+0.00042219i,-0.0011344-0.00020161i,-2.56e-06-0.00064178i,0.001196+0.00013101i,0.0012998+0.0011774i,0.0012373+0.0013263i,0.0012743+0.001228i,0.00034906+0.00064255i,0.00022783-4.2505e-05i,-6.8799e-06+0.00041242i,-0.00074498+0.00088787i,-0.00063178+0.0010616i,-0.00063365+0.00063085i
0.0013836-0.00069069i,0.001127-0.0012369i,0.00079175-0.0015391i,0.0009485-0.0022933i,0.00097103-0.0029418i,0.000199-0.0018926i,-0.00082637-0.0001244i,-0.0011432+0.00084381i,-0.00056853+0.0012476i,-0.00034153+0.00070711i,0.00030996+0.00015385i,0.00094235+0.00032471i,0.00036296+0.00031689i,0.00016521+0.00029977i,0.00057465+5.7642e-05i,0.00031431-0.00084504i,0.00028622-0.00093157i,0.00034776+0.00011453i,-5.0939e-05+0.00069902i,0.00020423+0.00069374i,0.00031126+0.00031237i,4.369e-05-5.3357e-05i,-6.1888e-05+5.6155e-06i
0.00035578+0.00088705i,-5.3578e-05+0.00011417i,0.00031022-0.0013128i,0.00075613-0.001732i,0.0006476-0.0020484i,-0.00051103-0.0023793i,-0.0012106-0.0014564i,-0.00075677+8.2916e-05i,0.00015324+0.00084082i,0.00087499+0.00079063i,0.00010498+4.5581e-05i,-0.00017229-0.00058668i,-1.1433e-05-0.00096677i,0.00010454-0.00075642i,-4.7297e-05-0.00014744i,-7.9884e-05+1.9937e-05i,8.2201e-05+0.00017171i,0.00024542+0.00062377i,0.00034662+0.00083087i,0.00064396+0.00032336i,0.00017295-0.00036827i,-0.00078311-0.00052369i,-0.001231-0.00029793i
9.483e-05+0.00035933i,0.00098343+0.0012885i,0.0016182+0.00010042i,0.0012477-0.0016795i,0.00063282-0.0024522i,-0.00045569-0.0019748i,-0.00081961-0.00019079i,-0.00045685+0.0010565i,-0.00025262+0.0007974i,-0.00072396+0.00015107i,-0.00077323+3.8738e-06i,1.3803e-05+0.00011311i,0.0003632-1.256e-05i,-0.00012251-0.00020936i,-0.00070238-2.8522e-05i,-0.00090558+0.00052233i,-0.00017582+0.00095665i,0.00091017+0.00073653i,0.00070558+4.6734e-05i,0.00096703-3.3712e-05i,0.0008567+4.9397e-05i,-0.00026131-0.001133i,-0.00049858-0.0015372i
0.00055399+0.00030033i,0.00070761+0.00045542i,0.00079206+0.00054223i,3.4024e-05-0.00056385i,-0.0011293-0.001809i,-0.0019099-0.0012465i,-0.0019371+2.7564e-05i,-0.0012525+0.00057049i,-0.00041174+0.00074515i,-0.00063319+0.0010788i,-0.0011478+0.00082872i,-0.00032458+0.00014055i,0.00049082-8.8583e-05i,0.00063487+0.00037208i,0.0004155+0.00087471i,-9.4715e-05+0.00095509i,-0.00036551+0.00087158i,-0.0003295+0.00025424i,0.00035474-0.00030701i,0.00051042-6.3514e-05i,0.00047459-0.00016463i,0.00061184-0.00024039i,0.00037936+8.3877e-05i
0.00050444-0.0011229i,0.0013487-0.0012734i,0.00090163-0.0019767i,0.00047621-0.0020309i,-0.0003583-0.0020795i,-0.0007519-0.0022785i,-0.00013568-0.0011162i,0.00011486-0.00039037i,-0.00013968-0.00030393i,-0.00014104-0.00029349i,-1.3187e-05+0.00023351i,0.00037541+0.00064815i,0.00036481+0.00066642i,0.00022789+0.00045895i,0.00017381+0.00012295i,0.00016493+0.00010479i,0.00031677-0.00051542i,0.00044352-0.001084i,-0.0001074-0.00089235i,-0.00029002-0.00070514i,0.00047445-0.00034293i,0.00081692-0.00026264i,0.00046237+2.6042e-05i
0.0011942+0.0012901i,0.00081997+0.0013651i,0.00041099+0.00038034i,4.1347e-05-0.00088242i,0.00051306-0.0017772i,0.00035541-0.0017404i,-0.00059561-0.00051181i,-0.00045577+0.00061843i,0.00016397+0.00094103i,0.00075163+0.00066303i,0.0001941+0.00037287i,-0.00057257+0.00061203i,-0.00060104+0.00022132i,-0.00045319-0.00068102i,-0.00049412-0.00041434i,-0.00025374+0.00046642i,-4.7383e-06+0.00076766i,-0.00016606+0.00036545i,-0.0003893+8.2013e-05i,-0.00060007-0.00017i,-0.00072546-0.00082476i,-0.0006858-0.00054873i,-0.00092444+0.00024891i
-0.0011512-0.00081823i,-0.0013071+0.0003475i,-0.0013513-0.00032084i,-0.00073111-0.0015877i,0.00013812-0.0021353i,0.0003267-0.00096186i,0.00041571+0.00019642i,-0.00034943+0.0012179i,-0.0010762+0.0015007i,-0.00072331+0.00052988i,-0.00027458-4.8904e-05i,0.00019268-0.00030115i,0.00018645-0.00056079i,-0.0005951-1.6226e-05i,-0.00081642+0.0001849i,-0.000344+0.00030447i,-0.00030034+0.00077018i,8.1675e-05+0.00093147i,9.6354e-05+2.8938e-05i,-0.00048285-0.00073438i,-0.00012501-0.00025729i,0.00023382+0.00058973i,-0.00017389+0.00069759i
0.00071703-0.0017505i,-0.00032519-0.0015421i,-0.0014164-0.0013513i,-0.00098839-0.0011147i,-0.00039834-0.0012799i,-0.00038038-0.001384i,-0.00038294-7.8819e-05i,-3.9315e-06+0.00065978i,-0.00014976+0.00024396i,-0.00080554+0.00046606i,-0.00039611+0.00089986i,-0.00018549+0.0010026i,-0.00059629+0.00076976i,-0.00050991+0.00029965i,-0.00010381-1.8181e-06i,5.9788e-05-0.00024826i,2.3569e-05-0.00034003i,0.0006402-0.00063696i,0.00060825-9.0028e-05i,0.00019498+0.00053922i,0.00042021+0.00011877i,0.00036873-0.0007595i,0.00011375-0.00091766i
0.00042105-0.0016512i,0.00097652-0.0010545i,0.00094129-0.0010548i,-0.00035774-0.0021332i,-0.0012129-0.0029611i,-0.001239-0.0016379i,-0.0015221+0.00060287i,-0.0011018+0.0018148i,-0.00020058+0.0010609i,-0.00019151+0.00010551i,0.00010807-0.00021782i,0.00031826-0.00037111i,0.00027622+0.00063858i,0.00037632+0.0014418i,0.00098228+0.00074474i,0.0010068-0.00026486i,0.00047749-6.573e-05i,0.00030781-0.00021004i,0.00010846-0.0013542i,-0.00037774-0.00067973i,-0.0011074+4.3952e-05i,-0.00092893-0.00028431i,-0.00070439-0.00018147i
0.0020464+0.00096927i,0.0010509-0.00054852i,0.00050197-0.0015657i,0.00081223-0.0022364i,0.0008749-0.0010345i,-0.00079855-0.00039075i,-0.001202-0.0010503i,-0.0011213-0.00052985i,-0.00088213+0.00027301i,-5.7189e-05+0.00041705i,-0.00023797+0.00039471i,-0.00069293+7.8393e-06i,-0.00044876+0.00017953i,-2.8532e-05+0.000655i,-4.7751e-05+0.00055556i,-0.00054752+0.00074743i,-0.00020472+0.00097715i,0.00081995+0.00039571i,0.00090788-0.00016264i,0.00019124-0.00016689i,-0.00049585+0.00018795i,-0.0005072-1.2487e-05i,-0.00022487-0.00012846i
