-0.0048625-0.0020999i,-0.0046156-0.0017384i,-0.0049811-0.00025904i,-0.0050029+0.0014274i,-0.0048207+0.0022615i,-0.0025482+0.0013837i,-0.00060045+0.00059275i,-0.00054973+0.00097961i,-0.00065985+0.00054292i,-0.00069117+8.2564e-05i,-0.00030184+0.00046792i,-0.00020751+0.0012009i,-0.00057372+0.00078694i,-0.00057551+0.00064252i,-0.0011647+0.0013829i,-0.00046283+0.0015011i,0.00066494+0.0010731i,0.00030607+0.00051178i,0.00041045+0.00053774i,0.00063055+0.0011682i,3.7591e-05+0.00063116i,-4.9453e-05-0.00058554i,0.00029599-0.00080303i
-0.0015088+0.00063802i,0.00028341-0.00043887i,0.0012823-0.00072495i,-0.00040276-0.00085783i,-0.0020701-0.00066053i,-0.0020392-0.00068914i,-0.00066217-0.00061585i,6.765e-05-0.0013678i,-2.4962e-05-0.0015129i,0.00063264-0.00020371i,0.0010244+0.00050154i,-6.8383e-05+0.00027051i,-0.00033407+0.00052982i,-8.6509e-05+0.0012064i,0.0002809+0.0014905i,0.00093715+0.0013085i,0.00051958+0.00075858i,-0.00031422+0.00021286i,0.00053866-0.00010979i,0.0010005-0.00036872i,3.9423e-05-0.00031232i,-0.00047744+2.5564e-05i,6.2884e-05-0.00024392i
0.0015375+0.0011242i,0.0021598-0.00024038i,0.0019701-0.0021195i,-7.9533e-05-0.0026955i,-0.0011968-0.0015199i,-0.0013478-5.519e-05i,-0.0016798-0.00017595i,-0.0021171-0.00020557i,-0.0015035+0.00095504i,-0.00077812+0.0010422i,-0.0010391-0.00057809i,-0.00094365-0.00053289i,-0.00057051+0.0004364i,-0.00013192+0.00019398i,8.0039e-05+2.8802e-05i,-7.2828e-05-4.7735e-06i,-0.00037339-0.00023384i,-0.00018048-0.0001122i,9.2725e-05-0.00050066i,0.00032737-0.00077518i,0.00029536-0.00041819i,0.00024335-0.00062652i,8.4347e-05-0.0002716i
0.0014863-0.00066938i,0.0011183-0.0011914i,0.0011121-0.001856i,0.00023794-0.0024354i,-0.0014886-0.0023721i,-0.0019901-0.00096567i,-0.0016368+8.3524e-05i,-0.0012915+0.00050689i,-0.0013252+0.00076194i,-0.00070631+0.00032399i,0.00031921-0.00072581i,0.00074197-0.00034163i,0.00026651+0.00067559i,-0.00085725+0.00052933i,-0.0004978-0.00034296i,0.00045663-0.00060099i,0.00012672-0.00010324i,-0.00023585+0.00022271i,-0.00011241+0.00032025i,0.00073531-0.00026279i,0.00063041-7.4797e-05i,0.00012192-6.983e-05i,0.00054175-0.00094323i
0.0018654+0.00095957i,0.002742+0.001118i,0.0036111+0.00043877i,0.0025939-0.00076464i,0.00078406-0.0017144i,-0.00052202-0.0016468i,-0.0012448-0.00090271i,-0.0013524+0.00037112i,-0.00063125+0.0011736i,0.00053795+0.00064523i,0.00049618-2.6708e-05i,-2.8973e-05-0.00094514i,-0.00090107-0.0011037i,-0.0013475-0.0001753i,-0.00071469+0.00029868i,9.4276e-05+0.0003091i,0.00022447-0.00028432i,-0.00018612-4.4452e-05i,0.00035947+0.00019859i,0.00084926+0.00032985i,0.000367+0.00012035i,0.00016177-0.00065732i,-0.00024094-0.0010422i
-0.0006662+0.0014821i,0.0005571+0.00053325i,0.0010691-0.00039286i,0.00063446-0.000434i,-0.00028686+0.00033211i,-0.0012021+0.00069854i,-0.0019159+0.00063652i,-0.0013411+0.00033259i,-0.00049454+0.00051705i,0.00022819+0.0010145i,0.0010688+0.0010657i,0.00080549+0.0004531i,0.0004519+0.00056392i,0.0003412+0.0010901i,-0.0005836+0.0013939i,-0.0016421+0.00096974i,-0.0011427-4.9186e-05i,-0.00046146-0.00075278i,-0.00051563-0.00021532i,-0.0010043+0.00089572i,-0.0011928+0.00070052i,-0.00049275-0.00015576i,4.9916e-05-0.00078135i
0.00076493+0.00051916i,0.00072497+0.00047939i,0.00062291-0.00024043i,-0.00033168-0.00038297i,-0.0020943+0.00018084i,-0.001863+0.000972i,-0.00079188+0.0011758i,-0.00047942+0.00069755i,0.00063433+0.0003015i,0.0010395+9.3698e-05i,0.00071015-0.00034989i,0.00052161-0.00057231i,0.00033225-0.00038507i,0.00062072+0.00052034i,0.00061045+0.0013926i,0.00029726+0.0010108i,-0.00024381+0.00011708i,-0.00069606+8.5579e-05i,-0.00057732+0.00023997i,0.00017856-0.00022164i,0.00052017-0.00026571i,6.3001e-05+0.00017848i,-0.00017382+0.00019327i
0.00024417-0.00077535i,0.00015941-0.001978i,-7.6969e-05-0.002501i,-0.0013408-0.0029441i,-0.0019534-0.0020916i,-0.00086886-0.00049271i,0.00012519-0.00041138i,0.00019678-0.00046923i,-0.00052883+7.1589e-05i,-0.001106+6.3616e-05i,-0.00085554-3.5823e-05i,-0.00041983+0.00071266i,-0.00068212+0.0005817i,-0.00049888+0.00022094i,0.00034195+0.00051864i,0.00020385+0.00035494i,4.7217e-05+0.00024057i,4.5312e-06+0.00085349i,-9.4858e-05+0.0006613i,0.00042392-0.00026452i,0.00029642-0.00060201i,-0.0003164-0.00070665i,-4.0577e-05+0.00015971i
0.00010034-0.00085274i,0.00041359-0.00038772i,0.0012142-0.0006126i,-0.00031848-0.0021213i,-0.002375-0.0022687i,-0.0023865-0.0010682i,-0.0017631-0.00055785i,-0.0012724-0.0010855i,-0.00061748-0.00045174i,-0.00092822+0.00051693i,-0.0020396+0.00077346i,-0.0016479+0.00096241i,-0.00083677+0.00063351i,-0.00085695+6.4623e-05i,-0.00025044-0.00068203i,0.00023495-0.0017955i,0.00071848-0.0013798i,0.00099514+9.9353e-05i,0.00060038+0.00052399i,-0.00034937-2.9341e-05i,0.00016386-0.00051506i,0.00045345-0.00076346i,-0.00031524-0.00051201i
0.00046241+0.0014521i,0.00046559+0.0013634i,0.00052507-0.00025875i,1.8043e-05-0.0021774i,-0.0018307-0.0027086i,-0.0023445-0.0015994i,-0.0018418-0.00041217i,-0.0014671+0.00031797i,-0.00092786+0.0010171i,-0.0010736+0.0013582i,-0.0012754+0.00047267i,-0.00090739-0.00054648i,-0.00097085-0.00083526i,-0.00094435-0.00065198i,-1.4051e-05+0.00034106i,0.00050903+0.00063623i,-0.00015681-0.00070793i,-0.00024743-0.0013407i,0.00032699-0.00069299i,0.00042769-0.00038058i,0.00076579-0.00063218i,0.00087905-0.0010339i,0.00022586-0.0011732i
-0.00044921-0.0013447i,-0.00086542-0.0012919i,-0.0019027-0.0018122i,-0.0031513-0.0020466i,-0.0044421-0.0014534i,-0.0042408-0.00046383i,-0.0024081+0.00044695i,-0.0013669+0.0013902i,-0.00078624+0.00093875i,-0.00027235+0.00038712i,-0.00051893+0.00014573i,-0.00037102+0.00025895i,-0.00012596+0.00088876i,-0.0002723+0.00095614i,-9.3197e-05+0.00042869i,-6.1479e-05+6.1867e-05i,6.2441e-05+0.00056342i,0.00024229+0.00044507i,3.6374e-05-0.00020692i,-8.1423e-05-0.00056898i,-4.9784e-05-0.00084227i,-6.4803e-05-0.00074571i,-8.7156e-05-0.00048173i
-0.00088742-0.00080591i,-0.00019578-0.00067682i,-0.0011215-0.00027451i,-0.002172-0.00054782i,-0.0027223-0.00065613i,-0.0029403+0.00012046i,-0.0013255+0.00023299i,-0.00020206+0.00097335i,-0.00033885+0.0020935i,-8.452e-05+0.0016585i,0.00025799+0.00090898i,0.00015681+0.00081774i,0.00035126+0.0007973i,0.00051951+0.0013607i,9.9224e-05+0.0021639i,0.0004089+0.0021087i,0.001172+0.0012941i,0.00069078-0.0002085i,9.4737e-05-0.00059297i,-8.3143e-05+0.00011311i,-0.00040793-2.7798e-05i,-0.00052446+0.00045242i,0.0002423+0.00033509i
-0.0011644+0.0001912i,-0.00070033+0.00072492i,-0.00035498+0.00070865i,-0.00019688-0.00050623i,-0.00023856-0.00084952i,-0.00018024-0.00061957i,-5.5405e-06-0.00058341i,0.0001982-0.00075849i,0.0003824-0.0010914i,0.00046094-0.00055945i,0.00019363+0.00023831i,0.00018953-0.0002741i,0.0010297-0.00054287i,0.0011144-0.00028035i,0.00060239+1.1388e-06i,-0.00023797-8.0144e-05i,-0.00074177-0.00029205i,-0.00088096+0.00021234i,-0.00071485+0.00081735i,-0.00070742+0.00063215i,-0.00063057+0.00068593i,0.0001888+0.00057719i,0.0011527+0.000285i
-0.00031279+0.0013823i,-0.00041572+0.0015104i,-0.0019099+0.0010746i,-0.0027179+0.00016722i,-0.0030105-0.0003655i,-0.0021945-0.00010992i,-0.00026283-0.00034542i,8.3543e-05-0.0001442i,-0.00041921-7.5571e-05i,-0.00026396-0.00063219i,-0.00051616-0.00055259i,-0.00088093-6.0229e-05i,0.00015285+0.00028636i,0.0011354+3.2425e-05i,0.00072715+0.00019757i,3.4111e-05+0.00065028i,0.00052449+0.00062396i,0.00053624+7.4659e-05i,0.00019237+4.1371e-05i,-0.00016585+9.0071e-05i,-0.00025667+1.6867e-05i,0.00018382-6.7767e-05i,0.00098647+0.00049777i
-3.4382e-05-0.0013398i,0.00016155-0.0016701i,-0.00046993-0.0035594i,-0.0022943-0.0041222i,-0.0025308-0.0020407i,-0.0016967-1.4506e-05i,-0.0012385+0.00071519i,-0.0015329+0.00051159i,-0.0021836+0.00024923i,-0.0021178-2.0972e-05i,-0.001458-0.00029734i,-0.0012468+3.6797e-05i,-0.0011748+0.00047251i,-0.001092+0.0011111i,-0.0010012+0.0011165i,-0.0011757+0.00043679i,-0.00069634+9.0529e-07i,0.00025493+0.00029258i,0.00044119+0.00064959i,0.00092581+0.00025515i,0.0013855-0.00061275i,0.0011735-0.00075401i,0.00063036-0.00071062i
0.00073667+0.00027683i,-5.1877e-05+5.5278e-05i,-0.00092112-0.00070347i,-0.0014814-0.00060995i,-0.0027379-0.00013764i,-0.003239-1.7561e-05i,-0.0027561-0.00035585i,-0.0025103-0.00061246i,-0.0017621+0.00013203i,-0.0013183+0.00055786i,-0.00048279+0.00052897i,-0.00012716+0.00051823i,-0.00079898+0.00078771i,-0.00097912+0.0012961i,-0.0005772+0.00083447i,0.0001018-1.9992e-05i,0.00066087-0.00044688i,0.00049412+6.4304e-05i,0.00013357+0.00024333i,3.9695e-05-0.0002403i,5.8007e-05-0.001071i,-0.00040627-0.0012119i,-0.00070122-0.0011081i
0.0031042-0.0017945i,0.0030417-0.0035719i,0.0015971-0.0047179i,0.00031907-0.0051231i,-0.00091118-0.0040261i,-0.001988-0.0020022i,-0.0017184-0.00043164i,-0.0018502+0.00014592i,-0.0016739-0.00014745i,-0.00082334-7.2947e-05i,-0.00030057+0.00058647i,0.00065358+0.0014535i,0.00089993+0.0017196i,0.00065529+0.0015629i,0.0010361+0.0011069i,0.0011675+0.00045269i,0.00060908+3.7649e-05i,6.1479e-05-7.4789e-05i,-0.00028748-0.00025874i,-0.00068598-0.00041881i,-0.001225-0.00028259i,-0.00097286-0.00022867i,-0.00035211-0.00017096i
0.002438-0.00024025i,0.0023488-0.00055942i,0.0024876-0.0018639i,0.00081915-0.0028883i,-0.0010886-0.0023585i,-0.0017837+0.0002223i,-0.001054+0.0014926i,-0.00074756+0.00039517i,-0.00041795-0.00056531i,0.00057975-0.00045379i,0.00060449-0.00016157i,2.6143e-05-7.1161e-05i,-5.9977e-05-0.0006351i,0.00035605-0.00063967i,0.00025046-0.00015277i,-9.5279e-05+0.00025639i,-0.0002208+0.00059621i,-0.00042475+0.00023747i,-0.00031548-0.00055101i,8.4693e-05-0.00077846i,0.00033315-0.00030174i,0.00072588-0.00024582i,0.00062471-0.00020438i
0.0024518+2.6945e-05i,0.00054229-0.00058161i,0.00060174-0.0020036i,-0.0002789-0.0026159i,-0.0016051-0.0020152i,-0.0011152-0.00073319i,-0.00014995-0.00035132i,3.8714e-05-0.00085304i,0.00047999-0.0014494i,0.0012205-0.0014767i,0.00046375-0.0011214i,-0.00029107-0.0010977i,-0.0005023-0.00098488i,-0.00035859-0.00094691i,-6.7842e-05-0.000506i,-0.00020676+7.6999e-05i,-0.00055584+1.0937e-05i,-0.00085347-0.00023314i,-0.00042418-0.00030134i,5.6318e-06-0.00012855i,0.00011968+0.00048827i,-1.9524e-05+0.0002732i,8.6276e-05-0.00020966i
-0.00012671+2.0893e-05i,0.00046903+0.0011548i,0.00011765+0.001418i,-0.00025676+0.00049735i,-0.00081788-0.00042677i,-0.00073017-0.00047125i,-0.00044814-0.00028617i,-0.00071943-0.00031288i,-0.0011141-0.00072773i,-0.00050817-0.00077653i,-0.00045102-0.00044851i,-0.0010489-0.00067615i,-0.0011804-0.00052318i,-0.00077692-0.00029527i,-0.00068064+0.00014878i,-0.00059227-0.00024321i,0.00039314-0.0006628i,0.00040888-0.00028385i,-0.00065759+0.00040123i,-0.00063185+0.00075878i,0.00047416+0.00039257i,0.0011783+0.000499i,0.0010359+0.00056437i
0.00029174+0.0018448i,0.00045973+0.00063875i,0.00035976-0.00075147i,0.00030368-0.00075865i,-0.00083146-0.0011077i,-0.0020782-0.0017577i,-0.0016663-0.0015922i,-0.0011371-0.00087711i,-0.0014077-5.4758e-05i,-0.0014977+0.00036021i,-0.00035026+0.00021548i,0.00048376+0.00030391i,-0.00029478+0.00045342i,-0.0016765+0.00097607i,-0.0010361+0.00095318i,6.5332e-05+0.00019414i,-0.0001058+0.00016864i,-0.00033414+0.00029819i,-0.00037415-3.409e-05i,-0.00046076-0.00019482i,-5.0082e-05-0.00020741i,0.00050604-0.00075676i,0.00054865-0.00040405i
0.000577-0.00012243i,0.00077198-0.0012507i,0.0015282-0.0016992i,0.0001938-0.0016996i,-0.0025302-0.0019141i,-0.0032097-0.0010588i,-0.0021521+0.00012934i,-0.0010517+0.0010592i,-0.00069325+0.0015815i,-0.00043651+0.00060474i,-0.00023531-2.0792e-05i,1.8622e-05+0.00068058i,0.00040509+0.0010207i,0.00028604+0.00079595i,-0.00030835+0.00052787i,-0.00055951-4.1762e-06i,-0.00085315-0.0005587i,-0.00035036-0.00039409i,-3.6275e-05-0.00034314i,0.00061615-0.00050453i,0.0011064-0.00048131i,0.00030796-0.00046588i,-0.0002103-0.0003669i
-0.00064734+0.0015731i,0.00018193+0.00083195i,-0.00047569+0.00047737i,-0.001387+0.0009184i,-0.0020196+0.0011008i,-0.0016834+0.00059798i,-0.0011758+0.00033504i,-0.00062405+0.00075097i,-0.00013352+0.0011444i,0.00064259+0.00096356i,0.0014942+0.00092892i,0.0010962+0.00094535i,0.0015274+0.00077811i,0.0021379+0.0007463i,0.001301+0.00069719i,0.00051119+0.00058588i,-0.0005347+0.00055223i,-0.0011607+0.00060256i,-0.00090717+0.00016641i,-0.00078658-0.00040049i,-0.00048063-0.00053833i,0.00048419-0.00010977i,0.00093571+5.6068e-05i
0.0012614+0.0018952i,0.00079326+0.00082975i,0.0015929-0.00036703i,0.0011007-0.00099947i,-0.0004063-0.0015347i,-0.0011969-0.0019668i,-0.0019073-0.00099553i,-0.0015381+0.0003347i,-0.0007959+0.00068807i,-0.00012776+0.00056411i,0.00085545+0.00011419i,0.00039011+7.2672e-06i,-0.00048626+6.7341e-05i,-6.3649e-05-0.00020854i,0.00045972+0.00024309i,0.00083175+0.00047735i,0.0011215-4.2197e-05i,0.0010333-0.00058783i,0.00051344-0.00061391i,3.7452e-05-0.00055566i,-0.00028483-0.0005527i,-0.00038001-7.4756e-05i,-0.00016823+0.00017872i
0.0013085+0.00058203i,0.00072395-0.00047733i,0.00063424-0.0012539i,0.0003486-0.0022834i,-0.00081229-0.0026528i,-0.00061304-0.0017801i,-0.00028184-0.00074934i,-0.00025048-0.00038855i,-0.00011377-4.5018e-07i,-0.00075624-0.00036739i,-0.0013948-0.00064106i,-0.0013908-0.00056442i,-0.00087465-0.00042759i,-0.00099121+1.0846e-05i,-0.0017594+0.00091625i,-0.0012291+0.0011352i,-0.00061557+0.00073433i,-0.00028864+0.00049944i,-0.00044261+0.00042876i,-0.00090391-0.00024508i,-0.00070624-0.00063755i,4.6855e-05+0.00015452i,0.00058423-0.00041418i
0.0011892+0.001331i,0.0016609+0.0015325i,0.0028293+0.00043146i,0.00213-0.00039173i,0.00022736+0.00018744i,-0.00087059+0.00031059i,-0.0012395+9.2216e-06i,-0.00095518-0.00062287i,-3.8298e-05-0.00086561i,-6.665e-06-0.00044872i,-0.00047434+5.8815e-05i,-0.00051148+0.0004417i,-0.00067819+0.0003933i,-0.0010455+0.0006437i,-0.0009555+0.000909i,-0.00079878+0.00039738i,-0.00089467-1.3999e-05i,-0.00035365-0.00069236i,0.00017861-0.0007239i,0.00015905-0.00039439i,0.00063677-0.00042417i,0.00070354-0.00028961i,0.00052184-0.00035315i
-0.00083363+0.0017484i,0.0002557+0.00076594i,-0.00016482-6.6399e-05i,-0.00058675-0.00084825i,-0.00066631-0.00076593i,-0.0011909-0.00041861i,-0.0015749-0.00066674i,-0.0016255-0.00098775i,-0.0013963-0.00017772i,-0.00093695+0.00072905i,-0.00035631+0.0014195i,0.00026715+0.0014435i,0.00058118+0.0015608i,-0.00016146+0.0013214i,0.00050268+0.00071786i,0.001586+0.00042604i,0.00085154+0.00047849i,0.00029243-5.0155e-05i,0.00096791-0.00026129i,0.001148-0.00010918i,0.00057651-0.00084565i,0.00022609-0.0016675i,0.00030162-0.0014198i
-0.0013618-0.0012224i,-0.0012632-0.00061485i,-0.0030755-0.00067885i,-0.0043363-0.0010469i,-0.0037772-0.00029198i,-0.0021333+0.0006747i,-0.0014698+0.00092148i,-0.0024403+0.00080669i,-0.002456+0.00098079i,-0.0010447+0.0011531i,-0.00036499+0.0012081i,-0.00031979+0.0017548i,8.7549e-05+0.0017488i,0.0010072+0.0014019i,0.0010615+0.0011938i,0.00058144+6.1103e-05i,-0.00022714-0.00064434i,-0.00087986-0.00028408i,-9.816e-05-0.00013246i,0.0011362-0.00027989i,0.0016823+5.3162e-05i,0.00090182+0.0007292i,0.00034758+0.0011234i
0.00061697-0.0004188i,0.00071684+0.00015045i,0.00063483+0.00012159i,-0.00053049-0.0010252i,-0.001946-0.0010729i,-0.0027939-0.00035439i,-0.0022788+0.00017109i,-0.0014121+0.00072505i,-0.00046646+0.0013227i,0.000271+0.0011433i,0.0006223+0.00048361i,0.00055396+0.00019286i,0.00037864+7.9961e-05i,1.0904e-05+0.00026138i,-0.00085071+7.2625e-05i,-0.0009693-0.0004054i,-0.00011483-0.00017709i,0.00056491+0.00015708i,0.00041684+0.00062954i,0.00034983+0.0011084i,0.00053737+0.00051908i,0.00043826+0.00024792i,0.00037478+0.00015809i
-0.0011356+0.0014455i,-0.0010799+0.0016918i,-0.0002957+0.0019437i,-0.0012071+0.0014298i,-0.0026468+0.00084963i,-0.0024805+0.00091162i,-0.0013786-3.7916e-05i,-0.00063265-0.00080673i,-4.8242e-05-0.00024555i,0.00046483+3.9443e-05i,0.0004564-0.00022166i,0.0008885+0.00022176i,0.00075011+0.0005611i,-0.0002042+0.00036224i,-0.00081823+0.00067256i,-0.00075048+0.00094343i,-0.0001936+0.00078809i,-7.1876e-06+0.00051148i,-0.00024463+0.0001841i,-0.00070009+0.00019148i,-0.00063446+8.3716e-05i,4.2394e-05-1.23e-05i,0.0005873+0.00025025i
0.00042917-7.2359e-05i,0.00053894-0.001072i,0.001045-0.00079265i,0.0012745-0.00090674i,-1.7418e-05-0.00069959i,-0.00056838+0.00037434i,-0.00024969+0.0010102i,4.6854e-05+0.00072293i,4.5446e-05+0.00014491i,-0.00064997-0.00022589i,-0.0012068-0.0003702i,-0.0011196+0.00044955i,-0.0005906+0.0012362i,-0.00017286+0.00077626i,0.00057047+0.00070164i,0.0006233+0.0010506i,-0.00013811+0.00083447i,-0.00044543+0.00071571i,-0.00021382+0.00031552i,0.00044151+6.67e-05i,0.00061528+0.00022027i,-0.00033099+0.00019369i,-0.0007175+0.00052996i
-0.0010144+7.5473e-05i,-0.001411-0.00017336i,-0.00229-0.0012889i,-0.0027693-0.0014626i,-0.0027919-0.00045472i,-0.0024343+0.00047587i,-0.0016849-1.772e-05i,-0.00091655-0.00026363i,-0.00078246-8.8305e-05i,-0.00045884-0.00013435i,6.2771e-05+0.00034459i,9.9665e-05+0.00094409i,0.00015672+0.001217i,0.00080842+0.00066007i,0.00096807+8.8276e-05i,0.00074936+0.00015535i,0.0012458+0.00044655i,0.00068418-4.674e-05i,-0.00017396-0.00062166i,-4.1813e-05+1.7314e-05i,0.00040473+0.00017043i,0.00047236-0.0001601i,0.00029389-0.00069845i
