-0.0027187+0.0021444i,-0.0025669+0.0011315i,-0.0025505+0.00093864i,-0.0010177+0.0014895i,0.00015957+0.0027646i,-0.00020078+0.0034191i,0.00024951+0.0027037i,0.0009403+0.0015105i,0.00045875+0.00063112i,1.149e-05+1.6263e-05i,1.0463e-05-0.00073867i,-0.00054029-0.00082098i,-0.00037875-0.00085564i,0.00025908-0.0014293i,0.00011404-0.0010703i,-0.00010391+3.3244e-05i,-0.00066324+0.00050774i,-0.00079854+0.00063957i,-0.00072487+0.00034834i,-0.00060638+7.2874e-06i,0.00010227+0.00027383i,0.00048142+0.00053412i,0.00026761+0.00042879i
0.0024161+0.00022206i,0.0022947-0.00049951i,0.0010972-0.0012071i,0.00052165-0.00054754i,0.00022014+0.00071645i,9.878e-05+0.0013867i,0.0016542+0.0012497i,0.0025219+0.00099029i,0.0010671+0.00082152i,9.0136e-05+0.00010243i,0.00018393+0.00014862i,-0.00024713+0.00056164i,-0.00059775+2.0282e-06i,-0.00032882+0.00039636i,3.9854e-05+0.0007269i,0.00019737+0.00033277i,-0.0003422-0.00018739i,-0.00080843-0.0004692i,-0.00060838-0.00012159i,0.00033029+0.00026093i,0.00054651+0.00078805i,7.9593e-05+0.0007762i,6.1123e-06+0.00018144i
-0.00074776-0.0001691i,-0.0024752+0.00047607i,-0.0025486+0.0010624i,-0.0013707+0.0012145i,0.0003065+0.0011437i,0.0013786+0.001077i,0.0015326+0.00042796i,0.00093377+0.0006379i,0.00024478+0.0012147i,-0.0006158+0.00078394i,-0.00022475+0.00020518i,0.00093296-0.0001354i,0.00066975-3.8185e-05i,-0.00022302-7.2193e-05i,-0.00082329-0.00075436i,-0.0011023-0.00055814i,-0.00011894+0.00035038i,0.00075416+0.00081484i,-4.08e-05+0.00022313i,-0.00038616-0.00059893i,0.00010722-0.00017647i,0.00028873-6.8593e-05i,0.00033107-0.00030955i
0.0018576+0.0002687i,0.0017564-0.00046309i,0.0014247+6.9484e-05i,0.00074771+0.00053277i,0.00055518-2.1875e-05i,-0.00018464-0.00018314i,-0.00063607+0.00029437i,-0.00068197+0.00049726i,-0.00048758-0.00049666i,-0.00041242-0.00076473i,-0.00067734+0.00012022i,-0.00032029+0.00035766i,0.00033267+0.00076347i,-1.9892e-05+0.0009741i,-0.00049174+0.00081137i,-0.00051893-0.00058965i,7.5088e-05-0.0012896i,-6.2858e-06+0.00015951i,-0.00046106+0.00078655i,-0.00013847+0.00038415i,6.23e-05-0.00025652i,-6.0231e-05-0.00019204i,-0.0001097-9.7295e-07i
0.00059318+0.00042431i,0.0012886+0.0006195i,0.00045717+0.0011597i,1.9322e-05+0.0022927i,0.001015+0.0025496i,0.0019164+0.0014301i,0.0014869+0.00046471i,0.00070644+0.00046802i,0.00043146+0.00015358i,0.00025563+1.9483e-05i,0.0001065+0.00029906i,-0.00016123+0.00026413i,4.5979e-05+0.00044813i,0.0002794+0.0010215i,-0.00024565+0.00072898i,-7.0233e-05-4.597e-05i,0.00042765+0.00025649i,0.00017335+0.00023792i,-7.6435e-05-0.00053433i,-0.0001941-0.00091591i,-0.00016913-0.0009128i,0.00030332-0.0012838i,0.00010494-0.0016359i
0.00053506-0.00026233i,0.00060221-0.0024233i,-0.00015498-0.0026285i,-0.00081831-0.00086921i,-0.00062296-0.00015319i,-0.0003981-0.00018901i,7.6542e-05+0.00059866i,0.00031694+0.00035954i,0.00027313-0.00019956i,0.00037606-0.00025759i,0.00048678+0.00022993i,5.775e-05+0.00024242i,4.9851e-06+0.00025605i,0.00054213+0.00055732i,0.0011163+0.00026284i,0.00077451+0.00036734i,-0.00024909+0.00061145i,4.3075e-06+0.0002892i,0.0004879-0.00040646i,0.00060814-0.0007249i,0.00050695-0.0004764i,0.00020315-0.0003624i,-0.0001795-0.00058028i
0.00086998+0.00076768i,0.0017834+0.00040551i,0.0010079+0.0001084i,0.00033235-4.279e-05i,0.0004902+0.00054266i,0.00090023+0.00057037i,0.0012909+0.00034549i,0.00085322+0.00032375i,0.00039285+0.00055839i,6.0679e-05+0.00022493i,0.00038344-0.00041192i,0.00038621-0.00083772i,-0.00072891-0.00068148i,-0.0013249-0.00041476i,-0.00042915-0.00048717i,1.3302e-05-7.9988e-05i,-0.00024762+0.00036936i,-0.00072141+0.00074015i,-0.00080489+0.00057266i,-0.00024789-0.00017192i,-0.00036862-2.9067e-05i,-0.0009252-0.00025988i,-0.00070682-0.00063389i
-0.00024525+0.0012871i,-0.00045333+0.0018587i,-0.0005441+0.0013059i,0.00040994+0.00055466i,0.0011139+0.00089063i,0.00049278+0.0005679i,0.00026712+0.00035717i,0.00013138+0.00028568i,4.833e-05-8.5108e-05i,0.00014589-0.0004409i,2.3373e-05-0.00013502i,-0.00034494-0.00016767i,-0.00068981-0.00046511i,-0.00086884+8.4878e-05i,-0.00082797+0.00015238i,-0.00026941-0.00016679i,8.3337e-05-0.00031986i,0.00044271-0.00083789i,0.00011306-0.00086758i,-0.00035187-0.00011767i,-0.00083111-4.328e-05i,-0.001148-0.00050284i,-0.00057987+0.00031485i
0.0016819+0.00032324i,0.00021792-0.0012065i,-0.0010875-0.0022142i,-0.0017173-0.00070924i,-0.0010821+0.0011746i,-0.00096635+0.00063709i,-0.0013697-9.1329e-05i,-0.0015627+0.00017817i,-0.0011168-0.00014224i,-0.00025944-6.9812e-05i,-4.6184e-05+0.00033815i,5.632e-05+0.00093843i,-0.00012972+0.0011456i,-7.1937e-05+0.0003713i,0.0006446+0.0006834i,4.0929e-05+0.0007154i,-0.0010802-0.00018308i,-0.001322-0.00035611i,-0.00075908+3.137e-06i,-0.00023132+0.00013505i,0.00042841-0.00022925i,0.00049803+0.00013579i,-0.00039976+0.00090548i
-0.00079959+0.001227i,0.00015037+0.0021583i,-0.0003222+0.0022143i,0.0003842+0.00099974i,0.0020671+0.0002964i,0.00081291+0.00076733i,-0.00079886+0.00074561i,-0.00071032+0.0005754i,-0.00029684+0.00070346i,7.7806e-05+0.00012563i,0.00079633+0.00022023i,0.00063897+0.00076858i,0.00016182+0.00064861i,0.00049387+0.00070721i,0.00045787+0.0012881i,-0.00070851+0.00062655i,-0.0014398-7.867e-05i,-0.00081629+0.00044058i,-0.00042325+0.00038227i,-0.00050226-0.00032299i,-6.8674e-05+0.00034607i,-0.00013443+0.0011764i,-0.00017922+0.00063502i
8.4571e-05-0.0023529i,-0.0016236-0.0022316i,-0.0025813-0.0014327i,-0.0030796-0.00054587i,-0.0028231-0.00024126i,-0.0018291+0.00024896i,-0.00032305+0.00043586i,0.00060008-0.0004033i,0.00051161-0.00059462i,-0.00012849-0.00039373i,-5.3084e-05-3.6646e-05i,0.00017363+0.00037217i,0.00014689+0.00023335i,2.3256e-05+0.00042047i,-7.764e-05+0.00034493i,0.00057585+0.00023815i,0.0010474+0.00056441i,0.0010747+0.00011676i,0.00031003-0.00045305i,-0.00039346-0.00064868i,-0.00062361-0.00042393i,-0.00029795-0.00013403i,-0.00016622+1.2033e-05i
-0.0003172+0.0019488i,0.00053962+0.0020062i,0.00062704+0.0015108i,0.00094176+0.00054148i,0.00035378+0.00073994i,-0.00049811+0.001292i,0.000341+0.00092522i,0.00040324+0.0001312i,-0.00023025-0.00032461i,-0.00047103+0.00023887i,-0.00044509+0.00014216i,-0.00055538-0.0004693i,-0.00044585-0.0004238i,0.00010846+0.00033851i,0.0001325+0.0012119i,3.851e-05+0.0010831i,-0.00028031+6.6305e-05i,-0.00063972-0.00043275i,0.00052338-0.00014806i,0.00073217-2.2804e-05i,-0.00049651+0.00029347i,-0.00041718+0.00033666i,-0.00063745-0.00056392i
-0.0012616-0.0018732i,-0.0015763-0.001228i,-0.0013158+0.00020576i,-0.0010365+0.0013802i,-0.00083713+0.0018013i,-0.00074259+0.0011154i,-0.00019741+0.00030465i,3.4299e-05+0.00018297i,-0.00028349-0.00022801i,0.00044004-0.00032812i,0.0010291-0.00033122i,0.00082952+2.5623e-05i,0.0011634+0.00051333i,0.00067597+0.00070425i,-1.5856e-05+0.0002126i,0.00027416-0.0008395i,4.8436e-05-0.00067502i,-0.00048379-0.0003789i,-0.00043519-0.00042299i,-0.00041164+0.00045943i,-0.00032624+0.00057094i,-0.00014373+3.9834e-05i,-0.00028328-0.00075691i
0.00041253-0.00067124i,0.00042007-0.00056439i,7.0814e-05-0.00024628i,-1.8602e-05+0.00071682i,0.00014689+0.00085037i,0.0007984+0.0012477i,0.00064151+0.0010441i,0.00020985+0.00026236i,0.00023058-0.00041073i,0.00040958-0.00042303i,3.7193e-05+0.00024548i,0.00083465+0.00046446i,0.0013564+0.00014321i,0.00074195-4.9809e-05i,-0.00033411+0.00049624i,-0.0010131+0.00057762i,6.6622e-06+0.00018822i,8.3775e-05+7.977e-05i,-0.00023026-0.00066718i,0.00042856-0.00018341i,6.4957e-05+0.00059784i,-0.00013861-0.0001702i,0.00068383-0.00033148i
-0.0014262-7.502e-06i,-0.0028943+0.00056341i,-0.0033597+0.0017559i,-0.0016458+0.0020532i,-0.00060049+0.0009262i,-0.00016712+0.00043281i,5.6895e-05+0.00041526i,-0.00020393-0.00013973i,0.00022489-0.00026538i,0.0006054+1.9917e-05i,3.1708e-05-0.0001375i,-0.00056598-0.00015968i,-0.00015146+0.00024188i,-0.000198+0.00031032i,-0.0001489+8.7039e-05i,0.00038631-0.00036482i,0.00077487-0.00022888i,0.00085539+3.6029e-05i,0.00032041+0.00045639i,-0.00023432+0.00078905i,-0.00067793-0.0002785i,-0.00022468-0.00066525i,0.0010093-0.00054574i
0.0015768-0.0013138i,0.00074507-0.0023132i,0.00047557-0.0019881i,0.00080071-0.00075732i,-8.1533e-05+0.00034511i,-0.00031775+0.0006795i,0.00036667+0.00031364i,0.0006546+0.00031452i,0.0006854+0.00035325i,1.2953e-06+0.00023046i,-0.00051624-8.2605e-05i,8.3175e-05-0.00029955i,0.00071374+5.5934e-05i,0.00065225-4.0598e-06i,0.00014219+0.00039104i,0.0002458+3.625e-05i,0.00025739-0.00022735i,-0.0003352+0.00012698i,-0.00037985-0.00062679i,0.00096468-0.0012455i,0.0012316-0.00056725i,-0.0001908-0.00057746i,-0.00043815-0.00099781i
0.00086076+0.0017346i,0.00085814+0.00096352i,0.00092904+0.00068395i,0.0012143+0.00031326i,0.0010661+3.4152e-05i,-5.9938e-05+0.00043431i,-0.00096139+0.00046967i,-0.00097024+5.7046e-05i,0.00035941+4.7523e-05i,0.00077515+0.00015715i,3.6586e-05-0.00014287i,-0.00037293-0.00037954i,-0.00046793-0.00056927i,-0.0002982-0.00057301i,0.00026103+4.5931e-05i,6.2759e-05-4.0919e-05i,0.00019948+3.23e-05i,0.00074579+0.00078058i,0.00024944+0.0005337i,8.2553e-05-0.0001023i,1.2398e-05-0.0006254i,-0.00063449-0.00087058i,-0.0006298-0.00015901i
-0.0014616-0.0021658i,-0.0017002-0.0010412i,-0.0022102-0.00071194i,-0.0012652+0.00046222i,-0.00094449+0.0017423i,-0.00054861+0.001393i,0.00077836+0.0006757i,0.00082806+0.00052233i,0.00014589+0.00016636i,-0.00095391-0.00056718i,-0.00093057-0.00058492i,0.00040521+0.00016435i,0.00048722+0.00022116i,-7.1379e-07+0.00033248i,0.00032469+0.00048462i,0.0003246+0.00024462i,-0.00044845+7.6509e-06i,-0.00029298-0.0001515i,-0.00018267+0.00026543i,-7.219e-05+0.00094469i,0.00019744+0.00082879i,-7.0332e-05+0.00028172i,-5.2545e-05+4.3056e-05i
-0.0011191+0.00057479i,7.1386e-05+0.00089598i,5.6561e-05+0.0011361i,-8.0544e-05+0.00095598i,0.00090838+0.0013609i,0.0011927+0.0012435i,-1.1045e-05+0.00049736i,-0.0014582+7.6885e-05i,-0.0015131-0.00039248i,-0.00038543-0.0010533i,-0.00049074-0.00078581i,-0.0010316+1.4419e-06i,-9.7472e-05+0.00022126i,0.00031292+0.00056491i,7.7982e-05+0.00086847i,0.00016415+0.00059478i,0.00036079-0.00017942i,-0.0001254-0.00039385i,6.709e-05-0.00018013i,0.00051407+0.00016295i,0.00093867+0.00017278i,0.0010369+8.2973e-06i,-0.00053489+0.00036037i
-0.00090651-0.00053331i,-0.00063365+0.00074949i,-0.001366+0.0014964i,-0.0012931+0.0015275i,-0.00052877+0.0010101i,0.0002657+0.00084607i,-0.00042369+0.00052636i,-0.00043738-0.00062596i,0.00025866-0.00078295i,0.00025339-0.00048589i,0.00013946-0.00034449i,4.4439e-05+0.0002407i,8.713e-05+0.00038532i,0.00013025-0.00010595i,2.8244e-05-3.433e-05i,-0.00027965-3.2044e-05i,-8.2695e-05+9.6035e-05i,0.00011962+0.00030452i,0.00012467-0.00047369i,0.0006314-0.00064271i,0.0015946+6.997e-05i,0.0014445+0.00032961i,0.00043433+0.00032847i
0.0010222-0.001383i,0.00084142-0.00028501i,0.001312-0.00035128i,0.0004364-0.00019137i,-0.00079417+0.00076317i,-0.0009665+0.0012797i,-0.00038055+0.0014004i,-9.5728e-05+0.0010772i,-0.00056292+0.00040458i,-0.00060324+0.00065265i,-0.0010196+0.00052647i,-0.0010409-3.3263e-05i,-0.00013573+0.00035707i,0.00029279+0.00023999i,-2.8566e-05-0.00015332i,-0.00035188+0.00026746i,-0.00011548+0.00012774i,0.00043291-0.0002057i,0.00044203+0.00026012i,0.00024722+0.00075036i,-0.00017364+0.00090018i,-0.00063255+0.00078372i,-0.00041035+0.00052996i
-0.0013439+0.00056112i,-0.0011489+0.00097383i,-0.0014005+0.0010786i,-0.0016539+0.00095874i,-0.00080657+0.00071311i,0.00055231+0.00074636i,0.0012949+0.00077275i,0.00115+0.00013105i,-5.1598e-05-0.00032594i,-0.00098746+0.00042424i,-0.0008568+0.00074089i,0.00011481+0.00010773i,0.001006+6.0875e-05i,0.00058743-0.00084937i,0.00019021-0.0018786i,0.00025107-0.00057918i,-0.00038355+0.00042258i,-5.3515e-05+0.00043938i,0.00051406-8.9445e-05i,0.00029614-0.00032145i,0.00025192+0.00027652i,0.00074195+0.00047136i,0.0010695+0.0001214i
0.0022177+0.00026073i,0.0017962-0.00059701i,0.0019556-0.00069457i,0.0014606+0.00011374i,0.00082491+0.00053817i,-1.0236e-05+0.00035839i,-0.0010234+0.0006607i,-0.00078758+0.00095435i,0.00025116+0.00056802i,0.00026021-0.00015003i,5.8504e-05-0.00020376i,0.00020681+0.0010295i,6.2759e-05+0.0013284i,0.00038726+0.00028886i,-1.2748e-05-0.0003339i,-0.00043153-0.00050754i,-9.5083e-05-0.00094658i,0.00014831-0.00040923i,0.00039049+0.00023906i,0.00066942-0.00052371i,-6.8563e-05-0.00069831i,0.00022601+0.00017299i,0.0010893+0.00026059i
0.0012625+0.0002277i,0.0017225+0.00079085i,0.0019161+0.00036432i,0.0008759-0.00030552i,0.00059624-0.00049923i,0.00075673+0.00039135i,0.00038303+0.00063215i,-0.00013757-0.00022957i,-0.00017024-0.00032883i,0.00030504-0.00021718i,0.00036018+0.00035813i,-4.476e-05+0.00073599i,-0.00056549+8.5375e-05i,-0.00050045+6.1391e-05i,-0.00037695+0.00064449i,0.00023222+0.00080559i,0.00019759+0.0011288i,-0.00022321+0.00089624i,0.00033602+5.7706e-05i,0.00034905+9.8573e-06i,-0.00042913+8.3371e-05i,-0.00029674-0.00044511i,-4.1947e-05-0.00030165i
0.00040349-0.00013451i,-0.00041638-0.00053943i,-0.0006853+0.00013224i,-0.00097409+0.0010358i,-0.0015987+0.00071552i,-0.0012215+7.4676e-05i,-0.00040383+0.00018009i,-0.00026135-0.00023839i,0.00016409-0.00057031i,0.00079564-0.00034367i,-0.00042095+0.00050997i,-0.0012199+0.0011818i,-0.00063206+0.00039191i,0.00040674+1.5202e-05i,0.00058011+0.00057985i,-0.00042541+0.00061121i,-0.0011234+0.00012036i,-0.00070961+0.00018402i,-9.6833e-05+0.00076511i,0.0005271+0.00090262i,0.00044933+0.00073892i,-0.00042952+0.00035768i,-0.00026127-0.00022165i
0.00065915-0.0017667i,6.7229e-05-0.0008941i,-0.00056949-0.00041563i,-0.00056026+0.00094124i,-0.00057765+0.0023035i,-0.00088068+0.0018415i,-0.00057174+0.0013702i,0.00033928+0.00099283i,0.00025812+0.00060239i,9.934e-06+0.00066792i,-2.2679e-06+0.00079826i,0.00010488+0.00098353i,0.00027638+0.00077848i,-0.00040784+9.6698e-05i,-0.00056925-0.00024061i,8.8021e-06+0.00038334i,0.00017219+0.00064111i,0.00049049+0.00030527i,0.00016415+8.6047e-05i,-3.5091e-05-6.9695e-05i,0.00012023-0.00046524i,0.00044116-0.00039543i,0.00060234-0.00023913i
0.00059506+0.00021785i,0.00027274-0.00015474i,-0.00084554-4.807e-05i,-0.00060254-0.00022391i,0.0006228-5.1431e-05i,0.00039617+0.00044424i,0.00068179-0.00018606i,0.0007282-0.00058965i,0.00029044-0.00082958i,-1.502e-05-0.0013847i,7.4218e-06-0.0010316i,-0.00040267-0.00019273i,-0.00036478+0.00038239i,0.00015662+9.3013e-05i,4.5702e-05+0.00038219i,0.00055015+0.00036315i,0.00049309+0.00036933i,0.00017617+0.00044155i,-0.00031222-0.00037061i,-0.00038232-0.00059338i,8e-05-0.00029645i,0.00026058-0.00045353i,0.00088183-0.0001562i
0.0014092+0.0003542i,0.00077676-6.7299e-07i,0.00016208-0.0011251i,4.0981e-05-0.0014077i,0.00012969-0.00070208i,0.00029699-0.00036123i,0.00058094+0.00032487i,0.00015818+0.00060601i,-7.4218e-05+0.00030296i,-0.00061049+0.00039869i,-0.00031623+0.00038359i,4.0477e-05+0.00021915i,-0.00045843+0.00013826i,-0.00041385+0.00046902i,-0.00035231+0.00015274i,-8.4495e-05-0.00066088i,-0.00022502-0.0002402i,-0.00087723+0.00112i,-0.00066942+0.0014271i,-0.0002044+0.0010089i,2.4669e-05+0.0006454i,-0.0001479+0.0003946i,-8.2013e-05+0.00017779i
-4.409e-05-0.00050862i,-0.00091864-0.00093467i,-0.00081971+3.2526e-05i,0.00015426+0.00067864i,0.0007741+0.0014777i,0.00098159+0.0022061i,0.0013752+0.0013597i,0.0010457+0.00051146i,0.0003411-0.00024178i,-0.00026035-0.00050512i,-0.0005061+0.00011444i,1.5931e-05+0.00027932i,0.00050159+0.00011718i,0.000796-0.00025782i,0.0012767-0.00096358i,0.0012345-0.0012497i,0.0010643-0.0014419i,0.00064951-0.00083775i,0.00033773+0.00024283i,0.00017017+0.00049391i,-0.00018614+3.9867e-05i,0.00041089-0.00019076i,0.00078977-9.7941e-05i
0.0010026-0.0013002i,-0.00057189-0.0011099i,-0.0011217-0.00079701i,-0.0013488-0.00097931i,-0.0012488+0.00012996i,-0.0013171+0.0010791i,-0.0005883+0.00063259i,0.00053941-4.0838e-05i,0.000603-0.00031844i,0.00016706-0.00034205i,-0.0001069-0.00012231i,-0.00040222+0.00051326i,-0.00066954+0.00066509i,-0.00012484+0.000273i,-6.313e-05-0.00011484i,0.00020927-0.00019754i,0.00064-0.00029158i,8.7167e-05-0.00092228i,-0.00084718-0.00068977i,-0.0012337-0.00042363i,-0.00069652-0.00045292i,-0.00021152-6.4117e-05i,-0.000131-0.00048962i
0.00023711-0.0014307i,-0.0012674-0.0019411i,-0.001311-0.00056949i,-0.00069041+0.0010009i,-0.00026012+0.001227i,-1.9415e-05+0.00092343i,0.00038607+0.00012312i,0.00114-0.00049814i,0.001196-0.00011128i,0.0004594-0.00018855i,0.0001569-0.00048725i,0.00022068-1.2261e-06i,9.0507e-05+0.00038345i,0.00011935+8.1431e-05i,0.00033732+0.0008431i,0.00041833+0.0011648i,0.0002388+0.00050623i,-0.00048206-0.00013567i,-0.00070697-0.00043175i,-0.00038932-7.9113e-05i,-0.00038535+2.4271e-05i,0.0002503+2.2095e-05i,0.00064307+0.00046912i
-0.00017745+0.001964i,-0.0014261+0.0019285i,-0.00067225+0.0015248i,0.00066436+0.0012245i,0.00071546+0.00091269i,0.00045688+0.0010295i,-0.00014974+0.00081147i,-0.00026822+0.00071376i,0.0001354+0.00095855i,-0.00042152+0.00022286i,-0.00090219-0.00078187i,-0.00065677-0.00069076i,-0.00044753-0.00027999i,-0.00021393-0.00025977i,-0.00035609-0.00022588i,-0.00049743-0.0003144i,-0.0007785-0.00072724i,-0.001062-0.00091139i,-0.00037597+0.00036715i,-2.3313e-05+0.0011941i,3.6135e-05+0.0011613i,0.00029078+0.00040679i,0.00021702+0.00017116i
