0.00013712-0.0013526i,-0.00033284-0.00089145i,-0.00060741-0.00089155i,-0.00091338-0.00016493i,-0.0010333+0.00053809i,-0.0010888+0.0012688i,-0.00044448+0.0012647i,0.00057698+0.00067393i,0.00051864-0.00031739i,7.7477e-05-0.00080005i,0.0010508-0.00037127i,0.0017375-0.00042438i,0.00074402-0.00067584i,0.00046693-0.00076164i,0.00025667-0.00071978i,-0.00048561-0.00020612i,-0.00021572+0.00025246i,0.00081424+0.00036164i,0.00066998+1.366e-05i,1.1067e-05+0.00045395i,-0.00018215+0.00027474i,-2.2218e-05-0.00063737i,-9.5332e-05-0.00045296i
-0.00034968-0.0014983i,0.00070692-0.0010632i,0.00016279-0.00087141i,-0.0012562-0.00061797i,-0.00079537+0.00016507i,1.4005e-05+0.00061816i,9.1565e-06+0.00029546i,0.0003771+0.00056541i,0.00085095+0.00080862i,6.6853e-05-1.1638e-05i,-0.000513-0.00082663i,-0.00032962-0.00059953i,6.8831e-05-0.00027518i,0.00010937-0.0004511i,0.00025153+3.22e-05i,0.00025434+0.00046477i,-0.00021233-0.00046579i,-0.00020217-0.0013376i,2.1785e-05-0.0013887i,-0.00025987-0.0014473i,-0.00076233-0.0014068i,-0.00025201-0.00085584i,-0.0002231-0.0011195i
-0.00043949-0.00107i,-0.0011619-0.00074784i,-0.00097286-0.00018915i,-0.00064666-0.00037504i,-0.0011635+0.00034968i,-0.0009135+0.00080965i,-0.00033112+0.00051568i,-0.00036017+1.2291e-05i,0.00018389-0.00067182i,0.00066902-0.0016196i,0.00046343-0.0016201i,-8.2688e-05-0.00084061i,-0.00041451+7.4297e-05i,-6.2676e-05-0.0004677i,0.00025521-0.0011351i,-1.3944e-05-0.00092391i,-0.00026293-0.00099532i,0.00034149-0.00075736i,0.00029406-0.00022297i,0.0001117-0.00013676i,-4.6917e-05-0.00015993i,-0.00046187+0.00029501i,-0.0003073+0.00049345i
-0.001368-0.00078471i,-0.0008973+0.0001091i,-0.0012438+0.0010552i,-0.0012672+0.0012028i,-0.00089998+0.00090694i,-5.7883e-05-8.0862e-05i,0.0002245-0.00060821i,9.4241e-05-0.00034506i,0.00046829-0.00014009i,0.00031531-0.00010074i,-0.00023265-0.00051067i,-5.9058e-05-0.00091832i,0.00078691-0.00090613i,0.00065579-0.00088426i,-0.00033378-0.00094665i,-0.00023036-0.00096416i,0.00052924-0.00076367i,0.0004658+0.00023235i,0.00017001+0.00097818i,0.00035104+0.0007086i,-0.00037135-0.00020695i,-0.0010366-0.00044015i,-0.00045418+0.00026061i
-0.0012668+0.00092184i,-0.0016211+0.00070336i,-0.00068958-0.00021449i,0.00020302-0.0010347i,0.00035333-0.00016586i,-0.00030909+0.00028706i,-0.00068795+1.2899e-05i,-0.00078007-0.0001157i,0.00010621+0.00020312i,0.001335+0.00015765i,0.0014316-0.00069747i,0.00083109-0.0014557i,0.00016351-0.0014016i,-0.00012059-0.0008979i,4.2197e-05-0.00058934i,-1.3356e-05-0.00085703i,-0.00037522-0.0011237i,-0.00031545-0.00080541i,0.00012316+6.3472e-05i,0.00040112-0.00055395i,0.0001978-0.0010657i,-0.0004157-0.00052596i,-0.0013382+0.00019842i
0.0010332-0.0002296i,0.001571-8.6046e-05i,0.00063241+0.0003213i,-0.00049177+0.001147i,-0.0011437+0.00041932i,-0.00089437-0.00035392i,-7.6152e-05-0.00034503i,3.4418e-05-0.00040652i,0.00018397-0.00033864i,1.2967e-05-0.00041233i,-0.00039409-0.00035206i,-0.00048781-0.00032175i,-3.5886e-05-0.00045815i,0.00059658-0.00099185i,0.00042437-0.00084619i,3.0098e-05-0.00013804i,-0.00017613+0.00015243i,-0.0001524+0.00047292i,-0.00025983+0.00070639i,-0.0002045+0.0005321i,0.00045025+0.00015182i,0.00030769-0.00036351i,-0.00066792-0.00057208i
-0.00093427-0.00099246i,-0.0016908-0.0013071i,-0.0027958-0.00075658i,-0.0025753-0.00014946i,-0.0010909+0.00040516i,0.00022531+0.00079743i,0.00077066+0.00077559i,0.00075562+0.00062439i,0.00077636+0.00043545i,0.00068664-0.00029344i,0.00034361-0.00038293i,0.00034908+0.00011726i,0.00067249-0.00025715i,0.00096418-0.00032805i,0.00066472-2.5124e-05i,0.00031133-0.00032508i,0.00064336+5.3377e-05i,0.0010061+0.0003175i,0.00066365+0.00062839i,-0.00011653+0.0010195i,-0.00051451+0.00072097i,-0.00027238+0.00081359i,-0.00055568+0.00065299i
0.0025722-0.0004068i,0.0029586-0.00049163i,0.0026972-0.00013202i,0.0013461-0.00040893i,-0.00017234-0.0014259i,-0.0012112-0.0010537i,-0.0012408+1.6012e-05i,-0.0002459+0.00020356i,0.00065619+8.6787e-05i,0.0005075-0.00077617i,-0.00037507-0.0018116i,-0.0012787-0.0019655i,-0.00098713-0.0015056i,-0.0003519-0.0013458i,-0.00061358-0.0013374i,-0.001071-0.00070413i,-0.00079231-0.00045672i,-0.00010318-0.0009069i,0.00036665-0.0012507i,0.00051553-0.0014814i,0.00010396-0.00071837i,-0.0001838-1.8697e-05i,-0.00024401-0.00036646i
0.00033898+0.0010529i,-0.00049424+0.0013985i,-0.0002694+0.00017358i,0.0005881-0.0010459i,0.00083205-0.0012601i,-4.2572e-05-0.00096893i,-0.00013518-0.00035916i,0.00095349+0.00014606i,0.0013106-7.4469e-05i,0.00061412-0.00023015i,0.00020234-0.00049896i,0.000264-0.00066806i,0.00016107-0.00043618i,1.7705e-05-0.00053569i,-0.00054015-0.0011045i,-0.00041584-0.00079178i,-2.5152e-05-0.00029519i,0.00030711+5.6659e-06i,0.00019188+6.8978e-05i,0.00018808-0.00030184i,-9.5142e-05-0.0008205i,-0.00028621-0.00081272i,-0.00023132-0.00030441i
0.0005083-0.00034703i,0.0017041-0.00022867i,0.0017679+0.00041979i,0.00098506-2.6567e-06i,0.00030637-0.00036646i,-7.7531e-05-0.00054628i,4.9901e-05-0.00039076i,0.00071411+0.00081735i,0.00076824+0.0012796i,0.00030222-0.00055097i,-0.00011729-0.0007249i,-0.00082883-0.000449i,-0.00056474-0.00077425i,-3.0419e-05-0.00030754i,-0.00044999+8.263e-05i,-0.00037539-0.00016423i,1.6807e-05-0.00022747i,-0.00053377+0.00053261i,-0.00077669+0.00046526i,-0.00061976-0.00022182i,-0.00031742-0.00016012i,6.5989e-05+0.00029867i,0.00049968+0.00024291i
0.00076673+0.0023213i,0.00096554+0.002019i,0.0015484+0.001181i,0.00074805+0.00045611i,-0.00019575-0.00034926i,-0.00035573-0.00067984i,-0.00029532-0.00097245i,0.00021267-0.00080242i,0.00090194-0.00047596i,0.00095939-0.001147i,0.00097012-0.001397i,0.00081983-0.00066097i,0.00040562-0.00048597i,0.00065981-0.00068865i,0.00041653-0.00066471i,0.00021175-0.00057172i,0.00021611-0.00025901i,-0.00015138-0.000328i,-0.00024745-0.00035389i,-0.00028592-9.9113e-05i,7.6584e-05-0.00012218i,0.00018831-0.00070985i,0.00022433-0.000714i
0.0042334+0.0001351i,0.0040915-0.00029279i,0.0033202-0.0018469i,0.001791-0.0028832i,-0.00043508-0.0036623i,-0.0022576-0.0025558i,-0.0011499-0.00035596i,0.00020989+0.00049495i,0.00071046-0.00021419i,0.0012698-0.0012951i,0.00038942-0.0014782i,-0.00075047-0.001489i,-0.00016772-0.0011384i,0.00071797-0.00017373i,0.0006252+0.00031754i,0.00028633+0.00022609i,0.00011023-0.00041398i,0.00044256-0.0010019i,0.00091181-0.00080023i,0.000314-0.00043311i,-0.00055649-1.5707e-05i,-0.00085303+4.9294e-05i,-0.00078554-1.6893e-05i
9.7e-06+0.00045731i,-0.00082357+0.0017846i,-0.0011893+0.0024628i,-0.0010797+0.0019565i,-0.00057728+0.0010323i,0.00017673+0.0014248i,0.00083942+0.0011694i,0.00078765+0.00016897i,0.00094824+0.00018356i,0.00031449+0.00054877i,-0.00011824-0.00097335i,0.00037126-0.0019107i,0.0002921-0.0015961i,-0.00043888-0.00096211i,-0.0010493-0.0003012i,-0.0004513-0.00077089i,-0.00062002-0.0011459i,-0.0019133-0.00070625i,-0.001164-5.106e-05i,1.9757e-05-0.00018709i,-0.00010698-0.00092679i,-0.00076453-0.00079837i,-0.00083714-0.00045742i
-0.0014096+0.00038017i,-0.0013445+0.00080921i,-0.0018415+0.0020385i,-0.0010336+0.0029153i,-0.00048793+0.0019068i,-0.00023024+0.0002597i,-0.00025153+5.9531e-05i,-0.00062991+0.00064388i,-0.00058635+0.0013123i,-0.00015971+0.0010039i,0.0001891+0.00038341i,0.00063395+0.00024118i,0.0013075-7.7473e-05i,0.00067504-0.00012468i,-0.00034759-0.00029869i,-0.00064484-0.00046543i,-0.00077202-0.00019012i,-0.00037776-6.9974e-05i,0.00036865-1.3053e-05i,0.00024453+0.0003343i,-3.7994e-05+0.00065179i,8.4474e-05+0.0012086i,-8.6303e-05+0.0010767i
0.00086761+0.0014885i,0.0017975+0.0018594i,0.0030776+0.0004645i,0.0025512-0.0009334i,0.0010996-0.0012217i,0.0002493-0.00082894i,0.00049627-0.00037028i,0.0010108+9.4932e-05i,0.0010271-0.00029469i,0.00051768-0.00096822i,0.00012874-0.0011095i,-0.00011498-0.00084312i,-0.0003691-0.00024028i,-0.00051353-0.0003378i,-0.00051186-0.00046768i,-0.00048222+0.00031526i,1.2428e-05+0.00066353i,0.00049233+0.00077995i,0.00057408+0.00056059i,0.00074727-0.00069621i,0.00067566-0.0017196i,0.00029652-0.0015912i,-0.00024671-0.00077318i
