-0.0043175+0.0006355i,-0.0015691+0.00034335i,-0.0007279+0.0014642i,-0.00064256+0.0021328i,-0.00018489+0.0030056i,0.00068669+0.0033396i,0.0012596+0.0027448i,0.0011017+0.00171i,0.0005022+0.00048435i,0.00069172+1.1569e-05i,0.0014247-0.00026474i,0.00075743-0.00090965i,-0.00036318-0.0012094i,-0.00057546-0.00089017i,-0.00034825-0.00059166i,-0.00029963+0.00035895i,-0.00025326+0.0012317i,0.00025587+0.00056608i,0.00032838-0.00055442i,-6.8682e-05-0.00011996i,2.2686e-05+0.00065102i,0.00035253+0.0004358i,-0.00043597+0.00036525i
0.0013146+0.00086264i,0.003215-0.0010707i,0.0038652-0.00061066i,0.0029733+0.00092807i,0.001171+0.001351i,-6.3298e-05+0.0010851i,-0.0002048+0.00018855i,0.00026309-0.00043565i,-7.6969e-05-0.00092076i,-0.00080188-0.00076929i,-0.00096534+4.5367e-05i,-0.00065546+0.00082717i,-0.00027197+0.00098694i,-1.4547e-05+0.00083799i,0.00019024+0.00063515i,0.00030671+0.00046921i,1.4601e-05+0.00025564i,-0.00012985-7.2708e-05i,-0.00042107-0.00042533i,-0.00033371-1.6318e-05i,6.5329e-05+6.0223e-05i,5.6342e-06+0.00024031i,4.942e-05+0.00022764i
2.234e-05-4.391e-05i,0.00066225-0.0006062i,0.0015856-7.1846e-05i,0.0016733+0.00016446i,0.00079097+0.00046291i,-0.00016196+0.00097329i,-0.00046053+0.00066633i,-0.00058187+0.00016012i,-0.0011757-0.00048221i,-0.0013746-0.00088628i,-0.00061677-0.0005961i,7.9919e-05+0.0004983i,0.00044782+0.0011994i,0.00013102+0.00055419i,-0.00047519+0.00040028i,-0.00095689+0.0006911i,-0.00073419+0.00032126i,-0.00055503+7.744e-05i,-0.00084181+0.00040579i,-0.00089514-8.977e-05i,-0.00056592-0.001227i,-5.1682e-05-0.0013467i,8.0238e-05-0.00091703i
-0.00056833+0.0003308i,0.0003932-0.00047682i,0.00079518+0.00024321i,0.0018453+0.0013752i,0.0016784+0.0015628i,0.0010241+0.0015073i,0.0010534+0.000935i,0.00049419-0.00012736i,-0.00073218-0.00040548i,-0.00063561+5.6105e-07i,-0.00017139-0.00033352i,0.00090106-0.00093634i,0.0014979-0.00055944i,0.00058675-4.3652e-05i,0.00044267-6.2531e-05i,0.00040044+9.9655e-05i,-0.0001832-0.00040752i,-0.00022836-0.00047574i,0.00051589+0.00085489i,0.00064771+0.0013094i,0.00016345+0.00061113i,-0.00067966-3.3494e-05i,-0.00093795-0.0003773i
-0.0012245+0.001733i,0.00066672+0.0018838i,0.0022886+0.00090183i,0.0027563+3.3259e-05i,0.0014353+0.0007063i,0.00086299+0.00076007i,0.00041309+0.00017763i,-0.00043481-4.2941e-05i,-0.00028407-0.0003168i,-0.00029278-0.00017073i,-0.0011475+0.00012444i,-0.00090921+0.00027477i,-0.00048045-4.0352e-05i,-0.00078721-0.00067454i,-0.00048329-0.00030154i,0.00053969+3.9563e-05i,0.00014453+0.00038673i,-0.00015807+3.1132e-05i,0.00038379-0.00070698i,0.0003703-0.00034481i,1.9194e-05+9.7445e-05i,0.00011436+0.00019155i,0.00067912+0.00050115i
0.0016423-6.9089e-05i,0.001968-0.0012303i,0.0013493-0.0014963i,0.0010086-0.0005359i,0.00018741+0.00030293i,-0.00022888+0.0010175i,0.00017667+0.00086781i,-3.5917e-05-0.00017283i,-0.0003182-0.00015244i,-0.00015255+0.00026689i,-0.00029049+0.00016224i,-0.00031215-0.00010858i,5.7922e-05-0.00016726i,0.00032911-0.00028365i,0.00096866-0.0001707i,0.00084796-5.4272e-05i,-0.00011379+3.9099e-05i,-3.0616e-05+0.00017438i,-0.00022249-3.8502e-06i,-0.00090604-8.4168e-05i,-0.001181-0.00023912i,-0.00065859-0.00064994i,0.00021993-0.00082684i
0.0014432+0.00063271i,0.00099222-0.00024515i,0.00078113+0.000223i,0.00066435+0.00089637i,-5.5766e-05+0.00056939i,1.1099e-05+0.0004804i,0.00098291+0.00099613i,0.001502+0.00040564i,0.00054121-0.00077896i,-0.00045371-0.0012575i,-0.00087281-7.1649e-05i,-0.0007462+0.000378i,6.4939e-05-0.00030653i,0.0004924-0.00054836i,0.00044051-8.573e-05i,0.00053987+0.00025661i,0.00013543+4.6608e-05i,8.9743e-05-0.00012366i,0.00036547+8.1181e-05i,0.00064918-4.0262e-06i,0.00034709-0.00036599i,7.2744e-05-0.00058134i,0.00026662-0.0002385i
0.0014574-0.00029252i,0.0031854-0.0010198i,0.0033591-0.00037019i,0.0020503+0.00077164i,0.0011303+0.0016019i,0.00101+0.001983i,0.00062054+0.0012429i,0.00022332-1.9099e-05i,-0.00038411-0.00075143i,-0.00047706-2.6747e-05i,-0.00022678+0.00022299i,7.0675e-05-0.00012487i,-0.00029732+4.0114e-06i,-0.00068942-0.00038798i,-0.00023406-0.00062091i,0.00027764-0.00024963i,0.00049043-0.0002657i,5.5397e-05-0.00037492i,-0.00013339-0.00039096i,0.00037715-0.00034092i,0.0004019+2.9858e-05i,0.00018735+0.00019112i,0.00059708+0.00013981i
-0.00038933+0.001422i,-0.00017128+0.0017073i,0.0018286+0.0019456i,0.0020742+0.0010302i,0.0014162+0.00025554i,0.0010839-0.00016096i,0.00077569-0.0002019i,0.0001411-0.00057438i,-0.00094584-0.00080176i,-0.000986-0.00016312i,3.1438e-05+3.0186e-05i,0.00041419-0.00062736i,-0.00028323-0.0002698i,-0.00049702+0.00018239i,0.00045985-0.00021621i,0.00021464+0.00060349i,-0.00063769+0.00036037i,-0.00024402+2.0899e-05i,0.00029109+0.00032031i,0.00035551+0.00061097i,-2.4694e-05+0.00023554i,-2.2061e-05+2.5666e-05i,-0.00036914-0.00030059i
-0.0007191-0.00080763i,0.00051796-0.0011496i,0.00091633-0.00059759i,0.00045098+0.00074163i,0.00046459+0.0020779i,0.00075942+0.002348i,0.0002928+0.0016055i,0.00030581+0.00038093i,-0.00032538+7.6409e-05i,-0.00054881+0.00016485i,0.00043452+0.00014269i,0.00085869-0.00028445i,0.00055857-0.00051038i,7.8564e-05+0.00013699i,0.00016549+0.00044723i,0.00035355+0.00020236i,0.00058189-0.00025744i,0.00031028-0.00020005i,-0.00038201+0.00023824i,-0.00024556-0.00067352i,-5.666e-05-0.00048898i,0.00035129+0.00049082i,0.00046672+0.00026399i
-0.0011895-0.00037173i,-5.9757e-05+0.00025723i,0.00019718+0.00010213i,-0.00022688+0.0013463i,-0.0003949+0.002439i,0.00018402+0.0015646i,0.00079058+5.8596e-05i,0.00094293-0.00041776i,0.00016542-0.00064369i,-0.00085608-0.00056885i,-0.00077219+0.00012161i,-0.00063075+0.00019029i,-0.0003058+0.0002195i,-0.00043986-0.00014377i,-0.00032508-0.00053213i,0.00066433-0.00050963i,0.00057064-7.7282e-06i,7.9696e-05+0.0008324i,-4.9139e-05+0.00044784i,-0.00055009-9.9332e-05i,-0.00078279-0.00021657i,-0.00025474+0.00026139i,-0.00028314+0.00042904i
-0.00087746-0.0011326i,-0.00016427-0.00063676i,0.00057253-0.00061457i,0.001066-0.0011189i,0.0012416-4.5392e-05i,0.0006893+0.0010612i,0.00077596+0.00024222i,0.00036664-0.00031437i,-0.0013996-0.00028842i,-0.0017978-0.00014344i,-0.00067351+0.00022087i,-0.00036243+0.00051838i,-0.00053946+0.00031302i,-0.0009289-0.00056386i,-0.00060296-0.00093244i,-0.00035689+0.00013819i,-0.00053448+0.00028575i,-0.00029045-0.00014735i,-0.00029372-0.00072767i,-0.00016997-0.0009473i,-5.5645e-05-0.00063598i,-0.00016624+0.00038765i,0.00028232+0.00099211i
-0.00051146-0.0014588i,-0.00069309+0.0012175i,-0.0020303+0.0028717i,-0.0017677+0.0027658i,-0.00033371+0.0032105i,0.00092791+0.0025086i,0.00062439+0.0014351i,-2.2809e-05+0.0010113i,-0.00013607+0.00065858i,-0.00034335+0.00057737i,-0.00059499+0.00023245i,-0.00034983+6.9263e-06i,-0.00027768-0.00012239i,0.00017429-0.00087356i,0.0001686-0.0012701i,-0.00036744-0.00042089i,5.3735e-05-0.0001497i,5.7824e-05+7.994e-05i,-0.00059403+0.00037404i,-0.00050287-0.00039916i,-0.00011798-0.00020566i,0.0001974+6.5338e-06i,0.00076216-0.00045848i
0.00083658+0.00089341i,0.0016071-1.0364e-05i,0.0022043-0.00063998i,0.0022567-0.00025843i,0.0016505+0.00011659i,0.00035403-0.00018176i,0.0001181-2.8204e-05i,-1.8077e-05-0.00023622i,0.00020424-0.00059907i,0.0002299-0.00028965i,-0.00023234+0.00040267i,-0.00016729+0.0009555i,-8.1752e-05+0.00073775i,-2.4292e-05+0.0001005i,-0.00042455-8.9864e-05i,-0.00086618-0.00059531i,-0.00089391-0.00015522i,-0.00053505+0.00014695i,9.2221e-05-0.00021119i,0.00014748+0.00025263i,-8.4996e-05+0.00036617i,-0.00020332-0.00020474i,-9.2041e-05-0.00092276i
-0.00025994+0.0009043i,0.00028478+0.0010538i,-4.5313e-06+0.00084387i,-0.00018512-0.00032364i,0.0005546-0.00016549i,0.00084816+5.4662e-05i,0.0004086-0.00018024i,-0.00039517-7.7463e-05i,-0.00074192-0.00032703i,-0.00071751-0.00068953i,-0.00083926-0.0010142i,-0.00108-0.0005627i,-0.00090564-0.00054908i,-7.0431e-05-0.00089928i,9.3224e-05-0.00065502i,-0.00064749+0.00012439i,-0.00083499+0.00093264i,-0.00021497+0.00072425i,0.00027369-0.00063312i,0.00018888-0.0011321i,-0.00012985-0.00053896i,0.00018786-0.00059134i,6.975e-06-0.00054163i
-0.00082614-0.0015873i,-0.00092988-0.0010741i,-0.00033699-0.00019528i,0.00063867+0.00060327i,0.00022791+0.0013223i,-6.0485e-05+0.0019743i,0.00017568+0.001959i,-2.2724e-05+0.0013427i,-0.0013596+0.00015563i,-0.0016094-0.00019049i,-0.0010308+6.0931e-05i,-0.00019491+0.00017929i,0.0003618-0.00033527i,-0.00032034-0.00063701i,-0.00038817-0.00033348i,-0.0003059-0.00031339i,-0.001053-0.00032945i,-0.001702-0.00035214i,-0.0010876-0.00043429i,-0.00058302-0.00052856i,-0.00034084-0.00011841i,0.00033093+0.00042612i,0.00062389+0.00060625i
-0.0023811+0.00049778i,-0.00095866+0.0013566i,-7.0024e-05+0.0014536i,0.00047054+0.0016891i,0.0011957+0.0020417i,0.0028138+0.001987i,0.0027589+0.00069597i,0.00091734+0.00042229i,-0.00050395+0.00080803i,-0.00072473+0.00011025i,2.023e-05+0.00021923i,0.00036624+0.00084107i,-0.00015167+0.00031111i,-0.00067347-0.00097661i,-0.00049358-0.00077393i,0.0007819+0.00041681i,0.0011849+0.00079883i,0.00091153+0.00041524i,0.00090979-8.2611e-05i,0.00067095+2.9699e-05i,-9.9684e-05-0.00013184i,-0.00055027-8.0668e-05i,5.1046e-05+0.00032655i
0.0015437+0.00034575i,0.00047593+0.00057669i,0.00092926+0.0017506i,0.00082739+0.001691i,0.00056796+0.00088915i,0.0012281-4.1734e-05i,0.00093186-0.0011098i,-0.00031705-0.0012649i,-0.00053171-0.00075275i,4.4549e-05+0.00059832i,-0.0001831+0.00081094i,-0.00090393-5.3143e-05i,-0.00089307-0.00023047i,-0.00077144+0.000308i,-0.00052736+0.0004007i,-0.00039877-9.7823e-05i,-0.00029267+1.5193e-05i,0.00053138+0.00022723i,0.00066779+0.00030349i,-0.00022228+0.00025416i,-0.00023639-0.00047469i,0.00059998-0.0013283i,0.00094111-0.00056536i
-0.00032761+0.0021042i,0.00090745+0.0026875i,0.0021291+0.0031042i,0.0023225+0.0022652i,0.0015434+0.0010875i,0.0009822+0.00080462i,0.00056367+0.0015929i,0.00034955+0.00088845i,0.00045684-0.00061899i,0.00068321-0.00043548i,0.00067312+7.5518e-05i,2.0586e-05-8.7047e-05i,-4.6742e-06+8.5849e-05i,0.00063185-0.00023717i,0.00032617-0.00020819i,-0.00020444+0.00041381i,-0.0002886+0.00075073i,-0.00045639+0.00061502i,0.00014884-0.00010354i,0.00045001-7.8827e-05i,0.00048759+0.00041834i,0.0011735+8.49e-05i,0.00090951+0.0001206i
-0.00070114-0.00077762i,-0.00030402-0.0009715i,-0.00034649-0.00026838i,0.00029687+0.00063516i,0.00066849+0.0018514i,0.00084228+0.0018354i,0.001297+0.0013336i,0.00086352-0.00010762i,6.056e-05-0.0011572i,0.00035737-0.0010942i,0.00085136-0.00085351i,0.00065694-0.00032706i,-0.00016809-0.00017392i,-0.00048515-0.00023783i,-7.5475e-05+0.00070327i,-0.00016955+0.00072095i,-0.00044184-0.00042631i,-0.00012373-5.2669e-05i,0.00030962+0.00067945i,-0.0004626+0.00029596i,-0.00090502+5.9071e-05i,-0.00065872+0.00017845i,-0.00018237+0.00016463i
-0.0011664+0.002008i,-0.00023474+0.0034835i,0.0011929+0.0048566i,0.0021233+0.0035554i,0.0023036+0.0014243i,0.0017541+0.00021282i,0.00034746-0.0011037i,-0.00042571-0.0012101i,-0.00081422-0.0001437i,-0.0012263+0.00048889i,-0.00085246-5.5148e-05i,-0.00022784-0.00045371i,-2.8981e-05-0.00018511i,-0.00021411+0.00021997i,-0.00014696+0.00027934i,-7.3404e-05+0.00035188i,-0.00031751+0.00047679i,-0.00027632+9.5385e-05i,0.00014005+0.00026147i,0.00021957+0.00057844i,0.00027786+0.00060113i,0.00011221+0.00062146i,0.00073376+0.00015193i
0.00038256-0.00026253i,-0.00026769-0.00076603i,7.3838e-06-0.0014447i,0.00086245-0.00074288i,0.0010985+0.0003768i,0.00056044+0.00094091i,0.00041135+0.0010844i,0.00075399+0.0014168i,0.00070843+0.0010397i,0.00020792+9.2705e-05i,-3.6731e-05-2.8204e-05i,-0.00016848+2.6079e-06i,-0.00059008-0.00044203i,-0.00048008-0.0010561i,-0.00013744-0.00084419i,-0.00034054-0.00036938i,8.6756e-05-0.00082944i,0.00036286-0.0011192i,9.9197e-05-0.00071163i,-5.7306e-05+0.00030979i,-0.00012156+0.00097228i,-0.00025747+0.00063265i,-0.00017796+0.00036431i
0.0015796+0.00047972i,0.0020286+0.00092838i,0.0018937+0.00065483i,0.0024677+0.00062831i,0.0015134+0.00080612i,0.00055865+0.00084076i,0.0009469+0.00077556i,0.00081821+0.00027967i,9.3282e-05-0.0011106i,-0.00039387-0.00068686i,-0.0005003+0.0010083i,-0.00038165+0.00094956i,0.000381+0.00024173i,0.0006821+0.00037551i,-1.9791e-05+0.00025044i,0.00032747+0.00017057i,0.00099058+0.00020437i,0.00059382+0.00017227i,0.00045123+0.00018066i,0.00077982-0.0004722i,0.00066658-0.00035322i,-0.00037638+0.00036091i,-0.00088321+6.6376e-05i
0.00023201+0.001928i,0.00099543+0.0008051i,0.0028832-0.0002148i,0.0027713-0.00078339i,0.00073229-0.00029933i,-0.0002644+0.00016801i,0.00044852+0.00013062i,0.00062511-0.00058651i,0.00034044-0.00049608i,0.00019767-0.00010804i,7.5381e-05+0.00024357i,0.00028783+0.00076477i,0.00012325+0.00051175i,-0.00028973+0.00045538i,0.0001467+0.00030876i,0.00039502+0.00018845i,-3.8469e-05-4.2406e-05i,0.00021143-0.0002145i,0.00028857-0.00056236i,-0.00029762-0.00064992i,-0.00082548-0.00044561i,-0.00059172-0.00052995i,-0.00035886-0.00015755i
-0.0020726+0.00019537i,-0.00091468+0.0008483i,-0.0011608+0.0024449i,-0.00059864+0.0031957i,0.0013491+0.0038687i,0.0019577+0.0029662i,0.00076704+0.00040847i,-0.00041569-0.00068738i,-0.0012494-0.00089163i,-0.00082968-0.00046346i,0.00013675+0.00054203i,4.8343e-05+0.00082142i,-9.9657e-05+7.5556e-05i,-0.00024877-0.00020802i,-0.00031998-0.00021745i,-0.00055437-0.00033898i,6.8163e-05-0.00046869i,0.00076662-0.00034584i,0.00051493+0.00031649i,-9.3854e-05+0.00020887i,-1.5957e-05+0.00010338i,0.00059611+0.00081008i,0.00076307+0.0013863i
0.00057322+0.0004488i,0.0001433+0.0010206i,0.0018615+0.00096283i,0.0025824+0.00058661i,0.0025935+0.00055871i,0.0018961+0.0002848i,0.0010726+1.8485e-07i,0.00087327-0.00014765i,-0.00029855-0.00092334i,-0.0012009-0.0010523i,-0.0010998-0.00020859i,-0.00061256+0.00019276i,-0.00030385+0.00015364i,-0.00074863-0.00019322i,-0.00122-0.00018376i,-0.00075189+0.00039796i,0.00028227-5.6902e-05i,-9.5908e-05-0.00022861i,-0.00058092+0.00045244i,6.2382e-05+0.00061294i,0.0010085-5.3601e-05i,0.00097114-0.00082923i,0.00046253-0.00057981i
0.0006431+0.00029532i,0.00076732+0.0010539i,0.00083082+0.0014171i,0.00091354+0.00053736i,0.00038356+0.00052566i,0.0001098+0.0011994i,0.00081046+0.0003112i,0.00092261-0.00087653i,0.00062147-0.00039639i,0.00066364+0.00041844i,0.00031662-9.9154e-05i,-0.00037311-0.00021899i,-0.0003001-2.0171e-05i,-0.00011227-0.0001677i,-0.00017928+0.00013601i,-9.2367e-05-3.8639e-05i,0.00016538-0.00083101i,5.0426e-05-0.0012909i,-0.00030371-0.00065091i,-0.00012989-0.00028058i,0.00038446-0.00018875i,0.00038854+0.00015306i,-0.00040391+0.0001861i
0.00030106-0.000197i,0.0011729+0.00014658i,0.00089037-0.00013202i,-9.5082e-05+0.00054506i,-0.00075184+0.0010488i,-0.0005442+0.0013534i,-0.00041408+0.00054325i,-0.00079349-0.0007438i,-0.00084191-0.0013859i,-0.0011448-0.0011764i,-0.0011287-1.537e-05i,-0.00025841+0.00077167i,0.00011705+2.9253e-05i,-0.00032961-0.000418i,-6.7329e-06+3.3686e-05i,0.00018734+0.00048814i,-0.00018123-0.00024072i,-4.3631e-05-0.00094154i,-0.00048276-0.00045557i,-0.00068643+0.00053646i,-0.00034908+0.001261i,-0.00053833+0.0011387i,-0.00074448+0.00062942i
-0.0011301-0.00076676i,-0.0025469+0.00074624i,-0.0030018+0.0022794i,-0.0017828+0.0033803i,-0.00038327+0.0038711i,0.00040071+0.0034169i,0.0011136+0.0020452i,0.0012912+0.00062917i,0.00078037-3.1943e-05i,0.0010613+0.00011001i,0.0012683+4.4059e-05i,0.00044991-0.00035837i,-0.00021414-0.00041494i,0.00044987-0.00044541i,0.00060002-0.00046689i,0.00065906+7.0222e-06i,0.00074179+0.00029187i,0.00044931-0.00066905i,0.00090009-0.0016875i,0.0013751-0.0014899i,0.00065253-0.00010105i,-0.00035573+0.00090583i,0.00021402+0.00080522i
-7.5122e-06-0.0003734i,0.00059788+6.555e-05i,0.0011045+0.0010414i,0.00049207+0.0014895i,0.00051438+0.0014421i,0.0020007+0.00088201i,0.0020936-7.1893e-06i,0.00084061-0.00055337i,0.0002759-0.00048828i,2.0079e-05-0.00019729i,-0.00050108+0.00016146i,-0.00038853+0.00036269i,8.4262e-05+0.00054511i,0.00014752+0.00017384i,-0.00023373-0.00010735i,-0.00016799+0.00039305i,0.00024556+0.00045849i,0.00033635-1.802e-05i,-0.00056727+0.0001543i,-0.00053213+0.00057503i,5.333e-05+0.0004606i,0.00040533-0.00025404i,0.00039516-0.00032514i
1.7021e-05+0.0026761i,0.00082978+0.0025005i,0.0016367+0.0012627i,0.0022666+0.00088843i,0.0022786+0.00096152i,0.0016884+0.001296i,0.00041223+0.0019516i,-0.00039805+0.0020281i,-0.00044856+0.0016331i,-0.00074598+0.00075248i,-0.00023407-0.00013411i,8.3811e-05-0.0008279i,-0.00051035-0.0013295i,-0.00086979-0.001453i,-0.00066099-0.0010295i,-0.00060161-0.00014539i,-0.00050686+0.0006133i,0.00013349+0.00057335i,5.9633e-05+0.0005764i,-0.0003589+0.00039092i,0.00018692+6.8824e-05i,0.00097423-0.00051678i,0.0013416-0.00032414i
0.00061126+0.00027926i,0.00024688-0.00058402i,0.00064292+6.0571e-05i,0.00070456+0.00059561i,8.4288e-05+0.00087564i,-2.7134e-05+0.0010686i,0.00014907+0.0008557i,0.00013848-2.444e-05i,1.4711e-05-0.00093827i,-0.00088987-0.0011823i,-0.0013528-0.00040302i,-0.00082522+0.00049914i,-0.00016392+0.00044756i,-4.3677e-05-0.0001867i,-0.00036727-0.0011519i,-0.00055009-0.0013622i,0.0001905-0.00047878i,0.00059154+5.989e-05i,0.00031897-0.00023111i,1.2495e-05-9.5375e-05i,-0.00062093+0.00074334i,-1.192e-05+0.00068368i,0.00092803+0.00035883i
