-0.0017925+0.00026148i,-0.00031376-0.00023577i,-0.0016528+0.00083173i,-0.0012872+0.0012897i,0.00015986+0.0015955i,0.00085247+0.00091505i,0.00071902+0.00010795i,-0.00033657+0.00079376i,-0.00024862+0.0011155i,0.0007473+0.00063208i,0.00085234-0.00031093i,0.00071455-0.00069619i,0.00085905-0.00016642i,0.00038888-0.00030595i,-0.0005314-0.00058413i,-0.00062659-0.00010424i,-0.00059119+0.00042234i,-0.00066523+0.00052117i,-0.00082392+0.00012863i,-0.00044044+2.972e-05i,0.00014123+0.00080883i,-8.3508e-05+0.0011759i,-0.00035162+0.00060614i
0.00026005+4.527e-06i,0.00023163-0.0014276i,0.00011473-0.0014044i,0.00075384-0.00019115i,0.0012571+0.0017126i,0.0013639+0.0011187i,0.00093276-0.00059283i,1.9705e-05-6.9767e-05i,-0.00021896+0.00068655i,0.00041185+0.00041053i,0.00041781+1.3993e-05i,0.00072215-0.00030978i,0.0009264-0.00057866i,0.00041738-0.00056064i,-4.8973e-05+0.00037045i,0.00019935+0.00049614i,0.0001492+0.00022716i,-0.0006472+0.00060909i,-0.00076605+0.00022734i,1.2312e-05-0.0002351i,0.0010906-0.00082352i,0.00069829-0.00077545i,5.8554e-05+0.00013842i
-0.00044036-3.9682e-05i,-0.0010916+0.00065205i,-0.0016957+0.0022288i,-0.0014806+0.0036092i,-0.00077033+0.0033679i,0.00019073+0.0020218i,0.00045572+0.00071582i,-0.00020719+0.00016263i,5.8437e-05-0.00027345i,0.00044752-0.00054453i,-2.376e-05+0.00039183i,0.00020843+0.00042234i,0.00011377-0.00021684i,-0.00058166-9.6915e-05i,-0.00035017-0.00010569i,-0.00063216-5.5306e-05i,-0.00115+0.00014469i,-0.00030123+8.0741e-05i,0.00025161+0.00042223i,0.00011181+0.00098347i,0.00051986+0.0011605i,0.00066983+0.00068265i,-0.00032613-0.00045098i
-0.00013304-0.00097603i,-0.00064605-0.001544i,-0.0012196-0.00070973i,-0.00040015+0.0010919i,0.00072866+0.0021106i,0.0012413+0.0016971i,0.0013309+0.0011814i,0.00075056+0.00096774i,0.00031128-0.00019194i,0.0010921-0.0007643i,0.0014353-0.0009231i,0.00084265-0.00043098i,0.00039297+0.00018788i,0.00040066+3.6778e-05i,0.00066048-8.7771e-05i,0.00076747-0.00016842i,0.00044324-5.8728e-05i,6.1732e-05+0.00010362i,-0.00046882+0.00023955i,-0.00062591+0.00032835i,2.0629e-06+0.00032198i,0.00051951-0.00012671i,0.0006039-0.00027932i
-0.00084663-0.00015999i,-0.0008769+0.00046015i,-0.0015239+0.0014317i,-0.0014296+0.0022405i,-0.00034095+0.0032703i,0.00082088+0.0026386i,0.0004515+0.0003446i,0.00035209-0.001196i,0.00025681-0.00048046i,5.8592e-05+0.00056866i,0.00035831+0.00070002i,0.00056037+0.00028846i,0.00043439-0.00066783i,-0.00017535-0.00077652i,-0.00071775+2.7874e-05i,-0.00043565+0.00040148i,-0.00049742+0.00050242i,-0.0006921+7.5799e-05i,-0.00028532+3.9099e-05i,5.3032e-05+0.00037214i,0.0005876+0.00082145i,0.0009591+0.00066158i,0.00035797-0.00020731i
-0.00030203-0.00029682i,-0.0012646-5.228e-05i,-0.00067196+0.0001818i,0.00061257+0.00072413i,0.0010423+0.0020425i,0.00055122+0.0023254i,-0.00090909+0.0016862i,-0.00091337+0.00087607i,0.00015105+0.0005528i,-0.00049471-0.00021943i,-0.0007839-0.00081365i,0.00010654+1.4138e-05i,0.00051941+0.00077695i,0.00024992+0.00032588i,-0.00058623+0.00020188i,-0.00093827+0.00059062i,-0.00057825+0.00074832i,-0.00047102+0.00044183i,1.2684e-05+0.00030742i,0.00069018+0.00049729i,0.0012144+0.00039157i,0.0010792+0.00027653i,0.00053057+9.0039e-05i
-0.00023336-0.00027076i,-0.00015208-0.00049634i,-0.00059154+8.5855e-05i,-0.0010868+0.00056754i,-0.0011342+0.0011347i,-0.00013717+0.0017591i,-3.1619e-05+0.0010475i,-0.00056328+0.00021125i,-0.00024208+0.00039769i,0.00072181+0.00075631i,0.0010697+0.00046654i,0.001293-0.00040277i,0.0006036-0.00033023i,-0.00039887+0.00060123i,-0.00050598+0.0011325i,5.1767e-05+0.00058587i,-0.00016706-0.00023149i,-0.00044742-0.00043412i,-0.00070403+7.1738e-05i,-0.00071913+0.00065259i,-0.00031444+0.00052015i,8.578e-05+4.2511e-05i,0.00048284+0.00027597i
0.00078326+0.0014205i,-0.00041036+0.0010808i,0.00019397+0.0008958i,0.00039607+0.0016611i,3.8152e-05+0.0017043i,-3.1411e-05+0.00034189i,-0.00063436+0.00012545i,-0.00067099+0.00056328i,1.2586e-05+0.00063767i,0.00057529+0.00032247i,0.00078767+8.683e-06i,0.00053349+0.00032924i,0.00033532+0.00017712i,0.00047972-1.1146e-05i,0.00023072+0.00011111i,0.00019309-0.00029293i,0.0001493-0.00074966i,-0.00053293-5.4216e-05i,-0.00039743+0.00025055i,-0.00014196+0.00039352i,-0.00077556+7.6326e-05i,-0.00084728-0.00073979i,-0.00073013-0.00067101i
-0.00057375+0.0010564i,-0.0012516+0.0012059i,-0.00066848+0.0012735i,0.00032101+0.0011074i,0.00057733+0.00049545i,-0.00030795-2.157e-05i,-0.0010489+0.00048368i,-0.00098262+0.0011011i,-0.00042829+0.00054321i,-6.0394e-05-0.00051376i,0.00039025-0.00093197i,0.001003-0.00072507i,0.00060435+3.2783e-05i,-0.00016763+0.00060869i,8.5833e-05+0.0002585i,0.00025523+7.2996e-05i,0.00028848+0.00058914i,0.00017767+0.00059224i,-0.00057632-0.00018217i,-0.00060342-0.00042358i,-0.0005802-4.7299e-05i,-0.00026853+2.2104e-05i,0.00017908+0.00011391i
0.0015521+0.00072895i,0.00073698-0.00061253i,4.8482e-05-0.0004544i,-0.00032833+0.0011696i,0.00015491+0.0024128i,0.0005517+0.0023066i,0.00037765+0.001542i,1.9204e-05+0.0014415i,0.0006482+0.00082124i,0.0010174-0.00034653i,0.0011104-0.0013219i,0.0012729-0.0010375i,0.0014215-0.00011942i,0.00089171-0.00034576i,0.00078419-0.00041464i,0.00077261-0.00039752i,-0.00027423-0.0010299i,-0.00036195-0.0011489i,0.00073463-0.00063338i,0.00092531-0.00015062i,-0.00010624+0.00035834i,-0.00077846+0.00087228i,-0.00069454+0.00073698i
-0.001131-0.0012482i,-3.3908e-05-0.00021513i,7.179e-05+0.0011574i,-0.00058176+0.0021411i,-0.00089062+0.0023418i,0.00056947+0.0013084i,0.00046167+0.00014271i,-0.00033095-0.00045586i,0.00030066-0.0007556i,0.00049542-0.00012806i,0.00068351+0.0006565i,0.0010186+0.00013414i,0.00040722-7.5631e-05i,-0.00029271-2.9417e-05i,-0.00037613-0.00062814i,-0.00010946-0.0010986i,-3.2313e-05-9.8937e-05i,-0.00037032+0.00016619i,-0.0003797-0.00045848i,-0.00012331-0.0003992i,0.00030321-0.00017659i,0.00072127+0.00034839i,0.0007138+0.00026034i
-0.00033615+3.9588e-05i,-0.00082289-0.00050824i,-0.0012728-0.00049533i,-0.00080951+0.00049811i,-0.00021855+0.0011665i,-0.00069939+0.00067971i,-0.0017182+0.00030917i,-0.00131+0.00013743i,-0.00037724-0.00030928i,0.00086744-0.00022095i,0.00072247+0.00051687i,-0.00027042+0.00035562i,-0.00057161+1.4726e-05i,-0.00035279-0.00059829i,0.00022237+0.00015705i,5.9923e-05+0.0010052i,0.00014548+0.00063888i,0.00022469+0.00020236i,-0.00011278-0.00037717i,-0.00031819-0.00031796i,-0.00060423+0.0005755i,-3.3102e-05+0.00068614i,0.00058319+0.00027369i
-1.2068e-05+4.3074e-05i,0.00020033+7.3849e-05i,0.0007802-0.00056663i,0.00055902+0.00029749i,0.00028012+0.0011681i,0.00061113+0.0015843i,0.00025535+0.00076458i,-4.9167e-05-0.00047879i,0.00010778-0.00032104i,0.00017878-0.0006262i,0.00082204-0.0007729i,0.0010341+3.8938e-05i,0.00068107+0.00050702i,0.0010628+1.3157e-05i,0.0010448-0.0003736i,0.00024929-0.00016648i,-1.8775e-06+5.4546e-05i,7.7704e-05+0.00019925i,0.0002156+0.00067435i,0.00022586+0.00028846i,-0.0001153-0.000227i,-0.00031538-0.00053604i,-5.4916e-05-0.0014212i
0.00042941-0.0016078i,-0.0013089+0.00030726i,-0.0022279+0.00023102i,-0.0021274+0.00044191i,-0.00079013+0.0018259i,-0.00032909+0.002604i,-0.00048232+0.0017154i,-0.00039824+0.00089509i,-0.00037763+0.00021098i,-0.00054601-0.00032601i,-0.00083342-8.6614e-05i,-7.5206e-05-0.00031701i,0.00051133-0.0003135i,0.00054506+0.00045402i,-1.7231e-05+0.00059161i,-0.00068642+0.00061575i,-0.00037922+0.00022751i,0.00047249-0.00057112i,0.00057903-0.0011943i,0.00055208-0.00089104i,7.0088e-05-0.00050646i,-0.00045046-0.00011408i,-0.00038397-0.00015244i
0.0014817-0.0001257i,0.0009908-0.00071648i,0.00086613-0.0013411i,0.00084672-0.00055334i,0.00042997+0.001029i,-0.00016885+0.0026927i,-0.0008434+0.0025806i,-0.00080527+0.0012481i,1.5001e-05+0.00020044i,0.00021951-0.00024568i,5.0629e-05+4.1841e-05i,-0.00046605-2.4535e-05i,-0.00042309+0.00018277i,0.00051847+0.00047747i,0.0010036+0.00062953i,0.00096964+0.0010222i,0.00082942+0.0010739i,0.00096815+0.00066902i,0.0010222+0.00028762i,0.00066085+0.00028906i,0.00029075+5.5438e-05i,-0.00027935-0.0010272i,-0.00027857-0.00088507i
0.00038566-0.00020766i,0.00025823-0.00047854i,0.00016693+0.00035031i,-6.1365e-06+0.0022338i,0.00056267+0.0034188i,0.0009608+0.0027002i,0.00094478+0.0017592i,0.00039148+0.00098735i,0.00016393+0.00042793i,0.00075543+0.00030091i,0.00091282+0.00044858i,0.0007782-0.00028501i,0.00075113-0.00050151i,-0.00016487+0.00023142i,-5.4487e-05+0.00052402i,0.00055263+0.0004987i,0.0010004+0.00072045i,0.00042682+0.0010163i,-0.00075139+0.0008135i,-0.00035308+0.00044994i,0.00034851+0.00018136i,0.00032175-0.00033082i,0.00029915-0.00039401i
0.00027696-5.1947e-05i,-0.00035411+0.00024951i,-0.00084171+0.00060157i,-0.0012545+0.00038368i,-0.001173+0.00082681i,1.9463e-05+0.00071519i,0.00026212-0.00010598i,1.7078e-05+0.00030494i,-0.00023645+0.00052155i,-0.00029874-0.00018125i,6.6589e-05-0.00020651i,0.00048782+7.2885e-05i,0.00036636+0.00013831i,0.00041364+0.00041034i,0.00072443+0.00050931i,0.00092423+0.00083291i,0.00015988+0.00091339i,-0.00041214+0.0010491i,0.00017896+0.00072675i,0.00035072+0.0001674i,0.00037169-0.00044183i,0.00064931+0.00022277i,0.0003042+0.001111i
0.00091645+0.0012861i,0.00031998+0.0014631i,0.00024335+0.0012726i,0.00036284+0.0013905i,0.00055687+0.0018134i,0.00062166+0.0015307i,-5.4603e-05+0.00094966i,-0.00024222+0.0010174i,0.0007057+4.7312e-06i,0.0014421-0.00098484i,0.00090678-0.00045063i,0.00037297+0.0010383i,-0.00060046+0.00061364i,-0.00095531-0.00010147i,0.00029372+0.00014924i,0.0010446-0.00042749i,0.00028232-0.0013647i,-0.00027255-0.0010051i,0.0002064-0.00091431i,0.0002373-0.0010923i,0.00013394-0.00074209i,9.0108e-06+2.5714e-05i,-0.00041961+0.00040098i
-0.0014919+0.00031685i,-0.0017944-0.0001906i,-0.0014142-0.00022566i,-0.00045452+0.00085086i,0.00047265+0.0024877i,0.00074355+0.0025594i,-0.00048749+0.0013574i,-0.0019581+0.00040519i,-0.0010885-0.00010522i,6.0256e-05-2.4043e-05i,0.00045347+0.00051116i,0.00067842-5.1449e-05i,0.00029749-0.00076025i,0.00016189+4.5864e-05i,0.00012249+0.00060538i,0.0001591+0.00017406i,0.00014616+0.00058215i,-0.00030302+0.00095199i,-0.00057294+0.00094323i,-0.00082251+0.00081947i,-0.00030907+0.00022129i,-0.00012679-0.00020704i,-0.00051987+0.00042407i
-0.00085781-0.0011631i,-0.001301-0.0008474i,-0.0016693+0.00020494i,-0.001079+0.00036778i,-0.00097253+0.0012257i,-0.00061893+0.0016803i,-0.00091633+0.00071526i,-0.0010638-0.00031786i,-0.0011098-0.00067817i,-0.00071741+0.00016867i,6.7605e-05+0.0010304i,7.684e-05+0.000876i,0.00034683+0.00029169i,0.0007108+0.0001421i,-0.00013192+0.00056617i,4.2415e-05+0.00027888i,0.00094357-0.00016281i,0.00012561-0.0005822i,-0.00095472-0.00040775i,-0.00073866+4.4081e-05i,-0.00049517+0.00048811i,-0.00053421+0.00050705i,-0.0002528+0.00017767i
-0.00068502+0.00049527i,-0.00023579+0.00086598i,0.00043804+0.00044415i,0.00076998+0.0014325i,0.00085237+0.0022748i,0.00082317+0.0015436i,-0.00033973+0.00078569i,-0.0009302-0.00026196i,-0.00016857-0.00052529i,0.00016284+0.00013053i,0.00043045+0.00010145i,0.00052992-0.00024954i,0.00014043+0.00043492i,-0.00085494+0.00078185i,-0.00083576+0.00016962i,3.047e-05-0.00025927i,0.00036401+2.8398e-06i,0.00036888+0.00018148i,0.00050818-0.00067062i,0.00070143-0.0013752i,0.00020465-0.0010339i,-0.00074165+0.00026218i,-0.0013033+0.0011696i
0.00039816+9.3844e-05i,-0.00059171-0.00076799i,-0.001328-0.00036679i,-0.00099105+0.0014976i,-0.0003976+0.0030689i,-0.00014749+0.0024488i,3.6651e-05+0.00099937i,0.00037526+0.00031727i,0.00043968-0.00044132i,3.1487e-05-0.00065336i,-0.00010742-0.00019572i,0.00027882+0.00065899i,0.00032854+0.00040212i,0.00022561-0.00047448i,0.00061046-0.00022603i,0.00063159+0.00033704i,1.801e-05+0.00019809i,0.00011144+0.00034349i,7.0976e-05+0.0002792i,-0.00030705-0.00014405i,0.00028403-8.6655e-06i,0.00077042-0.00016392i,0.00045765-0.00044026i
0.00075983-0.0011614i,0.0019519-0.0012261i,0.0012696-0.00097933i,0.00097179+0.0010751i,0.0015928+0.001658i,0.00082039+0.0011704i,-0.00024425+0.0012024i,-0.00036349+0.00088321i,-0.00028113+0.0006641i,-0.00054559+0.00060704i,-0.00020402-8.8985e-05i,0.00030403-0.00045142i,-1.4631e-05-0.00026994i,-0.00040588-0.00055252i,-0.00035005-0.0006074i,-0.00060005-0.00018522i,-0.00080829-0.00013893i,-0.00038561-3.3936e-05i,-0.00051728+2.9242e-05i,-2.1976e-05-6.5136e-05i,0.0007659+0.00013191i,0.00060724+0.00058042i,0.00059827+0.0012485i
-0.00016765-0.00080747i,0.00037539+9.6814e-05i,-0.00070236+0.0010976i,-0.0015131+0.0025097i,-0.00061134+0.0032268i,0.00058388+0.0022022i,0.0006371+0.0012001i,0.00033984+0.0010481i,8.3524e-05+0.00044386i,0.0003427-0.00017292i,0.00082013+0.00084245i,0.00087476+0.0013414i,0.00091551+0.00048058i,0.00079067-0.00035878i,8.7456e-05-0.00043624i,-0.00020649-0.00013533i,0.00052099-0.0001654i,0.00073014+3.6105e-05i,-0.00030507+0.00031011i,-0.00049143-0.00044004i,1.9726e-05-0.00085507i,0.00053236-8.8603e-05i,-9.5081e-05+0.00040773i
0.0010785+0.00021288i,-0.00022789-0.00043266i,-0.0015701-0.00092324i,-0.001678+0.00037586i,-0.0011589+0.0023129i,-0.00018293+0.003116i,-9.7725e-05+0.0023145i,-0.00025331+0.00052932i,-0.0002897-0.00038679i,-0.00022238-0.00044862i,0.00015396-0.00043138i,6.6718e-05-1.9322e-05i,-0.00055668+1.7406e-05i,-2.5395e-05+0.00010246i,0.00059447+4.1341e-05i,0.00033741-0.00053749i,0.0002341-0.0010881i,0.00023538-0.0008302i,-0.00013094-0.00031913i,-0.00060968-0.0004909i,-0.0001543-4.6384e-05i,-0.00022134+0.00038662i,6.2451e-05+0.00015838i
-0.00011532-0.00015378i,0.00029413-0.00018904i,0.00071229+0.00061422i,0.00038805+0.0012263i,0.00054225+0.0015305i,0.00096374+0.00033969i,0.00031734+0.00022267i,-0.00053852+0.00045703i,0.00039406-0.00077562i,0.0014957-0.00075088i,0.00069092-0.00083514i,-0.00019414-0.001089i,-2.1352e-05-0.00066538i,-9.0521e-05+0.00030749i,-0.00072721+0.0010326i,-0.0010565+0.00049639i,-0.00011527+2.4426e-05i,0.00048118+0.000677i,0.0002629+0.00061179i,0.0008652-0.00014472i,0.00026497+0.00022912i,-0.00081683+0.00070934i,-0.00042618+0.00079937i
0.00066386+0.0015087i,0.00027094+0.00092499i,0.00035387+0.00013167i,0.00064488+0.00045442i,9.9362e-05+0.0019685i,-0.0010076+0.0018166i,-0.0012154+0.0012945i,-0.00078804+0.0010039i,0.00027905-2.7197e-05i,0.0012241-0.00042513i,0.0009983-0.0008014i,0.0006893-7.1801e-05i,0.000824+0.00071469i,0.00077333+0.00061716i,0.00032182+0.00070079i,-0.00053732+0.00030906i,-0.00087544+0.0010909i,-0.00048892+0.00090989i,-0.00050405-0.00013894i,-0.00094685-2.4542e-05i,-0.00059263+0.00037349i,-0.00069678+0.00060062i,-0.00047935+0.00038438i
-0.00028057+0.00057114i,-0.00039146+0.0002473i,0.0002837-0.00035983i,2.9674e-05+0.00016504i,-0.00025609+0.00097885i,7.2354e-05+0.00047008i,-0.000149-0.00018071i,-0.00036417+0.00022509i,9.7584e-05+0.00031572i,-8.8895e-05+0.00031468i,0.00042677+0.00026273i,0.001382+0.00041791i,0.0014867+0.00048267i,0.00050698+0.00028155i,-0.00021359-2.6165e-06i,-0.00037854-0.00059092i,-0.00016366-0.0010017i,-7.6092e-05-0.00028686i,-0.00086488-7.29e-05i,-0.00083343-0.00077548i,-0.00031775-0.0006619i,-0.00037332-0.00065462i,-0.00055589-0.0004639i
0.0012325+0.00085444i,0.0013089+0.00052523i,0.00107+0.00085812i,0.00037079+0.0015861i,-0.00016995+0.0016657i,0.00037934+0.0020141i,4.5705e-05+0.0019423i,-0.00057035+0.00063128i,-0.00042826+6.8973e-05i,7.6857e-05-3.4496e-05i,0.00031217-0.0005456i,0.00062478-0.00063563i,0.00088419-0.00022228i,0.00044302+0.00014639i,-0.00030743+0.00040286i,-7.068e-05+0.00058894i,0.00054497+0.00056686i,0.00039789+0.00020051i,0.00026335-0.00019408i,-0.00018792-0.00040937i,-0.00052512+0.00013198i,-0.0012914+0.00085186i,-0.001386+0.00035014i
0.00083884-0.00020713i,0.00010228+0.00034353i,-0.00046924-6.5576e-05i,-0.00039614+0.00065509i,-0.00036447+0.0014188i,0.00022362+0.0010258i,0.00026856+0.00080622i,-0.00043142+0.00038264i,-0.00074916-5.0251e-05i,-0.00023496-0.00013508i,2.6447e-05-0.00027277i,-0.00016864-0.00036805i,0.00016084+8.3921e-05i,0.0010557-0.00049727i,0.00080732-0.0010196i,0.00011003-0.00091636i,0.00022475-0.00034169i,-0.00012404+8.6323e-05i,-0.00047815-0.00020313i,-0.00072693+8.336e-05i,0.00013159+0.00010354i,0.00085861-0.00012317i,0.0002555+0.00022704i
-0.00035903-0.0013617i,0.00011047-0.0003118i,0.00015961+0.0010035i,0.00022747+0.0021937i,0.00024499+0.0022275i,-3.2389e-05+0.0011082i,-3.8166e-05+0.00024342i,0.00020237-0.00024111i,0.00027055-8.5687e-05i,-0.00010221+0.0002861i,0.00025588+0.00065516i,0.0012431+0.0013017i,0.0021055+0.00055547i,0.0017428-0.00036672i,0.0012936+0.00044282i,0.00050609+0.00065328i,-0.00043126-0.00035857i,-0.0006972-0.00022953i,-2.9071e-05-6.4997e-05i,0.00072995-0.00019543i,0.00074642-2.2168e-05i,0.00017984-2.1098e-05i,0.00035939-0.00027809i
0.00083298+0.00029139i,-0.0005886+0.00016617i,-0.001284-0.00089509i,-0.0014906-0.00041567i,-0.0011009+0.0014019i,-0.00024584+0.0020691i,0.00056559+0.0016904i,0.00044355+0.0011416i,-0.00023588-5.0377e-05i,-0.00047581-0.00085366i,0.00063992-0.0009215i,0.0013196-0.00017677i,0.00071898+0.00048745i,0.00068616+0.00061237i,0.00022336+0.00039669i,-6.6105e-05+0.00038274i,0.0005808+0.00039038i,0.00046938+0.00085331i,0.00019674+0.00078366i,0.0001505-6.9802e-05i,-0.00024432-0.00020478i,-0.00096715+0.00031548i,-0.0016769+0.00049456i
-8.1112e-05-0.00011613i,0.00066451-0.00013464i,0.00072273-0.00018537i,0.00087285+0.00074456i,0.001321+0.0012127i,0.00077851+0.00096308i,-1.8246e-05+0.00086138i,-0.00062248+0.00078957i,-0.00058531+0.0002461i,-3.4788e-05+0.0001903i,0.00025449-1.8974e-05i,-1.0667e-05+0.00011035i,-0.0010451+0.00013359i,-0.00089666+0.00018527i,-0.00044898+0.00025119i,7.0206e-05+0.00060982i,0.00038013+0.00054424i,-0.00028038+0.00047617i,-0.00069178+0.00055148i,-0.00030946+0.00083898i,-0.00011189+0.0010871i,-0.00044729+0.00085267i,-0.00070493-5.5667e-05i
