-0.0037504+0.00023054i,-0.0028908-0.00014582i,-0.0033192+0.0008307i,-0.0020149+0.0024141i,-0.00049193+0.0029356i,-0.0004308+0.0026391i,-0.0014547+0.002249i,-0.0012037+0.00061423i,0.00019333-0.00092511i,0.00048651-0.00082635i,0.00046797-7.001e-05i,0.0011387+0.00023905i,0.0019313+6.1581e-05i,0.0013244+4.5876e-05i,0.00054491+0.00012591i,0.000293-0.00022164i,-0.00016767-0.0004596i,-0.00026177-0.00010974i,4.4002e-05-0.00029183i,1.8683e-05-0.00022784i,-0.00026293-9.3483e-06i,0.0002452-0.00021801i,0.00037137+1.2021e-05i
-0.00051189-0.0018369i,-0.00012704-0.0018595i,0.00013774-0.0013778i,5.9722e-05-0.00098299i,0.00053517-0.001177i,-0.00022635-0.0013074i,-0.0010902-0.00081087i,-0.00072068-0.00058203i,-0.00085638-0.0010988i,-0.0010363-0.0010544i,-0.00045725+7.0656e-05i,8.6994e-05+0.00076083i,0.00067698+0.00048575i,0.00078069+0.00087076i,0.00030679+0.0013336i,0.0002483+0.00074138i,-4.6091e-05+9.225e-05i,-0.00048965+0.00020072i,2.8596e-05-0.00033814i,0.00034908-0.00099214i,0.00021592-0.00021242i,-0.00035471+0.00022764i,-0.00026956+3.0771e-05i
-0.00028217+0.00095015i,-0.00037717+0.0017057i,-0.00037923+0.0027701i,0.00067804+0.0017957i,0.0013528+0.00040259i,0.00068416-0.00073246i,0.00044904-0.00085869i,-0.00019109-0.00018481i,-0.00050807+0.00025223i,0.00019399+0.00070367i,0.00062524+0.00029263i,0.00035408-0.0005148i,-0.00061812-0.00061162i,-0.00041684-0.00053177i,0.00029129-0.00039247i,2.2286e-05-0.00019756i,-0.0002193-7.2105e-05i,-0.00052636-2.0631e-05i,-0.0003753+2.0953e-05i,0.00062141+0.0002598i,0.0009123+0.00094708i,-2.9708e-05+0.00044244i,-0.00018188-6.7549e-06i
0.0019244-0.00064889i,0.001629-0.0012268i,0.0011567-0.0024189i,0.0011842-0.0028504i,0.0012438-0.0023953i,0.0010483-0.0014542i,-0.00012792-0.00033593i,-0.00086829-0.00028295i,-0.00037709-0.0013524i,-6.086e-05-0.0010483i,-8.5127e-05+0.00013321i,1.4894e-06+0.00061256i,0.00036306-1.894e-05i,0.00026869-0.00030511i,0.00031022-0.00042107i,0.00038463+9.4811e-05i,0.00068387+0.00073357i,0.00087702+0.00055093i,0.00067761+0.00046409i,0.00059511+0.00036858i,0.0010956+6.1525e-05i,0.00096722-0.00021686i,8.7035e-05-0.00078258i
0.0014312+0.00052194i,0.0012715+0.0004206i,0.001284+0.0012825i,0.00065428+0.00041573i,0.00072399-0.0012745i,-0.00027726-0.0019862i,-0.0014799-0.0011508i,-0.0011317+0.0001568i,-1.5722e-05-0.00034537i,6.8018e-05-0.001653i,-0.00042093-0.0022539i,-0.00027823-0.001035i,8.2516e-05+0.00031076i,0.00028293+0.00023323i,0.0003401-0.00032882i,0.00087728-0.0003134i,0.0017568+0.00092259i,0.001469+0.0017981i,0.00083252+0.00078785i,0.0010484-0.00047552i,0.00062988-0.00092805i,3.6098e-06-0.0011527i,-0.00023848-0.00090088i
-0.00013358+8.7975e-05i,-0.00023876-0.00044054i,0.00064036-0.0014146i,0.0002753-0.0012304i,0.00055419-0.00076245i,0.00058845-0.00054811i,0.00037842-0.00072251i,0.0010481-0.00074193i,0.00049208-0.00072363i,-0.00061912-0.00051687i,-0.0014949-9.5681e-05i,-0.0017524-0.00017674i,-0.00093547-4.1596e-05i,-0.00088189+0.00062696i,-0.00094183+0.00021373i,-0.00035573+8.3932e-05i,-0.00022668+0.00031129i,-8.9137e-06+0.00024787i,-1.3606e-05+8.5377e-05i,-0.00037792+0.00015798i,0.00011598+0.0006746i,0.00046037+0.00047191i,0.00040279-4.6836e-05i
0.0012072-0.00018761i,0.0019722-0.00090736i,0.0017593-0.0012883i,0.00014656-0.00078018i,-0.00063793-0.00090614i,-0.00096324-0.0010683i,-0.0013653-0.00055819i,-0.00094541+6.6122e-05i,0.00016319+0.00019892i,2.3747e-05+0.00017964i,1.9613e-05-9.5463e-05i,0.00046287-6.7828e-05i,0.00054703+0.00060099i,-0.00030863+0.00069535i,-0.00028143+0.00051362i,0.00038075+0.001008i,0.00030453+0.0013814i,0.00011809+0.00066426i,5.3854e-05-0.00016833i,-0.0004022-0.00060365i,-1.0008e-06-0.00078808i,0.00073206-0.00063944i,0.00077208-0.00081513i
-0.00048672+0.001329i,-0.00018345+0.00072028i,-7.4813e-05+0.0011421i,7.6699e-06+0.0014317i,0.00040706+0.0010257i,0.00031747-5.7947e-05i,0.0001882-0.00038967i,0.00033093-0.00039091i,0.00032063-0.0003201i,-0.0003512+0.00025291i,-0.00026207+0.00048962i,0.00082823+0.00079676i,0.00014384+0.001095i,-0.00082926+0.00088413i,-0.00041481+6.2805e-05i,-0.00050575-0.00039985i,0.00026218-0.00041839i,0.00068497-0.00051823i,2.0313e-05-0.0005888i,-0.00054164-0.0001295i,-0.0007203-0.00012157i,-9.5825e-05+1.1274e-05i,0.00031164+0.00039406i
-0.0016004-0.00024808i,-0.0013421-0.00033011i,-0.0015779+0.00026643i,-0.00091744+0.00058365i,0.00043423+0.00029257i,0.0012091-0.00013737i,0.0017266+4.2098e-05i,0.0013115+0.00016001i,0.00023992+0.00057014i,-4.632e-05+0.00093793i,-4.379e-05+0.00093975i,0.00036042+0.00073546i,0.0010902+0.00091494i,0.0012402+0.00085015i,0.0006841+0.00024209i,0.00056931+0.00031259i,0.00063476+0.001046i,-0.00047553+0.0013458i,-0.00072049+0.00071547i,-6.7177e-05+6.2182e-06i,0.00030958-0.0001773i,0.00030621-0.0001891i,0.00046935+0.00010954i
0.00067833+0.0014143i,0.0010134+0.0014033i,0.00096809+0.0015389i,0.001674+0.00049546i,0.0022303-0.00060873i,0.0010687-0.00065223i,-0.00023565-0.00019903i,-0.00041759+4.9101e-05i,0.00032019+0.00045951i,0.00025586+0.00043356i,0.0006727-4.9619e-05i,0.0015528-0.00018928i,0.00072056+8.7695e-05i,-0.00046591+0.00036297i,0.00013932+0.00058598i,0.00021884+0.00038127i,-0.00042569-0.00074979i,0.00021596-0.0013426i,0.001361-0.00051119i,0.0012371+0.00046955i,0.00041118+0.000568i,0.00016211+0.00053344i,0.00028323+0.00052507i
-0.00082534-0.0010924i,-0.0010274-0.00080147i,-0.0008424-0.0011411i,-0.00069168-0.0012591i,-0.00039765-0.0011689i,-0.0005061-0.0013576i,-0.0007331-0.0012045i,1.5741e-05-0.00035217i,0.00011101-0.00046892i,-0.00091543-0.0010727i,-0.00091583-0.00035695i,-0.00028985+0.00031877i,0.00021161+7.6224e-05i,0.00054876+0.00037526i,0.00027557+0.00058619i,-0.00040428+0.00026014i,-0.00040245+0.00058247i,-0.00029635-0.00026866i,-0.00020843-0.00095003i,0.00013827-0.00052672i,0.00048175-0.00046226i,0.00022805-0.0012311i,2.3911e-05-0.0014386i
