-0.0049911-0.00084005i,-0.0035469-0.00025139i,-0.0039634+0.00053548i,-0.0039631+0.0015103i,-0.0034779+0.0020221i,-0.0019526+0.001989i,-0.00067824+0.001445i,-0.00040109+0.0014059i,-0.00011109+0.0020759i,-1.4587e-05+0.002341i,-0.00050159+0.0019344i,-0.00017345+0.00054808i,0.00060574-0.00031479i,0.0005186+0.00045864i,0.00034907+0.00083815i,0.00036607+0.0006718i,0.001147+0.00044674i,0.0012642+0.0006802i,0.00041685+0.00048383i,-6.1448e-05-0.00013323i,-0.00069482+0.00011381i,-0.0010368+0.00052184i,-0.00052809+0.00074041i
0.0018877+0.00042411i,0.002048-0.00044083i,0.0030497-0.0022693i,0.0024077-0.0040181i,0.00015447-0.0037419i,-0.0012899-0.0020594i,-0.0011832-0.00044582i,-0.00019885-0.0010376i,0.00055083-0.0014279i,0.00023043-0.00058493i,-0.0002341+0.00014308i,-0.00048753-0.00013433i,-0.00053575-0.00085269i,-5.8142e-05-0.0011657i,-9.5896e-05-0.0012723i,-0.00082461-0.00026373i,-0.00077336+0.00059035i,-0.00044131+0.00043881i,0.00052933+3.9253e-05i,0.00096523-0.00027143i,5.7742e-05+5.5407e-05i,-0.00017417-0.00018599i,0.0001878-0.00054921i
0.0015337+0.00044812i,0.0017902+0.00010431i,0.0016618-0.00039701i,0.0015078-0.0016016i,-9.7623e-05-0.0019701i,-0.0010745-0.001644i,-0.0010261-0.00056167i,-0.0014531-0.00070523i,-0.00095418-0.00065497i,-0.0005622-0.0001356i,-0.00061-0.0001997i,-0.00011021+0.00015199i,-0.00035911+0.00014972i,-0.00058873-0.00042391i,0.00019451-0.00060991i,7.3589e-05-0.00023718i,-0.00034277+0.00012761i,-0.00043522+0.00043686i,4.7419e-05+0.0003931i,5.3459e-05+2.7987e-05i,-0.00030343+0.00026402i,-7.8811e-05+8.9686e-05i,-1.3817e-06-6.8472e-05i
0.0011613-0.0017887i,0.0012913-0.00070345i,0.00099266+1.4677e-05i,0.00068275-0.00087155i,0.00017755-0.0020332i,-0.00014487-0.0015319i,-0.00010622-0.00028439i,0.00037614-0.00072753i,9.063e-05-0.0009589i,0.00022928-0.0012865i,0.0003494-0.0020868i,-0.00031477-0.0014545i,-0.00012989-0.00088341i,0.00030319-0.0011923i,-0.0001994-0.00075893i,-0.00032389+0.00046622i,0.00042631+0.00053559i,0.00076485-0.00015813i,5.2318e-06+0.00020724i,-0.00041991+0.00019584i,-0.00043165-3.1718e-05i,-0.001357+0.00027119i,-0.0014337+0.00029997i
0.0020399-5.9763e-05i,0.0016739+0.00078141i,0.0014715-5.7687e-05i,3.788e-05-0.0013022i,-0.0012014-0.0017016i,-0.0015225-0.00065305i,-0.00029796+0.00085137i,0.00068668+0.00090114i,0.00074473+0.00068117i,0.00071605+0.00034273i,0.00030782-1.4375e-05i,0.00055813-0.00011696i,0.0010497+3.1499e-05i,0.00084199+0.00011844i,0.00048272+8.0184e-05i,-5.8899e-07-5.1369e-05i,-0.00020317+0.00011003i,-0.00052404+0.00050274i,-0.00044833+0.00017533i,-1.8743e-05+5.8772e-05i,-1.2628e-05-7.6011e-05i,-0.00066891-0.00011869i,-0.00092259+0.00045873i
-0.00038977+0.0012231i,-7.9826e-05+0.0007969i,0.00096072+0.0003541i,0.0020795-0.00030495i,0.00084695-0.0011815i,-0.00026942-0.0013706i,0.00021566-0.0012216i,0.00039191-0.00092072i,-0.00010548-0.00012313i,7.8392e-05+1.9206e-05i,0.00033107+0.0005742i,0.00040991+0.00086345i,0.00055976+0.00014776i,0.00023882-0.00014295i,0.00026956+5.2011e-05i,-7.0332e-05-0.00033745i,0.00039986-0.0010609i,0.0008019-0.00044914i,-1.8839e-05+0.00053499i,-0.00011485+0.00020918i,-0.00040916-0.00036294i,-0.00077476+0.00021006i,-0.00046549+0.00085242i
-0.0021268-0.00079981i,-0.00048645+0.0003963i,0.00036534+0.00010947i,0.00055956-0.00060904i,-0.00049159+9.7921e-05i,-0.0016896+0.0007867i,-0.0012375+0.00025386i,0.00016983-0.00044341i,4.5567e-05-0.0006306i,-0.00018955+0.00035871i,-0.00044875+0.0012944i,-0.00037641+0.0010096i,-7.9055e-05+2.8658e-05i,-0.00030967-4.035e-05i,-0.00028821+0.0012027i,0.00025519+0.001617i,0.00064276+0.00038782i,0.0002818-0.00039079i,-0.00029907+9.7013e-05i,-0.00065742+3.5686e-05i,-0.00082566-0.0001505i,-0.00080218+0.00019075i,-0.00060064+0.00082401i
0.0021371+0.0018324i,0.0030324+5.1062e-05i,0.003634-0.0013183i,0.0026769-0.0031857i,0.00062161-0.0045829i,-0.0014079-0.0031995i,-0.0013098-0.0012728i,-0.00024275-0.00053441i,-9.4119e-05-0.00069457i,0.00078637-0.00096487i,0.001364-0.00050235i,0.00090756-0.00035258i,7.8161e-05-0.00039168i,0.00039748-0.0010453i,0.00058035-0.0012485i,0.00014163-0.00037753i,-0.00013652-0.00013231i,-0.00048209-0.00035996i,8.1106e-05-0.00018543i,0.00032496-9.1165e-05i,-0.00022008-0.00059746i,0.00020891-0.0009419i,0.00049521-0.00039654i
0.0019337+6.71e-05i,0.0017194-0.00012152i,0.0017352+0.00015523i,2.5718e-05-0.00063068i,-0.002228-0.0023289i,-0.0021063-0.002074i,-0.0011859-0.0010939i,-0.00088205-0.0005667i,-0.00039827-0.0013051i,0.0001453-0.0018236i,0.00058299-0.0016775i,0.00064887-0.0014814i,0.00028042-0.0008562i,-0.00056804-0.00070467i,-0.00051553-0.00079769i,-0.0001056-0.00035385i,0.00017911-0.00056775i,0.00064465-0.00087653i,0.00024775-0.00039204i,-0.00016735+0.00045219i,-0.00062552+0.00038459i,-0.00056579-0.00042306i,-3.9601e-05-0.00025082i
0.0005731-0.0019878i,0.00012601-0.0026331i,0.00075537-0.0024368i,0.00044027-0.0016816i,-0.00051074-0.0011975i,-0.0013487+0.00010772i,-0.0017081+0.00096404i,-0.0012084+0.00028997i,-0.00076448-0.00040278i,-0.0012105-0.00049761i,-0.0017462+0.00028608i,-0.0012662+0.00070375i,-0.00085767-4.475e-05i,0.00010992-0.00077003i,0.00042913-0.00036143i,-0.00030469+1.3332e-05i,-0.00032109+0.00061389i,-0.00034473+0.0011141i,-0.00039476+0.00057139i,-0.00029146+0.00021614i,-0.00038159+0.00057606i,-0.0011779+0.00041491i,-0.00078963-0.00055943i
0.0009966+0.00016522i,0.0014155-0.00066061i,0.0016865-0.0012114i,0.0015357-0.0021881i,-3.5678e-05-0.0031416i,-0.0010201-0.0020987i,-0.00116-3.8574e-05i,-0.00059782+0.00048068i,-0.00023784-0.00023117i,-0.00052504-0.00059077i,-0.00012895-0.00016608i,0.00053222+0.00034962i,0.0010767+0.00063027i,0.0010779+0.00068169i,0.00018803+0.00018589i,-0.00090506+8.826e-05i,-0.00092391+0.00050559i,-0.00047205+0.00088871i,-0.00060291+0.00040784i,-0.00038018-1.8271e-05i,-8.8472e-06+0.00030195i,-0.0010549+0.00013825i,-0.0010929-0.00016591i
0.00057534-0.0012238i,0.0012646-0.00029735i,0.00087858-0.00041587i,0.0001881-0.00089497i,-0.00098825-0.0010157i,-0.0013823-0.00031003i,-0.00087508+6.8295e-05i,-0.00060885+6.9405e-05i,-0.00036792+0.00024282i,-0.00051497+6.1759e-05i,-0.00074602-0.00044861i,-0.00088864-0.0005284i,-0.0001209+2.802e-05i,0.00015622+0.00012819i,0.00020964-2.5602e-05i,0.00076718+0.00048076i,0.0004785+0.00043117i,0.0004146+2.4258e-05i,-3.3907e-05-0.00028029i,-0.0011402-0.00029459i,-0.0013072-2.5046e-05i,-0.00088958+0.00053916i,-0.00048018+0.00098688i
5.4947e-05-0.0011233i,0.00068967-0.0008905i,0.0015583-0.0001269i,0.0012512-0.00064533i,-0.0006055-0.0016696i,-0.0014191-0.0005969i,-0.0012829+0.00034095i,-0.00085479-0.00074046i,-4.9047e-05-0.0010987i,0.00037665-0.00084543i,0.00095719-0.00010542i,0.0013748+0.00055736i,0.00063949+7.8629e-05i,0.00057566-0.0001032i,0.00064974+0.0003633i,0.00033285+0.0003219i,0.00028451+0.00040565i,-0.00019538+0.00024019i,-0.00014224-0.00042836i,0.00070221-0.00062275i,0.00034591-0.00057611i,0.00044802-0.00028857i,0.00053993+0.00039239i
0.00080883+4.1377e-05i,0.0012093-0.00067138i,0.0013776-0.0013288i,0.00081193-0.0017408i,-0.00051103-0.0011265i,-0.001866-0.00078911i,-0.0016721-0.0009317i,0.00029306-0.00085147i,0.00060342-0.00077167i,4.9846e-05-0.00011056i,0.00022936+0.0010605i,-3.8375e-05+0.0013613i,0.00021535+0.00028581i,0.00046903-6.9974e-05i,0.00036139+9.4059e-05i,0.0012642+0.0001507i,0.0012031+0.00053266i,0.00062415+0.00029777i,0.00048028-5.799e-05i,-0.00053525-0.00033i,3.3526e-05-0.0005319i,0.001063+0.0001045i,0.00063759+0.00025078i
0.00033107-0.0023459i,0.0014057-0.0021426i,9.5211e-05-0.0013022i,-0.0010443-0.0006911i,-0.0020138-0.0011011i,-0.0021965-0.0009301i,-0.0010565-0.00054547i,-0.00054058-0.00026795i,-0.0010112-0.0006428i,-0.0015043-0.00061954i,-0.0014608-0.00040786i,-0.0012996-0.00022139i,-0.00099665+6.0664e-05i,-0.00080611+0.00057329i,-0.00071758+0.00081763i,-2.8471e-05+0.00016316i,0.00051557-7.6008e-05i,0.00054548+0.00069825i,-7.0599e-05+0.00094715i,-0.00056474+0.00038379i,-0.00029305+0.00050709i,-8.718e-05+0.00055767i,0.00038509+0.00029625i
0.00036397+0.00071057i,0.00086277-3.5573e-05i,0.0017575-0.00056176i,0.001626-0.0014712i,-5.7959e-05-0.0016797i,-0.0018656-0.0011023i,-0.0014109-0.0011214i,2.3403e-05-0.00085412i,5.2532e-06-0.00085654i,1.1077e-05-0.00061175i,0.0004234-0.00014122i,0.00084823+0.00095385i,0.0010852+0.0015484i,-2.2581e-05+0.00077288i,-0.0004417+0.00010988i,-5.8241e-05-0.00080435i,-0.00024124-0.001087i,-0.00066991-0.00059764i,-0.00031508-0.0010262i,0.00011481-0.00043321i,-0.00036659+0.00051296i,-0.00032997-7.8506e-05i,-0.00030645-0.00015387i
0.0011231+0.0013545i,0.002319+0.0010887i,0.003054+0.0011216i,0.0032282-0.00058053i,0.002152-0.0013856i,0.0005806-0.00094694i,-0.00044823-0.00010991i,-0.0011201+0.00071995i,-0.00042887+0.00068255i,0.0011277+0.0005638i,0.0014673+0.00085782i,0.00049772+0.0012488i,-0.00010133+0.001194i,-0.00072062+0.0007372i,-0.0014267+0.00036979i,-0.001209-0.00015363i,-0.00066429-0.00040067i,-0.00078455-0.00038871i,-0.00068627-0.00065659i,-0.00032623-0.00046924i,-0.00032306+4.2845e-05i,-9.4671e-06+0.00049324i,0.00036222+0.00064713i
0.00088229-0.0014784i,0.00086536-0.00043178i,0.00072887-0.0013244i,-4.6938e-05-0.0032761i,-0.0018493-0.0041107i,-0.0018279-0.0030191i,2.1228e-05-0.00097443i,0.00034233-0.00047906i,-0.00013765-0.00092226i,-0.00082091-0.00089451i,-0.0012027-0.0013582i,-0.00073897-0.0013632i,-0.00011831-0.00055554i,0.00054862-0.0001585i,0.00067456+0.00046649i,0.00029479+0.001462i,-0.00024919+0.0015507i,-0.00070962+0.00061884i,-0.00094489+0.00013319i,-0.0012216+0.00088265i,-0.0013845+0.00034249i,-0.00079878-0.00046857i,-0.00045366+0.00028257i
-0.0010132+0.0014976i,0.00024123+0.0013954i,0.00041418+0.0017654i,0.00070977+0.0011415i,0.00055542+9.9879e-05i,-0.00020671-4.6755e-05i,-0.00018626-0.00071246i,0.00015756-0.00082595i,0.00057582-0.0004042i,0.00086595-0.0002645i,0.00058616-0.00059237i,-0.00022401-0.00078822i,-0.0002647-0.00081321i,0.0003589-0.00083989i,0.00053095+7.7433e-05i,0.0010843+3.686e-05i,0.0013367+5.8791e-08i,0.00039895+0.00046429i,0.00020375+0.00028463i,0.00036901+0.00040717i,-0.00018559+4.0315e-05i,-0.00036588-0.00081472i,0.00075049-0.0003727i
-0.0021993-0.00036073i,-0.0014277+0.0011646i,0.0001479+0.0025803i,0.00093747+0.0016834i,0.00046701+0.00059145i,0.00058023+0.00020164i,0.00081933-0.00045623i,0.00034737-0.00087422i,-0.0002671-0.00080157i,-0.00030182+0.00070028i,-0.00010811+0.0017491i,-0.00021935+0.0009884i,0.00021963-0.00017689i,0.00066421-0.00047236i,0.00081984-0.00062293i,0.0008679-0.00068455i,-0.0002027-0.00012644i,-0.0010439-0.00020017i,-0.0011173-0.0001781i,-0.00084395+0.00079344i,-0.00019632+0.0013389i,-9.7611e-05+0.0010272i,6.3239e-05+0.00033086i
-0.0008799+4.3193e-05i,2.0427e-05-0.00013658i,0.00053988+8.5691e-05i,0.00021749-0.00027271i,-0.00022224-0.0010225i,-0.00075797-0.00069465i,-0.00077621-0.00020846i,6.1348e-06+1.9449e-05i,0.00050312-0.00034824i,-0.00014618-0.00074401i,-0.00034605-1.3655e-05i,0.00015036+0.00085214i,0.00027735+0.0004764i,-7.7442e-05-0.00013595i,-1.1639e-05+0.00016961i,0.00054815+0.00052191i,0.00052492-0.00011824i,-0.0004681-0.00024241i,-0.00075402+0.00013094i,7.4062e-05-5.2701e-05i,-0.00012207-0.00025471i,-0.00067096-3.0488e-05i,-0.0010728+0.0001692i
0.0020266+0.00029625i,0.0021697+0.00087785i,0.0025294+0.00017641i,0.0016866-0.0019482i,-0.0001452-0.0040822i,-0.000966-0.0034324i,-0.0005736-0.0011105i,-0.00011573-0.0005674i,7.352e-06-0.00048241i,8.7853e-05+3.7011e-05i,-3.0191e-05+0.00036902i,-0.0004385+0.0012739i,-0.0015475+0.00071028i,-0.001647-0.00095464i,-0.00022717-0.0006651i,0.00018216+0.00012818i,-0.00027274+0.00050342i,9.0642e-05+0.0006725i,0.00024448+0.00052227i,-0.00038825+0.00012961i,-0.00039863-0.00043404i,6.2432e-05+1.7887e-05i,0.00092289+0.0004595i
0.00080096+0.0010922i,0.00077813+0.00023114i,0.0016359-0.0011359i,0.0014106-0.0011654i,-0.00017053-0.00080499i,-0.0012625-7.1199e-05i,-0.00016558+0.00058173i,0.0017038+0.00018413i,0.0017679-0.00045176i,0.0010624-0.00091431i,0.0013206-0.00082219i,0.0015912+0.00016875i,0.001357-5.3504e-05i,0.0011437-0.00094132i,0.0003586+0.00044262i,-0.00035819+0.0018152i,-0.0008281+0.00089781i,-0.00096632+0.00033979i,-0.00023087+0.00062372i,0.00022801+0.00034618i,0.00013456+0.00066242i,-0.00018188+0.00082945i,-0.00027087+0.00070338i
0.0005967-0.00050185i,0.00067553-0.0008484i,0.00084986-0.00059222i,-0.0011861-0.00081091i,-0.0026435-0.0014247i,-0.0016621-0.001191i,-9.4122e-05-0.0008198i,0.00033706-0.00068385i,0.00039151-0.0006661i,0.00029442-0.0002313i,0.00013034-0.00032221i,0.00045405-0.00055057i,0.0011524+0.00027086i,0.001148+7.6815e-05i,0.0009313-0.00026657i,0.00077443+0.00064199i,0.00067059+0.00042046i,0.00065375+9.706e-05i,0.00088265+0.00027152i,0.00065747-0.00025425i,-0.00050997-0.00024887i,-0.00099575+0.00055794i,-0.00015655+0.00046649i
-0.0032671+2.072e-05i,-0.0029133+0.0010893i,-0.0022985+0.0023337i,-0.0014994+0.0018606i,-0.0015505+0.00071872i,-0.0010655+0.00072857i,-0.00018877+0.00059427i,-4.3736e-06+0.00045313i,-0.00034566+8.8234e-05i,-0.00045396-0.00085081i,-0.0005302-0.00096866i,-0.00032933-0.00041292i,0.00023556+0.00079471i,4.3668e-05+0.00082406i,-0.00029969-0.00019809i,0.00032943-7.7459e-05i,0.0015001+0.00061913i,0.0014354+0.00040909i,0.00074966-0.00034818i,-0.00017889-0.00023647i,-0.00034867+0.00057864i,-0.000189+0.00091423i,-0.00054198+0.00083271i
0.00012148+0.00072021i,0.0015294+0.0007921i,0.003086+0.001072i,0.0027582+0.00062268i,0.00070602-0.001149i,-0.0002444-0.00122i,-0.00022595-0.00041922i,-0.00017339+3.5584e-05i,-0.0003287-0.00038104i,-0.00051666-0.0014718i,-9.808e-05-0.0011683i,-0.00015579-0.00025304i,-0.00031762-0.00040524i,-0.00016616-0.00084565i,0.00023514-0.00063769i,0.00067575-7.4737e-05i,0.0011761+0.00055327i,0.00056095+0.0010105i,-0.00022009+0.00025631i,-0.00021738-0.00052099i,-0.00017789-0.00014839i,-0.00031951+0.00017143i,-6.754e-05+0.00052971i
0.00020448-0.00034916i,-0.0011358-0.00046065i,-0.00057828-0.0017226i,0.00027935-0.0030356i,-0.00085967-0.0029249i,-0.0024083-0.000994i,-0.001076+0.00077182i,0.00031868+0.0010595i,3.3816e-05+0.00055477i,-0.00056575-0.00011014i,-0.00070942-0.00030381i,-0.00081885+0.00091893i,-0.0008166+0.0016435i,-0.00048109+0.00076661i,-0.00030138-7.1984e-05i,-0.00041783-5.5729e-05i,-0.00038872+0.0003703i,-0.00066018-0.00014048i,-0.00027936-0.00063273i,2.5895e-06-0.00012481i,-0.00067786+0.00050676i,-0.0012211+0.00037652i,-0.0010994-0.00049157i
-0.00061096+0.00090961i,0.00046565+0.00031351i,0.00082254+0.00096295i,0.0011959+0.0010023i,0.001006-0.00020546i,0.00077616-0.0011182i,0.0003713-0.00108i,0.0001279-0.00065744i,-0.00025856-0.00040219i,-0.0011982-0.00041532i,-0.00016255+5.3874e-05i,0.0017975+0.0003787i,0.0014523+0.00031497i,0.00031152-0.00013879i,1.0146e-05-0.00011483i,0.00017914+2.6988e-05i,0.00017226+0.00010283i,0.00056359+0.00038545i,0.00090583+0.00033023i,0.00081675+0.00039431i,0.00065063+0.0010942i,0.00014813+0.0011696i,-0.00017069+0.00088464i
-0.0012103-0.00041066i,-0.0011118+0.00086935i,-0.00062525+0.00045798i,-0.00080797-0.0016092i,-0.0013163-0.0025513i,-0.0015849-0.00088836i,-0.00075318-0.00013943i,0.00018664-9.2919e-05i,0.00022784+0.00020655i,0.0004318+0.0005954i,0.00088029+0.00090624i,0.0016865+0.00090225i,0.0019272+0.0015906i,0.0012368+0.0019133i,0.0008571+0.001028i,0.00047289+0.00025335i,-0.00057638+9.0915e-05i,-0.00047677-0.00065667i,0.00021297-0.00075679i,0.00010718-0.00040872i,-0.00036981+0.00027627i,-0.00106+0.00070417i,-0.0012797+0.0001943i
0.0013252-0.0010537i,0.0017952-0.0015751i,0.0012975-0.0017613i,-0.00096753-0.0011253i,-0.0023284-0.00027665i,-0.0018266-4.7104e-05i,-0.00098419+0.00011535i,-0.00049497-0.0004332i,-0.00013026-0.001332i,0.00025555-0.00085144i,0.00049352+1.1121e-05i,-7.9432e-05-0.00019138i,-0.00025156-0.00045906i,0.00061158-0.00042938i,0.00060247+0.00073274i,0.00061195+0.0014397i,0.0008446+0.0011349i,0.00066329+0.00091978i,0.00045229+0.00058917i,-0.00018783+2.3677e-05i,-0.00058761-0.00033164i,-0.00034623-0.00015922i,0.00011178-0.00024792i
-0.00095917-0.00054683i,0.00059321+0.00010771i,0.0012841+0.00067829i,-0.00018592+0.00011964i,-0.0013815-0.0018457i,-0.0014873-0.0023391i,-0.0013005-0.00055334i,-0.00094328+0.00036806i,-0.00069323-0.00034604i,-0.00082515-0.00061004i,-0.0008655-0.00021542i,-0.00020369-0.00039703i,9.6325e-05-0.00036655i,0.00058221-0.0007613i,0.0004306-0.0007401i,0.00017854-0.00055339i,0.00040671-0.00011215i,0.00067706+0.00025404i,0.00092744-0.00022564i,0.00076731-0.00016501i,0.00020504+0.00046335i,-0.00025536+0.00093937i,-0.00067999+0.00066164i
0.0011527+0.0015683i,0.0019066+0.0015882i,0.002047+0.00039531i,0.00042308-0.0020297i,-0.0011196-0.0028597i,-0.0015053-0.0011478i,-0.00048622+0.00029631i,0.00059031+0.00014293i,0.00078307-0.00030166i,0.00047493-7.2138e-05i,-9.1331e-06+8.6823e-05i,-0.00032417+0.00013035i,-0.00015028+0.00031693i,-0.00018178+6.8791e-05i,6.1197e-05-0.00019618i,0.00068416-0.00021595i,0.00092622-0.00023111i,0.00076024+7.0935e-05i,0.00062254+0.00037542i,0.00025448+0.00033838i,-0.00057162+9.4901e-05i,-0.00070944+5.7891e-05i,-0.00053029-0.00014516i
-0.00041726+0.00044604i,-0.00056776+0.00018698i,0.00035915+0.0005158i,-0.0004462+0.00029701i,-0.0019393-0.00079144i,-0.0013883-0.0016576i,-0.00078779-0.0017108i,-0.00014469-0.0010146i,-0.00027853-0.00018849i,-0.00081161-0.00043275i,-0.00067175-0.0010504i,0.00021049-0.00083538i,0.00092669-0.00049969i,0.00098746+0.00021875i,0.00082457+0.00044283i,0.00030394+0.0004198i,-0.00015438+0.00014488i,0.00047295-0.00058864i,0.0010377-0.00035387i,0.00068748-0.00012503i,-0.00011071+0.00049443i,-0.00018404+0.0008232i,-0.00031683+0.00075162i
0.00064135+0.0018292i,0.0023288+0.0016531i,0.0035372+0.00092513i,0.0030675-0.00035782i,0.0011905-0.0020135i,-0.00069427-0.0017283i,-0.00092395-0.00082607i,-0.00023365-0.0005833i,-7.2939e-05-7.2334e-05i,-0.00079666-0.00022765i,-0.00027815-5.4637e-05i,0.00059813+0.00040806i,0.0013729-0.00032926i,0.0019323-0.00043457i,0.00069549+4.3192e-05i,-0.00028132+0.00055563i,-8.2534e-05+0.0010023i,-0.00023185+0.0010203i,-9.5677e-05+0.00075932i,0.00028653+0.0009232i,-0.00010242+0.00084433i,-8.4413e-05+0.00070338i,0.00045284+0.0009293i
-6.9485e-05-0.00099182i,0.00063317+0.00027437i,0.0015478+0.00079223i,0.0019982+0.00030353i,0.00075858-0.0012546i,-0.0006506-0.0019826i,4.3947e-05-0.0013652i,0.00037757-0.0003004i,0.00023098+0.00077488i,0.0001369+0.0014406i,-3.7344e-06+0.0016509i,-0.00037966+0.0011658i,-0.00044905-0.0001413i,-0.00011774-0.0010851i,0.00026928-0.0015477i,0.00057763-0.0006525i,0.00012646-0.00016239i,-0.00098741-0.00085745i,-0.00099803-0.00023874i,0.00013878+0.00012514i,0.00048622-0.00030601i,0.00026875+0.00023264i,6.3189e-05+0.00031786i
0.0010377+0.00015293i,0.00095968+0.001061i,0.0014113+0.001161i,0.0011836-0.00012495i,-1.0192e-05-0.0013992i,-0.00021853-0.0016053i,-5.3071e-05-0.0010521i,0.00010574-0.00049335i,3.5891e-05+0.00016349i,0.00019758+0.00011383i,9.134e-05-0.00017083i,4.9624e-05-2.4402e-05i,0.00075953-0.00065159i,0.00057635-0.0011118i,-0.00024548-0.00017309i,-0.00081475+0.00058646i,-0.00077348+0.00015811i,-0.00026321-0.00025907i,-5.045e-05-0.00026833i,0.00013065+0.0004113i,0.00042554+0.00081163i,0.00010848+0.00053364i,-0.00051434+0.00070632i
-0.00015374+0.00060115i,-0.00034888+0.00010557i,0.00051552+0.0012095i,0.00030313+0.00087158i,-0.0011952-0.00050234i,-0.0013183-0.00029764i,-0.00023962+1.1971e-05i,0.00025167-0.00027373i,0.0008353-0.0011149i,0.0016965-0.0015099i,0.0015498-9.0001e-05i,0.0002085+0.0010097i,0.0002614+0.00027708i,0.00071959-0.00036236i,0.00049953+0.00047167i,8.0976e-05+0.00077578i,-1.8583e-05-0.00034918i,0.00023274-0.00044482i,6.0527e-05+0.00043591i,-0.00054483+0.00056676i,-0.0005778+0.0004068i,-0.00020764+0.00013558i,-0.00035263-2.1437e-05i
-0.001116+0.0023185i,0.00083627+0.0025558i,0.0020975+0.0018896i,0.0024881+0.00067051i,0.0012777-0.00057463i,6.1469e-06-0.00044117i,-0.00064823+5.9912e-05i,-0.00038572-0.00027194i,0.00031833-0.0011501i,0.00027933-0.0009132i,0.00012861-0.0003983i,0.00025922-4.4483e-05i,-4.1422e-05+0.00024277i,3.7105e-05+6.0446e-06i,0.00018223-0.00064271i,0.00012616-0.00070807i,-5.9457e-05-0.00097311i,-0.001109-0.0008283i,-0.0014697-5.943e-05i,-0.00038079-5.3001e-05i,-0.00029981-0.00021727i,-0.00061843-0.00017092i,-0.00032639-1.3765e-05i
0.00049319+0.00095849i,0.00082635+0.00067045i,0.0013822-0.00038902i,0.00073324-0.0022997i,-0.00067763-0.0036713i,-0.0014342-0.0023321i,-0.00019438-0.00089541i,0.00092845-0.0010059i,0.00015946-0.0007909i,-0.00061214-6.8952e-05i,-0.00057958+4.5783e-05i,-2.4961e-05+0.00032515i,0.00080136+0.00038763i,0.0011275+0.000291i,0.00048881+0.00050381i,-0.0012069+0.0010724i,-0.0018595+0.0010215i,-0.0006217+0.00071078i,0.00020497+0.00035108i,8.7915e-06+6.5231e-05i,-0.00033783+0.00052902i,-0.00034997+0.00099223i,-8.5143e-05+0.00063143i
-0.00056073+0.0012693i,0.00030295+0.001992i,0.00065222+0.0028085i,0.00080878+0.0023075i,0.00030297+0.00031341i,-0.0012243+0.00011939i,-0.0014479+0.00093636i,-0.00067632+0.00053766i,-0.00059456+0.00030161i,-0.0003993-5.8035e-05i,8.9853e-05-8.9238e-05i,0.00054378+0.00037202i,0.0012016+0.00034439i,0.0016441+8.2281e-05i,0.00096109+0.00042681i,-0.00029612+0.0010467i,-0.00064532+0.00073702i,0.0001652+0.00025546i,0.00066995-0.00022633i,0.00048921-0.0001319i,6.0567e-05+0.00052598i,-0.00084669+0.0002498i,-0.001245+0.00038344i
0.0014699-1.6461e-05i,0.0013605-0.0011331i,0.0019212-0.0021278i,0.0017089-0.0028415i,-0.00035647-0.0036214i,-0.0016423-0.0031451i,-0.00055288-0.0018388i,0.00016005-0.0012034i,-0.00046785-0.00082471i,-0.00065152-0.00043028i,-0.00024377-0.00017946i,6.4308e-05+0.0003966i,0.00012764+0.00029534i,-0.0001236+0.00033317i,8.9462e-05+0.00036432i,0.00037511+0.00023449i,0.00036498+0.00014538i,0.00019186+0.00018508i,-0.00029023+0.00039585i,-0.00030837+0.00035371i,0.00038043+7.8707e-05i,6.9902e-05+0.00014276i,-0.00053404-0.0003268i
0.0002745-0.0011413i,7.4832e-06-0.00036936i,-0.00045236-0.00043839i,-0.0010828-0.00050942i,-0.0015383-0.00080125i,-0.0010083-0.00062524i,-0.00063766+0.00036056i,-0.00037385+0.00062917i,1.7452e-05+0.00047756i,-0.00022542+0.00020536i,-0.00038034-8.9685e-05i,-0.00048623+0.00013009i,-0.00033416+6.6184e-05i,0.00021758+0.00040852i,0.00073377+0.00039895i,0.00067158+0.00073953i,0.00040798+0.0010515i,0.00014445+0.00021928i,-0.00026029+0.00020513i,-0.0001151+0.00027182i,0.00051998-7.477e-05i,2.2601e-05+0.00060426i,-0.00033778+0.0010857i
0.00082263+4.9889e-05i,0.0011143+0.00030923i,0.0023625-0.00031969i,0.0021128-0.0023039i,9.5589e-05-0.0029353i,-0.0010213-0.0022593i,-0.00043693-0.00079514i,0.00049816-0.00025441i,0.0012981-0.00040576i,0.0014861-0.00037215i,0.00076562-3.2276e-05i,0.00010309+0.00028187i,-0.00019062+0.00023262i,-1.8102e-05-0.00028475i,0.00058589-0.00087129i,0.0009265-0.0011366i,0.00041862-0.00039969i,6.7371e-05+0.00056251i,0.00036353+0.00018725i,1.0835e-05-0.00028376i,-0.0003657-0.00034273i,-0.00060796-0.00066417i,-0.00056459-0.00037656i
