-0.00027559+0.00070859i,0.0014586-2.23e-05i,0.00134-0.00097528i,-0.00063324-0.0020728i,-0.0010983-0.0015307i,-0.0015866+0.0004926i,-0.0023929+0.0021925i,-0.00168+0.0027834i,-0.00046125+0.0028077i,-0.00024809+0.0018524i,0.00011808+0.00029718i,0.0010717+0.0003273i,0.00056671+0.00058436i,-0.00083481-0.00014323i,-0.00043687-0.00056062i,-0.00041355-0.00045612i,-0.00099107-0.00090315i,-0.00080879-0.00078977i,-0.00016388-0.00035069i,0.00025772-8.9119e-05i,0.00014284+0.00027211i,-1.5904e-05+0.00018001i,-0.00043685+0.00013663i
0.00096894+0.0014398i,0.0013947+0.0013i,0.0024751+0.00045646i,0.0022877-0.00082228i,0.0017143-0.0015401i,0.0012467-0.00062839i,0.00023975+0.00088955i,0.00024685+0.0012318i,0.00025929+0.0012009i,-0.00015918+0.00082781i,0.00030346+0.00013428i,0.00044667-1.3429e-05i,-0.00015495-4.3581e-05i,-0.0010339-0.0004857i,-0.0012169-0.00044832i,-0.00080544+0.00062529i,4.8708e-05+0.00056468i,0.001314-5.2967e-05i,0.0013836-0.00012398i,0.00049405+8.6063e-05i,-6.6465e-06+0.00031126i,0.00049007-0.00052194i,0.00069957-0.0012326i
-0.0010158-0.00025919i,-0.00043486-0.00052826i,0.00025016-0.00041813i,0.00059936+0.00048754i,0.00034521-0.00027354i,0.00020276-0.00049419i,5.1877e-05+4.708e-05i,-0.00040079+0.00051425i,-0.00016312+0.0010313i,0.00026382+0.001405i,-9.7207e-06+0.0012842i,-0.00054996+0.00066553i,6.4557e-05-2.0466e-05i,0.00070466-0.00039703i,0.00028259-0.00083225i,-0.00019842-0.00037782i,-0.00042168+0.00039569i,-0.00017026+0.00086417i,0.00018955+0.00093092i,0.00024782-0.0002424i,7.6408e-05-0.00044966i,-0.00030045+0.00031307i,-0.00068172+0.00038814i
0.00061519+0.0033557i,0.0016988+0.0019685i,0.0040591+0.0003805i,0.0041698+0.00037526i,0.0017505-0.00071001i,0.00035163-0.0010818i,-7.1342e-05+0.00011324i,-0.00043413+0.00065817i,-0.00040902+0.00043036i,0.00030665+0.00048299i,0.00015324+0.00067827i,-0.00015955+0.00074688i,0.00012322+0.00050685i,-0.00027506-0.0001845i,-0.00039057-4.2495e-05i,-0.00043556+0.00036345i,-0.00060716+0.00056114i,-0.00047837+0.00067012i,-0.00024815+0.00021444i,-0.00023293+0.00041778i,-0.00046328+0.00012124i,-0.00021693+0.00023451i,0.0002388+0.00056877i
0.0016475-0.00041772i,0.0011231-0.00029484i,0.00075843-0.00053198i,0.00067025-0.00040041i,6.9768e-05-0.00047035i,-0.00022645+0.00027153i,-0.00032006+0.0017792i,-0.00011976+0.0021845i,-0.00010647+0.0013699i,-2.7889e-05+0.00063377i,1.7771e-05+0.00055325i,-0.00043934+0.00013247i,-0.0006171-0.00025851i,-0.00019092-0.0001467i,0.00063963+0.00059036i,0.00027974+0.0011215i,-0.0004427+0.00070807i,-0.00029203+0.00011128i,0.00029824+0.0004705i,0.00065068+0.00078472i,0.00054992+0.00036211i,0.00030772-0.0003995i,-0.00011828-0.00053722i
-0.00026563-0.00052386i,0.00081988+0.00049556i,0.0023554+0.00094574i,0.0020465-0.00027152i,0.00020496-0.0010727i,-0.00088125-0.00043947i,-0.00071037+0.00057656i,0.00027512+0.00073985i,0.00059302+0.00035469i,0.00056737+0.00059605i,0.00017267+0.00076577i,-0.00076866+5.1967e-05i,-0.00066795-0.00042314i,0.00012901-0.00052197i,0.00055342-0.00081973i,0.00062169-0.0010288i,0.00012668-0.00035959i,-0.0003361-0.00011897i,-0.00029486+0.00029708i,-0.00010217+0.0011029i,-7.0244e-05+0.00038925i,-0.00022566-0.0008596i,-0.00034609-0.00074954i
0.0010845-0.00062838i,0.00099804-0.0014785i,0.00075912-0.0023844i,0.00019305-0.00097628i,-0.00021514+0.00041939i,-0.00070814-2.8841e-05i,-0.0011985+0.00024307i,-0.00038628+0.00061319i,-0.00015404+0.00029972i,-0.00049306-7.7575e-05i,-7.523e-05+9.4948e-05i,0.00029377+0.00015302i,0.00043861-0.00017755i,0.00026911-0.00063264i,0.00026118-0.00048129i,0.00071314+9.0454e-05i,0.00054767-0.00024828i,-0.00024326-0.00073427i,-0.0010362-0.0004834i,-0.00080114-0.0002237i,1.2648e-05-0.00016854i,0.00028521-0.00028621i,-0.000384+0.00010662i
-0.0003001+0.00049999i,-0.00099849+0.001631i,-0.00011959+0.0018327i,0.0011439+0.0015989i,0.0007259+0.00092595i,-7.8038e-05+0.0012454i,-0.00093752+0.0021365i,-0.0013036+0.0022607i,-0.0014519+0.0015576i,-0.0007727+0.00077247i,-0.00054531+0.00028147i,-0.00073405-0.00026937i,-0.00022516-0.00082041i,0.00053248-0.00119i,0.00064904-0.00095831i,-0.00016531-0.00043459i,-0.00043672+0.00015724i,0.00028389+0.0012226i,0.00082626+0.00099861i,0.00075822+0.00010216i,0.00069323-0.00032364i,0.0013791-0.00043351i,0.0014756+0.00042491i
0.00022348-0.00094223i,-9.7536e-05-0.0010266i,-0.00014957-0.0018463i,0.00017489-0.0022863i,0.00013603-0.00098113i,-1.7934e-05+0.0002738i,-0.00037065+0.00073895i,-0.00036414+0.0013298i,0.00037697+0.001773i,0.0010684+0.00094139i,0.00070204+0.00026162i,0.00047686-0.00027245i,0.00058201-0.00058369i,6.12e-05-0.00048296i,-0.00066893+4.1172e-06i,-0.0011616+0.00063408i,-0.00093528+0.00062585i,-0.00088634+0.00016614i,-0.00086695+0.0002597i,-0.00016144+0.00026447i,0.00033152+0.00043948i,0.00024842+1.7495e-05i,0.00018663-0.00077495i
-0.00085207+0.0001387i,-0.0017458+0.00037182i,-0.00065783-0.00034304i,0.00031286-0.00086142i,-0.00042199-0.00080229i,-0.00062878+0.0001517i,-0.00051778+0.001531i,-0.00079108+0.0021309i,-0.00021631+0.0018532i,0.00049554+0.0015968i,0.00075781+0.00092388i,-1.7029e-06+7.8449e-05i,-0.00083716-0.00013169i,-0.00081569-0.00040525i,5.8501e-05-0.00072004i,-0.00020636-0.00084521i,-0.00039845-0.00050332i,3.3868e-05+0.00020699i,-0.00078906+0.00036325i,-0.0013041+0.0001795i,-0.0012724+6.0646e-05i,-0.00080763+0.00012376i,-0.00029633+0.00033963i
0.0018855+0.00062914i,0.0026393+0.00033821i,0.0026108-0.0004009i,0.002209-0.0015941i,0.0014326-0.0017899i,0.00067073-0.0001572i,0.0001825+0.0013725i,0.00038406+0.0015984i,0.00035136+0.0013362i,0.00045358+0.00078213i,0.00066556+0.00018342i,0.00080759+0.00067964i,0.00086791+0.00082216i,0.00017299+0.00010637i,-0.00025211-5.6759e-06i,0.0002278+0.00024147i,0.00023816-0.00010796i,3.8655e-05-0.00063237i,0.00039274-0.00028653i,0.00049023+0.00018886i,0.00014106+3.5403e-05i,-0.00019125-0.0003451i,0.0002261-0.00025665i
4.2147e-05+0.001557i,-0.00068641+0.0012374i,-0.00021982+0.00016509i,0.00036327-0.00081957i,0.00058544-0.00067016i,0.00028054+0.00013496i,-0.00042787+0.00071509i,0.00019502+0.0013703i,0.0011107+0.0016112i,0.00032954+0.0009409i,-0.00029113+3.6647e-06i,-0.0004394-0.00017537i,-0.00062964-0.00046677i,-7.0362e-05-0.00066666i,-0.00022694+0.00017626i,-0.00086075+0.00075053i,-0.00066266+0.00024433i,-0.00017258-0.00056575i,-2.9952e-05-0.00016198i,0.00011819+0.00041808i,-0.0001873+0.00014448i,-0.00020149+1.4222e-05i,-0.00011618+0.00028776i
0.00077263+0.00032702i,0.0022879+0.00010892i,0.0026928+0.00022336i,0.0019212+0.00020701i,0.0015157-0.00043136i,0.0013014-0.00021269i,0.00035437+0.00026628i,-0.00084915+0.00059643i,-0.00067062+0.0010097i,-0.00024172+0.0010758i,-0.00045485+0.00048486i,-4.0502e-05-0.00045472i,0.00084612-0.0011851i,0.00084721-0.00099102i,-0.00010258-0.00024353i,-0.00058707-4.1001e-05i,-0.00038727+9.9682e-05i,-0.00028241-3.7287e-05i,-0.00031014-0.00026459i,-0.00015516-0.00024339i,5.0158e-05-0.00038513i,0.00039404-0.00019256i,0.00064991+2.7168e-05i
-0.0013845+5.4485e-05i,-0.0023454-0.0006786i,-0.0021431-0.00061298i,-0.001257+0.00026008i,-0.0011761+0.00061355i,-0.0017065+0.00072201i,-0.0012893+0.0012774i,-0.00060545+0.0011533i,9.8098e-05+0.0010501i,-0.00019733+0.00040326i,-0.00011092-0.00041967i,0.0003897-0.00047254i,0.00011409-0.00024667i,6.1662e-05+4.1697e-05i,0.00021105+0.00044307i,0.00016428+0.00055274i,3.3484e-05+0.00052014i,0.00011115+0.00077255i,-5.4014e-05+0.00086733i,-0.00025978+7.3707e-05i,8.7948e-05-0.00087857i,0.00031105-0.0007417i,0.00030676+1.5509e-05i
0.00072425+0.00033423i,0.0020911+0.00082497i,0.0018845+0.0009047i,0.0011039+0.00090759i,0.00091081+0.0010156i,0.0014458+0.0012828i,0.00096138+0.0016068i,-1.1813e-05+0.0014842i,-0.00045267+0.00081426i,-5.9773e-05+0.00058639i,0.00069203-7.1639e-05i,0.00082269-0.0010004i,0.00033602-0.00099476i,-0.00017844-0.00092378i,-0.00034607-0.00085249i,-0.00024269-0.00028195i,0.00031835+0.00038857i,0.00026038+0.00054309i,-0.00024446-0.00059953i,-0.00039255-0.0010117i,-2.0867e-05-0.00080366i,4.5585e-05-0.0010326i,0.00052161-0.00065506i
-0.00029371-0.00041909i,-0.0012861-0.00055287i,-0.0010133-0.00061492i,-0.00074793-0.00083243i,-0.0012934-0.0010387i,-0.0018125+0.00024034i,-0.0016178+0.0016444i,-0.0011301+0.0018173i,-0.00073649+0.00052336i,-0.00037862-0.0001571i,-0.00019987-0.00015802i,-1.7962e-05-0.00037722i,0.00031544+7.9131e-06i,-0.00010424+0.00029033i,-0.0011859+0.00031208i,-0.0011411-0.00015511i,0.00023235+0.00010939i,0.00040223-7.4829e-05i,-0.00042997-0.00020691i,-0.00044322-0.00014697i,0.00015035-0.00044141i,0.00037464-0.00037421i,0.00048949-9.4124e-05i
0.0016851+2.9772e-05i,0.0019897+0.00043654i,0.0022137+3.2513e-05i,0.0014625+8.1311e-05i,8.4559e-05+0.00094499i,-0.00049353+0.0010027i,7.269e-05+0.00033404i,0.00020869+0.00046057i,-0.00049855+0.0014259i,-0.00071727+0.00086586i,-0.00054801+0.00024242i,-0.0004132+0.00023732i,-0.001047-5.0547e-05i,-0.0011015+7.7659e-05i,-0.0002477+0.00076488i,-7.6269e-05+0.00056471i,-0.00033004-9.5682e-05i,-0.00039549-0.00031545i,-7.8398e-05-0.00031642i,-0.00046485-0.00051386i,0.00017236-0.00065871i,0.0012733-0.000393i,0.00058272-7.8686e-05i
-0.00016718-0.001654i,-0.00035141-0.0018277i,-0.0012876-0.0022265i,-0.0012415-0.0020793i,-0.0010833-7.0179e-05i,-0.0010157+0.0021991i,-0.00056831+0.0032072i,-0.00044147+0.0024967i,-0.0011992+0.00094687i,-0.0016769+0.00056273i,-0.0009601+0.00028155i,-0.00017644-0.00056692i,0.00052736-5.0794e-05i,0.00026132+0.00037871i,-2.1362e-05-0.00025492i,-0.00034802-0.00013599i,-0.00016205-0.00011158i,0.00019831-0.00061438i,0.00041892-0.00016274i,0.00011958+0.0009814i,-0.00030546+0.0010194i,5.8857e-05+0.00046914i,-9.533e-05+0.00022047i
0.0016325+0.0018754i,0.0021894+0.0021681i,0.0028223+0.0013631i,0.0026055-0.000265i,0.0012468-0.0018736i,0.0003253-0.0013805i,-0.00014549+0.00046682i,0.00013793+0.0013898i,0.00052696+0.00092743i,0.00050796+0.00034345i,-4.5209e-05-0.00013055i,-0.00057866-0.00069021i,-0.00080199-0.00051305i,-0.00031385-0.00021407i,0.0003038-0.00014715i,0.00082712-0.00019635i,0.0005476+4.7223e-05i,-5.4612e-05+0.00031073i,-0.00045492+0.00025741i,-0.00044698+3.5286e-05i,-0.00028095-4.7659e-05i,-0.00038293+0.00028854i,-0.00078311+0.00019872i
0.00098214-7.5894e-05i,0.00057722-0.00099998i,0.00094789-0.0022501i,0.0015174-0.0016667i,0.00031392-0.00073477i,-0.0008261+0.00013492i,-0.0015291+0.00075056i,-0.0007041+0.00074517i,0.00088983+0.00034669i,0.00057712-0.00044761i,-6.1647e-05-0.00083754i,-0.00010659-0.00030012i,3.4238e-05+0.00023232i,0.00012874-0.00027834i,0.00065296-0.00095184i,0.00040268-0.00077614i,-0.00051005+0.0002776i,-0.00069181+0.00089223i,0.00015495+0.00080645i,0.00034458+0.0009272i,-1.4138e-05+0.00069598i,-0.00050758+0.00021102i,-0.00074068+0.00017006i
0.002892-1.5926e-05i,0.0020747-0.00027018i,0.00090109-0.0011978i,-0.0004493-0.0019596i,-0.0013813-0.0015633i,-0.00139+0.0011056i,-0.0007032+0.0023198i,0.00095485+0.0013146i,0.0015125+0.00026763i,0.00068847-0.00063543i,0.00025027-0.00086498i,1.3383e-05-0.0006295i,0.00048291-0.00033865i,0.00056707-0.00036581i,0.00018425+3.7865e-05i,-0.00015054+0.00022364i,-0.0002252-4.3383e-05i,-1.7678e-05+4.9234e-06i,9.7638e-05+0.00036365i,0.00033968+0.00056514i,0.00054822-0.00023385i,0.00050854-0.00055753i,-0.00012181+0.00011515i
-0.0014657+0.00056704i,-0.0011576+0.00066285i,-0.00035974+0.00085737i,0.0005533+8.8677e-05i,0.0014149-2.3475e-06i,0.0012718+0.00082177i,0.00023671+0.0011658i,-0.00034618+0.0013222i,-0.0004515+0.0011083i,-0.00024418+0.00052364i,0.00015899+0.00038191i,2.1963e-05-0.00017108i,0.00011352-0.00063276i,0.00011982-0.00022964i,-0.00021392+0.00013636i,-0.00015593-0.00037893i,-9.7782e-05-0.00046072i,0.00030846-0.00019769i,0.00016751-0.00046239i,-0.0004793-8.7665e-05i,-0.00071257-1.1737e-05i,-0.00082649-0.00064713i,-0.00056125-0.00094969i
0.000134+0.00094036i,0.00034875+0.00034416i,0.00052639-0.0010762i,0.0009-0.0013056i,-0.00031615-0.0011908i,-0.0015902-0.00068842i,-0.0011044+0.0010333i,-0.00090741+0.0018929i,-0.00068832+0.00094991i,0.00023788+6.2134e-05i,2.1309e-05+0.00067784i,-4.4579e-05+0.00085174i,0.00012647+7.7017e-05i,-0.00041331+0.00020394i,-0.0002799+0.00087981i,-0.00039262+0.00067682i,-0.00066485+0.00015443i,-0.00021341+0.00050455i,-0.00040898+0.0009165i,-0.0003641+0.0010534i,0.00034021+0.00023811i,0.00018556-0.00053071i,-0.00025875-0.00041213i
-0.00033452-0.00069305i,0.00021919+0.0001423i,0.00050447-0.00021882i,-0.00033525+3.1761e-05i,-0.0011844+0.0019562i,-0.00083013+0.0026945i,5.2291e-05+0.0018914i,0.00019127+0.0012156i,-2.8765e-05+0.00080688i,-8.8228e-05+0.00045226i,-0.00031111+6.2977e-05i,-0.0006289-0.00027803i,-0.00039022-0.00046i,-0.00010523-0.00075605i,8.2681e-05-0.00032824i,-0.0007592-0.00028797i,-0.00083166-0.00094299i,-0.00061114-0.00022493i,-0.00052658+0.00050078i,-0.00021695+8.6649e-05i,7.5854e-06-0.00055163i,-0.00010492-0.00061217i,-0.00048706-0.00082681i
0.0014161+0.0015911i,0.0021815+0.0015931i,0.0020056+0.0022577i,0.0025567+0.0019864i,0.0029759+0.0014686i,0.0021948+0.00096643i,0.00067731-7.6904e-05i,-0.00048318-3.8664e-05i,-0.00086705+0.00071116i,-0.00058641+0.0008847i,7.9745e-05-0.0001777i,0.00043103-0.00068181i,0.00021907-0.00078601i,-5.522e-06-0.00086505i,-0.00029791-0.00036368i,-0.00047387-0.00016424i,0.00031261-0.00086548i,0.00061742-0.00042411i,-0.00012294+0.00023492i,-0.00024225+0.00018469i,-0.00052364-0.00012663i,-0.00049442-6.3549e-05i,0.00017117-0.00014058i
-0.00067303-0.00076013i,-9.6199e-05+6.8801e-05i,0.00015416+0.00080123i,0.00049055+0.00072986i,0.00040327+0.00046341i,-0.00039213+0.00041172i,-0.00065714+0.0005954i,5.8384e-05+0.00053828i,0.00049838+0.00057579i,0.00026229+0.00087608i,-0.00032794+0.00088415i,1.487e-05+0.00056709i,0.00086501-0.00039725i,0.0005363-0.001246i,-0.00034018-0.0011254i,-0.00071085+0.0003037i,-4.8408e-05+0.0013134i,-0.00023139+0.00089903i,-0.00057037+0.00028809i,-0.00048301-2.7897e-05i,-0.00034193-6.4634e-05i,0.00010966-0.00033492i,1.6386e-05-0.00093398i
0.00093274+0.00045808i,0.0023218+0.00085348i,0.0016261+0.00094578i,-8.5401e-05+0.0001246i,4.8946e-05+0.00036245i,0.00015607+0.0019165i,-2.2988e-05+0.0016761i,-0.00039697+0.00071938i,-0.00054764+0.0012308i,-7.3422e-05+0.0011116i,0.00011955+0.00058922i,-0.00010194+0.00056569i,-0.0005416+0.00038629i,-0.00051276+0.00032123i,-0.00018796+0.00013786i,-0.0002875+0.00010375i,-0.00050986+0.00052454i,-0.0005554+0.00038071i,-0.00021942-0.0002266i,0.00044605-3.8864e-05i,0.00050507-3.5451e-05i,-9.2439e-05-0.00063428i,-0.00055409-0.00058491i
-0.00042965+0.00091892i,-0.0011259+0.001576i,-0.00012012+0.0014727i,0.00088334+0.00069701i,0.0016244+0.00053499i,0.0011936+0.00092298i,4.2123e-05+0.00093179i,-0.00035636+0.0011086i,-0.00018113+0.00062719i,-0.00018437-6.1942e-05i,-0.00057051+0.00021001i,-0.00051429+0.00056047i,6.5474e-05-0.00025979i,0.00038053-0.00091441i,9.4381e-05-0.00097174i,0.00021708-0.00074699i,-0.00015172-0.00082912i,-0.00036403-0.00025751i,-0.00036934+0.00052728i,-0.00028258+0.00055731i,-0.00042618+0.0003811i,-0.000415+2.5657e-05i,-0.00039531+0.000274i
-0.00010148+0.00021847i,0.00081576+0.00037363i,0.0015246+0.00055183i,0.0017882+0.0010096i,0.0010962+0.00037268i,0.00078167-0.00030764i,0.00034669+0.00031732i,-0.00054536+0.0011728i,-0.0011437+0.0012196i,-0.0010568+0.0010468i,-6.3997e-05+0.000242i,0.00085605-0.00078235i,0.00087395-0.00047436i,0.00055855+0.00015785i,0.00036765+0.00020068i,0.00016909+0.00017896i,-0.00030662-0.00022051i,-0.00020263-0.00080724i,0.00029741-0.00049843i,0.00026444+0.00036704i,-3.8916e-05+0.00047668i,0.00053292-0.00011247i,0.00094994-0.00088575i
0.00043963+0.00083587i,0.00017572+0.00074694i,0.00078855+0.0014872i,0.0011721+0.00059318i,0.0011852-0.00083852i,0.00038849-0.00024755i,-0.00023522+0.0010069i,0.00018197+0.0016628i,-5.7977e-05+0.0022892i,-0.00040817+0.0013892i,0.00017787-0.00024134i,2.6308e-05-0.000493i,-4.4371e-05+8.4678e-06i,-0.00050048+0.00015069i,-0.00060783-0.00024229i,0.00068833-0.00052166i,0.00072134+0.00023845i,0.00025357+0.00067572i,0.00021223-0.00011678i,0.00029005-0.00011955i,0.00074318+0.00041574i,0.000602-0.00019729i,-6.0916e-05-0.00021501i
-0.00082972-0.00075823i,-7.9286e-05-0.00099756i,0.00099349-0.00077691i,0.00085154-0.00018555i,0.00047499+0.00045596i,-0.0002748+0.0010416i,-0.00097506+0.0016752i,-0.00091868+0.0018985i,-0.00037361+0.001623i,-5.6646e-05+0.00043159i,-0.00010447-0.00031556i,0.00020261-9.5091e-05i,-0.00013112-0.00047016i,-0.00029788-0.00056809i,7.3899e-05-0.00026613i,3.899e-05-0.00045707i,0.00015628-0.00056208i,-0.00014792-4.8579e-05i,-0.00053901+0.00015048i,0.00032411-0.00017097i,0.00059825-0.00022301i,0.00047061-0.000497i,0.00035341+2.8999e-05i
-0.0004684+0.0016095i,-0.0015686+0.0017816i,-0.001105+0.0014413i,0.00021968+0.0012565i,2.3243e-05+0.0010803i,-0.00083674+0.00088404i,-0.0010794+0.0012448i,-0.0011525+0.00114i,-0.0011257+0.00072463i,-0.00036037-0.00033729i,-0.00014934-0.00090869i,-0.00056873-0.0012031i,-0.00085455-0.0010304i,-0.00051664-0.00078013i,0.00034306-0.00047651i,0.00038757-0.0001038i,0.00040561+0.00042726i,-5.8827e-05+0.00094419i,-0.0009436+0.00042207i,-0.0011943-0.00058524i,-0.00048606-0.0002241i,9.5879e-05+0.00060088i,-0.00033569+0.00067056i
