-0.0011588+0.0019849i,-0.00031469+0.002054i,0.00066972+0.0021171i,0.0011708+0.0011144i,0.0012133-2.9922e-05i,0.0010358-0.00045533i,0.00076951-0.0003832i,0.00081473+0.00011011i,0.00098637-0.00034552i,0.00074143-0.00035056i,0.00070518+0.00029326i,0.00077002+0.00088439i,0.00045553+0.00073413i,-0.00039517+0.00030669i,-0.00018015-0.0002571i,0.0007751-5.3422e-06i,0.0010363+0.00062771i,0.00097212+0.00058075i,-0.00013656+0.00033338i,-0.00048419+0.0007112i,-0.00020585+0.0012104i,-0.00019046+0.00015764i,0.00013199-0.00069222i
-0.0014747-0.0025559i,-0.0014934-0.0021546i,-0.00085821-0.0018559i,-8.7138e-05-0.00078424i,5.5522e-05+0.00048928i,-0.00044795+0.00054701i,-0.00050067-0.00041344i,-0.00069274-0.0005918i,-0.00026652-0.00049384i,-1.1631e-05-0.0010528i,0.00026705-0.00028741i,0.00013973+0.0010445i,-0.0002765+0.0010527i,0.00020816+0.0010498i,0.0011274+0.00098898i,0.00085154-2.3421e-05i,0.00049066-0.00015925i,0.00071643+0.00052054i,0.00057993+0.00025686i,-3.5207e-05+8.3292e-05i,-0.00033995-7.5821e-06i,-0.00024216-0.0003756i,0.00015579-0.00065345i
-0.00030562+0.00104i,-0.00059656+0.0012402i,-0.00011366+0.0030384i,0.00024618+0.0044225i,0.00085151+0.0028623i,0.0013092+0.00071026i,0.00013861+0.00020904i,-7.2338e-05+0.00057891i,-2.4367e-06+0.00079247i,-0.00026223+0.00095486i,-0.00034635+0.00063679i,-0.00015477-0.00021359i,0.00045728-0.00064441i,-7.6004e-05-0.00058299i,-0.00085901-0.0003506i,-0.00083422-0.00012921i,-0.00019573-0.00010142i,-0.00022793+0.00051015i,-0.0005853-0.00010065i,-0.00011502-0.00032217i,0.00013574+0.00056017i,0.00086007+0.0012163i,0.00076151+0.001325i
-0.0012651-0.0012744i,-0.0018499-9.5748e-05i,-0.0018904+0.00034734i,-0.0016559+7.9309e-05i,-0.0013369+0.00050028i,-0.0010032+0.0012029i,-0.0010704+0.00086573i,-0.00071998+8.6974e-05i,-0.00031376-3.3419e-05i,-0.00078332+0.00035846i,-0.00061907+0.00071741i,0.00033526+0.00011754i,0.00090393-0.00035046i,0.00016184+0.00034197i,5.2366e-05+0.00036729i,0.00024585+0.00040453i,0.00052855+0.00058085i,0.00078675+0.00015124i,0.00084706+0.00034249i,0.0011374+0.00041943i,0.0006693+4.6736e-06i,-0.00038524-0.00016714i,-0.00077878-0.00010155i
-0.0026193-0.0014621i,-0.001693-0.00025777i,-0.00081348+0.0010448i,0.00020755+0.0010688i,0.00041204+0.0014014i,3.0179e-08+0.0017895i,-0.00030825+0.00070737i,-0.00016688+0.00036224i,4.8485e-05+0.0002215i,-0.00028314-0.00068533i,-0.00067415-0.00074914i,-0.00025601-0.00015684i,0.00040402+8.1759e-05i,0.00018363-0.00020086i,-0.00059412-0.00014233i,6.2041e-06-0.00017941i,0.00025779+0.00018559i,-0.0002257+0.00065932i,0.00045166+0.00051764i,0.00036682+0.00017083i,0.00012995+6.9155e-05i,0.00010857+0.00025381i,-1.7341e-05+7.7562e-05i
-0.00050857-0.00026672i,-0.00035565+2.4545e-06i,-0.00047545+0.0012211i,-0.00019975+0.0020137i,0.00023447+0.0012072i,0.00085733+3.7127e-05i,0.00080245-0.00073904i,0.00069346-0.0011163i,0.00059341-0.00046331i,2.3581e-05+0.00014633i,-0.00052807+0.00032445i,-0.00056778+0.00060659i,-0.00045404+0.00030258i,-0.00023621-0.00027652i,0.00057549+0.00019809i,0.00068858+0.00039939i,-2.258e-05-0.00080126i,-0.00097155-0.00095255i,-0.0014706-0.00067918i,-0.0013669-0.00071206i,-0.00065204-0.00048375i,-0.00015217-0.00070365i,-0.00064768+9.7833e-05i
0.0013865-5.5989e-05i,0.0023798+2.26e-05i,0.0020666+0.00045258i,0.0016445+0.00092362i,0.0017678+0.0011479i,0.001839+0.00095521i,0.00099424-1.1373e-06i,0.00029475-0.0015432i,0.00050317-0.0014563i,0.00091597-0.00031773i,0.00047637+0.00039399i,0.00035816+0.00052035i,0.00093969+0.00043627i,0.00085541+0.0010392i,0.00060773+0.00080339i,0.0003747-0.00027704i,-1.3483e-05-0.00044013i,-0.00020646+0.00034039i,0.00049247+0.00096584i,0.00055865+0.0010211i,-3.768e-05+0.0009408i,-0.0005291+0.00022491i,-0.0018289-3.2811e-05i
-0.0012427-0.00094335i,-0.0014372+0.00024271i,-0.001+0.0010922i,-0.00043166+0.0013214i,-7.8727e-05+0.00059876i,-0.00063624-0.00048927i,-0.00013903-0.0011387i,0.00025949-0.0016338i,0.00014821-0.0012095i,0.00020448-0.00040822i,0.00017908-9.9001e-05i,-0.00033172+0.00049721i,-0.0011958+0.00050473i,-0.00083317+0.00042939i,-0.00019138+0.00010945i,0.00040406-0.00023667i,0.00051228-0.0007432i,0.00062752-0.00065435i,0.00066203+0.00010881i,-0.00028133+0.00079072i,-0.00043219+0.00049685i,0.00010173+0.00056948i,-4.1952e-06+0.00052192i
-0.0013994+0.00040072i,-0.00019263+1.6311e-05i,0.00083505+0.00069809i,0.0015212+0.0016241i,0.0017748+0.0018591i,0.00099899+0.00038231i,-8.1666e-05-0.00071398i,-0.0010824-0.00038627i,-0.0014862-0.00031972i,-0.0010479-0.00018415i,-0.00060026+0.00043784i,-0.00037087+0.00032479i,-0.00015306-0.00048642i,0.00058904-0.00032413i,0.0003331+0.00058064i,-0.00024061+0.00070605i,-0.00020547+3.8606e-05i,-1.5514e-05+0.00011232i,0.0003711+0.00014212i,9.3997e-05-0.00033116i,-0.00062892+0.00020604i,-0.00076414+0.00045723i,-0.00071844-0.00032689i
0.00068048-0.0022487i,0.00042503-0.00094216i,-9.2913e-05-0.00040332i,-0.00079745+0.00036836i,-0.0011356+0.00038663i,-0.00031393+2.363e-05i,0.0002065+3.2303e-05i,0.00067493-0.00016695i,0.00034609-0.00020756i,-0.00056375-0.00031082i,-0.00069489-0.00010912i,-0.00054295+8.6495e-05i,-0.00041274-9.7546e-05i,-0.00023788+0.00019599i,0.00018726+0.00059857i,0.00088436+0.0003999i,4.2624e-05+0.00028079i,-0.00088513+0.00042448i,-0.00045625+0.00048851i,-0.00036217+0.000158i,-0.00062911-0.00052959i,-0.00070623-0.00074418i,-0.00056352-0.00044482i
0.0019201-0.00045595i,0.00045803+0.0005178i,-0.00019173+0.00015447i,-0.00011164-6.842e-05i,0.00024647-0.00079684i,0.00029473-0.0013166i,7.8153e-05-0.0012792i,-9.7212e-05-0.00088866i,3.2993e-05-4.2754e-05i,0.00039474+0.00035073i,0.00040326+0.00041027i,0.00042402+0.00033734i,0.00042932-0.00020637i,0.00076975-0.00017748i,0.00083324-4.7124e-05i,0.00025873+8.689e-05i,-5.7735e-06+0.00074062i,-0.00070354+0.0011698i,-0.00070759+0.00040134i,-3.9351e-06-0.00039891i,-2.7642e-06+7.8194e-06i,-0.00067483-5.58e-05i,-0.00019863+0.00011285i
9.7084e-05-0.00056413i,0.00023581-0.00031881i,0.0010227+0.00038245i,0.00091852+0.0013021i,0.00064853+0.0010725i,0.00023154-3.0723e-05i,-0.00031876-0.001238i,-9.2462e-05-0.0012002i,0.00038449-0.00015057i,0.00043809+0.00024681i,3.1618e-05+0.00060005i,-0.00015265+0.00053568i,1.6372e-05+0.00088448i,0.00019513+0.000992i,-0.00019987+0.00051904i,-0.0004513+0.00038044i,-0.00029493+0.00036532i,0.00012191+0.00021375i,0.00070321+0.00013594i,0.00038442-0.00029783i,-0.00032892-0.00059033i,-6.9846e-05-0.00040135i,-0.00057442-0.00085224i
