-0.0015241-0.0020765i,-0.001903-0.0017483i,-0.0019935-0.0012192i,-0.0023583+0.00041286i,-0.0014927+0.0019221i,0.00085727+0.0018431i,0.0015668+0.0012424i,0.00015204+0.00020947i,-0.00034546-0.00092279i,0.0001017-0.00089748i,0.00080499-0.00073647i,0.0006271-0.00077102i,-0.000406-0.00063585i,-0.00047934-0.00061792i,-1.444e-05-0.00059905i,7.9969e-05-3.1217e-05i,5.5181e-06+0.00029156i,-0.00031798+0.00022016i,-0.00025239+0.00022628i,-0.00037975+0.00010018i,-0.00064228+0.00049308i,-0.00010739+0.0010092i,-0.00033049+0.00018418i
-0.00087766+0.0019951i,-0.001022+0.0014424i,0.00035278+0.0024145i,0.0011762+0.003236i,0.0010329+0.0020118i,0.0013017+0.00011519i,0.00023582-0.00026475i,-0.00074971-0.00035596i,6.4981e-05-0.00041564i,0.00065709+4.6956e-05i,2.042e-05+0.00032971i,-0.00011357+0.00042328i,-0.00042098+1.9909e-05i,-0.0007501-8.2976e-05i,-5.1572e-06-0.00015929i,0.00055693-0.00040326i,0.00076916-0.00049181i,0.00090702-0.00036594i,0.00062478-0.00045172i,7.6444e-05-0.00046696i,-0.0001303-2.8855e-05i,-0.00038486+0.00044273i,-6.0491e-05+0.0007156i
-0.0010638+0.001768i,-0.00042953+0.00051672i,0.00060011-0.00066652i,0.00076791-0.00040105i,0.00023882-0.00072448i,7.3847e-05-0.00050507i,0.00012161+0.00015375i,-0.00030431+0.000348i,-0.00062261+0.00049987i,-1.5503e-05+0.00026847i,0.00072893+0.00027075i,0.00077322+0.00046699i,0.00048164+0.00017929i,-0.00056319+0.00018675i,-0.00058683+0.00040452i,-5.7619e-05+0.0007577i,-0.00027182+0.00045359i,-0.00033865+0.00013913i,-0.00050196+0.00019194i,-0.00073341+0.00067804i,-0.0010555+0.00060868i,-0.0007562+0.00013712i,-0.00036533-0.00034983i
0.00040815-0.00064403i,-0.0011682-0.00064163i,-0.0014034+0.00019375i,-0.00037447+0.00064789i,0.0010403+0.00076446i,0.0017453+0.00083065i,0.00075714+0.00011376i,0.00062866-0.0013327i,0.00099604-0.0012074i,0.00078571-0.00046704i,0.00076781-0.00022994i,0.00021056-0.00044043i,0.00018028-0.00025349i,0.00093464+0.00030868i,0.0011782+0.0001618i,0.001136-4.5434e-05i,0.00083767+0.00033101i,0.00048445+0.00075669i,-3.0769e-05+0.00065446i,0.00028278+0.00066343i,0.00037853+0.0001346i,-6.8086e-05-0.00058096i,0.00017135+9.4701e-05i
-0.0017449+0.001535i,-0.0024509+0.0011452i,-0.002687+0.001146i,-0.00055809+4.2371e-05i,0.00080366-0.0012173i,0.00041908-0.0011943i,0.00042695-0.00057631i,0.00046748-0.00047354i,1.0774e-05+0.00034824i,-0.00070447+0.0013852i,-0.00070079+0.001346i,0.00044275+0.00096236i,0.00059678+0.00047822i,-0.00042897-0.00014733i,-0.00068162-0.00036007i,-0.00013861+0.00026561i,0.00015702+0.00042756i,0.00094944+0.00043748i,0.001287+6.9737e-06i,0.000948-0.00088262i,0.00048747-0.00086654i,0.00012646-0.00047248i,-0.00020191+0.00034192i
0.0015541+0.00045803i,0.00041793-0.0002083i,-0.00030095-0.00031476i,0.00020895+0.00014006i,0.00048821+0.00062581i,-0.00047973+0.00035669i,-0.00090111-2.2841e-05i,-0.00043587+0.00019934i,3.1893e-05+0.0012104i,-6.4775e-06+0.00086495i,3.7402e-05-0.00028652i,0.00054962-0.00052669i,0.00061116+0.00011494i,0.00044229+0.00051401i,-5.5366e-05+0.00047339i,-0.00040523+0.00029896i,0.00025699+0.00039218i,0.00041743+0.00033062i,0.000321-9.0441e-05i,0.00032474+0.00046102i,0.00036098+0.00099045i,0.00021835+0.00048716i,-0.00016527-0.00026071i
-0.0021347-0.00067823i,-0.0014404+0.0007372i,-0.00089049+0.0011044i,-1.9308e-05+0.00091032i,0.0016423+0.00095944i,0.0018215+0.0004233i,0.0013642+0.00046052i,0.00090239+0.0006321i,0.00036455+0.00013059i,0.00012143-8.7945e-05i,-0.00026792-0.00088409i,-0.0011959-0.00090823i,-0.0011365-0.00028709i,-0.0012934+0.00035243i,-0.0015834+0.00013162i,-0.0011904-0.00063288i,-0.00019013-0.0012378i,0.00050945-0.0016202i,-6.6216e-05-0.00067922i,-0.00032178-1.1664e-05i,-0.00012992+0.00017663i,-0.0001507+0.00021121i,-0.00022077+0.0010709i
0.0001996+0.00080846i,-0.00041687+0.0011285i,-0.0012884+0.0010521i,-0.0013606+0.00079708i,-0.00075226+0.00039817i,-0.00024759-0.00025865i,0.00030983-0.00062794i,0.00063565-0.0004872i,0.0006428+0.00031136i,0.00065042+0.00073605i,-2.4335e-05+0.0003995i,-0.0001599-0.00019482i,0.00031282-0.00016054i,-2.6699e-05+0.0003761i,0.00049626+0.00039236i,0.0010172+0.00025038i,0.00085516+0.00017115i,0.00044512+0.0002213i,-0.00013687+0.00033706i,0.00026663-0.00045641i,-4.4716e-05-0.00069773i,-0.00052125-0.00017342i,-0.00032652-0.00016141i
-0.0029147-0.00013602i,-0.0017571-9.4644e-05i,-0.0010785+0.00063639i,-0.00027774+0.0016123i,0.00033935+0.0012781i,0.00076688-0.00015733i,0.00069745-0.00083566i,0.00038841-0.00052671i,0.00041841-1.8161e-05i,0.00044553+0.00029205i,0.00025771+0.00033855i,-8.1049e-05+0.00010981i,-0.00051468+0.00029716i,-0.00075744+0.00041891i,-0.00034205-0.00039781i,-0.00019489-0.0010408i,0.00020539-0.0010199i,0.0010418-0.00074037i,0.00072981-0.00033532i,0.00041455+0.00040398i,0.0006417+0.00056711i,0.00031584+0.00051861i,0.00042529+0.00094842i
0.00013203-0.0012447i,-0.00065186-0.0015425i,-0.0024769-0.0018127i,-0.0022884-0.00052845i,-0.00072543+0.0010194i,0.00035494+0.0019164i,0.00062259+0.0012363i,0.00024666+3.9792e-05i,-0.00050732-0.00062406i,-0.00066963-0.00066376i,-0.00073439-0.00014933i,-0.00070276+0.0001898i,-0.00010492-0.00034213i,-2.5267e-05-0.00062533i,3.2518e-05-7.0216e-05i,0.00027903+5.2652e-05i,0.0004321-0.00017463i,0.0004804-0.00031619i,0.00089587-0.0002i,0.00041851+0.00015286i,-0.00023314+0.00044572i,0.00057974+8.3987e-05i,0.0006234-0.00040527i
