-0.0030616-0.000619i,-0.0018123-0.00056056i,-0.0022444+0.0013704i,-0.0024372+0.0021501i,-0.001081+0.0019789i,0.00029801+0.0017768i,0.0008415+0.0018789i,8.0355e-05+0.0018609i,-0.00036099+0.0010284i,0.00092537+0.00013911i,0.0023502-0.0003668i,0.001962-0.00034301i,0.0010256-0.00026349i,0.00038767-0.00029769i,-0.00025689+1.2514e-05i,-0.00037623+0.00026164i,-0.00014571-0.0004849i,1.7312e-05-0.001164i,0.00010879-0.00045022i,0.00037698-0.00033297i,0.00044215-0.00075537i,0.00063108-0.00023548i,0.00040324-0.00022021i
-0.00019428+0.0011184i,0.00053836+0.00038594i,-0.00010082+0.00047263i,0.00073654+0.00097899i,0.0016218+0.00042237i,0.002105-0.00042429i,0.0016417-0.00050995i,0.00080482-0.00037424i,0.00041102-0.00027194i,0.00032388-0.00023242i,0.00075358-0.00014827i,0.00083566-0.00084259i,0.00076069-0.0015645i,0.00057385-0.00092677i,-0.00038896-0.00011741i,-0.00098348+0.00033386i,-0.00092978+0.00020505i,-0.00045746-0.00029074i,-0.0003477-0.00023402i,-0.00056882-0.00049521i,-0.0002471-0.00083378i,-0.00028415-3.5438e-05i,-0.00080343+0.00034839i
0.00011404-0.0010976i,-7.4464e-05+0.00047718i,-0.0010011+0.0015202i,-0.0011727+0.0020656i,6.7161e-05+0.0019693i,0.00076734-0.00019323i,2.5172e-05-0.0014554i,-0.001071-0.00059329i,-0.00093+0.00015467i,-0.00059926-0.00016972i,3.1963e-05-0.00047097i,0.00072686+0.0003313i,0.00037104+0.00027166i,-3.5376e-05-0.00069071i,0.00011828-0.00028819i,0.00012478+0.00017348i,-2.183e-05+0.00041443i,-0.00039782+0.00047875i,-0.00014081+0.00044647i,-0.00031203+0.00031725i,-0.00046712-0.00054005i,8.5461e-05-0.0011324i,-0.00010155-0.00039365i
-0.00051486-0.00158i,-0.00042437-0.0011951i,-0.00020665-0.0012097i,0.00037267-0.00022217i,0.00079424+0.00096462i,0.00080863+0.0011277i,0.00069909+0.00067412i,0.00022557+0.00014077i,-0.00068925+0.00046464i,-0.0011852+0.00036997i,-0.00030758-0.00072136i,0.0011436-0.00067314i,0.0013222+9.8879e-06i,0.0004597-3.1794e-05i,5.3293e-05+0.00011687i,0.00019456+9.8131e-05i,0.00044289+0.00014244i,4.9625e-05+0.00090641i,-1.7942e-05+0.00086994i,0.00048071-0.00015759i,6.3987e-05-0.00082927i,-1.4022e-05-0.00089052i,0.00066828-0.00056872i
0.00064224-0.00074619i,0.00014655-2.1389e-05i,-0.00071251-0.00040744i,-0.0013778-0.00026642i,-0.0013262+0.0003855i,0.00059581+0.0007421i,0.0024048+0.00018843i,0.0016831-0.00062622i,0.00056482-0.00083407i,0.00049716+0.00021445i,0.0005959+0.0011005i,0.00034392+0.0010381i,-0.00052198+0.00057319i,-0.0012117+0.00040854i,-0.00047485+0.00083061i,-5.1185e-05+0.0012841i,-0.00029245+0.0013626i,-0.00017533+0.0006848i,3.5107e-07-4.0858e-05i,-0.00072086-0.00024842i,-0.00055149+0.00011547i,0.0002936+0.00010779i,0.00064517+0.00017668i
-4.2135e-05-0.00098209i,-0.00044263-0.0019509i,-0.00073594-0.0013087i,0.00026929+0.00065609i,0.00084409+0.0014885i,0.0012359+0.00048208i,0.0012387-0.00033839i,0.00035766-0.0009548i,-0.00019991-0.0012063i,-0.00058293+0.00019279i,-0.00050776+0.0012355i,0.00031178+0.00075221i,0.00099753+0.00022964i,0.00050409+0.00010082i,0.00054009+0.00030036i,0.00077474+0.00095469i,0.00048861+0.00058303i,0.00097745-0.00043092i,0.00057677-0.00052009i,-0.00011582+0.00026735i,-6.3308e-06+0.00010595i,0.00038647-0.0006503i,3.6107e-05-0.00051539i
-0.00085965+0.00081344i,-0.00051882-3.7898e-05i,-0.0006498-0.0005117i,-0.0010174-0.00060875i,5.11e-05-0.00036923i,0.0017265+0.00042726i,0.0016675+0.00087616i,0.00091042+0.00058566i,0.00042201+0.00093427i,0.00010593+0.00091346i,0.00024822+0.00059621i,0.0007922+0.00057328i,0.0012194-0.00045379i,0.0010912-0.00084492i,0.00017212-0.00051327i,-0.0002774-0.00047703i,-0.00038865+4.0316e-05i,-0.00073138+0.00033097i,-0.0010194-6.3771e-05i,-0.00072632+1.3532e-05i,-0.00040346+0.00042748i,-0.00026047-0.0001557i,-0.00042865-0.00069493i
0.0008387-0.0013538i,0.00093582-0.0018498i,0.00028277-0.0017616i,-0.00021282-0.0011833i,0.00034916+0.00024134i,0.0012894+0.00057863i,0.001279-0.00016909i,0.00050713-0.00027163i,-0.00014984-0.00037565i,-0.0010247-0.00037463i,-0.001274-0.00052285i,-0.00040711-0.00065488i,4.3442e-05-0.00037287i,0.00042699+0.00045861i,0.00082172+0.0011655i,0.00036186+0.00033799i,-0.000256-5.3631e-05i,-0.00041819+7.0474e-05i,-0.00040918-4.8405e-05i,-0.00095961-9.9601e-05i,-0.00040255-0.00068126i,-0.00053228-0.00051551i,-0.0010649+9.4414e-05i
4.1631e-05+0.001367i,-0.00025124+0.0011789i,0.00026186+0.0008738i,-0.00021447+4.2351e-05i,0.00069924-0.00026518i,0.0020131-0.00086894i,0.0013252-0.0011074i,0.00013841-3.7476e-06i,-1.3177e-05+0.00047288i,0.00014737-4.1997e-05i,0.00014962-0.00018826i,-4.1272e-06-0.00054513i,-0.00023465-0.0014706i,-0.00025522-0.0013955i,-0.00022426-0.00053297i,-0.00070681-0.00013949i,-0.0013642+0.00025772i,-0.00087679+0.0002174i,-0.00026403-0.00014675i,0.00012285-0.00015019i,0.00020174-0.0010175i,-8.841e-05-0.00074102i,-0.00052966+0.00040128i
-0.00043465-0.00088102i,-0.00069527-0.00051562i,-0.00092284-0.00029312i,-0.00075466+0.00039769i,-8.1947e-05+0.0014451i,0.00079069+0.0011107i,-6.0173e-05-0.00090669i,-0.001264-0.0011126i,-0.00079453-0.00076775i,-0.00047331-0.0012258i,-0.00023698-0.00077152i,-0.00016116-0.0001068i,-8.175e-05-6.3608e-05i,0.00070886+0.00069959i,0.00086614+0.00071571i,0.00053288+8.2421e-05i,-0.00026826+3.0121e-05i,-0.00037355-0.0002581i,0.00032979+2.4648e-05i,0.00016736+0.00051968i,-0.00013252-0.00022615i,0.00019084-0.0012938i,0.00032686-0.00027103i
0.00069014+0.00025582i,0.00091062+0.00033411i,9.0959e-05+0.00062037i,-0.00034733+0.00084092i,0.0012216+0.00098332i,0.0025792+0.00043108i,0.0020476+0.00018588i,0.00071438+0.00048944i,0.00036583+0.00039865i,0.00075812-0.00017408i,0.00037308-0.00044623i,0.00076157-0.00074778i,0.0011303+1.7901e-05i,-0.0002432+0.00086397i,-0.00090549+0.00015839i,-0.00074163-0.00025295i,-0.00019455+6.1519e-06i,0.00013212+0.00014142i,-8.0286e-05+0.00042718i,-0.00059727+0.000564i,-0.00029497-5.8508e-06i,-7.8827e-05-0.00033719i,-0.00027109-0.0005538i
-0.0010748+0.0011649i,-0.00066502+0.00093638i,-2.8085e-05+0.0013445i,0.00090436+0.0017114i,0.0013703+0.0014507i,0.00156+0.00096819i,0.00093148+0.00043978i,-3.5015e-06+1.9365e-05i,0.00034458-0.00050533i,0.0013888-0.00043947i,0.0017808-0.0002793i,0.0010759-0.00090263i,0.00039937-0.0012028i,-0.00019816-0.00027728i,-0.0005629-5.7768e-05i,-0.00033206+7.4912e-06i,0.00017707+0.00070155i,0.00055676+0.00057195i,0.00035567-0.00012864i,-0.00033963+9.431e-05i,-0.00078777+0.00034106i,-8.2983e-05+0.00048113i,0.00034473+0.00019492i
-0.0021787+0.0017581i,-0.0013182+0.0018886i,-6.8074e-05+0.0026908i,0.00079064+0.0024608i,0.001734+0.0017396i,0.0024183+0.00022239i,0.001608-0.0010966i,0.00023025-0.0010573i,1.5684e-05-0.00015553i,-0.00019135+0.00029772i,-0.00058912+0.00032866i,0.00020747+0.00026078i,0.00091646-0.00037384i,0.001004-0.0010303i,0.0011561-0.0011238i,0.00048792-0.00076528i,-0.00056514-0.00036175i,-0.00066703-0.0002714i,2.3966e-05+0.0001457i,0.00065669+6.8328e-05i,0.00065412-0.00024166i,0.00037848-7.5943e-05i,0.00076323+0.00053374i
0.0015727-0.00072708i,0.0021084-0.00049418i,0.0018663-0.0010496i,0.00025592-0.0014787i,-0.00060187-0.0012364i,0.00014352-0.00013567i,0.00039293-9.4208e-05i,0.00046052-0.00084361i,0.00024851-0.00091417i,-0.0006908-0.00054461i,-0.00099103-0.00047891i,-0.00024196-0.00055992i,-0.00018517-0.000835i,0.00023658-0.00060886i,0.00047271-0.00018897i,-0.00037886-0.000271i,-0.00083604+3.5108e-05i,-0.00064145-0.00021164i,-0.00037326-0.00042784i,-0.00053946-0.00023948i,-0.00032579-0.00028414i,-0.00023322-0.00018996i,-0.00067846-0.00018976i
-0.0011881+0.0024527i,-0.0011995+0.0027032i,5.2722e-05+0.0029634i,0.0013626+0.0026119i,0.0014351+0.0018798i,0.0014921+0.0010367i,0.00079201-0.00078856i,3.6793e-05-0.00093948i,-0.00025955+0.00053092i,-0.00038218+0.00045823i,-9.9385e-06-0.00040605i,0.0005275-0.0003437i,-0.00019242-0.00021675i,-0.00049529-0.00013912i,-0.00065394+0.0002712i,-0.00077768-0.00013251i,-0.00046216-0.00078712i,-0.00030606-0.00058641i,-0.00011154+0.00041707i,0.00085799+0.00055762i,0.0010063+0.0003045i,1.4639e-05+9.6984e-05i,8.2437e-05-0.0001327i
0.00011811+0.00057913i,-0.00056803+6.562e-05i,7.7745e-05+0.00066099i,0.0008507+0.00065424i,0.0014249+0.0001371i,0.0015059-0.00097604i,0.0010389-0.0019986i,0.0004761-0.0011i,0.0001862-0.00054993i,0.00035853-0.00056059i,0.00046072-0.00019718i,0.0010735-0.00058468i,0.0014846-0.00069527i,0.00043572-0.00037558i,-0.00040751+0.00027528i,-0.00074448+0.00043974i,-0.00077583+3.6187e-05i,-0.0003922-0.00017702i,-0.00037342-0.00025118i,-0.00084831-0.00024714i,-0.00098091-0.00030649i,-0.00096518-0.0006283i,-0.00074648-0.00052167i
0.00041631+0.00020604i,0.0010599+0.00011401i,0.00089921-0.00068376i,0.00011979-0.00088343i,6.8015e-05+8.0128e-05i,0.00028423+0.00068504i,0.00014687+0.00030354i,0.00016302+0.00051258i,0.00010947+0.00034225i,0.00030685-0.00024442i,0.00013449-0.00096549i,-0.00064832-0.00096335i,-0.00076564-0.0007058i,-0.000318-0.00041346i,0.00013943+5.4545e-05i,0.0003393-5.8941e-05i,0.00059347-0.00061054i,0.00048762-0.00036189i,-0.00042415+0.00018015i,-0.00075542-0.00048294i,1.6457e-05+0.00011179i,3.7107e-05+0.0009761i,-0.00062624+0.00095579i
-0.00041289-0.00039639i,5.3608e-05+0.00048734i,0.00030615+0.0010618i,0.00052443-0.0001279i,0.0012528-0.00035403i,0.0019335+2.0247e-05i,0.0016327-0.00053582i,0.00076363-0.00056939i,0.00049721-0.00047094i,0.00028981-0.00059282i,-0.00058899-0.00045999i,-0.00013524-0.00063051i,0.00021095-0.00083132i,-0.0001734-0.00041986i,6.6048e-05+0.00042535i,0.00046096+0.00074224i,0.00026213+0.00020547i,-6.8852e-06-0.0005031i,0.00048101-0.00057353i,0.00012797-0.00063183i,0.00013623-0.00024706i,0.00040349+0.00040196i,0.00021827+0.00033132i
-0.00032581+1.4776e-05i,0.00030189+0.00015914i,-0.00063182-6.8365e-05i,-0.00089333+0.0010724i,2.9833e-05+0.0012432i,0.00056077-0.000562i,0.00066067-0.0015908i,0.00047457-0.00070861i,4.4749e-05+3.3663e-05i,-0.00065466-0.00017104i,-0.00056556-3.4467e-05i,0.00040162-5.6851e-05i,0.00067316-0.0013255i,0.00033056-0.0016682i,0.00032922-0.00067656i,0.00052813-0.00064637i,-1.0162e-05-0.0005441i,-0.00035696-0.00019984i,0.00044582-0.00045602i,0.00063832-6.1941e-05i,0.00041392+0.00039389i,0.00042366+0.0001076i,5.4598e-05+0.00029665i
0.0017174-0.00013273i,0.0020477-0.00095042i,0.0020663-0.00078006i,0.0017393-0.00082116i,0.00087993-0.0009921i,0.00010881-0.00058579i,0.0001403+0.00024109i,0.00054057+0.00055992i,0.0013023+0.00062478i,0.0014764+0.00032747i,0.00075494-0.00045779i,-8.6666e-05-0.0008989i,-0.00027918-0.00029726i,-0.00043246+0.00047035i,-0.00040565+0.00056985i,-0.0002738+0.00027296i,-0.00020601-0.00024311i,3.6624e-05+5.8378e-05i,-0.00024032+0.00043737i,-0.00040014-0.00011391i,2.0877e-05-0.0010435i,-0.00010082-0.0012247i,-0.00049156-0.0011611i
0.0018156-0.00050413i,0.0017555-0.00064573i,0.00044545-0.00047077i,0.0001274+2.2017e-05i,0.00015553+0.00054692i,0.00042707+0.00054399i,0.0016207+0.00011309i,0.0010026+0.00025525i,-0.0006351+0.00082127i,-0.0010345+0.00089513i,-0.001686+3.4712e-05i,-0.0011599-0.00021337i,0.00017415-3.0591e-05i,0.00031951+0.00025918i,-8.791e-05+0.00035469i,0.00018116+0.00063117i,-0.00037694+0.0005349i,-0.00087699+0.00016132i,0.00010155+0.00048651i,0.00021159+0.00050187i,-3.983e-05+5.5108e-05i,0.00011481+0.00024791i,0.00028357+0.00047801i
-0.0016941-0.00091206i,-0.0012749-0.0011021i,-0.00077017-0.0018068i,-0.00043509-0.00080512i,0.00019543+0.00054425i,0.00141+0.00039167i,0.0015989-0.00040619i,0.0011547+0.00013157i,0.00030481+0.00056448i,-0.00049193+0.00018312i,-0.00067009-9.9293e-05i,4.0231e-05+0.00018586i,0.00071237-8.6836e-05i,0.00040357+1.0037e-05i,7.4514e-06+0.00035793i,-0.00043243-0.00023419i,-0.00019068-0.00058236i,0.0005406-6.1867e-05i,0.00063752-0.00036842i,0.00046872-0.00071636i,-0.00065016+0.00042074i,-0.0018037+0.0007704i,-0.0014083-0.0001929i
0.001383-0.0010005i,0.0023646-0.0011518i,0.0012105-0.00099185i,0.00044796-0.00063155i,0.0019265-0.00014794i,0.0022284+0.00032948i,0.0013595+0.0003011i,-0.0003007+0.00022243i,-0.00082689+0.00013789i,-3.5527e-05-0.00014728i,9.3482e-06-0.00035967i,-0.00054614-0.00040384i,-0.0003416-0.00046566i,0.00027527-0.00025362i,0.00045964-0.00018906i,-0.00025705+0.00065284i,-0.00063565+0.00052334i,-0.0002078-0.00025386i,-0.00034811-0.0004584i,-6.9662e-05-4.9186e-05i,-5.5068e-06+0.00023655i,-1.1586e-05-7.717e-05i,0.00018227+0.00026718i
0.0017736+0.00046601i,0.00024038+0.00064812i,3.9262e-05-0.00062695i,-0.00032359-0.0014086i,-0.00074863-0.0012339i,-0.00032085-0.00059137i,0.00031576-0.00028687i,0.00051748+3.6965e-05i,-2.5398e-05+0.00021755i,-0.00069368-0.00038422i,-0.00096241-0.00090944i,-0.0015135-0.00092645i,-0.0017647-0.0010337i,-0.0013422-0.00072868i,-0.00047389-0.00044027i,0.00021542-0.00062008i,0.00022452-0.00053461i,7.4452e-05-0.00048956i,-0.00010184-0.00032654i,-0.00082358-2.1791e-05i,-0.0009455-0.00068036i,-0.00047714-0.00050717i,-0.00075997-1.8158e-06i
-0.0013398+0.00019585i,-6.0273e-06+0.0014838i,0.0015476+0.0025277i,0.0017765+0.0029791i,0.0020513+0.0018786i,0.0026839+0.00061013i,0.001537+8.3229e-05i,0.00026288-0.00048027i,0.00038164-6.9388e-05i,0.00018907+8.0999e-05i,0.00022093-0.0008047i,0.0011257-0.0011711i,0.00094716-0.0017438i,0.00052159-0.0017002i,0.00039245-0.00065977i,0.00042738-0.00014727i,0.00033959+0.00015184i,7.754e-05+0.00016072i,0.0006334-3.5158e-05i,0.00096512-4.3292e-05i,0.00041187-0.00036602i,-0.00010199-0.00031312i,-0.00051337+0.00012309i
-0.00022851+0.0002385i,-0.00082311-4.2252e-05i,-0.0019006-1.0876e-05i,-0.001078+0.00081547i,0.00012127+0.00071588i,0.0013957+0.00018085i,0.0010484-2.427e-05i,0.00013228-0.00059012i,-0.00024467-0.00063561i,-0.001134+1.5862e-06i,-0.00037052-8.2128e-05i,0.0013651-0.00015886i,0.0012968+8.0368e-05i,0.00017162+0.00033663i,0.00014422+0.00020262i,-6.4773e-06-0.00026594i,-0.0005981-0.00034524i,-0.00043406-0.00061546i,-6.8242e-05-0.00055024i,1.4349e-05+3.3298e-05i,0.00014255+0.00041926i,0.00023108+0.00052877i,-5.5938e-05+0.001045i
-0.002063-0.00061149i,3.6347e-05-0.00025443i,0.00057698+0.00085221i,-7.9963e-06+0.00089312i,0.00031001+0.0007825i,0.0009631+0.00072389i,0.0015694+0.00034379i,0.0010843+0.00034145i,-6.4775e-05+0.00057377i,-0.00077394+0.0009281i,-0.00071285+0.00069663i,-0.00036405-0.00046979i,0.00037767-0.00075058i,0.00060533-8.1263e-06i,0.00053427+0.000121i,0.00036219+7.1675e-05i,-0.00019922-8.7232e-05i,-0.0002488-0.00046267i,-6.8967e-05-0.00022016i,0.00016469+0.00044998i,0.00046553+0.00023509i,-0.00030825+0.00020893i,-0.0010991+0.00012124i
0.0012257-0.0016018i,0.00020711-0.0011698i,-0.00068818-0.00087393i,-0.00078879+9.811e-05i,0.00016515+0.00048757i,0.0013064+0.00075314i,0.00081294+0.00036135i,-4.2516e-05-2.1027e-05i,0.00022531-2.1594e-05i,0.00038092+4.3394e-05i,-0.00027843-0.00016477i,-0.00077593-0.00052807i,-0.00032013-0.00032647i,0.00049624+0.00047968i,0.00054791+0.00050348i,0.00067862+4.3514e-05i,0.00088484-4.8638e-05i,0.00045753+8.9025e-05i,0.00012685+0.00018505i,-6.9293e-05+7.8079e-05i,-9.2833e-05+5.1951e-06i,-4.0404e-05-0.00065383i,0.00042061-0.00082041i
-8.2437e-05-0.00060638i,3.1467e-05-0.00077432i,-0.00063445-0.00033606i,-0.00068221+1.2072e-05i,-0.00044568-0.0001314i,0.00022816-0.00049199i,0.00045695-0.0012833i,-5.7914e-06-0.0014044i,-0.00046158-0.0010521i,-0.00047041-0.00046079i,-0.0002379+0.00021154i,-0.00032129+0.0004111i,-0.00048077-0.00032219i,-3.5217e-05-3.8116e-05i,0.00046007+0.00062329i,5.657e-05+0.00038431i,-3.2964e-05-0.00065796i,0.00053831-0.00034594i,0.00067731-0.00014994i,0.00012794-0.000576i,-0.0008655-0.00067333i,-0.001153-0.0013165i,-0.000885-0.0010308i
-0.0024853-0.00046071i,-0.0018883-0.00011578i,-0.0017236+0.00026085i,-0.0011365+0.0014153i,0.00039749+0.0020202i,0.0012685+0.0017957i,0.0001477+0.00094866i,-0.00093597+0.00010186i,-0.00077647-0.00017781i,0.00035662-5.6596e-05i,0.0011165+0.00010824i,0.0010401-0.00076766i,0.0008906-0.0015564i,0.00059137-0.00035476i,0.00042823+0.00064808i,0.0003404+0.00058159i,3.3547e-05+0.00064083i,8.4838e-05+0.00041527i,-0.0003467-0.00044719i,-0.00015121-0.00028538i,0.00033041-0.00013197i,0.0004101-0.00040561i,0.00053748+0.00047943i
-4.9429e-06-0.00058602i,-0.0011404-0.00085173i,-0.0016841-0.0015467i,-0.0023184+0.00037269i,-0.0013544+0.0016135i,0.0013151+0.0016473i,0.0020673+0.00097415i,0.00093368-0.00010017i,0.00044626+0.00039081i,-0.00011495+0.00099245i,-0.0010048+0.00094125i,-0.0010873+0.00041343i,0.00040277+0.00011473i,0.0013529+0.00042493i,0.00075512+0.00060258i,0.00025696+0.00060998i,0.00010452+0.00067427i,4.3237e-05-0.00023552i,-0.00030916-0.00063637i,-0.00029622-0.00056684i,-0.00058182-0.00065132i,-3.4682e-05-0.00026259i,-2.1979e-05+0.00031055i
-0.0012726-0.0019702i,-0.0023914-0.0022166i,-0.0022232-0.00057474i,-0.00072427-0.00057285i,0.00076223-0.00074777i,0.0012535-0.00061648i,0.0013087-0.0010654i,0.00042185-0.00065617i,-0.00028077+6.8959e-06i,-0.00017002+0.00045997i,0.00012552+8.8466e-05i,0.00031524-0.00053006i,0.00089298-0.00049132i,0.00098441-0.00018445i,0.0007344+8.916e-05i,0.00043539-0.00014602i,0.00023932-0.00052389i,0.0010324-0.00047809i,0.00036841-0.00016149i,-0.00061878-0.00013456i,-0.00024892-0.00046279i,0.0002405-0.00026173i,-0.00024449-0.00030757i
