-0.0011689+4.0816e-05i,-0.00089441-0.00059176i,-0.0017306-0.00063891i,-0.0017006-0.00026198i,-0.0017898+0.00066375i,-0.001654+0.0014642i,-0.00078842+0.0017712i,0.00025788+0.0014911i,0.0011312+0.00066214i,0.0013704+0.00054772i,0.0012839+0.0010435i,0.0011922+0.0004635i,0.00098319+0.00038749i,0.00016154+0.00037271i,-0.00019257+0.0003002i,-0.00035996+0.00028826i,9.9865e-05-2.5545e-05i,0.00096674+0.00060466i,0.00050153+0.0013646i,-0.00038731+0.001247i,-0.00058791+0.00066971i,0.00017644+0.0006129i,0.00026667+0.00040773i
-0.00012343-0.00062124i,-0.0001436-0.0008355i,-0.00032308-0.0013319i,-0.00028185-0.00095387i,-0.00020634-0.00035089i,4.9633e-05-0.00028895i,0.00037658-0.00027287i,8.4246e-05-0.00013557i,-0.00019158+9.8624e-07i,-0.00064592-6.8871e-05i,-0.001064-2.259e-05i,-0.00083229+8.8612e-05i,-0.00052803+0.00029935i,-1.1572e-05+5.6634e-05i,-8.7164e-05-0.00012146i,-0.00037818+0.00033752i,-0.00017047-0.00032579i,-9.6883e-05-0.001833i,-0.00027606-0.00089583i,-0.00042862+0.00021166i,-0.0004101+0.00064891i,-0.00021311+0.00078358i,-3.0057e-05+0.00066153i
0.0005092+0.0017164i,0.001074+0.0012187i,0.0020753+0.00054133i,0.0020069+0.00040091i,0.0011796+1.3279e-05i,0.00098579-0.00055091i,0.00028046-0.00033075i,-0.00039995+0.00011539i,-0.00050368+0.00069099i,-0.00022477+0.00015673i,-2.6961e-05-0.00055483i,0.00012196-0.00029395i,0.00023052+0.00022062i,-0.00019247+0.00075259i,-0.00035832+0.00084039i,-0.00039342+5.6466e-05i,4.0721e-05+0.00040879i,0.00054375+0.00051832i,-7.9598e-05-0.00055269i,-0.00087789-0.00082538i,-9.4496e-05-0.00016129i,0.00059269+0.00049875i,0.00041047-9.8045e-05i
0.00010764-0.00015986i,0.0008861+8.0583e-05i,0.00063221-0.00088445i,0.00051796-0.00080017i,0.0013252+0.00012017i,0.0015236+0.00041709i,0.00071233+0.00049159i,-0.00027126-0.00026698i,-1.5214e-05-0.00093534i,-0.00010482+0.00034439i,-0.00085397+0.0010008i,-0.00046616+0.00025612i,0.00081207+0.00029073i,0.0016874+0.00062219i,0.00058223+0.0004096i,-0.00017035-9.2086e-05i,0.00044404-0.00037177i,0.00051264-0.0005928i,0.00034102-0.00035536i,-0.00029754-0.00023331i,-0.00039585-0.00011679i,-0.00032041+6.1428e-06i,0.00035486-0.00022727i
0.00060776-0.00012336i,0.0004694-0.00015499i,0.00088487+0.00018871i,0.00046358-0.00021488i,-6.6814e-05-0.00089624i,0.00051956-0.00095779i,0.00010042+0.00021467i,-0.00046877+0.00093155i,-6.0475e-05+0.00011584i,6.8495e-05+7.0045e-05i,0.00021629+1.4636e-05i,-5.3609e-05-0.00010311i,-0.00033229-0.0001123i,0.00030344-0.00016071i,-1.6367e-05+0.00015215i,-0.00036071+0.00024223i,0.00016426+0.00015904i,0.00015189-0.00015743i,-5.71e-05-9.0352e-05i,-5.3157e-05+0.00025781i,0.00024304-0.00048657i,0.00019267-0.0010568i,2.4999e-05-0.00058374i
0.00021532-0.00029607i,-0.0011262-0.00037491i,-0.0010662-0.00078631i,-2.9583e-05-2.4569e-05i,0.00067842+0.00039747i,0.00051104+0.00026539i,-2.1361e-05+0.00073906i,-0.00058585+0.00071538i,-0.0008152+5.477e-05i,0.00014128-0.00018774i,0.00089684-0.00073439i,0.00081742-0.00075445i,0.00043228+0.00060365i,0.00073051+0.0012744i,0.00067254+0.0012601i,0.00034296+0.00027671i,0.00096364-0.00035221i,0.0010224-7.8634e-05i,0.00040008+0.00012353i,-0.00039964+0.00037993i,-0.00049816+0.00083538i,0.00017622+0.0010516i,0.00080111+0.0012495i
-0.00079756+0.00049549i,-0.0014016+0.00027888i,-0.00064404+3.6392e-05i,-0.00046057-0.00028985i,-0.00014752-0.00083784i,0.00082785-0.00068564i,0.00071446-0.00037692i,-0.00013613-0.00047136i,-0.0004382-0.00093719i,-0.0010863-0.0011061i,-0.00081545+0.00011289i,-0.00014445+0.00092291i,0.00024348+0.00052882i,0.00057277+0.00030145i,0.00039383-9.0557e-06i,-7.2932e-06-0.00026189i,0.00034855+0.00025112i,0.00024116+0.00088648i,-0.00025144+0.00031863i,-0.00025488-7.153e-05i,-0.00082654+0.00037048i,-0.00061214+0.00059462i,-0.00017572+0.00010844i
0.00078433-0.00047674i,0.00081189-0.00081117i,0.00052942-0.00060758i,0.00053003-0.00094296i,0.00031764-0.00024559i,-0.00025686-0.00039914i,-0.0010004-0.00096913i,-0.0015078-0.00061454i,-0.0010803-0.00038819i,-0.00063614-0.00029631i,-0.00038991+1.323e-05i,-2.8071e-05-9.8049e-05i,0.0010958+8.045e-05i,0.0014276+0.00040048i,0.00021169+9.8773e-05i,6.855e-05+0.0002381i,0.00072232+8.9455e-05i,0.00024799-0.00022512i,-0.00023459+6.1226e-05i,9.8521e-05+0.00025727i,-0.00023205-0.00019839i,-0.00047254-0.00058895i,-0.00031453-0.0006041i
0.0015992+0.00091312i,0.0017037+0.0015748i,0.0017798+0.00046724i,0.0017736-0.0011635i,0.0013995-0.0019568i,0.00037148-0.00041438i,-0.00013998+0.00059907i,0.00041672+0.00023557i,0.0013775-0.00013087i,0.0013726-0.00059914i,0.00026745-0.00046344i,-0.00054852-0.00030639i,-0.00043424-0.00026652i,1.9032e-05+0.00016846i,0.00038496+0.00046039i,0.00011164+0.00067224i,6.158e-05+0.00073252i,6.7386e-05+0.00089245i,5.4869e-05+0.0010677i,-1.6782e-05+0.00019523i,-0.00056674-0.00021816i,0.00013522+0.00015715i,0.001585+0.00026247i
0.00014547-0.00046116i,-0.00015191-0.00037596i,-0.00034249-0.00028262i,-0.00059503-0.00071064i,0.00012485-0.001093i,0.0010358-0.00079575i,0.00019695-0.00097653i,-9.9721e-06-0.0011107i,-0.00023642-0.00074411i,-0.00034013-0.00028499i,-0.00033835-8.7315e-05i,-0.00063973+0.00017961i,-0.00010463+0.00053246i,0.00033137+0.00082021i,0.00093984+0.00042015i,0.0004357-0.00030398i,-0.0005211-0.00029015i,0.00011264-0.00011675i,0.00047542-0.00025931i,-0.00028296-0.00061124i,-0.00069486-0.00058666i,-0.00052946+0.00019159i,-0.00047962+0.00016502i
0.0024639-0.00036082i,0.0014826-0.00028748i,0.00062752-0.0024116i,1.9687e-05-0.0027245i,-0.001349-0.0018422i,-0.0012732-0.00090882i,-0.00030854+0.00048684i,9.9297e-05+0.0011132i,-0.00038818+0.00054372i,-0.0012545-0.00085361i,-0.0011934-0.0010329i,-0.0006082-3.5558e-05i,-0.00032894+0.0010141i,0.00028146+0.00081915i,0.0009388-7.1108e-05i,0.00090491+0.0004105i,0.0006617+0.0014736i,0.00073368+0.00051105i,0.00067579-0.00063748i,0.00034609-0.00016213i,0.00027116+0.0001546i,0.00056307+0.00072888i,0.00055122+0.0011352i
