-0.0011689+4.0816e-05i,-0.00089441-0.00059176i,-0.0017306-0.00063891i,-0.0017006-0.00026198i,-0.0017898+0.00066375i,-0.001654+0.0014642i,-0.00078842+0.0017712i,0.00025788+0.0014911i,0.0011312+0.00066214i,0.0013704+0.00054772i,0.0012839+0.0010435i,0.0011922+0.0004635i,0.00098319+0.00038749i,0.00016154+0.00037271i,-0.00019257+0.0003002i,-0.00035996+0.00028826i,9.9865e-05-2.5545e-05i,0.00096674+0.00060466i,0.00050153+0.0013646i,-0.00038731+0.001247i,-0.00058791+0.00066971i,0.00017644+0.0006129i,0.00026667+0.00040773i
0.0041795-0.0006197i,0.0063406-0.0048797i,0.0047031-0.0046159i,0.0068016+0.0024051i,0.017655+0.013483i,0.027816+0.039708i,0.028001+0.073199i,0.009597+0.085493i,-0.0053562+0.058794i,-0.00083062+0.020232i,0.0039627-7.5392e-05i,0.00137-0.0036927i,-0.00065535+0.00015841i,0.00029189+0.0012456i,0.0014758-0.0013214i,0.00083956-0.0027514i,0.00011532-0.0023321i,0.00012841-0.00095974i,-0.00061632+0.0012977i,-7.9466e-05+0.0030778i,0.0016027+0.0032429i,0.0012456+0.0019055i,-0.0002864+0.0004097i
0.0002229+0.0055899i,-0.00013908+0.0096171i,0.00458+0.0076476i,0.0092566-0.0060163i,0.018458-0.023312i,0.045021-0.045373i,0.073484-0.056085i,0.072597-0.044152i,0.039425-0.02665i,0.010242-0.017785i,0.0019915-0.012907i,0.0016553-0.0068701i,0.0023444-0.0020066i,0.0022325-8.0306e-05i,0.0012886-0.00010987i,0.00082746-0.0011991i,-0.00010092-0.0034178i,-0.0022851-0.0057115i,-0.0030196-0.008453i,-0.001515-0.0088298i,4.9201e-05-0.0066717i,0.00041828-0.0060976i,-0.0010641-0.0053099i
-0.0017071+0.002129i,0.0004116-0.0012091i,-0.0020303+0.0006115i,-0.0043921+0.0020049i,-0.0049089-0.013744i,-0.0081226-0.048191i,-0.0022742-0.087909i,0.01405-0.092535i,0.019991-0.054329i,0.0071083-0.018946i,-0.0068475-0.004896i,-0.0095782-8.9525e-05i,-0.0064609+0.00084103i,-0.0051618-0.00022366i,-0.0062074+0.00068938i,-0.0066066+0.0020207i,-0.004407+0.0019402i,0.00012816+0.00091988i,0.0033853-0.00064214i,0.0032971-0.0021187i,0.0017571-0.003036i,0.0010713-0.0027777i,0.00070958-0.0010001i
0.0011115+0.0023042i,-9.1924e-05+0.0043754i,0.0012825+0.003525i,-0.0052838+0.00067099i,-0.032526+0.0048494i,-0.07977+0.0096168i,-0.12412+0.011428i,-0.12098+0.011527i,-0.075733+0.010866i,-0.036203+0.010501i,-0.018665+0.0094344i,-0.010891+0.0067009i,-0.006153+0.0031687i,-0.004241+0.00078537i,-0.0029128-0.00080655i,-0.0024975-0.00091314i,-0.0031865+0.00063653i,-0.0033469+0.0027318i,-0.0035546+0.0052134i,-0.0045836+0.0045943i,-0.0064706+0.0013589i,-0.0071802+0.0011242i,-0.0037597+0.0027513i
-0.0015787+7.5288e-05i,-6.7355e-05-0.0032206i,-0.00071376-0.0021667i,0.0018817+0.0074852i,0.0069067+0.025466i,0.001145+0.062857i,-0.018814+0.10117i,-0.040454+0.095075i,-0.034735+0.056036i,-0.010177+0.029687i,0.0051804+0.01943i,0.0077362+0.011232i,0.003534+0.0060559i,0.0026254+0.0049972i,0.0043908+0.0037472i,0.0037902+0.0021467i,0.00069448+0.0005171i,-0.0028744-0.0014785i,-0.0054074-0.0014717i,-0.0055328+0.00047817i,-0.0036525+0.0018652i,-0.0009715+0.0011994i,0.0012573-0.00059345i
0.0017057+0.0010964i,0.00050884+0.0050716i,0.0048379+0.0067367i,0.011614+0.0080972i,0.030762+0.022313i,0.076484+0.042675i,0.13137+0.058025i,0.14834+0.059481i,0.10853+0.039119i,0.055504+0.017538i,0.027033+0.0095763i,0.016347+0.0059788i,0.010017+0.0020386i,0.0033674-0.0020845i,-0.0023807-0.0029935i,-0.0037052-0.00044642i,-0.00081624+0.00044877i,0.0025893+0.00073838i,0.0048302+0.0030106i,0.0046+0.0057908i,0.00257+0.0076376i,0.0026431+0.0067117i,0.0020738+0.0025557i
0.0026475-0.0011459i,0.0023857-0.0066619i,-0.001878-0.008815i,-0.0026215-0.013458i,0.010761-0.03876i,0.040832-0.078345i,0.074517-0.11101i,0.081955-0.10824i,0.053248-0.071066i,0.022071-0.038411i,0.0073516-0.024701i,-0.00094844-0.017076i,-0.0055332-0.0086311i,-0.0048015-0.0016673i,-0.0027152-0.00045753i,-0.0015903-0.0012788i,-0.0022339+0.00029029i,-0.00072725+0.0023082i,0.0033404+0.0014339i,0.0045178-0.00075262i,0.0022693-0.00022202i,-0.00043687+0.00085031i,-0.0014613-0.00054858i
0.00037857+0.0010947i,0.0016078+0.004735i,0.0074306+0.0020058i,0.009894-0.0082589i,-0.0031662-0.026516i,-0.042339-0.069449i,-0.10141-0.1226i,-0.13116-0.13892i,-0.097404-0.10155i,-0.043105-0.052571i,-0.016493-0.026869i,-0.01172-0.013438i,-0.010586-0.0026904i,-0.0083182+0.0024194i,-0.0043388+0.003971i,-0.0020323+0.002682i,-0.00076931-0.00017546i,0.00044693-0.0030792i,0.0024095-0.0056406i,0.0062558-0.0071256i,0.0086817-0.0077092i,0.0079063-0.0069421i,0.0040656-0.0038763i
0.0023621+0.0021182i,0.001785-8.0779e-05i,-0.0036541+0.0035394i,-0.017143+0.014482i,-0.045323+0.026478i,-0.095161+0.051725i,-0.13851+0.084902i,-0.13293+0.09227i,-0.085112+0.066222i,-0.042667+0.035896i,-0.022183+0.02168i,-0.0084878+0.014717i,-0.001039+0.0067368i,0.00018093+0.0033298i,0.00094601+0.0013394i,0.00062183-0.00076638i,-0.0014737-0.0013702i,-0.002556-0.0031026i,-0.0041494-0.0050413i,-0.0058743-0.0036864i,-0.0038702+0.00019969i,-0.0016022+0.0026385i,-0.0013488+0.0030988i
-0.0013526+0.0020849i,7.4317e-05+0.0038026i,0.0038296-0.00062414i,0.0034622-0.0034722i,0.0089859+0.01867i,0.030869+0.076037i,0.062237+0.15289i,0.073539+0.18623i,0.051217+0.13782i,0.018183+0.064838i,0.0010068+0.026602i,-0.0019115+0.015855i,0.00074221+0.011095i,0.0040151+0.0052068i,0.0031475+0.00010136i,-0.00012927-0.0015432i,-0.0019201-0.0013287i,-0.0031038-0.00208i,-0.0064495-0.0025589i,-0.0096229-0.0032132i,-0.011834-0.004616i,-0.011451-0.004504i,-0.006353-0.0025563i
-0.0047228+0.0016943i,-0.0026508+0.00044413i,0.0028269+0.0075432i,0.019086+0.018305i,0.052495+0.022413i,0.10611+0.016103i,0.16227-0.012661i,0.17058-0.045869i,0.1175-0.045375i,0.059019-0.021194i,0.028319-0.0094199i,0.011813-0.01048i,0.0014772-0.0097681i,-0.0031052-0.0057635i,-0.0045311-0.0017988i,-0.0028763+0.0009247i,-0.00085644+0.0020202i,-0.00086553+0.004936i,-0.00025693+0.0085332i,0.0036281+0.007236i,0.0066677+0.0028652i,0.0056238-0.00010203i,0.0045088-0.00076893i
-0.0015249-0.0012172i,-0.0033067+0.00097469i,-0.0048344-0.0020919i,-0.007218-0.0096697i,-0.0055463-0.031377i,0.00078472-0.097916i,0.0020739-0.18526i,-0.00071226-0.21084i,-0.0016708-0.1476i,6.5544e-05-0.06357i,0.0019221-0.018319i,-0.00026945-0.0059887i,-0.0036655-0.0029581i,-0.0029002-0.0011003i,-0.0019569-0.00055556i,-0.0024542-0.00077346i,-0.0021703+0.0014975i,-0.00036623+0.0038009i,0.0012345+0.0053964i,0.0013783+0.0093935i,0.0015998+0.013817i,0.002219+0.013418i,0.0015099+0.006726i
0.0018359-0.0018947i,0.0040869-0.0065873i,0.0028103-0.010335i,0.0012545-0.018007i,-0.011368-0.04023i,-0.061846-0.053754i,-0.1419-0.039063i,-0.18136-0.0078055i,-0.13641+0.012671i,-0.064434+0.010925i,-0.02805+0.0083466i,-0.013726+0.013659i,-0.0027929+0.01369i,-0.00052278+0.0070927i,-0.0020176+0.0027527i,-0.00176+0.00038329i,0.0013522-0.0020294i,0.0052345-0.0041828i,0.0061823-0.0074147i,0.0025433-0.0092582i,-0.0035144-0.0087994i,-0.005896-0.0066078i,-0.0045693-0.0039723i
-0.0023314-0.0013371i,-0.0046518+0.0049944i,-0.0066661+0.0083519i,-0.011837+0.014039i,-0.030688+0.043029i,-0.063029+0.099916i,-0.084807+0.17006i,-0.070614+0.19551i,-0.031757+0.13894i,-0.0047925+0.059647i,0.0027579+0.020323i,0.0029646+0.0086779i,0.00017637+0.0027412i,-0.00085013+0.0010747i,-0.0011807+0.00017355i,-0.0020643-0.0007572i,-0.0020775-0.00073442i,-0.0011965-0.0017152i,-0.00030151-0.0024023i,0.0022905-0.0020877i,0.006876-0.0028721i,0.0085085-0.004652i,0.0040686-0.0034929i
0.0054471-0.00077629i,0.0056588-0.0072053i,0.0015715-0.0074582i,-0.00572+0.0029444i,-0.0037421+0.018506i,0.037076+0.046014i,0.12389+0.068085i,0.18427+0.051974i,0.14793+0.015567i,0.071227-0.00065451i,0.033121-0.0041597i,0.020149-0.010551i,0.0081208-0.0080206i,0.00031293+0.0014421i,-0.0029165+0.0054615i,-0.0039332+0.0048809i,-0.0049779+0.0016016i,-0.007258-0.0021694i,-0.0069224-0.0021572i,-0.0035979+0.0020471i,-0.0014272+0.006559i,-0.0016057+0.0068775i,-0.0025883+0.0061241i
0.0025219-0.00076311i,0.0032634+0.0053935i,0.0094845+0.0047787i,0.022154+0.00238i,0.052517+0.0010737i,0.1068-0.031412i,0.14374-0.10614i,0.11329-0.15753i,0.048655-0.12829i,0.010611-0.063339i,-0.0022228-0.024954i,-0.0084118-0.0096205i,-0.0082069-0.00045463i,-0.0041965+0.0023581i,-0.00069417+0.0017167i,0.001874+0.00017585i,0.0010964-0.0013484i,0.0013408-0.00031441i,0.0044464-0.00016772i,0.0024517-0.0026928i,-0.003507-0.0038527i,-0.0062074-0.0017918i,-0.0029969+0.00096225i
-0.0035212-0.00046498i,-0.0065452-0.005495i,-0.0090973-0.0030283i,-0.0023467+0.0029325i,0.0013774-0.0099523i,-0.036126-0.053726i,-0.11886-0.1024i,-0.17448-0.10008i,-0.14605-0.051936i,-0.076261-0.017489i,-0.03929-0.0078991i,-0.027242+0.00041832i,-0.0086798+0.0063461i,0.0062541+0.0029409i,0.0092031-0.0032483i,0.0049476-0.0048829i,0.0011277-0.0012179i,-0.00012191+0.0021482i,-0.0025406+0.0021292i,-0.0032451-0.0016413i,-0.001974-0.0055062i,-0.0007432-0.0037866i,0.00064049-0.0012712i
0.0026203+0.0023946i,0.005572+0.0023632i,0.0095802-0.0065611i,0.0021451-0.025801i,-0.022645-0.045388i,-0.070588-0.036692i,-0.12322+0.027429i,-0.12323+0.10542i,-0.064266+0.11901i,-0.018635+0.071202i,-0.004819+0.034991i,0.0048357+0.020141i,0.0059957+0.0064216i,-0.00064913+0.00040719i,-0.0036415-7.2e-05i,-0.0064131-0.00064575i,-0.0073374-0.000172i,-0.0048254-0.0014635i,-0.0034153-0.0036646i,-0.0043276-0.0022128i,-0.004756+0.0014373i,-0.0036925+0.0032074i,-0.0014456+0.00078599i
0.00052353+0.00055665i,-0.0011573+0.00040062i,-0.0035134+0.0074816i,-0.0059777+0.015034i,-0.008377+0.031689i,0.0073964+0.084996i,0.062698+0.15315i,0.13055+0.15878i,0.13293+0.090126i,0.073469+0.034432i,0.032277+0.021497i,0.02147+0.009776i,0.0075433-0.0060235i,-0.0078513-0.010384i,-0.012018-0.0065719i,-0.008565-0.0020596i,-0.0033929+4.7214e-05i,0.00096035+0.0015214i,0.0020477+0.0063338i,1.3035e-05+0.011147i,-0.0012781+0.011237i,0.00038256+0.0075383i,0.00045697+0.003197i
0.00042621-0.0029889i,-0.0012238-3.2763e-05i,-0.0069056-0.00047691i,-0.017964+0.0095409i,-0.02085+0.034444i,0.012534+0.043832i,0.084535+0.00076547i,0.11838-0.082467i,0.078707-0.11616i,0.03256-0.073982i,0.017804-0.036079i,0.0046291-0.027173i,-0.0075593-0.012809i,-0.0039179+0.0015568i,0.0023551+0.0046401i,0.004878+0.0063662i,0.006245+0.0057876i,0.0039575+0.0035606i,0.00027925+0.0033466i,6.1879e-06+0.0029163i,0.0017757+0.0030791i,0.0025797+0.0031175i,0.0016897+0.0029093i
0.0023883+0.00018841i,0.0046135-0.0044094i,0.013057+0.00065314i,0.025606+0.0075188i,0.039532-0.0060687i,0.052592-0.062691i,0.023591-0.14666i,-0.054325-0.1687i,-0.093639-0.10531i,-0.055044-0.041105i,-0.018263-0.023568i,-0.017523-0.012617i,-0.015391+0.0071229i,-0.0051576+0.013398i,-0.0006565+0.0084438i,-0.00082135+0.0012063i,-0.0032351-0.002728i,-0.0015658-0.0028961i,0.0053605-0.0043111i,0.010302-0.0066936i,0.009716-0.0086875i,0.0051927-0.0089394i,0.0023079-0.005873i
-0.0024783-0.00071019i,-0.0014959+0.0054132i,-0.00010274+0.0032075i,0.013135-0.0043534i,0.039613-0.010764i,0.019364-0.015495i,-0.058193+0.0039105i,-0.11138+0.059273i,-0.089836+0.093781i,-0.044106+0.060416i,-0.029244+0.024537i,-0.019521+0.021283i,-0.0023099+0.013167i,0.00076097-0.0019943i,-0.003055-0.0084024i,-0.0045864-0.0099547i,-0.0031442-0.0099097i,-0.001112-0.0086644i,-0.00080343-0.0063176i,0.00017355-0.0045086i,0.0012303-0.0038172i,0.00057391-0.0031783i,-0.0019182-0.0024938i
0.00039078+0.00026892i,-0.0030616-0.0077664i,-0.001665-0.011238i,-0.0029298-0.018844i,-0.032595-0.031472i,-0.0703-0.010609i,-0.073782+0.055665i,-0.0106+0.10783i,0.054935+0.084505i,0.042236+0.032272i,0.0094534+0.015873i,0.010526+0.011644i,0.013365-0.0013855i,0.0054774-0.0052059i,-0.0009914+0.0010015i,-0.0029897+0.0088127i,-0.0037205+0.010866i,-0.0040887+0.0056142i,-0.0053738-0.0013376i,-0.0090191-0.0036534i,-0.012661+0.00023087i,-0.012801+0.0037635i,-0.0091467+0.0027006i
0.00080664+0.0017783i,0.0039835+0.0079377i,-0.0032254+0.0051644i,-0.02437-0.0023949i,-0.035576-0.0053719i,-0.017271-0.00011564i,0.041513+0.0046526i,0.09689-0.031386i,0.086178-0.06873i,0.039235-0.044201i,0.020014-0.0069396i,0.015233-0.0040364i,0.00037173-0.0042467i,-0.0083871+0.0061337i,-0.0058016+0.010539i,-0.0042376+0.0088067i,-0.0058312+0.0085651i,-0.0087785+0.0089375i,-0.0084837+0.008836i,-0.0043543+0.0075185i,-0.0023103+0.0049801i,-0.0022524+0.0038835i,-0.0013808+0.0057998i
0.0001894-0.0057204i,-0.0049365-0.0079573i,-0.0097733+0.0054461i,-0.0093662+0.029821i,-0.011101+0.05449i,0.012417+0.069622i,0.03842+0.033543i,0.0023527-0.029879i,-0.051594-0.044297i,-0.043411-0.012064i,-0.010775+0.00044479i,-0.0095821-0.0074477i,-0.015819-0.0049597i,-0.0059497-0.0011918i,0.0066148-0.0024529i,0.013712-0.005895i,0.014839-0.0075332i,0.011483-0.0027181i,0.0065041+0.0017274i,0.0042801+0.0047241i,0.0067172+0.0074452i,0.0073247+0.0068609i,0.0040464+0.0058708i
0.0030496-0.0028502i,0.0066296+0.00091305i,0.010108-0.0055713i,0.015967-0.00013643i,0.037255+0.024444i,0.034929+0.013257i,-0.0090331-0.013811i,-0.055045+0.013555i,-0.054774+0.056681i,-0.018009+0.04257i,-0.0018753+0.0081608i,-0.003845+0.006167i,0.0031145+0.012252i,0.0084625+0.0048918i,0.0061054-0.0036161i,0.0012131-0.00623i,0.001081-0.0028663i,0.0086469+0.0015286i,0.015761+0.0026435i,0.014456+0.00076853i,0.0077069+0.00040854i,0.0050251-7.4442e-05i,0.0074754-0.0040523i
0.0048358-0.0027417i,0.0066176-0.0098941i,0.020047-0.006485i,0.049258-0.0094531i,0.069383-0.04048i,0.069627-0.06105i,0.054367-0.047558i,0.058012-0.00882i,0.07786+0.013769i,0.05953-0.0011116i,0.017801-0.0072326i,0.0004589+0.0050388i,-0.0026047+0.007905i,-0.0087602+0.0030975i,-0.015699-0.0023185i,-0.021152-0.0055432i,-0.019819-0.0086147i,-0.013327-0.012847i,-0.0084578-0.013465i,-0.006709-0.0098399i,-0.007318-0.007142i,-0.0069427-0.0056876i,-0.0029468-0.0028288i
-0.00021233-0.00079321i,-0.00036324+0.0098576i,-0.012769+0.0013914i,-0.040867-0.020002i,-0.056524-0.03473i,-0.055716-0.036457i,-0.037746-0.022769i,0.0045494-0.037441i,0.025713-0.072243i,0.0029326-0.05946i,-0.008946-0.020687i,9.4573e-05-0.0086655i,-0.00076813-0.0089994i,-0.0066434-0.00083242i,-0.0061578+0.0078066i,-0.0016585+0.010539i,-0.00028365+0.0066416i,-0.0052853-0.0047374i,-0.011697-0.014096i,-0.012686-0.0143i,-0.0086496-0.009465i,-0.0063506-0.0052866i,-0.0093583-0.0039475i
0.0021464-0.00046906i,-0.0085085-0.014535i,-0.025164-0.024066i,-0.043301-0.035515i,-0.075398-0.047957i,-0.10549-0.02926i,-0.10931-0.0067749i,-0.10957-0.011134i,-0.10837-0.013943i,-0.072933+0.0040471i,-0.024447+0.012999i,-0.0012668+0.0062399i,0.0060501+0.0062604i,0.01267+0.009342i,0.012574+0.009154i,0.0072773+0.01128i,0.00087433+0.015351i,-0.0069677+0.021188i,-0.0088586+0.023513i,-0.0041175+0.01864i,0.00095892+0.013359i,0.0051179+0.0087808i,0.0063885+0.0030607i
0.0033222+0.0032325i,0.022988+0.011672i,0.052748+0.018564i,0.06619+0.05487i,0.056301+0.1189i,0.048661+0.1302i,0.044895+0.0971i,0.010127+0.086636i,-0.019592+0.094412i,-0.0077442+0.07277i,0.0037376+0.029285i,-0.0034459+0.0073933i,-0.0030474+0.0030761i,0.0038531-0.0036586i,0.0082392-0.008005i,0.010345-0.010066i,0.0095196-0.0088159i,0.009025+0.00094765i,0.0067402+0.012929i,0.0019137+0.016237i,-0.00064875+0.010515i,-0.0014899+0.0062321i,-0.0016911+0.0082915i
-0.00081586+6.9903e-05i,-0.013114+0.011075i,-0.035128+0.056416i,-0.04365+0.099487i,-0.010507+0.09274i,0.045888+0.074402i,0.082013+0.054744i,0.10776+0.033638i,0.11651+0.015013i,0.082637-0.0074174i,0.034313-0.018329i,0.011505-0.018359i,0.00047971-0.021051i,-0.011431-0.019324i,-0.014239-0.01444i,-0.010732-0.0085936i,-0.00022707-0.0025996i,0.017101-0.0046956i,0.027677-0.011929i,0.023777-0.015449i,0.010435-0.0148i,-0.00082315-0.012147i,-0.0025954-0.008556i
-0.010546-0.0042613i,-0.015364-0.024335i,-0.015527-0.1004i,0.016741-0.19664i,0.075713-0.22561i,0.084868-0.19921i,0.041416-0.16016i,0.014073-0.12163i,0.01633-0.09087i,0.0092585-0.058377i,-0.0043713-0.022457i,-0.010817-0.004941i,-0.018335-0.0025156i,-0.021543-0.0001629i,-0.01754+0.00054418i,-0.015371-0.0029535i,-0.018272-0.0094577i,-0.017861-0.017041i,-0.010437-0.020754i,-0.0031532-0.01642i,-0.00033843-0.0066696i,0.00036836+0.00021143i,0.0013498+0.0010598i
0.0051902-0.0056865i,0.034375-0.0052741i,0.096418+0.031085i,0.13724+0.075389i,0.08041+0.056441i,-0.010737-0.0014125i,-0.064525-0.024663i,-0.093374-0.016788i,-0.10608-0.0065175i,-0.082362+0.0078494i,-0.044141+0.013932i,-0.02496+0.012272i,-0.011689+0.018764i,0.0016671+0.025919i,0.0075981+0.02317i,0.0091616+0.015612i,0.0046335+0.0074641i,-0.011236+0.00025077i,-0.028073-0.004042i,-0.029194-0.0026618i,-0.017096+0.002814i,-0.0066293+0.0063852i,-0.0033459+0.0053216i
-0.0023744+0.0071582i,-0.037834+0.044131i,-0.14279+0.081676i,-0.29045+0.095526i,-0.35013+0.085971i,-0.2796+0.088596i,-0.15495+0.11046i,-0.051513+0.1113i,0.0015125+0.083686i,0.014617+0.046776i,0.013299+0.023061i,0.0085364+0.01997i,0.0038627+0.022479i,0.0029448+0.016675i,0.0012344+0.008487i,-0.0026182+0.010236i,-0.0023095+0.019238i,0.0011289+0.029476i,0.0021264+0.034726i,0.002878+0.028326i,0.0043712+0.01768i,0.0062637+0.01039i,0.0060295+0.0049983i
-0.0055194-0.019172i,-0.011398-0.079271i,0.012623-0.17156i,0.087163-0.21993i,0.1477-0.13954i,0.15063-0.009364i,0.13611+0.023486i,0.13179-0.0088299i,0.11846-0.027751i,0.078163-0.028404i,0.03258-0.017194i,0.013539-0.0058116i,0.0086607-0.012361i,0.0023511-0.022343i,0.0019894-0.02284i,0.003333-0.021489i,0.0035943-0.016281i,0.011349-0.0029655i,0.01973+0.0099349i,0.0142+0.011483i,0.0028571+0.0024229i,-0.0034802-0.0043862i,-0.0049446+0.00028856i
0.014989+0.0074656i,0.078063+0.05789i,0.18605+0.16178i,0.27902+0.28887i,0.29989+0.31603i,0.25444+0.18932i,0.16773+0.030544i,0.060218-0.065945i,-0.022723-0.084492i,-0.044266-0.047866i,-0.023745-0.014925i,-0.0022987-0.0097976i,0.0062167-0.0064089i,0.0059722+0.0032401i,0.001989+0.0082824i,0.0021933+0.0070502i,0.0075593-0.0020939i,0.012873-0.021207i,0.016189-0.036683i,0.015879-0.036107i,0.0099762-0.026847i,0.0036126-0.01754i,0.0022203-0.011836i
-0.016852+0.011027i,-0.096939+0.018009i,-0.24626+0.019679i,-0.36874-0.044883i,-0.33794-0.171i,-0.21451-0.22238i,-0.16299-0.15583i,-0.17458-0.048065i,-0.15234+0.024939i,-0.08752+0.04553i,-0.029086+0.034308i,-0.0076534+0.017958i,-0.0080343+0.016969i,-0.0058777+0.020803i,-0.0062617+0.014058i,-0.011723+0.0050164i,-0.015374+0.00033188i,-0.018521-0.0019635i,-0.01659-0.0022914i,-0.0086988+0.0017777i,-0.00194+0.012099i,0.0032991+0.017694i,0.0082409+0.011673i
0.0061455-0.019476i,0.051289-0.093983i,0.13768-0.26247i,0.20484-0.42039i,0.15668-0.40731i,0.012236-0.26946i,-0.067157-0.11651i,-0.028868+0.0076373i,0.037926+0.065474i,0.059374+0.046146i,0.036187+0.0064071i,0.010615-0.0098495i,0.0039446-0.020367i,0.0047485-0.029493i,0.0068642-0.024408i,0.00535-0.013791i,-0.001383-0.0017609i,-0.0087369+0.010358i,-0.020096+0.014237i,-0.029206+0.011698i,-0.025305+0.0076215i,-0.016482+0.0058699i,-0.012814+0.0053165i
0.0088857+0.024947i,0.03448+0.10605i,0.081655+0.30262i,0.090049+0.50967i,0.0075599+0.54127i,-0.050282+0.42704i,0.012027+0.28633i,0.1123+0.14449i,0.13664+0.026463i,0.090126-0.028038i,0.036363-0.035138i,0.0069787-0.028896i,-0.0014088-0.023904i,-0.0044672-0.018941i,-0.0071948-0.012243i,-0.0066979-0.0054272i,0.00035228-0.0031649i,0.011254-0.0028109i,0.019341-0.0017766i,0.022998-0.0063186i,0.020837-0.014784i,0.014721-0.019584i,0.0059256-0.018032i
-0.025951-0.01027i,-0.10865-0.028423i,-0.29746-0.074832i,-0.45929-0.085446i,-0.3772+0.0031458i,-0.14581+0.095632i,-0.023091+0.082143i,-0.044227+0.0061374i,-0.078778-0.041247i,-0.074666-0.035129i,-0.053079-0.0065169i,-0.036446+0.0085094i,-0.039367+0.016748i,-0.045009+0.024001i,-0.035406+0.020313i,-0.017925+0.011235i,-0.0059527-0.0011139i,0.0001628-0.013678i,0.005179-0.013448i,0.0061377-0.0034862i,0.0049954+0.0046151i,0.0054073+0.0069248i,0.0076326+0.0054817i
0.015615-0.011394i,0.086309-0.065297i,0.26212-0.17141i,0.46485-0.2824i,0.50866-0.31542i,0.38688-0.27322i,0.2138-0.22039i,0.05946-0.14293i,-0.030736-0.037625i,-0.039073+0.028017i,-0.017076+0.04012i,-0.0050024+0.039821i,0.0042843+0.039373i,0.011899+0.034191i,0.011665+0.023713i,0.0032098+0.012427i,-0.010576+0.0083535i,-0.024364+0.0026199i,-0.031843-0.0072011i,-0.03176-0.0097826i,-0.028254-0.0042287i,-0.023079+0.0022501i,-0.017669+0.0054407i
-0.0097213+0.0088473i,0.00067317+0.093007i,0.019858+0.26473i,0.055424+0.39003i,0.089829+0.27918i,0.07317+0.045261i,0.053398-0.02899i,0.092598+0.028647i,0.13158+0.042033i,0.10393+0.01245i,0.052862-0.00062343i,0.028582+0.0019163i,0.032177+0.0042425i,0.041238+0.0024441i,0.036691-0.00093792i,0.02335-0.0033337i,0.012078+0.0022974i,0.004487+0.020717i,0.0023488+0.034544i,0.0036717+0.029175i,0.0033414+0.015432i,0.0010564+0.0042858i,-0.00017523-0.0041225i
0.0089799-0.00065876i,-0.062709-0.042939i,-0.23452-0.14043i,-0.43705-0.22031i,-0.52575-0.16924i,-0.45524-0.038245i,-0.31882+0.022545i,-0.17764-0.0039848i,-0.063127-0.054356i,-0.012481-0.075108i,-0.0035997-0.063323i,0.0017533-0.055555i,-0.0032829-0.059049i,-0.015241-0.055358i,-0.018867-0.036932i,-0.012633-0.011988i,0.0018819+0.0042935i,0.017897+0.0077398i,0.022038+0.007837i,0.015041+0.0095781i,0.0093963+0.0089205i,0.0066357+0.0067353i,0.0034107+0.0085993i
-0.017176-0.0060835i,0.0371-0.045866i,0.17149-0.13842i,0.25735-0.2208i,0.1704-0.19141i,0.023324-0.07179i,-0.02804-0.024063i,-0.06914-0.074022i,-0.14389-0.074045i,-0.14159-0.0090786i,-0.078783+0.026854i,-0.039957+0.027699i,-0.030775+0.019564i,-0.033623+0.0068939i,-0.033777-0.0012758i,-0.028207-0.005877i,-0.018935-0.014666i,-0.0037658-0.029411i,0.011436-0.038529i,0.018618-0.030663i,0.015691-0.016276i,0.0091387-0.005584i,0.0020071-2.1945e-05i
0.041594-0.0094739i,0.059713+0.058627i,0.063302+0.24303i,0.11675+0.43229i,0.24371+0.44665i,0.32961+0.30837i,0.27036+0.19872i,0.14778+0.17867i,0.064811+0.16918i,0.024229+0.1291i,0.00049585+0.081983i,-0.023133+0.054156i,-0.036433+0.056753i,-0.026627+0.068263i,-0.0019413+0.056275i,0.020303+0.029877i,0.021371+0.012492i,0.0010234+0.0080296i,-0.016228+0.010065i,-0.014603+0.0071198i,-0.0083+0.0011043i,-0.0038441+0.00071329i,0.0064187+0.0027878i
-0.045976+0.051439i,-0.12724+0.0504i,-0.25328-0.014797i,-0.34371-0.050988i,-0.29591-0.004855i,-0.15936+0.016672i,-0.06781+0.0030516i,1.4584e-05+0.035989i,0.10536+0.065798i,0.15158+0.027464i,0.11134-0.012978i,0.075884-0.02057i,0.064059-0.019577i,0.052605-0.011793i,0.0376-0.0014715i,0.017873+0.0075042i,0.0022671+0.019097i,-0.00061783+0.02823i,-0.00098144+0.024041i,-0.0070814+0.0077772i,-0.011511-0.0059784i,-0.0080479-0.009638i,-0.002603-0.0073328i
0.013356-0.088566i,0.079886-0.17653i,0.20183-0.25863i,0.26317-0.35898i,0.16234-0.44269i,0.012858-0.4035i,-0.023557-0.29051i,0.0091553-0.22869i,0.0053566-0.20232i,-0.00857-0.14443i,-0.0013501-0.077709i,0.015866-0.03179i,0.037993-0.017692i,0.045241-0.035336i,0.021427-0.054752i,-0.008459-0.060429i,-0.014294-0.056003i,0.0015103-0.044497i,0.018033-0.028583i,0.018934-0.01389i,0.0083295-0.0035653i,0.0021335-0.0011787i,-0.00076272-0.0090016i
