-0.00022369+0.0020454i,0.00061002+0.00086312i,-0.00032542-0.00063119i,-0.0010058-0.00077186i,-0.0012375+0.00012188i,-0.00095931+0.00082544i,-0.00073094+0.00082131i,-0.00047715+0.00066159i,0.00055199+0.0011882i,0.0017621+0.0010843i,0.0017002-0.00058905i,0.00091447-0.00071779i,-0.00023997-0.00024394i,-0.00019225-0.0005474i,-6.9968e-06+0.00013855i,-0.00039013+0.00069915i,0.0001603-2.9334e-05i,0.00011262-0.00011062i,-0.00068764-0.00057611i,-0.00087714-0.001386i,-0.00044969-0.00062446i,0.00047315+0.00014101i,0.00075177+0.00032621i
0.0008916+0.00074353i,0.00043954-5.6826e-05i,5.9809e-05-0.00069425i,0.00029903-0.00036915i,0.00091492-0.00018349i,0.0011919-0.00043859i,0.0010004-0.00021354i,1.9263e-05+1.5523e-05i,1.4193e-05+0.00046514i,0.00042294+0.00057257i,0.00020387+0.00038471i,-3.0029e-05+0.00015044i,0.00014758+0.00011504i,0.00034863-0.00054739i,-3.749e-05-0.001303i,-8.9571e-05-0.00071103i,0.00044135+2.0979e-05i,0.00022434+0.00026705i,-0.00016267+0.00056694i,-0.00055563+0.0013249i,-0.00010303+0.00094538i,0.00028593+0.00038225i,0.00010623+0.00011727i
-0.0004354+0.0016571i,-0.00047355+0.000823i,0.00029346+0.00061033i,0.00015982-6.5494e-05i,0.00074676-0.00011426i,0.0013635-0.00027225i,0.00054176-0.0010106i,-0.00054292-0.0010624i,-0.00023455-0.00074929i,0.00073442-0.00029623i,0.00037273+0.00042152i,-8.6596e-05-3.045e-05i,-0.00017916-0.0006531i,-6.179e-05-0.00093116i,0.00010312+2.5844e-05i,-0.00014373+0.0005401i,9.0564e-06-0.00017755i,8.9655e-06-0.00025716i,-0.00045859+0.00044453i,-0.0006769+0.0012375i,-0.00070365+0.0011783i,0.00021205+0.00050027i,0.00038002+0.00043603i
0.0012048+0.00030855i,0.00021812-0.00082426i,0.00070481-0.0013736i,0.001095-0.0011472i,0.00064177-0.00082549i,6.1835e-05-0.00097215i,-0.00092101-0.00027544i,-0.0010121+9.83e-06i,-0.00044377-0.00029559i,0.00021317-0.00025145i,0.00027527-0.00037698i,-7.7627e-05-0.00076401i,0.00014575-0.00070095i,0.00013644-0.00050442i,0.00035534-0.00052353i,0.00031544-0.00032723i,-0.00036727+0.00049209i,-0.001045+0.0005498i,-0.00093673-0.00017955i,-3.1695e-05-0.00063775i,0.00026582-0.00026402i,0.00041125+0.00027264i,8.8049e-05-4.6708e-06i
-0.00042309-0.00066385i,-0.0005066-0.00017958i,-0.0012836+7.8624e-05i,-0.00078133+4.9392e-05i,-8.5875e-05+0.00042786i,0.00051585+0.00096581i,0.00068201+0.00052178i,0.00037078-0.00022063i,-0.00046875+0.00041257i,0.00019981+0.00080888i,0.001372+0.00072111i,0.00016039+0.00028335i,-0.00040439+0.00016359i,-0.00015347-2.9339e-05i,-0.00032325-0.00061428i,-0.00021343-0.00068862i,-0.00028947-0.00027553i,-0.00023891-0.00042448i,7.3806e-05-0.00042879i,0.00055974+4.3857e-05i,0.0010404+0.00043854i,0.0011305+0.00027069i,0.0010669+0.00041098i
0.0027612+0.00050852i,0.0011172+0.00087754i,0.000638-0.00045608i,-0.0014532-0.0013474i,-0.0026577-0.0013772i,-0.0019143-0.0011218i,-0.00091173-0.00088412i,-0.0002247-0.00065047i,0.000801-5.5324e-05i,0.00099392-0.0001692i,-0.00022442-0.00039279i,-0.00070131+7.5427e-05i,-0.0004301+0.00044749i,-0.00010347+0.00024272i,-0.00024927-0.00018026i,0.00017352-9.8699e-05i,0.00055395+0.00019425i,-0.00040147+0.00066782i,-0.00039672+0.00044856i,0.00014325+0.00018223i,-2.2045e-05+0.00037416i,3.676e-05+0.00030334i,-0.00041247+0.00014615i
0.0013686-0.0011168i,0.00054535-0.0010266i,-0.00022759-0.0010831i,-0.0007229-0.0013495i,-0.00088191-0.00029228i,-0.00061254-0.00022601i,-8.6632e-05-0.00070711i,0.00026438-0.00079253i,-5.7641e-05-0.0011548i,-0.00038378-0.00069326i,-0.00046616+0.00012644i,-0.0004742-2.1288e-05i,-0.00017282-0.00023965i,-8.5621e-05-0.00033802i,-0.00048986-0.00016473i,-0.00032816+0.00020114i,-0.00045619-0.00024376i,-0.00064573-0.00081428i,-0.00019476-0.00082804i,-0.0001415-0.00054957i,0.00010978-0.00037527i,-4.4326e-05-0.00014055i,-0.00031932-0.00044832i
-0.00024379-0.0011731i,0.00021041-0.00026368i,-0.00022296+0.00013275i,-0.0014024+0.00089794i,-0.0014901+0.00089085i,-0.00013393+0.00014974i,0.00047443-0.00036964i,-3.6358e-05-0.0001453i,0.00028379-0.00015951i,0.00011286-0.0016674i,-8.9463e-05-0.0015162i,0.00054805+0.00011561i,0.00024624+0.00034329i,-0.00018876+8.5378e-05i,-0.00052362-0.00013213i,-0.00078787-0.0008127i,-0.00058546-0.00076984i,-0.00059041-0.00078105i,-8.0798e-05-0.00135i,-0.00027856-0.0005128i,-0.00022601+0.00046171i,-0.00010225+3.3749e-07i,-0.00066625-0.00023726i
0.0014864-0.00226i,0.00030521-0.0022245i,-0.0015277-0.0016882i,-0.0025496-0.0011605i,-0.0022575-2.1804e-05i,-0.001348+0.00086577i,-0.0007428+0.0006191i,0.00014269+4.9818e-05i,0.00047052-0.00013532i,0.00032263-0.00042446i,0.00019254+8.4446e-05i,-0.00024885+0.00056783i,-0.00029439+0.00030324i,-0.00013371-0.00018663i,-4.0102e-05-0.00039624i,0.00055135-0.00014623i,0.0011472+0.00014314i,0.00087343+0.00014264i,9.1388e-05-0.00013801i,4.9479e-05+6.6741e-05i,0.00015867+0.00015778i,-3.8293e-05+0.00024114i,-0.00024934+0.00081854i
-0.00026962-0.0026402i,-0.00040757-0.0017908i,0.00014427-6.9466e-05i,-0.00027578+0.0011735i,-0.001316+0.0012247i,-0.0015081+0.00043698i,-0.00091801+0.00024641i,-0.00041146+0.00010223i,1.2648e-05+0.0001117i,-0.00016972+0.00050349i,2.7997e-05+0.00097516i,0.00082287+0.00081367i,0.0013006+0.00081284i,0.00082893+0.00040976i,3.4291e-05-0.00047633i,4.9948e-05-0.00058713i,0.00061935-0.00022221i,0.00063532-0.00039108i,0.00043533-2.0007e-05i,0.00050236+0.00047182i,-0.00024117+3.2773e-05i,-0.00040354+6.4441e-05i,0.0004185+0.00070415i
-0.00080629+5.38e-05i,-0.0012779+0.00027406i,-0.0016546+0.00092792i,-0.0017652+0.0019666i,-0.0011767+0.0021555i,-0.00027795+0.0011989i,-4.3104e-05+6.9611e-05i,-0.00060951-0.00031924i,-0.000516-6.1573e-05i,0.0002908+0.00057675i,0.00021459+0.00040547i,-0.0001043-0.00028081i,-6.8846e-05-0.0001744i,0.00025008-6.4482e-05i,0.0009928-0.00027962i,0.00093839+6.8765e-05i,0.0009848+0.00032149i,0.00092235+0.00015093i,0.00057203-0.00027772i,0.00018659-0.00088437i,-0.00010268-0.00058237i,0.00049715-0.00016127i,0.00060948+0.00039164i
6.7388e-05-0.0010065i,-0.00039941-0.00054294i,-0.00015934-0.0017193i,0.00019134-0.00153i,-0.0001777-0.00054067i,7.2336e-05-0.00051328i,0.00051871-0.0013099i,0.00022708-0.0010337i,-0.00017227-8.5992e-05i,0.00042423-8.4696e-05i,0.00041216-0.00039702i,-0.00026192-0.00093505i,-0.00024592-0.00074182i,-0.00020431-0.00034888i,0.00058232+8.4688e-05i,0.00054066+0.00022566i,-0.00056729+0.0002427i,-0.00059083+2.5709e-05i,-8.1157e-05-7.0535e-05i,-0.0004004-0.00042944i,-0.00061342-0.00093104i,-0.0005194-0.0011567i,-0.00049163-0.00075652i
-0.0004764+0.002335i,-0.00076698+0.0019901i,-0.00036558+0.0017614i,0.00013146+0.0017129i,0.0001775+0.001114i,-0.00041664-0.00020081i,-9.2264e-05-0.00077994i,-0.00050546-0.00061855i,-0.00096353-4.2475e-05i,-9.5711e-05+0.00046505i,0.000798+0.00048416i,0.0013674+5.9444e-05i,0.00095398-0.00055403i,8.3538e-05-0.00049025i,0.00059229+0.00018586i,0.00070389+0.00023337i,-0.00027807-0.00044341i,-0.00031574-0.00092847i,0.00042438-0.00099849i,0.00083386-0.0004416i,0.00060622+0.00033884i,-0.00035191+7.4979e-05i,-0.00050128-0.00064798i
0.00026394-0.0016453i,-1.2724e-05-0.0010078i,-0.00050177-0.00040942i,-0.00084854+0.00056336i,-0.0016879+0.0012007i,-0.0011245+0.000272i,0.00074667-0.00096463i,0.00054724-0.00060822i,-0.00056213+0.0005655i,-0.00051183+0.00036011i,-0.00072091-0.00023903i,-0.00087842-0.00010328i,-0.00039054+6.1472e-05i,0.0004863-0.00019548i,0.0010321-2.2302e-05i,0.00067755+0.00032165i,-0.0004992-0.00083217i,-0.00096455-0.0012029i,-0.00023164+0.00016097i,0.00041662+0.00071229i,0.00011753+0.0005832i,-5.3624e-05+0.0001378i,-7.6475e-05-0.00018484i
0.0016223+0.00075846i,0.00038014+3.1617e-05i,-0.00018855-0.00077233i,-1.6217e-05-0.00032266i,0.00010113+0.00026068i,-0.00018013-0.00022415i,-0.00014705-0.00095607i,0.00028126-0.00066192i,0.00044826+2.5828e-06i,1.7945e-05+0.00032252i,2.6935e-05+0.00022766i,0.0006534-0.00010535i,0.00074115+0.00015916i,0.00035738+9.0018e-05i,-0.00023459+0.00026626i,-0.00042456+0.00018953i,-0.00017054-0.00029435i,-7.3156e-05-0.00010814i,-0.00029543+0.00042642i,-0.00036107-0.00010369i,-0.00025821-0.00093931i,-0.0002946-0.00076079i,-0.00035509+0.00035069i
-0.00017799-0.0013677i,-0.0010249+0.00045438i,-0.0024335+0.0010505i,-0.0028534+0.0011429i,-0.0027831+0.0013061i,-0.00251+2.5843e-05i,-0.0017266-0.00095491i,-0.00055841-0.00076641i,-0.00034313-0.00041355i,-0.00070247-0.0002288i,-0.00046544-0.00073133i,9.1031e-05-0.00071813i,2.9392e-05-8.8932e-05i,-0.00039342+0.00026313i,-0.00023371+0.00037556i,-7.5524e-05+0.00017203i,-0.00028731+0.00046891i,8.2718e-05+0.0014308i,6.283e-05+0.0014189i,0.00034331+0.00031557i,0.00095443+1.2356e-05i,0.00053836+0.00056003i,-0.00021246+0.00058402i
-0.0020741-0.00037829i,-0.0019518-4.469e-05i,-0.00095468+0.00046602i,0.00012477+0.0016527i,0.00074838+0.0019984i,0.0016337+0.0014577i,0.0014727+0.00082722i,0.00053503+0.00060742i,-0.00054498+0.00077015i,-0.00080939+0.00072041i,-8.8815e-05+0.00080829i,0.00057248+0.00021444i,0.0004795-0.00042797i,0.00025993-0.00024872i,-0.00014581+0.000397i,-0.00032066+0.00061513i,0.00063521+0.00021681i,0.0010547-0.00025885i,0.0003876-0.0002235i,0.00013108-0.00038323i,0.00037168-0.0011748i,0.00064103-0.0010438i,0.00045176-0.00026919i
-0.0018292-0.00018635i,-0.0018694+6.7755e-05i,-0.0015417+0.00077668i,-0.0012679+0.0010209i,-0.00089384+0.00051129i,0.00024973+0.00038708i,0.00066172-8.9059e-05i,0.00017428-8.9687e-05i,-0.0003054+0.00033893i,-8.8532e-05+0.00062947i,0.00030023+9.2367e-06i,9.9003e-05-0.00098906i,-9.7005e-05-0.0014239i,0.00014312-0.00060908i,0.00023015+0.00012838i,-2.6303e-05+6.649e-05i,0.00014755+1.9822e-05i,0.00061152-0.00015169i,0.0011053-0.0004891i,0.00068033-0.00074843i,0.00048952-2.855e-05i,9.5914e-05+0.0010744i,-0.00057866+0.00035309i
-0.00056806+0.00042516i,-0.00060748+0.00017765i,-0.00082222+0.00097741i,-0.0014966+0.0010418i,-0.0010856+0.0006479i,-0.00017942+0.00075348i,-0.00036565+0.00059689i,-0.00039696+1.8713e-05i,-0.00019145-0.00030001i,0.00012416-0.0004487i,0.00073478-0.00059515i,0.00070828-0.00022578i,0.00064489+0.00019802i,0.0005533+0.00031708i,0.00026405+0.00041952i,0.00011527+5.1214e-05i,0.0005894+0.00044789i,0.00032871+0.0002508i,0.00010979+0.00014614i,0.00034687+0.00019231i,0.00085597-0.00029851i,0.00095839+0.00033153i,0.00048497+0.00085543i
0.00023053+0.000464i,0.00070743+0.0011404i,0.00070791-0.00010263i,0.00042618-0.0017227i,0.00048291-0.0019137i,0.00095749-0.0010469i,0.00090677-0.00075213i,0.0004822-0.00068287i,0.00020262-0.00029186i,-1.8683e-05-0.00023736i,0.00017956-0.00071071i,0.00032892-0.00039322i,0.0010538+2.0759e-05i,0.00088122+0.00035087i,-6.9257e-05+0.00039027i,0.00027629+0.00019268i,0.0002748-0.00012776i,-0.00050312-0.00035916i,-0.00063633+0.00039801i,-0.00029789+0.00040041i,0.00045368-0.00012118i,0.00053176-0.00040456i,7.3202e-07-0.00037339i
0.00064005+0.00093192i,0.00054794+0.0011696i,0.00038012+0.0010294i,0.00012718-4.0243e-05i,-0.00044658-0.00076755i,-0.00029797-0.00064671i,0.00049838-0.00072723i,0.00081467-0.00060325i,0.00097744+0.00056018i,0.00084044+0.00082298i,3.4863e-05+0.00050694i,-0.00054142+0.00029997i,-0.0006118-0.00021177i,0.00016296-0.00029119i,0.00065755-0.00045177i,0.00036724-0.00054444i,0.0001893-0.00044882i,-0.00024826+7.3219e-05i,-0.00016356+0.00064156i,-7.8017e-05+0.00066332i,0.00035398+0.0002581i,0.00039775+6.2189e-05i,0.00016791-0.00015559i
0.0015229+0.0012782i,0.0010786+0.00065619i,0.0012218-0.00071967i,0.0017941-0.0014437i,0.0016323-0.0012042i,0.00085756-0.00063935i,0.00040356-0.00028519i,0.00065896-0.00080036i,0.00066719-0.00098645i,0.00050585-0.00056641i,0.0011243-0.00021459i,0.00062667-0.00065079i,-0.00059583-0.00092328i,-0.0010272-0.00081706i,-0.0013349-0.00069795i,-0.0010829-0.00060926i,-0.00014578-0.00027144i,0.00014646+9.0094e-05i,5.9359e-05-0.00049547i,-0.00013294-0.0012882i,-0.0003594-0.00092935i,0.00011606+0.00030242i,0.0002326+0.00047788i
-0.00051224+0.0023642i,-5.5141e-05+0.0015485i,-0.00081348+0.0017584i,-0.00097315+0.0015682i,-0.00045122+0.00068578i,4.0264e-05-8.2463e-06i,0.00066267-5.2188e-05i,0.00015862-9.093e-05i,-0.00027649-0.00039078i,-0.00011405-1.189e-05i,1.2972e-05+0.00065083i,0.00048978+0.00051045i,0.0010624+0.00014919i,0.001175+0.0001002i,0.00072286-0.00027545i,0.00076551-0.0003105i,0.00096256-0.00060388i,0.00047096-0.00053348i,-7.6841e-05-0.00035051i,7.9379e-05-0.00032188i,0.00024183-3.5406e-05i,7.76e-05+0.00044737i,-0.00015994+0.00061103i
-0.0010585-0.000657i,-0.00052429-0.00043219i,-0.0013957-6.8353e-05i,-0.0018703+0.00020589i,-0.0011672+0.00052581i,-5.8171e-05+0.0007734i,0.00035968+3.1865e-05i,-0.00020765-0.00029625i,-0.00015686-0.00027428i,-7.1506e-05-0.00011454i,-0.00031337+0.00037026i,-0.00025084+0.00053959i,-0.00018434+0.00053883i,0.00029151+0.00040351i,0.00061016+1.0793e-05i,-0.00035395+0.00029093i,-0.00058319+0.00026649i,0.00028183-1.9284e-05i,0.00060207+0.00022781i,0.00024564+0.00045697i,-9.0026e-05+0.00039661i,0.00016342-0.00024375i,-5.0557e-05-0.00095782i
-0.00080387+0.0016217i,-0.00028836+0.0024384i,0.0003189+0.0028648i,0.0011994+0.001826i,0.0017967+0.0011913i,0.0018721+0.00040248i,0.001561+0.00054344i,0.00095154+0.00091949i,0.0006116+0.00044764i,0.00028719+0.00056407i,2.7696e-05+0.00033102i,-0.00019223-0.00054677i,0.00037909-0.00035476i,0.00083507-9.2339e-05i,0.00061654-0.00063036i,-2.1898e-05-0.0011701i,-0.00033706-0.00088309i,-0.00078597-0.00090369i,-0.0004904-0.0018213i,0.0013853-0.0013312i,0.0019707-0.0001015i,0.0012749-0.00028961i,0.00074543-0.00067742i
0.00040645+0.0010049i,0.00094128+0.00049593i,0.001545+0.0010204i,0.0012568+0.00079898i,0.00072664-0.0012538i,0.00084096-0.0019343i,0.0012844-0.00094443i,0.00087588-0.00053368i,-6.5091e-05+2.114e-05i,-1.6755e-05+0.00033176i,0.000624-1.4906e-05i,0.00045629-0.00055716i,-0.00025393-0.00091223i,-0.00024086-0.00081893i,-0.00048275-0.00038169i,-0.00024185-0.00050805i,-5.1525e-05-0.00064957i,-0.00052805+0.0001188i,-0.00076805+0.00033241i,-0.00051348-0.00051473i,-6.5733e-05-0.00095587i,-0.0004173-0.00081795i,-0.00071787-0.00051691i
0.0012638+0.00036818i,1.0522e-05-0.00050623i,0.00050097-0.0013808i,0.0009664-0.001738i,0.00082788-0.0018893i,0.0003936-0.0010062i,0.0002244-0.00058983i,0.00051034-0.0003881i,0.00042909+0.00014496i,0.00025021-0.00010969i,-0.00044471-0.0012594i,-0.00039487-0.0015482i,0.00046277-0.0004195i,0.00044788+0.00055107i,-9.8877e-05+0.00068588i,-0.0010614+0.00029922i,-0.0013531-0.00031163i,-0.0010941-0.00036263i,-0.00031803-0.00022149i,-7.9172e-05-0.00056087i,-0.00016545+0.00010994i,0.00059387+0.00033057i,0.00092828+0.00020517i
-0.00020815+0.0019311i,-0.00075478+0.00080881i,-6.5425e-05+0.001021i,8.9473e-05+0.00088092i,0.00033547+0.0001446i,0.0010765-0.00018523i,0.00083206-0.00042246i,0.00011526-0.00067479i,-8.0677e-05-0.00020722i,-3.3651e-05+0.00038157i,0.00023689+0.00019292i,0.00054136-0.00025586i,-9.8991e-05-0.00053278i,-0.00011951-0.001152i,0.00028324-0.0011778i,0.00047098-0.00040775i,0.00079842-0.00016683i,0.0010263-0.0004819i,0.00094711-0.00069531i,-0.00012574-0.00036686i,-0.00080615-0.00010526i,-0.00069051-0.00026785i,0.00028489-0.00043719i
0.001687-0.00018805i,0.00065187+0.00045121i,-0.00012663+0.00077628i,-0.000659+0.0010999i,-0.00057706+0.00069743i,-0.00012652-0.00013484i,-0.0004275-0.0006994i,-0.00084169-0.00114i,-0.0010852-0.00042469i,-0.00075293-0.00021366i,2.4399e-06-0.00085553i,8.1391e-05-0.00052887i,1.1236e-06+6.9793e-05i,-3.5443e-05-4.2735e-05i,-0.00011061-0.00055987i,6.8965e-05-0.000502i,0.00066429+0.00035093i,0.00048835+0.00043233i,0.00028343-0.00054967i,0.00066205-0.00056558i,-4.6204e-05-0.00016682i,-0.00044824-0.00021281i,0.00020977+0.00012405i
0.00053252+1.9438e-05i,7.9644e-05+8.7586e-05i,0.00052979-6.8094e-05i,0.00011717-0.00012219i,0.00014762-0.00023059i,0.00020851-0.00031501i,-4.7376e-06-0.00036206i,0.00026576-0.00053799i,-0.00033596-0.00032376i,-0.00032361-2.366e-05i,0.00018946+0.00029368i,-0.00026469+4.165e-05i,-0.00024304-0.00033897i,-0.00053442-0.00040624i,-0.00074522+8.0941e-05i,-0.00053158+0.0009006i,-0.00055983+0.00056966i,-0.00035324-6.1458e-07i,-0.00018141+0.00016372i,0.00057694-0.00011988i,0.00078023-0.00015719i,-0.00013255-8.3109e-05i,-0.00013143+0.00028208i
0.0019555+0.00172i,0.0013284+0.0014578i,0.0016154+0.0011633i,0.0012816+0.0004909i,0.00048406-0.00046964i,-6.7957e-05-0.0014721i,9.7118e-05-0.0016186i,0.00068471-0.00096435i,0.00049047-0.00035169i,0.00010812-0.00028063i,0.0002232-0.00044053i,0.00070832-0.00067705i,0.0006764-0.00083648i,-6.4504e-05-0.00089457i,-0.00041447-0.00044164i,-0.00017665+5.9642e-05i,-5.2143e-05+0.00024544i,-1.0928e-05+0.000748i,-0.000194+0.00093269i,-0.00044281+0.0003431i,-0.00015801-9.9243e-05i,0.00016968-0.00065967i,0.00013824-0.00056842i
