-0.0021134+0.00069986i,-0.001303+0.00012516i,-0.0002866+0.00021929i,-0.00016883-2.1596e-05i,-0.00142+0.00013718i,-0.0019512+0.00087373i,-0.0019443+0.0019005i,-0.00098676+0.0029135i,0.00072091+0.002829i,0.0013479+0.0015552i,0.0016051+0.00011803i,0.0016698-0.0010429i,0.0015401-0.00085807i,0.0012596-1.1834e-06i,0.000934+0.00060862i,0.0010459+0.00058592i,0.00068124+0.00024969i,-0.0005038+0.00025582i,5.7046e-05+0.00045304i,0.0010696+0.00020671i,4.8349e-05-0.00026676i,0.00022289+2.8271e-05i,0.00072172+0.00057422i
-0.00090178-0.00067412i,-0.0003832+6.1693e-05i,0.00060215+0.0013603i,0.0015108+0.0011309i,0.0019445+0.00058996i,0.00074503+0.0005061i,-0.00039894-0.00089086i,-0.0003236-0.0017304i,-0.00060099-0.0012964i,-0.00039618-0.00078052i,-0.0001459-0.00040082i,-0.00044264-0.00010016i,0.0001478+0.00025118i,0.00086049+3.4139e-05i,0.00090053-8.2549e-05i,0.00093431+0.00059054i,-0.00013711+0.00075505i,-0.00050864+0.00051587i,0.00084233+0.00073353i,0.0006262+0.00053632i,0.00058429-0.00031226i,0.00075782-0.00023402i,-0.00023057+0.00062345i
0.0021083-3.7688e-05i,0.0013886-0.00091012i,0.0014125-0.0017216i,0.0012672-0.0014683i,4.4516e-05-0.0013331i,-0.00062699-0.0016154i,-0.00047474-0.0007957i,-0.00086346-6.8889e-05i,-0.0012123-8.054e-05i,-0.00016827-0.00032074i,0.0011102-0.00049145i,0.0014427-0.00054803i,0.00061983-0.00054022i,0.00045972-0.00056754i,0.00074357-0.00035932i,0.00061132-3.3488e-05i,0.00048678+0.00017554i,0.00040631+0.00048926i,-0.00023798+6.2325e-05i,0.00030192-0.00026913i,0.00074595+0.00024219i,0.00049351+0.0008258i,0.00063362+0.00023527i
0.00096258-5.8984e-05i,0.0008107+0.00028698i,-0.00023614-0.00039332i,5.065e-05-0.00076375i,0.00070253-0.00089458i,-0.00051652-0.00064795i,-0.0011191-0.00042445i,-0.00052968+0.00013146i,5.5733e-05+0.00086999i,0.00024118+0.00030199i,-5.2449e-05-0.00072745i,-0.00059274-0.001305i,-0.0011997-0.0013532i,-0.00084846-0.00088002i,4.7393e-05-0.0011135i,0.00014839-0.00074099i,-7.3606e-07+0.00062357i,-0.00019556+0.00074307i,-0.00066978-0.00010006i,-0.0010273-0.00050446i,-0.00096016+0.00011805i,-0.00076085+0.00083182i,-0.00012741+0.00088012i
0.00037832+0.0011074i,-0.00043509+0.00027879i,-0.0013919-0.00045628i,-0.00090499-0.00098851i,0.00030705-0.0012558i,-0.00022275-0.00078266i,-0.0013108+7.0321e-05i,-0.0004788+0.00055212i,0.00072578+0.00060096i,0.00022331+0.00029754i,-0.00026527-6.6256e-05i,-0.00038093-0.0010164i,-0.00055018-0.0010456i,-3.436e-05-0.00084577i,0.00018856-0.00047386i,-0.00042111+0.0002439i,-0.00033895+7.2193e-05i,0.00048576+0.00013933i,9.0775e-05+0.00027346i,-0.00057073-0.00010689i,0.00013684-0.00058329i,0.0011812-0.0002025i,0.0014117-1.158e-05i
8.9237e-05-0.0012034i,0.00022998-0.0012352i,-0.00011704-0.0013959i,-0.0019157-0.00045613i,-0.0030038+0.00033386i,-0.0020445+3.7763e-05i,-0.00077368+0.0008611i,-0.00010933+0.0012247i,-0.00028965+0.00043009i,0.00015787+0.00027895i,-0.00012509+0.0013176i,-0.00080534+0.0019087i,0.00020125+0.0020404i,0.00018786+0.001223i,-0.00022749+0.00063315i,-7.0709e-05-3.0656e-05i,0.0011001-0.00054678i,0.00074812-0.00060666i,-0.00029712-0.00076711i,2.6402e-05-0.00057496i,0.00038683+7.8342e-05i,0.0004772-4.1093e-05i,0.0001688-5.5099e-05i
-0.00070145+5.8545e-05i,-0.0013479+0.00050343i,-0.00067694+0.00026885i,-0.00047081+0.00081178i,-0.0007+0.00064599i,-0.00073189+0.0007834i,-1.3734e-05+0.0011301i,0.00078683+0.00091648i,0.00069521+0.00013492i,8.2173e-05-0.00012299i,3.9619e-05+0.00060117i,0.00012528+0.00080236i,-0.00027469+0.00048075i,2.0304e-05+0.00027984i,0.00053086+0.00026372i,0.00055371+0.00013599i,7.9263e-06-0.00046493i,-0.00070743-0.00040783i,-0.00080663+0.00057541i,-0.00087598+0.0016499i,-0.00014347+0.001116i,0.001179+0.0010748i,0.0012148+0.0012031i
-0.00054538-0.0009473i,0.00020342-0.0011559i,-0.00065652-0.0011327i,-0.001015+0.00041643i,-0.0004491+0.00085173i,2.753e-05+0.00033114i,2.6796e-05+0.00031344i,0.00012666+9.1302e-05i,-9.8385e-06-0.0010208i,-0.0004282-0.0015807i,0.00030799+0.00013084i,0.0014024+0.001184i,0.0017915+0.00019231i,0.00089148-2.1503e-06i,-0.00015184-0.00043631i,0.00016787-0.0010765i,0.00021819-0.00049002i,-5.9821e-05-0.00016563i,0.00020962+0.00033052i,0.00027638+0.00049191i,0.00027361-0.00025782i,0.00011031+0.0001921i,8.5387e-05+0.00093255i
-0.0012043+0.00082135i,-0.001643+0.0007054i,-0.00067745+0.0010928i,0.00068492+0.00046813i,0.00033007-0.0001898i,-0.00034457-0.00099719i,-7.997e-05-0.0012987i,-0.0003293-0.0012347i,-0.00045162-0.0019594i,-0.00085926-0.0023829i,-0.001098-0.0017221i,0.00017837-0.00089344i,0.00064774-0.0002251i,0.00050787+0.00018394i,0.00029611-0.00012527i,0.00038448-0.00075715i,0.0010178-0.00065421i,0.00044481+0.00011045i,0.00011788+0.00013331i,0.00077383-0.00011476i,0.00082776-0.0004425i,0.00031806-0.00051046i,0.00018946-0.00027762i
-0.0010686-0.0014955i,-0.00020441-0.0012837i,0.0006751-0.0018217i,0.00030084-0.00077806i,0.00020106+0.00083058i,-0.00056708+0.0012588i,-0.0013159+0.00040303i,-0.0012868-0.0001271i,-0.0011486-0.00015959i,-0.00090611-0.00026264i,-0.00076687-0.00056018i,-0.00056306-0.00075634i,9.4308e-06-0.00054294i,0.00018186-0.00070528i,0.00034898-0.00021168i,-0.00024085+0.00045213i,-0.0003551+0.00030852i,0.0005763+5.4121e-05i,0.00098157+0.00050273i,0.00062287+0.00027683i,9.6244e-05+0.00021305i,-0.00063531+0.00055397i,-0.00040954+0.00053815i
-0.00048103-0.0013583i,-0.00069896+0.00075622i,-0.00038662+0.00088098i,0.00010066-8.7497e-05i,-0.00024459-0.0015381i,-0.00020976-0.0017097i,0.00026178-0.00014497i,-0.00013115+0.00058166i,-0.0005509+0.001073i,-0.00096512+0.0011312i,-0.0011921+0.00014347i,-0.00054212-0.00029124i,-0.00020715-0.00028507i,-0.00076622+0.00054974i,-0.00083388+0.0007023i,-5.9104e-06+0.00072637i,-1.5497e-05+0.00093616i,-0.00017624+0.00038582i,-1.848e-05+0.00023584i,0.00021104+2.2858e-05i,0.00037781-0.00033201i,-0.00012539-0.00035896i,-0.00070687-0.00031048i
0.00026244-0.00032026i,0.001045-0.00070466i,0.0011387-0.0014728i,-0.00027333-0.0023141i,-0.00074173-0.0022973i,-0.00093054-0.00081949i,-0.0014091+9.3848e-05i,-0.0011901-9.2793e-05i,-0.00013039+9.9243e-05i,1.4537e-05+0.00031131i,-0.00013709+0.00096801i,7.1538e-05+0.0015975i,0.00019637+0.00063802i,1.7717e-05+2.2093e-05i,0.00023021+0.00018741i,0.00053457+0.00025156i,9.904e-05+0.00022807i,-0.00043357-4.7114e-05i,-0.00047241+0.00012929i,-0.00021463+0.00045811i,0.00023882+1.8818e-05i,0.00011619+0.00011662i,-0.00055968+0.00040798i
0.0012614+0.00089982i,-0.00035573+0.00048236i,-0.0010027+0.0003724i,-0.00057473+0.00024242i,-0.00057702-0.00015434i,-0.0013024-0.00040264i,-0.0005812-0.00058383i,0.00066001-0.00010397i,0.0016031+6.2551e-05i,0.0010988-0.00023931i,0.00019375+6.8006e-05i,0.0001954+0.0011574i,8.3133e-05+0.0010711i,-2.5564e-05-0.00042132i,0.00056828-0.0010192i,0.00083396-0.00062369i,0.00055528-0.00027742i,0.00025185+0.00021662i,0.00037609+5.5187e-05i,0.00043236-0.00070306i,0.00075164-0.00072541i,0.00065705+0.00021442i,0.00016589+7.5074e-05i
0.001423+0.00050379i,0.0014946-5.6303e-05i,0.00050156-0.0013332i,-0.00053492-0.0015357i,-0.0005678-0.00015549i,-0.0010655+0.00034885i,-0.00094506+0.00057497i,-0.00014444+0.00024091i,0.00030808-0.00095075i,0.0005986-0.0015802i,0.0012802-0.00089728i,0.0010469+0.0001317i,0.00057843+0.00033826i,0.00044842+6.1314e-05i,5.7408e-05-0.00078496i,0.00029731-0.00091928i,5.564e-05-7.5211e-05i,7.0891e-05+0.00052326i,-1.1276e-05+0.00054987i,-0.00025979+0.0004175i,-5.0826e-05-0.00041665i,0.00029324-0.0012015i,0.00048579-0.00070727i
0.0016379-0.00075995i,0.00035786-0.00096292i,-0.00082137-0.00067391i,-0.001406-0.00028296i,-0.0020666+0.00078854i,-0.0017184+0.0012999i,-0.00092135+0.00133i,-0.00060219+0.00076638i,-0.00044148+0.00021902i,-0.00046882+0.00025055i,5.213e-05+0.00036609i,-0.00021146-7.1213e-05i,-0.00089719-0.00054991i,-0.00039936-0.00054406i,0.00054133-0.00062138i,0.00053423-0.00032736i,0.00038779+0.00015069i,-0.00016675+2.4227e-05i,0.00016679+0.00044343i,0.00072191+0.00066964i,0.00038776+4.8254e-05i,6.5968e-05+1.5334e-05i,-0.00040446-9.7304e-05i
0.0005745-0.00058757i,0.00048571-0.00054628i,0.00057887-0.0004821i,0.00098938-0.00066517i,0.0008556-0.00070665i,0.00038225-0.00057663i,-2.4248e-05-0.00064034i,-0.00026952-0.00096178i,-0.00031353-0.00086097i,-0.00057973-0.001001i,-0.0005931-0.0013661i,-0.00052774-0.0013983i,-0.00081488-0.00069902i,-0.00076602+0.00035204i,-0.00072388+0.00056366i,-0.00033882+0.0001275i,-6.7749e-05-0.00042177i,-0.00044677-8e-05i,-0.00067582-1.7488e-05i,-0.0003248-0.00027351i,-0.00015776-2.9382e-05i,-0.00030273-0.00039428i,-0.0001284-0.00055065i
-0.00073667+0.00084701i,-0.00061794+0.0014313i,-0.00038873+0.0011966i,0.0020582+0.00052754i,0.0032715-0.00041318i,0.0019622-0.00088328i,-0.00019861-0.00086461i,-7.4053e-05-0.0010433i,0.00033279-0.00028545i,-0.00081657+0.00024324i,-0.0013691-5.5241e-05i,-0.0015108+4.1781e-05i,-0.0010261+0.00027942i,-0.00056358+0.00049948i,-0.00017099+0.00043784i,-0.00029915+0.00037052i,-0.00054373+0.00018693i,2.1482e-05-0.0003411i,0.0010185-0.00055275i,0.0012242-0.0001063i,0.00020996-0.00013129i,-4.6831e-05-8.5279e-05i,0.0002242+0.00062997i
-0.00024789-0.00012034i,-0.00051227-0.00015394i,-0.00011375-0.00095425i,-0.00035738-0.0020295i,-0.00030904-0.0021253i,-0.00061838-0.00099671i,-0.0001759-0.00073597i,0.00078994-0.001056i,0.00098674-0.00065923i,0.00057563-0.00014294i,-0.00052215+0.00023448i,-0.0012856+0.00089373i,-0.0010615+0.00085692i,-0.00055364+0.00047543i,-0.00042525+0.00056767i,0.00012872+0.00027985i,0.00021993-0.000442i,0.0003162-0.00079363i,0.00085128-0.00076234i,-8.6426e-06+2.3608e-05i,-0.0012166+0.00099053i,-0.001043+0.00073312i,-0.0006041+7.5396e-05i
-0.0006211-0.0002338i,-0.00072787+0.00040705i,0.0005028+0.0007883i,0.00050876+0.00014884i,-0.00016311-0.00091033i,-0.0002743-0.0011829i,-0.0005325-0.00044808i,-0.00048947-3.3546e-05i,-2.4061e-05+6.277e-05i,2.5942e-05+0.00013771i,0.00099222+0.00023277i,0.0016201+0.00067052i,0.0012136+0.00074002i,0.00085385+0.00086951i,0.00089384+0.00048763i,0.00018351-0.00010696i,-0.0010823-4.1889e-05i,-0.0010571+0.00031822i,-0.00057527+0.00082849i,-0.00049384+0.00038647i,-0.00065828-0.00052853i,-0.00061905-0.00059731i,-3.0847e-05-0.00018247i
-0.00018189-0.0020003i,0.00028547-0.0019044i,-0.00094754-0.0012734i,-0.0017256-0.001124i,-0.0018214-0.00046287i,-0.0016118+0.00076389i,-0.00061191+0.0011745i,-0.00030705+0.00059026i,-0.00043896-0.00015073i,0.00078634-0.00015459i,0.0021363-0.00011275i,0.0013658-0.00026138i,-5.3184e-05-0.00083683i,-0.00061033-0.0011124i,-0.00025501-0.001037i,2.1653e-05-0.00098382i,0.00016823-0.00019555i,-0.00046372+0.00089485i,-0.00062258+0.00099021i,-0.0001685+0.00014503i,-0.00013476-0.00066927i,-9.566e-05-0.0010907i,-0.00032182-0.0010672i
-0.0010455-0.0026242i,-0.00074206-0.0021288i,-0.0019047-0.00020781i,-0.0028105+0.00081482i,-0.002905+0.0010985i,-0.0025101+0.0016026i,-0.0010872+0.0016621i,-7.021e-05+0.00094618i,-0.00062316+4.3959e-05i,-0.0010798-0.0011575i,-0.0010664-0.0012465i,-0.0004287-0.00092919i,0.00083269-0.00054932i,0.0011614+0.00011278i,0.0011119+0.00014707i,0.00025706-0.00052341i,-0.00056163-0.00090853i,-0.00033258-0.00042589i,-5.8047e-06+8.5919e-05i,-2.3456e-05+7.3932e-05i,-0.0001895+8.1896e-05i,-0.00016632+0.0014468i,-0.00053229+0.0022337i
0.00048234+1.9221e-05i,-9.4806e-05-3.6818e-05i,-0.00011778-1.2714e-06i,-0.00017628+0.00030469i,-0.00022285+0.00084802i,-0.00065558+0.00047486i,-0.00059643+0.00032581i,1.0655e-05+0.00024579i,-0.00044408+0.00065568i,-0.0017007+0.00085651i,-0.0020293+0.00056005i,-0.0010214-4.348e-05i,-0.0004447+6.5662e-05i,-0.00061848+0.00012821i,-0.00062022+0.00019648i,-0.00085796+0.00046053i,-0.001039-0.00019795i,-0.00099788-0.00022759i,-0.00036312-6.1042e-05i,-0.00022991-0.00025015i,-0.0005178-0.00052878i,0.00015384-0.00062207i,0.00021707-0.00065563i
-0.00027337+0.00034817i,-0.00099565+0.00027919i,-0.0012056+0.00079784i,-0.00025011+0.0019131i,0.00079065+0.0018202i,0.00036618+0.00091448i,3.3183e-05-0.00021573i,0.00018853-0.00040659i,0.0004436+6.4974e-05i,0.00090891+0.00085937i,0.00072883+0.0015594i,-0.000798+0.0013745i,-0.0014533+0.00072468i,-0.00073414+0.00059595i,-0.00032933+0.00075081i,-0.00041756+0.00093063i,-0.00048212+0.0010077i,-4.9096e-05+0.000155i,6.4922e-05-0.00039097i,-7.7612e-05-0.00062732i,0.00010704-0.00050241i,0.00036803+0.00033594i,0.00048173+0.0011001i
9.3628e-05+0.0010736i,0.00038546+0.00053027i,0.0006773+0.00026289i,0.00050619-0.00023764i,0.00031934-0.00024316i,-0.00013119-0.00019287i,-0.00055655-0.00066314i,-0.00015594-0.00051381i,0.0003693+0.0002679i,0.00046933+0.00040441i,0.00033779+0.00078199i,0.00036951+0.0011791i,0.00012548+0.0014108i,-0.0006056+0.00058998i,-7.0211e-05-0.0001823i,0.00039973-9.2047e-05i,-0.00018674-0.00033284i,-5.9426e-05-0.00014277i,-0.00013077+0.00046278i,-0.00073919+0.00052964i,-0.0012305+0.00040504i,-0.00090837-0.00027764i,-0.00038779-0.00050939i
-0.0036816-0.00018642i,-0.001786+3.2482e-05i,-0.00033576+0.0018756i,0.0013172+0.0020304i,0.0020591+0.00078283i,0.0021894-0.00041366i,0.00029918-0.00080838i,-0.00062221-0.00014466i,0.00031664+6.7988e-05i,0.00081675+5.6735e-05i,0.0012655+0.00057409i,0.0013052-0.00013889i,0.00089423-0.00082984i,0.00095397-0.00026947i,0.0012497+0.0003163i,0.0011341+0.00012313i,0.00098833-0.0011636i,0.00073668-0.0012016i,0.00059678-0.00093804i,0.00050631-0.0005487i,0.00077482+0.00058805i,0.00098771+0.00070457i,0.00031826-0.00029628i
0.00086664-0.00032001i,0.0013787-8.0605e-05i,0.0001258-0.00050005i,-0.001204-0.0010845i,-0.0011456-0.001249i,-0.0013627-0.00091813i,-0.0012857+0.00055153i,-0.00027892+0.0010678i,0.00012628-0.0002159i,-0.00052945-0.0010983i,-0.0002763-0.0012551i,0.00080012-0.0012624i,0.00017762-0.00078474i,-0.00060178-0.00059995i,-8.503e-05-0.00075892i,0.0004236-0.0010479i,7.3723e-05-0.00068651i,-0.00070688+0.00013929i,-0.00067423-1.0191e-05i,0.0001563-0.00028789i,0.00059287-0.00043027i,3.0552e-05-7.6522e-05i,-0.00015522+0.00059929i
-0.0013334-0.0013758i,-0.0015296-0.0012131i,-0.0016386-0.0017353i,-0.0021072-0.0021581i,-0.0025345-0.0013819i,-0.0021448+0.00037555i,-0.0014721+0.00097093i,-0.0011925+0.00052475i,-0.00081533-0.00071606i,-0.00085376-0.0019071i,-0.0014008-0.0019983i,-0.0012019-0.0013653i,-0.0011594-0.0010397i,-0.001234-0.0001996i,-0.00095582+0.0003997i,4.6864e-05+0.00033901i,0.00064208-0.00025115i,5.3783e-05-0.00096917i,0.00038151-0.00097871i,0.00027721-0.00041692i,5.3292e-05-0.00043604i,0.00027698-0.00052423i,0.00032171-0.00064882i
0.00038918-0.0011317i,0.0002377+0.0003036i,-6.5411e-05+0.0012638i,-0.00049345-2.1255e-05i,-9.7918e-05-0.00035753i,-0.0012643+0.00046057i,-0.0013221+0.0009129i,-7.9328e-05+0.001237i,1.7164e-05+0.00064151i,-0.00081272+4.8192e-05i,-0.0017071-4.5907e-06i,-0.0016341-0.00040236i,-0.0012294-0.00069897i,-0.00079285-0.00040254i,-0.0005226-0.00045813i,-0.00051513-0.00049745i,-0.00016243-0.00039524i,0.00043476-0.00028383i,0.00078917-0.00054412i,0.00038288-0.0012461i,4.7725e-05-0.00099452i,1.0028e-05-0.00060121i,0.00017283-0.00049366i
0.00031107-0.00031014i,-6.1656e-05-0.001048i,0.00077797-0.0008099i,0.00057527-0.00014685i,-0.00026952-0.00034382i,-0.00045562+0.00034043i,0.00013323+0.00090987i,9.9596e-06+0.00033088i,-0.00071629+0.0011005i,-0.001174+0.0015053i,-0.0017525+0.00092158i,-0.0022832-0.00010137i,-0.0013597-0.00048954i,-0.00051114-0.00032581i,-0.00043481-0.00012607i,-0.00044217-0.00020914i,-0.00056576+0.00026569i,-0.00077285-1.9416e-05i,-0.00070712-0.00071382i,-0.00029082-0.00029998i,0.00019977-8.4469e-05i,0.00022614+2.4448e-05i,-0.00022284+0.00014425i
0.0017252-0.00015414i,0.001602+0.00078809i,0.001785+7.0201e-05i,0.0022223-0.001093i,0.0020997-0.0013891i,0.00099908-0.0012121i,0.00092589-0.00064116i,0.0014325-0.0007779i,0.0012046-0.00038191i,0.00059317+0.0013623i,-0.00037134+0.0018163i,-0.00065547+0.00087285i,-0.00081684+0.00043403i,-0.00035308+0.00038062i,0.00046813+0.00031432i,0.0006789+2.3801e-05i,0.00072604+0.00024234i,0.00043595+0.00071601i,-0.00072603+0.00079272i,-0.0011012+0.00030143i,-0.00023727-0.00054059i,-4.5691e-05-0.00091734i,-0.00043954-0.00029477i
-0.0004328+0.0022017i,-0.00037829+0.00083476i,0.00038171+0.0010856i,0.0019286+0.00058101i,0.0022869-0.00067678i,0.00063361-0.0020034i,-0.00063807-0.0021182i,-0.00069438-0.00076615i,-6.929e-05+1.0041e-05i,0.0012571+8.4889e-05i,0.0023842+0.00049664i,0.0015758+0.00024274i,0.00027625+0.000216i,0.00070247+0.00033687i,0.00082513-8.5116e-05i,0.00045618+0.00018072i,-0.00031656+0.00047502i,-0.00062599+0.00030577i,-9.9425e-05+4.0649e-05i,0.00018826+5.3666e-05i,0.00055681-4.4153e-05i,0.00059653-0.0003601i,0.00022124-0.00071974i
0.0010827-0.00085062i,0.00072916-0.00079062i,0.00062845-0.0015151i,-0.00022892-0.0014327i,-0.00068985-0.0013875i,-0.00058091-0.0016007i,-0.0012051-0.0014527i,-0.0013432-0.0013851i,-0.00073765-0.00083896i,0.00036015-0.0012145i,0.00082478-0.0010832i,0.0010524-0.00025754i,0.0012673-0.00073298i,0.00099746-0.0012785i,0.00051438-0.00071923i,-0.00015839-0.00011697i,-0.00056273+0.00014452i,-0.00045887+4.6631e-05i,4.6514e-05-0.00011568i,0.00055457+0.00027588i,0.00083286+0.00097824i,0.00030739+0.0012039i,-0.00034274+0.00013832i
