-0.00064274+0.0012273i,-0.00016188+0.00045249i,0.0019957-0.0017608i,0.0032352-0.0034724i,0.0016377-0.0028121i,-0.00064167-0.00035697i,-0.001092+0.0019906i,-0.00026321+0.0023142i,0.00072379+0.0012218i,0.00093898+0.00048205i,0.0005515+0.00036534i,0.0010541+0.00070572i,0.00046724+3.6952e-05i,-0.00069071-0.00031354i,-0.00096285-0.00025258i,-0.00039194-0.00046628i,5.8097e-05-0.00093539i,-0.00010907-0.00092907i,0.00066622+9.4841e-09i,0.00047559-9.7784e-05i,2.8574e-05-0.00018151i,0.00046432-0.00026381i,-6.7054e-05-5.8185e-05i
0.00029183-0.0002122i,0.0019807-0.0020992i,0.0048072-0.0027031i,0.0057797-0.0025897i,0.0031292-0.0018348i,-0.00069151-6.8035e-05i,-0.001795+0.001636i,-0.0012071+0.0020243i,0.00028845+0.0016414i,0.00063708+0.00068232i,0.0003527+1.3488e-05i,0.00053352-0.00062548i,0.00059377-0.00042772i,0.00022308+0.00022519i,-0.00025423+6.6023e-05i,-0.00063047-0.00057107i,-0.00036284-0.00093539i,0.00063037-0.00064623i,0.00084094+0.00011381i,0.00016254+0.00056489i,-0.00054226+0.00083535i,-0.00088576+0.00051076i,-0.00043926-0.00012617i
0.0022296+0.00015943i,0.0037629+0.00025001i,0.0064636-0.0017227i,0.0063194-0.003981i,0.0012498-0.0037541i,-0.0025613-0.00065193i,-0.0020296+0.0022026i,-0.00013745+0.0024592i,0.00072909+0.0011318i,0.00064083+0.00060196i,0.00039629+0.00069623i,7.1098e-05+0.00081819i,-8.1324e-05+0.00027872i,0.00037496-0.00019014i,0.00059433-2.2336e-05i,0.00046677-3.4099e-05i,-0.00050795-7.9696e-05i,-0.00050829-0.00056936i,-0.00018166-0.00074728i,-0.00029018+2.7593e-06i,-0.00050061+0.00026418i,-0.0004621-1.9892e-05i,0.00026115-0.00029628i
0.0010529+8.5994e-05i,0.0022757-0.00051437i,0.0040467-0.0022283i,0.0032323-0.0029543i,6.3824e-05-0.0022796i,-0.0016902-0.00016477i,-0.0010161+0.0015i,0.00018679+0.0014926i,0.00057279+0.0010442i,0.00018118+3.8118e-05i,4.9477e-05-0.00029424i,-0.00020784+0.00012801i,-0.00058992-9.0865e-05i,-8.8319e-05-0.00018403i,0.00079404-0.00021386i,0.00030335-0.00037366i,-0.00034116-0.00058604i,-0.0003966-0.00013707i,-0.00019795+0.00031024i,-0.00057607+7.4345e-06i,-0.00087133-0.00038864i,-0.00033573-4.7718e-05i,0.00014312+0.00047498i
0.00013408+0.0012546i,0.00091986+0.00013473i,0.0033084-0.0015479i,0.0040273-0.0037975i,0.0011952-0.0043477i,-0.0019961-0.001565i,-0.002113+0.0011009i,-0.00053422+0.0020555i,4.2515e-05+0.0015356i,0.00022523+0.00045651i,0.00026179+0.00065348i,-0.00022507+0.00070247i,-0.00037937+0.00047825i,-6.6867e-05+0.00028199i,-0.0003478-0.00013066i,-0.0001845-0.0001854i,0.00064373-0.0004587i,0.00018565-0.00084498i,-0.00021169-0.00034009i,0.00026291-0.00026456i,-7.1702e-05-0.00032261i,-0.00026841-0.0002375i,0.00041694-0.00056314i
0.00044226+0.00021616i,0.0024106-0.0014073i,0.0048696-0.0036301i,0.004143-0.0045767i,0.00061482-0.0031516i,-0.0016784-0.00051222i,-0.00095501+0.0015278i,0.00074224+0.001442i,0.0015565+0.00044239i,0.001302+0.00030617i,0.0010759+0.0003391i,0.00085635+0.00014567i,-2.9028e-05-0.00039255i,-0.00040359-0.00086449i,-0.0001951-0.00054171i,-0.00048668-0.00022208i,-0.00050688-0.00063758i,-0.00031901-0.00065902i,-0.00023824-9.4094e-05i,-0.00023246+0.00028167i,-0.00052056+0.0005269i,-5.0084e-05+0.0005128i,0.00099915+0.00088621i
0.0002402+0.00019173i,0.0011178-0.00025234i,0.0044827-0.0019783i,0.0059674-0.0044431i,0.0032071-0.0041474i,-0.00045837-0.00083797i,-0.001615+0.0013427i,-0.00048192+0.0020173i,0.00045197+0.0022079i,0.0002331+0.0015896i,7.8712e-05+0.0011417i,-0.00011034+0.00085122i,-0.00043875+0.00035427i,-4.6061e-05+0.00055027i,0.00056474+0.00074633i,-0.00016749+0.00053248i,-0.00074897+0.0004713i,-0.00045662-0.00019859i,-0.0010172-0.00021057i,-0.0006896+0.00062972i,0.00035408+0.00038708i,0.0002094-0.00050388i,7.2793e-05-0.00097871i
0.00055938-0.00067273i,0.0022915-0.0015979i,0.004145-0.0033212i,0.0046252-0.0042803i,0.0021917-0.0027474i,-0.0005619-1.1986e-05i,-0.00074234+0.0018579i,-0.00028302+0.0017095i,0.00042156+0.00070167i,0.00022725+0.00035224i,-0.00039234+0.00013333i,-0.00022339+0.00010922i,5.462e-05+6.8996e-05i,0.00030324-0.00016146i,-0.00017537+0.00039378i,-0.00083706-8.7337e-05i,-0.00024746-0.00058051i,0.00040182-0.00016391i,1.8822e-05+0.0001138i,0.00041983+0.00028045i,0.0009287+0.00040381i,0.00058845+6.1861e-05i,0.00040781-0.00062573i
-0.00016211+0.00048237i,0.0010087+0.00043155i,0.0029268-0.0011248i,0.003535-0.0028099i,0.0018402-0.002414i,-6.749e-05-0.00012782i,-0.0011965+0.0013551i,-0.00069452+0.0012477i,0.00029875+0.00051915i,0.00022435+4.7709e-05i,-6.3691e-05+0.00098086i,-0.00052219+0.0014771i,-0.00089659+0.00078745i,-0.0001086-9.8987e-05i,0.00060433+0.00014743i,0.00050945+6.7114e-05i,0.00022798-0.00055877i,0.00030518-0.00054289i,0.00026151+0.00033563i,-0.00019158+0.00052264i,-0.00037294+0.00012011i,-0.00020857+0.00021319i,6.4745e-05+0.00029123i
0.00056297-0.00095303i,0.001308-0.0017115i,0.0029059-0.0038216i,0.0040965-0.0045856i,0.000966-0.0022438i,-0.0018325+0.00047446i,-0.0015938+0.0016765i,-0.0011317+0.0024654i,-0.00029481+0.0019691i,0.00073728+0.00089912i,0.00064986+0.00012104i,-1.2452e-05-0.00027189i,-0.00020016+1.4789e-05i,-0.00058165+3.3603e-05i,-0.00067715+0.00042041i,0.0001102+0.0006776i,0.00057401+0.00011528i,0.00042165-6.9291e-05i,9.562e-05-4.5027e-05i,-0.00041925-0.00054556i,-0.00060177-0.00076301i,-0.00012135-0.00069188i,-0.00022015+2.5158e-05i
