0.00083291-8.3223e-05i,0.00078356-0.00022918i,-0.00014868-0.00014458i,-0.0011921-0.00019439i,-0.0022122-7.4346e-05i,-0.0024305+0.00031999i,-0.0012835+0.001206i,0.00015933+0.0014454i,0.0010142+0.00041606i,0.0013206-2.3842e-05i,0.00087496+0.00036045i,0.000614+0.00057489i,0.00031608+0.00040555i,-0.0003798-5.678e-05i,-0.0010821-0.00019494i,-0.00068314+0.00026452i,0.00020675+0.00026748i,0.00054974-0.00021794i,0.00048557-0.00021717i,-0.00029837+5.537e-05i,6.1833e-05-5.7113e-05i,0.00091883-7.9319e-05i,0.00061684+0.00034091i
-0.00047999+0.0013851i,0.0001129+0.0021132i,0.0013099+0.0021349i,0.0018317+0.0013229i,0.0011828+0.00057098i,-0.00017547+0.0007046i,-0.0013739+0.00013876i,-0.00079074-2.7031e-05i,2.2857e-05-0.00028853i,3.1784e-05-0.00070361i,1.6393e-05-0.00070581i,8.0628e-05-0.0006671i,0.00036604-0.00085872i,0.00082212-0.00046924i,0.00041078-0.00030465i,-0.00036329+0.00016239i,-0.00085716+0.00033256i,-0.00097582-0.00033483i,-0.00062077-0.00066309i,-0.0005427-1.0422e-05i,-0.00080993+0.00039955i,-0.00037601+0.00058976i,0.00012659+0.00082974i
0.00056614+0.0004491i,-0.00039936+0.00027581i,-0.0006515+0.00038844i,0.00040943-0.00044546i,0.00067478-0.00071654i,0.00053552-0.00071431i,0.00062875-0.00033963i,0.0004894-0.00026908i,0.00027889-0.00038055i,0.00047135+0.00028232i,0.00090157+0.00011777i,0.0012573-0.0011798i,0.00098748-0.0013581i,0.0004814-0.00072244i,0.00047134-0.00026975i,0.00038974+0.00039051i,0.00067372+0.00080359i,0.00044385+0.0011075i,0.00018118+0.0005946i,0.00019667-2.2982e-05i,1.8543e-05-0.00022893i,-0.00023752-0.00035133i,-0.00014074-0.00022043i
-0.00063273+0.00073695i,-0.0013885-0.00020786i,-0.001404-0.00044693i,-0.00077306+0.00051188i,3.5084e-06+0.00019927i,0.00033658-0.00054582i,-0.00049608-0.00055875i,-0.00113-0.0001511i,-0.0011788+2.4984e-05i,-0.001078-0.00011109i,0.00010528+9.7542e-05i,0.0005689+0.00015235i,0.00015429-0.00022228i,0.00017685+0.00058882i,-3.2645e-05+0.00043843i,0.00016987-1.0217e-05i,0.00010726+0.00036985i,-0.00052532+0.00088977i,-0.00032187+0.00091479i,0.00017414+0.00015425i,-8.6085e-05-0.00019967i,-0.0012487-0.00040815i,-0.00095436-0.00059496i
0.00148-0.00011329i,0.00028725+0.00043615i,1.917e-05+0.00027568i,-0.0005604-0.000558i,-0.00079199-0.0015192i,-0.0012215+6.1744e-05i,-0.0013585+0.00089343i,-0.0013324+0.00087991i,-0.00062147+0.00081974i,0.00081894+0.00011231i,0.001887-0.00019862i,0.001429-0.0002176i,0.00055064+0.00019451i,0.00016137+2.9389e-05i,0.00042025-0.0007343i,0.00018109-0.0012067i,-0.00087439-0.00099902i,-0.0012643-0.00017153i,-0.00092793+0.00038417i,-0.00037449+0.00018909i,-0.00037031-0.0002586i,-0.00089571-0.00025425i,2.9569e-05+0.00037266i
-0.00020187-0.00043855i,-0.00076037-6.8544e-06i,-0.00080035-0.00019373i,-0.00035833-0.00088183i,-2.1604e-05-0.0013372i,-0.0001825-0.00045833i,0.00013705+0.00083684i,0.00058944+0.00063587i,0.00089769+0.00023883i,0.00056316-5.2503e-05i,-0.00011713-0.00072671i,-0.00039942-0.00056359i,-0.00040249+0.00012689i,0.00010688-0.00015322i,0.00019754-0.0013974i,-0.00015979-0.0013875i,-0.00063572+0.00031798i,-0.00040938+0.00091239i,-0.00047983+0.00085721i,-0.00022496+0.000794i,0.00013888+0.00069833i,0.00038186+0.00016135i,6.4228e-05-0.00051313i
-0.00094334-0.00096852i,-0.0014276-0.00039814i,-0.000622-0.00044064i,0.00014742-0.001103i,0.0003182-0.0014124i,-0.0003693-0.001615i,-0.00030546-0.00050053i,-0.00029141+0.00050091i,-0.00086566+0.00074336i,-0.00039485+0.00087459i,0.0003016+0.00067934i,0.00053692-0.00011525i,0.00070044-0.00013762i,0.00040825-0.00031082i,7.4989e-05-0.00091655i,2.6418e-05-0.0010329i,0.00010817-0.00034943i,0.00033871+0.00021529i,0.00048755+0.00017865i,-6.8048e-05+0.00054107i,-0.00017997+0.00029305i,0.00018399-0.00012555i,0.00095841+0.00062693i
0.00045715-0.0006131i,0.0002904-0.0010252i,0.00059431-0.00070435i,0.001353-0.00079244i,0.0014147-0.00099452i,0.00012504-0.00044749i,-0.00076481+0.00022075i,-0.00031526-0.0001022i,0.00034893-0.00014945i,1.0381e-05+0.00058234i,-0.00021588+0.00061689i,-1.6186e-05+0.00070034i,-0.00030852+0.00094398i,-0.00043812+0.00065355i,-0.00036702+0.0006527i,-0.00016194+0.00042841i,-1.4755e-05-0.00099542i,-0.00028802-0.0010268i,-3.43e-05+2.9179e-05i,0.00018483+0.00021757i,-0.00056265+9.5888e-05i,-0.000582+0.0005733i,0.00027546+0.00053457i
0.00035183+0.001258i,4.0427e-05+0.00095726i,0.00080353+0.0010458i,0.0019192+0.00020911i,0.0017558-0.0011195i,0.00044302-0.0012928i,-0.00087391-6.5204e-05i,-0.00078737+0.00046538i,0.00021656+0.00057552i,0.0003505+0.00011606i,-0.00019203-0.00057352i,-0.00014715-0.00023031i,0.00010088+0.0001746i,-0.00060885+0.00019946i,-0.00063824+9.7486e-05i,-0.00014565-0.00018153i,-0.00028923+6.1174e-05i,-0.0001286+0.00038715i,-0.00016208+0.00023804i,-0.00010497-0.00015194i,0.00016036+0.0001468i,-0.0003091+0.00098249i,-0.0010754+0.00061648i
0.00098112+0.00033128i,0.0011633+1.9459e-05i,0.0010263-0.00068508i,0.0015529-0.0012209i,0.0004812-0.0018239i,-0.00045817-0.0021714i,-0.00039641-0.0021801i,-0.00017088-0.0010099i,-5.0675e-05+0.00057498i,-0.00055428+0.00062627i,-0.00094746+0.00012525i,-0.00047201-0.00014494i,0.00024961+0.00031982i,6.6073e-06+0.00094896i,-0.00015926+0.0015261i,-0.00047482+0.0013579i,-0.00057363+2.1793e-05i,-0.0004794-0.00061054i,-0.00024824-0.00063543i,-8.1081e-05-0.00070574i,-0.00079475-0.00010213i,-0.0012253-1.4386e-05i,-0.0010292-0.00033295i
-0.00075743-0.00094162i,-0.0011716-0.00093215i,-0.00021191+0.0001441i,0.00021999+0.0005733i,0.00019876-0.00037504i,0.00059093-0.0011723i,9.4264e-05-0.00062259i,-0.00087776+0.00018391i,-0.001211+0.00048106i,-0.00062654+3.5493e-05i,0.00065806-0.00028029i,0.00086048+0.00022863i,0.00056197+0.00071339i,0.00035878+0.00074538i,0.00028058+0.00049713i,0.0010547+0.00019257i,0.0015055-0.00013751i,3.1482e-06-0.00086263i,-0.00099083-0.00094317i,-0.00039298+9.054e-05i,0.00028373-0.00028158i,0.00015619-0.00059772i,-0.00030618+0.00017144i
-9.3221e-05+0.00093478i,0.00083345+0.00041576i,0.0019742-0.00045777i,0.0018357-0.0015649i,0.00093383-0.0021187i,0.00028509-0.0010358i,-9.2247e-05+9.5841e-05i,-0.00039277+0.00075095i,-0.00033413+0.00070942i,-0.00022259+0.0004773i,-0.00017444+0.00092766i,-0.00030808+0.00093211i,-0.00042787-0.00031039i,-0.00011785-0.00054779i,-5.4083e-05+0.00023807i,6.0349e-05+0.0002525i,0.00010997-0.00046115i,0.00020476-0.00049327i,0.00036187-0.00023543i,0.00061116+3.071e-05i,0.00069588+0.00012899i,0.00030461+9.7541e-05i,-0.00026651+0.00023321i
-0.00028048+0.00027264i,-0.00035856+0.0010397i,0.00041236+0.0027275i,0.0017846+0.0021111i,0.0015352+0.00086887i,0.00011143+0.00039398i,-0.00087383+0.00032593i,-0.00071136+0.00041273i,-0.00053307+0.00046859i,-7.8477e-05+0.00047562i,0.00017154+0.00053152i,-0.00043715+0.00014951i,-0.000868+5.0797e-05i,-0.00045553-0.00017113i,-4.1434e-05-0.00024109i,-0.00034135-0.0003491i,-0.00070863-0.00061377i,-7.593e-05-0.00017989i,0.00079365+0.00043725i,0.00062386+0.00085753i,0.00016665+0.00044765i,0.00017234+0.00074632i,-0.00027605+0.0016316i
-0.00092628-0.00032839i,-0.0014383+0.00072373i,-0.00062109+0.0013822i,-9.017e-05+0.00079345i,9.4297e-06+0.00015104i,0.00022087-9.8668e-05i,0.00065685-0.00027356i,0.00050726-0.00027232i,-0.00025488+0.00018485i,-0.00014693-0.00014264i,0.00042225-0.00033196i,0.0006964+0.00015448i,-0.00020244+0.00053532i,-0.00057658+0.00037629i,-0.00014064-7.0445e-05i,-0.00027863+0.00031106i,-0.00029996+0.00039566i,-0.00022974+0.00038712i,0.00024225+0.00049366i,0.00051132+0.0003472i,0.00017193+0.00045548i,-4.1089e-05+7.7998e-05i,-0.0010498-0.00044448i
-0.00022149-0.0015279i,-0.0010459-0.0015388i,-0.0010128-0.0012423i,-0.00080389-0.0014382i,-0.00061372-0.0018355i,-0.00085403-0.0015516i,-0.0012195-0.0012822i,-0.00034094-0.00099856i,0.00087771+5.9799e-05i,0.00092195+0.00062732i,3.7477e-06+0.00019552i,-0.00097827-6.0013e-05i,-0.00080626-0.00039613i,0.00012226-0.00029126i,0.00025453+0.00069813i,-0.00028952+0.00092189i,0.00011035+0.00051698i,0.00033241+0.00088152i,-2.3803e-05+0.00051844i,-0.00014725-0.00047169i,-0.00045342-0.0010288i,-0.00039933-0.00068065i,-0.00045006+0.00038158i
0.00063927+0.0015001i,0.00044905+0.0017249i,0.0016096+0.0021116i,0.0029113+0.0017338i,0.0019489+0.00039314i,0.00045513-0.00097993i,2.1456e-05-0.00094259i,-0.00028345+4.7159e-06i,-0.00037121+0.00055557i,2.5575e-06+0.00024982i,3.7105e-05-8.7101e-05i,-0.00045138-0.00019955i,-0.00062884-0.00020518i,-0.00060623-0.00064969i,-0.00056098-0.00084888i,-0.00046799-0.00033457i,-0.00046387-0.00039578i,-0.00040517+0.00026501i,-3.6142e-05+0.00058423i,0.00024324+0.00034115i,0.00085623+0.0006342i,0.00095254+0.00024249i,-0.00011538-0.00030328i
0.0026191-0.0013462i,0.00095885-0.0020859i,-0.00035103-0.0021038i,-0.00079512-0.0022612i,-0.0011316-0.001819i,-0.0015523-0.00018205i,-0.0010329+0.00012598i,0.00031295-3.6814e-05i,0.00073957-0.00016788i,-4.6707e-06-0.00079855i,-3.9059e-07-0.00074773i,0.00070438+0.00036964i,0.0006475+0.0011705i,0.00012296+0.00082734i,0.0005835+0.00024545i,0.0015229+0.00043167i,0.00094413+0.0009074i,0.00012165+0.00068412i,0.00014755+0.00066795i,2.2859e-05+0.00034364i,-0.00015131+0.00022376i,-8.3856e-05+0.00055307i,0.00047499-0.00026647i
-0.00082049+0.00088271i,-0.00076708+0.0012312i,-0.00022232+0.002551i,3.9195e-05+0.0017569i,0.00062915-2.9452e-05i,0.00044204-0.00037126i,-0.00041624-0.00062844i,-0.00041824-0.00065346i,0.00038638-0.00031144i,0.00045918-0.00046674i,-0.00027663+8.5679e-05i,-0.00068715+0.00017928i,2.4566e-05-0.00062965i,0.00068365+5.8212e-05i,-0.00026371+0.0012018i,-0.00098418+0.00050639i,-0.00029688-0.00023437i,0.00013062-0.00032455i,-0.00019108-0.0001611i,-0.00067471+0.00026979i,-9.4431e-05+0.00083427i,1.9605e-06+0.00091439i,0.00039079+3.7823e-05i
0.00078531+0.0029023i,0.00096942+0.0021115i,0.0018302+0.0010423i,0.0019286+0.00022108i,0.0013291-0.00098833i,-3.765e-05-0.0013199i,-0.00092898-0.0009053i,-0.00055743-0.00052716i,0.00031307-0.00051822i,0.0004305-0.00089735i,0.00015495-0.00032694i,0.00019827+0.00015338i,-0.00013547+0.00027837i,0.0003662-5.0375e-05i,0.0009841-9.1615e-05i,0.00033603+0.00076951i,-0.00026239+0.0013126i,-0.00026367+0.00073088i,-0.00026181+7.7113e-05i,-0.00028103+0.00052068i,0.00035054+0.00087224i,0.00071492+0.00050562i,0.00079837+0.00011147i
0.00055157+0.0015382i,0.0008258+0.00094049i,0.0011162+0.0015807i,0.0013059+0.0014054i,0.00094395-0.00059647i,-0.00015276-0.0019155i,-0.0010184-0.0012632i,-0.0010298-0.00033114i,-0.00066251-0.00025328i,-6.918e-05-0.00025338i,-4.7124e-05-0.00044629i,-0.00031656-0.00035124i,-0.00062139+0.00042586i,-0.00064527+0.00024178i,-0.00015631-0.00030738i,0.00022838-0.00054623i,0.00048737-0.0010568i,0.00080009-0.00066066i,0.00045579+0.00013306i,-0.00020132+0.00023407i,-0.00020116-0.00030602i,-0.00023238-0.00037489i,-0.00026058-0.00044118i
0.0014492+0.00062894i,0.0013339+0.00072206i,0.002786+0.00058012i,0.0034645-0.00014769i,0.0024938-0.0011725i,0.0014495-0.0017048i,0.00025087-0.0013145i,-0.00013531-0.00066666i,0.00018996-0.00024966i,-0.00017106-0.00012037i,-0.00070168+2.7443e-05i,-0.00091728-2.8262e-05i,-0.00044475-0.00049864i,-1.1234e-06-0.00023044i,-0.0001479+0.00032271i,-0.00071014-9.2144e-05i,-0.0005703+0.00010707i,-0.0002405-3.6405e-05i,-0.00072552-0.00045341i,-0.00045074-5.323e-05i,-0.00032088-0.00037928i,-0.00078178-0.00090817i,-0.00010111-0.00033725i
0.00026046-0.00022171i,-3.3807e-05-0.0012232i,-0.00034308-0.0016643i,-0.00054335-0.0010555i,0.00027092-0.0017008i,0.0012171-0.0015413i,0.0010688-0.00034891i,0.00011006-0.00021799i,-0.00034741-0.00046328i,-0.0002728-0.00011396i,8.7099e-05+0.00021738i,0.00059657+0.00039946i,0.00027496-0.00025442i,0.00011106-0.00072316i,0.0003401-0.00032045i,0.00049345-0.00013522i,0.00054492+0.00029964i,0.000508+0.00032163i,0.00035753-2.0511e-05i,0.00019742-0.00038963i,0.0008732-4.262e-05i,0.00069496+0.0007029i,-0.00014202+0.00080448i
-0.00082461-0.00026432i,-0.0019266-5.0342e-05i,-0.0016406+0.00043828i,-0.00024759+0.00072287i,0.00017824+0.00043696i,-0.000929+1.4864e-05i,-0.0011043-0.00049658i,-0.00027016+0.00055949i,-0.00017526+0.0011843i,0.00040087+0.00089862i,0.00087464+0.00043271i,0.00090945+0.00014834i,0.00085434+0.00025314i,0.0010491+0.00077584i,0.00064317+0.00058602i,-2.4291e-06-0.00012162i,0.00036035-0.0002692i,0.00058551-0.0002837i,0.00086607+0.000266i,0.0002565+0.00068432i,0.00049734+0.00060262i,0.0010204+0.00080495i,0.00015328+0.0010691i
0.00044498-0.00049187i,-0.00075407-0.00045298i,-0.00016891+0.00019067i,0.00052632-9.3014e-05i,0.0010266-0.00081723i,0.00085027-0.00064765i,-0.00028753-0.00025156i,-0.00078986-0.00084011i,-0.00070215-0.0010869i,-0.00011473-0.00068875i,-3.7608e-05-0.00041974i,-0.0003245-5.8078e-05i,-0.00032661+0.0005686i,-0.00037333+0.00084003i,-0.00062523-0.00023367i,-0.00081634-0.00059811i,-0.00020647+0.00019187i,0.00048423-4.8662e-05i,0.00081855-0.00081255i,0.00031558-0.00025234i,0.00014122+0.00055404i,0.00053654+0.00055646i,0.00085614+5.9917e-05i
-0.0018937+5.8329e-05i,-0.0024154+0.0017356i,-0.002191+0.002547i,-0.0017787+0.0019586i,-0.00096756+0.00079489i,-9.4895e-05+0.00044817i,6.7306e-05+0.00063872i,-0.00049452-0.00011938i,-0.00035827-0.00066734i,0.00074199-0.00078453i,0.0010142-0.0006817i,0.00085498-0.00032954i,0.001068-0.0002505i,0.001013-0.0005301i,0.00021087-0.00055016i,-0.00023089-8.654e-05i,-0.00011646-7.1019e-05i,-0.0003783-1.3233e-05i,-0.00026948+0.00053164i,3.5365e-05+0.00023834i,-0.00072048-0.00044829i,-0.00069705-0.00066315i,0.00025763-3.5461e-05i
9.5232e-05-0.00021994i,-0.0016924-0.00012605i,-0.0031853-8.5886e-05i,-0.0017816-0.00069958i,-0.00047263-0.0016776i,-0.00089476-0.0018236i,-0.0014646-0.0013564i,-0.0015129-8.1725e-05i,-0.0009907+0.00037942i,-0.00044629+6.1442e-05i,-0.0001395+0.00012266i,-0.00072264+0.00022432i,-0.0011525-0.000126i,-0.00091807-0.00027797i,-3.202e-05-0.00047103i,0.00043207-0.00021657i,0.00013276+0.00042996i,0.00019538+0.00014958i,-0.00014987-0.00014919i,-0.00044967-5.8988e-05i,3.168e-05-0.00031411i,-3.7785e-05-0.00029818i,-0.0010145-0.00014484i
0.00066252+0.00064549i,-1.2605e-05+0.00032798i,-2.2426e-05+0.00074238i,0.00055603+0.00064706i,-0.00021879-0.00080735i,-0.00088618-0.0017666i,-0.00072232-0.0013721i,6.7797e-05-0.00040575i,0.0006321-0.00037695i,0.0007929-0.0013672i,0.00087204-0.0017949i,0.00069225-0.001173i,0.00040548-0.00024511i,0.00017063+0.00047092i,-0.00040725+0.00060129i,-0.0010955-0.00011805i,-0.0012904-8.1602e-05i,-0.0010508+0.00030458i,-0.00052898-0.00057852i,0.00013004-0.00029868i,0.00023381+0.00067243i,-0.00031805+0.00031908i,-9.3542e-05+0.00034644i
0.00109+0.00046768i,0.00031848-0.00046723i,0.00072063-0.00087905i,0.0012308-0.0011108i,0.0010071-0.0013785i,9.097e-05-0.00082924i,-0.00031415-7.4406e-05i,-0.00080534-0.00021932i,-0.00088323-0.00022049i,0.00025266+0.0001068i,0.0011862+0.00069677i,0.00065974+0.00063119i,-4.0375e-05-5.0032e-05i,-0.00064797+6.207e-05i,-0.00069075+5.016e-05i,-0.00015655-0.00080204i,8.7972e-05-0.00016671i,-2.5822e-05+0.0010827i,7.3508e-05+0.00088575i,-0.00022111+5.9637e-05i,-0.00024984-0.00037098i,-0.00032434-0.00026207i,-0.00075149-0.00090603i
0.0015196-0.00039794i,0.00072213-0.00011785i,0.00060867+0.00022612i,0.0015359-0.00064453i,0.0014512-0.0024512i,0.00025731-0.0024756i,0.00032342-0.0011143i,0.00059826-0.00024057i,-0.00017008+0.00010611i,-0.00029106+0.00027246i,0.00017188+0.0001449i,-0.000132-0.00062686i,-0.0010733-0.00056795i,-0.0012899+3.8379e-05i,-0.00062288+0.00072421i,-0.00038501+0.001105i,-0.00011848+0.00082306i,-0.0002686+0.000214i,-0.0007521+9.5629e-05i,-0.00073492-0.00013171i,-0.0003808-0.00086539i,-2.8433e-05-0.00034608i,0.0002189+0.00073177i
-0.00082789+0.00096458i,-0.00031991+0.0017404i,-0.00014405+0.0017862i,0.0013283+0.00080961i,0.0021657-0.00014225i,0.00080747-0.0008296i,-0.00016367-0.00017742i,-0.00067605+0.00090302i,-0.00082424+0.0010411i,-0.00014663+0.00083299i,0.00044851+0.00081326i,0.00051223+0.00061663i,0.00031173+0.00011652i,0.00030709+5.2347e-05i,0.00073667-0.00014158i,0.00076117-0.00061115i,0.00073415-0.00025349i,0.00083083+0.0005128i,-9.5042e-05-0.0001004i,-3.3021e-05-0.00059234i,0.00027128-0.00034104i,-0.00027999+8.7192e-05i,-0.00064199+0.00036833i
-0.000572+0.0012564i,-0.0014114+0.0012544i,-0.0012734+0.00064262i,-0.00028068+3.2073e-05i,-3.819e-05+0.00036283i,-0.00022902+0.00043479i,0.0001572+0.00044136i,-7.4661e-05+0.00039451i,-0.00082309-0.00021674i,-0.00062176-0.00034311i,4.5121e-05+0.00037306i,0.00035682+0.00080281i,-8.4328e-05+0.0004363i,-0.00050251-0.00011052i,-0.00048231-0.00024474i,-8.0354e-05+0.00050009i,-0.00016779+0.00086224i,-0.00039261+0.00094922i,-0.00055304+0.00045551i,-0.00086524-0.00081345i,-0.0010348-0.00090572i,-0.0004691-0.00062442i,8.1231e-05-0.00059677i
-0.0020663-0.00081194i,-0.0023393+0.001417i,-0.0029719+0.0025304i,-0.0028712+0.0023784i,-0.0012098+0.0023695i,-0.00010877+0.0019547i,5.0337e-05+0.00058989i,0.00019897-0.00037597i,-0.0005699-0.00074443i,-0.00081973-0.00020534i,-0.00067168+0.00079635i,-0.00024384+0.00070312i,0.00060397-8.0968e-05i,0.0012225-0.00083643i,0.0010911-0.00099675i,0.00080905-0.00055512i,0.0010012+0.00023187i,0.0005634+0.0002103i,0.00025313-0.00069429i,0.00020507-0.00057847i,-0.00010892-0.00031162i,8.3788e-05+0.00023011i,-3.8576e-05+0.00050616i
