-0.00017659+0.00018952i,0.00046868-0.0016088i,-0.00050044-0.0034963i,-0.0016557-0.00097051i,-0.0026914+0.0017057i,-0.0019139+0.001651i,-0.00081951+0.0017153i,0.00063663+0.0021073i,0.0018+0.0014415i,0.001024+0.00018631i,0.00027096-0.00018817i,0.00035052+0.00023257i,-3.9827e-05+0.00014768i,0.00012711+0.00021523i,0.00012319+0.00074333i,-6.2325e-05+0.00060832i,-0.00022926+4.2791e-05i,-0.0005497-0.00010018i,-9.0236e-05+0.00013022i,0.00029934+0.00015884i,0.00025068+7.8109e-05i,0.0005455-0.00066268i,0.0005818-0.00055896i
-0.0011137-0.00085288i,-0.00038836+0.00016954i,-0.00066179+0.0011879i,-0.00063346+0.00096529i,-0.00039701+0.00079038i,-0.00082187+0.00029841i,-0.0005988-0.00042803i,0.00056579-0.0011089i,0.00088785-0.0011923i,0.0011272-0.00032256i,0.0011624+0.00015253i,0.00045534+0.0002221i,-5.7355e-06-0.00017758i,-0.00050912-0.00076764i,-0.00045238-0.00016898i,0.00042978+0.00043779i,0.00044928+0.00051232i,-0.0003202+0.0001059i,-0.00085473-0.00027604i,-6.5143e-05-0.00049117i,-0.00041564-0.00019379i,-0.00039388+0.00013716i,0.00068546-0.00014512i
0.00013445+0.00034124i,0.00066973+0.00081688i,0.0002499+0.0011068i,0.00014394+0.0012448i,0.00049013+0.0010775i,-8.0568e-06+0.00077479i,-0.00093949+0.00012692i,1.7737e-05-0.00046251i,0.00065741-0.00050971i,0.00026893-0.00053367i,0.00015556-0.00063587i,-0.00045373-0.00044097i,-0.00055462-4.3968e-05i,-7.4658e-05-0.00057049i,-3.533e-05-0.00067216i,-0.00057153+8.863e-05i,-0.00096105-6.0118e-05i,-0.00028193-0.00021676i,0.00017812-0.00024277i,0.00016645-0.00066099i,0.00040625-0.00024585i,0.00014796+0.0004704i,-0.00013408+0.000271i
-0.00056289+0.0015858i,0.0004938+0.0016446i,0.0010005+0.0010636i,0.00074669-0.00013117i,0.00065358-0.00073954i,0.00026228-0.00037455i,-0.00052846-0.00033574i,-0.00085428+0.00044802i,0.00012773+0.00094823i,0.0004993+0.00013057i,0.00010459-2.2971e-06i,0.00053347+0.00018871i,0.00056146-0.00015753i,-0.00044332-0.00039299i,-0.00042676-0.00056923i,0.00036159-0.00064332i,0.0004859-0.00069223i,2.5842e-05-0.00086025i,7.7999e-05-0.00098813i,0.00086773-0.00067068i,0.00093279-3.8851e-05i,0.00062145-0.00026955i,0.00044623-0.00028137i
-0.0007649-0.0018706i,-0.0013591-0.001537i,-0.0031705-0.00032393i,-0.0031832+0.0015696i,-0.0015663+0.0025346i,-0.00050446+0.0023757i,8.9245e-05+0.0011923i,0.00053244+0.0003937i,0.00066374+0.00043575i,0.00086625-0.0002006i,0.00044722-0.0011377i,0.00031598-0.00083515i,0.00032919+0.0001038i,0.00054923+0.00035334i,0.00033885-0.00027026i,-0.00071332-0.00068524i,-0.00050072-0.00039489i,-0.0001651+0.00031211i,-0.00020866-8.7033e-05i,5.9589e-05-0.00089785i,0.00029819-0.00078992i,0.00021789+0.00083387i,0.00015477+0.00174i
0.0010869+0.00046293i,0.0020444-0.00037876i,0.0022274-0.00091074i,0.0010842+0.00011935i,-0.00010443-0.0001014i,-0.00085753-0.0012448i,-0.00072873-0.00064324i,0.000294+0.00064745i,0.00019591+0.00065644i,-0.00057483+0.00035977i,-0.00050737-9.049e-05i,-0.00023779-0.00060026i,-7.0605e-05-0.00059309i,0.00025775-0.00051304i,0.00022826-0.00050246i,0.00046282-0.00010849i,4.4772e-06-0.00010793i,-0.00057503-0.00076819i,8.0267e-05+9.1824e-05i,0.00046985+0.0010389i,-2.7695e-05+0.00091542i,-1.7329e-05+0.00076325i,0.00073022+0.00054137i
-0.0019746-4.9197e-05i,-0.0020582+0.002455i,-0.0016564+0.003821i,-0.00069173+0.0027987i,-0.00011981+0.0019557i,0.00037249+0.0021142i,0.00051013+0.00094084i,0.0004519-8.2687e-05i,0.00020192+8.6307e-05i,-0.00017269+0.00046403i,-0.00040541+0.00059974i,0.00028385+0.00070357i,0.00054442+0.00019231i,-0.00014001-0.00063525i,-0.00061656-0.00081082i,-0.00077952-0.00090073i,-0.00081451-0.0006646i,-0.00025715-8.8841e-05i,0.00018596+0.00017203i,-1.1877e-05+2.5532e-05i,-0.00046514-0.00016376i,-0.00031463-0.00023108i,0.00020163-0.0003856i
-0.00010285+0.0016937i,-0.00043688+0.00024828i,0.00063934+0.0001358i,0.00065517+0.0013072i,0.00025284+0.00047918i,0.00055046-0.00094378i,-0.00010477-0.00072963i,-0.00041595-0.00034561i,4.9836e-05+0.00016604i,0.00070752-0.00010921i,0.00095171-0.00050019i,0.0010746-0.00068467i,0.0010662-0.00062409i,-9.2204e-05-0.00029636i,-0.00058703-0.0008402i,0.00029173-0.00087928i,0.00074155-0.00062041i,0.00068531-0.00053796i,0.00010953-0.00071095i,-0.0010162-0.00054171i,-0.001442+7.3019e-05i,-0.0010537+0.00069786i,-0.00077413+0.00079359i
8.2748e-05-1.4611e-05i,-0.00075461+0.0022671i,-0.00016473+0.0033821i,0.00021481+0.0027325i,-0.00012635+0.0012324i,-0.00041787+0.00019618i,-0.00077598+0.00032974i,-0.00029643+0.00040155i,0.00045098+0.00018138i,0.00095619-0.00014334i,0.0005889-0.00033572i,-5.4856e-06+5.1692e-05i,0.00057547+0.00055167i,0.00070524+0.00055634i,7.116e-06+0.00021173i,1.0931e-05-0.00066904i,9.1728e-05-0.0011448i,-0.00027764-0.00074039i,-0.00075255-0.00027223i,-0.00070675+0.00013285i,-0.00028185+0.00088583i,-0.00067409+0.00078109i,2.8058e-05+5.0794e-05i
0.00012743-0.0017984i,-0.00065307-0.0003121i,-0.0016531+0.0003357i,-0.0018158-0.00063739i,-0.0018749-0.00059887i,-0.0013977-0.00036746i,-0.00076654-0.00049406i,-0.00030138-0.00032894i,0.00031791-0.0002221i,0.00059517-6.0262e-05i,0.0006731+6.9152e-05i,0.0007326+0.00033819i,0.00030215-5.9772e-05i,3.2914e-05-0.00051302i,-0.00023601-0.00049879i,-0.0005346-0.00066439i,-1.1476e-05-0.00085345i,7.7696e-05-0.00063468i,-0.00056807-0.00074103i,-0.00085324-0.00012533i,-0.00062842+0.00015659i,-0.00021451-0.0003495i,0.00030493-0.00059117i
-0.0021172-0.00012964i,-0.0023311+0.00048799i,-0.0018982+0.0025097i,-0.00081574+0.0040759i,0.00089335+0.0037136i,0.0015495+0.0029627i,0.00090819+0.0016363i,0.00054094+0.00029013i,0.00077398-0.00032961i,0.00058775-0.0006558i,-7.3403e-05-0.0011475i,-0.00015243-0.00088756i,-1.7547e-06-0.00065391i,0.00041765-0.0011928i,0.00085561-0.0013012i,0.00044292-0.00098503i,0.00016349-0.00021184i,-0.00039745+0.00057087i,-0.00095341+0.00033426i,-0.0013179+0.0005386i,-0.0012271+0.00065078i,-0.00062989-0.00064749i,0.00010345-0.0009241i
0.00070921-0.0012416i,0.0019423+4.0326e-05i,0.00016418+0.0005513i,-0.0020863+0.00066327i,-0.0020381+0.0019105i,-0.00054125+0.0017158i,0.00045554+0.0002981i,0.0010041-0.00081548i,0.00098668-0.00017868i,0.0006946+0.0004919i,0.00021776-0.00016543i,0.00013665-0.000462i,-0.00015484+2.0768e-06i,-0.00047759-0.00020448i,-0.00040902-0.0007667i,-0.00010012-0.00066387i,0.00029906+8.273e-05i,0.0005335+0.00025125i,0.00032555-1.7332e-05i,-0.0001064+0.00015816i,-0.00020973+0.00049026i,0.00015894-2.5621e-05i,6.9384e-05-0.00043476i
0.0019367-2.4136e-05i,0.0019165+0.00060134i,0.0021274+0.0003959i,0.0020981-0.00043971i,0.00082675-0.00083176i,-0.00020787-2.153e-05i,-0.00024632+0.00032746i,-0.0003156+0.00060333i,-0.00020275+0.00086799i,0.00021201+0.00020709i,0.00013025-7.1512e-05i,0.00015087+0.00046957i,0.00015962+0.00054163i,5.4033e-05+0.00020515i,0.00016857+9.1232e-05i,0.00049289-0.00022176i,0.00096869-2.0909e-05i,0.00040552+8.7714e-05i,1.3658e-05-0.0005055i,0.00033285-0.00067338i,0.00061325-0.00054163i,0.00078943-9.278e-05i,0.00019887-0.00028166i
