-0.0032716+0.00019657i,-0.0027645-3.968e-05i,-0.0024879+0.00071044i,-0.0016713+0.001519i,-0.00055024+0.0022394i,-0.00049606+0.0022832i,-0.0010258+0.0018278i,-0.00070143+0.0011324i,-0.00098483+0.00077384i,-0.00045762+0.00091101i,0.00095987+0.00044012i,7.5622e-05+4.5929e-05i,-0.0014535+0.0002603i,-0.0021621-0.00018532i,-0.0019978-0.00063653i,-0.00041082-0.00088349i,0.00064632-0.00080068i,0.00072902-0.0010808i,0.00031762-0.0009482i,-6.4439e-05-0.00058481i,0.00031435-0.0010955i,0.00011682-0.0011708i,-0.00057309-0.00025509i
0.0013998+0.00069659i,0.0016868+0.00048736i,0.00061285+0.00071451i,2.4522e-05-0.00013123i,-0.00040864-0.0016911i,-0.00045446-0.0029508i,-0.0007153-0.0032115i,-0.00040467-0.0026681i,-2.8462e-05-0.0015789i,-0.00027251-0.00041826i,-0.00021324+0.00085125i,0.00032799+0.0014807i,0.00053945+0.0014906i,0.00023436+0.00052596i,0.00057922-0.00031944i,0.00070461-0.00011807i,-8.312e-05+0.00090917i,-0.00035878+0.00080538i,-0.00025429+0.00037503i,0.00024497+0.00057977i,0.00076663-0.00019717i,0.00067455-0.00063986i,0.00013063-0.0003285i
-0.0010726-0.0017346i,-0.00077902-0.0015572i,-0.00086967-0.00048119i,-0.00091459-0.00024603i,-0.00090435-0.0013282i,-0.00082431-0.0018971i,-0.00032896-0.0012991i,-0.00034421-0.00062983i,-0.00073657-0.00035943i,-0.0011403+0.00032845i,-0.00079088+0.0010843i,9.4792e-05+0.0010761i,0.00021067+0.0002949i,2.2131e-05+2.6974e-06i,-0.00033225-0.00016042i,2.4808e-05-0.00078006i,0.00054689-0.00059925i,0.00039071-0.00018796i,0.0009273-0.00010245i,0.00066051-2.1673e-05i,-0.00032495+0.00011014i,-0.00040876-4.9198e-05i,-0.00016358+0.00053029i
0.002996-0.0006727i,0.0017884-0.00048162i,0.00055094-0.0012726i,-5.5207e-05-0.0022224i,-0.00049222-0.0027025i,-0.00061742-0.0024101i,-0.00084332-0.001267i,-0.00048475+0.00013973i,0.00033611+0.00076579i,0.00057936+0.0002524i,1.8451e-05+0.00011736i,-0.00040161+6.9881e-05i,0.00017198-9.8633e-06i,0.00079466+5.7158e-05i,0.0010219+0.000338i,0.00039528+0.00075271i,2.2507e-05+0.00050828i,0.00030531+0.00030709i,0.00021518+0.00021218i,-0.00017061-0.00017706i,-0.00044279-0.00041121i,-0.00066366-0.00074823i,-0.00022176-0.00057499i
-0.002015-0.00085785i,-0.0018213-0.00068326i,-0.0014355-0.00041186i,-0.0010509-0.00040632i,0.00013501-0.00081048i,0.0012606-0.0010433i,0.00093701-0.0015226i,0.00040949-0.0011541i,-1.6976e-05+0.00017717i,-0.00032844+0.00051373i,-0.00031434+0.00029112i,-0.00048612+0.00014011i,-0.00078047+1.6595e-05i,-0.00047991+2.1928e-06i,-0.00063672+0.00048757i,-0.00095564+0.00069912i,-0.00089269+0.00023322i,-0.00034623-9.7454e-05i,-0.0005307-0.00021157i,-0.00091435-0.00071335i,-0.00050149-0.00083459i,-0.00049751-0.0003848i,0.00011822+5.0237e-05i
0.0014173-0.0015468i,0.00042849-0.00093332i,-0.00033494-0.00050143i,-0.00071484-0.00085662i,-0.00033544-0.0011964i,-0.0004261-0.0019611i,-0.00042269-0.0018686i,0.00016783-0.0010498i,6.1203e-05-0.00090878i,-0.00028533-0.00024206i,-0.00046504+0.00087625i,-0.00016392+0.0018709i,-0.00024123+0.0014238i,-0.0011896+0.00046439i,-0.0016299+0.00012996i,-0.00144+0.00032393i,-0.0005716-0.00037176i,-0.00047175-0.00014913i,-0.00036548+0.00023798i,0.00025115-0.00027401i,0.00033553-0.00065484i,-0.00032921-0.00057985i,-0.00060619-0.0002875i
0.0015463+0.00029951i,0.00047378-0.0010785i,4.027e-05-0.0011389i,-0.00051721-0.00036666i,-0.0015846-0.00071999i,-0.0022202-0.0015922i,-0.0013943-0.0017946i,-0.00062922-0.00063045i,-0.00028597+0.00056734i,-0.00010927+0.00065836i,0.00026183+0.00074725i,0.00055328+0.00036805i,0.00043745-0.00012384i,0.00027142-3.3085e-05i,-0.0001138+4.7089e-05i,-8.8169e-05+0.00031169i,-0.0001078+0.00095702i,-0.00010631+0.00093721i,0.00050954+0.00056291i,0.00077058+0.00049339i,-0.0002797-0.00028894i,-0.0013364-0.00026209i,-0.0011425+9.7565e-05i
-0.001458-0.0014962i,-0.00068228-0.0013793i,1.2305e-05+0.00015899i,-0.000187+0.00064036i,-0.001136-0.00062187i,-0.0016129-0.0021081i,-0.001296-0.0017521i,-0.00050109-0.00066894i,0.00060461-0.00011588i,0.00034978+0.00036793i,-0.00050209+0.0003387i,-0.00068757-0.00046397i,-0.0001334-0.0012973i,0.00039484-0.0014638i,0.00025525-0.0010181i,0.00025019-0.00047832i,3.2102e-05+0.00026659i,0.00033047-0.00017211i,-0.00012031-0.00099843i,-0.00059256-0.00035379i,-0.00052617+9.1397e-05i,-0.00061409+5.7514e-05i,-0.00077734-0.00010616i
-0.00018164+9.9717e-05i,0.00038022-0.0006189i,0.0007934-0.00084315i,0.00056564-0.0016801i,0.00079308-0.0025613i,-3.1089e-05-0.002939i,-0.00082512-0.0025989i,-9.5869e-05-0.0011121i,-0.00026402-0.00035928i,-0.00023328-0.00050193i,-1.691e-06+0.00016504i,-0.00066866+0.0013327i,-0.0016229+0.0015526i,-0.0015296+0.00014365i,-0.000751-0.00085393i,-0.00012263-0.00016628i,0.00097155-8.3767e-05i,0.0010349-0.00012731i,0.00015154+1.8445e-05i,-0.00021388-0.00055633i,0.00032356-0.00036043i,0.00044796+0.00067901i,1.7313e-05+0.00088519i
-9.738e-05-0.0012165i,-0.00046268-0.0019961i,-0.00050831-0.0026817i,-0.0011435-0.0020623i,-0.0021176-0.00069473i,-0.0022811-7.7314e-05i,-0.0011284-0.0010986i,0.00010876-0.0010658i,0.00051856-0.00053857i,2.2423e-05-0.00015962i,-0.00091652+3.3276e-05i,-0.0012203-0.00029322i,-0.00055929-0.00039177i,0.00023061-0.00067167i,0.00036524-0.00013767i,-6.2924e-05-3.6184e-05i,4.7331e-05-5.1106e-05i,0.00024727+0.00047834i,9.0711e-06+0.0001039i,-0.00042488-0.00016529i,-0.00017845-0.00046791i,-5.4169e-05-0.0002313i,-0.00064876+0.00049146i
0.0009563-0.00030707i,0.00024971-0.0017444i,-0.00010168-0.0012388i,0.0002745-0.0012282i,0.00040661-0.0024058i,0.00014173-0.0031081i,0.00063402-0.002637i,0.00098129-0.0012964i,0.00014396+0.00034317i,-0.00040048+0.0011265i,-0.00015647+0.00059268i,0.0004618+0.00026917i,0.00051928-8.5163e-05i,-0.00014942-7.1761e-05i,7.04e-05+0.00075143i,-0.00016012+0.00080884i,-0.0010802+0.00020791i,-0.0011018+3.9798e-06i,-0.00045281-0.00016218i,-0.00016348+0.0007601i,-0.00065438+0.0014841i,-0.00068176+0.0012508i,-5.2807e-05+0.0005984i
0.002101+0.0015436i,0.0016179+0.00079614i,0.0021883-0.00031563i,0.0016509-0.001198i,-7.388e-05-0.001795i,-0.00054539-0.003281i,-0.00032235-0.0031632i,0.00028236-0.0015072i,0.00054549-0.00058815i,0.00048353-0.00021681i,0.000418+0.00043933i,-0.0001606+0.00071611i,-0.00046431+0.00085352i,-0.00039809+0.0011593i,-0.00070474+0.00098726i,-0.00020751+0.00040441i,0.00018496-6.0582e-05i,0.00011894-0.00028702i,0.00017989-0.0001528i,-0.00019176-8.033e-05i,-0.00091386+0.00027673i,-0.00023466+0.00074038i,3.1825e-05+0.00068425i
0.00027711+0.00043702i,0.00023382+0.00013808i,-0.0001761-0.0006129i,-1.8453e-05-0.0023008i,-0.00020208-0.0027345i,-0.00053279-0.0026063i,-0.0006196-0.0020543i,-0.0015018-0.0017045i,-0.00073441-0.0014444i,0.00068634-0.00057893i,0.00026445+0.00032521i,-0.00027182+0.0012061i,-0.00062173+0.0012966i,-0.00020231+0.00014898i,0.0003912-6.2091e-05i,0.00019759+0.00047651i,-0.00024958-0.0001179i,-0.00043618-0.00072049i,-0.00055236-0.00036476i,-0.00077033+0.00035585i,-0.00085283-4.1055e-05i,-0.00033367-0.00025675i,0.00013464+0.00056228i
0.0038882-0.0020565i,0.0024452-0.0031359i,0.0010154-0.0030554i,-0.00070618-0.0021524i,-0.0018204-0.0017219i,-0.00084742-0.0017783i,0.00017035-0.0011053i,-0.00017553-0.0004803i,-0.00048031-0.00068684i,-0.00027793-0.00048002i,-0.00098398-0.00018852i,-0.0013242+4.6485e-05i,-0.0004269+4.2792e-05i,0.0007037-1.1259e-05i,0.0010731-0.00050807i,-0.00018727-0.00030028i,-0.00049452+0.00034443i,-0.00033679+0.000188i,-0.00089299-0.00026478i,-0.00050834-0.00017376i,-0.00013027-0.00034924i,-4.7521e-05-0.00016855i,0.00075994-0.00025552i
-0.00075468-0.00072204i,-0.0012419+0.00011377i,-0.0016632+0.00013635i,-0.0013108+0.00061817i,0.00021913-0.00021042i,0.0010999-0.0015327i,0.00069283-0.0018227i,0.00054614-0.00038606i,0.00017837+9.7734e-05i,8.8887e-05-4.5097e-05i,-7.6414e-05+0.0012468i,-0.00058302+0.0014853i,0.00017283+0.00093216i,0.00095736+0.00039315i,0.0013202-1.9047e-05i,0.00090861-0.00031947i,0.00046927-0.00067111i,0.00020902-0.0005115i,-0.00037147-0.00018517i,-0.0005082-0.00078305i,-1.4641e-05-0.0009184i,-4.6746e-05-0.00049165i,-0.00048089+4.5653e-05i
0.00079276+0.0014172i,0.001397-0.0008299i,0.0024299-0.0010878i,0.0023756-0.0014507i,0.0011077-0.0029236i,-0.00040224-0.0028022i,-0.00089337-0.0016348i,-0.00039654-0.00092352i,7.9662e-05-0.00083408i,0.00026084-0.00068557i,5.856e-05-0.00020042i,9.9376e-05-0.00020026i,-5.0681e-05+0.0010355i,-9.4464e-05+0.0021369i,0.00044745+0.0017436i,0.00084772+0.0010519i,0.0007587+0.00085052i,0.0004754+0.00082083i,0.00022174+0.00049213i,0.00013819+7.1218e-05i,0.00043452-4.7709e-05i,-0.00022733+0.0005427i,-0.00086612+0.00035473i
0.00012358-0.0017522i,-0.00060529-0.0016512i,-0.0016492-0.0014237i,-0.0021038-0.00044939i,-0.0012754-0.00034105i,-0.00089491-0.00075124i,-0.00039547-0.0019442i,0.00014835-0.0024325i,-0.00026497-0.0010704i,-0.0010348+6.6593e-05i,-0.00049054+0.00047309i,0.00051809+0.00031722i,0.00063433+0.00013956i,0.00068143+9.9663e-05i,0.00093425-0.00036301i,0.00038742-0.0003533i,0.00023747+0.00073869i,0.00063358+0.0010429i,-9.3805e-06-0.00011014i,-0.00092135-0.00018919i,-0.00044048+0.00023236i,0.00020271-0.0001988i,0.00038098-0.00055487i
0.0026631-0.0015293i,0.0019562-0.0020059i,0.00053823-0.0016602i,0.00019635-0.0007714i,-0.00077462-0.00081838i,-0.0017729-0.0016696i,-0.0021984-0.002021i,-0.0015221-0.0013415i,-0.00089458-0.00031534i,-0.0009076-1.1675e-06i,-0.0007639-0.00019084i,-0.0006522-0.00014637i,-0.00046295-0.0001117i,0.00027005-9.6375e-05i,0.0012544+3.8463e-05i,0.0013947+0.00011574i,0.00076544+0.0002088i,-0.00027015+0.00037894i,-0.00028035+0.00044508i,-0.00010225+0.00050368i,-5.7156e-05+0.0002035i,0.00042914-0.00029859i,0.00031735-0.00084548i
0.00032918-0.0016344i,-0.00078284-0.00035058i,-0.0012612+0.00061455i,-0.00038936+0.00089195i,-0.00076645+0.00044933i,-0.0014596-0.0011037i,-0.00023984-0.0013823i,0.00044694-0.00087929i,-0.00043728-0.00096549i,-0.00089939-0.00064942i,-0.00061019+0.00017724i,-0.00056501+0.00052411i,-0.00073631+0.00027621i,-0.00033106+0.00028486i,-0.00055723+0.00037974i,-0.0010126+0.00042946i,-0.00049081+0.00099944i,0.00031175+0.00083634i,0.00083786-0.00011896i,0.00099735-0.00024665i,0.00078995-3.7468e-05i,0.00032031+0.00012135i,0.00092752+0.00020243i
0.0012824-0.0002228i,0.0019288-0.00097122i,0.0013863-0.0030481i,-8.1556e-05-0.003743i,-0.00044772-0.0022403i,0.00039468-0.0015279i,0.00083567-0.0016002i,0.00058952-0.0014152i,-0.0003238-0.00063228i,-0.00096372-0.00038976i,-0.00039225+3.7856e-05i,0.00033655+0.00046246i,0.00080771-0.00022964i,0.00055726-0.00070647i,0.00019286+4.1706e-05i,0.00031122+0.00046336i,0.00059313-6.7205e-05i,-0.00018535+0.00026351i,-0.00097162+0.000849i,-0.00071361+0.00031202i,0.00012125+0.0003416i,0.0001031+1.4193e-05i,-0.00054622-7.4275e-05i
-0.0018327+0.0018992i,-0.001309+0.0026879i,0.00030668+0.002542i,0.00021598+0.001333i,-0.00025605-0.00026183i,0.00017958-0.0015076i,-0.00022713-0.0019189i,-0.0011643-0.00096881i,-0.0013198+0.00027514i,-0.0006158+0.00042918i,5.1868e-05+0.00036413i,-8.1419e-05+0.00052089i,-0.0006925+0.00056472i,-0.0010289+0.00040871i,-0.00071174+0.00027146i,7.4706e-05+0.00030305i,0.00023787-0.00011442i,-0.00053331-0.00010608i,-0.00037248-0.00034051i,0.00037361-0.0005441i,0.00095869-0.00098174i,0.0010129-0.00088025i,0.00034752-8.4361e-05i
-0.0014767-0.0031206i,-0.002494-0.0023327i,-0.002937-0.0021232i,-0.0022362-0.0016529i,-0.0015873-0.0010203i,-0.0011272-0.0013152i,-0.0007076-0.0010389i,-0.0011099-0.00068472i,-0.00054823-0.0011595i,0.00019765-0.001179i,-8.0477e-05-0.00021103i,-0.0003111+0.0011154i,-0.00035179+0.001164i,-0.00037658+0.00035848i,-0.00033216+0.0004695i,-0.00015359+0.0004008i,-0.00033654+3.8019e-05i,-0.00029667+0.00022406i,0.00012934-8.2977e-05i,-0.00013588-0.0009378i,-0.00027832-0.00050453i,-4.3381e-05-0.00027686i,0.00049304-0.00058737i
0.0014105-0.00079504i,0.002448-0.0026039i,0.0021492-0.0035325i,0.0011123-0.0028035i,-0.00047905-0.0019112i,-0.00068537-0.0023417i,1.7635e-05-0.0019896i,5.5337e-06-0.001257i,0.00010523-0.00033518i,-0.00083851+0.00056955i,-0.0013885+0.0013722i,-0.0004889+0.001029i,0.00057519+0.00039698i,0.00078075-6.5678e-05i,0.00012369-0.00032228i,-0.00059348-0.00027729i,-0.00046591-6.0693e-06i,0.00050258-0.00057002i,0.0010327-0.00043764i,0.00077985+0.00015252i,0.00016795+0.00045486i,-0.00033805+0.00061282i,-0.00070939+0.00041987i
0.0011291+0.0014266i,0.00037056+0.0019472i,-0.00042757+0.0011928i,-0.0010282-0.00017198i,-0.00085855-0.00090155i,-0.0008915-0.0014529i,-0.00057564-0.0019749i,-0.00012822-0.0021568i,-0.00016204-0.001628i,0.00035236-0.0010915i,0.00019294-0.00026398i,-0.00017823+0.00015547i,0.00033402-8.799e-05i,0.00087624-0.00044532i,0.00076917-0.00020967i,7.4535e-05-7.2133e-05i,-0.00050659+0.00080896i,-0.00029438+0.0013784i,0.00015979+0.00025678i,-0.00020419-0.00033271i,6.5521e-05+0.00012593i,-0.00020803+0.0005417i,-0.00068013+0.00036764i
0.0011522+0.00014313i,0.0011793-0.00096306i,0.00077249-0.0010349i,0.00049228-0.00039959i,0.00058461-0.0010613i,0.00035461-0.0019689i,1.0521e-05-0.0020518i,-0.00040608-0.0015961i,-0.00080417-0.00094611i,-0.00021643+0.00012951i,0.00030062+0.0010504i,0.00017615+0.0010323i,-0.0003554+0.00064126i,-0.00075388+0.00067291i,-0.0006561+0.00082839i,-0.00084301+0.00072359i,-0.00080789+0.00011037i,-0.00031834-0.00057014i,-0.00033471-0.00070639i,-0.00032204-0.00037446i,5.913e-05-0.00020101i,0.00026144+0.00028907i,0.00023395+0.00014967i
0.002169-0.0004324i,0.0022797+0.00017858i,0.001725-0.0010383i,0.00031412-0.0019859i,-0.0010575-0.0016469i,-0.0011942-0.0016926i,-0.00062293-0.0019273i,-0.00016939-0.0014614i,-0.00017445-0.00072284i,-0.00049281+0.0001372i,-0.00026578+0.00062912i,0.00023274+0.0010257i,0.00015391+0.00079702i,0.00039396+0.00023975i,0.00036807-0.00019743i,-0.00016174-0.00030832i,6.926e-05-0.00017671i,0.0006877-0.00060499i,0.00060346-0.00048331i,0.00010863+0.00038194i,-0.00042383+0.00013084i,-0.00033978-0.00029323i,-0.00033077+8.9026e-06i
-0.00046864-0.0013159i,-0.0012072-0.00175i,-0.0010208-0.0022735i,-0.00086507-0.0026171i,-0.00058359-0.0026978i,0.00079449-0.0025615i,0.0013377-0.0020556i,0.00028224-0.00047104i,-0.00013132+0.00050362i,-0.00029264+0.0002478i,1.6901e-05+0.00070917i,0.00025169+0.001514i,-0.00021124+0.0010965i,-0.00029975+0.00049267i,0.00032044+0.0003473i,0.00011385+0.00016937i,-0.00038275-0.00012371i,0.00022742-0.00020859i,0.00041827-0.00038625i,-0.00044312-8.4719e-07i,-0.0010343-0.00033208i,-0.0007928-0.00033962i,-0.00070334+0.00016885i
0.00026227-0.00043504i,0.00073247-7.6454e-05i,0.00093526-0.00051838i,-6.5086e-05-0.0004161i,-0.00070087-0.00016719i,-0.00062382-0.00070336i,0.00010907-0.00096675i,0.00038406-0.0011277i,-1.4302e-05-0.0012882i,-0.00033175-0.00084526i,-0.00069736+0.0001251i,3.3412e-05+0.00090629i,0.00087372+0.00066907i,0.0006827+0.00020841i,2.7583e-05-1.8569e-05i,-0.00010035-0.00017937i,0.00053523+1.6008e-05i,9.0848e-05+0.00011365i,-0.00026811-0.00011083i,0.00041359-0.00012495i,0.00049858-0.00015601i,0.00041955-7.4163e-05i,0.00054135+2.1847e-05i
-0.00067269+0.0031126i,-0.00010626+0.0014239i,0.0003225-0.00028596i,0.0011414-0.0016262i,0.0013763-0.0028617i,-0.000289-0.0033923i,-0.00055076-0.0026097i,0.00012182-0.00059057i,-0.00028283+0.00018137i,-0.00056973-0.00062592i,0.00018364-0.00049007i,0.00055204+0.00025434i,0.00058824+0.00068161i,0.00058458+0.000695i,1.5293e-05+4.4276e-05i,0.00050297-0.00075138i,0.00068528-0.00091518i,0.00045782+0.0003103i,0.00042035+0.00075081i,-0.00020134+0.00045481i,-0.00036715+3.2312e-05i,4.5861e-05+5.9379e-05i,0.00030138+0.00035819i
0.00062055+0.00078557i,0.0020076-9.3448e-05i,0.0023219-0.00068007i,0.0019851-0.0012097i,0.0012634-0.00079555i,0.00055685-0.00018791i,0.00058409-0.00072475i,0.00071538-0.00083086i,0.00025223-0.00014378i,0.00021473+0.00047223i,1.1972e-06+0.0010983i,-0.00020764+0.0010043i,-0.00033644+0.0006095i,-0.00059359-0.00018611i,-0.0002501-0.00060795i,-0.0001924-0.00023865i,-0.00063505-0.00041977i,-0.00052023+1.6975e-05i,-5.3503e-05+0.00013132i,-0.00059366-0.0003542i,-0.0012653+0.00014395i,-0.00097521+4.7512e-05i,-0.00086101+4.1531e-05i
-0.0013228-0.00074126i,-0.00084325-0.00077177i,-0.0015619-0.0011472i,-0.0016496-0.00093031i,-0.0014175-0.0019709i,-0.00039593-0.0030839i,0.00017333-0.0028944i,-3.1682e-06-0.0015931i,0.00016098-0.00052851i,-5.3868e-05-0.00019298i,-0.00069958-0.00012223i,-0.0010674-1.8929e-05i,-0.001244+0.00038688i,-0.0010772-0.00029469i,-0.00097025-0.0011221i,-0.00048211-0.00040965i,-0.00011227+0.00011972i,0.0001379+0.00072186i,0.00047445+0.0011749i,4.9673e-05+0.00039257i,-0.00051675-0.00029168i,-0.00078265-0.00074895i,-0.00029923-0.0002901i
0.0015323+0.00036961i,0.0020306+0.00016405i,0.0021409-7.0889e-05i,0.0023089+0.00019738i,0.0012171+0.0008326i,0.00082338+0.00096811i,0.00079024+0.00066214i,0.00053938+2.4147e-05i,-8.3807e-05-0.00016487i,-0.00011909-0.00081063i,0.00029948-0.00053335i,0.00015737+8.9111e-05i,0.00025502-0.00010436i,0.00025571-0.0001962i,0.00029269+0.00036695i,0.00059495+0.00090465i,3.6896e-05+0.00059543i,-0.00020939-0.00053626i,-0.00016555-0.0012699i,6.1598e-05-0.00050954i,0.0010108+0.00044897i,0.0013274+0.00028675i,0.0009095+0.00013942i
0.00039676+0.00037965i,0.0012274+0.00055333i,0.0008153-0.0012106i,-0.00069879-0.0023383i,-0.0019782-0.002215i,-0.0017744-0.0021123i,-0.0012666-0.0014032i,-0.00084088-0.00091653i,-0.00023563-0.00072321i,-0.00039848+0.00017989i,-0.00073141+0.0007134i,-0.00054704+0.00072991i,-0.00019113+0.00031375i,0.00038021-0.00033576i,0.00016988-0.00111i,-9.8696e-07-0.00088232i,0.00038094-8.4033e-05i,-0.00019572+9.7124e-05i,-0.00057916-5.6797e-08i,-6.5107e-05+0.00015796i,0.00027512+0.000821i,-0.00035714+0.0010406i,-0.00082372+0.00015576i
0.0025035-0.0044455i,0.0018653-0.005994i,0.00041768-0.0068794i,-0.0014521-0.0049283i,-0.0027595-0.0029797i,-0.0025971-0.0019383i,-0.00066053-0.001374i,0.00054129-0.00093311i,0.00065293-0.00014739i,-2.0598e-05-0.0002733i,-0.00042979-0.00043406i,-6.4392e-05+0.00048581i,0.00049816+0.00072515i,0.001035+0.00014901i,0.0012986+0.00016106i,0.0016522+0.0010978i,0.0012279+0.00059621i,9.2777e-06+0.00029964i,-0.00016851+0.00060704i,0.00040015+0.00044856i,0.00065387+0.00048516i,0.00043153+0.00021589i,-0.00034933+5.7641e-05i
-0.00865+0.0099813i,-0.0059231+0.012977i,-0.0011028+0.015392i,0.0032987+0.010019i,0.0057429+0.0028022i,0.004108-0.0038806i,-0.00010591-0.0051586i,-0.0017989-0.0022652i,-0.0012411+0.0003684i,0.0007004+0.0013731i,0.0019441+0.0010739i,0.00043626+0.00052334i,-0.0019731+0.00084383i,-0.0041337+0.00075661i,-0.0058723-0.0001414i,-0.0051322-0.0012222i,-0.0030039-0.0018392i,-0.0017337-0.0010796i,-0.00057502-0.00018233i,0.00014588+0.00035719i,-0.00091972+0.00011043i,-0.0018445-6.9404e-05i,-0.0019408+0.00068394i
-0.0019375-0.0036643i,-0.0021119-0.0036873i,-0.0018558-0.0015613i,-0.00035256+0.00057538i,0.0010587+0.0010041i,0.0016314-0.0002618i,0.0016007-0.001483i,0.00079443-0.00052928i,5.7247e-05+0.00078076i,-0.00045922+0.00087375i,-0.0011652+0.0011327i,-0.0014862+0.00035481i,-0.00099359-0.00054392i,-0.001264-0.00087588i,-0.0013269-0.00040063i,-0.00083782+0.0001853i,-0.00071822-0.00025639i,-0.00042046+0.00012481i,0.00036558+0.0011414i,0.00070789+0.00061291i,-0.00014291-0.00038914i,-0.00036917-0.00061875i,-0.00064315-0.00040375i
8.749e-05+0.0017132i,0.00042509+0.0021656i,0.0013685+0.0012428i,0.0017368-0.00036855i,0.001323-0.0022528i,0.001242-0.0038007i,0.00097688-0.0034699i,0.00055478-0.0014365i,-7.5115e-05+0.00037444i,-0.00073952+0.00069316i,-0.00057419+0.00052207i,-0.00018767+0.00035968i,8.7254e-08+0.00020436i,0.00020651-0.00037767i,0.00065954-8.2935e-06i,0.00072606+0.00060151i,-8.3519e-05-0.00037509i,-0.00052909-0.00086728i,-0.00012325-0.00047711i,0.00018527-9.5051e-05i,0.00060474-0.0010671i,0.00058939-0.0011776i,9.6853e-05+1.9789e-05i
-0.003317+0.00028189i,-0.0035615+0.0011426i,-0.002768+0.0020947i,-0.001756+0.0019225i,-0.00084689+0.00097445i,3.6183e-05-0.00052914i,-0.00012657-0.0009665i,-0.00032458-7.7365e-05i,-0.00046413+0.00057409i,-0.00070694+0.00059605i,-0.00014667+0.00054684i,4.3317e-05+0.00070444i,-0.0007732+0.00011926i,-0.001484-0.00014719i,-0.0010239+0.00022747i,-0.00058758+7.0975e-06i,-0.00060839-0.00046265i,-9.8732e-05-0.000317i,0.000405+0.00053012i,0.00017736+0.00079552i,0.00028372+0.00063931i,0.00069727-0.00010613i,0.00051708-0.00010705i
0.0042221+0.0010975i,0.0050225-0.00010681i,0.0045007-0.0013286i,0.00319-0.0018777i,0.0012134-0.0015008i,-0.00052933-0.0016669i,-0.00077128-0.0013927i,-0.0002314-0.00064775i,-0.00044411+5.3554e-05i,-0.00064563+0.0004463i,-0.0011873+0.00069167i,-0.0006138+0.00066466i,0.00084006+0.00021943i,0.00092543+1.4943e-06i,0.00013808+4.3459e-05i,-0.00086259+0.00025461i,-0.0011998+0.00022223i,-0.00071166+0.00014931i,8.183e-05+0.00047133i,0.0009552+0.00055546i,0.0013096+0.00043443i,0.00068693+0.00076335i,-0.00034475+0.00070756i
-0.0021654-0.0026738i,-0.0025495-0.0018082i,-0.001391-0.0016386i,-0.0010048-0.0020064i,-0.00095303-0.0024838i,-6.1026e-05-0.0022833i,0.00059597-0.0017335i,0.00046596-0.00025393i,0.00037347+0.00056617i,9.1366e-05+0.00084028i,-0.00055171+0.0010003i,-0.0012013+0.00046196i,-0.00089388-0.00039745i,-0.00027987-0.0013758i,1.8292e-05-0.0018761i,-0.00041541-0.00065059i,-0.00071909+0.00065742i,-0.00015045-0.00013919i,0.00031963-0.00092257i,-7.5558e-05-0.00059221i,-0.00069836-0.00056967i,-0.00066094-0.00037036i,-0.00045994-0.00016452i
0.0020352-0.0012198i,0.0021382-0.0013986i,0.00057429-0.0016375i,-0.001615-0.00027156i,-0.0026673-0.00016264i,-0.0024217-0.00070742i,-0.001764-0.0014609i,-0.00080897-0.0014647i,3.1149e-05-0.00030698i,0.00042031+3.1131e-05i,0.0001567-0.00026686i,0.00010665-0.00043594i,0.00041431-0.00048517i,0.0001571+6.7534e-05i,0.0002407+0.00015532i,0.0005219-0.00020615i,9.96e-05-6.8038e-05i,-0.00053263-0.00048668i,-0.00033858-0.0011064i,-5.4722e-05-0.00070956i,-0.00021428-0.00031869i,5.5475e-05-6.4194e-05i,0.00035079+0.00014356i
-0.0032475+0.001655i,-0.0034905+0.0024562i,-0.0021781+0.002022i,-0.00012014+0.00061419i,0.0010313-0.00076644i,0.0017449-0.0015927i,0.0011916-0.0017507i,4.0529e-05-0.0011712i,-0.000226-0.0008303i,-0.00080937-0.00056967i,-0.00064867+0.00060982i,-1.3227e-05+0.0013695i,-0.00031791+0.000505i,-0.00070741-0.0001328i,-0.00074493-0.00031857i,-0.00029444-0.00066915i,0.00019447-0.00030671i,-0.00047897-3.7301e-05i,-0.0010687-0.00035122i,-0.00087762-0.00022596i,-0.00027119+0.00043566i,0.00043371+0.0010938i,0.00053638+0.0010609i
0.0024236-0.0018333i,0.0018134-0.0026927i,-0.00052918-0.0026067i,-0.0017716-0.0017797i,-0.001154-0.0015441i,5.6579e-05-0.0028357i,0.00042152-0.0027344i,0.00011927-0.0011788i,9.2141e-05-0.00015927i,8.3744e-06-0.00016113i,-7.1757e-05-5.8116e-05i,-0.0004122+0.00024684i,-0.0002475+2.6141e-05i,0.00014731-0.00026161i,-0.00023405+8.9136e-05i,-0.00046582+0.00071615i,-0.00046058+0.00074382i,-0.00017636+0.00014638i,-0.00022678+0.00029454i,0.00017+0.00076761i,0.0003009+0.00081851i,0.0002907+0.00013168i,0.00025063-0.00026255i
