-0.0032716+0.00019657i,-0.0027645-3.968e-05i,-0.0024879+0.00071044i,-0.0016713+0.001519i,-0.00055024+0.0022394i,-0.00049606+0.0022832i,-0.0010258+0.0018278i,-0.00070143+0.0011324i,-0.00098483+0.00077384i,-0.00045762+0.00091101i,0.00095987+0.00044012i,7.5622e-05+4.5929e-05i,-0.0014535+0.0002603i,-0.0021621-0.00018532i,-0.0019978-0.00063653i,-0.00041082-0.00088349i,0.00064632-0.00080068i,0.00072902-0.0010808i,0.00031762-0.0009482i,-6.4439e-05-0.00058481i,0.00031435-0.0010955i,0.00011682-0.0011708i,-0.00057309-0.00025509i
0.0016305-0.00012093i,0.00074884-0.00047629i,-0.00033042-0.0012543i,-0.00080288-0.0010211i,-0.0016822-0.00058184i,-0.0016915-0.00054858i,-0.00098823-0.00050723i,-0.0005512-0.00043162i,-0.00014994+0.00014238i,-0.00042268+0.0004791i,-0.0009068+5.6796e-05i,-0.00078555-0.00062415i,-0.00037367-0.00021348i,-0.00043804+0.00070173i,-7.5291e-05+0.00095655i,9.9825e-05+0.00085765i,0.00011818+0.00058473i,0.00022856+0.00047029i,0.00048678+0.00074467i,0.0004412+0.00054113i,-3.3065e-05+9.1819e-05i,-4.578e-05-0.0006419i,0.0004787-0.00094889i
-0.0006469+0.0013282i,-0.00028867+0.00082922i,0.00030869+0.00080422i,0.0004223+0.00045304i,5.4644e-05-0.00038015i,-0.00083328-0.0012858i,-0.0012888-0.002146i,-0.0010546-0.0013275i,-0.00053328+0.0003282i,1.066e-05+0.0005336i,0.00023158+0.00029958i,0.00043599+0.00014721i,-0.000191-0.00016501i,-0.00086099-0.00040787i,-0.00049324-0.00065926i,-0.00056008-0.00043648i,-0.0010356-1.7818e-05i,-0.00067982-0.00026231i,0.00016341-0.00022081i,-0.00019014-0.00036836i,-0.0001807-0.00082595i,-0.0004294-0.00024328i,-0.0012192+0.00043759i
-0.00093367-0.0033251i,-0.0018018-0.0028571i,-0.0027791-0.00267i,-0.0029815-0.0017316i,-0.0022789-0.00066995i,-0.00062-0.0007248i,0.00075987-0.0016996i,0.00032992-0.0012548i,-0.00094524+0.00010058i,-0.00089243+9.0368e-05i,-0.00062208-0.00071791i,-0.00041861-0.00087357i,-0.0003205-0.001033i,0.00016813-0.00054972i,0.0012902+6.2976e-05i,0.0010486+0.00078329i,0.00084528+0.0007799i,0.0010796-7.0244e-05i,0.0002615-0.00085415i,-0.00087719-0.00064581i,-0.0010212-0.00016448i,-0.0001325-0.00011346i,0.00071394-0.00034958i
5.9909e-05+0.001999i,4.2439e-05+0.0019251i,-0.00024907+0.0020414i,-0.00062014+0.0013913i,-0.00044854-0.00059425i,-7.7852e-05-0.0019804i,-0.00031612-0.0018078i,0.00027302-0.0010466i,0.00051028-0.00032087i,-0.00055378+0.00014422i,-0.00061643+0.00087063i,-0.00013882+0.00012315i,-0.00058638-0.001202i,-0.0013334-0.00098762i,-0.0011505-0.0010477i,-0.00069249-0.001433i,0.00011134-0.00090498i,0.00034978+0.00040605i,2.3013e-05+0.00098494i,-0.00065773+0.00049411i,-0.00093086-0.00011458i,-0.00071936-0.00047047i,-0.00071689+0.00050188i
3.6176e-05+0.0018056i,0.00041827+2.2571e-05i,0.0010826+0.00054773i,0.00026574+0.00082831i,-0.0007595-0.00064975i,-0.0010409-0.0015789i,-0.000924-0.001932i,-0.00085814-0.0010616i,-0.00018419-0.00016179i,0.00038135-0.00078726i,0.00038549-0.00096148i,0.00044266-0.00033594i,0.00023826+0.00048403i,-0.00054839+0.00063775i,-0.0010271+0.00022263i,-0.00050075+0.00041205i,-0.00089647+0.00038036i,-0.0010026+0.0004443i,0.00018365+0.00044825i,0.00046245-8.1912e-05i,0.0005806-0.00010124i,0.00059179+1.7178e-05i,-0.0003074-0.00015151i
0.0024684-0.00066591i,0.00223-0.001199i,0.00066367-0.0024742i,-0.0016466-0.0028692i,-0.0023973-0.0032111i,-0.0022163-0.0036678i,-0.001178-0.0026303i,0.00026767-0.0015572i,0.00050558-0.0013785i,-0.00040042-0.00096407i,-0.0010364-6.3284e-05i,-0.00061675+0.0004545i,0.00023443+0.00064387i,0.00093859+0.00065139i,0.0013231+0.00012302i,0.0011319+1.5527e-05i,0.00079124-0.00011259i,0.00010643-0.00041534i,-0.00058473-0.00037473i,-0.00091107-0.00040868i,-0.00057153-0.00079724i,8.4018e-05-0.00074651i,0.00026169+0.00022253i
0.0001256+0.00050949i,-0.0014773-0.00013159i,-0.0016371-0.0011136i,-0.00055758-0.00056214i,-0.00079293-0.00063987i,-0.00083464-0.0016084i,-0.00094847-0.00169i,-0.00043615-0.0013953i,0.00043221-0.00026257i,0.0002639+0.00091441i,-0.00018757+0.00065202i,0.00028376+0.00056324i,0.0005955+0.00046327i,-5.2085e-05-0.00015449i,-0.00055146-0.00055405i,-0.00010543-0.00044592i,0.0001722-0.00029133i,-0.0002756-0.00028075i,-0.00056396-5.0444e-05i,-0.0002559+0.00044268i,-0.0003487+0.00019927i,-0.00063866-0.00053615i,-0.00022105-0.00033584i
-0.0012474+0.00024892i,-0.00099657+0.00048387i,-0.00069868+0.0018937i,-0.00057876+0.0015233i,0.00038742-0.00052599i,0.00079835-0.0017314i,0.00022194-0.0015363i,-8.0642e-05-0.0011484i,-0.0003969-0.00042904i,-9.3607e-05-1.3133e-05i,0.00021009+5.3831e-06i,-1.0938e-05-0.00029887i,-0.0010037-0.00037984i,-0.0021817-0.00086818i,-0.0016983-0.0011998i,-0.00052623-0.0010183i,-0.00016565-0.00097531i,-0.0004723-0.0005106i,-5.1569e-05-0.00012222i,0.00016354+0.00054848i,-8.6429e-05+0.00084919i,5.0418e-05+0.00040912i,0.00011274+0.00030987i
0.0012296+0.00018241i,0.00078554+0.00063692i,0.001463+0.00051578i,0.0021806-0.00044864i,0.0014659-0.00086432i,0.00027095-0.00092646i,-0.00037043-0.0008696i,-0.00075242-8.7879e-05i,-0.00096675+0.00022908i,-0.00055574-5.6152e-06i,0.00032295-0.00012541i,0.00042632-0.00011435i,4.7367e-05+0.00011854i,-0.00016499+5.9807e-06i,-0.00019919+0.0001335i,-0.00018042+0.00041789i,0.00023311+0.00048756i,0.00048245+0.00056292i,0.00068928+6.8824e-05i,0.0006845+0.00010798i,-5.2265e-05+0.00092417i,-0.00064754+0.00098372i,-0.00088461+0.0004997i
-0.002239-0.00077143i,-0.0020899-0.00066182i,-0.0022365+0.00099085i,-0.0015967+0.00067489i,-0.00045397-0.00027548i,-0.00028726-0.00045675i,-0.00012402-0.0017823i,0.00024994-0.0026244i,0.00019685-0.0016112i,-7.113e-05-7.8117e-05i,-0.00020425+8.0944e-05i,-0.00025424-0.000221i,-0.00029556-0.00034221i,-0.00042324-9.2204e-05i,-0.0003297+0.00022192i,-0.00019391-0.00019973i,-0.0006827-0.00058351i,-0.00035663-0.00010648i,0.00014094+0.00048213i,-0.00013937-5.7967e-05i,-0.00029774-0.00060681i,-0.00090688+0.00015574i,-0.0013307+0.00092812i
