0.0013188+4.053e-05i,0.00031391-0.0013898i,-0.00035339-0.0025185i,-0.00076244-0.0017577i,-0.00025329-0.00063552i,0.00068256-0.00010064i,0.00086826+0.00021646i,0.00071913+0.00080968i,0.00032596+0.0012784i,-0.00069951+0.00067587i,-0.00057962+0.00023467i,-0.00035289+0.00054139i,-0.0003388+0.00066406i,0.00032871+0.00024332i,0.00059613-0.00015177i,0.00049903-0.00020336i,0.00067494-7.1192e-05i,0.00058523+0.00037451i,-5.4653e-05+0.00016262i,-6.428e-05-0.00013442i,0.00021816+0.00012085i,0.00022426-0.00018354i,-0.00027428+5.1281e-05i
0.0016815-0.0004768i,0.00045784-0.0014906i,0.00028735-0.0018818i,0.00047871-6.1338e-05i,0.0016236+0.0015142i,0.0010979+0.0016316i,-0.00048088+0.0010978i,-0.0010421+0.00065195i,-0.00080766-0.00017444i,-8.2524e-05-0.00024546i,5.3687e-05+0.00036638i,-0.00078449-0.00017293i,-0.0011767-0.00074682i,-3.5108e-05-0.00088326i,0.00039039-0.00092766i,-0.00050102-0.00073833i,-0.00063585-0.00058942i,5.8275e-05-0.00050325i,2.9687e-05-0.00023487i,-0.00103-0.00063031i,-0.00038837-0.0011598i,0.00042649-0.00069876i,-0.00014857-7.8461e-05i
-0.0013573+0.00080761i,-0.00071149+0.00016772i,0.00040862+0.00044317i,0.0014219+0.0006263i,0.001874-0.00011315i,0.0015448-0.0015818i,0.00061186-0.0017603i,-2.4325e-05-0.0013734i,-0.00093009-0.0011142i,-0.0010185-0.00060669i,-0.00026896+0.00011365i,-0.00046786-0.00011194i,-0.0013116-0.0010746i,-0.0015416-0.00074728i,-0.0012549-0.00053971i,-0.0010148-0.0010822i,-0.00092584-0.0009396i,-0.00034771+0.00039095i,7.8799e-05+0.0013315i,-0.00042044+0.00052321i,-0.000448-0.00016169i,5.1484e-05+0.00027688i,0.00016322+0.00014499i
-0.00055616+4.1344e-05i,1.0897e-05-0.00070529i,0.00050482-0.00047859i,0.00074989-0.0003223i,0.0017128-0.00010175i,0.0020371+0.00033886i,0.0012689-3.1543e-05i,-0.0001781-0.0010499i,-0.00093685-0.0011718i,-0.00057201-0.00028383i,-0.000278+0.00042087i,3.6967e-05+0.00057049i,-8.4747e-05+0.0001299i,-0.00021383-1.6591e-05i,-0.00054631+0.00044713i,-0.00020166+0.0011598i,0.00010545+0.0017887i,5.7348e-05+0.0010916i,0.00034516+0.00043251i,0.00062147-3.4606e-05i,0.00066939-0.00091743i,0.00018008-0.0011102i,-0.00032203-0.00030989i
-0.00062348-0.0010435i,-0.00092363-0.0014106i,-0.0012943-7.1865e-05i,-0.00088448+0.00086762i,0.00063282+0.0010748i,0.0010326+0.0012467i,-0.00021084+0.00048585i,-0.00099288-0.00050054i,-0.0010194-0.00074157i,-0.0012033-0.00066258i,-0.00022064-0.0002501i,0.00085411+9.349e-05i,0.0010084+0.00015661i,0.00090053+0.00082542i,0.00057357+0.0010245i,0.00032354+0.00026521i,-0.00029199+0.00020053i,-0.0006713+0.00081697i,-0.00022905+0.0010252i,0.00017422+0.0001852i,-0.00042948-0.00031i,-0.00086658-0.00038531i,-0.00012386-0.00024829i
0.00031261-3.9695e-05i,-0.00055004-0.0011347i,-0.0012772-0.0010106i,0.00013542+0.00021149i,0.0018453+0.0020799i,0.0014602+0.0016862i,0.00084479+0.000669i,0.0005431+0.00032532i,-0.00040574-9.6601e-05i,-0.000916-0.00033342i,-0.00097042-0.00012319i,-0.00069204+8.478e-05i,0.0002661+7.9037e-05i,0.00035509-0.00041776i,-9.1905e-05-0.0011213i,1.9809e-05-0.00019417i,0.00075754+0.00078827i,0.0010718+0.00048875i,0.00053047-0.00036162i,-0.00084004-0.0013917i,-0.0010558-0.0012074i,-0.00026316-0.0003485i,-0.00016811-0.00016811i
0.001365-0.0014146i,0.00043542-0.002858i,0.00075867-0.0018693i,0.00094775-0.00030777i,0.00026228-1.4049e-05i,0.00037762-9.702e-05i,0.00051259+3.09e-05i,0.00039978+0.00014945i,0.00029754-0.00037391i,1.3934e-05+0.00010069i,-0.00038685+0.0012317i,-0.0010853+0.00080142i,-0.0011714-9.6626e-05i,-0.0004935+0.00010907i,7.8379e-05+0.00024372i,5.8005e-05-7.5306e-05i,0.00041082-0.00058492i,0.00066515-0.0010989i,7.7921e-05-0.0011027i,9.4417e-05-0.00054838i,0.00034739-0.00039338i,-0.00052359-0.001043i,-0.00067411-0.00067775i
-0.0011772-0.00082136i,-9.1355e-05-0.00101i,-0.00070024-0.0020732i,-0.00088615-0.00086905i,6.7927e-05+0.0010257i,0.00079363-8.9197e-05i,0.0010257-0.0019555i,0.00051177-0.0016423i,-0.00012093-0.00037681i,-0.0001062+0.00053253i,-2.9714e-05+0.00077197i,2.127e-05+0.00031685i,0.00013468-0.00012587i,-7.0862e-07-6.3064e-06i,-0.00028586+0.00023297i,-0.00064276-0.00019029i,-0.00095684-0.0010415i,-0.00091782-0.00071082i,-0.00089213-0.00051352i,-0.00065069+0.0004694i,-0.00010781+0.00109i,0.00017544+0.0002643i,0.00021597-0.00023031i
0.00014547+0.0010176i,-0.00056832-0.0013618i,-0.0013691-0.0022069i,-0.0012571-0.0010313i,-0.00017074+0.0014852i,0.0010956+0.0023669i,6.2952e-05+0.0015543i,-0.0011946+0.00083251i,-0.00059946+0.00077782i,0.00027252+0.0010464i,0.00063748+0.00039214i,0.00034217-0.00018806i,0.00026501-0.00035158i,-1.0747e-05+0.00046503i,-0.00049393+0.0015829i,-0.00043347+0.0016833i,-0.00013999+0.0013056i,-0.00040842+0.0013753i,-8.6546e-05+0.0011899i,0.00050595+0.00047495i,-0.00013405-0.00017362i,-0.0010181-5.2816e-05i,-0.00056357-0.00024667i
0.0018585+0.00059364i,0.0021944-0.00050619i,0.0016675-0.00089526i,0.001225+0.00052656i,0.0020321+0.00091521i,0.0014324+0.00029683i,0.00047335-8.536e-05i,0.00029991-0.00018989i,0.00029199-0.00048909i,-0.00020766-0.00092794i,-0.00032741-0.0013807i,-0.00077132-0.0010634i,-0.0010836-0.00061444i,-0.0010299-0.00010992i,-0.0003107+0.00015788i,0.00044897+0.00027638i,0.00022638+0.00073012i,0.00019411+0.00099393i,0.00054027+0.0010147i,0.00089207+0.00037683i,0.00053071-0.00015776i,7.0863e-05-0.00025979i,1.5782e-05-0.00010307i
