-0.0013532-0.00063584i,0.00023578+0.0004372i,7.6554e-05+0.0014478i,-6.7527e-05+0.0020865i,0.0014016+0.0016071i,0.0019358+0.00019466i,7.4666e-05-0.00028075i,-0.0012547+0.00087639i,-0.0013344+0.0013674i,-2.3988e-05+0.00079073i,0.0015182+0.00020124i,0.00085334-0.00044659i,-0.00043181-0.0010609i,-0.00071034-0.0013687i,3.1541e-05-0.00053224i,0.00052075-4.4148e-06i,8.8361e-05-1.2101e-05i,-0.00033904+0.00047331i,-4.2166e-05+0.0006004i,-0.00016067+0.00027499i,-0.00018474-1.9417e-06i,-7.6978e-05-0.00015118i,9.1221e-05-0.00020302i
0.00039966+0.00099831i,0.0010721+0.00092769i,0.0016256+0.00010711i,0.0019086+0.001145i,0.0015996+0.002116i,0.0016467+0.00031484i,0.0014401-0.0014436i,0.00010024-0.0013997i,-0.00085568-0.00020276i,-0.00065185+0.00029537i,-0.00031081+0.00014491i,4.5728e-05-0.00043589i,0.00075544-0.00060235i,0.0011065-0.0001383i,0.001464-0.00023003i,0.0018602-0.00053948i,0.001341-0.00011336i,0.00062636+2.5742e-05i,0.00075037-0.00025673i,0.0006851+1.8912e-05i,0.000142+0.0002064i,0.00011888+0.00032712i,6.9537e-05-0.00028562i
-0.0019277-0.00065768i,-0.0022649-0.0001698i,-0.0021799+0.00048803i,-0.00021341+0.0019487i,0.001215+0.0027987i,0.0015362+0.0017349i,0.0004699+4.1164e-05i,-0.00079796-0.00074014i,-0.0012669-0.00075654i,-0.0014199-1.9242e-05i,-0.00087891+0.0005477i,0.0003465+0.00013053i,0.0011265-0.00027591i,0.00071265-0.00081471i,-0.00012175-0.0012102i,-0.00013437-0.00046913i,2.4745e-05-0.00021559i,-0.0003574-0.00095369i,-0.00043437-0.0012384i,-0.00095908-0.0006194i,-0.00091106+0.00031032i,-9.7364e-06+0.00044014i,0.00031443+0.00030486i
0.00066054+0.00046814i,0.0011322+0.00032033i,0.0019704+0.00036726i,0.0021799+0.0010862i,0.0022992+0.0021823i,0.002077+0.0017256i,0.00040985+0.00031133i,-0.0010416+0.00027052i,-0.0012298+0.00084591i,-0.0010832+0.00030964i,-0.00080859-0.00042774i,9.1225e-05-6.927e-05i,0.00057653-0.00019924i,0.00054644-0.00020439i,0.00065421+0.00033825i,0.0011399+0.00087588i,0.00065621+0.0011788i,0.00028718+0.00030536i,0.00028258-0.00042581i,0.00034988-0.000753i,5.1586e-05-9.879e-05i,0.00010342+0.0010678i,6.4634e-05+0.00042841i
-0.0010827-0.00047308i,-0.00051252+1.8869e-06i,0.00021514+0.00077208i,0.00097234+0.0017226i,0.0026823+0.0014894i,0.0038908+0.000158i,0.002446-0.00067796i,0.00060695-0.00012482i,-0.00012291+0.00020985i,-0.00072149+0.00015189i,-0.00071787+0.00024027i,0.0001314+0.00025446i,0.00055482+0.00010515i,0.00014566+0.00017543i,4.4038e-05+0.00025284i,-0.00021788+0.00030063i,-0.00061606-0.00025678i,-1.4378e-05+0.00024829i,0.00044264+0.00075025i,0.00012866-0.0001749i,-0.00019181+1.8569e-05i,5.8225e-05+0.0010021i,0.00052543+0.0011246i
-0.00056414+0.00098894i,-0.0003091+0.00052365i,-0.0004739+0.00050608i,0.0010189+0.0015076i,0.002529+0.0019408i,0.001999-0.00028622i,0.00050624-0.0015637i,-0.00080422-0.00083738i,-0.0014986+0.00063752i,-0.0012269+0.0013762i,-1.322e-05+0.00089799i,-8.3278e-05+0.00020815i,9.8057e-05-0.00053796i,0.0012889-0.00013828i,0.0016767-0.00014411i,0.00099317-0.00015458i,7.3142e-05+0.00020747i,-0.00022898-0.00015641i,-0.00031134-0.0005142i,-0.00042244-0.0001631i,-0.00086113+0.00020141i,-0.0008388+0.00039754i,0.00019436+6.0387e-05i
0.00073418+5.1102e-05i,0.0025871-0.00028662i,0.0034464+1.8347e-05i,0.002671+0.0010606i,0.001238+0.00071298i,0.00032129-0.00071983i,-2.2073e-06-0.00071238i,-0.0003878-0.00019929i,8.6801e-05-0.00054024i,0.00056422-0.00063259i,0.00035867-0.00024812i,5.7045e-05+0.00033979i,5.6253e-05+0.00065172i,-0.00033394+0.00091958i,-0.00065224+0.00022131i,4.1054e-05-0.0002921i,0.00035656+0.00041225i,0.00031624+0.00071439i,0.00060734-0.0002153i,0.00094415-0.00064192i,0.00051352-0.00089115i,0.00015526-0.0012216i,0.00011632-0.00093929i
0.00097228-0.0011035i,0.0011651-0.00085334i,0.00055511-0.00060216i,0.00061901+0.00045898i,0.0011394+0.0016264i,0.00050878+0.0015083i,0.00017712+0.00024728i,4.4405e-05+0.00020166i,-0.00068663+0.00077027i,-0.001163+0.00028023i,-0.00035627+0.00041608i,0.00057668+0.00047112i,0.00018936-0.00031451i,-0.00027633-0.00052957i,-0.00016027-4.0587e-05i,0.00059794-0.00023259i,0.00010584-0.0011416i,-0.00044221-0.0010433i,-1.1103e-05-0.00021628i,0.00037112+0.00011611i,0.00053778+4.6354e-05i,0.00015294+0.00010004i,-0.00062497+0.00038662i
-0.0017263+0.0029263i,-0.00029817+0.003078i,0.0008504+0.0031975i,0.0029614+0.0026026i,0.0047354+0.0013924i,0.0036174+0.00011819i,0.0013103-0.00027567i,1.9786e-05-0.00063189i,-8.3456e-05-0.00033176i,0.00059713+0.00048908i,0.00032406+0.00092835i,-0.00086809+0.00066427i,-0.0012584+0.0001507i,-0.0010947+0.00034632i,-0.00063419+0.00064151i,0.00036741+9.5653e-05i,0.00075592+0.0002259i,0.00044482+0.00049911i,0.00033847-8.2297e-05i,0.00038573-0.00029739i,0.000569-0.00019035i,0.00036265+0.00042725i,-0.00026235+0.00063192i
0.002011-0.0014977i,0.0013351-0.0013751i,0.00030412-0.0018022i,0.00020279-0.0018797i,-0.0001161-0.0001154i,2.525e-05+0.00020959i,-1.42e-05-0.00071043i,-0.00058552-0.00059183i,-0.00054827+8.683e-05i,-0.00068593+0.00071275i,-3.4888e-05+0.00041665i,0.00050824+0.00030058i,-2.3665e-05+0.00038439i,0.00035891-0.00042711i,0.00077254-0.00016967i,0.00030175+0.00051112i,0.00056756+0.00076669i,0.00050659+0.00047063i,-3.8585e-05+0.00011499i,-9.1557e-05-1.3028e-05i,-0.00044369+6.9048e-05i,-0.00082444+0.00057041i,-0.00040505+5.2645e-05i
0.0003553-0.0015902i,-0.00067949-0.0019688i,-0.00067718-0.0015935i,0.00021123+0.00022868i,0.00050127+0.0020054i,0.00047522+0.0021941i,0.00078393+0.001135i,0.00024773+0.00083742i,-0.0007953+0.00064756i,-0.00090652+0.00045162i,-0.00015422+0.00088163i,0.00083231+0.0013127i,0.0013715+0.00057656i,0.0011079-4.6415e-05i,0.00063615+0.00029594i,0.0005504+0.00044617i,0.0005641-0.00033387i,0.00078782-0.00079539i,0.00064449-0.00053335i,0.00046712-0.00032888i,0.00041592-0.00051623i,0.00046748-0.00057838i,0.00062615-0.0004061i
0.0014695-0.0014398i,0.00086557-0.0015054i,0.00029245-0.0016805i,0.0009445-0.0014602i,0.001785+0.00023638i,0.0017077+0.00085159i,0.00089625+3.1508e-05i,6.8956e-05-0.0006495i,-0.00040078-0.00060985i,-0.0011807-0.0002061i,-0.0014377+0.00027077i,-0.00042555+0.00038387i,0.00043163+6.531e-06i,0.0005495-0.00020179i,0.00099+0.00043705i,0.00029852+0.00021151i,-0.0004255-0.00069885i,1.4178e-05-0.00068044i,9.3667e-05-0.00081303i,0.00021133-0.00068089i,0.00067721-2.8156e-05i,0.00068515+0.00024583i,-0.00029581+0.00015496i
-0.00074984+0.00093772i,-0.00016307+0.00039572i,0.001049+0.00086487i,0.001839+0.0012266i,0.0019835+0.0011239i,0.0017957+0.0006563i,0.00072253+1.2782e-05i,-0.00079347-0.00024722i,-0.0011342-0.0001269i,-0.00060989+8.3953e-06i,-0.00017521+0.00054665i,0.00021573+0.00082932i,-0.00031191+0.00046314i,-0.00015379+0.00013968i,0.00079183+1.0683e-05i,0.00089591+0.00029782i,0.00045351-0.00031649i,0.00082895-0.0011588i,0.00063861-0.00083907i,0.00032114+0.000147i,0.00029391+2.1237e-06i,-0.00014728-0.00043466i,-0.00015914-0.00030378i
0.0012236-0.0010311i,0.0014584-0.00077333i,0.00076316-3.1444e-05i,0.00087377+0.00057295i,0.0017224+0.0004669i,0.0018075-0.00035298i,0.00051059-0.0010822i,-0.0003319-0.001191i,-0.00067788+0.00055717i,-0.001073+0.00087709i,-0.0003569+0.00027146i,-1.7858e-05-0.00025867i,-0.00026334-8.9373e-05i,-0.00093081+0.00072939i,-0.001543+0.00033113i,-0.00025071-0.00049696i,0.00088875-0.00018033i,3.9597e-05+0.00086939i,-0.0009424+0.00057286i,-0.00099223-0.00021673i,-0.00085988-0.00033658i,-0.00085748+0.00028544i,-0.000549+0.00076991i
0.0022884-0.0008152i,0.0016968-0.001233i,0.0013827-0.0016815i,0.0020938-0.00087289i,0.0024242+0.00093891i,0.0016683+0.0011041i,0.00037322-0.00026552i,-0.00034469-0.00048187i,-0.00044867-0.00018538i,-0.00037107-4.951e-05i,-0.00020619+0.0003598i,0.00041101+0.00075372i,2.1324e-05+0.00069892i,-0.000842-0.0001159i,-9.6942e-05+1.2608e-05i,0.0011146+0.00065764i,0.0012912+1.6986e-05i,0.00073202-0.00017446i,0.00022157-0.0005075i,-0.00038445-0.0009295i,-0.00056799+0.00040623i,6.0327e-05+0.00083844i,-6.036e-05-6.4423e-05i
-0.0011255-0.00027288i,-0.0010196-0.00049201i,-0.0012069-0.00059613i,-3.8098e-06+0.0013801i,0.0017537+0.0024311i,0.0023788+0.0015666i,0.0018771+0.0007272i,0.00035579+0.00050265i,-0.00049174+0.00061406i,-0.00052142+0.0007803i,-0.00033153+0.00058048i,-0.00019868+0.00031438i,-0.00040654+4.7849e-05i,7.5621e-06-0.00016977i,0.00038721-0.00011524i,0.00068103+0.00039342i,0.00074432+0.0005838i,0.00019449-9.5588e-05i,-0.00072448-0.0010659i,-0.00081708-0.00096063i,0.00033593+0.00033461i,0.00032518+0.00030759i,-0.00040187-0.00018086i
0.0019215+0.00078505i,0.0019032-0.00014374i,0.0022903-0.00059602i,0.0024304+0.00010071i,0.0030333-0.00026007i,0.0034877-0.00075998i,0.0016838-0.0005881i,-0.00017801-4.8612e-05i,-0.0010249+0.00052684i,-0.00061261+0.00046306i,0.00062021+0.00029379i,0.0012445+0.00014558i,0.00097114+0.0001135i,-0.00012244+0.00047586i,-0.00083792+0.00053775i,-0.0010925-0.00014404i,-0.0014576-0.00059134i,-0.0014728-8.9208e-05i,-0.0010224+0.00066766i,-0.00063976+0.00029636i,0.00037063+0.00015415i,0.00098913+0.00053017i,0.00056116-0.00019969i
-0.00081139+0.0015944i,0.00013797+0.00093326i,0.0017779+0.001968i,0.0032884+0.0026264i,0.0040042+0.0016511i,0.00321-0.00066864i,0.0006736-0.0019923i,-0.001175-0.001024i,-0.00078777+0.00053782i,0.0003455+0.0015403i,0.00077189+0.001227i,0.00017411+0.00079604i,-0.00015557+0.00035007i,0.0002758+6.32e-05i,0.00024025-0.00023913i,-0.00019899-8.7126e-05i,-0.0007544+8.9259e-06i,-0.00092354-7.531e-05i,-0.00035194-8.3542e-05i,-2.8846e-05-0.00067044i,0.00038805-0.00035798i,0.0010127+5.3958e-06i,0.00061251-0.00044844i
0.001194-0.00034926i,0.0022368-0.00013267i,0.0023724-0.00042032i,0.0013899-0.00039436i,0.00034054+0.00067824i,0.00044369+0.0013125i,-0.0001257+0.0008039i,-0.0015563-8.6034e-05i,-0.0017529+4.8563e-06i,-0.0013958+0.00041306i,-0.0009211+0.00087583i,-0.00047509+0.0010574i,-0.00022819+0.00072526i,0.00064837+0.00028171i,0.0013047+0.00047681i,0.00099705+0.00098859i,0.0002686+0.00061151i,0.000113-0.00016699i,-2.5859e-05-0.00051409i,7.1232e-06+2.4146e-05i,-7.6405e-06+0.00098266i,-0.0001093+0.00079369i,-0.00015691-9.5932e-05i
0.00026413-0.00095377i,-0.00081671-0.00066256i,-0.00099888-6.4621e-05i,-0.00055954+0.00028425i,0.0012076+0.0015307i,0.00281+0.0015415i,0.0018862+0.00010916i,0.00040679-8.5783e-05i,-4.3884e-05+0.00036808i,-0.00023558+0.00032874i,-0.0012372+0.00034405i,-0.0013622+0.00016868i,-0.00020889-0.00042076i,0.00098814-0.00092274i,0.0013807-0.0010467i,0.00099741-0.00016443i,-9.1425e-05-8.564e-06i,-0.00079493-0.00051208i,-0.00029524-0.00052754i,-0.00020241-5.7235e-06i,-0.00052587+0.00018787i,-0.00020319+0.00020808i,0.00053093+0.00022621i
0.0011987-0.00081621i,0.0022087-0.00052153i,0.0023093-5.4261e-05i,0.0016238+0.00013957i,0.0014752+0.00032341i,0.00074934+0.0008259i,0.00053556+0.00042434i,-0.00013621-0.00034954i,-0.00087709-0.0005547i,-0.00085104-0.00013051i,-0.00051584+0.00068836i,-0.00020724+0.0016966i,-0.00047093+0.0014029i,-0.00065769+6.9046e-05i,0.00034605-0.001075i,0.00077718-0.0010428i,0.00027268-0.00047042i,0.00020361-0.00011493i,0.00018364+3.0254e-05i,-0.00028042+0.00026394i,-0.00044535+2.7273e-06i,0.00052756-0.00012142i,0.00071975+0.00036174i
0.00099641+0.00080904i,0.00022125+0.00017882i,0.00043125-0.00041507i,0.0016016+4.2367e-05i,0.0021535+0.00094287i,0.0024797+0.0016916i,0.0012722+0.00093504i,-0.00064184+7.8375e-05i,-0.0013936+0.00027795i,-0.0017873+0.00028905i,-0.00078339+8.1708e-05i,0.00066156-0.00049597i,0.00074058-0.0010996i,0.00046715-0.00091791i,0.00039204-0.00034596i,7.1166e-05-0.00045009i,8.7653e-05-0.00044488i,-9.259e-05-0.00048887i,-0.00074443-0.00048844i,-0.00084175-0.00018438i,-0.00065636-8.1046e-05i,-0.00061621-0.00012527i,0.00038996-9.8379e-05i
-0.0001598-0.00058164i,0.0004074+0.00067519i,-7.4385e-05+0.00070906i,-0.00015789+0.00076874i,0.00049452+0.0019014i,0.0013397+0.0007269i,0.0007548-0.00047299i,-0.00032674-2.5027e-05i,0.00010216-0.00045478i,8.3388e-05-0.00036999i,-0.000276-0.0002472i,0.00078018-0.00043356i,0.0011315-0.00068181i,0.00055655-0.00045792i,0.000118+0.00067903i,-0.00012114+0.00062578i,0.00024444-0.00018491i,0.00043069-0.00027476i,0.00067348+0.00049829i,0.0006388+0.00098051i,-0.00010093+0.00085677i,-0.00070526+0.00082603i,-0.00073298+8.079e-06i
-0.00073553+0.0013163i,-0.00091483+0.00083207i,0.00017971+0.00065574i,0.0021527+0.00153i,0.0026798+0.0019162i,0.0024331+0.0010822i,0.0013948+4.5952e-05i,-0.00045638+0.00032248i,-0.00064284+0.0014047i,0.00013931+0.00076219i,0.00010584-0.0006896i,0.0002628-0.00012116i,0.00013472+0.0004522i,-0.0010007-6.4356e-05i,-0.00098224-0.00074111i,-4.6364e-05-0.00057193i,0.00021961-0.00024447i,-0.00034226-0.00077644i,-0.0009022-0.00090871i,-0.0007306-0.00071889i,6.1001e-05-0.0007379i,0.00012958-0.00033137i,-3.7085e-05+0.00055385i
0.000976-0.00097128i,0.0012237-0.0021362i,0.0011369-0.0019985i,0.0012455-0.0002079i,0.0017232+0.0010244i,0.0015049+0.0006138i,0.00083424-5.6061e-05i,-4.5673e-05-0.00026291i,-0.00029801+0.0001082i,-4.9202e-06+0.00093676i,-0.00026219+0.001602i,-0.00040385+0.0010909i,-0.00084224+0.00075792i,-0.00037505-3.7943e-05i,0.00022728-0.00076031i,0.00030049-0.00060749i,0.00019184-0.00024392i,-0.00055387-0.00013388i,-0.00098707-0.00014938i,-0.0011122-0.00018566i,-0.00051911-0.00054158i,-1.4735e-06-0.00054804i,-0.00020808-0.00012109i
0.0004455-0.0008758i,0.0011451-0.00059447i,0.0011266+0.00086619i,0.0012053+0.002094i,0.0019265+0.0017233i,0.0018154+0.00043701i,0.00079775-0.0012646i,-8.4601e-05-0.0014819i,-0.00066871-0.00094424i,-0.00037857-0.00024306i,-0.00030396+0.00070562i,-0.00032881+0.0001655i,-0.00015073+1.5502e-05i,-0.00022418-0.00042793i,0.00020764-0.0014017i,0.00060481-0.00062302i,0.00033553-0.00010242i,0.00039809-2.8549e-05i,0.00047906+0.00040302i,0.00019681+0.00062964i,0.00021534+1.5406e-05i,0.00034675-0.00012661i,-7.7532e-05+0.00039472i
-0.001501+0.00085689i,0.00061399+0.00028367i,0.0027249+0.0013001i,0.0033065+0.0022939i,0.0027127+0.0023009i,0.0015226+0.00021318i,5.9884e-05-0.00090915i,-0.00019438-0.00015641i,-0.00027983+0.00021957i,0.00032177+0.00021579i,0.00096487+0.00022724i,0.00054841+0.00034091i,0.00018839-0.00017849i,0.00016807-0.00077893i,0.00029205-0.0003951i,0.00041294-7.8971e-05i,0.00034324-0.00039826i,-0.00023795-0.0003067i,-0.00029873+0.00021374i,-0.00013948+0.00039106i,-0.00017145+0.00017005i,-0.0003396-6.9415e-05i,-0.00018675-0.00040442i
-0.00052897+0.00021894i,-0.00088533+0.00077463i,-0.0011707+0.00016736i,-1.2329e-05+0.00015084i,0.0018356+0.0011676i,0.0025945+0.0014702i,0.0014973-4.676e-05i,-4.769e-05-0.0011221i,0.00061825-0.00052826i,0.00088209+0.00018953i,-0.00019216+0.00034978i,-7.6328e-05-0.00030583i,0.00025048-0.00099199i,-0.00013922-0.00067275i,0.00013393-0.00036698i,-0.00039313-0.00048324i,-0.00049344-0.00097589i,0.00036926-0.00089103i,0.00041982-0.00033743i,-1.8891e-06+9.6348e-05i,-0.00046167-5.8101e-05i,-6.886e-05-0.00014696i,0.00019949-0.00016604i
-0.00090151-0.00088619i,7.3277e-05-0.00088732i,0.0012648+0.00092721i,0.0022349+0.002948i,0.0022902+0.0026088i,0.0022002+0.001545i,0.0013919+0.0007812i,-0.0011181+0.00018172i,-0.0023402-0.00029243i,-0.0013338-0.00022806i,-0.00069625+5.4872e-05i,-0.00044381+0.00061026i,-0.00050599+0.00046527i,-4.7018e-05-0.00034631i,0.00066946-0.00034948i,0.00058622+0.00021491i,-0.00026985+0.00046509i,-0.00090943-0.0002943i,-0.00080431-0.0011127i,-0.00079397-0.0013878i,-0.00072998-0.00077446i,-0.00053074+0.00077729i,-0.00061881+0.001154i
-0.00012643-0.00030127i,-0.00017005-0.0002869i,0.0004755-0.0012885i,0.001382-0.00043046i,0.0016131+0.0014377i,0.001021+0.00096357i,4.081e-05+0.00011829i,-0.00035897+0.00048094i,-0.00033535+0.00023222i,-0.00034034+3.1943e-05i,0.00010194-0.0004285i,0.00067888-0.00020243i,0.00024461+0.00013055i,-8.6703e-06-0.00031039i,-0.00030294-0.00042825i,-0.00061673-0.00036492i,-0.00038875-0.00013694i,-0.00050779+0.00016467i,-0.00049568+0.00027851i,0.00022393+0.00042607i,0.00067513+8.1303e-05i,0.00059918-0.00051649i,0.00033151-0.00053917i
0.00090465-0.00017972i,0.00055063+0.00010068i,0.0010204+0.00025762i,0.0011176+0.00061615i,0.00089914+0.0009116i,0.0012395+0.00070303i,0.00079727+0.00066926i,1.375e-05+0.0013418i,-0.00052042+0.0012816i,-0.0013505+0.00084525i,-0.00129+0.00042704i,-0.00043004-0.00031587i,-0.00035954-0.00062394i,-0.00018466-0.00065697i,0.00046745-4.9364e-05i,0.00083978+0.00038953i,0.00091741-0.00020819i,0.00058743-0.00049116i,0.00050805-0.00030697i,0.00014902-0.00036345i,-0.00029914+1.6155e-05i,-3.5645e-05+0.00041354i,0.00027483-0.00058253i
-0.0010444+0.0011362i,-0.00033686+0.00089436i,0.00026423+0.0014891i,0.00055703+0.0021822i,0.001866+0.0025469i,0.0025471+0.0010945i,0.0013794-0.00068024i,-3.3689e-05-0.0004609i,-0.00054943+0.00015026i,-0.00086531+0.00081328i,-0.00065996+0.0010146i,-0.00040241+0.0012613i,0.0002265+0.0002961i,0.00064325-0.00072433i,0.00049778-0.00055763i,0.00014027+0.00030415i,0.00064327+0.00010882i,0.0011643-0.00012323i,0.000576-0.00033307i,5.7225e-05-0.00054443i,-0.00013434-0.00036555i,-0.00024896-0.00036021i,-0.00068054+0.00043547i
0.00065779-0.00092153i,0.00084981-0.0012021i,0.00096871-0.0012844i,0.0015772-0.00027862i,0.0015588+0.00075648i,0.0009033-0.00011347i,0.00043326-0.00074874i,0.0001296+0.00045554i,0.00023606+0.0011406i,-5.9611e-05+0.00045819i,2.4648e-05+6.17e-05i,0.00027017+0.00027297i,-4.9096e-05+0.0005534i,-0.00027208-0.00055755i,-9.1831e-05-0.00078152i,0.00017401-0.0005687i,0.0006175-0.0010982i,0.00030345-0.00074178i,-0.00044944-0.00044689i,-0.00026824+0.0002057i,6.2892e-05+0.00016478i,0.00013723-0.00038062i,-0.00010419-0.00018499i
