-0.00018202+0.00077052i,0.00084668+0.00055416i,0.00012366+0.00082953i,-0.00054247+0.00042529i,-0.0014585+1.7296e-05i,-0.0021191+0.00044537i,-0.0016002+0.0013741i,-0.00062427+0.0013317i,0.00063995+0.00040335i,0.00099224+0.00012298i,0.0007339-0.00036343i,0.00030911-0.00082758i,-0.00023933-0.00026912i,-0.00055142-0.00020473i,-0.00044234-0.00038972i,-0.00013535-0.00040335i,0.0003691-0.0006628i,0.00064689-4.331e-05i,-0.00024439+0.00095901i,-0.00082396+0.00084957i,4.94e-05-9.3521e-05i,-3.2139e-05-1.8577e-05i,-0.00074492+0.00021858i
0.00032293-0.0009468i,-0.00053467-0.0013803i,-0.00064318-0.0018697i,-0.0012467-0.0021332i,-0.0011305-0.0022989i,-0.0011411-0.0011587i,-0.0015528-0.0001715i,-0.001839+2.722e-05i,-0.001638-0.00024575i,-0.00091419-0.00037354i,-0.00025818-0.00031562i,-0.00022873-0.0005903i,4.8074e-05-0.00038782i,0.00029312-0.00025041i,-9.7859e-05+6.9138e-05i,4.0056e-05+1.2369e-05i,0.00061298-0.00088647i,0.00053058-0.00077208i,0.00028231+0.00022683i,0.00035682+0.0005088i,0.00066442+0.00017058i,0.00030697+0.0003872i,-0.00071421+0.00011558i
0.0015623-0.00022919i,0.0023363-0.00025557i,0.0019259+7.3857e-05i,0.0021037-0.00078903i,0.0014401-0.0014572i,-0.00014708-0.001782i,-0.0003718-0.0019852i,-0.00082613-0.0014658i,-0.0012413-0.0017224i,-0.00040208-0.0014308i,-0.00022425+0.00041012i,-0.00012564+0.00072815i,0.00081026+0.00016967i,0.00094409+0.00051402i,0.00021575+0.0011141i,-1.9988e-05+0.00080132i,-0.0001833+0.00044475i,-0.00022437+6.7734e-05i,-0.00054297-2.9799e-05i,-0.00082996+0.00018263i,-0.00052266-0.0002303i,-0.00040068-0.00016498i,-0.00026728-0.00021724i
0.00099178-1.286e-05i,0.001163+0.00035665i,0.00034257-0.00058714i,0.00014063-0.0017141i,-0.0002005-0.002196i,-0.00061924-0.0012301i,-0.00072171+3.497e-05i,-0.00071281-0.0005093i,-7.6158e-05-0.00069553i,-0.000531-0.0004042i,-0.001092-4.209e-05i,-0.000463-4.1374e-06i,0.00046243-0.00018888i,0.00054613+0.00014422i,-2.8163e-06-0.00035791i,9.9414e-06-0.00056651i,8.4177e-05-0.00020864i,-0.00026621-0.00032887i,-0.0002689-0.00032611i,-0.00027585+0.00036889i,-2.0532e-05+0.00065991i,-0.00064949+0.00010838i,-0.00097768-0.00026645i
-0.0020538-0.0004328i,-0.0022556+0.00053851i,-0.0030816+0.0016053i,-0.0026716+0.0016543i,-0.00061802+0.0010818i,0.0005299+0.00012832i,0.000622+2.2283e-05i,0.00025652-0.00029817i,-0.0005829-0.00085096i,-0.0013386-0.0010235i,-0.0015713-0.0009384i,-0.0003552+1.6772e-05i,0.001232+0.00086177i,0.0018819+0.00077163i,0.00083439+0.00043014i,0.00015469-4.6582e-05i,0.00043947-0.0011189i,0.00070674-0.0010933i,0.00061901+0.00013293i,0.00046945+0.00096892i,0.00039436+0.0011705i,-9.0155e-05+9.8296e-05i,-0.00069674-0.00035613i
0.00088003-0.00085765i,0.00080787+0.00037285i,0.00037781-0.0010182i,-0.0009347-0.0014261i,-0.0012575-0.00025066i,-0.0014496+3.6411e-05i,-0.0011956-0.000695i,-0.00057456-0.001085i,-0.0011026-0.00057632i,-0.0012876-0.00035641i,-0.0012238-0.00042046i,-0.00083855+0.00016959i,0.00012064+4.5021e-05i,0.0004242-0.00024468i,0.00035528+0.00033857i,0.00033781+0.00037934i,0.00071224-0.0004653i,0.00056934-0.00035592i,-5.6077e-05-0.00011898i,-0.00022345-0.00056032i,-0.00010273-0.00063597i,0.0001336-4.634e-05i,-0.00019176-3.6867e-05i
0.0001799-0.00042053i,0.00033486+9.9021e-05i,0.0008878-0.00021178i,0.00094492-0.00079726i,0.00054531-0.00094618i,0.00010168-0.00098549i,-0.00015416-0.00030726i,-0.00073258-8.8745e-05i,-0.00089614-0.00065172i,-0.0004584-0.00071388i,-0.00059139-0.00030854i,-0.00019592-0.00019492i,-1.8397e-05+3.8564e-07i,-0.00065846-0.00011787i,-0.00092617+0.0005706i,-0.00025148+0.0012705i,0.00066112+0.00063011i,0.00082722+0.00037728i,0.00017938+0.00044916i,-0.00069694+0.00085761i,-0.00044104+0.00044619i,-7.9083e-05-0.00023087i,-0.00051144-0.00040776i
0.0029331+0.0010532i,0.0031157+0.00038645i,0.0030386+3.3645e-05i,0.0024068-0.000513i,0.0013133-0.00059416i,0.00013233-0.0013063i,-0.00035146-0.0015133i,-0.00015043-0.00013646i,-0.00075154+0.00039962i,-0.0011109-0.00019418i,-0.00089816-0.00086273i,-0.00038364-0.00074714i,7.3522e-05-0.00076166i,-0.00021523-0.0012115i,-0.00046483-0.0010716i,-0.00060288+8.1412e-05i,-0.00041877+0.00087093i,-0.00018977+0.0010817i,-0.00033122+0.00032916i,-0.00018673-0.00023633i,0.00028379-6.3302e-05i,0.00032859-4.2256e-06i,0.00023752-0.00038432i
-0.0006404+0.0006004i,-0.00068554+0.00020483i,-0.00066764+0.00019206i,-0.00012951+5.3685e-05i,0.00096579-0.00080604i,0.00089772-0.0017714i,0.00013158-0.0017172i,-0.00020857-0.00091933i,-0.0004289-0.00045175i,-0.00085897-0.00044075i,-0.0002984-0.00086209i,0.00034802-0.00089726i,0.00104-0.00081667i,0.0017359-0.00093623i,0.0010349-0.00082229i,0.00048511-0.00029297i,0.00041729+0.0004107i,-0.0001752+0.00047433i,-0.00065801+0.00042694i,-0.0005415+0.00090786i,-0.00031163+0.0010294i,0.00023899+0.00055293i,0.00090711-2.415e-05i
-0.00092843-7.9583e-05i,-0.0015516-0.00040409i,-0.0013606-0.00086057i,-0.00049413-0.00054997i,0.00023856-0.00017179i,0.00024688-0.00015175i,-0.00062195-0.00030925i,-0.0007105-0.00040836i,-5.2485e-06-0.00075219i,0.00017568-0.0012331i,-0.00017647-0.001521i,-0.00048236-0.00072891i,-0.00017562+0.00039237i,0.00043841+0.00021227i,0.00084512-4.2148e-05i,0.00070635+0.00019944i,-4.3464e-06-9.0011e-05i,-0.00022253-0.0004i,-0.00031554-0.00031594i,-0.00042308-0.00035842i,-0.000211+0.00020823i,0.00011759+0.0010465i,0.00015224+0.00079834i
-0.0012245+0.0007474i,-0.00064625+0.0010847i,-0.00099307+0.0011986i,7.303e-05+0.00085093i,0.0010474+0.0004242i,0.00090059-0.00034887i,0.00011879-0.00080311i,-1.2028e-05-0.0010862i,0.00010548-0.00064088i,-0.00039925-0.00044303i,-0.00041772-0.00050943i,1.2449e-06-7.9145e-05i,0.00076366+0.00054154i,0.0012367+0.00053915i,0.0012371+0.00014485i,0.0012077-0.00016667i,0.0014687-0.00025435i,0.00095995-0.00036504i,0.000228-0.0010112i,0.00063702-0.00031368i,0.00056389+0.001062i,0.00022786+0.00063781i,-0.00029089-0.00034879i
0.00073793+0.00014327i,0.00033728+0.00063618i,0.00046799+5.8444e-05i,-0.00017961-0.0012698i,-0.00043042-0.0018425i,-0.00017545-0.0015745i,-0.00028178-0.0006562i,-0.00022307-0.00017335i,9.7203e-06-0.00045525i,0.00030077-0.00097899i,0.0004772-0.0011836i,9.534e-05-2.6562e-05i,1.579e-05+0.00091496i,0.00036386+0.00083615i,-0.00033813+0.00049416i,-0.0011881+0.00028882i,-0.0012712+0.0002602i,-0.00057708+1.4072e-05i,-0.00038222-0.0002715i,-0.00046401-0.00032496i,-0.0008929+0.00015226i,-0.00067617+0.0005223i,-0.00012762+1.8478e-05i
-0.00043835+0.00020658i,-0.0013223+4.5801e-05i,2.303e-05+0.00017522i,0.0010717-0.00016922i,0.0011657-0.00093286i,0.00023746-0.0012118i,-0.001733-0.0010502i,-0.0021495-0.001165i,-0.0014796-0.0011877i,-0.00094659-0.00064161i,-0.00056466-0.00060605i,0.00036108-0.00051705i,0.00093577-0.00026185i,0.00040256-0.00015581i,0.00021138-0.00043943i,-6.2448e-05-0.00089492i,9.3313e-05-0.0010204i,0.00073528-0.00045728i,0.00050156+0.00010772i,0.00012666-7.479e-06i,0.00013816+0.00021556i,0.0006917-4.9538e-05i,0.00097064-0.00035788i
0.0010613-4.8206e-05i,0.0014625+2.684e-05i,0.0011963+0.00029547i,0.00070047-0.00024898i,0.00060896-0.0012877i,0.00040086-0.0010053i,9.0448e-05+2.8199e-05i,0.00013841+0.00031954i,-0.00023733-0.00010799i,-0.00075011+0.00020155i,-0.00096608+0.00045881i,-0.0012463-0.00041915i,-0.00075762-0.00030079i,-0.00010461+0.00036636i,-0.00021572+0.00019094i,-8.8707e-05+0.00022843i,0.00010583+0.00097952i,-0.00016467+0.0012603i,-0.00034481+0.00046017i,-0.0002308+0.00014789i,0.00026944-0.00015373i,0.00017998-0.00046671i,-0.00032578-0.00037401i
-0.0009165+0.0010087i,-0.0016108+0.0012192i,-0.00067817+0.00070898i,0.00093377+0.0012249i,0.00096754+0.00076992i,0.0010744-0.0012339i,0.00042437-0.0024852i,-0.00037125-0.0017945i,-0.00048974-0.0012153i,-5.2466e-05-0.0020213i,0.00022265-0.001715i,0.00090454-0.00097754i,0.0017878-0.0010194i,0.0012803-0.00036982i,-0.00027625+0.00031229i,-0.001546+0.00050832i,-0.0013407+0.00011732i,-0.0011881-0.00027033i,-0.00089735-4.0049e-05i,-3.3295e-06+0.00044287i,0.00023787+0.00086462i,-2.385e-05+0.00046249i,-0.00030998-0.00041055i
-0.0019659-0.0012632i,-0.0018594-0.0019233i,-0.0023331-0.0022031i,-0.0019161-0.0018122i,-0.00078125-0.00104i,-0.00022215-0.00029442i,-0.0012719-3.1137e-06i,-0.0018436+0.00050417i,-0.0010839+0.00053741i,-0.00034907+0.00059992i,3.7749e-05+0.001028i,-0.00018749+0.0008758i,-0.00016898+9.5514e-05i,4.3437e-05-1.1392e-05i,-0.00033306+0.00063325i,-0.00028661+9.2661e-05i,-1.3941e-05-0.0006514i,-6.3952e-05-0.00074762i,8.7529e-05+0.00010446i,0.00014522+0.00058353i,-0.00014887+0.00010028i,-0.00022125-0.00038279i,0.00071575-0.00078291i
-0.0016175-0.00030195i,-0.0011915-0.00097822i,-0.0016731-0.0013484i,-0.0011546-0.00042757i,5.422e-05+0.00023309i,0.00087789-0.0005298i,6.5582e-05-0.00080321i,-0.0004794-0.00034464i,-0.00035179-0.00046557i,-0.00055028-3.0349e-05i,-0.00039502+5.7416e-05i,0.00058392-0.00073701i,0.0012345-0.00038588i,0.0014644+0.00031328i,0.0012676+0.00027423i,-0.0003301-0.00019585i,-0.0015078-8.9029e-05i,-0.001068+0.00070361i,-0.00039205+0.00018826i,6.3538e-06-0.00028635i,-0.00011927+9.8297e-05i,-0.00046817+0.00043439i,-1.7422e-05+0.0002798i
-0.00032448-0.00054788i,-0.00094162-0.00046821i,0.00010908-0.0011124i,0.00016082-0.0012376i,-0.00030766-0.00097315i,-0.00061264-0.00065694i,-0.001542-0.00085207i,-0.0010447-0.00084438i,-0.00021853-0.00060286i,-0.0012106-0.00016503i,-0.0016204+1.2193e-05i,-0.00022138+9.1736e-05i,0.00062021+0.00011924i,0.00054715-0.00022256i,0.00020313+0.00014056i,-4.2588e-05+0.00031889i,5.7676e-05-0.00045838i,6.0551e-05-0.00082108i,-0.0004445-0.00072942i,-0.00063657-0.00016306i,-0.00022077+0.00015689i,0.00034871+8.3761e-05i,0.00026642+1.2325e-06i
-0.00097697+0.00059734i,-0.00017063+0.00078148i,-0.00038952+0.00061486i,-0.00047112+0.00063648i,0.00014633-0.00044593i,0.00063339-0.0018146i,0.00043389-0.001628i,-7.1824e-05-0.00092601i,0.0001352-0.00097787i,2.3342e-05-0.00093607i,3.3931e-05-0.00045987i,0.00037905-0.00072703i,0.00047567-0.00058608i,0.0002055-0.00065306i,-0.00019303-0.00059371i,0.00025586-8.6148e-05i,0.00030266-0.00012645i,-0.00038587-0.00017968i,-0.00023525-7.6612e-05i,0.00040603+4.0941e-05i,0.00025908-0.0001994i,7.4087e-05-0.00060602i,-3.9508e-07-0.00065035i
0.00044572+0.00039122i,0.00068533-0.00041973i,0.0012941-0.00093663i,0.0013315-0.0003418i,0.0016344-0.00028946i,0.001036-0.0014693i,-0.00067537-0.0018008i,-0.0010709-0.0016689i,-0.0001547-0.0011622i,1.4526e-05-0.00098988i,7.245e-05-0.000929i,0.00021029-0.0004522i,5.2682e-05-9.7818e-06i,0.0002208+0.00028729i,0.00011908+0.00032975i,-7.0754e-05+2.2823e-05i,4.9769e-05-0.00022966i,-2.5753e-05-0.00010418i,-0.00056947+0.0001893i,-0.00058101+0.00010772i,-9.7221e-05-0.00026841i,-0.00081632+0.00019729i,-0.00091424+0.00023788i
0.00082092-0.00068145i,0.00092103-0.00011122i,0.0010438-0.00055535i,0.00051455-0.00070795i,-0.00080259-0.00053469i,-0.0011557-0.00049547i,-0.00070221-0.00051069i,-0.00042657+9.1212e-05i,-0.0010608-2.6742e-05i,-0.0014551-0.00044371i,-0.00098138-0.00024691i,-0.00017462-0.0009369i,0.00037339-0.00071059i,8.5718e-05-0.00028242i,7.4287e-05-0.00066372i,0.00081736-0.00025162i,0.00078899+0.00036862i,0.00031189+5.2321e-05i,0.00045279-0.00046706i,0.00039536-0.00036579i,0.00071061+5.5602e-05i,0.00092467+0.00033151i,0.00066802+0.00059974i
-0.00058544+0.00070442i,-0.0010477+0.00069835i,-0.00068773+0.0003417i,0.00029402-0.0004899i,-5.6063e-05-0.00079104i,-0.00073266-0.00049366i,-0.00068305-0.00041067i,-0.00075832-0.00081676i,-0.00068563-0.0010394i,-7.1554e-05-0.00099532i,0.00046952-0.00078764i,-0.00040385-0.00044628i,-0.00039244-0.00035949i,0.0002185-0.00024192i,-5.0837e-05-0.00021312i,0.00010871-0.00055622i,0.00015529-0.00034507i,0.00032684-9.4419e-05i,0.00028782+0.0001053i,-0.00081073-0.00012832i,-0.00089139-0.000268i,-0.00047039-0.0003662i,-0.00041973-0.00023268i
0.00016422-0.00090422i,0.00074476-0.0018021i,0.00033604-0.0019956i,-0.00067829-0.0017183i,-0.001048-0.0019076i,-0.00064811-0.0018959i,-0.00048541-0.0015715i,-8.4648e-05-0.0014009i,0.00015485-0.00080228i,0.00024767-0.00034999i,-0.00011714+0.00011275i,-0.00073127+0.00083189i,-0.00035979+0.0012035i,0.00037448+0.00063675i,0.00052066-0.00025816i,-8.7303e-05-0.00061856i,-0.00015666-0.00090173i,-0.00027783-0.0012166i,-3.5887e-05-0.0016668i,-6.3132e-05-0.0010859i,-0.00081913-0.00083677i,-0.0005796-0.00038755i,-0.00073045+0.00042418i
7.0187e-05+5.732e-05i,0.001015-8.5692e-06i,0.00052165-0.00021418i,8.155e-05+0.00012059i,0.00087002+0.0002952i,0.00133-0.0001259i,0.00044325-0.00049187i,-0.0008769-0.00051765i,-0.0011867-0.00051006i,-0.0010188-0.00011521i,-9.9621e-05-0.00020524i,0.00096825-0.00052099i,0.00083997-0.00032415i,0.00080482+5.6406e-06i,0.00042759-0.00021206i,-1.7422e-05-0.0005656i,-5.0733e-05-0.00084442i,-3.6509e-05+1.361e-05i,0.00036754+0.0011764i,0.00027879+0.0018286i,0.00016332+0.0010926i,0.00034134+0.00014712i,0.00045082-0.00026236i
-0.00012028-0.00032197i,-0.0006999+0.00019511i,-0.00075969+0.0009261i,7.2112e-05+0.00041382i,-0.00027099-0.00019727i,-0.00097406-0.00038661i,-0.00055513-0.00042398i,-0.00073607-0.00062532i,-0.001138-0.00066767i,-0.0011108-0.00020857i,-0.00033339+0.00082759i,-7.7537e-06+0.0008959i,-0.00045279+0.00038727i,-0.00036417+0.00019361i,0.00029299-0.00029323i,0.00080984-0.00054399i,0.00066535-0.00012439i,0.00034232+0.0001699i,0.00037925+3.4607e-05i,0.0005245+0.00054116i,0.00024088+0.00083149i,-0.00011382+0.00078829i,-0.0010948+0.00075422i
0.00024349-2.522e-05i,8.0206e-05-0.00020383i,5.1721e-05-0.00097734i,0.00042789-0.00088979i,0.0004108-0.00080173i,-3.0675e-05-0.0009905i,-0.00050399-0.0014125i,-0.0011394-0.0014459i,-0.001458-0.00061285i,-0.001353-0.00033757i,-0.0015638-0.00022665i,-0.0010524+3.1413e-05i,-0.00011179+0.00032966i,-0.0001262+0.00048268i,-0.00021224+0.00098885i,-0.00017748+0.00081996i,-0.00019004+9.9995e-05i,-0.00017232-7.0255e-05i,-0.0004144+0.00020682i,-0.00048935+0.00024851i,-0.00063893+0.00014911i,-0.00071162+0.00014245i,-0.00019814+0.00025491i
0.00034706+0.0025101i,0.00015084+0.002617i,0.00068587+0.0013671i,0.0013097-9.4778e-05i,0.0013315-0.0012658i,0.00029651-0.0019778i,-0.00071672-0.0021234i,-0.0012488-0.0019054i,-0.0010385-0.0016463i,-0.00067787-0.0014361i,-0.00050315-0.0010375i,-0.00053922-0.0004902i,-0.00051258+0.00080195i,-3.4237e-05+0.0010341i,0.00019712+0.00046015i,0.00019441-6.9611e-05i,-7.0151e-05+0.00018871i,0.00034113+0.00031519i,0.00068065-3.7877e-05i,0.00045532+0.00030568i,0.00060876+0.00095903i,0.00072233+0.00080009i,0.00053802+9.1564e-05i
-8.4115e-05-1.6379e-05i,-0.00031779-0.0010892i,-7.4554e-05-0.00072144i,8.8254e-05-0.0007293i,-8.5652e-05-0.0012299i,-0.0010165-0.0019684i,-0.0016602-0.0017365i,-0.00092875-0.00068579i,-0.00017008-0.00031373i,-0.00014785-0.00018707i,-0.00046803-0.00075025i,-0.0006116-0.00014399i,-0.0008627+0.00045884i,-0.00081443-0.00038938i,-0.00048501-0.00027113i,-0.0001926-0.00016392i,0.0002203-0.00034768i,6.3579e-05-0.00032547i,-0.00052872-0.0001354i,-0.00054763+0.00094352i,0.00028331+0.0012085i,0.00051-0.00013264i,0.00025389-0.00060759i
0.0011711-8.9482e-05i,0.0013158+1.4972e-05i,0.0010214+0.00028555i,0.0010536-7.9305e-05i,0.00095157-0.00058712i,0.0005012-0.00025817i,0.00022309-9.365e-05i,-0.00020763-0.00022337i,-0.00091655-0.00023898i,-0.00069566-0.00063735i,-0.00040844-0.00070842i,-0.00064686-0.00046968i,-0.00018099-0.0010118i,0.00070182-0.00099253i,0.00051197-0.0003057i,-0.00018261+0.00050815i,-0.00010375+0.00057981i,0.00040329+0.00064145i,0.00037691+0.0012093i,-0.00042007+0.00050782i,-0.00080971-0.00040764i,0.00014414-0.0003483i,0.00068702+5.0685e-05i
0.00013094-0.00054877i,0.0003766-0.00078185i,0.000189-0.0010853i,-7.9121e-05-0.0010542i,0.00024628-0.0013646i,0.00023185-0.0020091i,-0.00012389-0.0025009i,-0.00081385-0.0017064i,-0.00080464-0.00041951i,4.082e-05-0.00064632i,0.0002854-0.0007951i,-0.00012933-0.00068466i,-0.00074453+5.8605e-05i,-5.6516e-05-9.4981e-05i,0.0007543+0.00013407i,0.00033426+0.00035681i,0.00018579+0.00020556i,-0.00045532+0.00031267i,-0.00067809+0.00010034i,-0.00015145+0.00053735i,0.00017245+0.00023985i,-6.6374e-05+8.5244e-05i,-0.00049847+0.00014673i
0.0025908+0.00081655i,0.0028598-0.00071538i,0.0034181-0.0022193i,0.0026001-0.0026061i,0.00078027-0.0027303i,-0.00060456-0.001818i,-0.0002907-0.00061704i,-0.00019939-0.0002707i,-0.00073526-0.00069192i,-0.00082895-0.0012568i,-0.0013642-0.00047487i,-0.0013899+0.0003482i,-0.00035949-2.1111e-05i,0.00049265-6.1867e-05i,0.00043845-0.00020839i,-0.00021657-0.00056735i,-0.0012327+0.00010531i,-0.0010036+1.0321e-05i,-0.00024919+5.286e-05i,0.00017265+0.00053431i,0.00052135+0.00019324i,0.00095968+0.00019529i,0.0010917+0.00059018i
0.00043016+0.0018806i,0.00025574+0.0019613i,0.0014224+0.00088346i,0.0017602+0.00045582i,0.00072877-0.00013196i,0.00042524-0.00087715i,-0.0005002-0.00090765i,-0.00090562-0.00057347i,-0.00032803-0.00040314i,-0.00020053+7.4465e-05i,-0.00022825+0.00068502i,-0.00027539+0.00048622i,0.00012823-0.00031696i,0.00031112-0.00057321i,0.00037997-0.00057097i,0.00049583-0.00015902i,7.0449e-05+0.00046136i,-0.00032939-0.00020286i,-0.00023342-0.00050293i,0.00022202+0.0003473i,2.5889e-05+0.00071522i,-0.00079717+0.00039897i,-0.00062322+0.0002893i
