-0.0050768+0.00034501i,-0.0037281+0.0013997i,-0.0030166+0.0023059i,-0.0033784+0.002982i,-0.0036124+0.0023011i,-0.0021438+0.0014381i,-0.0011091+0.0012306i,-0.00062473+0.00062873i,-0.00030617+0.00084901i,-4.0451e-05+0.0015632i,0.00074551+0.00028136i,0.00097901-0.0013691i,0.00023794-0.0014728i,0.00016329-0.0014488i,-0.00019144-0.00073604i,-0.00078485-0.00011263i,-0.00078058-0.00032145i,-0.00052145-0.00051234i,0.00027018+0.00043985i,-4.3815e-05+0.00021931i,-0.00050569-0.00043327i,-0.00018824-0.00032176i,-0.00011082+0.00022144i
0.00059488+0.00049728i,0.00031149+0.00016431i,-0.00031013-0.00043715i,-0.0018566-0.0010234i,-0.0030407-0.0012329i,-0.0030567-0.00029862i,-0.0016706+0.00051662i,-0.00029127-0.00029309i,-0.00014082-0.00094431i,5.224e-05-0.0012479i,0.00070093-0.00073156i,0.00052141-0.00025051i,-0.00014962-0.00020385i,-0.00041189+0.00032655i,4.177e-07+0.00069389i,0.00047235+0.00092432i,-6.7212e-05+0.00030957i,-0.0004883-0.00041295i,-0.00014232-0.00047157i,0.00026241+5.3884e-05i,-0.00028704-0.00032045i,-0.00053545-0.00077555i,-0.00048737+0.00024656i
-0.0015943+0.0007816i,-0.0019199+0.0012614i,-0.0023334+0.0010306i,-0.001835-0.00070306i,-0.0017224-0.0018995i,-0.0018551-0.0012871i,-0.00063374-0.0012279i,-6.925e-06-0.00082403i,-0.00053645-1.2585e-05i,-0.00031786+0.00023179i,0.00072069-0.00038981i,0.0001737-0.00039759i,-0.00033445-0.00014709i,0.00020952-0.0002592i,0.00034734-0.00049495i,-2.1705e-06-2.5344e-05i,-0.00030374+0.00031989i,5.802e-05+0.00036787i,0.00030103+0.00047216i,-0.00049797+0.00048808i,-0.0010914+0.00047765i,-0.00072516+0.0003415i,-0.00048539+6.4673e-05i
-0.0010376+0.0013458i,-7.8249e-05+0.0014888i,0.0013096+0.0013418i,0.0011351+0.0005259i,-0.0005812-0.00079934i,-0.0012086-0.0014398i,-0.00012137-0.00079339i,0.00081734-0.00092096i,0.0010399-0.00069828i,0.0005121-1.8223e-06i,0.00045822-0.0002561i,-0.00016314-0.00064915i,-0.0010614+0.00019563i,-0.0013702+0.00037773i,-0.0013923+0.0001145i,-0.00054287+0.00064226i,-0.00011941+0.0011908i,-0.00037614+0.0013911i,-0.00064076+0.00072161i,-0.00035382-8.708e-05i,0.00014768-0.00048065i,0.00058597-0.00073717i,0.00048379-7.027e-05i
-0.00021816+0.00051994i,-0.00094564-0.00025228i,-0.0011439-0.00075193i,-0.0016398-0.0012521i,-0.0032382-0.0020709i,-0.0035451-0.0016794i,-0.0016405-0.00094182i,0.00042789-0.0012139i,0.00030437-0.0011902i,0.00011183-0.00082747i,0.0010068-0.0003909i,0.00065149-0.00032506i,-0.00041407-0.00072774i,-0.00080044-5.1795e-05i,-0.00070294+0.00077749i,-0.00065414+0.0013418i,-0.00060388+0.0013345i,-0.00012267+0.00079233i,-0.00022758+0.00093799i,-0.00045847-0.00014399i,-0.00047881-0.00072901i,-0.00082516+9.6278e-05i,-0.00084476+0.00021876i
-0.00019691+0.0013275i,0.00085411+0.0024007i,0.0006834+0.0022131i,-0.00016011+0.00034911i,-0.0003166-0.00071038i,-0.00090142-0.00069204i,-0.00094013-0.00060084i,-0.00077522-0.0010677i,-0.00094066-0.0009465i,-0.00070908-0.00069185i,2.4274e-05-0.00096449i,-0.00015656-0.0010217i,-0.00047784-0.00048962i,-0.00073613+0.00074572i,-0.0013568+0.0014809i,-0.00079575+0.0010497i,0.00065138+0.00064018i,0.0013274+0.00052359i,0.00030857+0.00017426i,-0.0005011-6.8511e-05i,-0.00046118-7.0469e-05i,-0.00021261+2.4059e-05i,2.8518e-05-0.00077753i
-0.0006162+0.0021141i,-0.00025391+0.0019477i,9.8688e-06-7.3322e-06i,0.0004759-0.0017949i,-0.00025141-0.002175i,-0.00073121-0.001574i,-0.00024545-0.0008174i,0.00012092-0.00063718i,0.00052213-0.00091067i,0.00050456-0.00080508i,9.0283e-05-0.00042216i,-0.00043709-0.00098348i,-0.00079604-0.001065i,-0.00095563+0.00017782i,-0.00060853+0.00083927i,-8.0852e-05+0.00051087i,0.0005419+0.00043137i,0.0007546+0.00029496i,-0.00027481+0.00032225i,-0.0011069-0.00060511i,-0.00073758-0.0015862i,-0.0004197-0.00081783i,-0.00030633-9.5386e-05i
-0.00054498-0.0010498i,-0.0017542+0.00028271i,-0.0024198+0.00052472i,-0.0029358+0.00018291i,-0.0035305+0.00027033i,-0.0025951+0.00034161i,-0.00089604+0.00030243i,-0.00036876-0.00098261i,-0.0010584-0.0015209i,-0.0013593-0.00040016i,-0.00059459-0.00025104i,-0.00037507-5.62e-05i,-0.00084378+0.00029154i,-0.00038853+0.00083812i,0.00025235+0.0011965i,0.00088851+0.00098687i,0.00095832+0.00084498i,0.00024868+0.00030852i,-0.00046286-4.6756e-05i,-0.00057952+0.00043282i,0.00015086+0.0001065i,0.00045581-0.00048006i,0.00028961+1.6966e-05i
-0.0015271-0.00046151i,-0.0019776-0.00089404i,-0.0023169-0.00034479i,-0.0031164+0.00080415i,-0.0040074+0.0006402i,-0.0028581-0.00043953i,-0.00095071-0.00085072i,-0.00027453-0.00083883i,-0.00071746-0.00091852i,-0.0010148-0.00010469i,-0.00090998-0.00025916i,-0.00053178-0.00070661i,-0.00024405-0.00019847i,-0.00046817+3.0134e-05i,-0.0011512-0.00063493i,-0.000662-0.00084434i,0.00062444+8.8439e-05i,0.0012467+9.5507e-05i,0.00016111-0.00058599i,-0.00042022-0.0010958i,0.00067458-0.00081623i,0.00038696-0.00013069i,-0.0010826-2.3219e-05i
0.00035067-0.0017063i,-0.00056492-0.0016374i,-0.0016836-0.0017048i,-0.0018624-0.001971i,-0.0026609-0.0016662i,-0.0037196-0.00029617i,-0.0016661+0.00080046i,0.00090535+0.00047414i,0.00081202-0.00016694i,-0.00043994-0.0004634i,-0.00089839-0.00051016i,-0.00048693-8.163e-05i,-0.0002989+6.0294e-05i,-0.00067419-9.366e-05i,-0.00080197+8.8064e-05i,-0.00018222+0.0010733i,2.0695e-06+0.0012234i,0.00029328+0.00014928i,0.00043634-0.00036279i,0.00012523-0.00039759i,-8.41e-05+3.0514e-05i,-0.00058434-6.7076e-06i,-0.00044928-0.00060325i
-0.00031589+0.0018679i,-0.00037562+0.0017576i,-0.0008498+0.0014756i,-0.0014654+0.00029263i,-0.0015709-0.00030498i,-0.0024061+9.5578e-05i,-0.00095736+9.9371e-05i,0.0004795-0.00011422i,-7.866e-05-0.00036417i,-0.00031917-0.00027286i,-2.9938e-05-0.00044411i,-0.00035867-0.00047457i,-0.00080972+0.00022208i,-0.00057848+0.00067381i,-0.00010555+0.00017022i,-4.2787e-05-0.00050622i,-0.00027891-0.00045244i,-0.00019042+0.00063262i,0.00023893+0.00072054i,0.000329+0.00060999i,0.00036647+0.00046408i,0.00041834-0.00048122i,5.2985e-05-0.0003167i
0.00035822+8.1958e-05i,-0.0002375-0.00017427i,-0.00042553-0.0011204i,-0.00088277-0.0020843i,-0.0020913-0.0022736i,-0.0019517-0.0018585i,-0.0011043-0.0015378i,-0.00065206-0.0016371i,0.00019991-0.0012672i,0.00031052-0.00039784i,0.00023029-0.00013606i,0.00061825-0.00041541i,0.00070432-0.00016124i,0.00076891+0.00067415i,0.00088923+0.0012392i,0.00026281+0.0010969i,-0.00029879+0.00018442i,-0.00046401+6.2725e-06i,-1.7289e-05+8.3187e-05i,0.00018028-0.00054883i,0.00015732-0.00057246i,0.00012072-0.0003465i,8.7389e-06-0.00010602i
0.0002125+0.0027281i,-0.0005061+0.0024989i,-0.00061683+0.0014269i,-0.00099162+7.6366e-05i,-0.0019156-0.0013359i,-0.0027801-0.00074131i,-0.0019416-0.00027962i,-0.00022567-0.00088611i,9.6471e-05-0.0010123i,0.0005151-0.00038267i,-0.00022576-0.00031896i,-0.00093492-0.00072776i,-0.00040901+1.196e-05i,1.2894e-05+0.00090516i,-0.00025905+0.00088324i,-0.00035832+0.00049667i,0.0005776+0.00091306i,0.0013359+0.0011881i,0.0010626+0.00051811i,0.00046225-0.00037465i,3.3816e-05-0.00094047i,0.00030403-0.0011756i,0.00084891-0.00054048i
-0.00072858-0.0012373i,-0.0012418-0.001045i,-0.0013535-0.00023264i,-0.0012548+0.00024162i,-0.0021623+3.914e-05i,-0.0024702-0.00063805i,-0.001358-0.00072988i,1.5437e-05-0.00071949i,0.00070663-0.0006881i,0.0012576-0.00024374i,0.00070789+0.00031253i,-0.00060843+0.00038987i,-0.00086964+0.00075017i,-0.00013856+0.00080755i,0.00039322+0.00046155i,2.8283e-05+0.00077153i,-0.00024609+0.0015217i,-1.7746e-05+0.00094047i,0.00012452-0.00018662i,-0.00024429-0.00027043i,-0.0010008-0.00046286i,-0.0011674-0.00074167i,-0.00070108-0.00073628i
0.00060334+0.00032923i,-0.00082276-0.00022439i,-0.0016289-0.002i,-0.0026325-0.0029025i,-0.0035161-0.0026028i,-0.0028382-0.0019599i,-0.00073921-0.00049142i,-0.00010305+9.9666e-06i,-0.0005866+9.8478e-05i,-0.00038118+0.00047571i,2.2638e-05+0.00053765i,-0.00011055-4.489e-05i,-0.00012075-0.00018856i,6.8893e-05-1.4149e-05i,0.00015217-0.00026454i,0.00034865+6.6934e-05i,0.00048932+0.00070799i,0.00093615+0.00072203i,0.00052439+0.00036532i,-0.00060048-2.251e-05i,-0.0011361-7.1753e-05i,-0.00078277+6.3378e-05i,5.595e-05-0.00012291i
0.00034877-0.0016487i,0.00041537-0.0010599i,-0.001123-0.00043084i,-0.0030705-2.6585e-05i,-0.0041177-0.00046654i,-0.0042399+0.00044664i,-0.0028707+0.0014439i,-0.0017162+0.00065261i,-0.0018408-0.00053799i,-0.0011311-0.00069493i,0.00011735-0.00026646i,0.00011702-0.00037674i,-0.00041307-0.00068172i,-0.00050963-0.00082565i,-1.1683e-05-0.00052302i,-6.0284e-05-0.00013331i,0.00021312+0.00010398i,0.00057815+0.00013768i,0.00060035-8.9996e-05i,6.584e-05+0.00019869i,-0.00063037-0.00035888i,-0.00063609-0.00036502i,-6.382e-05-1.6653e-05i
0.00064056+6.9802e-07i,0.0012805-3.2924e-05i,0.00092175-0.00075713i,-0.0011525-0.0013218i,-0.0018685-0.0014133i,-0.0018233-0.00060619i,-0.0012429+0.00043519i,-0.00075886+0.00049046i,-0.00052976+0.00040145i,-0.00043059+0.0002067i,-0.00049866+4.2456e-05i,-7.6556e-05+0.00013674i,-0.00015945+0.00059238i,2.406e-05+0.00085522i,0.00019832+0.0011303i,0.00025247+0.0011166i,0.00050741+0.00026748i,0.00039272-0.00034152i,-0.00017579-0.00039376i,0.00056114-0.0007551i,0.00067626-0.00097673i,0.00035754-0.001065i,0.00026456-0.00062947i
-0.00065459-0.00045497i,-0.0010415-0.0010699i,-0.00099203-0.0009796i,-0.0018868-0.00050456i,-0.002496-0.00095427i,-0.0018312-0.00071425i,-0.0004608-0.00018355i,0.00062602-0.00030151i,0.00011478-0.00092514i,-0.00053239-0.0015914i,-0.00065181-0.0016086i,9.6361e-06-0.00047506i,0.00040832+0.00098669i,0.00045368+0.0018742i,0.00036427+0.0012724i,0.000701-0.00026421i,0.0011429-0.00077514i,9.2437e-05-0.00064638i,6.505e-05-5.5218e-05i,9.7375e-05+0.00028333i,-0.00024856-0.00054588i,-0.00029267-0.00080847i,-0.00046425-0.00064198i
-0.001214-0.0011804i,-0.0016338-0.00019513i,-0.0020665+0.00012509i,-0.0027874+5.1265e-05i,-0.0036861+1.9973e-05i,-0.0029074+0.00019649i,-0.00073785+0.00035416i,-0.00013755+0.00015702i,-0.00041214-0.00015279i,-0.00013129-0.00048453i,0.00013261-0.00074114i,2.5179e-05-0.00019898i,-0.00047638+0.00056085i,0.00025342+0.0010909i,0.00095591+0.0010665i,1.9568e-05+0.00040329i,-0.00033543+6.0645e-05i,0.00014986-0.00039389i,0.00047432-0.00057289i,0.00057963-0.0007084i,0.0006548-0.00087251i,0.0005312-0.00039146i,0.00040681-0.0003385i
-0.0021359-0.00089791i,-0.0023315-0.00027281i,-0.003193-0.00069956i,-0.0037285-0.0015997i,-0.0042171-0.0006833i,-0.0032914+0.00064306i,-0.00096819+0.00025703i,0.00050059-0.00071048i,-0.00019677-0.00013634i,-0.00085994+0.0009398i,-0.00064794+0.0013988i,-0.00028294+0.0007713i,0.00038994+0.00040828i,0.00014192+0.00014155i,-0.00023965-0.00039095i,0.00030616-0.00024313i,0.0010102+0.00016006i,0.00053725+0.00061393i,9.247e-05+0.00069056i,0.00037263+0.00042699i,0.00049239-6.9306e-05i,0.00041339-0.00031894i,0.00034898-8.4677e-05i
-0.0015701+0.0016836i,-0.00046231+0.0025807i,-0.0010314+0.0024264i,-0.0020212+0.0009882i,-0.0020221-0.0001724i,-0.001634-0.00029933i,-0.0011241+0.00068583i,-0.0013399+0.00087519i,-0.0013442+0.00069769i,2.3795e-05+6.6504e-05i,0.00057347-0.0003091i,0.00029992+0.00053512i,-0.0004189+0.001342i,-0.0017149+0.00093644i,-0.0016474+0.00063134i,-0.0014472+0.00068437i,-0.00062759-0.00014925i,0.00018171-0.00072868i,-0.00059135-0.00048113i,-0.00047689-0.00056758i,-3.3718e-06-0.00058918i,-0.00030394-0.00043834i,-1.3418e-05-0.00035567i
