-0.0012318+0.00072036i,5.0234e-06+0.00039177i,0.00090215-0.00067652i,0.00066821-0.00076205i,-0.0011318+0.0004384i,-0.0023509+0.00074848i,-0.0017889+0.00072453i,-0.00068431+0.00075076i,0.00014325+0.00083423i,0.00069329+0.00049206i,0.00091413+0.00064128i,0.00043721+0.00066899i,-0.00030154-0.00010076i,-0.0004577-0.00050036i,-0.00083501-0.00054404i,-0.00069865-0.00035809i,0.00027866+0.00048925i,0.00021869+0.00088462i,-0.00023208+8.3853e-05i,-0.00032456-0.00090333i,0.00020939-0.0011531i,-5.9905e-05-0.00096328i,-0.00042066-0.0011286i
0.00019327+0.00016207i,-0.00024079+4.326e-05i,9.3985e-05+0.0014084i,2.4212e-05+0.0018476i,-0.00037475+0.00032897i,-5.4027e-05+6.128e-05i,-0.00022653+0.00097286i,-0.0002794+0.00075781i,-9.4629e-06+0.00073459i,0.00016454+0.00064205i,0.0005001+5.8657e-05i,0.00063915-0.00025026i,0.00039896-0.00020682i,0.00042562-0.00045443i,0.00029806-0.00025662i,0.00037193-0.00021501i,0.00071744-0.00064779i,0.00043117+4.0247e-05i,0.00015945+0.00044659i,0.00055563-0.00013703i,0.00034815-0.00049154i,-0.00031231-0.00011846i,-0.00030432-4.808e-05i
0.00022245+0.00015339i,0.00032377-0.0011786i,0.0015396-0.0019942i,0.0015709-0.00099409i,0.00052642-0.00096125i,0.00026356-0.0015276i,0.00021991-0.0012267i,0.00031948-0.0008217i,-0.00016435-0.00019053i,-0.00034869+0.00037349i,2.6717e-05+6.2942e-05i,0.00022982-0.00017629i,0.00033849-0.00015862i,-0.00011334-0.00049807i,0.00080278-1.5584e-05i,0.00080432+0.00015023i,-8.6088e-05-0.00056887i,-0.00038871-0.00077504i,-9.4859e-05-0.0010635i,0.0004234-0.0008143i,0.00053906-0.00032011i,-0.00013597+6.2809e-05i,-0.0012418-0.00021139i
0.00064685+0.00011934i,-0.0010669+0.00017753i,-0.0022138+0.0010363i,-0.0014326+0.0010479i,-0.00095591+0.00031831i,-0.00093897-0.00014195i,-0.00062613+0.00035042i,-0.00072693+0.00052272i,-0.00035278+0.0003299i,4.8825e-05+0.00026904i,0.00021108+0.00013792i,0.00020777-0.00032138i,-0.00022732-0.00059466i,-2.5142e-05-0.00017867i,0.00053319+0.00023852i,1.0572e-06-0.00049579i,-0.0014974-0.0010636i,-0.0013454-0.0006433i,-0.00052059-3.5721e-06i,-0.00024358+0.00023091i,-0.00078882-3.2541e-05i,-0.0011171-0.00035459i,-0.0007881-0.00075972i
0.0014899-0.0007109i,0.0015441-0.0007222i,0.001276-0.00097192i,6.9744e-05-0.00092975i,-0.0005739-0.0011081i,-0.00029384-0.00087473i,-0.00041074+0.00041257i,3.4911e-05+0.00065331i,0.0001212+0.00063387i,-5.2622e-05+0.00028339i,0.00048979-0.00034357i,0.00066004-0.00028723i,0.00022761-0.00086135i,0.00057278-0.0013507i,0.00036421-0.00071419i,-0.00034167-0.00080574i,4.2043e-05-0.00044672i,0.00048629+0.00011106i,0.00053464-0.00062742i,0.00057284-0.00093765i,-9.7022e-06-0.001103i,-0.00043716-0.00093585i,-0.0001823-0.00080489i
0.00039894-0.00022928i,0.0010252+0.00035116i,0.0010944+0.0010266i,-0.00014834+0.00071161i,-0.00048649-0.00065297i,-0.00053089-0.0001681i,-0.0010297+0.0010777i,-0.00062027+0.00041622i,0.00033157-0.00011711i,0.0010293+0.00026288i,0.0010939+0.00069939i,0.0004675+0.00085272i,9.8196e-05+0.00025311i,-0.00014832-0.00041343i,1.94e-05-0.00017936i,0.00021829+8.6749e-05i,0.00015534-7.4879e-05i,0.00017191-0.00049572i,0.0002934-0.0010018i,-0.00015121-0.00039812i,-0.00021101-0.00019375i,-0.00064454-0.00050173i,-0.00094764+6.4022e-05i
0.00049977+0.00042131i,-0.00059507-0.00041924i,-0.00056933-0.0012785i,-0.00074083-0.0016368i,-0.0012616-0.00078166i,-0.0020028-0.00034506i,-0.0019062-9.9964e-05i,-0.0011499+0.000292i,-0.0012257+0.00085296i,-0.00054036+0.00072553i,0.00048189+1.1847e-05i,0.00083316-0.00042355i,0.00066067-0.0012006i,5.7518e-05-0.00092161i,-0.00046937+0.00019519i,-0.00056731+3.1093e-05i,3.0194e-05-0.00052817i,0.00044683-0.00034312i,0.00040698-0.00027211i,0.00048367+0.00045028i,0.00076429+0.00039314i,0.0011077-0.00063558i,0.00077293-0.00081819i
0.0019132+0.00051254i,0.0015927+0.00069526i,0.0012822+0.00088127i,0.0017531+0.0003764i,0.00077343-0.00021367i,-0.00057305-0.00015468i,-0.0011495+0.00046073i,-0.00065807+0.00063152i,-0.0007465+0.00033189i,-0.00080974+0.00041262i,0.00043106-0.00020281i,0.001168-0.00016439i,0.00097231+0.00023665i,0.0006071-0.00010545i,0.0002636+0.00028135i,-0.00019333+0.00049842i,1.7538e-05-6.2426e-05i,-4.222e-06-0.00073324i,-0.00062464-0.00093746i,-0.0004412-0.00081646i,-0.00020606-0.0007059i,-8.2435e-05-0.00046331i,0.00037633-0.00034285i
0.00038361+0.0013447i,-0.00039047-0.00040627i,-0.00035512-0.0017738i,-0.00050172-0.0019362i,-0.00068924-0.0020412i,-0.001003-0.0016043i,-0.0013819-0.00038869i,-0.001241+0.00023141i,-0.00069983+0.0004768i,8.7113e-05+0.0011906i,0.00026965+0.0010266i,0.00014226+0.00043156i,0.00045661+0.00035394i,0.00046944-0.00033053i,0.00046639-0.00058097i,-0.00018355+0.0001819i,-0.00058536+0.00047479i,-0.00016149+0.00012443i,0.00024598+2.9717e-05i,0.00059513-0.00033371i,0.00076342-0.00030721i,7.28e-05+0.00016677i,-0.00016544+8.1911e-05i
0.00064401-0.0003042i,0.0003308+1.1468e-05i,-0.00022392-0.00010046i,-0.00024525-0.0016132i,-0.00096239-0.0023601i,-0.0017095-0.0012202i,-0.0015927+5.7778e-06i,-0.0012073+0.00022074i,-0.00035318-0.00014184i,0.0001976-1.0143e-05i,-0.00061116-0.00016517i,-0.00093751-9.3856e-05i,-8.6621e-05+0.00060659i,0.00021364+0.00017042i,0.00024394-0.00035712i,0.00050037-0.00064291i,0.0003928-0.00043521i,-0.00053452+0.00036506i,-0.00080567+0.00086588i,-0.00034241+0.00048745i,-0.00034626-0.00043327i,-0.00036742-0.00067416i,-9.8413e-05-0.0003515i
-0.00016179-0.00024969i,0.00024945+0.0010455i,-0.00070556+0.0014123i,-0.0012441+0.0011625i,-0.00056117+0.00021306i,4.3517e-05+0.00057001i,0.00039162+0.0010193i,-0.00054454+0.00070451i,-0.00078317+0.00016979i,-0.00030578+0.0001775i,0.00037347+0.00041907i,0.00086218+0.00039363i,0.00059632-1.6164e-06i,0.00072459-0.00010156i,0.0010398+2.0012e-05i,0.00070231-0.00014599i,0.00048984+7.7359e-05i,0.00020627+0.00030842i,-0.00016696+0.0002227i,4.0163e-05+0.00027883i,0.00014305-3.0083e-05i,0.00042586-0.00020518i,0.00039751+0.00052605i
-0.00027907-0.00088321i,-0.00038206-0.001014i,-0.00058979-0.0011243i,-0.0010471+0.00028848i,-0.0012062+0.001236i,-0.00089017+0.00031294i,-0.00014642+6.6434e-05i,0.00015007+0.00057891i,-0.00061489+0.00088296i,-0.00079706+0.00024518i,9.6455e-05+5.2292e-06i,0.0009282+0.00044129i,0.0011864+0.00023693i,0.0007872-0.00053766i,0.00027817-0.00060294i,0.00038036-0.00038392i,-0.00041541-0.00082671i,-0.0013895-0.00099117i,-0.00089638-0.00033512i,0.00041186+6.5905e-05i,0.00047643+4.8695e-05i,-0.00052854-0.00014079i,-0.00084161+0.0001412i
0.0016071+0.0023828i,0.0016909+0.0012262i,0.0023595+0.00016153i,0.0020415-0.00036813i,0.00044646-0.001132i,-0.001275-0.0007775i,-0.0017543+0.00040548i,-0.0012805+0.00075535i,-4.0595e-05+0.0006172i,0.00039453+0.00059198i,-4.4655e-05+0.00022602i,-0.00041842+0.00040181i,-0.00077686+0.00084464i,-0.0014242+0.00074119i,-0.0006803+0.00041654i,0.00052353+0.00024787i,0.00070034+0.0001844i,0.0014477+0.00065926i,0.00094154+0.00010723i,0.0003588-0.00033666i,0.00026485+0.00045384i,-0.0002354+0.00052436i,0.00039958+0.00052363i
0.001232-0.00014587i,0.00063716-0.00080911i,0.0004979-0.0016796i,-0.00021448-0.0022112i,-0.0013534-0.0022558i,-0.0018433-0.0026504i,-0.0017602-0.0020861i,-0.0011869-8.3907e-05i,-0.00063624+0.0013196i,-0.00023552+0.0010455i,0.0002174+0.00084302i,-0.00031157+0.001173i,-0.001241+0.00085456i,-0.0014404+0.00029392i,-0.00092381+0.00017355i,-0.00033676+3.7299e-05i,0.0003832+8.3185e-07i,0.00058205+9.2122e-05i,2.6856e-05+0.00032062i,0.00027721+0.00023723i,0.000884-0.0005185i,0.00052667-0.0009575i,0.00014599-0.00039307i
0.0015426+0.00045685i,0.0013002+0.0013247i,0.0012138+0.0013749i,0.0012185+0.00055537i,0.0004117+0.00060519i,-0.00015704+0.00071773i,-0.00068335+0.00057399i,-0.0010361+0.00043141i,-0.00059408+0.00040958i,0.00013133+0.00061864i,0.00013692+0.00042134i,9.4471e-05+0.0001938i,0.0001318-0.00010994i,0.0003522-0.00058627i,0.00066555-0.00066459i,2.6712e-05-0.00040514i,-0.0010271-0.00062425i,-0.00068998-0.00025423i,-0.00033291+0.00032692i,-0.00059348-0.0005002i,-0.00027896-0.00011087i,-6.6556e-05+0.00058657i,0.00030646+0.0002567i
0.00033482-0.00068446i,-0.00050186-0.0010372i,-0.00097869-0.00056289i,-0.0011312-0.00021125i,-0.0014824+0.00018955i,-0.0010215+0.0011581i,-0.00023399+0.00089959i,-0.00040581+0.00018055i,-0.0011993-0.00013178i,-0.00045457-0.00030502i,0.0011046+9.7704e-05i,0.00073285+0.00015453i,-0.00010707-0.00012707i,7.6564e-05-0.00028103i,0.00056115+0.00012015i,0.00071975+0.00065292i,0.00039802+0.0004344i,-2.6394e-05+0.00019744i,-9.9192e-05+8.4774e-05i,-0.00041454-0.0002277i,-0.00086764-0.00052234i,-0.00066331-0.00099873i,-0.00040527-0.0011274i
0.00051403-2.884e-05i,0.00039295+0.0004738i,-0.00012609+0.00089175i,-0.0003433+0.00077057i,-0.00035208-8.5274e-05i,-0.00087606-0.00089107i,-0.0014175-0.00075072i,-0.00073358-0.00027451i,-6.297e-05-2.0805e-05i,-0.00018005+6.2795e-05i,-0.00048635+2.6762e-05i,-0.00071218+0.00036337i,-0.00062756+0.00055561i,6.4399e-05+4.3163e-05i,0.0004644-0.00018212i,9.6355e-06-0.00056235i,-0.0004831-0.00088689i,-0.00067818-0.00032938i,-0.00039837-0.000375i,0.00018084-0.00074836i,-0.00010628-0.0006663i,-0.00026613+8.3398e-06i,0.00022375+0.00031662i
0.00065528+0.0001476i,-0.00062418+0.0005576i,-0.00057617+9.6677e-05i,-0.00024063-0.00059524i,-0.0010014-0.00029212i,-0.0015319+0.00047682i,-0.0013394+0.00029977i,-0.00067+0.00010614i,8.2825e-05+0.00085738i,0.00018617+0.0015676i,0.00017935+0.00092444i,0.00027963+6.8548e-05i,-0.00021105-0.00051217i,-0.00021436-0.0011355i,1.579e-05-0.00076485i,1.1955e-05+7.6241e-05i,0.00063071+9.8965e-05i,0.00068232+9.8051e-05i,-6.4438e-05+0.00017533i,-0.00034226+0.00043639i,0.00010359+0.00036645i,-0.00036003-0.0003003i,-0.0005484-0.00018436i
0.0012641-0.00051368i,0.0016983-0.00054724i,0.00086217-0.00038261i,-0.00054077-0.00064492i,-0.00061922-0.0014221i,-0.0010909-0.0015503i,-0.0011805-0.0014243i,-0.00061342-0.0013102i,-0.00041799-4.5282e-05i,-0.000291+0.0005022i,-0.00023851+0.00021791i,-0.00063937+0.00012771i,-0.00092322-0.00050516i,0.00012515-0.001296i,0.00078405-0.0011196i,0.00077733-0.00096232i,0.00089968-0.00073275i,0.00080101-8.1151e-05i,2.8937e-05-0.00031428i,-0.00026344-0.0016483i,-6.174e-05-0.0017857i,-2.7502e-05-0.00049657i,7.6358e-06-0.00039421i
0.00073805+0.0013613i,-0.00017139+0.0013364i,0.00045888+0.00057643i,0.0016321-0.00026981i,0.0014341-0.0010725i,8.2178e-06-0.0013212i,-0.00077921-0.00054651i,-0.00067052+0.00027659i,-0.00070933+0.00060945i,7.903e-05+0.00040357i,0.00019246-0.00011841i,-0.00020257-0.00033921i,-0.00042233-3.0815e-05i,-0.00053459-0.00028802i,-0.00026526-0.00070537i,-0.00046142-0.00040078i,-9.5739e-05+0.00021054i,0.00028779+4.807e-05i,0.00011135-4.6809e-06i,-7.3105e-05-0.00014942i,-0.0011127-0.0006521i,-0.0013118-0.0003026i,0.00029336+0.0008411i
0.00041089-0.0012263i,5.5691e-05-0.00065948i,-4.3706e-05-0.0012926i,-0.00055359-0.0017682i,-0.0014717-0.0011688i,-0.0018126-0.00042518i,-0.00089152-0.00046074i,-0.00023068-0.00057591i,-0.00063291-0.00017502i,-0.0011649-0.00024955i,-0.00050429+3.5355e-05i,6.1057e-05+0.00067979i,0.00035356+0.00049203i,0.00034263-0.00019064i,-1.8596e-05-0.0006072i,-0.0003239-0.001098i,-0.0004303-0.0012111i,-1.2733e-05-0.00087281i,6.9928e-05-0.00060455i,0.00029372+3.6714e-06i,0.00075647+0.00033033i,0.00033558+0.00035854i,-0.00042965+0.00042259i
0.0025125+0.00015328i,0.0020842-0.00054903i,0.0013457-0.0023131i,0.00042585-0.0030209i,-0.0004737-0.0016708i,-0.0010595-0.00048599i,-0.00076445-0.00019151i,-0.00013107-0.00011945i,-0.00049103-0.00032194i,-0.00021915-0.0006925i,-0.00012016-0.00098911i,-0.00067541-0.00036341i,-0.00023118+0.00075946i,0.00031528+0.00087187i,0.00031635+0.00016827i,0.0002563+0.00023993i,0.00053241-5.2769e-05i,-0.00012013-0.0006575i,-0.0005584-0.00089105i,-0.00095411-0.00025427i,-0.000364-0.00020975i,0.00060309+6.9182e-05i,0.00086688+0.00090054i
0.001061-0.00014862i,0.00018415+0.00029238i,-0.00097308+0.00040961i,-0.0013158+0.00027106i,-0.0020758+0.00042864i,-0.0024785+0.00051478i,-0.002289+0.00078043i,-0.0017253+0.0011742i,-0.00047435+0.0010167i,-0.00041082+0.00083078i,-0.00052699+0.0003037i,0.00025587+0.00010125i,7.3506e-05+0.00010784i,7.6036e-05-1.2977e-05i,0.00068029-0.00038526i,0.00062413-0.0015241i,0.00054236-0.0016352i,7.3271e-05-0.00048287i,-0.00026491+0.0001053i,0.00014085+0.00039193i,-0.00023685+0.0011525i,-0.00075715+0.0010882i,-0.00068403+0.00010202i
0.00065193+7.6194e-06i,0.00053436-0.00016649i,-0.00020844-0.0013244i,-0.00029011-0.0015175i,0.00028681-0.0017303i,-0.00064039-0.0014593i,-0.0010466-0.00063803i,2.4753e-05+0.00027252i,0.00068347+0.0005155i,0.00050804-4.3659e-05i,-0.00038998-0.00046342i,-0.0010627-0.00057033i,-0.00027774+2.086e-05i,0.00053012+0.00036053i,0.0006483+4.0056e-05i,0.00047789+8.8799e-06i,0.00014232-0.00028661i,1.101e-05-0.0011844i,0.00015495-0.00019555i,-0.00033018+0.00077104i,-0.00049138+0.00063162i,-0.00066388+0.00011787i,-0.001114+0.00065719i
0.0013127+0.00052866i,1.3087e-05+0.00030876i,-9.111e-05-0.00065894i,0.00016822-0.00096668i,-0.0007462-0.00093317i,-0.0011415-0.00069382i,-0.0007856-0.00028753i,-0.0011484-1.2202e-05i,-0.0013888+0.00018872i,-0.00075011+8.347e-05i,0.00048091+0.0003768i,0.00061866+0.00095209i,-0.00024882+0.00060828i,0.00031972-0.00096708i,0.0010222-0.0012424i,0.00084591-0.00099919i,0.00057127-0.0011874i,0.00031271-0.0009224i,0.00053676-4.5717e-05i,0.00023237+0.00027489i,0.00012251+0.00020895i,0.0007781+0.00050206i,0.00035582+0.00017916i
0.0011409-0.00024614i,0.00056511-0.0017248i,0.00021359-0.0019842i,-0.00019939-0.0018196i,-0.00062663-0.0013091i,-0.0014983-0.00086462i,-0.0014965-0.00011565i,-0.0011583+0.00052238i,-0.0011815+0.00010582i,-0.0008236+0.00014419i,-0.0011162+0.0009543i,-0.0008634+0.0010565i,0.0001559-2.7745e-05i,0.00097865-0.00053278i,0.00068106-0.00043828i,-0.00069367-0.00041916i,-0.00055871-6.756e-05i,-0.00079491-0.00039466i,-0.0015988-0.00044858i,-0.0005886-3.8457e-05i,0.00016196+0.00077148i,5.4e-05+0.00097965i,-0.00040646-7.9871e-06i
0.0012976+7.7701e-05i,7.1288e-05+0.0008476i,-0.00011424+0.00088463i,-0.00034116+0.0010058i,-0.00081292+0.00030135i,-0.0005396-0.00057321i,-0.00058163-0.00059509i,-0.0008036+0.00035485i,-0.00050267+0.00083813i,1.2662e-06+0.00064569i,0.00033652+0.00039642i,0.00023424+0.00036243i,-0.00036801+0.00045595i,-0.00073267-0.00029367i,-0.00071812-0.00071966i,-0.00052971-0.00096844i,0.00016613-0.00047258i,0.00020706+0.00087814i,-0.00012275+0.0013138i,0.00044165+0.00067902i,0.0001943-6.3716e-05i,0.00014867-0.00053364i,0.0002111-0.00045408i
0.00017576+9.0134e-05i,-0.00028708+9.209e-05i,-0.00034486-0.00089404i,-0.00048509-0.0012211i,-0.001164-0.0005158i,-0.0014276-0.00035351i,-0.00046165-0.00063876i,-0.00013107-0.00052282i,-0.00030126+0.0003431i,-0.0001226+0.00098598i,0.00022074+0.0001285i,-0.00021258-0.00044416i,-0.00073883-0.00026847i,0.00027547+9.2599e-05i,0.001318+7.8627e-05i,0.00043411-3.7579e-05i,-0.00022777-0.00027007i,0.00022052-0.00061606i,0.00054652-0.00039207i,0.00092516-0.00053783i,0.00085563-0.00081268i,0.00017306-0.0006586i,-0.00038306-0.00011714i
