0.0032577+0.0019347i,0.0032449-1.1208e-06i,0.0028563-0.0025057i,0.0014016-0.0039139i,-0.0010364-0.003216i,-0.0026909-0.00030543i,-0.0012291+0.0015898i,0.00043735+0.0014102i,0.0010072+9.4013e-05i,0.00090695-0.00050081i,-0.00010877-0.00084691i,-0.00019336-0.00072976i,-4.811e-05-4.7964e-05i,-0.00063591+0.00059208i,-0.0011891+0.00050198i,-0.0012349-0.00012594i,-0.00035805-0.00092853i,-2.2261e-05-0.0010975i,-0.00036096-0.00092857i,-0.00039449-0.00062514i,0.00035579-0.00018537i,0.00087441-0.00019207i,0.00077935-5.3256e-05i
-0.0017041-0.0016471i,-0.0010482-0.0020978i,-0.0011182-0.0012774i,-0.00053904+0.00013861i,-0.00031705+0.00118i,-0.00019291+0.0015749i,0.00041543+0.00062805i,-0.00028932+8.9019e-05i,-0.0010163+0.00010781i,-0.00087373-0.00032019i,-0.00063939-0.00025545i,-0.00037662-0.00035212i,-0.00058602-0.00056734i,-0.00084003-0.00026626i,-0.00090969+0.00043568i,-0.00089691+0.00067108i,0.00040542+0.0004576i,0.00082455+0.00038515i,-0.00019089+0.00043724i,-0.00059691+0.00019288i,-0.00094882-0.00014701i,-0.00056557+1.3915e-05i,0.00026468+4.7625e-05i
-0.0011733+0.00055951i,-0.0011376+0.00042828i,-0.00037093-0.00043416i,0.0012478-0.0010125i,0.0015643-0.00092457i,0.00091991+3.3683e-05i,0.00082214-7.1514e-05i,0.00078332-0.00095066i,0.00039413-0.00063057i,-0.00029637+0.00018937i,-0.00018003+0.00058753i,0.000751+0.00056091i,0.00068153-0.00046577i,0.00035552-0.000859i,0.00073488-0.00012891i,0.00069169+0.00049337i,0.00017564+0.00065337i,5.8728e-05+4.0585e-05i,0.000248-0.00028084i,0.00086322+0.00017532i,0.00067594+0.00058592i,-0.00014482+0.00030496i,0.00014113-0.00013013i
-9.8769e-05-0.0024987i,-0.0002959-0.0012581i,-0.001009-0.0011411i,-0.0018529-0.0012702i,-0.0011303-0.0013267i,-0.00029805-0.0007135i,-0.00024114-0.00024615i,0.00037556-0.00067674i,0.00063526-6.9166e-05i,0.00012559+0.00044628i,-0.0004976+0.00024878i,0.00012051+0.00047631i,0.00068185+0.00015507i,-0.00013231-1.9894e-05i,-0.00056826+0.00018531i,9.6789e-05+0.00068351i,1.6289e-05+0.00043506i,-0.00014884-0.00020646i,-0.00011878+5.2946e-05i,-0.00025958+0.00017153i,0.00019748+0.00023811i,0.00045658+0.00033864i,-4.2031e-05+0.00061227i
-0.00099648+0.00061804i,-0.0004749+0.0016127i,-0.0007626+0.0012365i,0.00016965+0.00029683i,0.00032608+0.00030344i,5.4175e-05+8.2875e-05i,0.00017466+0.00019368i,-0.00023257+0.00041439i,-0.00057817+0.00076465i,-0.00042054+0.00069733i,-0.00012736+0.00011689i,-0.00019098+0.00026567i,-0.00031928+0.00024874i,1.1118e-05+5.6708e-05i,-0.0001235+9.5093e-05i,-0.00053113+0.0001301i,-0.00019904+0.0004303i,4.5597e-05+5.326e-05i,0.00023746-0.00097326i,0.00018848-0.0012783i,-0.00038019-0.00055158i,-0.00063343-0.00020649i,-0.0007107-0.00075812i
0.00039188-0.00076849i,0.00065494-0.0010195i,0.0012499-0.0013784i,0.0010394-0.0018536i,0.00015748-0.0016314i,3.5073e-05-0.00072835i,-0.00010233-0.00025874i,-0.00016337-0.00042088i,-0.00036786+0.00019394i,-0.00085659+0.00054136i,-0.0009295+0.00047563i,-0.00030017+0.00013693i,0.0002823-0.00050688i,0.00013482-0.00024942i,-0.00011722+4.356e-05i,-0.00035749-0.00051806i,-0.00014133-0.00093109i,0.0001852-0.00034511i,-1.5827e-05+9.0612e-05i,-0.00010688+0.00019617i,-0.00025568+0.00024759i,-0.00055957-1.7432e-05i,-7.0092e-05-0.000103i
-0.00091517-0.0017423i,-2.7408e-05-0.0023243i,-0.0007954-0.0021258i,-0.0022563-0.0016059i,-0.0028767-0.0010191i,-0.0023853-0.00020506i,-0.00093507-0.00022729i,3.85e-05-0.00061137i,-5.6272e-05-0.00022741i,-9.5033e-05-4.8843e-06i,-0.00049104+0.00066064i,-0.00069408+0.0012662i,-0.00017866+0.0003953i,0.00066259-0.00020305i,0.00085423+0.00038426i,0.00013378+0.00099554i,-0.00051462+0.0010252i,-0.00041942+0.00048895i,0.00044106+0.00023921i,0.00029927-0.00062954i,-0.00070715-0.0011813i,-0.00090012-0.0004515i,-0.00066716+0.00019349i
-0.0018365-0.00052663i,-0.001639+0.0013547i,-0.0010003+0.00189i,-0.00015775+0.00082988i,5.8553e-05+0.0001556i,-0.00023616+0.00019525i,-0.00067135-8.5928e-05i,-0.00086751-0.00057063i,-0.00088789-0.00056767i,-0.00018775-0.00041616i,0.00037897+0.00038002i,0.00042898+0.0014958i,0.00031658+0.00097387i,0.00040471-0.00029709i,0.00048732-0.00025895i,-0.00055843+0.00023145i,-0.00035847+8.7485e-05i,0.00025022-0.0003256i,-0.00060418-0.00065793i,-0.00091998-0.00055592i,-0.00091465-0.00034386i,-0.0012618-0.00043522i,-0.00081707-0.00023246i
0.00036019-0.00049308i,0.00040031-0.0014498i,0.0002374-0.0017311i,7.1573e-05-0.0017807i,-0.00044246-0.00075769i,9.0942e-05+0.00099963i,0.00034463+0.00073956i,-9.0095e-05-0.00042463i,-0.00040044-0.0012505i,-0.00024617-0.00049059i,-4.4292e-05-0.00060183i,0.00010397-0.00047146i,0.00052639+0.00037476i,0.00061082+0.00024455i,0.00018754-0.00024937i,-0.00044729-0.00069955i,-0.00035487-4.3508e-05i,0.0002944+0.0008284i,-0.00018246+0.00055671i,-0.00077637-3.2541e-05i,-0.00015673-0.00064074i,0.00018313-0.00072657i,6.8783e-05-0.00044725i
-0.00061253+0.0016636i,-9.3999e-05+0.0013132i,0.00098993+0.00026629i,0.0011456-0.00077034i,-7.5119e-05-0.00053966i,-0.00047627-0.00020316i,-0.00053565-0.00040298i,-0.00031952-0.00069828i,0.00018334+4.5327e-05i,0.00018549+0.00078919i,-0.00015916+0.0012368i,-0.00038972+0.0011726i,0.00013331+0.0013278i,-0.00016953+0.0010141i,-0.00094752+0.00042475i,2.8883e-05+2.2592e-05i,0.0010414-0.00015694i,3.4343e-05+6.5062e-05i,-0.0012032-1.8032e-05i,-0.00069261-0.00014206i,0.00019083+0.00013233i,0.00075427+0.00080275i,0.00054162+0.0010027i
-0.001015-0.00173i,-0.0013118-0.00091223i,-0.0013871-0.00043106i,-0.00037274+7.5341e-06i,-0.00021577+0.00067192i,-0.00010198+0.0012562i,-0.00021755+0.00076095i,-0.00074377-0.00078492i,-0.0012014-0.0008949i,-0.00075453-0.00016423i,-0.0003845+0.00036082i,-0.00054307+0.00068364i,0.00018009+0.00080829i,0.00090574+0.00099307i,0.00031113+0.001157i,-0.00059556+0.00098772i,-0.00065488-3.4539e-05i,-0.00073184-0.0011171i,-0.00065279-0.00057129i,-0.00033083+0.00030784i,-0.00042394+6.7443e-05i,0.0002433-0.00044471i,0.0011269-0.00089854i
0.0016369+0.0015915i,0.0020738+0.00036251i,0.0022962-0.0016205i,0.00044101-0.0031195i,-0.0021487-0.0037367i,-0.0026463-0.0014583i,-0.0012319+0.00033298i,-0.00024516-0.00049977i,0.00026245-0.0011425i,1.827e-05-0.00089129i,-0.00073858-0.00064681i,-0.00044491-0.00080759i,0.00031579-0.00053527i,-0.00010562+2.7874e-06i,-0.0011547+0.0001591i,-0.00044754+0.00034118i,0.00031612+0.00054824i,-4.4498e-05+2.5888e-05i,0.00010774-0.00021712i,0.00025332+5.5117e-05i,0.0005522-9.0455e-05i,0.0010606+0.00030046i,0.00095095+0.00035862i
0.00063614+0.00067801i,-0.00014031+0.00054983i,0.00020157+0.00055727i,0.001756-4.042e-05i,0.0017468-0.00022476i,-0.00036454+0.00049639i,-0.0016487+0.0003734i,-0.00094735-0.00014884i,-0.00072767-0.00020225i,-0.00073522-0.00034542i,-0.00046816-0.00064442i,-0.00050297-0.00083509i,0.00014066+0.00013387i,0.00079614+0.00013057i,0.00010964-0.00055739i,-0.00012994+5.3095e-05i,5.6294e-05+0.00025236i,9.0398e-05+0.00038906i,0.00048487+0.0005607i,0.00073434+0.00011958i,0.00017186-1.0655e-05i,-0.00021138+0.00026262i,0.00042054+0.00048242i
-0.0023042+0.0010629i,-0.00278+0.0015183i,-0.0010485+0.0022993i,0.0009458+0.0017281i,0.00086567+0.00063014i,-0.00026211+9.5783e-05i,-0.00052036-0.00041826i,-5.3244e-05-0.00023757i,-0.00048996+0.00023563i,-0.00037141+0.00085913i,0.00056532+0.00086125i,0.00098572+0.00030262i,0.00081343+3.6013e-05i,0.00066336+0.00091829i,0.00031815+0.0013073i,-5.3763e-05+0.00078966i,0.00041118+5.8761e-05i,-7.7997e-05-0.00032675i,-0.00074714-8.0605e-05i,-0.00029522+0.00044549i,-0.00043094+0.00079528i,-0.00076646+0.00053529i,-0.00025075+0.00040747i
-0.0012081-3.0865e-05i,-0.0012211-0.00078451i,-6.3305e-05-0.00054988i,0.001064-0.00011602i,0.00042637+0.00011359i,-0.00011895+0.00021627i,0.00014613+0.00033105i,0.00015818+0.00067679i,4.7245e-05+0.00057738i,-0.00042283+0.0003025i,-0.0003021-0.00015702i,0.00025103-2.9838e-05i,0.00084975-7.4122e-05i,0.00024242+0.0002142i,-0.00016621+0.00073094i,8.5721e-05+0.00090505i,0.00032478+0.00027256i,0.00030613-1.2664e-05i,0.00056765+0.00021937i,0.0005108-1.0516e-05i,7.424e-05+0.00016856i,0.00019418-4.7007e-05i,0.00030676-0.00055567i
-0.0025994-0.0017215i,-0.0013411-0.0013998i,-0.00072445-0.00048027i,0.00031208-1.0318e-05i,0.0011971+0.00022856i,0.00093167-0.00015117i,-7.6135e-05-0.00092887i,-3.8205e-05-0.0013435i,7.7963e-05-0.00014463i,0.00010068+0.00036783i,0.00091264+0.00025876i,0.0007265+0.00015759i,0.00018029-0.00038422i,-0.00018818-0.00039462i,0.00041946-0.00022487i,0.00068369-1.8087e-05i,0.00017207-0.00045849i,-0.00017023-0.00073097i,-0.00025951-2.4402e-05i,6.9048e-06+0.00021027i,6.0774e-05-0.00037738i,-6.7249e-05-0.00051941i,-4.6854e-06-6.1678e-06i
0.00073198-0.0014813i,0.0011339-0.0021513i,0.0003006-0.0032241i,-0.0014205-0.0023978i,-0.0022335-0.00091338i,-0.0020554+0.0003628i,-0.00093924+3.6213e-05i,0.00055996-0.00072557i,0.00098602-0.00049879i,0.00053446+0.00038314i,-0.00017321+0.00061689i,9.6203e-05+0.00091754i,0.00043962+0.00058646i,0.00047057+4.0484e-05i,0.00045213+0.00037551i,0.00028189+0.00085704i,-0.00045225+0.00028139i,-0.00073225-0.000154i,-9.1718e-05+0.00037084i,0.00054318+0.00074148i,0.00021818+9.7969e-05i,-0.00061668-0.00026309i,-0.00051406+0.00011071i
1.1493e-05-0.0011626i,8.7413e-05-0.001679i,-0.00030595-0.0018525i,-0.00013264-0.00036902i,-0.0012281+0.00083473i,-0.0020065+0.0010686i,-0.0013821+0.00029855i,-0.0011689-0.00042717i,-0.00096535-0.0010855i,-0.00064267-0.00078567i,-0.00083739+0.00033159i,-0.00047924+0.00094301i,0.00037636+0.0001303i,0.0011486-0.00026507i,0.00046613+0.00042509i,-0.0008929+0.00072784i,-0.0018635+0.00085213i,-0.0021441+0.0010623i,-0.0020751+0.00060826i,-0.0012221+0.00028898i,-0.00016151-7.3897e-05i,0.00019875-0.00062898i,0.00048552-0.00034588i
-0.0022619+0.00051776i,-0.00066089+0.00047867i,-0.00076169+0.00024883i,0.00016381-1.8342e-05i,0.00086624+0.00019834i,0.00029313+0.00012179i,-0.0012897-0.00019655i,-0.001824-0.00087513i,-0.001507-0.00044104i,-0.0014878+0.00020676i,-0.00090842-6.0626e-05i,-0.00066331-0.00020648i,-0.00062541-0.00039664i,-0.00042846-0.00056396i,-0.00042835-0.00038583i,-0.00011783+0.00018878i,0.00026227+0.00025454i,0.00022536-3.9419e-05i,-0.00060413+0.00013282i,-0.00052818+0.00040599i,0.00039392+0.0010035i,0.00070088+0.00057872i,0.00050993-5.6032e-05i
-0.00031916+0.00019917i,0.00081886-0.00057968i,0.0010909-0.0014204i,0.00045294-0.0014347i,-0.00054969-0.0010639i,-0.0011817-0.00062665i,-0.00056299-0.00012441i,-0.00046988+0.00033729i,-0.00034524+4.3832e-05i,5.0911e-05-0.00032308i,-0.00030817+0.00024905i,-0.00025993+0.0012057i,0.00032471+0.0010951i,0.00028027-0.00033164i,0.00020328-0.00038765i,0.00035693-3.6522e-05i,-0.0001185-0.00019337i,-0.00058455+7.9057e-05i,-0.00071104+0.00074618i,5.9108e-05+0.00062697i,-3.1385e-05+3.5482e-05i,-0.00051957+0.00061775i,-0.00010923+0.00067425i
-0.0008911+0.0012725i,-0.0010725+0.00055929i,0.00060231+0.0002724i,0.0022609-7.2903e-05i,0.0017971-0.001369i,0.00049293-0.0016244i,-0.00061181-0.001453i,-0.0011402-0.0011811i,-0.0010955-0.00064211i,-0.00075356-0.00048117i,-0.00033882-0.00030823i,-0.00036025-0.00014566i,-0.00050108-0.00021104i,-0.00057476-0.00017456i,-0.0011915+1.3373e-05i,-0.00063167+0.00033509i,0.0005896+0.00083825i,0.00099276+0.00053857i,0.00040572-0.00042028i,-0.00077124-0.00039963i,-0.00091628+1.9781e-05i,0.00010887-0.0001368i,0.00046985+0.00010295i
-0.00045657-0.0012973i,-0.00034425-0.0023941i,-0.00068934-0.0024915i,4.284e-05-0.0018051i,-0.00023726-0.0010299i,-0.0005362-0.00047571i,-0.00024541-0.00052688i,-0.00095946-0.00080284i,-0.0015393-0.00086678i,-0.0017961-0.00059179i,-0.0014114+0.00034255i,-0.00014902+0.00041222i,0.00033563+0.00040225i,-0.00021836+0.0003185i,-0.00012277-0.00018139i,8.2006e-05-0.00023472i,-0.00033036+0.00010937i,-0.00060869-5.9128e-05i,-0.00064642-0.00052733i,-0.00051753-0.00049231i,-0.00011624+0.00054016i,-1.6122e-05+0.0011998i,-0.00041859+0.00078502i
-0.0012371+0.00050739i,-0.0015253+0.00017205i,-0.0015121-0.00076024i,-0.00094331-0.00098366i,-0.00012217-0.0010944i,-0.00040661-0.00035591i,-0.0004385+0.0001487i,5.8947e-05-0.00038451i,0.00035372-0.00036832i,0.00037439+0.00052483i,0.00019545+0.00015821i,0.00071417-0.00045929i,0.001424-7.321e-05i,0.0011055-0.00029301i,0.00018773-0.00010847i,-0.00051606+0.00056164i,-0.00068257+0.00047084i,-0.00029575-0.00015562i,0.00059668-0.00032775i,0.0010264+0.00013457i,0.00068018+0.00067952i,0.00028736+0.00044i,0.00031032+0.00035775i
4.4434e-05+0.0023311i,0.0014315+0.00078333i,0.0027219-0.0003453i,0.0029041-0.00072068i,0.001243-0.0011112i,-0.00050305-0.00049781i,-0.0010535-0.00074565i,-0.00071125-0.0010811i,-0.00011472-0.00043407i,-0.00022729-0.00072834i,3.2533e-06-0.00064753i,6.4913e-05+0.00011553i,-0.00038794+0.00012295i,-0.00034657-0.00027667i,0.00018972+7.4989e-05i,-0.00045606+0.00047026i,-0.000742+0.00036437i,-0.00058891-0.00025988i,-0.00031168-0.00085922i,0.00020798-0.00034758i,0.00037961+0.00023712i,0.00029312+0.00038252i,0.00024698+0.00066767i
0.00033866-0.00036997i,0.00070455-0.0013693i,0.0010227-0.0023557i,0.00059586-0.0023508i,-0.00015555-0.0016324i,-0.001045-0.00045578i,-0.0010196+0.00019067i,-0.00059036+0.0002396i,-0.00013454+0.00049086i,0.0001183+0.00062005i,-0.00046975+0.00016273i,-0.0004236-0.00043688i,0.00061538-0.00096404i,0.00097636-0.00079427i,0.00065207+0.00026864i,6.0966e-05+0.00066132i,-0.00014886+0.00033124i,-0.00047708+0.0003693i,-0.0013075+0.00073737i,-0.0014808+0.00062348i,-0.00021238-0.00015746i,0.00047085-0.00015496i,3.4904e-05-5.0553e-05i
-0.0010416+0.00097864i,-0.00027217+0.00063721i,0.0006321-0.00051366i,0.0022047-0.00091774i,0.0016746-0.00061693i,-0.00021026-0.0003869i,-0.00041438-0.00028318i,0.0001656-0.00056985i,0.0008717+0.00027976i,0.0011771+0.00035002i,0.00088204-0.00023144i,0.0006655-0.00021141i,0.00083525+0.00051251i,0.0002562+0.00068086i,-0.00047669+0.00030256i,-0.00032007+0.00033032i,-0.0003176+0.00012208i,-0.00067692-0.00020652i,-0.00052443-0.00030684i,5.5803e-05-0.000301i,-1.444e-05-0.00049488i,0.00019401-0.00024351i,0.00054209+0.0004215i
-0.0011407-0.0012419i,-0.00081717-0.0011978i,0.00035067-0.00095715i,0.000867-0.00057702i,-7.0197e-05+0.00031596i,-0.00024784+0.0015161i,0.00082692+0.0014772i,-0.00021409+0.00058419i,-0.0014439+0.00027434i,-0.00067181+0.00052922i,0.00046758+0.00047141i,0.0010226+9.1102e-05i,-0.00012795+0.00037522i,-0.0011217+0.00015902i,0.00023787-0.00078599i,0.00083018-0.00057853i,1.9595e-05-0.00050992i,-0.0002284-0.000465i,0.00010455+0.00046024i,0.00051466+0.00056544i,0.0010039-0.00021333i,0.0006509-0.00031391i,-0.00039457-0.00051374i
-0.0013757-0.00051714i,-0.00082881-0.00055693i,-0.00026812-4.4529e-05i,0.0015122-0.00040569i,0.0016404-0.00064582i,0.00041281-0.00086897i,0.0002517-0.00061791i,0.00028345+0.00051728i,0.00018845+0.0014933i,0.00039611+0.0017717i,0.00095692+0.0011486i,0.00088859+4.9471e-05i,0.00036037-0.00039892i,0.00010669-0.00030738i,-0.00025773+0.00037861i,-0.0006274+0.0010604i,0.00023484+0.00037105i,-2.931e-05-4.3401e-05i,-0.0006604-2.8846e-05i,-0.00052722-8.2952e-05i,-0.00031182+5.389e-05i,-8.1191e-05-0.00017794i,-0.00038337-0.00073375i
-0.0006998-0.001139i,-0.0012918-0.0010107i,-0.0011228-0.00083056i,-0.00047733-0.00040857i,0.00027745+0.00056691i,0.00045568+0.00068107i,0.00046059-0.00012282i,0.0010006-0.00039822i,-1.1797e-05-0.00042072i,-0.0007584-0.00035879i,-0.00029886-0.00016108i,0.00013067+2.9096e-05i,0.00034215-0.00045286i,0.00029853-0.00040454i,-0.00019654+0.00038486i,-0.00084221+0.00052246i,-0.00059055-0.0001145i,-0.00031948+0.00018755i,-0.00096833+0.00080106i,-0.0010022+0.00015756i,-3.8004e-05-0.00036118i,0.000929-0.00061819i,0.00096772-0.00070892i
-0.0014774-0.00028343i,-0.00042952-0.0003892i,-2.1311e-05-0.0016857i,-0.0001398-0.0022417i,-0.00095818-0.0012906i,-0.00082195-5.9144e-07i,0.00016319+0.0004203i,0.00052238+0.00011232i,0.00044605-0.00024343i,-0.00011205-1.9623e-06i,-0.00070135+0.00040111i,-0.00036381+0.00044931i,-1.8696e-05-0.0001104i,-4.4798e-05-0.00065684i,-0.00031611-0.00035157i,-0.00035297+0.00055427i,-1.2431e-05+0.0002627i,0.00059586+0.00012423i,0.00057241+0.00084405i,0.00030177+0.00067621i,-0.0004319+8.1464e-06i,-0.00044915-0.00014336i,-2.2232e-05+0.00025775i
0.00047726+0.00082337i,0.000824-0.00026243i,0.0019189-0.0013916i,0.0021166-0.0016815i,0.0011319-0.0010644i,-0.00020964-0.00023796i,-0.0007662+0.00045936i,-0.00032357+0.0006299i,0.00030535-0.0001054i,-3.0542e-05-0.00075324i,-0.00068203-0.00099479i,-0.00030762-0.0012863i,0.00025227-0.0011861i,-0.0008002-0.00097731i,-0.0010618-0.00037315i,5.6391e-05+0.00057293i,0.00022326+8.9218e-05i,-0.00057686-0.00040523i,-0.0010487+7.7405e-05i,-0.0007951+0.00040547i,-0.0002826+0.00079954i,0.00021095+0.00072365i,-5.7047e-05+0.00095056i
-0.00059182+0.00083562i,1.526e-05-0.00037384i,0.00099902-0.0025855i,0.00020061-0.0030225i,-0.0010219-0.0013796i,-0.0007776+5.5735e-05i,-0.00023797-0.00026077i,-0.00073771-0.00078513i,-0.000706-0.00092198i,-7.0768e-05-0.00091044i,-2.5371e-05-0.00016941i,-0.0004035+0.00015722i,-0.00041025+0.00054714i,-0.00017776+0.00067512i,-0.00057044+0.00027378i,-0.00057922-8.8854e-06i,-0.00063957-3.0182e-05i,-0.00063277-0.0001355i,7.4484e-05-0.00049704i,0.00042864+0.00010985i,0.00014226+0.00048578i,0.00013132+8.6887e-05i,0.00045433-0.00029785i
