5.4704e-05+0.0018925i,-0.00064933+0.0019398i,-0.0017921+0.0017898i,-0.0011811+0.00087066i,0.0005217+0.00026142i,0.00044984+0.00024028i,7.2988e-05+0.0016737i,0.00035339+0.0022334i,0.00081249+0.0025449i,0.0012456+0.0018211i,0.0012709+3.0184e-05i,0.0012836-0.00039124i,8.3498e-06-0.00020454i,-0.0014424+8.3243e-05i,-0.0012462-0.00016616i,1.2898e-06-0.00018417i,0.00050324-0.00050476i,0.00014859-0.00085166i,7.642e-05-0.00023878i,-0.00019196-1.7765e-05i,0.00011057-7.0929e-05i,0.00072527-0.00015851i,5.549e-05-0.0002577i
-0.00095202+0.00064213i,-0.0018068+0.00087648i,-0.0011217+0.0005509i,0.00070035-0.00045768i,0.0013052-0.0011927i,0.0011868-0.0015481i,0.0011129-0.001656i,0.00036262-0.00076329i,-0.00083257-0.00044266i,-0.0013654-0.0008724i,-0.00090506-0.00055107i,-0.00036627-0.00054105i,-0.00044919-0.00026603i,-0.00082043-0.00032055i,-0.00061137-0.00088513i,-0.00029877+0.00014283i,7.7687e-05+0.00061182i,0.00040713+3.0615e-06i,0.00036377-0.00031705i,-0.00021051-0.00050057i,-0.00027042-0.00011571i,8.3615e-05-0.00010648i,-0.00025327-0.00042055i
-0.00010556-0.00035718i,0.00072757-2.4066e-05i,0.00081527+0.00042678i,0.0013671-0.0002908i,0.0019214-0.0013958i,0.0010749-0.0016224i,-0.0004091-0.00022502i,-0.00051718+0.00059649i,3.2746e-05+0.00037405i,-0.00060433+6.033e-05i,-0.0011702+0.00023949i,-0.00062549+0.0003344i,-0.0007372+0.00017699i,-0.00094776+0.00018476i,-0.00065998+0.0005834i,0.00014408+0.00086334i,9.3128e-05+0.00016841i,-0.00028085-0.0004646i,0.00033013-0.00013632i,0.0009178-0.00022301i,0.0011293-0.00053259i,0.00054203-0.00058397i,-0.00022733-0.0003438i
-0.0013778+0.0013592i,-0.00063906+0.0011375i,-0.00040531+0.00091355i,0.00045634+0.00060951i,0.00079257-0.00093725i,0.00043669-0.0028271i,-1.9638e-05-0.0020012i,0.00015474-5.1832e-05i,0.00053841+0.0009901i,0.00041773+0.00079506i,0.00012638+0.00066699i,3.6046e-06+0.00066036i,-0.00032596+0.00043281i,-0.00097887+0.00024313i,-0.0010317-5.106e-05i,-0.00047403-0.00066729i,-0.00018299-0.00042947i,-0.00070828+0.0003272i,-0.00077044+0.00028772i,-0.00016219-0.00026565i,-0.00059875-0.00077867i,-0.00086348-0.00080665i,-0.00071292+2.2181e-06i
0.0012758-0.00031773i,0.0023514-0.00075179i,0.0019175-0.0012186i,0.00077943-0.0016228i,0.00044135-0.0011821i,0.00012281-0.00090213i,7.9882e-05-0.00082528i,0.00073503-0.00080649i,0.0010986-0.00085849i,0.00080819-0.00057791i,0.00038315+0.00055046i,0.00031187+0.0010653i,0.0001353+0.00064258i,0.00023871+0.00042142i,-0.00016725-2.7907e-05i,-0.00020462-0.0010574i,0.00016965-0.00072785i,-4.6767e-05+0.0005182i,2.6773e-05+0.00071028i,0.00041975+0.00020296i,0.00063369-6.3677e-05i,0.00080006-0.00045352i,0.00078176-8.2063e-06i
0.00053619-0.001654i,0.00014865-0.001676i,-0.00065061-0.0020444i,-0.0011326-0.0021731i,-0.00040626-0.0020799i,-0.00012123-0.0021437i,0.00016017-0.0013152i,0.00060322-0.00069484i,0.00032936-0.00077901i,-0.00063063-0.00060194i,-0.00080896-0.00066066i,-0.00048788-0.00054603i,-5.7332e-05-0.00086255i,0.00080334-0.00039942i,0.0014149+0.0012951i,0.00081298+0.0013879i,0.00072131+0.00067142i,0.00092209+0.00010033i,-0.00027906-0.00039605i,-0.00070091-0.000558i,-7.3516e-05-0.00044352i,0.00017471+5.3871e-05i,0.00018234+0.00046816i
0.00087499-0.00052171i,0.0025166-0.0007827i,0.0030488-0.00028448i,0.0016621-0.00059704i,0.00087672-0.0014117i,0.00032611-0.0018438i,-0.00087278-0.0008224i,-0.00020076+0.00036467i,0.00089258+0.0004994i,0.00079234+0.00083822i,-0.00029387+0.00091637i,-0.00029997+0.00070326i,0.00040773+0.00036823i,0.00065319+0.00034325i,0.00090615+0.00018712i,0.001121-0.0001762i,0.0010711-0.00010731i,0.00043752-0.00012013i,-0.00011562-0.00019832i,-0.0001924+0.00027279i,-0.00013643+0.00049538i,-0.00016753+0.00067766i,-0.00042552+0.001209i
0.00054682+0.00036857i,0.000463+0.00020018i,0.0019093-0.00023368i,0.0022929-0.00050803i,0.0012243-0.0015765i,0.00048909-0.0016815i,0.00065305-0.00050671i,0.0010792+1.0439e-05i,0.00076782+0.00011535i,6.6635e-05+0.00048451i,-0.00034429+0.0001376i,-0.00014244-0.00037026i,0.00013726+2.9055e-05i,3.4959e-05+0.00052921i,-0.00036778+0.0002696i,-0.00061518-0.00024222i,0.00015317+7.7462e-05i,0.00068599+0.00035756i,-9.8161e-05+0.00024781i,-0.00090911+0.00051228i,-0.00063581+0.00038092i,0.00032831-0.00039543i,0.00044163-0.00087099i
0.001195-0.00034336i,-0.00041293-0.0014604i,-0.00058023-0.0014714i,-0.00095581-0.0014507i,-0.00015432-0.0019152i,0.00071832-0.0019133i,0.0003131-0.0015962i,-0.00021899-0.0011238i,-0.0012509-0.00040127i,-0.0013099+0.00025377i,-6.5662e-05+6.19e-05i,0.00070316-0.00047298i,0.0005458-0.00081666i,0.0005204-0.00066278i,0.00021548+8.201e-05i,0.00013536+0.0013873i,-0.00069259+0.0018787i,-0.00075485+0.001046i,-0.00019802+0.00062023i,-0.00022482+7.7773e-06i,-1.0387e-05-0.00062941i,0.00037699-0.00019496i,0.00016574+0.00037521i
0.0013618-0.00036894i,0.002101-0.00071331i,0.0012919-0.00094269i,0.00026584-0.00032221i,-0.0004236-0.00047653i,-2.9592e-05-0.001256i,0.0010483-0.001241i,0.00047559+9.3093e-05i,-0.00084302-8.2886e-05i,-0.0010689-0.0010695i,-0.00020737-0.00078094i,-6.5498e-05-0.00057321i,0.00021809-0.00075752i,0.00088418-0.00064722i,0.00040087+0.00012657i,-0.00026008+0.00022927i,3.3074e-05+5.9259e-05i,0.00070067+0.00021005i,0.00058036+0.00019194i,3.1357e-05+0.00017062i,8.6951e-05+9.2625e-06i,5.1968e-05-0.00020566i,-0.00016273+0.00029374i
0.0012169+0.0013631i,0.0029462+0.00031099i,0.0037981-0.00022333i,0.0038817-0.0015152i,0.0026439-0.0020846i,0.00068931-0.0014991i,1.0848e-05-0.00049381i,0.00020527+0.00069263i,0.00043063+0.00091063i,-5.8888e-05+0.00061867i,-0.00062331+0.00037878i,-0.00057481+0.00012548i,-0.00033681+0.00029321i,-0.00043937+0.0015334i,-0.0010202+0.001455i,-0.00077537+0.00048383i,0.00047559+0.00070065i,0.00036775+0.0011612i,-0.00058314+0.00093745i,-0.00099909+0.00010459i,-0.0010321-0.00033697i,-0.00066978-0.00020714i,-0.0005168-0.00017507i
